,Name,Year,Gender,Count
0,John,1/1/1880,M,9655
1,William,1/1/1880,M,9532
2,James,1/1/1880,M,5927
3,Charles,1/1/1880,M,5348
4,George,1/1/1880,M,5126
5,Frank,1/1/1880,M,3242
6,Joseph,1/1/1880,M,2632
7,Thomas,1/1/1880,M,2534
8,Henry,1/1/1880,M,2444
9,Robert,1/1/1880,M,2415
10,Edward,1/1/1880,M,2364
11,Harry,1/1/1880,M,2152
12,Walter,1/1/1880,M,1755
13,Arthur,1/1/1880,M,1599
14,Fred,1/1/1880,M,1569
15,Albert,1/1/1880,M,1493
16,Samuel,1/1/1880,M,1024
17,David,1/1/1880,M,869
18,Louis,1/1/1880,M,828
19,Joe,1/1/1880,M,731
20,John,1/1/1881,M,8769
21,William,1/1/1881,M,8524
22,James,1/1/1881,M,5442
23,George,1/1/1881,M,4664
24,Charles,1/1/1881,M,4636
25,Frank,1/1/1881,M,2834
26,Joseph,1/1/1881,M,2456
27,Henry,1/1/1881,M,2339
28,Thomas,1/1/1881,M,2282
29,Edward,1/1/1881,M,2177
30,Robert,1/1/1881,M,2140
31,Harry,1/1/1881,M,2002
32,Walter,1/1/1881,M,1670
33,Arthur,1/1/1881,M,1575
34,Fred,1/1/1881,M,1418
35,Albert,1/1/1881,M,1319
36,Samuel,1/1/1881,M,919
37,David,1/1/1881,M,750
38,Louis,1/1/1881,M,746
39,Charlie,1/1/1881,M,668
40,John,1/1/1882,M,9557
41,William,1/1/1882,M,9298
42,James,1/1/1882,M,5892
43,George,1/1/1882,M,5193
44,Charles,1/1/1882,M,5092
45,Frank,1/1/1882,M,3176
46,Joseph,1/1/1882,M,2670
47,Thomas,1/1/1882,M,2610
48,Henry,1/1/1882,M,2579
49,Robert,1/1/1882,M,2500
50,Edward,1/1/1882,M,2477
51,Harry,1/1/1882,M,2232
52,Walter,1/1/1882,M,1805
53,Arthur,1/1/1882,M,1686
54,Fred,1/1/1882,M,1641
55,Albert,1/1/1882,M,1499
56,Samuel,1/1/1882,M,1003
57,Louis,1/1/1882,M,852
58,David,1/1/1882,M,838
59,Clarence,1/1/1882,M,837
60,John,1/1/1883,M,8894
61,William,1/1/1883,M,8387
62,James,1/1/1883,M,5224
63,Charles,1/1/1883,M,4826
64,George,1/1/1883,M,4736
65,Frank,1/1/1883,M,2986
66,Joseph,1/1/1883,M,2515
67,Henry,1/1/1883,M,2383
68,Robert,1/1/1883,M,2334
69,Thomas,1/1/1883,M,2316
70,Edward,1/1/1883,M,2250
71,Harry,1/1/1883,M,2110
72,Walter,1/1/1883,M,1705
73,Arthur,1/1/1883,M,1591
74,Fred,1/1/1883,M,1502
75,Albert,1/1/1883,M,1496
