state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.32404010760577157,0.2677813336816668,0.25935025935025935,0.21811597185069342,0.22016732716864817,0.21076016063341974,0.14868918742663362,0.20152081038235214,0.22704523815336541,0.20893183598850876,0.17543859649122806,0.13819496119910704,0.1702481054707775,0.13136706500550896,0.1260751977550481,0.107544013383255,0.15814027041986242,0.1466445413499016,0.10281636191359393,0.09072352007257882,0.10847762904744361,0.10888129803586677,0.10475001007211635,0.11569021217148347,0.08430856936387177,0.07055029227978231,0.09105583378171433,0.1007211635308811,0.0777356986246761,0.06580784110397639,0.07699266644852078,0.04145390137740009,0.0524215367965368,0.06473015616150174,0.04770179563187843,0.04554372197309417,0.05836635640340368,0.030291347689596296,0.044204882500570385,0.022883949769730256,0.03198418236799255,0.04484045476899934,0.032929116497487365,0.03028161905723226,0.018629179026410446,0.021699191343469267,0.01276505212396284,0.01857222452390817,0.01321294868971592,0.019183944514129712,0.0,0.016770593526550897,0.012529365700861394,0.016287440754434255,0.014642955924702668,0.010572314632083451,0.01127459270533852,0.013641767193498723,0.019939384271813687,0.011844832691738229,0.01142552462200556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020151423554135357,0.0,0.020395676116663267,0.03086333155635364,0.0,0.020183962400161473,0.0,0.03592188622558945,0.04035919685198265,0.055938188301926366,0.05267223821897605,0.04166232684095406,0.059800196988884204,0.046596652209756624,0.06718674181628158,0.05941535292719639,0.14550745725718442,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10199918400652795,0.0,0.0,0.0,0.0,0.13758943313153552,F
Arizona,0.0,0.0,0.5079006772009029,0.0,0.18005041411595246,0.13638843426077468,0.0,0.10042177144004821,0.0,0.13910624239262737,0.09218005838070364,0.08143322475570033,0.0,0.0,0.07689941556444171,0.07338910905621607,0.0,0.0,0.09557618787547789,0.1034928848641656,0.0,0.0,0.0,0.0923076923076923,0.0,0.0,0.0,0.05841121495327102,0.0,0.0,0.0,0.0,0.0,0.0,0.039004602543100085,0.0,0.0,0.0,0.0,0.028215112013994695,0.0,0.03611784737629637,0.0,0.031236055332440872,0.021331968087375742,0.0,0.0195160031225605,0.0,0.0,0.017538321231891682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011878741803668155,0.0,0.0,0.0,0.0,0.0,0.0,0.010137875101378752,0.0,0.0,0.0,0.0,0.011550456243021598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011765892358893333,0.015883352658079067,0.02261602830234399,0.015339776039269826,0.02058344716603357,0.014051428227311962,0.016534733274083873,0.02276678532991142,0.025168313093814888,0.04589261128958238,0.021472129176329124,0.022164594277101757,0.04256627332277059,0.0320765890248717,0.023332382754776657,F
Arkansas,0.23879300987734725,0.2227915784783335,0.27497708524289644,0.18238313969197514,0.14628596196564989,0.18605053651782624,0.1313790696719629,0.18083182640144665,0.11838027923818809,0.12309944438899424,0.13445593366840605,0.1543793320730939,0.11189973783489993,0.1457725947521866,0.08779631255487269,0.1210580473336965,0.08962788972678946,0.09705394320778936,0.07374136890795736,0.11125345559975727,0.10323246661074909,0.09993796953614999,0.07369905152524994,0.07524946834614755,0.08500188893086513,0.07435174571702965,0.030035040881027868,0.08054123711340205,0.0525648557558517,0.0778089013383131,0.06744670244274362,0.03690770235357579,0.043141801709493895,0.04775802600159194,0.047447598314214745,0.04426606858289559,0.025220680958385876,0.04141739530602853,0.038488369295903394,0.019375620625348155,0.02726078659760601,0.017668290466695272,0.023502990102629722,0.0,0.026566069815631473,0.019371800193718,0.0,0.016498473891165065,0.0,0.017306527445268106,0.014546300875687312,0.023288987220168263,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.019316206297083253,0.0187863986473793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032999670003299966,0.03365114974761638,0.07208206265594677,0.04551920341394026,0.035648505733468006,0.06291286568103177,0.13786764705882354,0.10349109976542016,F
California,0.11431184270690445,0.07420756917205555,0.1199040767386091,0.09779951100244498,0.097442143727162,0.09557576691845229,0.11253590783901442,0.08659217877094973,0.054674685620557675,0.04712184717640931,0.07021311746241533,0.05511526692893932,0.053008700738466044,0.04970590671858172,0.05600629692419472,0.054992056702920684,0.03700848111025443,0.03177629488401652,0.0287639088638256,0.03108003108003108,0.01779464974197758,0.029333662693756563,0.03001390117528118,0.022895644921255336,0.01564308731971342,0.016773406526379993,0.017473607571896612,0.014335236010112856,0.01548190403601329,0.013944732377344459,0.012683514601896184,0.010399629395025195,0.012209639510393454,0.012228510091917633,0.008558431042087731,0.009471012388084203,0.011660571367997032,0.007493022123147818,0.008069684095602022,0.00836508969235059,0.008286720530350114,0.0038927335640138406,0.005594562085652746,0.006068582568755144,0.007348726465703493,0.006119906977413944,0.004757535596560981,0.007823042772486358,0.007596023646751874,0.004531638931957441,0.004697320335326041,0.0037154923646631906,0.008743933895859748,0.005614718047575378,0.006363691322788697,0.007743847008518231,0.008160426896767053,0.005358444193589872,0.006434201354756841,0.0058718080678642854,0.006773071621845865,0.006396075067346909,0.004889995476754184,0.0038412619826033514,0.009858165641828197,0.008986854682559782,0.007475782399647459,0.0037922456161640673,0.007399569345064117,0.0062850698166505466,0.00623273695881801,0.005951989374132654,0.00856269113149847,0.007536567425146813,0.005293728402323359,0.006183770413469376,0.006078456293136318,0.005856827196975747,0.007590977869769184,0.007181276974671635,0.008748199889638094,0.007707635773404576,0.010180260013095516,0.006729232506999604,0.007208120818047146,0.006669881891783731,0.005553190307831849,0.006865397025910008,0.005013368983957219,0.008197509087928179,0.006696148319685281,0.009700981511070532,0.011148048948510307,0.006491527145873081,0.007648963565436883,0.007976389885937624,0.010428116456695133,0.010513514127889796,0.012157658138514275,0.017019720813542655,0.014780655078633085,0.017406207321318586,0.019206145966709345,0.02272382972276928,0.026582330247965427,0.027122130601864736,0.03608623165917276,0.04243508578768694,0.04963930130649014,0.045605465836391454,F
Colorado,0.14273479874393377,0.2275960170697013,0.19227407795839888,0.19774870702768482,0.1352847128274505,0.0990990990990991,0.08995747464834805,0.10682945440671499,0.1913352466858002,0.03597639948193985,0.0998502246630055,0.06478591200895224,0.04158992335571267,0.05449591280653951,0.08863152918931695,0.10379144025886808,0.07130818099312848,0.04448681283762313,0.08061515564926205,0.031922364808785034,0.0314821810855056,0.031551713258029905,0.06577216521967903,0.0,0.03275681341719078,0.044894817855310416,0.07053995126330641,0.0,0.03453038674033149,0.028712530148156654,0.0,0.0,0.025227043390514632,0.0,0.024085938629028372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016859141869678834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013802940026225587,0.0,0.0,0.0,0.013876361617983765,0.01852967063510446,0.011595547309833025,0.028625954198473285,0.012262114969589956,0.036015641078411195,0.016296376772230975,0.04188540154138278,0.025583444668694392,0.0374758568998818,0.09523259840701837,0.05492123139181962,0.06756359790846601,0.07499765632323989,0.09826078412105729,0.09693809332798503,F
Connecticut,0.15927189988623436,0.0,0.0,0.05681357032708384,0.05825129609133803,0.053411022092740956,0.056289240095258715,0.0511549207098729,0.030673670488094783,0.04977187888842804,0.04442828870309786,0.04754546535124213,0.03831254523008812,0.029860933367460117,0.03704465939493723,0.0215526531316005,0.043848110146452686,0.02635740643120717,0.02664535038635758,0.0,0.0,0.0,0.0,0.0,0.0,0.027076789775804178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010120433154539015,0.0,0.0,0.0,0.010332713370531103,0.013002492144327662,0.0,0.011918382913806255,0.0,0.012059234962134001,0.0,0.0,0.0,0.02343174666934458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012887262230011857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023067163892199455,0.03270913402567667,0.0,0.0,0.0,0.0,0.0,0.04683182690956775,0.0,0.03427340383862123,0.03570699857172006,0.03168400485821408,0.05514503143266791,F
Delaware,0.0,0.0,0.0,0.0,0.29397354238118567,0.21321961620469082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17325017325017325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.2681414446120329,0.2683843263553409,0.2650380271952063,0.2263418840267299,0.13972219939179747,0.1489467338109086,0.09728978457261987,0.14798869904480022,0.14678001345483455,0.11857473172466947,0.07222222222222222,0.08378279310886527,0.08171603677221655,0.09594505882947028,0.08043614264009295,0.09137136500873987,0.09729654597261797,0.09864455080194368,0.07864563930626267,0.07904403217557075,0.04581271761040865,0.08062986150635554,0.08074283407347597,0.08359970494221784,0.07846757442880221,0.08283198186415555,0.09987840889352094,0.10453690152623876,0.051334702258726904,0.04205214465937763,0.039033391292005254,0.052359447607827736,0.03544737541724515,0.02508717794335315,0.04185657148172263,0.039287282475561,0.0448775484036415,0.017132740667415432,0.019310238288340477,0.013302421040629396,0.012692886543726994,0.01996738660188359,0.021852464645833986,0.008645782299201706,0.014951746635857006,0.011632716368524454,0.01070918610185626,0.014593296064300307,0.015238426958954207,0.012658761973079033,0.007234992558293368,0.009315227291545913,0.01687550099143568,0.011773394269567916,0.008693006476289825,0.005801877487554973,0.016852444808243255,0.0136440877686955,0.010994917904612978,0.009282142318447097,0.012005719088001921,0.007685044902619502,0.0058977564934299,0.015792222937596422,0.00597100480068786,0.007585622716411495,0.011554015020219527,0.0061091086810434354,0.0,0.00894124484481352,0.010188590816004239,0.0,0.005533983268923917,0.004461656523834169,0.005964858462429913,0.0,0.003987113648687442,0.007683028957336141,0.0043980208905992305,0.004875908137890682,0.008200474260761413,0.004256919267526092,0.005098287703658385,0.005875613267134757,0.0,0.0060819851599562096,0.003856596322349747,0.007711229864051018,0.007707960781895542,0.0,0.007613189088777397,0.004596714881098308,0.006949753283758427,0.0,0.004466179853062683,0.008723529540051905,0.007086469095908273,0.007846997809974247,0.012799951811946118,0.020127365971869995,0.006697587194213285,0.01360648348938269,0.013770666758471111,0.008519556642272337,0.024412623851975318,0.016661112962345886,0.020237964735346448,0.023521622469247657,0.03527081656462247,0.033810436154626394,F
Georgia,0.1653133660718627,0.2519140528525562,0.17050595030969448,0.1873082512514129,0.14101425810831983,0.18540710425758022,0.1575299306868305,0.12790136917367328,0.13119367228200937,0.1432740780047758,0.12200360855743621,0.1366120218579235,0.134342940889106,0.11128505950921404,0.10724365004703669,0.13504763666635833,0.09939172265733709,0.0927872143005927,0.11250339449897197,0.10689147490067161,0.06854680767724246,0.10074348693356974,0.10670121753710725,0.06330923497937345,0.09398856792112634,0.06725595695618755,0.1011299325152181,0.09300383403560718,0.0613462718197535,0.06729352709019151,0.04970531846907619,0.061416678040125565,0.0503089282626126,0.042272445913915185,0.05785363031530228,0.031627053781804956,0.04246342666155279,0.022092937624272776,0.02542879302233919,0.030174635704137698,0.03440542331413426,0.01978214908322103,0.03342206094751543,0.020125488339055288,0.02173639473292835,0.018285296336083747,0.017958157493041214,0.0,0.012817823766575776,0.017677005750919204,0.00941098968320256,0.01067248514745817,0.010855013206932735,0.013285184603678788,0.010811330274127286,0.014144635325583787,0.006779936810988921,0.0,0.0,0.009572911395867238,0.009115058075941455,0.010832622442485545,0.007384106449278573,0.0,0.0,0.010216939685999387,0.0,0.011453629164212317,0.0,0.011075248401999874,0.0,0.007573233164702675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00793976365970173,0.0,0.006769655695311336,0.0,0.0,0.0,0.0,0.008883474199852788,0.0,0.0,0.011252391133115786,0.014791440686322849,0.006139639971512071,0.007343491830365339,0.02247377074388181,0.011929330645257495,0.021255845357473307,0.025120645203939973,0.03512173192284458,0.033156020700889445,0.03382502169213347,0.042142018602691074,0.03716753638701813,0.04215026569721055,0.04247286455875413,0.05831659431089224,0.0759052564390084,0.09852040267975495,F
