state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007129819758156514,0.0,0.008722958827634334,0.008678797697225678,0.012885306455538535,0.0,0.0,0.008679676537387706,0.01276505212396284,0.01142906124548195,0.007340527049842179,0.008854128237290636,0.010540422520365602,0.009147596469027762,0.02192638997650744,0.024431161131651384,0.013015960821957925,0.01762052438680575,0.01691188905800778,0.07405530762185021,0.04785452225235285,0.03356035929325832,0.06284038542103058,0.03729365811529629,0.06897443634952796,0.0430010184451737,0.05982787979198306,0.08152108758721557,0.08527018467085709,0.08512596341884275,0.07657151061233279,0.06844002372587489,0.05823981363259638,0.0666314362520966,0.08887225782309743,0.11588581699500981,0.08806588280097111,0.08520508390333956,0.0674568757829816,0.10542709955672697,0.0995921464478801,0.05921067614037484,0.08017041940582266,0.06368074718743366,0.053352734327634294,0.06369894896734205,0.027758150802462904,0.05407075544569751,0.044074563791449535,0.020817611699497775,0.05718147320268233,0.03416287809108349,0.028985507246376812,0.027649514751016117,0.01722504521574369,0.017272648760687452,0.017548477669562166,0.0,0.022446059313711735,0.01407974769092138,0.02306738560018454,0.027518728023238036,0.01959375612304879,0.0,0.0,0.0,0.0,0.02462361052483467,0.017921789311444853,0.02612817737299839,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11467889908256881,0.0,0.0,0.0,0.0,0.13207131851199647,0.0,0.0,0.1282521069989007,0.12216404886561956,0.0,0.09357454772301933,0.0,0.0,0.0,0.0,0.07974481658692185,0.0,0.10238034297414896,0.0,0.06496881496881497,0.07849293563579278,0.08019246190858059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12544428183148654,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034877232142857144,0.022446689113355782,0.0,0.023651844843897825,0.02751356025469696,0.03715124270906862,0.0,0.023434099963174988,0.024130442276534866,0.027159152634437803,0.05547759684104037,0.056748005474513474,0.07230657989877079,0.09158087538685025,0.11056511056511058,0.07312202941755491,0.06807886674871043,0.05291805261566374,0.07220935733671971,0.1254828629776345,0.07364819918274257,0.05330253631235286,0.05238344683080147,0.031400460540087924,0.0428974138987621,0.03831803972975698,0.037778617302606725,0.02230332522303325,0.02604062337246104,0.03055052037719709,0.02394731590500898,0.0,0.011550456243021598,0.011590619325425955,0.013360818445564207,0.012956964368347987,0.02323752323752324,0.012711094970038134,0.008882099017639849,0.015638575152041704,0.008552271483305967,0.011765892358893333,0.007941676329039533,0.008077152965122854,0.013635356479350956,0.02058344716603357,0.014051428227311962,0.016534733274083873,0.02483649308717609,0.023070953669330315,0.010430138929450541,0.0,0.01994813484939158,0.01182396481188072,0.01973943939992104,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013748728242637554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033815517565282734,0.0,0.0,0.0,0.01972931381446553,0.03482837351495685,0.051749532263843,0.06428542729719958,0.05410837133802272,0.06408202499198974,0.03791900500530866,0.029379360998898277,0.042756636996151905,0.053757247628921395,0.06958404205968764,0.054360487691232424,0.03885305773564379,0.02785404480522064,0.059637404580152674,0.08026004253782255,0.039119039236396355,0.06674256998154764,0.05299633102323685,0.06346519991537973,0.04706687775448205,0.030876450090423887,0.02644336712208021,0.02160667214035694,0.03487814448271352,0.021875136719604497,0.0,0.026003293750541737,0.0446508305054474,0.0,0.02245979696343545,0.035839082519487496,0.03607666290868095,0.0,0.0,0.0,0.03444542859954729,0.0367801597309794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.057155921353452224,0.05300540655146825,0.0,0.0,0.0,0.01849853553260367,0.017768827553528592,0.025139664804469275,0.012426064913763111,0.017360680538677117,0.0,0.022806317349905927,0.010967317394165389,0.01325490845828846,0.015136837006539113,0.022913356959550286,0.029298380878951428,0.019671039690105467,0.013625009461812125,0.021756021756021756,0.022243312177471976,0.013894892854937318,0.04265133324908379,0.044155886633849575,0.05787942308293965,0.05641964013418725,0.050964688751365124,0.032580081841165585,0.042872965022806034,0.03137564784902503,0.022196150553318326,0.024580942206423192,0.029760996306584044,0.014945956779010441,0.0237002705780891,0.025256033034891212,0.021201038850903697,0.03090871625798475,0.026582488785512542,0.02555999628218236,0.02163754805146974,0.02119377162629758,0.023177471497704234,0.02806719438049254,0.025720542629962227,0.02987954583090337,0.02684609372345125,0.026076809241621198,0.031374880280062085,0.02006868669866867,0.029123386079021457,0.028795065826139724,0.028730068514967743,0.02308272975114322,0.03595485597375614,0.02727180902999899,0.03512531577304079,0.04358201277453096,0.05326088899215385,0.03799405220382773,0.04334765837981354,0.04439628576158442,0.03911996381403347,0.045241530017328356,0.046415529896941095,0.06249948938325667,0.0680689660599479,0.07622413688489776,0.07066588724536232,0.06948493852852548,0.058062865353199364,0.047302652394422676,0.05229357798165137,0.06391009176524497,0.045584883464451144,0.03907018579419288,0.045035835262782715,0.04099779037883024,0.038460954540163864,0.032076370486866644,0.026244599668914282,0.024936468678661866,0.028689823673269183,0.02427330297167714,0.020381583002754,0.017957374324033125,0.015601820388670435,0.01757541638632962,0.02033199643493761,0.018656399993215854,0.014229315179331223,0.009130335539831088,0.014864065264680407,0.009596170563464556,0.007932258512304917,0.00826126095329254,0.008737070544798624,0.010797663158373303,0.008302790923863407,0.015128640723149027,0.015437573082127889,0.013724125003347347,0.013477997169620594,0.011017614411039649,0.012268767806753275,0.014089418494475186,0.015517079613444286,0.01223353824509894,0.015461421718414959,0.014065237127111385,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017441657655143543,0.0,0.0,0.0,0.0,0.0,0.014905795373241115,0.017308524448290785,0.0,0.01891840761060512,0.018907165815844205,0.0,0.0,0.01571503404924044,0.0,0.0,0.013534363749560132,0.0,0.0,0.03363718927646406,0.02956733138407963,0.016068903458028024,0.015459773668913488,0.05871645822323997,0.021373393178834233,0.028819366614364857,0.01915831151414522,0.04122403678452513,0.04703521369665423,0.07711527190844875,0.08784515826769349,0.08314935344209652,0.11998720136518772,0.04803681136702652,0.04835122328594914,0.06882470348023584,0.08247989552546567,0.048641512056146204,0.0689766169268618,0.05287964133808483,0.07141496857741383,0.04837812341259282,0.03169572107765452,0.03903010196614139,0.04664637140331926,0.01960399921584003,0.03266906239790918,0.03819709702062643,0.02301554828150573,0.032807570977917984,0.012632323589601072,0.014630934672876687,0.019028137858858787,0.013802940026225587,0.0,0.020142339196992078,0.0,0.023127269363306276,0.0,0.011595547309833025,0.011927480916030533,0.014714537963507945,0.018007820539205598,0.0,0.027923601027588514,0.022740839705506125,0.014413791115339155,0.02020085420754935,0.01734354675531146,0.0,0.0,0.0,0.02005615724027276,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03075030750307503,0.0,0.0,0.0,0.0,0.03611784737629637,0.03854413303232201,0.0,0.0758150113722517,0.07062914267086819,0.03713921901528013,0.035357106778462474,0.06568310428455942,0.02357934449422306,0.03672420124862284,0.028776978417266185,0.015129966411474568,0.027561496589264795,0.0,0.04230357042134356,0.015276504735716468,0.03876612947887246,0.028639344731792533,0.03411998862667046,0.029108999973537275,0.02695483839349163,0.021400546902865296,0.015880938336585146,0.019707022268935163,0.0300648541854572,0.024113817217265493,0.0286691376732947,0.018286364467562023,0.012144519785446818,0.012215978499877841,0.02932489893383046,0.03302509907529723,0.018598884066955985,0.030339148336764547,0.024989776909446135,0.07151029748283752,0.05602240896358543,0.05547248082581641,0.03119900163194778,0.032439446366782004,0.04366948438815933,0.03682131619468434,0.03070100631076241,0.03831551081542373,0.06388869170156881,0.08005011833495754,0.058429283382024404,0.08217196949776492,0.055107134753152445,0.05052737952377944,0.031002945279801578,0.07894097643915472,0.044191733199776095,0.05691195720220818,0.02518539247236603,0.042722490721209046,0.03660800669403551,0.033506881798030824,0.015357444521231669,0.0,0.024880435684073755,0.0,0.01751211254450995,0.0,0.01523368472366096,0.025795634088930448,0.0,0.019636720667648502,0.016539861065167055,0.0,0.020736849381350658,0.0,0.017849493074396684,0.0,0.0,0.0,0.0,0.0,0.036078289889059256,0.0,0.0,0.0,0.0,0.02403383964622188,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053659583601631256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10244589576130106,0.0645244547683572,0.0,0.0,0.09162303664921466,0.0,0.08325008325008325,0.0,0.16863406408094433,0.10364484366902746,0.14788038120276042,0.0,0.20408163265306123,0.13366998366255756,0.17889087656529518,0.10313835273316635,0.19501950195019502,0.10271460014673514,0.10076291924571758,0.07115411982353778,0.13477088948787064,0.0,0.09691096305269534,0.08272276057669581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018267509407767345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02179788996425146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012822156686754713,0.013325464963545336,0.015448190630672383,0.0,0.016319425556220422,0.009983693300941794,0.01716979365029813,0.007204818582668087,0.014951746635857006,0.011632716368524454,0.01070918610185626,0.021328663478592757,0.02285764043843131,0.012658761973079033,0.01550355548205722,0.024840606110789105,0.013711344555541492,0.026757714249017992,0.02390576780979702,0.018566007960175913,0.0276861593278282,0.03721114846007864,0.04397967161845191,0.04176964043301194,0.04147430230400664,0.04062095162813166,0.0530798084408691,0.04130273691371372,0.041797033604815015,0.07459195671137969,0.07189164901469927,0.07086566070010385,0.07053788123333692,0.07152995875850816,0.05909382673282459,0.06008567053670072,0.05165051050995655,0.0606785287241447,0.04857099033692929,0.043124842350222535,0.03668144556792447,0.04609817374401684,0.032985156679494226,0.025772657300279323,0.03758550702848981,0.024832029060568868,0.02549143851829193,0.03011251799406563,0.018710334091725542,0.017485707334874104,0.01465506602492904,0.013109090768886729,0.011561941172843314,0.013203370742883773,0.012942421450921575,0.011491787202745771,0.016988285804742823,0.01587133636652206,0.007443633088437805,0.010177451130060555,0.007795116005499101,0.010700451559055793,0.018070520205100405,0.015296798138621196,0.01841836478408653,0.01445688870746911,0.008606666724044445,0.017039113284544674,0.010101775387024269,0.010829723425524825,0.01770821914342814,0.006969369620517823,0.008139419207220569,0.015026860513167286,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009549160270718693,0.0,0.009152166203338252,0.005714155105026171,0.0,0.014711707123861257,0.010487310354471091,0.010606203450551523,0.014116484524803841,0.007114990098305446,0.016885576099673144,0.014492928658558677,0.013213848112822238,0.019288139080341528,0.021695797795164548,0.03386434507767634,0.03658982802780827,0.050599674521012536,0.032553778842648054,0.0392682563540101,0.039874174826104294,0.0543410756427773,0.05268367444682142,0.07322140108299562,0.07267190365781916,0.07690293867399699,0.07766669420804759,0.06645149041199924,0.06773028296207104,0.05604192541879979,0.07527626388847068,0.09280464621970752,0.07341497078084162,0.07076339551077018,0.07777669754586741,0.07524757796858414,0.08842083036397709,0.07740036289350471,0.05902149889491662,0.0664365270631147,0.04763858195821037,0.04445043103448276,0.05009545214530389,0.032445586048398,0.02441042053730048,0.025117656390460576,0.02350237635138664,0.02791949034239448,0.022306214759278766,0.014929644052403051,0.010002125451658479,0.020954540972290703,0.017190991920233798,0.017134814270852457,0.01655962054812344,0.014315196774308992,0.017504813823801545,0.022476366761419977,0.01826330059987918,0.011532528939439807,0.013235878053443536,0.010535504650672768,0.022300521832210873,0.016559032952475575,0.015730690577316343,0.019438864770297413,0.012075836251660426,0.014330240389782539,F
