state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010146103896103896,0.0,0.0,0.008758408071748878,0.0,0.01789943272567054,0.00998174766141912,0.011441974884865128,0.01889974412654106,0.013018196545838516,0.02290721147651295,0.021629727898023043,0.024361234111459813,0.026039029612163124,0.01843840862350188,0.0228581224909639,0.0205534757395581,0.03689220098871099,0.04216169008146241,0.050311780579652694,0.07830853563038372,0.05374855448963304,0.08623074044547126,0.11100930363687624,0.06952665501625421,0.07990177927620681,0.07776359866007337,0.10660349422564407,0.14853182008607227,0.16487722535183624,0.18105789541751088,0.18332013126626684,0.18638685627502416,0.20620039801472176,0.13643229547337132,0.18865754054986772,0.23210739154363383,0.2509467536615413,0.21951929753824787,0.22287066608459893,0.2245193881846672,0.37130761771870496,0.3189413052791927,0.2934841778892807,0.24091741351064855,0.2060620582245118,0.20866925922412974,0.1753546947234178,0.15575967198845547,0.18396660298591946,0.13580696010670545,0.1322978170860181,0.14888462703139196,0.079818734229363,0.12963106997485158,0.1197012672721122,0.09876799916826948,0.08409323837805166,0.06324110671936758,0.04976912655182902,0.08899606694800907,0.06333304545585398,0.08481764206955046,0.06701436438332216,0.05892090569849331,0.05913494030186978,0.04613477120036908,0.03669163736431738,0.052250016328130096,0.07062859449096963,0.02097682061322239,0.03160334293138563,0.027774884560636044,0.052764879696074296,0.03225922076060074,0.018662983837855997,0.027727164699358316,0.02829311668889697,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1529051987767584,0.15663069961712495,0.10704727921498662,0.0,0.0,0.15408320493066258,0.20429009193054137,0.23534026279662681,0.20153902528398682,0.15706806282722513,0.22928267278087125,0.23393636930754835,0.2927829014785536,0.15428130624839292,0.1808972503617945,0.3202928391672386,0.2734107997265892,0.21812893843916625,0.21755822882006653,0.2677376171352075,0.2598752598752599,0.20931449502878074,0.24057738572574178,0.17911270322402867,0.17756732761171945,0.1740506329113924,0.25075225677031093,0.2567174396714017,0.21299254526091588,0.21333333333333335,0.11045655375552282,0.09312721177127957,0.11398176291793312,0.1741486068111455,0.11971268954509177,0.0,0.17228177641653905,0.0,0.0,0.13185157280090412,0.0,0.09801999607920014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.4793863854266539,0.0,0.0,0.24189646831156267,0.0,0.0,0.1597444089456869,0.1606748343040771,0.13986013986013987,0.20865936358894105,0.2150868028883085,0.1791530944625407,0.22468026270307642,0.21304490331039003,0.12303906490310675,0.20548950535740496,0.16162209814869233,0.1560505036175344,0.23211359912616056,0.19404915912031048,0.17019207391198637,0.21959923140269008,0.12596221133659902,0.12307692307692308,0.12964563526361278,0.14814814814814814,0.14293139293139295,0.15186915887850466,0.14538134645493178,0.06778895040108462,0.10708931248661384,0.08229606007612386,0.05323868677905945,0.06987577639751553,0.10141196661206023,0.048887802493277926,0.06995452955578874,0.03580165881019154,0.04653597812809028,0.050787201625190445,0.0823768466143116,0.061916309787936635,0.042158516020236084,0.02677376171352075,0.029864755322326037,0.045582628874523454,0.08196721311475409,0.07723711795211298,0.06167688568007837,0.045599635202918376,0.0833472245374229,0.04331023454157783,0.10278855399714845,0.10188833038989267,0.07672991071428571,0.06359895248784138,0.0829154657085324,0.08672343109429202,0.09433220658753243,0.10773860385629899,0.15216068167985392,0.14395232834521776,0.15512427177772414,0.13919065725149377,0.15664262637470222,0.16022966251627332,0.10188654440281338,0.17052990589275563,0.22420147420147418,0.21374131675900668,0.22780236181299257,0.22427174679971779,0.22907796120614524,0.2608075191299855,0.29221704837023665,0.2554079864966908,0.3273965426925092,0.27841741678877957,0.28394002532990154,0.2742764949077342,0.21275326586204837,0.24533657745336576,0.20832498697968832,0.19144992769710178,0.21353023348633007,0.18553241882956678,0.20020790821237439,0.2318123865085191,0.22904260192395787,0.18880148079592782,0.1841126841126841,0.17432358816052296,0.17941840015632493,0.1529105125977411,0.13512588943623427,0.13614818301005144,0.12230181546720882,0.12761901684894109,0.1346491452335907,0.10665968076944668,0.09635265070156775,0.09507471632598227,0.08692772580511632,0.09018645525283668,0.07301097250615378,0.049385897105556985,0.07979253939756632,0.08749733960791733,0.09129490722463482,0.08814455707360071,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012610340479192938,0.020708697653014266,0.012027615404969811,0.024219525781685194,0.01734777328938564,0.012620207476210909,0.01828010341315645,0.03187928377875777,0.015939641889378884,0.016604400166044003,0.0,0.02749745648527511,0.022808267997148964,0.04038189737229225,0.029092601751374625,0.02911123402521033,0.052059231837112446,0.05278282798662835,0.07427875330540452,0.07774472687939427,0.06909090909090909,0.09086434710180592,0.057948618891249755,0.10520383242532408,0.12437355964443796,0.12371284066513845,0.1160631383472609,0.1894014126188691,0.1315738555009481,0.20301739580430717,0.16071356824299893,0.2009739506840844,0.22829221403396346,0.26164113453662974,0.27175908923980907,0.2176701519804097,0.26110663134047535,0.3749806710994279,0.2756853304341073,0.256430181055249,0.24272810473120848,0.24650127226463103,0.22874112123279425,0.20733090795290068,0.20415374347296927,0.17529555646147574,0.18193357309075525,0.15403705446921398,0.17202593621807596,0.10577346848832084,0.10803336070178472,0.12207350568949732,0.1050006562541016,0.10655301012253596,0.09101152812689609,0.040185747454902665,0.10785547366528853,0.0898391878537418,0.10303736224352657,0.05862457722660654,0.09746588693957114,0.06745210900260815,0.05639627784566219,0.059049306170652495,0.04203446826397646,0.0,0.04399956000439995,0.056085249579360626,0.049902966454116994,0.0,0.04158992335571267,0.0,0.03282563025210084,0.0,F
California,0.0,0.0,0.0,0.0293398533007335,0.0,0.0,0.023691770071371458,0.019553072625698324,0.0223669168447736,0.012400486099055084,0.02684619197092351,0.019005264458254935,0.025590407253052568,0.021539226244718747,0.04238314361830952,0.030551142612733714,0.047802621434078645,0.055986805271838636,0.07720838695026871,0.06371406371406371,0.07266148644640845,0.0571234484036312,0.03001390117528118,0.040885080216527384,0.04223633576322623,0.03964623360780726,0.045140152894066254,0.02997367529387234,0.019054651121247126,0.033699769911915776,0.025367029203792368,0.025526363060516387,0.020603766673788958,0.02785382854270128,0.024358611427480463,0.030307239641869453,0.02544124662108443,0.03325028567146845,0.03560154748059716,0.03346035876940236,0.04235434937734503,0.04671280276816609,0.04115999248730234,0.03754935464417245,0.03600875968194712,0.039239403561065866,0.04927447582152445,0.052805538714282924,0.045245879982826386,0.058263929125167105,0.07265188785304276,0.07121360365604448,0.07744627164904347,0.09077127510246862,0.10468272225987406,0.12457493013703243,0.11921319292668389,0.12467313490419102,0.14226734106629013,0.15784801688317518,0.17948639797891544,0.1956446491188466,0.18744982660891038,0.2108426021562284,0.22057645623590588,0.2508149443223503,0.22073231190538023,0.24118682118803472,0.23863611137831778,0.27933643629557986,0.2522618274384763,0.2521763919040414,0.22201834862385322,0.22881018702745723,0.2517461951327108,0.2245832981982742,0.23484944768935773,0.2204296781407236,0.2120413151622192,0.20059700349249437,0.20524622817997065,0.17727562278830525,0.16288416020952826,0.14515915836527715,0.16006999333870214,0.1528942156731963,0.16315801999677387,0.1664172239080586,0.15680704099821746,0.13568290904156985,0.12806383661398102,0.11955033097466332,0.14006523037871924,0.12672589949987018,0.09943652635067948,0.11508791121138573,0.10738141540542825,0.09547407424245868,0.08925500243153163,0.0926629244292878,0.09361081549800955,0.07631952440885842,0.08895478131949593,0.0692043905193428,0.06032144171653693,0.0676292087734809,0.06423349235332751,0.07110744104963758,0.060625048316942876,0.06904752771491043,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032886082609839516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024085938629028372,0.028960324355632783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023078032597721045,0.0,0.021621037269262993,0.0,0.016279132864856063,0.021380655851618247,0.02357255107386066,0.03858719419648599,0.03957574798163686,0.04872370949841648,0.05121493199795141,0.05365653505034246,0.037000908204110464,0.06570518085351029,0.09641342074816814,0.07420691361078474,0.06165228113440197,0.10686696589417118,0.13449037753370266,0.12452902484194393,0.12684319010623119,0.1755981311341758,0.15114593294055953,0.23425375538051593,0.19497089772629528,0.2479735494880546,0.2427123100649761,0.20307513780098638,0.22023905113675465,0.2772240932939263,0.24320756028073104,0.2598119237578461,0.2529026324864927,0.23804989525804607,0.256404054086742,0.26331829818359137,0.22930184905108064,0.1816753412550329,0.1935894922564203,0.16585831678938506,0.18843901196842372,0.1534369885433715,0.12870662460567822,0.17432606553649477,0.19264063985954302,0.1474680684061556,0.09892107018795004,0.13641634267785283,0.1454724497560539,0.10730333310978472,0.12257452762552326,0.13897252976328345,0.11595547309833025,0.10496183206106871,0.09073965077496567,0.06431364478287713,0.07061763267966756,0.047470121746900476,0.06253730919014185,0.05188964801522097,0.04328754473046289,0.04335886688827865,0.04406321602726044,0.02812412112121496,0.049130392060528646,0.04679770022730312,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020738282870178346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03672420124862284,0.0,0.0,0.0,0.0,0.016921428168537422,0.012730420613097057,0.02492108323641801,0.01718360683907552,0.0199033266988911,0.023816454523803224,0.012252199269768924,0.021400546902865296,0.02949317119651527,0.02846569883290635,0.025769875016106173,0.024113817217265493,0.0286691376732947,0.032509092386776926,0.03643355935634045,0.05497190324945028,0.04398734840074569,0.05985799207397622,0.05786319487497417,0.11268826525083975,0.07951292653005589,0.0929633867276888,0.08768724881256851,0.11818050262891323,0.09119708169338582,0.1351643598615917,0.1715586886677688,0.1439378723974024,0.20467337540508274,0.1671949562854854,0.14907361397032726,0.16358067659752193,0.1615397834679498,0.1906389692348146,0.20097896204090893,0.20526747931535402,0.2077197333746706,0.1912800582948749,0.31523436349173617,0.23049342666894315,0.22107177836854625,0.27502603401778325,0.2667154773422587,0.28351976906026083,0.2405999641659628,0.16782099094299416,0.20457247118016197,0.15599739058910286,0.18095849629326952,0.1619967600647987,0.13405642556821645,0.1676716215780479,0.10901628831601898,0.10145639011618394,0.06946741647370162,0.05746737881143939,0.08640353908896108,0.08233558612645374,0.0856775667571041,0.08491785120915636,0.07191793784776108,0.09611318288416439,0.049063701038515005,0.06038907820385628,0.04058807612519166,0.05542213190467394,0.04231908590774439,0.07129277566539924,0.0,0.03845414343395501,0.063650607128868,0.05100999795960009,0.06864867719279717,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06770480704129993,0.0,0.0,0.0,0.0,0.05238344683080147,0.05135051864023827,0.054059898367391064,0.06387735547748323,0.08719346049046321,0.0,0.0,0.0,0.07742934572202864,0.10178117048346055,0.1224739742804654,0.07853403141361257,0.0,0.0,0.11614401858304298,0.21922428330522764,0.19001554672655036,0.23003614853762733,0.12806146950536257,0.23547880690737832,0.17822664488341008,0.11926058437686345,0.07367025195226168,0.19501950195019502,0.27879677182685253,0.2303152439902116,0.21346235947061332,0.24258760107816713,0.29635356268522095,0.25439127801332523,0.2363507445048452,0.20726652036088758,0.15505879312572685,0.21548821548821548,0.1914399015451935,0.14396775122372588,0.1915991156963891,0.13366998366255756,0.11846586702206427,0.10251903925014645,0.12964563526361278,0.0760225026607876,0.07392075694855116,0.0,0.13311640289897944,0.0,0.13671578307762416,0.0,0.14263074484944532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026182122846520398,0.0,0.025248699691965866,0.0,0.0,0.020849259851275278,0.0,0.0,0.0,0.022906358805204325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018602920658543392,0.013866099697256823,0.01923323503013207,0.022843654223220575,0.019310238288340477,0.015202766903576451,0.014506156049973708,0.026623182135844786,0.03433958730059626,0.021614455748004267,0.029903493271714012,0.036190673146520524,0.027367920038077104,0.031431714600031434,0.039184526465882254,0.04747035739904638,0.05891351083181743,0.060031464767740336,0.06750200396574273,0.09846838843638622,0.08258356152475334,0.09283003980087957,0.09629968461853287,0.08930675630418873,0.13071735731039874,0.11138570782136517,0.1429772000480229,0.15699448872494126,0.16159852791997922,0.20286932542912328,0.16002292865843465,0.17573359293019963,0.18101290198343925,0.20526605168305945,0.19846251330057507,0.22017815430353294,0.22414899795209325,0.24906479561180778,0.18631077005377186,0.3033926436207235,0.2616016497094262,0.261190082913612,0.23364485981308408,0.2143565079096783,0.2045079714128642,0.20757437501306047,0.19202777227282977,0.17950009578068354,0.16678684059111004,0.16892388143012427,0.13695964555143098,0.1391254105339983,0.1203258052573121,0.1341753996344877,0.13411851760498242,0.11494699234981165,0.09973277706298392,0.11032115714635941,0.11969019544250624,0.10656468703236241,0.11239885963541085,0.11776764879070073,0.0907068044276259,0.08845706622152788,0.08734084765798528,0.07809417997085558,0.08455703832694272,0.06037877048413569,0.07573866717159111,0.05708102950322465,0.046299803857194566,0.05998000666444518,0.05312465743028443,0.05662612816670732,0.04702775541949662,0.06292497839888801,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008875949726620747,0.0,0.0,0.009058381267267539,0.010657247689660948,0.0,0.01232809161141855,0.013501239659277808,0.016528715464520477,0.017601870827413657,0.024211223813650033,0.014836611812415771,0.013130095372238203,0.00947081804190837,0.019448353182093786,0.029713606546136088,0.03030439076950705,0.02150172579641261,0.026800904239203897,0.03417554445177713,0.07175879633441952,0.053362425737290844,0.048244503141923266,0.07729561951231295,0.09369819570910314,0.09901244727908651,0.1111909637002183,0.10018202085479251,0.10695488192743956,0.16000437618806668,0.12761081306318037,0.16384341444259387,0.16688080575369577,0.1661284312507763,0.18359462307225646,0.1634710349759902,0.17821919230369934,0.19471169579160938,0.22143270263571016,0.2278336814125688,0.22275737507525586,0.23174093483990188,0.19421276083225436,0.3233194126364004,0.31862097318885263,0.25333295592855726,0.23471896223663558,0.21633678665967943,0.19795708290442632,0.2118993541510703,0.15822784810126583,0.1628346251546929,0.14291574587463113,0.13739224137931033,0.10831449112498137,0.1216709476814925,0.1030662200463798,0.11897837237586589,0.1135948190317021,0.08756567425569177,0.10285643472334098,0.094554412331886,0.09627045747221286,0.09491174440390494,0.11665315945872934,0.07710666421883605,0.07806678258401051,0.07396185000059646,0.06626822376153442,0.05685198651417994,0.042146078307413494,0.06342890916691894,0.0397076341603306,0.03762680232383131,0.0416276407534603,0.03462343253699438,0.031461381154632685,0.03077820255297091,0.029327030896889608,0.01253896034105972,F
