state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.016935948243742168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010594118145605558,0.010167354657665169,0.011949334820361666,0.0,0.0,0.0,0.010309490917338501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008518177791406862,0.0,0.0,0.0,0.008555783709787816,0.0,0.0072691323563619445,0.007232331414354731,0.0,0.0,0.010031096398836392,0.007233063781156422,0.014183391248847599,0.014286326556852436,0.011744843279747487,0.02361100863277503,0.015057746457665144,0.018295192938055524,0.023492560689115115,0.03746111373519879,0.014642955924702668,0.012334367070764027,0.01127459270533852,0.01948823884785532,0.0,0.0,0.013329778725673154,0.009814120556656918,0.010777255679613743,0.011316057485572028,0.011505361498458282,0.011988395233414054,0.019490327924767334,0.011503508570113886,0.019142877653083198,0.015969338869370808,0.020159935488206437,0.02297635732830917,0.02338743626923617,0.011825083366837736,0.0,0.016567655203427137,0.0,0.0,0.016598691074646683,0.011386668488533626,0.011452917057974667,0.0,0.012125621438098703,0.0,0.0,0.0,0.0,0.01561320877462333,0.012995789364245985,0.02365122329382703,0.01844532279314888,0.01658970885060967,0.01722504521574369,0.014393873967239543,0.0,0.0,0.0,0.022527596305474205,0.0,0.0,0.0,0.0,0.02097682061322239,0.02106889528759042,0.02083116342047703,0.0,0.0,0.018662983837855997,0.0,0.0,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10199918400652795,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023773943757641625,0.0,0.0,0.01974177754965057,0.0,0.0,0.02600586989634803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02842165098212594,0.0214987714987715,0.019686700227803246,0.028802597470608256,0.020159258139300473,0.04730957894474739,0.019683586349432868,0.01663023852513542,0.02443032914316173,0.01746114894360049,0.020933640360058615,0.020427339951791478,0.024200867197741255,0.0278368759071839,0.030413625304136254,0.024037498497656344,0.024440416301757674,0.04589902215126721,0.02171124050133228,0.0404265968505756,0.04056716763899084,0.032447701939227365,0.04627487274409996,0.050050050050050046,0.047212638460141634,0.04441049508819924,0.05212858384013901,0.03762999452654625,0.09244629710559048,0.06829841642974,0.0662326543140074,0.0732900410765114,0.0954323459516102,0.0742718349157918,0.0888741913482008,0.09727626459143969,0.07760229870592925,0.06675288914848346,0.07300523919951903,0.07535962054214597,0.06384940998415588,0.0740228977497039,0.08036709615534182,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020025632809996797,0.026543303503716066,0.01836210062431142,0.02332180199790104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022151337940811627,0.0,0.0,0.0,0.0,0.0,0.0,0.028042624789680313,0.0,0.0,0.05347275860020201,0.0,0.0,0.0,M
California,0.06858710562414265,0.0,0.05995203836930455,0.11246943765281174,0.11368250101502232,0.08940958840758441,0.0829211952498001,0.07541899441340782,0.06710075053432078,0.08184320825376355,0.09086403436312572,0.07031947849554326,0.0804269942238795,0.048049043161295664,0.057519980624848636,0.05804717096419407,0.052428681572860444,0.06355258976803305,0.03633335856483234,0.048174048174048176,0.04152084939794768,0.058667325387513125,0.04739037027675976,0.027801854547238623,0.04223633576322623,0.04117108874656907,0.02766654532216964,0.02997367529387234,0.016672819731091238,0.020917098566016687,0.024310069653634355,0.017017575373677592,0.012972741979793046,0.010869786748371229,0.010533453590261822,0.009471012388084203,0.012720623310542216,0.009366277653934774,0.01139249519379109,0.009759271307742354,0.01012821398153903,0.007785467128027681,0.009191066283572368,0.010620019495321502,0.009920780728699717,0.011159830370578367,0.013253134876134163,0.013038404620810599,0.010898642623600515,0.013271228300732506,0.010960414115760762,0.012075350185155369,0.01686330108487237,0.01590836780146357,0.021318365931342134,0.01616107201777718,0.016320853793534106,0.01929039909692354,0.017157870279351575,0.017960824678173108,0.018287293378983837,0.015802067813445304,0.023227478514582373,0.02219395812170825,0.03039601072897027,0.02491809707437031,0.024788120588304728,0.02123657545051878,0.019608858764419913,0.021299403267537965,0.02493094783527204,0.024747745292446298,0.024770642201834864,0.026528717336516777,0.022351297698698626,0.024454001180537987,0.02182718396171678,0.023427308787902987,0.026821455139851118,0.026331348907129334,0.02983360475184273,0.03445766581051458,0.03239173640530391,0.031963854408248116,0.02908103916246607,0.030527536350856314,0.03649239345146644,0.044487772727896856,0.0501336898395722,0.047771690891719384,0.0524531618375347,0.058491212052042905,0.0634581247838279,0.06293958928389988,0.07167362155761227,0.06893879829988947,0.0752515430793946,0.07217385374281102,0.06553274264906475,0.06807888325417062,0.08047245542811346,0.07698899392121683,0.07042253521126761,0.07712330087727755,0.07088621399457448,0.07890074356906104,0.06603780393628615,0.08487017157537388,0.0744589519597352,0.08567008068331479,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.0,0.05341472720335749,0.03416700833675003,0.0,0.03120319520718922,0.04122739855115142,0.0,0.0,0.05317891751359017,0.0,0.038895371450797356,0.0,0.037206994915044034,0.0,0.05037148973680896,0.0,0.0,0.0,0.039308176100628936,0.0,0.0,0.04180352343983279,0.0,0.0,0.0,0.0,0.0,0.0,0.03372031408063972,0.0,0.0234953205153307,0.017441657655143543,0.0,0.0,0.0,0.0,0.015156567340628695,0.0,0.0,0.014049284891399028,0.0,0.02430921319179969,0.0,0.013362909907261406,0.01571503404924044,0.025724796130990664,0.01846868239143053,0.03248247299894432,0.03983383599840665,0.022093867373670424,0.03363718927646406,0.03613784946943067,0.03213780691605605,0.018551728402696185,0.038165697845105984,0.03358676070959665,0.04803227769060809,0.022351363433169423,0.034881877279213575,0.053306575522874794,0.04626916314506925,0.04392257913384674,0.031539409926312476,0.021331058020477817,0.04803681136702652,0.06043902910743642,0.050471449218839615,0.03207551492656998,0.06253908692933083,0.062078955234175615,0.06207610070123003,0.052370976956770135,0.04354031107133354,0.0536389125929538,0.08049958530516661,0.08592752626927232,0.08576749656930013,0.08292915839469253,0.07130124777183601,0.08439034369885433,0.09337539432176656,0.13137616533185115,0.11948596649515959,0.09038365482957925,0.11272401021417562,0.1068594684309847,0.06714113065664026,0.10059687479042317,0.09482180438955573,0.09033214434613425,0.13218923933209648,0.10734732824427481,0.09319207376888367,0.06945873636550731,0.11950676299636047,0.075393722774489,0.07390772904289492,0.0835999884689671,0.10677594366847512,0.07804596039890158,0.09106397978967158,0.06562294928283491,0.07533326782614393,0.06685385746757588,M
Connecticut,0.0,0.10497900419916018,0.20358700920988854,0.18667315964613262,0.1747538882740141,0.17965525613012867,0.164537778739987,0.15346476212961868,0.1993788581726161,0.18249688925756946,0.1736742194757462,0.22187883830579658,0.15325018092035247,0.17063390495691494,0.271660835562873,0.20259493943704468,0.1710076295711655,0.1801089439465823,0.17319477751132425,0.15691342071257153,0.1916583006297344,0.16226582091753947,0.11867292709354524,0.11563239909696602,0.09829083164964779,0.10289180114805589,0.07062914267086819,0.06897283531409168,0.07071421355692495,0.11115602263540826,0.028295213393067672,0.06936793569184314,0.060751398880895285,0.048415892516718614,0.044787431957555295,0.031419095828242274,0.025382142252806137,0.05346776657500764,0.027690092484908897,0.028639344731792533,0.03127665624111459,0.03440154542327132,0.02695483839349163,0.026156223992390915,0.03176187667317029,0.032845037114891944,0.042949791693510285,0.046218149666425526,0.0286691376732947,0.04876363858016539,0.038457645987248254,0.04682791758286505,0.0356088058482227,0.0350891677675033,0.033064682785699524,0.04984288655325604,0.029533372711163616,0.05482456140350877,0.029229082937522834,0.048236939848536005,0.04319861764423539,0.04595588235294117,0.037430986618422285,0.05690567048269398,0.047757120927852635,0.04179873907137135,0.049691204656775755,0.041765279131282196,0.05155525004296271,0.04272942413883776,0.01620798080975072,0.03473757342259837,0.0372035343357619,0.03947048821957736,0.032407271013169134,0.04837516362187695,0.0,0.037382179381057916,0.02091886096802029,0.04123923913603794,0.033274463129335276,0.03995737879595098,0.013822464268929864,0.022690529540233147,0.023349483392679934,0.023999520009599807,0.03046736944732192,0.04191790539451198,0.03206361421059382,0.05891016200294551,0.04961958319550116,0.05746737881143939,0.051842123453376646,0.0377371436412913,0.06782807368270742,0.08491785120915636,0.05677731935349559,0.05382338241513206,0.03679777577888625,0.0517620670318768,0.054117434833588884,0.07851468686495473,0.06582968918982461,0.061787072243346,0.08898047112817871,0.052874447221688145,0.05385820603211908,0.08161599673536013,0.03168400485821408,0.07168854086246829,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06179196704428424,0.0,0.0,0.0,0.0,0.0,0.05924872615238773,0.09980039920159679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08204567209079722,0.07198387561186294,0.0,0.0,0.0,0.07322788517867604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09185548071034905,0.07923930269413629,0.08371002846140968,0.0,0.0,0.10905125408942204,0.0,0.09097525473071325,0.1128031584884377,0.13394565633371602,0.16296598085149724,0.0,0.16362786348761105,M
Florida,0.0,0.0,0.08066374740723668,0.07544729467557663,0.0,0.056741612880346126,0.0,0.06054083142741827,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02483546504408295,0.0,0.027487630566245192,0.023714665148928095,0.022428565020409994,0.024588148512417016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012822156686754713,0.0,0.009655119144170238,0.0,0.01087961703748028,0.0,0.009365341991071707,0.012968673448802558,0.016310996330025827,0.016802812532313104,0.013089005235602096,0.017960979771446534,0.01741534509594767,0.021097936621798388,0.02480568877129155,0.017595429328475617,0.015820782179470954,0.018195245689332232,0.01738601295257965,0.022047134452708894,0.01083371451958495,0.019845945845375274,0.007329945269741987,0.012762945687864758,0.015280006112002446,0.007685044902619502,0.010615961688173818,0.029154873115562627,0.026272421123026586,0.01517124543282299,0.019256691700365876,0.02565825646038243,0.02630226079887139,0.02347076771763549,0.0254714770400106,0.027135464113348707,0.01660194980677175,0.02052362000963718,0.022155188574739675,0.01627352541517832,0.0207329909731747,0.026122298454942877,0.02638812534359538,0.02646921560569227,0.024601422782284242,0.02554151560515655,0.022578131259058564,0.028643614677281944,0.026194467728415757,0.02280744434983579,0.034709366901147724,0.03161604244260917,0.05472652155145835,0.04116344996310823,0.043395177806031165,0.05362834027948026,0.055598026270067415,0.0710431246882416,0.06178215463403378,0.07487696188544551,0.07440792550703686,0.07276307060157938,0.06625857408536814,0.06601776038773358,0.07451065753562279,0.05527633917561718,0.07057466713716445,0.07412014278776932,0.0723960569403406,0.09913362212595801,0.07757886481882806,0.08189009304108442,0.09134237110325305,0.09391787820729554,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009549160270718693,0.008286965786669823,0.0,0.0,0.00561192421657538,0.02150172579641261,0.00699154023631406,0.012963137550674084,0.01529285823520416,0.029645792076272694,0.024122251570961633,0.020531648932958127,0.0060062945967373806,0.020574015019030965,0.013559873621977843,0.0,0.0,0.006837793854190884,0.007812906922235532,0.0,0.010337749028990002,0.010868215128555458,0.014368274849133113,0.011919762966999285,0.013842267363394124,0.03599712023038157,0.013219862843922995,0.01423960508828555,0.019566526189042744,0.02726363939292963,0.01204420222215531,0.010477943928031494,0.016151293571785158,0.01981375074301565,0.012499826391300121,0.0,0.01319713886029509,0.013957442488992652,0.008790436005625879,0.015632124014850517,0.013232939432836216,0.016163793103448277,0.016247173668747207,0.0135189941868325,0.010849075794355768,0.017185764898736185,0.01697393847600146,0.01903601614254169,0.013631575686225911,0.02737101409607226,0.021254516584774265,0.018489300857903557,0.02087477590314104,0.028150052016400466,0.018925280626426788,0.020279862096937742,0.02625722073570232,0.02115422754015998,0.012643823492224046,0.018740359526589687,0.013235878053443536,0.030101441859065048,0.028247327654133774,0.02559123274473498,0.014157621519584709,0.02429858096287177,0.024151672503320853,0.026869200730842258,M
