state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.013042911177774879,0.016121664830588172,0.0,0.013058239749281797,0.012836970474967908,0.0,0.01038098204090107,0.014831765403847784,0.0,0.009957779016968055,0.0,0.009647667194072474,0.0,0.018557083651209304,0.0,0.0,0.0,0.013097005151488691,0.0,0.014110058455956462,0.0,0.010072116353088112,0.0,0.015953416025206398,0.011548899967278117,0.0,0.015219155844155844,0.008091269520187717,0.0,0.0,0.0,0.0,0.008555783709787816,0.024314196630338396,0.02326122354035822,0.017357595394451357,0.02147551075923089,0.012977836738813827,0.012897123941361076,0.024592416855931838,0.026948443372810438,0.03428718373644585,0.03963884606914776,0.035416512949162544,0.04969056331029498,0.06555777469469896,0.042286609240407204,0.076550971545841,0.08785773554821599,0.1057231463208345,0.10522953191649284,0.09549237035449107,0.07776359866007337,0.08093969006021123,0.05522336900636021,0.08047578856458673,0.07759624089321895,0.07468597940477538,0.08053753048920796,0.07432805044716714,0.09501534863324075,0.0713217531347061,0.028714316479624802,0.07300269197426655,0.044799856640458754,0.03216690025963284,0.021048692642312548,0.018920133386940378,0.011900794973104202,0.011834039431019384,0.0,0.0,0.0,0.0,0.011452917057974667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022446059313711735,0.0,0.014417116000115337,0.027518728023238036,0.016328130102540656,0.020179598425991326,0.0,0.028091860383453897,0.02430302399055654,0.0,0.017921789311444853,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12257405515832481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.4721435316336166,0.0,0.0,0.0,0.0,0.0,0.18075918859208676,0.08741258741258741,0.10432968179447052,0.0,0.0,0.0,0.08194034742707308,0.0,0.0,0.11754334410813988,0.09930486593843098,0.0,0.0,0.1337223437879893,0.19214932747735383,0.06997900629811056,0.1846153846153846,0.12964563526361278,0.06734006734006734,0.16891891891891891,0.11682242990654204,0.16774770744799822,0.0790871088012654,0.16063396872992075,0.10287007509515482,0.11535048802129547,0.13975155279503107,0.08581012559482018,0.09777560498655585,0.07694998251136762,0.077570260755415,0.0756209644581467,0.07900231363918515,0.05491789774287441,0.041277539858624424,0.060895634251452134,0.049085229808121376,0.07679508511455267,0.0787336316923587,0.046838407494145196,0.066203243958954,0.04716467728476581,0.045599635202918376,0.06334389064844141,0.08995202558635394,0.08952551477170993,0.057736720554272515,0.04534040178571429,0.044893378226711564,0.01974177754965057,0.04336171554714601,0.02751356025469696,0.02600586989634803,0.05410157570839251,0.04017274279401426,0.05170809059257471,0.03394894079304726,0.06200437293998629,0.050071769536335416,0.05258660356274239,0.06000126318448809,0.018427518427518427,0.059060100683409736,0.028802597470608256,0.015119443604475355,0.014939867035183388,0.024604482936791083,0.014254490164401787,0.011104695065073512,0.0,0.010466820180029307,0.014299137966254033,0.0,0.017895134511761078,0.012165450121654502,0.012018749248828172,0.0,0.015964877270005985,0.011842494818908516,0.0154006083240288,0.011590619325425955,0.0,0.022211938917167977,0.016087516087516088,0.045396767750136194,0.026646297052919543,0.03475238922675934,0.03934044882320744,0.04034020237334857,0.05241506377166093,0.04361662601166341,0.04431490855789061,0.03555322692314889,0.032117550233855915,0.024802099911125808,0.01862736981538207,0.029363031942784036,0.02294630564479119,0.0,0.024381053704811934,0.0,0.0,0.012962434863764812,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026371308016877634,0.0,0.029943108094620224,0.0,0.0,0.02877421830040284,0.03168969451134491,0.0151372952680815,0.0,0.027815551984176044,0.0,0.0,0.0,0.0,0.0,0.0,0.019630296090299364,0.0,0.0,0.030035040881027868,0.0,0.01855230203147707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014433138485963774,0.0,0.012391266635275459,0.0,0.0,0.015939641889378884,0.013283034907815737,0.0,0.0,0.0,0.02565930149679259,0.03749747613141423,0.03491112210164955,0.05531134464789963,0.0549514113836187,0.05278282798662835,0.0772499034376207,0.09464575446187128,0.09090909090909091,0.0567902169386287,0.07726482518833301,0.056359195942137896,0.08413505505359037,0.06913364625404796,0.07350665428659857,0.03945862762893106,0.0386981927943965,0.11146053102981571,0.1044638193579493,0.03864883667001623,0.06007689842999039,0.06067040800849386,0.03672420124862284,0.03498270299685156,0.04223783742272396,0.03092624091541673,0.019414459889725868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022198543775528327,0.0,0.0,0.0,0.0,0.02239942657467969,0.03607666290868095,0.022151337940811627,0.0,0.028198138922831094,0.04920775514221041,0.026271542664985287,0.02651113467656416,0.04949950500494995,0.0,0.0,0.0,0.02970708811122334,0.0,0.052521008403361345,0.0,F
California,0.06858710562414265,0.0636064878617619,0.0539568345323741,0.05378973105134474,0.03654080389768575,0.06474487436411284,0.05626795391950721,0.05027932960893855,0.08201202843083652,0.06448252771508643,0.0578225673219891,0.06271737271224129,0.05666447320318783,0.0546764973904399,0.06357471542746428,0.03971648539655383,0.05088666152659985,0.07111837426422746,0.06963893724926198,0.06371406371406371,0.08600747375289162,0.07101834125856853,0.07898395046126627,0.05887451551179943,0.059443731814910986,0.06251906068923453,0.06698216235893703,0.058644147314098054,0.0524002905834296,0.0569409905408232,0.060246694359006876,0.043489359288287184,0.03052409877598364,0.03260936024511369,0.0237002705780891,0.027781636338380333,0.021731064822176287,0.022479066369443454,0.024683739586547362,0.020447997025745887,0.024399788228253113,0.01254325259515571,0.016384074679411612,0.01403359719024627,0.013962580284836637,0.014399781123326927,0.01733102253032929,0.022817208086418544,0.0257604280194194,0.02460032563062611,0.025991839188804093,0.03343943128196872,0.028105501808120617,0.03244059316376885,0.036591225106035005,0.03737247904110973,0.032286906417643556,0.03858079819384708,0.03145609551214455,0.027632037966420164,0.0352199724335985,0.029722937077670923,0.019152482283953887,0.03201051652169459,0.04723704370042677,0.059231542225962205,0.05311740126065299,0.03981857896972271,0.040697631397852645,0.0457413414434012,0.04002073205135775,0.030386472067940394,0.025993883792048932,0.032859433973640106,0.023527681788103817,0.023610759760519434,0.030115987997811757,0.03141389132923355,0.025303259565897282,0.03327324998264525,0.028263415028061536,0.025616554188079916,0.026607497761499642,0.028839567887141156,0.03330648929718336,0.03078407026977107,0.037021268718878994,0.03679852805887764,0.04122103386809269,0.045792981801529825,0.04910508767769206,0.060773795937000684,0.059170413649785474,0.060117186176998544,0.06799078724832786,0.05298601852801422,0.05890476593106169,0.05995544543202019,0.06612579914362642,0.07091550338976106,0.0505826862690999,0.046528131108909306,0.0498685895275962,0.043037556293123634,0.04294068732363646,0.03592801716091173,0.03428192007621412,0.036318316665137476,0.028888445842301633,0.0323926673230444,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030526894193784727,0.0,0.0,0.0,0.031922364808785034,0.04407505351970784,0.056793083864453836,0.059194948697711136,0.03418102269619907,0.04585953878406709,0.038481272447408926,0.04488905989483134,0.0477754553598089,0.05755064456721916,0.04594004823705065,0.03861003861003861,0.06595943494750728,0.045408678102926335,0.048026126212659684,0.04335468953225107,0.028960324355632783,0.02741120726788581,0.020929989186172254,0.017260425296879316,0.027751760502306867,0.02686547115320035,0.015839325878290622,0.015156567340628695,0.01788695444788934,0.017308524448290785,0.022478855826238445,0.024323666927920866,0.02430921319179969,0.029845076918902785,0.029398401795975092,0.041906757464641176,0.028297275744089728,0.029022215186533692,0.037896218498768376,0.04836965799806522,0.047344001515008054,0.05381950284234249,0.039423108512106175,0.035351587607661654,0.030919547337826977,0.05578063531207798,0.039693444474977864,0.06404303692081079,0.02873746727121783,0.06025051530045981,0.06584929917531591,0.0678614392794349,0.06149161078738544,0.031539409926312476,0.0399957337883959,0.02275427906859151,0.02417561164297457,0.02294156782674528,0.01603775746328499,0.01389757487318463,0.016094543949601085,0.011495574203931486,0.014282993715482764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015158788307521284,0.012192445560730571,0.01427110339414409,0.013802940026225587,0.018188845690380376,0.03357056532832013,0.0,0.03237817710862879,0.01852967063510446,0.011595547309833025,0.028625954198473285,0.03433392191485187,0.02829800370446594,0.02716062795371829,0.01675416061655311,0.01989823474231786,0.02306206578454265,0.017315017892185154,0.0,0.0,0.0,0.0,0.030084235860409148,F
Connecticut,0.0,0.0,0.0,0.0,0.029125648045669014,0.0,0.0,0.0,0.026839461677082933,0.0,0.0,0.0,0.0,0.0,0.0,0.0215526531316005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032763610549882596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010835410120273052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017056114617090227,0.04179873907137135,0.0,0.0,0.0,0.02300815145937418,0.0,0.02526368976188972,0.0,0.024289531212047608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016363933889707083,0.0,0.0,0.0,0.0,0.017849493074396684,0.05168912682296474,0.030281236988530982,0.04997885509976549,0.028620492272467084,0.03450804468791787,0.036078289889059256,0.0,0.0,0.02376425855513308,0.0,0.0,0.02448100274187231,0.0,0.0,0.03308701885960075,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07849293563579278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.06254343293954136,0.0,0.0,0.035572419517400845,0.0,0.026182122846520398,0.0,0.03029843963035904,0.031280722137813924,0.03972668043858255,0.031273889776912915,0.04018852069708816,0.028974709218096775,0.03254754266052913,0.022906358805204325,0.0,0.026914278024491995,0.0,0.0,0.02615746795710175,0.0,0.0,0.0197441162533565,0.0,0.0,0.0,0.0,0.02006974235468252,0.011626825411589619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009365341991071707,0.0,0.006796248470844094,0.011632716368524454,0.005949547834364588,0.010103051121438673,0.01306150882196075,0.021097936621798388,0.04340995534976021,0.04140101018464851,0.039024596042695016,0.042812342798428785,0.04998478723866649,0.05917915037306072,0.05296482654019308,0.04217263492142246,0.05619624706802189,0.04292990822281783,0.03601715726400576,0.041718815185648725,0.02712967986977754,0.03279923225500796,0.048962239365640446,0.08849893169146744,0.06932409012131716,0.04154193903109536,0.047822292361584355,0.043588568618465905,0.026490336121611023,0.03101195898668424,0.03873788288246742,0.018738957400103513,0.01704245274979975,0.020341906768972896,0.015948454594749768,0.018439269497606735,0.016126076598863844,0.016020841024497953,0.015034202811395924,0.013480244347165956,0.01747984355540018,0.011751226534269514,0.014219853909711413,0.01368446660990147,0.01774034308280884,0.01773582868731734,0.02774865881482395,0.02485340375131063,0.024362205084087672,0.040604314783035056,0.057142415888680395,0.038544674032982146,0.03200762228028256,0.0457985300852725,0.04393610839463129,0.05064880404619742,0.046682177196509377,0.04347511049923919,0.033487935971066425,0.03486661394154314,0.03528733356858223,0.04174582754713445,0.027779882314316738,0.03165611462845718,0.03794618387877459,0.04268738892567167,0.036175196476535866,0.03287125737255344,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015210860554435867,0.014150526222693909,0.012028524787352866,0.02101723413198823,0.02268127573452439,0.0,0.011288805268109126,0.0,0.00993917226573371,0.009468083091897214,0.0,0.010084101405723736,0.0,0.0,0.009526894422956005,0.010211166932157007,0.01534507231365328,0.0,0.0,0.0,0.014871823471455395,0.0,0.010651139671944898,0.011942131841135526,0.0,0.0,0.012179711645326797,0.007906763445451239,0.010958303654594269,0.0073643125414242575,0.0,0.0,0.01274274937560528,0.0086546902239092,0.013130095372238203,0.014206227062862556,0.01372824930500738,0.014856803273068044,0.01571338780641106,0.02602840491144684,0.03262718776946562,0.03771094560196097,0.06234780665121696,0.08775154454576718,0.0916645559696542,0.11111245304894987,0.10330826706388295,0.12730171793025408,0.10576701425142718,0.09594897772008296,0.10836218300543218,0.06564282100023248,0.08594197614459087,0.08801505734519505,0.07236424320293001,0.06210408644888834,0.09099907404450973,0.10727786670299355,0.1055472886458802,0.06544930950978467,0.057836899942163095,0.06328713372571357,0.03612281757977122,0.028778286025870167,0.018066303333232964,0.02544643525379077,0.020556191818635657,0.008491607461292423,0.013888695990333468,0.012093360744951022,0.0,0.01015086726472193,0.0,0.011724093011137889,0.014556233376119838,0.0,0.006769655695311336,0.0,0.006780672371472354,0.006609909576436995,0.0,0.01649788065686946,0.014870809839519177,0.01741791806113689,0.0387582361251766,0.04314170200177497,0.034381983840467596,0.030597882626522247,0.03311924109624688,0.07038305080701922,0.05126409762684738,0.04363059430157996,0.04074120903049971,0.03459758681831942,0.025001102989837785,0.02558622558020529,0.025273924743172325,0.03311806590495115,0.015730690577316343,0.012959243180198277,0.02242655303879794,0.01970408053595099,F
