state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020151423554135357,0.0,0.017482008099997087,0.014028787071069835,0.0,0.020183962400161473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.18005041411595246,0.0,0.0,0.1606748343040771,0.1048951048951049,0.20865936358894105,0.2150868028883085,0.13029315960912052,0.10369858278603526,0.11471648639790233,0.15379883112888343,0.2495229707911346,0.19100793417572728,0.17023691303731026,0.20480611687602404,0.19404915912031048,0.12156576707999028,0.1784243755146857,0.18194541637508746,0.13846153846153844,0.10083549409392106,0.10774410774410774,0.0,0.10514018691588785,0.0,0.06778895040108462,0.09638038123795245,0.0,0.05323868677905945,0.09316770186335403,0.0936110461034402,0.08147967082212988,0.1259181532004197,0.059669431350319234,0.04071898086207899,0.06207324643078833,0.07139326706573672,0.04643723234095248,0.07026419336706015,0.09370816599732262,0.07679508511455267,0.07044588098789989,0.046838407494145196,0.04045753797491633,0.05804883358125022,0.0666456206811884,0.056676112685447574,0.04331023454157783,0.04310487748267516,0.020377666077978536,0.038364955357142856,0.08604564160119717,0.03948355509930114,0.05518763796909492,0.05895762911720776,0.06687223687632352,0.050720227226617974,0.08369321415419638,0.0723913268296046,0.05092341118957089,0.05874098489051334,0.04673365156724639,0.036153289949385395,0.07579106928566917,0.04914004914004914,0.07030964367072587,0.07593412060433087,0.0680374962201391,0.054779512462339086,0.059050759048298596,0.06652095410054168,0.05774441433838227,0.06111402130260171,0.06280092108017585,0.06128201985537443,0.09478672985781991,0.07158053804704431,0.06285482562854826,0.09214374424101598,0.08146805433919224,0.07583316703252843,0.09079246027829863,0.10780425826820159,0.10045203415369162,0.08970835242021682,0.12401665895418788,0.09116259116259116,0.11803159615035409,0.07460963174817473,0.09035621198957429,0.09749589490968802,0.11261639829226477,0.08894677488524277,0.0823869602442531,0.078403299756268,0.06549278643737955,0.05419836601963185,0.0516710414815121,0.06830035598973425,0.0482392667631452,0.05840877800492302,0.06441638752898737,0.05319502626504422,0.061484617021779736,0.056750888274772995,0.057034713400565165,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02679049830326844,0.0,0.0,0.0,0.03607666290868095,0.0,0.0,0.023498449102359244,0.0,0.0,0.02651113467656416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016520733520568313,0.022806317349905927,0.014623089858887184,0.02485295335929086,0.030273674013078226,0.0213857998289136,0.04626060138781804,0.05447364837259975,0.04995836802664446,0.06216006216006216,0.04152084939794768,0.02470203174211079,0.036332617212182484,0.02126024171259424,0.012514469855770736,0.018298261665141813,0.0,0.009122422915526363,0.020245566816325073,0.019755037534571314,0.02325311010347634,0.011345050249118395,0.016788254326791003,0.01426659510723724,0.014483498686610006,0.02083622725378525,0.019610960937085916,0.014049416480902159,0.018038117390169226,0.021377451436007062,0.024399788228253113,0.02422145328719723,0.026773975695623856,0.02844648079103974,0.022046179397110482,0.024479627909655775,0.025826621809902472,0.026076809241621198,0.042273522903662604,0.029779341552863187,0.03444701579239097,0.03374905564569065,0.04278281941902805,0.04242231413723618,0.043591285561102575,0.04511632604962796,0.05605858476909539,0.05394167154880471,0.06398455791674859,0.06044508305154411,0.07111725202938159,0.0756241816786311,0.0872049193354496,0.08664179805205337,0.09159878908865365,0.11560363068929176,0.11646482054187618,0.10428675444451185,0.11210347557772138,0.11871798542562144,0.11087711010949934,0.1284376654418099,0.10703363914373089,0.10671779474007885,0.10381589589000809,0.10934030412907214,0.09946564843313975,0.10728642547187392,0.10171910345490706,0.10508601972936162,0.11866148055432184,0.10949376701630618,0.12563366334342874,0.12280849325274276,0.12502361280957636,0.11184878864683488,0.12349237494083207,0.11918329236979773,0.10778743315508021,0.10995969086910558,0.1007212309752661,0.10785208856425473,0.0977598138561673,0.09172810097429356,0.10170288592562375,0.0997048735742203,0.09216200219835968,0.08410811302311837,0.09162722840977831,0.07627356364587634,0.07127560337918622,0.0656080122111239,0.05964013747557113,0.057153874757268186,0.06338863366822525,0.05353979027900571,0.058098832971268145,0.04893415298039576,0.05533561457116933,0.046884123757037946,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02970708811122334,0.0,0.0,0.0,0.0,0.0,0.0,0.05107578369405605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019212911076243237,0.015965259595121014,0.0,0.0,0.0,0.0,0.0,0.013331911262798635,0.035395545217809014,0.01450536698578474,0.0,0.02291108209040713,0.016213837352048732,0.0,0.029888492930221864,0.01904399162064369,0.014513437023777848,0.014628794343532855,0.01463628823730302,0.03191593832858686,0.022054499117820033,0.04272108159726585,0.02037178507766743,0.04603109656301146,0.027760252365930597,0.020211717743361713,0.0682776951400912,0.03567775848536023,0.048310290091789554,0.04092490280335584,0.06042701759097623,0.02682583327744618,0.05550544647193506,0.06948626488164172,0.032467532467532464,0.050095419847328244,0.049048459878359825,0.04887837003498662,0.02716062795371829,0.025131240924829667,0.025583444668694392,0.0461241315690853,0.028858363153641927,0.02601532013296719,0.026437929616356267,0.0249992187744133,0.029478235236317183,0.01671346436689397,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005167851827352406,0.006210151527697276,0.0073830316837531105,0.007492159989725037,0.009779632285826054,0.010443379477598951,0.007222476346389965,0.009922972922687637,0.008551602814698984,0.0,0.010914290080001745,0.019761544035307294,0.009436410389487839,0.013362650177966203,0.015524612481788436,0.01896405679102874,0.02439180948713011,0.023214612987965056,0.010760015781356479,0.01788248968962704,0.017320604387207207,0.012598608338340473,0.017524280351592404,0.016061963485803007,0.009373349012389863,0.0073230864368302425,0.01515103186501228,0.01690266370613951,0.013927066153564231,0.018807074246149774,0.02391804992722079,0.019156136703867413,0.024763111703483588,0.015423484826228738,0.013471440546042391,0.021286948059846735,0.021596939405158583,0.022362566605747952,0.02004069803292841,0.028736748087452912,0.031975394172865074,0.03983819563618534,0.031659987181566165,0.021917559744244752,0.018609082721094513,0.024716667030147063,0.027637229474042267,0.019974176243570813,0.02108227357261714,0.02656812308286839,0.019255563183363193,0.01955932001598762,0.016352666775684446,0.015335201956090205,0.016836292311707118,0.022492502499166945,0.019394716204707015,0.020908108861553473,0.015374458502527742,0.027236184680115707,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006598569430147545,0.0,0.0,0.013026770012375432,0.00926305760298535,0.009428879310344827,0.01083144911249814,0.016222793024199,0.018985882640122596,0.015863782983448788,0.01436256332584739,0.02538135485672225,0.028502385525745088,0.02861515110043918,0.02875611067351812,0.038211221773000695,0.03069819985756035,0.03304571323664402,0.026022260861336837,0.033402125806720986,0.023756533046587813,0.030409202088979972,0.019668169876792964,0.014415661174299758,0.00882391870229569,0.010535504650672768,0.010406910188365075,0.0,0.0,0.009719432385148706,0.0,0.01970408053595099,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045021385157950025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06039168320248468,0.051076870690389034,0.0,0.0,0.0,0.0,0.0,0.0,0.06420545746388442,0.05550269584522677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004185151083954131,0.0,0.0033483263948569705,0.0027215179538539417,0.0027153842811834727,0.0030997339395035257,0.008185106176174179,0.0054293907729971716,0.0071687671154314885,0.00686766018817389,0.011568662421610261,0.007769366359614833,0.010845773106426614,0.009684983178713427,0.009988644488371116,0.009630406403150212,0.008016858307755738,0.010139568173684839,0.01725327812284334,0.021365104500496425,0.015008160687373758,0.027148993677301027,0.013606676342525399,0.036027467341100856,0.023748965770845464,0.02991095738072047,0.03315956692063296,0.03468288284122176,0.03360189962739227,0.0470681121132064,0.02824388230267303,0.035575024937394936,0.025625876440565763,0.030090917558050392,0.025657002529047394,0.032298793199635904,0.027056474906947663,0.03248421116248149,0.03110350803137011,0.02411364101364978,0.028978336926175918,0.05571923079601886,0.03991162426056589,0.047132294459009634,0.05900806692560502,0.04334666686945809,0.05304915628437469,0.04726768732825406,0.047565546142680236,0.056078311712945014,0.05604396523601202,0.05922194047777926,0.057585149806073536,0.06466553065058767,0.05685446132584605,0.04400578361727541,0.060021238284315985,0.049289945781059635,0.038820978478028276,0.04561410467445412,0.04039316009155783,0.03165489613919422,0.03285337200212981,0.01973577282964545,0.02601579868501963,0.014164305949008497,0.02049699176503213,0.02893482117022481,0.03334667200213418,0.022681201536651402,0.021068472535741158,M
Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010743677345881948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007581829603795248,0.0,0.0,0.0,0.005014290728576443,0.0,0.00713121434392828,0.0,0.0,0.0,0.0,0.00546728920866456,0.0,0.0,0.006119202056051891,0.0,0.0,0.0,0.0,0.0,0.0,0.01009241771075131,0.0,0.0,0.009082652134423252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00778755548633284,0.0,0.009718330390838853,0.0,0.011460567461811752,0.01663561352142667,0.0,0.02321917240235509,0.009891522964819151,0.020319352489967323,0.02629088232201073,0.02780964299370807,0.015808888108203058,0.01965338574236198,0.012529982458024558,0.021836445026749647,0.01510431416973473,0.009925755349982133,0.014616219827946213,0.01273425727444447,0.015246226558926667,0.013356484573260316,0.011156231871123209,0.020434575301409987,0.011735160889055789,0.0,0.012880622391673967,0.01610954490535642,M
