state,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.009970885015754,0.0,0.0,0.0,0.0,0.0,0.008758408071748878,0.026111264706785858,0.027537588808723906,0.017111567419575632,0.10011728024256986,0.11049081181670156,0.11427083634680477,0.11310435666528268,0.13122034924800646,0.10031096398836392,0.1663604669665977,0.1389972342387065,0.16429275540380303,0.23930118182485502,0.17265550062716742,0.19273915465811386,0.21191931819914317,0.18794048551292092,0.1905630568268808,0.19198542212387942,0.17620524386805753,0.1428115076009546,0.14811061524370042,0.12561812091242622,0.16385351890237884,0.12187226263472599,0.1315092154592027,0.12932706815536493,0.13352947832974993,0.09664503658704957,0.11508859424077492,0.09014276665204891,0.057517542850569425,0.071785791199062,0.034220011862937445,0.0537598279685505,0.03905980745812559,0.02338743626923617,0.01655511671357283,0.026181748940829246,0.033135310406854274,0.0,0.0,0.016598691074646683,0.018218669581653798,0.0,0.0,0.012125621438098703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014568340083330905,0.016834544485283803,0.0,0.028834232000230674,0.01834581868215869,0.016328130102540656,0.02354286483032321,0.01748068384435199,0.017557412739658683,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16228497241155468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1337920489296636,0.0,0.08920606601248886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03385813441679363,0.07688505684002417,0.05675661730560859,0.060895634251452134,0.040160642570281124,0.05119672340970178,0.045582628874523454,0.0585480093676815,0.09194894994299165,0.05804883358125022,0.07366094917394507,0.06667777962993832,0.0599680170575693,0.06963095593355217,0.07471810895258796,0.06277901785714286,0.05985783763561541,0.0552769771390216,0.05124566382844529,0.06288813772502162,0.0780176096890441,0.07777101508081423,0.05691138562485354,0.04826088455306973,0.06789788158609451,0.02937049244525667,0.04673365156724639,0.049299940840070985,0.05052737952377944,0.04606879606879607,0.02812385746829035,0.015710507711240867,0.012599536337062798,0.032369711909564,0.034446276111507516,0.030884728689537205,0.019988451117132322,0.013095861707700367,0.014653548252041031,0.024512807942149776,0.01411717253201573,0.01391843795359195,0.0,0.0,0.01018350679239903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01243493862469579,0.0,0.008552271483305967,0.011765892358893333,0.015883352658079067,0.014538875337221136,0.022157454278945304,0.018712224696394157,0.01806612200654395,0.016534733274083873,0.0,0.0,0.012516166715340648,0.0,0.0,0.0,0.012337149624950652,0.012962434863764812,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020708697653014266,0.03608284621490943,0.07992443507956114,0.0916953731010384,0.09086549382871854,0.1227378372026219,0.11689070718877849,0.06375856755751554,0.12176560121765602,0.11806375442739078,0.15673550196606814,0.1083392729864576,0.17018085321180307,0.14546300875687312,0.14846729352857269,0.16196205460434984,0.14368658729693273,0.14855750661080905,0.1149269875608437,0.09454545454545454,0.11736644833983266,0.09658103148541626,0.06763103513056547,0.07316091743790468,0.14554451842957464,0.10445682451253482,0.07891725525786213,0.061917108471034404,0.11544126428088054,0.06428542729719958,0.042513720337017856,0.04405639218199295,0.026543303503716066,0.051413881748071974,0.02332180199790104,0.023038820412394884,0.03092624091541673,0.027180243845616212,0.02719714041495066,0.0,0.0,0.02006501063445564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.006341757300948092,0.004727104270465998,0.0,0.008831701733051624,0.005925067644522275,0.010733814039828763,0.006360311655271108,0.010771219302024989,0.018512804689910522,0.04368435728227531,0.04925994981930346,0.044550173010380625,0.04955183561578146,0.04665222849730517,0.04005055923808404,0.045359310538479816,0.04927447582152445,0.049545937559080266,0.06935499851382146,0.05955868310572637,0.057307308090977706,0.06811736001882517,0.05964612050390042,0.06051418340164574,0.04963679231775183,0.04780983805259083,0.0397377309755613,0.044653701613248935,0.04396704259083841,0.03937565410214874,0.03894516182561372,0.04891116227971165,0.04930745439060469,0.050363212660799496,0.037378878058598575,0.03553892533557732,0.03934622315603925,0.027683392997997696,0.029598277380256468,0.02548944981197166,0.022962715111434776,0.023494694897892056,0.0253822629969419,0.02049946339639933,0.018528049408131755,0.014054023666975855,0.020445716622367615,0.023959747623991695,0.019736542461399876,0.021065079125703465,0.015253271602445908,0.01790891841467534,0.01596449865689979,0.018265059661856067,0.017398912319424146,0.012826695945737947,0.012164131150488812,0.009886171717310412,0.009748217468805704,0.008762854542268052,0.006138135959711508,0.007703720611732481,0.008289574859148689,0.00987841087415469,0.016431106918345897,0.025638396061942362,0.024238324737183282,0.03324543656657043,0.037955615651947,0.028366201355904425,0.025948261138044746,0.023766167688723458,0.020890895612911922,0.02892123782897908,0.024196736507763404,0.0225430695911603,0.019125702779361563,0.01911490350796709,0.017495819312943243,0.017474991582168687,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027751760502306867,0.02014910336490026,0.05068584281052998,0.02425050774500591,0.04769854519437157,0.023078032597721045,0.028098569782798056,0.04053944487986811,0.0432163790076439,0.03255826572971213,0.061469385573402466,0.05238344683080147,0.08231934761917012,0.0817898791620495,0.04330996399859243,0.07113184999715473,0.031562667676672033,0.037000908204110464,0.02956733138407963,0.04820671037408407,0.03401150207160967,0.04110152075626798,0.045800128240359075,0.03522367030644593,0.03831662302829044,0.0,0.03762817095732338,0.040099941392393354,0.020497203595795144,0.025804971757892023,0.023997440273037542,0.0,0.016922928150082197,0.0,0.013746649254244278,0.0,0.0,0.018392918726290376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017625286410904176,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020047541312254776,0.0,0.0,0.012252199269768924,0.02853406253715373,0.02495576024320523,0.019707022268935163,0.019327406262079627,0.020094847681054576,0.024573546577109744,0.02641363756425625,0.02024086630907803,0.0305399462496946,0.033514170210091954,0.04128137384412153,0.030998140111593304,0.019503738216491495,0.020446181107728657,0.01906941266209001,0.04871513822920472,0.019294775939414404,0.035998848036862825,0.035142733564013845,0.021834742194079666,0.05355827810135905,0.020467337540508272,0.027865826047580897,0.024845602328387877,0.024363079493247945,0.0,0.03944254535892716,0.01620798080975072,0.0,0.027902650751821422,0.0,0.0,0.0,0.0,0.0,0.0,0.012887262230011857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12376237623762376,0.0,0.05238344683080147,0.05135051864023827,0.08649583738782571,0.06387735547748323,0.11989100817438691,0.0,0.0,0.06402868485081316,0.0645244547683572,0.06361323155216285,0.0,0.0,0.09052504526252263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.02067763566005967,0.0,0.0,0.0,0.0,0.00951818925967524,0.013517166801838336,0.07981452624377637,0.08703693629984224,0.11814037072781125,0.11706677488839633,0.09078071414161792,0.07611798287345385,0.09176920690724848,0.11304140885292717,0.13133966457870277,0.14694197424705843,0.12869741339297017,0.13126343641475113,0.15214871242858327,0.13711344555541494,0.12843702839528637,0.10322945190594168,0.10211304378096753,0.10111466884945952,0.0905471279195247,0.0965109460516028,0.07077633517815912,0.052388592384008385,0.08453549392881453,0.08374814220670457,0.088679405726503,0.05254484224605317,0.04298519539299847,0.05648629565440657,0.05253833465697355,0.02630226079887139,0.04135325740726253,0.02852805428481187,0.03004283526835036,0.017524280351592404,0.02587760783823818,0.023007311212229667,0.01952823049821398,0.019935568243437212,0.019975875289073967,0.019791094007696537,0.021593307467801595,0.01776769423164973,0.010642298168815229,0.013838209481358476,0.00807896824231029,0.014219853909711413,0.009883225884928841,0.007713192644699494,0.007711229864051018,0.003853980390947771,0.0,0.0,0.007661191468497181,0.004633168855838951,0.008313557144368698,0.008187996397281586,0.01744705908010381,0.014881585101407371,0.030674627802626607,0.020329335230737954,0.020932460610744795,0.016743967985533213,0.01360648348938269,0.016352666775684446,0.012779334963408504,0.008418146155853559,0.0066644451849383534,0.008432485306394354,0.012196396835906191,0.006330659383393776,0.01033096660280251,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.00786077004103322,0.0,0.0,0.007906763445451239,0.021916607309188537,0.017183395929989933,0.01780015511563744,0.07543658926034424,0.09302207044191854,0.10261989836920908,0.11817085835014385,0.08523736237717533,0.06749722574961961,0.10399762291147631,0.12682948729460355,0.11543031743337295,0.12468246754760073,0.15202224945790516,0.14822308751044033,0.14111397028305803,0.14714573458286595,0.13164410198190798,0.1465535881603921,0.1170147104207386,0.1220388625978006,0.1396904234454149,0.10976948408342481,0.10393446658370144,0.07943122037606126,0.0988476797876806,0.09156291997105431,0.08539311886722147,0.08301669912832466,0.05789599155399652,0.06402048655569782,0.06381307677204005,0.04957448566471123,0.044300993607999495,0.051173991571342566,0.02423434612704856,0.02709945499984945,0.03442753004924634,0.02202449123425249,0.024059554473661864,0.01805530478743351,0.020155601241585035,0.015836566632354106,0.013957442488992652,0.01506931886678722,0.006513385006187716,0.00793976365970173,0.012122844827586207,0.0,0.00946329593078275,0.009492941320061298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018358729575913346,0.018925280626426788,0.022665728225989237,0.010002750756458026,0.023798505982679977,0.01826330059987918,0.012974095056869783,0.013235878053443536,0.01956593720839228,0.013380313099326524,0.00752683316021617,0.007865345288658171,0.0,0.00862559732261459,0.008956400243614085,F
