state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015332720024532353,0.014013452914798207,0.013823610727121925,0.016522553285234345,0.018537531371206936,0.010011728024256986,0.008722958827634334,0.010125263980096623,0.012885306455538535,0.008651891159209217,0.0,0.01591274031854413,0.015601730373732359,0.010000428589796705,0.016149159509652792,0.03098944883051723,0.02710394362379726,0.016770593526550897,0.01879404855129209,0.022802417056207957,0.014642955924702668,0.029954891457569778,0.03382377811601556,0.04482294935006724,0.017945445844632316,0.017767249037607343,0.01713828693300834,0.019628241113313835,0.0,0.018105691976915243,0.0,0.011988395233414054,0.017054036934171415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1392515230635335,0.0,0.08652015919709292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059669431350319234,0.0,0.0,0.0,0.025798462411640265,0.03278995690462807,0.02677376171352075,0.038397542557276336,0.0,0.0312256049960968,0.0,0.03990857308710953,0.021045985478270017,0.050008334722453744,0.026652452025586353,0.03315759806359628,0.04754788751528325,0.034877232142857144,0.03741114852225963,0.04343191060923126,0.07489750867234311,0.05895762911720776,0.05944198833450979,0.05748292419016704,0.07030229988952495,0.044813678513564756,0.06450298750678979,0.07505792513787814,0.05340988750542444,0.065733254453428,0.08210699172614161,0.033783783783783786,0.07030964367072587,0.031421015422481734,0.02771897994153815,0.03485968974876123,0.054129862460940384,0.042763470493205356,0.022209390130147024,0.03492229788720098,0.01674691228804689,0.022470073946970627,0.024200867197741255,0.015906786232676516,0.020275750202757504,0.02604062337246104,0.022403714943277867,0.013969267611255238,0.009868745682423765,0.0,0.019317698875709926,0.024812948541762102,0.0,0.010725010725010725,0.0,0.0,0.008688097306689836,0.011973180076628351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012516166715340648,0.0,0.0,0.01182396481188072,0.012337149624950652,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020190948686146126,0.0,0.0,0.0,0.0,0.0,0.0,0.02909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.024449877750611245,0.0,0.0,0.0,0.013966480446927373,0.0,0.02232087497829915,0.010325458450355197,0.01710473801242944,0.023762521020691672,0.008284317786430287,0.02119157180915476,0.015275571306366857,0.0,0.0166447258916277,0.009083339641208084,0.0,0.00889732487098879,0.013894892854937318,0.009478074055351952,0.013083225669288762,0.023464630979570127,0.0,0.008736803785948306,0.006516016368233116,0.010718241255701508,0.010458549283008343,0.007398716851106109,0.010399629395025195,0.011446537040993866,0.010869786748371229,0.02567529312626319,0.02651883468663577,0.02915142841999258,0.021542438604049977,0.018038117390169226,0.026954177897574125,0.02025642796307806,0.017301038062283735,0.025175529385437354,0.02275718463283179,0.01249283499169594,0.016919742819909135,0.017670846501512218,0.020861447393296956,0.028732785098583177,0.03398729198968081,0.031315468902173606,0.02786619273497393,0.026231801687579243,0.027137803896614326,0.022591104195899873,0.02727180902999899,0.03157730407879424,0.04108140548418902,0.035030651820342804,0.03833945267840798,0.03792920108233684,0.03988140924345719,0.04319496004466196,0.0367053922782098,0.03984341946905563,0.03390495175693009,0.027148893977667083,0.033371761422243795,0.03662786825806738,0.02898115526566641,0.026571141771803097,0.02788037127883191,0.027217125382263,0.015374597547299498,0.01764576134107786,0.02051887455378475,0.014090966861361463,0.022628650533769935,0.016700151313492204,0.014601929848498993,0.016599148508544076,0.012694929509136949,0.015501759565395446,0.015621432605534794,0.015161909306926754,0.01180056027007891,0.009784192447132306,0.00851309231212841,0.010026737967914439,0.009893545450947802,0.005859129779724621,0.0071330746404930385,0.005431100769787072,0.0050803255924224125,0.004816014096756556,0.005127679212388473,0.00422761477974127,0.005114682548703144,0.004151395461931703,0.003466980165721652,0.0055838030297058324,0.0036820823179712393,0.0033694992924051485,0.004131605404139868,0.007156781220606078,0.006692473784875714,0.006495521698651097,0.009557451753983546,0.0073238313403018234,0.009376824751407588,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024013063106329842,0.048171877258056744,0.028960324355632783,0.05873830128832674,0.0383716468413158,0.04832919083126208,0.0416276407534603,0.07723822956545101,0.06335730351316249,0.04850101549001182,0.05366086334366802,0.04615606519544209,0.08991542330495378,0.054052593173157484,0.0432163790076439,0.08953523075670837,0.0988855333137344,0.0680984808800419,0.10804414375016078,0.07651311276449792,0.062258073247976616,0.05690547999772378,0.06312533535334407,0.10091156782939217,0.09855777128026544,0.09319964005656255,0.09275864201348093,0.05284481240091598,0.0580134957711215,0.08645809984309455,0.05747493454243566,0.06342159505311559,0.040763851870433666,0.0431845522687313,0.049778923018359636,0.04300828626315337,0.0399957337883959,0.04803681136702652,0.02901073397156948,0.04358897887081603,0.034366623135610695,0.030111412225233364,0.018393764513829812,0.022991148407862972,0.033326985336126456,0.026607967876926052,0.0,0.02439381372883837,0.012275360895610331,0.01960399921584003,0.0,0.0,0.012786415711947628,0.022712933753943218,0.0,0.014630934672876687,0.0,0.0,0.018188845690380376,0.0,0.011177430532269243,0.0,0.013897252976328347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014687738675753481,0.02187431642761164,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.05681357032708384,0.03495077765480282,0.0,0.03463953236631305,0.0,0.04217629692113033,0.020738282870178346,0.0,0.023772732675621064,0.025541696820058746,0.02559508574353724,0.028812512862728956,0.0301737143842407,0.035078488117162146,0.03075030750307503,0.04440891731059597,0.04153590548273953,0.03194305010495574,0.034420022618872004,0.0,0.033037828313418866,0.038224212308196365,0.027076789775804178,0.0,0.026528013582342955,0.0,0.04547291835084882,0.028295213393067672,0.028563267637817767,0.022382094324540365,0.05749387236360336,0.07923930269413629,0.08378425554197941,0.050764284505612274,0.03564517771667176,0.06368721271529046,0.04868688604404731,0.0398066533977822,0.042340363597872396,0.05881055649489083,0.05469028652954464,0.045374109533100414,0.02627602969191355,0.02791736460078169,0.04018969536210915,0.03686031986566461,0.06705000304772742,0.05262625240360288,0.044791921166218746,0.033514170210091954,0.02476882430647292,0.028931597437487085,0.030339148336764547,0.043164160116316054,0.03813882532418002,0.029229082937522834,0.03135401090154841,0.023999232024575212,0.048659169550173006,0.028073239963816714,0.03682131619468434,0.027289783387344363,0.027865826047580897,0.021296230567189607,0.017402199638034247,0.020622100017185084,0.0,0.0,0.0,0.0,0.021253339810541658,0.0,0.0,0.0,0.013350778350377826,0.0,0.0,0.0,0.013319126265316995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17178441056474125,0.17297297297297298,0.08944543828264759,0.12507817385866166,0.0844451950684006,0.09829619921363039,0.20485345099275132,0.0,0.06888001102080177,0.0,0.06165988407941793,0.07898894154818326,0.0,0.0901622921258265,0.0,0.11328527291452112,0.08381351492928235,0.06162062236828592,0.0,0.0,0.0653950953678474,0.08294821661334281,0.09980039920159679,0.14086310667178897,0.0,0.0,0.0,0.06544502617801047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021370261144591188,0.011421827111610288,0.013517166801838336,0.009501729314735282,0.01087961703748028,0.01830343771839329,0.010926232322916993,0.01873252831493703,0.017670246024194647,0.01551028849136594,0.01546882436934793,0.0269414696571698,0.01414996789045748,0.025317523946158067,0.01860426657846866,0.026910656620021525,0.020039657427329875,0.024617097109096556,0.01195288390489851,0.013924505970131935,0.0216674290391699,0.03473040522940673,0.026876465989053945,0.023205355796117745,0.01855429313600297,0.017565816920273147,0.02595012857109156,0.018221795697226643,0.010747808641238147,0.010114163621881993,0.014121573913601642,0.015883682570712935,0.015542245017514915,0.01452952287282197,0.010188590816004239,0.009691237183338825,0.0156796192619511,0.008030981742901504,0.006816981099919901,0.006509410166071326,0.011961340946062327,0.008451331853069755,0.008063038299431922,0.006269024748716592,0.004783609985444158,0.0035474327229384093,0.004369960888850045,0.0,0.005987306909352173,0.005321737014961684,0.0061705541157595955,0.00462673791843061,0.0053955725473268795,0.0,0.0,0.0,0.004633168855838951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004216242653197177,0.006969369620517823,0.006330659383393776,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005919261276192731,0.0,0.005714155105026171,0.0,0.0,0.010487310354471091,0.011784670500612804,0.0058818685520016,0.013044148513559985,0.00723667547128849,0.008454208384159228,0.0,0.014144635325583787,0.017627835708571196,0.031042316321203314,0.01970221509189676,0.015043146479219944,0.010417209229647378,0.00812446683186416,0.008860927739134288,0.007763010806111042,0.011175324882659089,0.0,0.0,0.017998560115190784,0.009914897132942246,0.0,0.007525586995785672,0.010602526430583745,0.0,0.0,0.007341497078084163,0.0,0.0,0.0,0.006598569430147545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
