state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.018260075648884832,0.0,0.0,0.010881866457734831,0.01069747539580659,0.0,0.0,0.014831765403847784,0.03253553490452854,0.01593244642714889,0.037558314224717324,0.027013468143402927,0.02620809225248473,0.024742778201612404,0.04502844979327848,0.059777967549103334,0.04431731195358769,0.04802235222212521,0.08029387558463978,0.07055029227978231,0.08484748147841563,0.11079327988396921,0.08570859079130955,0.09771467315438918,0.10201528304429003,0.1356673135987639,0.1268262987012987,0.14078808965126627,0.16525264915329313,0.1734164798206278,0.21656990139157678,0.2313157459932808,0.27948893451973533,0.2445722131639921,0.28494998836938823,0.3442589753232852,0.3192692599538992,0.42250068494138343,0.45426536549016233,0.40071173347606576,0.3786965463442309,0.3628726945440519,0.31857887396315054,0.40433852283627236,0.33428197136016624,0.39182204875668913,0.36961628817541115,0.3224913269377983,0.2652002017473927,0.23082886946715533,0.2499201383016705,0.25139828113733365,0.2073695964268623,0.23097423748889545,0.2266062383364436,0.20805935580112664,0.1595033840582834,0.14937195880955076,0.147268627180266,0.10070251996067807,0.08770647566145301,0.07592315656275164,0.0741786509056974,0.07300269197426655,0.07839974912080282,0.05973852905360384,0.05379110341924318,0.04730033346735094,0.04760317989241681,0.037868926179262026,0.028910089621277828,0.03354498622259494,0.037939865313478136,0.013664002186240351,0.04352108482030373,0.01650982334489021,0.021826118588577664,0.014699757454002009,0.022711214292924196,0.01802358514856584,0.015555728396982188,0.0,0.0,0.013139568496570574,0.015810276679841896,0.0,0.014354204346453075,0.017272648760687452,0.014623731391301804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017921789311444853,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.49800796812749004,0.0,0.0,0.29550827423167847,0.42979942693409745,0.2575107296137339,0.0,0.2921129503407984,0.21650228530190038,0.28186027783370243,0.35165648713677583,0.3191489361702127,0.22294632138569714,0.16363933889707086,0.2327246688148944,0.14812071838548418,0.1566579634464752,0.15712290502793297,0.2422564457518602,0.17056114617090226,0.19642857142857145,0.13453776667307324,0.12202562538133008,0.2743773744195863,0.0,0.1337920489296636,0.08701705534284719,0.08920606601248886,0.12784998934583422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0731957253696384,0.07714065312419646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08641548565502938,0.0,0.0,0.0,0.1028504260946224,0.11349127535820683,0.1638448935008192,0.21992238033635186,0.18234865061998543,0.2333241833653582,0.26592022393282017,0.3076923076923077,0.40334197637568425,0.33670033670033667,0.2598752598752599,0.38551401869158874,0.5927085663162603,0.2824539600045193,0.35339473120582565,0.30861022528546445,0.2839396628216504,0.28726708074534163,0.30423589983618066,0.2770308807952416,0.30080447708989155,0.3281818724267557,0.2733988715025304,0.25393600812595224,0.3295073864572464,0.23734585418709048,0.2576353756792205,0.24542614904060686,0.20905328725628228,0.18233051549809381,0.1834504293520687,0.18021994188826365,0.23945143852265718,0.1332912413623768,0.16002667111185198,0.1632462686567164,0.11273583341622734,0.11207716342888194,0.09416852678571429,0.09726898615787505,0.0829154657085324,0.0946073793755913,0.08254068076409088,0.07058736114723038,0.06762696963549063,0.04352047136018212,0.06894412079009962,0.04073872895165671,0.03263388049472963,0.03338117969089027,0.036153289949385395,0.041053495863070805,0.033783783783783786,0.019686700227803246,0.0,0.0,0.02240980055277508,0.017223138055753758,0.014254490164401787,0.01776751210411762,0.0,0.010466820180029307,0.010213669975895739,0.012100433598870627,0.0,0.016220600162206,0.0,0.01018350679239903,0.01197365795250449,0.0,0.0154006083240288,0.0,0.011452130096197893,0.0,0.0,0.0,0.0,0.0,0.010262725779967159,0.0,0.007941676329039533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01655355073663301,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018836648583484026,0.0,0.026616096084106863,0.0,0.0,0.0,0.0,0.0151372952680815,0.03934386538345136,0.04017801953269873,0.05948467486929025,0.03687068445397868,0.047198435708987935,0.04839021872378863,0.05169205320835344,0.09612919764163035,0.06870603631604777,0.10074297947361792,0.08054772452678212,0.11680293675955282,0.12886597938144329,0.15151046659039608,0.1711795829442888,0.17008298876865782,0.21292905203986034,0.19413810769272252,0.20695144600689838,0.17304418208713612,0.23313462786991676,0.3480453972257251,0.2991256327657616,0.30309590820523924,0.45290513211751315,0.4237813189264207,0.360937933819632,0.37343639829733893,0.4011476542160353,0.47553264969980336,0.426179604261796,0.4200873122649021,0.3904638820909066,0.31931575196008555,0.4211255011681906,0.4247519855700695,0.3464236849000029,0.3383850069412309,0.3137645885871796,0.2555189113705916,0.2163331530557058,0.2109090909090909,0.18172869420361185,0.22793123430558238,0.1690775878264137,0.16827011010718074,0.17829203507622893,0.1431445372949551,0.12626760841257942,0.08900584342711194,0.09951833127662116,0.08839246253364941,0.07343278967303084,0.04405639218199295,0.08342181101167906,0.03672420124862284,0.042756636996151905,0.053757247628921395,0.03865780114427091,0.019414459889725868,0.0,0.0,0.031806615776081425,0.0,0.0,0.0,0.020383204239706482,0.0,0.021394035342946385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03282563025210084,0.0,F
California,0.06858710562414265,0.05300540655146825,0.029976019184652276,0.039119804400977995,0.0730816077953715,0.08940958840758441,0.08884413776764297,0.12290502793296089,0.1466275659824047,0.12896505543017286,0.1796629770361804,0.2090579090408043,0.2723550486217738,0.288294258967774,0.3557156696536692,0.3956372968349016,0.5674633770239014,0.7490126651232466,0.8008477783665128,0.85003885003885,0.8630405124859125,0.9062557895386896,0.9446480475167446,0.8405972492518031,0.7446109564183587,0.7258310460506252,0.7979614124499453,0.7506450856204551,0.6585763793781038,0.5554651730308876,0.4640052425193688,0.40180386298960985,0.3678153902506029,0.39674721631554993,0.35682074037011924,0.2910757807271212,0.31430540096464726,0.32547814847423334,0.27531863384995137,0.28162468630913656,0.2660958036967981,0.2491349480968858,0.21898714449555035,0.2249168414544875,0.20980614059583472,0.19727700138957885,0.17297040133210997,0.14798589244620028,0.1390402589253278,0.154075723686553,0.14279853819391164,0.11022627348500798,0.11616940747356522,0.09170706144373117,0.08940986308518119,0.0831621830914784,0.05499418126082143,0.05965734535530057,0.0525459777305142,0.05215547166161806,0.039283815406706016,0.03536653272532996,0.0309699713527765,0.03542497161734202,0.02834222622025606,0.02655207065301754,0.02046003604114041,0.019340452642436744,0.02848834197849685,0.022696085449015864,0.02033840481298509,0.021301856707422132,0.020489296636085626,0.02291116497244631,0.019998529519888245,0.012367540826938752,0.01574872766858046,0.017570481590927244,0.016953183909151178,0.015559433445121878,0.017496399779276188,0.019042394263705423,0.0222114763922084,0.018986048859034595,0.019635915331921536,0.012313628107908427,0.01613069565608299,0.01702618462425682,0.012811942959001782,0.013002945449817109,0.01032322865951481,0.011412919424788861,0.010862201539574144,0.008749449631394153,0.009915323140381146,0.007406647751227795,0.009018911530114708,0.0076720238230547156,0.00889584741842508,0.0050428802410496755,0.004269967022716225,0.007698899392121683,0.008760698160253386,0.008607511258624728,0.010564772278037543,0.012680476645027668,0.010104144864568372,0.007645961403186837,0.009765108453735764,0.009803044058289752,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.08108108108108107,0.0,0.09156810377718429,0.03416700833675003,0.0719527989638797,0.06864702945581629,0.07067554037340244,0.11882835244489336,0.14532243415077203,0.15362798392814936,0.20147750167897915,0.2722676001555815,0.34953924372418177,0.4526851047997023,0.5107578369405605,0.45963984384838186,0.6310342651605982,0.7234938174164693,0.622094613070823,0.6420335429769392,0.7311441765007696,0.8272412466333204,0.7524634219169901,0.6733425414364641,0.660388193407603,0.573634859349145,0.6211180124223602,0.4742684157416751,0.38420900970127747,0.4672672094031504,0.381310937349165,0.42683165602850764,0.3209265008546412,0.37972935653134493,0.3954625871578728,0.3526093088857546,0.2914435961605474,0.28797477947194516,0.3160028619127117,0.23943458820135585,0.3343729804152969,0.2810734845004189,0.1485563028387759,0.23062104891879426,0.20044364860892105,0.21215295966474593,0.15692125639904306,0.14247269273389265,0.1407573829954254,0.09389404199624424,0.1041568033330177,0.10427528675703858,0.07556095798153684,0.05463427175729528,0.05874713994187125,0.05578063531207798,0.045800128240359075,0.05763873322872971,0.06386103838048406,0.034881877279213575,0.021949766391771975,0.03393071963971745,0.04099440719159029,0.02007053358947157,0.01599829351535836,0.012641266149217506,0.012087805821487285,0.01147078391337264,0.013746649254244278,0.020846362309776944,0.0,0.013794689044717784,0.0,0.012094530853148206,0.0,0.0,0.012275360895610331,0.012252499509900018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011502450021854654,0.0,0.0,0.0,0.0,0.0,0.0,0.011927480916030533,0.012262114969589956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016376797353509547,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.03896947391210219,0.035414945106835086,0.0,0.04977187888842804,0.06058403004967891,0.07924244225207021,0.04256949470009791,0.1151778858459176,0.1234821979831241,0.1336264494159231,0.19293168464439184,0.3514320857494289,0.29309885424993337,0.4338194572641683,0.3787533083873323,0.39828883316123326,0.6294824828440225,0.5671493860470238,0.6880358215475345,0.6498429546193003,0.7714875584048679,0.8595076400679117,0.7172441660773816,0.6618835893290219,0.5706201367601981,0.5345411515077325,0.5915267785771383,0.5023148848609555,0.4685454420175016,0.4049572351195671,0.4343166563257939,0.31826051532742644,0.3212050728249432,0.34653607125468966,0.29570656809781065,0.2857974542856387,0.2548457448111936,0.2782071097372488,0.2291392531421571,0.214587575817294,0.1911265730361208,0.18889156820191302,0.13925009727028853,0.14832273401466972,0.13358971763991498,0.10179982083231534,0.1152049600971911,0.06811426684280053,0.08472824963835504,0.07584787084191137,0.05225135171975101,0.05482456140350877,0.04871513822920472,0.036177704886402005,0.05039838725160795,0.029736159169550174,0.037430986618422285,0.0,0.0375234521575985,0.0,0.01774685880599134,0.0,0.0,0.0,0.0,0.0,0.0,0.021253339810541658,0.0,0.0,0.0,0.013350778350377826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01715324710967786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17452006980802792,0.16170763260025875,0.24255024255024255,0.1707067258449983,0.2605135839225903,0.46661880832735103,0.1752541184717841,0.2565042139978014,0.32552083333333337,0.28310789556464294,0.5015673981191223,0.40959625511995323,0.5905006418485238,0.3448275862068966,0.4519309778142975,0.5153532316942238,0.5405405405405406,0.5724508050089445,0.5159474671669794,0.4053369363283229,0.327653997378768,0.4569807752915222,0.3688947912055482,0.4270560683289709,0.5080109417741305,0.49327907263534343,0.41751297675468296,0.37561708521141873,0.3105590062111801,0.2372112211221122,0.18537590113285274,0.22001047668936616,0.26702269692923897,0.18380365444912963,0.19163206643244968,0.17438692098092642,0.08294821661334281,0.1122754491017964,0.06402868485081316,0.10323912762937153,0.06361323155216285,0.1224739742804654,0.0,0.07543753771876886,0.0999000999000999,0.0,0.0,0.08637070305752288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03665497198512856,0.0,0.025248699691965866,0.02681204754669765,0.02383600826314953,0.08687191604698033,0.08403054327572979,0.1158988368723871,0.10229227693309155,0.10536925050393989,0.13754505786378296,0.15699995514286996,0.2065404475043029,0.18462958689129935,0.18310227569971227,0.25620983150946675,0.2717959439682208,0.3198546833043753,0.22555241226393455,0.2448458181043966,0.30433928922049874,0.29539479514370953,0.3311507488522616,0.2836945400427867,0.2981211434910217,0.32910202162670427,0.32552207268089317,0.36496350364963503,0.34966363878225837,0.37172024878057625,0.34942926553296283,0.36993100864733247,0.3847373123144759,0.4227266548865027,0.38000206803846553,0.333174678724417,0.3109494622931681,0.3515722791244435,0.3639394067260222,0.2956011245245576,0.277386768237145,0.25629667130742945,0.2119210968522225,0.18689963924023123,0.16709407164158321,0.1600982256783109,0.14140236414829885,0.12827404222048475,0.09746249434369453,0.10368575576001658,0.07575258546867795,0.08256859090801859,0.07288718278890657,0.0895650720103179,0.04424946584573372,0.047499839527569164,0.04520740423972142,0.045431177743505136,0.026823734534440556,0.03769778601921568,0.03973407245168918,0.034126230158364156,0.028554601752538683,0.028972169674659574,0.022782935581249643,0.019138145513699724,0.021512481080541192,0.014660069635330768,0.013931166108259091,0.01708432137658628,0.013480244347165956,0.013109882666550134,0.013220129851053202,0.014219853909711413,0.010643474029923368,0.010798469702579291,0.011566844796076526,0.011561941172843314,0.0163100462117976,0.008374507997655137,0.011491787202745771,0.006177558474451935,0.009825112988799371,0.004466179853062683,0.005815686360034603,0.004251881457544964,0.0,0.007529383418791835,0.0040254731943739986,0.008371983992766606,0.010204862617037017,0.0,0.0,0.007576331540268203,0.004998333888703766,0.004216242653197177,0.005227027215388368,0.006330659383393776,0.006574251474510688,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.014702793530770846,0.012580462541672782,0.013309502985131384,0.008844078889183692,0.013746885471260418,0.026271542664985287,0.03489427036080676,0.02263424939170455,0.03386641580432737,0.025899546757931737,0.04174452351608158,0.060595731788142176,0.04655312875819529,0.06252142871548716,0.04700352526439483,0.06447583163748465,0.08955280757578644,0.11232283625372708,0.13043311466605287,0.15372790161414296,0.22170792897567046,0.23915271609156133,0.23423121967542246,0.20188058127057454,0.23254988283746358,0.2064282789681998,0.2138129451161036,0.24457629421622357,0.26034133641886026,0.2719926625235226,0.357514656731138,0.29948204335125317,0.3369315075459943,0.3696392873756868,0.38610530608084004,0.37586083258119957,0.4201630519116225,0.4841955723925654,0.48735285032776193,0.42399030879294186,0.45456586154260575,0.40061110168052966,0.3950220233517444,0.3806448571697935,0.33997200230569247,0.35456367323222143,0.3437420848862033,0.2874430850614138,0.26547822117579223,0.25331755992181876,0.21153402850285435,0.21024114235724062,0.20405865630893075,0.17094484635477208,0.14193447575394552,0.12863739150451586,0.11666888189860146,0.08694572102844367,0.07663079919537662,0.06130163811599633,0.058829636294425024,0.06054061129655082,0.05948938279765348,0.05379406366685653,0.030102347983142687,0.04846869225409712,0.03613260666646593,0.04041492657955005,0.03523918597480398,0.02264428656344646,0.0208330439855002,0.02821784173821905,0.027713991606619682,0.030452601794165788,0.026371308016877634,0.010421416009900345,0.01587952731940346,0.028286637931034486,0.017601104807809475,0.00675949709341625,0.01491747921723918,0.009253873407011792,0.0,0.0,0.011153107379639383,0.011197233039302288,0.008751859770201167,0.007395720343161424,0.014735135931628968,0.0,0.011828300391516743,0.007157598387154496,0.0,0.0,0.008429215661482699,0.0,0.007353265585246408,0.010535504650672768,0.0,0.00752683316021617,0.0,0.0,0.010350716787137509,0.0,F
