state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.06531252041016262,0.03185003185003185,0.02880776986707272,0.027097517189987465,0.04841787474010994,0.08086604930220426,0.06179971518392133,0.0634750128170699,0.06746757203795595,0.04920838682071031,0.07441267141490379,0.058133499429045984,0.06568353250275448,0.07523842446672226,0.10953556918664861,0.12651221633588994,0.12927874040057113,0.193536681249118,0.27217056021773645,0.30496540996356786,0.40563620836891545,0.453245235888965,0.4780406880293373,0.4837706003974547,0.4998992138681717,0.5049459873349613,0.453245235888965,0.48036675303966514,0.34100426753878677,0.36186553230804763,0.3278626745303462,0.2874729437229437,0.2896674488227203,0.26917441820845683,0.2522421524663677,0.21196203114920284,0.1817480861375778,0.2010609171800137,0.17592036385480134,0.17445917655268667,0.15043249341857842,0.15748707890102653,0.14419818598682027,0.11750712924351203,0.12440869703589047,0.11488546911566555,0.12286240838893095,0.09836306246788519,0.10329816276839075,0.07378295764255921,0.051836379991157325,0.08770555990602975,0.058634786715963325,0.07809576493174755,0.09515083168875106,0.08455944529003889,0.07015765985227915,0.06181209124262243,0.07106899615042937,0.060936131317362995,0.04514495456062182,0.05388627839806872,0.058843498924974535,0.04832251829352478,0.050351259980339035,0.053598401793110165,0.03911192913838721,0.043071474719437196,0.038782680111329106,0.02911990681629819,0.02297635732830917,0.025726179896159784,0.02365016673367547,0.04760317989241681,0.02603488674824265,0.0,0.023960704444710674,0.023712415820923836,0.027328004372480702,0.016034083881164535,0.014151277152763039,0.0,0.0,0.017664277783385484,0.01287398939183274,0.0,0.013011007312186108,0.0,0.015767482195884686,0.0,0.0,0.0,0.014393873967239543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10442046641141664,0.12488849241748438,0.0,0.0,0.0,0.0,0.0,0.09160864785635764,0.0,0.0,0.0,0.0878348704435661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10979961570134504,0.06997900629811056,0.10769230769230768,0.10083549409392106,0.09427609427609428,0.09095634095634096,0.08177570093457945,0.10064862446879892,0.0,0.0642535874919683,0.09258306758563935,0.062111801242236024,0.09316770186335403,0.1326156486465403,0.0,0.04197271773347324,0.077570260755415,0.04071898086207899,0.05643022402798939,0.04393431819429952,0.03611784737629637,0.028105677346824058,0.022311468094600623,0.0,0.020719376761147025,0.0429352068696331,0.033101621979477,0.04716467728476581,0.045599635202918376,0.020003333888981498,0.02998400852878465,0.02321031864451739,0.05434044287460942,0.04534040178571429,0.018705574261129815,0.023690133059580683,0.023651844843897825,0.03930508607813851,0.04086636697997548,0.06086427267194157,0.046868199926349975,0.03447206039504981,0.06450298750678979,0.026107104395783703,0.056748005474513474,0.04272661539472819,0.031579612202362155,0.030712530712530713,0.036561014708777456,0.028802597470608256,0.0,0.027389756231169543,0.012302241468395541,0.01900598688586905,0.015546573091102918,0.013095861707700367,0.010466820180029307,0.0,0.0,0.02187183106993021,0.0,0.0,0.012220208150878837,0.01197365795250449,0.013816243955393269,0.0,0.0,0.0,0.0,0.012512512512512512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01048679712242287,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.08781410429613619,0.05417998591320366,0.06057459328487366,0.03284476741799072,0.05274261603375527,0.06963545837540476,0.08317530026283394,0.06722796683420303,0.09766855702583492,0.08951979026791994,0.09190011408290025,0.0968786897157216,0.18158707100054478,0.225615032760539,0.3130772361541592,0.4826707783066301,0.515811475962511,0.5419704497064326,0.5617203115307741,0.5767751858497822,0.5398331424832324,0.5603828233219997,0.49258031537532143,0.48723510762556316,0.4510309278350515,0.5565690609443121,0.5571117335823218,0.4193425412744495,0.4173409419981262,0.3828834901717583,0.42451578668081713,0.3042228362499651,0.37478604733518267,0.3228247162673392,0.27841693511274734,0.3006903851242453,0.24461721039502046,0.2651731059948948,0.2599762740099447,0.21674979761314078,0.15939641889378886,0.1673662398384783,0.14390480143904802,0.16474012245682434,0.123738554183738,0.16821097647897362,0.13268337708038883,0.1629185698076979,0.14264504672353062,0.14460897732531236,0.0967685179754853,0.07130760317318834,0.1081665765278529,0.06545454545454546,0.09086434710180592,0.08885454896658296,0.05260191621266204,0.0768189633097999,0.09096532401848414,0.06576911173011452,0.0591879414433966,0.08126620486823265,0.03980733251064846,0.0602675880911246,0.03864883667001623,0.08010253123998719,0.04929470650690126,0.05508630187293427,0.06607843899405294,0.09215528164957953,0.06571826194526055,0.04271181175739691,0.050508975056336926,0.031833194063109305,0.0357824427480916,0.0,0.0,0.019630167641631658,0.040766408479412965,0.025386079966151893,0.04278807068589277,0.03969829297340214,0.02644336712208021,0.0,0.026158608362035138,0.0,0.0,0.02166941145878478,0.031255581353813185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012426064913763111,0.0,0.0,0.011403158674952963,0.012795203626526284,0.016568635572860573,0.019677888108500848,0.022913356959550286,0.03392444101773323,0.028749981085538757,0.03633335856483234,0.027972027972027972,0.022243312177471976,0.04631630951645773,0.036332617212182484,0.044155886633849575,0.021900322247598785,0.02744739249771272,0.0495085547870404,0.0390960982093987,0.034536555157260417,0.03951007506914263,0.029594867404424435,0.03781683416372798,0.03891822593937914,0.04483787033703133,0.041475473511655925,0.04293525615931505,0.04240207770180739,0.03887005226382931,0.03275342368214938,0.03346035876940236,0.024860161591050343,0.02119377162629758,0.023577083075250856,0.021998611811737397,0.03159952380252502,0.03023954035898654,0.02684609372345125,0.024121048548499606,0.027741999405528583,0.022981883154927024,0.025365529810760623,0.021673705460535278,0.02061070132595512,0.019027655605672114,0.019727443100644962,0.02996532103296185,0.021997672504328575,0.021433776774359488,0.02931136172722561,0.029359040339321428,0.03589727959578308,0.027465498818607312,0.02893247323746226,0.02646202699126753,0.023413143399341967,0.02410111028504669,0.03108351629327101,0.02009890176566956,0.019608858764419913,0.019902721086060064,0.019026249663760243,0.019422281115590766,0.018654434250764525,0.014771672153287752,0.015881185206970076,0.012929701773617788,0.00967027137544414,0.010648776721774085,0.005566717104497402,0.010532539562851733,0.009869763978053234,0.007254245433792542,0.0039332822777869035,0.011055167690070778,0.009196567940267047,0.010261356756590357,0.008726441912307193,0.008238476431092009,0.003899286987522282,0.008197509087928179,0.0041850926998033,0.0028532298561972152,0.0034301689072339407,0.0019756821748309382,0.0033995393624163925,0.0025638396061942363,0.0016910459118965081,0.0034097883658020956,0.0017791694836850158,0.0015759000753280236,0.0036130490192214206,0.002677878049433629,0.0026955994339241188,0.0,0.002044794634458879,0.0035223546236187965,0.0,0.0038229807015934185,0.002848156632339598,0.002557315841292979,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030526894193784727,0.0,0.038131553860819824,0.0,0.0,0.0,0.03786205590963589,0.07892659826361484,0.06836204539239814,0.0,0.07054899948691636,0.03206361421059382,0.029859659599880562,0.02877532228360958,0.0,0.0,0.03297971747375364,0.045408678102926335,0.0,0.024085938629028372,0.028960324355632783,0.031327094020440927,0.02790665224822967,0.017260425296879316,0.024282790439518507,0.016790919470750218,0.015839325878290622,0.0,0.014905795373241115,0.014423770373575654,0.0,0.01891840761060512,0.03511330794371067,0.04069783216214016,0.02672581981452281,0.02357255107386066,0.015434877678594397,0.029022215186533692,0.018948109249384188,0.014226369999430945,0.03471893444433923,0.02354603249352484,0.019711554256053088,0.03856536829926726,0.046379321006740463,0.05284481240091598,0.042746786357668466,0.04162797399852701,0.05108883070438726,0.05390835579514825,0.0344924900442131,0.0431845522687313,0.04392257913384674,0.037273848094732914,0.03199658703071672,0.04550855813718302,0.05318634561454405,0.03441235174011792,0.02291108209040713,0.030111412225233364,0.013795323385372359,0.02529026324864927,0.0,0.01693234319440749,0.014628794343532855,0.02439381372883837,0.022095649612098596,0.012252499509900018,0.012565023999195837,0.012732365673542143,0.017900981996726677,0.0,0.020211717743361713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010835410120273052,0.0,0.0,0.0,0.0,0.011999616012287606,0.01351643598615917,0.0,0.0,0.0,0.027865826047580897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147305777332587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05449591280653951,0.0,0.062375249500998,0.0,0.0,0.0,0.0,0.09162303664921466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04892667115161153,0.029643682931167366,0.03888888888888889,0.0,0.0,0.03534817956875221,0.0893734918223255,0.0715080247894486,0.07297240947946347,0.06210953198640898,0.0496709300881659,0.14413911749662903,0.14201942459226682,0.17548852210206792,0.13905710312654196,0.24096385542168677,0.15693514885760443,0.2223384776353649,0.18238665971860343,0.167259042441982,0.1816458695308798,0.1338022784616561,0.16323054540293105,0.18325806662739708,0.15951318937760317,0.16306665663179548,0.12324434936284996,0.09475168126458829,0.07479591400606915,0.06853096266966173,0.07724095315336191,0.0741134886549352,0.07253078024986853,0.08153349529102466,0.06711828426934724,0.08645782299201707,0.05708848715509039,0.0439458173922035,0.046406473108043786,0.056128061785770414,0.04789219901385608,0.04852525423013629,0.04134281461881925,0.03208578289310259,0.039024596042695016,0.03746079994862519,0.030425522667014388,0.0429338934079068,0.044538604136071455,0.04713412138276628,0.03176309616888194,0.04757097938204138,0.05457145040000873,0.05159958720330237,0.0471820519474392,0.03765837777426839,0.05254484224605317,0.055627899920350964,0.03979716284742281,0.04276376076730405,0.033475604653109045,0.027941390140042245,0.024452617958410174,0.02810458783168259,0.036893221792826114,0.028554601752538683,0.013633962199839802,0.023596611852008557,0.01515103186501228,0.009987937644536983,0.01319406267179769,0.011144932886607273,0.007517101405697962,0.009223325079639865,0.010924902222125112,0.00954787155909398,0.008232547000359238,0.009122977739934314,0.012341108231519191,0.007711229864051018,0.006166368625516433,0.003883344336142286,0.008374507997655137,0.0,0.0,0.0,0.0,0.0043617647700259525,0.0035432345479541366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Georgia,0.0,0.04445542109162756,0.0382768459878906,0.061359599547876634,0.07311850420431398,0.07913717864652814,0.07981516488132746,0.0691925439792003,0.07035023006426588,0.09020960466967365,0.0824813128275625,0.05079164915230489,0.08200153534789588,0.09808174736405303,0.08090310442144873,0.11469799278512627,0.1510754184391524,0.15717017932549376,0.21142879311013696,0.2400016134562249,0.31727379553466506,0.3425278555741371,0.3715488824952842,0.42274231099130005,0.4162350865078452,0.3382013835511145,0.4103541492444427,0.41567019701628516,0.3606417191827933,0.31100521979520945,0.26627849179862245,0.2627269005049816,0.256261103337683,0.2566541359059136,0.22380220148287988,0.20399449689264196,0.1917703139553997,0.15465056336990943,0.12841540476281293,0.13327130769327483,0.13507314338141596,0.14589334948875507,0.12772001862086255,0.11483366875813898,0.14414661770257747,0.11428310210052342,0.09876986621172668,0.0758218751768234,0.08739425295392575,0.0659941548034317,0.07175879633441952,0.08300821781356355,0.07357286729143298,0.06280269085375427,0.06366672272541624,0.06429379693447176,0.05830745657450472,0.07196173329006222,0.056292043119705024,0.04786455697933619,0.06771185999270796,0.037914178548699405,0.0502119238550943,0.05899888212644392,0.04949072448034739,0.049381875148997036,0.04671765235145517,0.0392695857058708,0.0512269685202016,0.04271881526485665,0.048163756773028296,0.043924752355275515,0.03763813194423534,0.03143383178409448,0.024961090065486156,0.025474822383877268,0.02638852238163359,0.014780774243829028,0.009237997202206562,0.011419725672812171,0.012557765722322683,0.010421416009900345,0.01587952731940346,0.014816810344827586,0.01489324252968494,0.0135189941868325,0.013561344742944709,0.0,0.01175118817569332,0.010152541942688902,0.0,0.007464822026201526,0.0,0.0,0.006139639971512071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
