state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024338912193795012,0.01009387301907742,0.007165068856311709,0.014466127562312844,0.011346712999078079,0.007143163278426218,0.023489686559494974,0.017708256474581272,0.02710394362379726,0.021344391761064778,0.0485512920908379,0.05049106633874619,0.043928867774107996,0.05814773047645898,0.05261476595824642,0.0428741254652817,0.0638060296698038,0.07896555127825486,0.07426591004303613,0.07655014034192395,0.08190714316506445,0.11316057485572027,0.09894610888674121,0.11029323614740931,0.09257905764264483,0.08282526170481996,0.07657151061233279,0.1003787014646165,0.06495979212866519,0.10339360797739126,0.12161466860002806,0.059125416834188683,0.05712381587090017,0.09703912333435895,0.08673026886383348,0.05271354977836348,0.052167314806032435,0.05693334244266813,0.052683418466683465,0.03301964668978042,0.06062810719049351,0.058799029816008035,0.04542242858584839,0.04892115968896442,0.023333592595473282,0.018215410237060553,0.0,0.018395395895198802,0.021080368906455864,0.0,0.0,0.023030198347583266,0.0,0.017482008099997087,0.033669088970567605,0.01407974769092138,0.014417116000115337,0.0,0.0,0.020179598425991326,0.0,0.0,0.0,0.017588293232024765,0.017921789311444853,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095565749235474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982640026203734,0.0779787897691828,0.0731957253696384,0.0,0.0,0.0,0.07974481658692185,0.08482792050412022,0.0,0.0,0.0,0.07849293563579278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11398176291793312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022311468094600623,0.0,0.0,0.0,0.022067747986317998,0.03265246888945325,0.017538321231891682,0.03333888981496916,0.023320895522388058,0.026526078450877018,0.023773943757641625,0.05231584821428571,0.044893378226711564,0.03553519958937103,0.06701356039104384,0.03930508607813851,0.05201173979269606,0.050720227226617974,0.036825014227846405,0.05860250267158468,0.07808256382400869,0.06853114903893222,0.02670494375271222,0.059159929008085185,0.047369418303543236,0.030712530712530713,0.047810557696093596,0.03927626927810217,0.045358330813426065,0.04232962326635293,0.059050759048298596,0.042763470493205356,0.039976902234264644,0.03710494150515104,0.04186728072011723,0.03268374392286637,0.03630130079661188,0.04772035869802955,0.04866180048661801,0.040062497496093905,0.0325872217356769,0.027938535222510476,0.02565873877430179,0.026951064567050396,0.028976548313564887,0.03626507863796,0.03701989819527996,0.02145002145002145,0.018158707100054475,0.03197555646350345,0.026064291920069507,0.013683634373289547,0.02857431001445524,0.025413364252926507,0.019385167116294847,0.018748615159107567,0.02058344716603357,0.024088162675391937,0.03720314986668871,0.02276678532991142,0.027265672518299464,0.03129041678835162,0.012883277505797475,0.01994813484939158,0.0,0.017272009474930912,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021252855852505182,0.0,0.0,0.0,0.0,0.0,0.020190948686146126,0.0,0.04075572763529446,0.026029615918556223,0.029323793325904637,0.029711501322161812,0.03380205516495403,0.04727272727272727,0.04543217355090296,0.05022213637241646,0.0,0.04755459633463804,0.08732671105774478,0.06963788300835655,0.07102552973207592,0.08126620486823265,0.07165319851916724,0.06830326650327455,0.08116255700703409,0.056071771867991026,0.07204610951008646,0.0918105031215571,0.05053057099545225,0.08831547824751372,0.0927787227462502,0.07765783955890347,0.058279586603465695,0.07162468664199595,0.04373409669211196,0.0441430233958024,0.06259046277823417,0.04711240233991598,0.05299633102323685,0.03384810662153585,0.02567284241153566,0.061752900180847774,0.02644336712208021,0.05617734756492805,0.03487814448271352,0.0,0.0,0.030337176042298693,0.02679049830326844,0.02246989034693511,0.0,0.0,0.02705749718151071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02772387025228722,0.028449502133712664,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003815512346997955,0.0033968083588660093,0.0,0.004419805781105962,0.007420363597816294,0.0056197665923608635,0.004746872997412954,0.007435635282089414,0.011509334069930714,0.006487889273356402,0.009590677861118993,0.01744717488517104,0.01579976190126251,0.016919742819909135,0.016991198559146364,0.016949926007053775,0.024439380428679942,0.03139778402856227,0.03632594392652138,0.03839342110151964,0.03372660216974474,0.04335810047849875,0.04422765469338145,0.04949328305444261,0.06279980698816383,0.04429647200034294,0.048971421422315954,0.05215547166161806,0.05587784088022839,0.0515448402486192,0.053382450621233174,0.07597162587815516,0.053398397226569395,0.038398379098209985,0.037772374229797685,0.04209392633942115,0.028858320445750058,0.03142534908325273,0.026571141771803097,0.03007320946930183,0.03486238532110092,0.03165358318561661,0.028527314168075878,0.027264805913933158,0.02735305331911343,0.03301120783749967,0.033906367818302356,0.03470950537757957,0.028487727845744562,0.023349602490019744,0.03123488867654306,0.03292517333781949,0.03778049532217814,0.03873662175612859,0.03622795581776016,0.03432698512955004,0.032308377896613186,0.027419254535483908,0.027342605638714896,0.03252682036064826,0.033158299436594756,0.032457635729365414,0.03371209867729589,0.029341719937556264,0.02621121163439587,0.025289263713032212,0.026094485760713562,0.024899221190182775,0.02102137611183372,0.021088289639289826,0.027966844126962733,0.01859222431862941,0.017380754392900474,0.02148636320407466,0.01659966656321947,0.015674220876533015,0.017902698831848904,0.01491767574087571,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02981159074648223,0.017308524448290785,0.0,0.016215777951947244,0.01620614212786646,0.024418699297284095,0.04008872972178421,0.044525929806181246,0.03344223497028786,0.03693736478286106,0.037896218498768376,0.04552438399817903,0.05365653505034246,0.06054694069763531,0.07227569893886134,0.05784805244890089,0.040195411539175066,0.04110152075626798,0.039693444474977864,0.07044734061289186,0.08301934989462928,0.09513239257967337,0.0721206610015365,0.06477682840309695,0.06734795467189834,0.06021160076841471,0.05332764505119454,0.058149824286400524,0.03142829513586694,0.050471449218839615,0.0526954888079364,0.04400898709841799,0.04138597015611707,0.05058052649729854,0.03808798324128738,0.03144578021818534,0.04388638303059856,0.034151339220373715,0.02700579397034273,0.053910997843560085,0.025130047998391674,0.04074357015533486,0.03835924713584288,0.027760252365930597,0.035370506050883,0.043892804018630056,0.03567775848536023,0.0299063700568221,0.03865129709205829,0.03804664070542948,0.05365166655489236,0.04625453872661255,0.03705934127020892,0.03710575139146568,0.042938931297709926,0.03433392191485187,0.02315291212183577,0.04074094193057744,0.03350832123310622,0.042639074447823985,0.034593098676813976,0.02597252683827773,0.03179650238473768,0.026437929616356267,0.031249023468016626,0.03275359470701909,0.02339885011365156,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023005252866071087,0.0,0.020194676683226304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199033266988911,0.0,0.0,0.014267031268576865,0.011343527383275103,0.024086360550920758,0.0150324270927286,0.01607587814484366,0.016382364384739827,0.022350001015909136,0.02833721283270924,0.03868393191627983,0.04817661967700719,0.037153236459709374,0.024798512089274645,0.05417705060136527,0.05452314962060976,0.07866132723112128,0.05358665205212519,0.06511986879552362,0.04079869444177786,0.048659169550173006,0.05614647992763343,0.0836848095333735,0.10574791062595941,0.09753039116653314,0.05678994817917229,0.0626479186969233,0.06874033339061694,0.05259006047856955,0.0583487309151026,0.06947514684519673,0.07750736319950395,0.05465144522710712,0.044191733199776095,0.06829434864264983,0.041975654120610044,0.058743424741662435,0.03922286431503805,0.0721686684880664,0.061429778084926674,0.06925945657964837,0.0718768141984353,0.10778001531610744,0.10215398984297472,0.0629987400251995,0.1066357930656267,0.09028471931125656,0.09298448121072207,0.10145639011618394,0.08600727753886868,0.09803258738422013,0.08640353908896108,0.07204363786064702,0.13565614736541484,0.07384160974709249,0.06434762860062834,0.06920149167659836,0.049063701038515005,0.03019453910192814,0.08117615225038333,0.04156659892850545,0.04702120656416044,0.05228136882129277,0.04683182690956775,0.05768121515093252,0.063650607128868,0.025504998979800044,0.0,0.05514503143266791,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05449591280653951,0.0,0.0,0.0,0.0,0.0,0.0612369871402327,0.0,0.0,0.0999000999000999,0.08296001327360213,0.0,0.08637070305752288,0.0,0.0,0.0,0.0,0.0,0.11787240312361867,0.0,0.0,0.07197351374694112,0.07115411982353778,0.09433962264150944,0.0,0.0,0.0590876861262113,0.060960741282614,0.06460783046905284,0.10774410774410774,0.1093942294543963,0.07198387561186294,0.08843036109064112,0.10396554284865588,0.11846586702206427,0.07322788517867604,0.0,0.0760225026607876,0.0,0.08648025367541078,0.07395355716609969,0.10439970171513796,0.0,0.07654623392529088,0.0,0.10045203415369162,0.0,0.12171796209354896,0.0,0.0,0.0,0.0,0.09567546880979717,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010926232322916993,0.0,0.012233247247519369,0.016802812532313104,0.01070918610185626,0.01234817359286949,0.0076192134794771035,0.01793324612852863,0.0330742516950554,0.026910656620021525,0.050626502974307055,0.040671725658507345,0.038031903333767984,0.05685839937803873,0.051761080482461426,0.05953783753612583,0.06719116497263487,0.045250443802429596,0.045840018336007336,0.06367608633599016,0.06841397532378683,0.07653154192835189,0.07284625856839189,0.0720634158059092,0.04493228063418705,0.04276376076730405,0.05140896428870318,0.05141215785767774,0.042792081427217805,0.04361056732502471,0.05626216323405982,0.03837024610497386,0.05027523561190926,0.04475219489174037,0.03269433191923703,0.032268721620811784,0.038116181051859994,0.03134512374358296,0.04031899844874362,0.04044073304149787,0.03204637985156699,0.03672258291959223,0.044904801820141296,0.038772655394720835,0.030852770578797976,0.03007379646979897,0.03160263920577172,0.02485340375131063,0.025123523992965417,0.029112527580289288,0.03088779237225967,0.021161781822029418,0.026797079118376095,0.023262745440138413,0.01771617273977068,0.024967720304463516,0.016564643521342036,0.024152839166243993,0.016743967985533213,0.01445688870746911,0.018074000120493334,0.016187157620317437,0.010943590002609626,0.017494168610463177,0.015178473551509837,0.010454054430776736,0.007235039295307173,0.011270145384875464,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00716187020303902,0.011838522552385463,0.008008145427920972,0.005714155105026171,0.01122384843315076,0.014711707123861257,0.019809364002889837,0.029461676251532006,0.032938463891208955,0.03794661385762905,0.0265344767280578,0.03381683353663691,0.026427696225644476,0.0437197819154408,0.02983172196835126,0.043741445725331944,0.03236792479383039,0.04239432189598348,0.049481743840825036,0.05687126782304912,0.07384106449278573,0.1102347534467768,0.06705194929595454,0.0749242243639955,0.07786275391909195,0.05890437855880621,0.07270924564157646,0.05537624200999937,0.046658639373871165,0.06361515858350246,0.07979283972177893,0.061370814435613034,0.060200276040290136,0.04528857312689292,0.06249913195650061,0.05240456322812109,0.043550558238973795,0.041872327466977964,0.03892907373920032,0.04298834104083892,0.03440564252537416,0.05387931034482758,0.05144938328436615,0.03920508314181425,0.04610857212601202,0.029083602136322776,0.03264218937692589,0.04949364197060839,0.02602391721915856,0.038568247135374545,0.017503719540402335,0.022187161029484273,0.013507207937326555,0.017134814270852457,0.018925280626426788,0.02385866129051499,0.02750756458025957,0.01983208831889998,0.029502254815189446,0.025948190113739566,0.020589143638689942,0.021071009301345537,0.0178404174657687,0.01806439958451881,0.022022966808242884,0.012959243180198277,0.013800955716183345,0.014330240389782539,F
