state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.01424055139414998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009957779016968055,0.01383727366173796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007151234303040705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007143163278426218,0.0,0.0,0.0,0.0,0.007830853563038372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011505361498458282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011980352222355337,0.0,0.011386668488533626,0.027487000939139198,0.03773673907403477,0.04850248575239481,0.044099272362006024,0.050469365095387096,0.061795149080797154,0.09592699178139016,0.07286164094824221,0.13255705151530905,0.19183770004993037,0.25559947299077734,0.3262642740619902,0.27560072345189907,0.3742407231482281,0.2895498815477757,0.3234171498499461,0.29460452849246654,0.32946609596756027,0.40079582480320636,0.39137746521938543,0.3951407484814839,0.45740423098913663,0.43352095933992935,0.5232108996418289,0.4860604798111308,0.4678485999718587,0.5914190472776801,0.5188309506923967,0.46343975283213185,0.4446061193969524,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12658227848101267,0.0,0.0,0.0,0.0,0.16568483063328424,0.1303780964797914,0.17097264437689969,0.21284829721362228,0.11971268954509177,0.29069767441860467,0.2105666156202144,0.384172109104879,0.284792101765711,0.2260312676586928,0.17344382347273077,0.33326798666928054,0.4958349861166204,0.41675349031048137,0.28135048231511256,0.3875968992248062,0.2508885636629731,0.26455026455026454,0.22151119862170812,0.41612483745123535,0.27517886626307103,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197199763360284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014254490164401787,0.0,0.015278505325650428,0.010466820180029307,0.022470073946970627,0.016133911465160834,0.011930089674507387,0.016220600162206,0.03204999799687512,0.022403714943277867,0.03392536419876272,0.04342248100266456,0.038501520810072,0.052157786964416794,0.059169338830355786,0.1036557149467839,0.13227513227513227,0.17613945887052843,0.12434938624695789,0.1529105125977411,0.16420361247947454,0.14791407536894477,0.13342016232786416,0.11954186388381824,0.15169334083277938,0.15344024251043206,0.15055101672119958,0.1653473327408387,0.14074012749399786,0.1698861133832505,0.2065167508031207,0.19539637550459502,0.2837068067469025,0.2766807765980088,0.2886893012238453,0.22036139268400176,M
Arkansas,0.0,0.0,0.0,0.0,0.02708999295660183,0.0,0.0,0.0,0.0,0.0,0.01600665877004834,0.0,0.0,0.015844847255672454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01610824742268041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01305721672368318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029617093293843873,0.021394035342946385,0.044109214414891275,0.06170118995152049,0.07778401970528499,0.04795744866373109,0.07875049219057619,0.18202805895933227,0.19069082083730607,0.3527415609930345,0.3190724429264785,0.300961279310035,0.30463220141564373,0.30665163472378804,0.3322700691121744,0.3237701232125191,0.49346743114954417,0.3100088573959256,0.4255989911727617,0.3711558854718982,0.4179958200417996,0.5159842961301178,0.35486553922927644,0.4096728307254623,0.3861921454459034,0.3082730418370557,0.4136029411764706,0.37256795915551266,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005300259712725924,0.0,0.0033228110981890677,0.0,0.005064106990769515,0.002162629757785467,0.004795338930559496,0.0018964320527359824,0.002204617939711048,0.001799972640415866,0.0016991198559146363,0.0,0.003963142772218369,0.0,0.0015657734451086803,0.0024769949097754604,0.0018737001205413743,0.001871572682525126,0.0,0.0,0.001774005847123272,0.0017861480645299573,0.002144733784918947,0.003799405220382773,0.0030478822298306394,0.003009917678751486,0.0057049947228798815,0.0025608413217355673,0.004107569017428416,0.00735288110391255,0.005508471241845495,0.006067592985862509,0.004069763139785264,0.0062850698166505466,0.005576659384205589,0.008771352761879701,0.0061162079510703364,0.009043880910176175,0.008234688625836336,0.006183770413469376,0.00967027137544414,0.009317679631552325,0.0068318800827922655,0.010293163663696012,0.00919682552500415,0.015641966716615167,0.017584085477164984,0.018986048859034595,0.02460703313747129,0.020266179594265955,0.024328262300977625,0.026637740460530832,0.04233511586452763,0.06020929088719662,0.0839808601760529,0.08702351061401506,0.08318159600042306,0.1128961242760536,0.08810472847595817,0.08118825419615082,0.09357120712494012,0.0855288581755359,0.09281334139890166,0.09549954456487823,0.09919461852771537,0.08569209758187613,0.0973785295505088,0.09640412609659693,0.10155813351145768,0.11412428980524902,0.11944542679186182,0.12271768052114873,0.12572577134184795,0.12232494107518083,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01567840456555141,0.0,0.0,0.0,0.013331911262798635,0.015169519379061006,0.0,0.0,0.0,0.0,0.013795323385372359,0.0,0.011902494762902303,0.0,0.0,0.0,0.017185505253854465,0.024504999019800036,0.01759103359887417,0.025464731347084286,0.04091653027823241,0.04290220820189274,0.035370506050883,0.056085249579360626,0.06659848250600577,0.11502450021854656,0.1796148511925062,0.14771048744460857,0.20119374958084635,0.16651633941580518,0.20614258581553713,0.24118738404452691,0.21946564885496184,0.25014714537963506,0.1903683885573163,0.22271714922048996,0.1954652071931196,0.2188805821654965,0.221972383176223,0.19623686944476507,0.21968492556727848,0.27025439163386406,0.22186806662291805,0.29805771183387375,0.3008423586040915,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013822464268929864,0.0,0.0,0.0,0.01828042166839315,0.0,0.025650891368475055,0.029455081001472753,0.056235527621567985,0.06084781285917112,0.041473698762701315,0.0754742872825826,0.05354847922319007,0.06645744877238324,0.09084371096559295,0.04228980046903233,0.09403876032382043,0.0517620670318768,0.08117615225038333,0.09698873083317938,0.08934029247190482,0.0855513307984791,0.14049548072870321,0.14420303787733127,0.11750881316098707,0.1326259946949602,0.1531393568147014,0.19852211315760449,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056420672534416606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07322788517867604,0.12964563526361278,0.0,0.0,0.14413375612568463,0.08874426859931962,0.07457121551081282,0.0,0.13778322106552357,0.14263074484944532,0.08371002846140968,0.17403411068569438,0.10432968179447052,0.19992729916394036,0.17094017094017094,0.23653566229985445,0.3196089490505734,0.44010715652506693,0.36667345691586883,0.7910349373764008,0.5376344086021506,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009501729314735282,0.0,0.0,0.009365341991071707,0.0,0.009514747859181731,0.0,0.0,0.0,0.0,0.0,0.0,0.007245176782313488,0.0,0.0,0.006519754857217368,0.0069622529850659675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008503504658705767,0.0,0.0,0.0,0.0061091086810434354,0.005977786545198044,0.0,0.006113154489602543,0.005814742310003295,0.008300974903385876,0.006246319133367837,0.0,0.00976411524910699,0.007974227297374884,0.010756240540270596,0.010995052226498075,0.014627724413672046,0.008200474260761413,0.028379461783507275,0.028404745777525293,0.029378066335673785,0.034427014728775,0.039532903539715364,0.040879921016907315,0.0424117642522806,0.07168403527162853,0.0869869131295872,0.12104970651156063,0.12104682520225546,0.13976726048447502,0.16929425457623534,0.12356430926806757,0.11776764879070073,0.13322561900307553,0.1291187821459399,0.1370347782220114,0.15216288674733713,0.14985851347052223,0.16667942274493797,0.14803466765356446,0.16016766487471992,0.15152663080536405,0.17077640786404533,0.1694929546585265,0.18904415095654598,0.24418257621661707,0.23479469551823887,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.014702793530770846,0.0,0.0114081454158269,0.01061289466702043,0.0,0.0,0.013957708144322702,0.0,0.00940733772342427,0.012949773378965869,0.00993917226573371,0.011361699710276656,0.009698568491290686,0.0,0.009792401096748922,0.010074348693356975,0.0,0.0,0.0,0.0,0.009724031972617127,0.009490187146490529,0.0,0.0,0.0,0.0,0.0,0.009058381267267539,0.0,0.0,0.009588515697769985,0.008591697964994966,0.0076286379067017586,0.0075436589260344245,0.00637137468780264,0.0086546902239092,0.0,0.005919261276192731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011572883448204918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009578849899422077,0.0,0.0,0.0,0.01156737998843262,0.007910891715714196,0.016556291390728478,0.01514646632940535,0.010538676944385896,0.010477943928031494,0.01174639532493466,0.014152679102154037,0.02222191358453355,0.012093360744951022,0.015836566632354106,0.02410830975371458,0.027627084589109903,0.039080310037126295,0.05954822744776297,0.057920258620689655,0.05009545214530389,0.064891172096796,0.07187512713760696,0.1136904447147163,0.11098344388154802,0.18909109368258076,0.20819133775326848,0.24136257884718265,0.24130127652126077,0.24898925155310128,0.2627765907807166,0.24845480692736063,0.25549128845676167,0.25528767580851036,0.28757908424816825,0.2816156541283797,0.29783228670572204,0.29552105407314505,0.2823653984734621,0.304024562776557,0.30477379837354857,0.33419139231359796,0.36967122856693413,0.37581805222575,0.3225973398657857,0.2507792068211944,M
