state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010072116353088112,0.0,0.0,0.0,0.0,0.00845508658008658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013018196545838516,0.0,0.01009387301907742,0.011464110170098735,0.01012628929361899,0.0,0.010000428589796705,0.016149159509652792,0.008854128237290636,0.010540422520365602,0.02744278940708329,0.014095536413469067,0.013029952603547406,0.011388965719213186,0.010572314632083451,0.018790987842230867,0.015590591078284255,0.009969692135906844,0.0138189714736946,0.0,0.0,0.01939906022330474,0.024895326468258462,0.016107506097841593,0.01918143237346249,0.0146177459435755,0.01610491199815944,0.0,0.022813341241958295,0.022399928320229377,0.020678721595478254,0.018709949015388933,0.02365016673367547,0.011900794973104202,0.011834039431019384,0.0168642189457454,0.0,0.0,0.020496003279360527,0.016034083881164535,0.0,0.0,0.014699757454002009,0.025234682547693548,0.023173180905298935,0.041481942391952506,0.01561320877462333,0.012995789364245985,0.026279136993141147,0.013175230566534914,0.019354660325711284,0.02296672695432492,0.048939171488614444,0.020473223947822528,0.0,0.0,0.01971164676728993,0.0,0.0,0.0,0.0,0.0,0.017557412739658683,0.0,0.017588293232024765,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057195149851292613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09604302727621974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025798462411640265,0.0,0.0,0.0,0.0,0.0,0.0,0.018140260494140695,0.017538321231891682,0.0,0.023320895522388058,0.026526078450877018,0.0,0.0244140625,0.0,0.0276384885695108,0.031535793125197095,0.03930508607813851,0.029720994167254895,0.02366943937242172,0.023434099963174988,0.03447206039504981,0.05092341118957089,0.02937049244525667,0.04673365156724639,0.0394399526720568,0.031579612202362155,0.030712530712530713,0.03093624321511939,0.036657851326228695,0.042838423546013506,0.03734966758795847,0.054129862460940384,0.028508980328803574,0.046639719273308754,0.04147022874105116,0.039773916684111364,0.03268374392286637,0.04033477866290209,0.04970870697711411,0.05474452554744526,0.04607187212050799,0.04277072852807593,0.09379365396128517,0.11842494818908517,0.11165441034920878,0.11590619325425955,0.09925179416704841,0.1092086996760759,0.09116259116259116,0.09805701834029418,0.0941502495869824,0.10947002606429193,0.16078270388615218,0.09244629710559048,0.06512174589812417,0.0662326543140074,0.05113258679756609,0.037424449392788314,0.032117550233855915,0.057871566459293554,0.031045616358970112,0.04614190733866063,0.03754850014602194,0.04294425835265825,0.06206086397588492,0.07094378887128432,0.046881168574812476,0.07258963523708294,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03201331754009668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014195270135990687,0.0,0.0,0.0,0.014755356194298531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014546300875687312,0.0,0.0,0.014661896662952319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03184586600851877,0.03214271364859979,0.019324418335008114,0.0,0.0,0.0,0.0,0.01919901701032907,0.0,0.0,0.023311834641386277,0.0,0.0,0.0,0.027383327465477447,0.02355620116995799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026003293750541737,0.02679049830326844,0.02696386841632213,0.031443715748809636,0.04927873846429532,0.0,0.03101187311713627,0.026980843601043258,0.0,0.0,0.0,0.02651113467656416,0.02749972500274997,0.0,0.03881341835320211,0.0,0.0,0.03774771940861906,0.03282563025210084,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.01480735629460716,0.013966480446927373,0.0,0.014880583318866101,0.0,0.0,0.0,0.0,0.007568418503269557,0.012220457045093485,0.0,0.0,0.0,0.0,0.0,0.009263261903291546,0.0,0.0,0.014078778587742077,0.010673985971332723,0.010192937750273025,0.018244845831052726,0.0071454941704676735,0.005810305157226857,0.010569595501580155,0.008508787686838796,0.0,0.010190425076598028,0.007241749343305003,0.010733814039828763,0.007420363597816294,0.013112788715508682,0.007594996795860727,0.019053815410354124,0.0225582947770642,0.019463667820069204,0.019181355722237985,0.023136471043378987,0.020208997780684607,0.02051968810074087,0.02684609372345125,0.022817208086418544,0.02642095181478913,0.026866145096604833,0.025991839188804093,0.03189130946335905,0.030291485282085553,0.02838551901829774,0.02290928876203931,0.02659843102925827,0.024481280690301154,0.03143620593572725,0.03145609551214455,0.030049841288481927,0.03420401169032162,0.0421388475025208,0.03626746645259353,0.04097346114776908,0.0435402315847412,0.0347219385462537,0.028722742903908652,0.031096414052545356,0.020718794166179527,0.02967949635640536,0.03510015024176459,0.03289257285704888,0.03149847094801223,0.03255797127663423,0.023527681788103817,0.02248643786716137,0.02182718396171678,0.025290844714213456,0.02783358552248701,0.02776760430206366,0.03274967138172209,0.037631398187798815,0.03447406231707345,0.0391737463800334,0.07829510543740865,0.09106954121473941,0.09546198576796655,0.10764942536626892,0.09887477718360071,0.09243398178456946,0.09569911973550214,0.07960511298790231,0.0820382063646784,0.08354313196427966,0.14787996226511307,0.10568716598867353,0.0772244299766072,0.07188970471232753,0.0717598358419623,0.053580602561152796,0.06207875133025896,0.057239643306643814,0.05728148797088752,0.057498175207613175,0.05214226317870142,0.04966520019302503,0.04727296347351632,0.05619781631342324,0.06510072302490509,0.07586703662502504,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017441657655143543,0.0,0.0,0.02014910336490026,0.0,0.021219194276880172,0.023849272597185785,0.023078032597721045,0.014049284891399028,0.016215777951947244,0.0,0.0,0.013362909907261406,0.03404924044002095,0.015434877678594397,0.0,0.013534363749560132,0.022762191999089514,0.0,0.05045578391469609,0.039423108512106175,0.016068903458028024,0.027827592604044275,0.02055076037813399,0.03664010259228726,0.03522367030644593,0.04150967494731464,0.06025051530045981,0.0344924900442131,0.040099941392393354,0.020497203595795144,0.022937752673681797,0.01866467576791809,0.02022602583874801,0.02417561164297457,0.025235724609419807,0.027493298508488556,0.023162624788641048,0.013795323385372359,0.013794689044717784,0.01904399162064369,0.02177015553566677,0.012190661952944045,0.012196906864419184,0.03437101050770893,0.03920799843168006,0.027643052798230847,0.012732365673542143,0.03835924713584288,0.027760252365930597,0.030317576615042568,0.03901582579433783,0.0689769997383631,0.048310290091789554,0.025009662824273013,0.046998791459648186,0.04247423602262312,0.06938180808991883,0.05095659424653727,0.02782931354359926,0.028625954198473285,0.036786344908769864,0.04630582424367154,0.048889130316692925,0.04188540154138278,0.03411125955825919,0.034593098676813976,0.03463003578437031,0.02890591125885244,0.047000763762411135,0.040623730508421614,0.04257967311912482,0.07353924321433347,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02525507627033034,0.0,0.0,0.0,0.0,0.018155959693769482,0.0,0.02443707453307733,0.016921428168537422,0.0,0.0,0.020047541312254776,0.03127665624111459,0.037047818148138345,0.02695483839349163,0.026156223992390915,0.03403058214982531,0.030655367973899145,0.038654812524159254,0.03818021059400369,0.032764728769479654,0.02031818274173558,0.012144519785446818,0.020359964166463067,0.010473178190653736,0.028896961690885074,0.018598884066955985,0.023837902264600714,0.020446181107728657,0.014302059496567507,0.021921812203142127,0.028942163909121604,0.01679946241720265,0.024329584775086503,0.021834742194079666,0.0,0.0,0.020899369535685674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013350778350377826,0.0,0.0180421671220166,0.017917018608103612,0.0,0.0,0.0,0.0,0.014999700005999879,0.0,0.019346725566697837,0.03206361421059382,0.03600065455735559,0.0,0.0,0.0,0.0,0.021419391689276025,0.0,0.022710927741398237,0.019222636576832878,0.03270913402567667,0.0,0.027058717416794442,0.023092554960280804,0.0,0.02376425855513308,0.0,0.02884060757546626,0.02937720329024677,0.0,0.03168400485821408,0.04963052828940112,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06512960791976032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054059898367391064,0.053231129564569366,0.0,0.0,0.0,0.06402868485081316,0.0,0.0,0.0,0.0,0.07543753771876886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11687704534829359,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023248244757520808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015052306766011892,0.0,0.0,0.012822156686754713,0.0,0.0,0.013302421040629396,0.014506156049973708,0.014975539951412691,0.015608903318452846,0.01873252831493703,0.012233247247519369,0.01551028849136594,0.017848643503093765,0.010103051121438673,0.01741534509594767,0.011603865141989113,0.020671407309409626,0.019665479837708038,0.020039657427329875,0.023546788539135832,0.02173251619072456,0.025528260945241882,0.030093651443291524,0.027288175537391,0.017103205629397968,0.015083481267476535,0.02182858016000349,0.03183804316799508,0.021231923376347637,0.03765837777426839,0.035826028804127164,0.01517124543282299,0.02439180948713011,0.009774573889669498,0.020324474253673352,0.013411867267220278,0.024452617958410174,0.012598608338340473,0.017524280351592404,0.017846626095336677,0.016190330112309765,0.010577791519865905,0.013556186405537305,0.014597755018938665,0.010262048744731538,0.017413957635323864,0.010933965681015219,0.022703569426805823,0.016023189925783495,0.02056464643497165,0.029188121183091845,0.03497141466974821,0.03779464395902752,0.03855614932025509,0.0369982117530986,0.034950099025280575,0.03502066980837603,0.03983819563618534,0.029343402753646688,0.0355215623441208,0.0379625287510328,0.03634803975021627,0.02551128874526978,0.02996126436535622,0.027105780307650606,0.025763028443993592,0.023441555179746495,0.026362561760678964,0.031844666878964444,0.028966492583725943,0.033672584623414235,0.03165611462845718,0.028670450041740802,0.03746036171028331,0.04431461568375643,0.04789811788572073,F
Georgia,0.0,0.0,0.0,0.0,0.013056875750770355,0.018088497976349288,0.0,0.0,0.0228162908316538,0.01061289466702043,0.0,0.0,0.010468281108242028,0.0,0.0,0.009249838127832763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013830041364396443,0.010194199500484225,0.0086546902239092,0.00716187020303902,0.010654670297146916,0.0,0.006856986126031405,0.006734309059890455,0.0135800373451027,0.015148337178680462,0.007070802300367681,0.0117637371040032,0.014229980196610892,0.012061125785480816,0.014492928658558677,0.01561636595151719,0.015430511264273222,0.020339810432966766,0.011288115025892114,0.00985110754594838,0.01230802893754359,0.010417209229647378,0.01624893366372832,0.01919867676812429,0.017078623773444292,0.020754174782081164,0.015325409528999082,0.01903311762466692,0.016362327377446167,0.01156737998843262,0.023732675147142585,0.012040939193257074,0.016661112962345886,0.022582879166541208,0.016465340458335205,0.024961090065486156,0.008491607461292423,0.01666643518840016,0.012093360744951022,0.01055771108823607,0.015226300897082894,0.025115531444645366,0.007816062007425259,0.00926305760298535,0.013469827586206896,0.016247173668747207,0.02027849128024875,0.020342017114417067,0.025117656390460576,0.022196688776309603,0.0304576258280667,0.0210669806059855,0.022394466078604576,0.02875611067351812,0.028350261315452124,0.052800903755003806,0.030597882626522247,0.02129094070473014,0.019086929032411992,0.017504813823801545,0.022476366761419977,0.029502254815189446,0.028831322348599517,0.025001102989837785,0.015050720929532524,0.013380313099326524,0.013548299688389108,0.0408997955010225,0.021058770167822198,0.0189763141097521,0.032243040877010715,F
