state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00845508658008658,0.0,0.010221813349688235,0.026275224215246636,0.026111264706785858,0.0316682271300325,0.024241387177732148,0.0386166652364198,0.02762270295417539,0.037608123354644606,0.0458144229530259,0.03172360091710046,0.0444234269091326,0.04773822095563239,0.06949861711935325,0.07571753075131792,0.06900095426851648,0.08411421825426105,0.10992154914095556,0.11434495586284704,0.1519185591229444,0.21988045018486246,0.25055724582269007,0.2202565548350719,0.259315632222786,0.29037475883304426,0.2931089487956612,0.32375876024084493,0.3941805994591918,0.4396726009382299,0.34271673061171704,0.38474595450944893,0.33365548345529017,0.34286810367564197,0.2826097549091263,0.299091222822961,0.2703931468498002,0.32623077976000364,0.21951929753824787,0.21138248742044435,0.18476074652696572,0.13717096705531776,0.13328890369876709,0.13727485739982484,0.07227522405319456,0.13417994489037977,0.0995921464478801,0.091093347908269,0.09162333646379733,0.068397839571688,0.08487935006669092,0.048999191513340035,0.050469365095387096,0.023173180905298935,0.031111456793964376,0.0598506336360561,0.028590736601341166,0.036790791790397605,0.03162055335968379,0.030414466226117733,0.014354204346453075,0.028787747934479087,0.020473223947822528,0.0,0.03086333155635364,0.02815949538184276,0.02306738560018454,0.01834581868215869,0.029390634184573182,0.016816332021659434,0.0,0.0,0.0,0.0,0.0,0.018662983837855997,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10066438494060802,0.0,0.12411347517730498,0.10289830217801406,0.0,0.08950948800572861,0.09257544899092761,0.10443864229765012,0.12220670391061453,0.0,0.18761726078799248,0.17857142857142858,0.0,0.16270083384177345,0.10552975939214859,0.2086375964948884,0.1337920489296636,0.17403411068569438,0.17841213202497772,0.12784998934583422,0.1141552511415525,0.11005943209333038,0.18386108273748722,0.19611688566385566,0.2565042139978014,0.0,0.16377333770062236,0.21834061135371177,0.1463914507392768,0.15428130624839292,0.1326579835986493,0.14870738961336077,0.11392116655274549,0.06059137178865729,0.1151778858459176,0.12048192771084339,0.10395010395010396,0.06541077969649398,0.08019246190858059,0.11022320198401765,0.0,0.0,0.0,0.10268697586856067,0.0,0.0,0.09204712812960235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468055230517201,0.0,0.04896817068905211,0.04773554508025539,0.04653597812809028,0.03385813441679363,0.0,0.0773953872349208,0.07494847292486416,0.06693440428380187,0.07252869149707751,0.05801425493121167,0.16393442622950818,0.09930486593843098,0.10521351086601603,0.12978357711599847,0.12668778129688282,0.10660980810234541,0.13594615206074473,0.16641760630349137,0.17438616071428573,0.1833146277590722,0.15003750937734434,0.13008514664143805,0.12577627545004325,0.1634654679199019,0.17921146953405018,0.10712731411737135,0.13444103554069428,0.15277023356871264,0.10116502953366184,0.14020095470173916,0.10517320712548478,0.11684456514873998,0.10442260442260441,0.10405827263267431,0.09688146421931869,0.10583610523132748,0.09212918005029755,0.0861156902787688,0.10690867623301341,0.06884910940345577,0.04365287235900122,0.07326774126020515,0.06741022184091187,0.07663607945951396,0.061638796651621496,0.05068937550689375,0.056087496494531465,0.052954235320474954,0.05388146078627021,0.041448731866179804,0.0712278134986332,0.03863539775141985,0.032447701939227365,0.02961591855622397,0.03575003575003575,0.027238060650081716,0.03730481587408736,0.038227628149435276,0.03249863163656267,0.03529767707668,0.041296716911005574,0.051693778976786266,0.03579281075829627,0.04116689433206714,0.016058775116927958,0.014467891614823388,0.02276678532991142,0.027265672518299464,0.0,0.03220819376449369,0.013298756566261056,0.014188757774256865,0.01973943939992104,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600665877004834,0.0,0.015985676833557134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01635858007524947,0.0157410905427528,0.0,0.01668613382279326,0.025773195876288662,0.021644352370056585,0.04046062869592282,0.0,0.017034324163188827,0.026963626068433683,0.02387901300079597,0.0334924223394457,0.061972496016053834,0.05044136191677175,0.05062126092959042,0.07938226167280076,0.04117319382886483,0.07434759981165275,0.058052954390570184,0.06789752696315254,0.09563785133627331,0.08235481642845757,0.11346340113463402,0.0906070673512534,0.1264882998322655,0.11689237348538845,0.10383916467160863,0.20364821225962235,0.1601117871386568,0.22559000462748727,0.2199284499442848,0.3595091659981579,0.3346403461330449,0.3054545454545455,0.31802521485632074,0.33610198956924864,0.3794852526770618,0.29630171562351393,0.3929701997598516,0.3017641597028784,0.27226453063962436,0.29023644595797377,0.24680546156602046,0.2691952268070232,0.27440674035711526,0.24030759371996155,0.20097072652813588,0.15791406536907823,0.19434834998250863,0.15359213608263256,0.11210762331838565,0.06600916362506795,0.09324733856554511,0.06366638812621861,0.10734732824427481,0.0882860467916048,0.03520713531275672,0.07852067056652663,0.03261312678353037,0.03384810662153585,0.06418210602883916,0.03969829297340214,0.05729396209784046,0.04321334428071388,0.03487814448271352,0.0525003281270508,0.03551767004084532,0.030337176042298693,0.02679049830326844,0.0,0.02245979696343545,0.0,0.02705749718151071,0.03987240829346093,0.0,0.023498449102359244,0.0,0.026271542664985287,0.0,0.0,0.0,0.0,0.0,0.035648505733468006,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.020730298812450025,0.0,0.0,0.0,0.0,0.0,0.012795203626526284,0.0,0.018164204407846937,0.009165342783820115,0.007710100231303006,0.0166447258916277,0.01059722958140943,0.01554001554001554,0.023726199655970105,0.0,0.0,0.008177016043305476,0.023464630979570127,0.02744739249771272,0.02038587550054605,0.027367268746579094,0.01548190403601329,0.020917098566016687,0.0274809483041084,0.02647178391460959,0.032813406184182416,0.03872361529107251,0.04279215521043865,0.06250868176135574,0.06307309058143849,0.0702470824045108,0.08259559015498541,0.09015707779533413,0.09483691273622909,0.111159169550173,0.11069240698041503,0.13768096702863233,0.1381560575552257,0.14507779481751878,0.16787304176436604,0.18351554503790918,0.189570329271112,0.20942645635546175,0.20981364164456315,0.23128939970028362,0.24920211603200282,0.2520384545800503,0.27586601884289,0.2225514292448066,0.25581164315517585,0.2214823600017147,0.2244821361548498,0.23901712840953443,0.22892982081839022,0.25320932472496877,0.1882648258550361,0.17371040299106266,0.17457168324070765,0.15767845033945802,0.14361371451954325,0.1293155755111947,0.11802313105377267,0.13128812505892254,0.11153318768411177,0.1077623339316649,0.10856269113149848,0.11063680980115521,0.10322770384530548,0.09303763667538016,0.09062425746130509,0.09104704097116845,0.08248862618482512,0.07516403233489646,0.0711071632055199,0.057580573130728306,0.055760060526273164,0.05167089246446124,0.04722561915272268,0.06028547094496835,0.05288752674125571,0.05355009680209806,0.04177807486631016,0.03816081816794152,0.03459676631837395,0.03395343528874686,0.03973278984212647,0.035562279146956886,0.031445739102351634,0.037033238756138974,0.04819480848905048,0.036655224932372533,0.04062436987747453,0.034984981672282124,0.047626555253373275,0.028117719519053102,0.03133634341936788,0.02272382972276928,0.021811142767561378,0.017611773118093983,0.01948656509595329,0.017968009297489065,0.0207508554641885,0.016622552968404362,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02877532228360958,0.0,0.0,0.0,0.0,0.0,0.0,0.053093927985326764,0.031327094020440927,0.06627829908954547,0.027616680475006903,0.0659104311929788,0.07052186177715092,0.08553235974276935,0.12428385219315528,0.09837824946339135,0.10962065483917495,0.08148585237011437,0.15945514986081458,0.1728655160305756,0.1709308950809887,0.21915172247908704,0.1676270298585647,0.24438556324441127,0.23745448788982113,0.22196356549278617,0.29590849598816366,0.2619701417163779,0.24891520064583406,0.22668287394461054,0.24103355187042036,0.2597241976377466,0.2436733016264459,0.28701413697291683,0.28178936245156744,0.23309279008876682,0.2283177421912161,0.1912765356997272,0.1727382090749252,0.15519311293959182,0.140493735126301,0.14131825938566553,0.12894091472201855,0.14747123102214485,0.13306109339512262,0.10997319403395422,0.12276191137979756,0.10116570482606396,0.10805839751695596,0.10950295181870119,0.09433734065455601,0.06582957454589784,0.09025711079670196,0.04419129922419719,0.051460497941580086,0.08292915839469253,0.05092946269416857,0.04603109656301146,0.045425867507886436,0.06821454738384579,0.0341388475700456,0.02854220678828818,0.03450735006556396,0.02046245140167792,0.0268564522626561,0.022354861064538486,0.02775272323596753,0.03242692361143281,0.041743970315398886,0.047709923664122134,0.022071806945261917,0.018007820539205598,0.024444565158346462,0.030715961130347372,0.017055629779129593,0.0,0.03174419946900612,0.02312472900708195,0.020562834146054875,0.018749414080809972,0.03275359470701909,0.02339885011365156,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025798462411640265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015129966411474568,0.0585681802521877,0.017455053237912375,0.03666309436516442,0.05346776657500764,0.04707315722434513,0.0744622963026606,0.0597099800966733,0.07409563629627669,0.07596363547256732,0.05469028652954464,0.09528563001951086,0.08539709649871904,0.0901945625563716,0.08640784502853469,0.08805520856797658,0.10362273198285146,0.12549337111628378,0.13233976708200992,0.1424352233928908,0.1568692206076618,0.17978921264724118,0.1495286596597681,0.16356944886182925,0.16209000762776507,0.2021678236511996,0.24359654623510685,0.25679178266295477,0.29736159169550175,0.2588976574440875,0.26444399812546027,0.27972027972027974,0.22292660838064718,0.28040036913466315,0.17750243630794932,0.21309503351091252,0.21693399947409941,0.25608609679406136,0.17684582833322807,0.22632150054255154,0.20949720670391062,0.1856052794390596,0.14797108872574127,0.15670910871694416,0.18157058556513844,0.17781031822817248,0.1443373369761328,0.15101487112544473,0.13319126265316997,0.12993116412794073,0.1049436991235783,0.13134084408382463,0.11999760004799903,0.1127292669550911,0.09350917357237287,0.06412722842118763,0.045819014891179836,0.03638769434336751,0.043945642620512475,0.038017557199142876,0.03430649421935572,0.017849493074396684,0.029536643898836992,0.037851546235663724,0.0,0.020443208766047917,0.0,0.0,0.023092554960280804,0.0,0.0,0.0,0.0,0.03427340383862123,0.0,0.03168400485821408,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08853474988933156,0.0,0.0,0.06165988407941793,0.0,0.0643915003219575,0.07012622720897616,0.0,0.07209062821833162,0.06286013619696176,0.10270103728047654,0.1621796951021732,0.17033961460662195,0.17438692098092642,0.23699490460955092,0.2245508982035928,0.20489179152260212,0.16776358239772873,0.2926208651399491,0.23270055113288426,0.31413612565445026,0.2564876282438141,0.18315018315018314,0.2820640451302472,0.26981450252951095,0.25911210917256866,0.1971738416036806,0.17608452056987353,0.43956043956043955,0.19307886529036092,0.3726893261776983,0.23574480624723734,0.24002400240024005,0.13206162876008803,0.1151576219951058,0.2276931834353209,0.1752021563342318,0.16750418760469013,0.14536644457904302,0.22453320727960294,0.0975371860521824,0.19382349140715854,0.06734006734006734,0.09571995077259675,0.1151742009789807,0.10316875460574797,0.0,0.0,0.07322788517867604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027904380987815086,0.023110166162094704,0.03632944394580502,0.039976394890636,0.04634457189201715,0.05320968416251758,0.04895827666866127,0.05823821092216047,0.05931383261012081,0.06340240352747917,0.05436998776675275,0.06850377417019957,0.07853403141361257,0.09990794997867135,0.09796131616470563,0.11814844508207098,0.11369274020175293,0.12937815682702658,0.1571531029827448,0.1905149254530081,0.23471117485982526,0.16129219415402823,0.19621060741026072,0.23691097852916737,0.2113467552775606,0.21697007669370091,0.21610294358403456,0.28105307072437036,0.29488782467149494,0.2380981304437615,0.24481119682820224,0.2604397132634613,0.22337762372424416,0.19793512126580734,0.18052915366498093,0.2402959552043633,0.1833946346880763,0.16765840327176165,0.17524280351592403,0.14723466528652757,0.13207900881094808,0.12611982196763194,0.10924691397403592,0.14597755018938668,0.1414696719809419,0.09891127936863955,0.09567219970888316,0.07662454681546965,0.06846272059198404,0.06830400423044156,0.06735720273021195,0.05017637756963873,0.0655621374799457,0.061689838912408146,0.063976074489733,0.05048347636984971,0.03425935089949829,0.02834640843343957,0.038609740465324595,0.039300451955197484,0.030518895662594997,0.04070980452024222,0.040392873846677155,0.024967720304463516,0.02409402694013387,0.018517176694120393,0.0318135391725131,0.021260130452160457,0.022377333482515555,0.022150847269908073,0.013469033849365692,0.012495834721759413,0.02192446179662532,0.01742342405129456,0.016278838414441138,0.01878357564145911,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009526894422956005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014201519562593199,0.01364815067558346,0.0,0.021136222956957593,0.024359423290653593,0.012650821512721983,0.020546819352364257,0.035594177283550577,0.03178599127792399,0.03771829463017212,0.03313114837657373,0.029673223624831543,0.04177757618439429,0.0639280217828815,0.06406516342336778,0.05028456492423031,0.06958786028553471,0.07921688451309908,0.07457642918734998,0.11902517205618932,0.07411154375522017,0.11146817820678534,0.13629072137593323,0.19323904878078238,0.2570694087403599,0.22245653739327229,0.2440777251956012,0.2201182430048962,0.27160910805257676,0.26940907785512086,0.35027866034689303,0.3615387740179551,0.3219470411885458,0.34778288411377467,0.3176985216641655,0.3133194837039812,0.30452988199467074,0.2585247725636495,0.23961001404610424,0.2800455667362825,0.19717037928958459,0.22719699494108025,0.20174038722110144,0.20806202942805396,0.16591783396470208,0.15992527385434063,0.14722017749753477,0.12093360744951022,0.10425739699633119,0.1141972567281217,0.0992063492063492,0.0755552660717775,0.07278116688059919,0.07677801724137931,0.04738758986717936,0.048668379072597,0.05017697554889543,0.06477711384908255,0.041782002402465136,0.03934110002791949,0.04461242951855753,0.029859288104806102,0.021254516584774265,0.032048121487032837,0.038065767823374834,0.03671745915182669,0.03311924109624688,0.02743746048409224,0.025006876891145068,0.02644278442519997,0.02247790843062053,0.023065057878879615,0.022059796755739224,0.021071009301345537,0.013380313099326524,0.01956976621656204,0.014157621519584709,0.01457914857772306,0.010350716787137509,0.01970408053595099,F
