state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020694507677662347,0.0,0.01195933824995017,0.0,0.0,0.020726950688700046,0.010146103896103896,0.02265555465652561,0.013629084466250978,0.017516816143497756,0.02918317820170184,0.041306383213085864,0.024241387177732148,0.0314654309333791,0.04216096766689928,0.04484045476899934,0.052972926539436194,0.07065711113354194,0.07451671610564178,0.07667047608025808,0.11630380824055031,0.18572224523908168,0.21140717903545472,0.16232568435032835,0.15057746457665144,0.1295909499778933,0.12685982772122162,0.18730556867599396,0.15131054455526088,0.12510572314632082,0.1409324088167315,0.11692943308713193,0.07377572180571064,0.08488796762412397,0.03427657386601668,0.04318213044929044,0.04526447385437772,0.04526422994228811,0.03451608449537485,0.016783753326779678,0.03410807386834283,0.018405613712182217,0.026321456772989398,0.031938677738741615,0.022399928320229377,0.011488178664154585,0.011693718134618085,0.0,0.0,0.0,0.0,0.011980352222355337,0.0,0.011386668488533626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49800796812749004,0.6571741511500547,0.3933910306845004,0.0,0.0,0.0,0.1954652071931196,0.2596559558584875,0.16839066634592254,0.2617274008455808,0.18508236165093467,0.1773049645390071,0.2572457554450352,0.2127311405661921,0.19692087361260296,0.31475652656915387,0.26109660574412535,0.24441340782122906,0.3633846686277903,0.27289783387344363,0.30357142857142855,0.24985585239285027,0.22371364653243847,0.2321654706627269,0.14604631754642186,0.22935779816513763,0.10442046641141664,0.14272970561998216,0.0,0.1141552511415525,0.15408320493066258,0.0,0.09805844283192783,0.09160864785635764,0.0,0.0,0.0,0.10247401551749377,0.0,0.0844187168355041,0.057195149851292613,0.0,0.0,0.06398771435884311,0.0,0.0,0.0,0.06682705159048383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12964563526361278,0.0,0.07796257796257797,0.1869158878504673,0.29076269290986356,0.18077053440289234,0.1285071749839366,0.08229606007612386,0.16858917480035493,0.10093167701863354,0.10921288712068024,0.08147967082212988,0.1259181532004197,0.13127274897070232,0.12797393985224825,0.11850347045877772,0.137294744357186,0.10319384964656106,0.1405283867341203,0.2008032128514056,0.22611886172618284,0.18233051549809381,0.23028883684621393,0.22435543786089962,0.15600624024961,0.19642919779718684,0.15002500416736123,0.1665778251599147,0.16247223051162174,0.1562287732645021,0.15345982142857142,0.11971567527123082,0.12634737631776366,0.14191106906338694,0.12577627545004325,0.11888397666901958,0.09467775748968688,0.09373639985269995,0.06894412079009962,0.07129277566539924,0.039160656593675555,0.05340988750542444,0.032866627226714,0.02210572854165351,0.033783783783783786,0.03374862896194842,0.015710507711240867,0.015119443604475355,0.03485968974876123,0.012302241468395541,0.0,0.01776751210411762,0.010913218089750305,0.010466820180029307,0.010213669975895739,0.022184128264596148,0.0,0.0,0.0,0.01018350679239903,0.02594292556375973,0.013816243955393269,0.0,0.0,0.0,0.0,0.010725010725010725,0.0,0.015987778231751727,0.0,0.010262725779967159,0.011765892358893333,0.01429501739227116,0.0,0.013635356479350956,0.011227334817836493,0.010036734448079973,0.0,0.012418246543588045,0.0,0.010430138929450541,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018543701322784028,0.02817695125387433,0.0,0.016856584181781403,0.0,0.02412295816389827,0.028838759292489108,0.07197775233109766,0.04722327162825841,0.05886179869264847,0.05339562823293843,0.06443298969072164,0.05565690609443121,0.05602240896358543,0.07331163308993871,0.05678108054396275,0.07280179038477094,0.0344919076678164,0.0697758798738452,0.07377678097149265,0.06809583858764187,0.057524160147261846,0.05051598470087321,0.06781467218871855,0.12143441302569949,0.08076932784774982,0.05745175358420599,0.09563785133627331,0.14345677700440998,0.11899820118998201,0.1317920979654595,0.18423295845134324,0.20812544547398432,0.21344717182497333,0.12509818753091087,0.14555617012605165,0.13882461823229986,0.09383613864289485,0.09804795436313396,0.08112493239588967,0.08363636363636363,0.06814826032635445,0.027042688815916555,0.030058237835806877,0.051212642206533265,0.0327475166466543,0.0386877127824203,0.0,0.0232189156766379,0.01990366625532423,0.028124874442524813,0.0,0.0,0.01895950250265433,0.0,0.0,0.0,0.02319468068656255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00913943116180449,0.0,0.018164204407846937,0.03971648539655383,0.027756360832690827,0.046907863876405345,0.06358337748845659,0.07925407925407925,0.11121656088735987,0.15438769838819244,0.16112725894098318,0.2436750780905032,0.2768826455589275,0.35224153705397987,0.3552966872952311,0.3609873068001147,0.34655646726768213,0.316080600553141,0.2853790785426642,0.28551709793614627,0.2472452000854675,0.25272254189963106,0.21396077605219327,0.20646807006023563,0.21254041448030953,0.18264241425172809,0.16424180571048821,0.15010688725718002,0.15560619662546327,0.14792387543252594,0.14465939107187814,0.14905955934504822,0.145137347697644,0.14507779481751878,0.15156149114758555,0.17667038261198362,0.18131378182899038,0.14112818388096032,0.12463556623065096,0.10713002984778866,0.12678704148996633,0.11447786241445353,0.1142282592440571,0.10976061412073666,0.10892395901336892,0.10323935812983154,0.08543189576593806,0.07978750962803823,0.08127685946215038,0.06584194922268875,0.06479244006699293,0.04950959888688764,0.053809154128312234,0.04493427341279892,0.057445485807817304,0.05726290880407743,0.05623672702248729,0.05028055853320437,0.05183012839438136,0.04792917759169979,0.04250764525993884,0.035572598246692955,0.037350194838614806,0.036540461534137224,0.03591815082307824,0.032478769001410966,0.034918498200938244,0.03423075357926813,0.04104924563599413,0.038991569206634914,0.029152562764773522,0.032684843605426644,0.027838259711078638,0.02719259540496444,0.029881452608809474,0.027186972222603634,0.029523172905525846,0.023744509082274726,0.03013266743858376,0.026820360648253824,0.028013046075743845,0.023708186097971255,0.026629725005595073,0.031050946341685752,0.026774893605028043,0.027278306926416765,0.031431994211768614,0.02805102134083882,0.0341597361817298,0.028452454275232304,0.029988543702405824,0.029265538279324068,0.020107147238845647,0.02359977597824594,0.01804311582958638,0.0210263938587638,0.018309578350754557,0.014491456433993546,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04122739855115142,0.04753134097795734,0.09688162276718135,0.0,0.06105378838756945,0.07130818099312848,0.11439466158245949,0.09301748728761007,0.15322735108216817,0.1196322881249213,0.3849309017479649,0.22362536174690872,0.32130161334427126,0.3472222222222222,0.3719856336582863,0.32704886494805696,0.3404001194386384,0.339548802946593,0.3330653497186172,0.24269167126309985,0.18688506568460397,0.21695257315842584,0.1873018922293728,0.207139072209644,0.20754899121536827,0.1722990171124251,0.1883699026755503,0.17950842308754486,0.1318208623859576,0.17126737860165223,0.12671460702632498,0.16975355421504137,0.13415215835917005,0.10096639261502956,0.10958442215291242,0.1675630388367882,0.12964913702293168,0.1220934964864205,0.13897426303551863,0.09952854897852279,0.09518174568466545,0.11872724394491056,0.11368865549630511,0.0796676719968133,0.11678187040368652,0.10427528675703858,0.062419921810834784,0.08034451729014011,0.08966668727969822,0.06165228113440197,0.05496015388843088,0.03842582215248647,0.03512357110926624,0.031710797526557796,0.0344924900442131,0.03393071963971745,0.014640859711282246,0.028672190842102246,0.023997440273037542,0.02022602583874801,0.019340489314379653,0.02064741104407075,0.018328865672325702,0.01853009983091284,0.011496102821143632,0.01609380388550408,0.0,0.0,0.019505059124710473,0.012196906864419184,0.0,0.012252499509900018,0.0,0.012732365673542143,0.0,0.0,0.0,0.0,0.0,0.0,0.011368028556487733,0.020142339196992078,0.0,0.013876361617983765,0.011581044146940288,0.016233766233766232,0.0,0.0,0.0,0.0,0.013961800513794257,0.01421302481594133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04715868898844612,0.0326437344432203,0.02557953637090328,0.048415892516718614,0.06545855439950389,0.09076627683714436,0.0958880929550454,0.1120277013952541,0.07476324970925403,0.1116934444539909,0.13647995450668185,0.13760618169308528,0.19848562817025656,0.18309356794673642,0.15654067788919643,0.19707022268935165,0.30279603143924755,0.31147013905634596,0.2559744435115598,0.21537273706239715,0.2307458759234895,0.2626435377473736,0.20736892817494398,0.18576618229854688,0.21492043810704692,0.2080398743092426,0.19083102367213411,0.1263348588863463,0.17537449762513702,0.12541604360619363,0.09599692809830085,0.07839532871972318,0.07174272435197604,0.04016870857601928,0.051168343851270684,0.04179873907137135,0.042592461134379214,0.04872615898649589,0.020622100017185084,0.029581909019195374,0.01620798080975072,0.02210572854165351,0.027902650751821422,0.0,0.0147305777332587,0.022764782880883273,0.01958863858961802,0.026701556700755653,0.013074288105012682,0.0,0.0,0.0,0.0,0.0,0.01751211254450995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15135135135135136,0.2146690518783542,0.23452157598499063,0.1520013511231211,0.18020969855832242,0.09454774661203907,0.1623137081304412,0.22041603526656564,0.19538882375928096,0.22197558268590456,0.1579778830963665,0.21463833440652502,0.20036064916850332,0.3816006600660066,0.20597322348094746,0.24096385542168677,0.2156721782890007,0.18380365444912963,0.13840093686788033,0.29427792915531337,0.17774617845716317,0.1621756487025948,0.08964015879113843,0.20647825525874305,0.0,0.09797917942437231,0.11780104712041885,0.0,0.0,0.09955201592832255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024588148512417016,0.0,0.02615746795710175,0.03039777661976724,0.0,0.035539409256041696,0.03058337793409282,0.039033391292005254,0.04581451665684927,0.038401323368682246,0.05770050926971224,0.07208631755185564,0.06701948187007464,0.08120699234944652,0.10089280615255752,0.11393040590120883,0.11972178936566454,0.09066347531233568,0.11314852407734034,0.12174944588393219,0.15562408138563072,0.14408046758189477,0.12278978388998035,0.19038553069966682,0.22002200220022,0.2514340448227444,0.19093632642727543,0.1881098065156276,0.1552537881924319,0.1360587267434502,0.1584056683541865,0.18363976181162256,0.14156581069634133,0.13000457423501938,0.13271976284094714,0.09528928850664582,0.08469954865582976,0.07530860155201205,0.08343763037129745,0.06605487272641487,0.05709495985131015,0.04776803840550288,0.04677800675120422,0.03209448616727646,0.03909829555867799,0.03945339119830709,0.024588423323237175,0.02750919520321144,0.03004283526835036,0.017524280351592404,0.02052362000963718,0.015338207474819777,0.020341906768972896,0.017543300054224747,0.016134360810405892,0.015393073117097306,0.012538049497433184,0.014350829956332476,0.009932811624227548,0.008011594962891748,0.013220129851053202,0.011226200455035324,0.005321737014961684,0.008484511909169443,0.006940106877645916,0.006166368625516433,0.0108733641411984,0.006090551271021918,0.006895072321647463,0.009266337711677902,0.004534667533292017,0.008187996397281586,0.0,0.009212409824680754,0.008560361247244633,0.0,0.004830567833248798,0.0,0.005102431308518509,0.0051640000344266666,0.005963689649590636,0.0050508876935121344,0.0,0.006745988245115482,0.005227027215388368,0.0,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011432273307547204,0.01633786709145121,0.011508804235239959,0.017294388931591083,0.013613644761663978,0.011388224575788634,0.011153867603591546,0.02182492770492698,0.015976709507917346,0.018766207178927255,0.00786077004103322,0.016607032323323823,0.021314495379321896,0.031627053781804956,0.02328639526601282,0.04050371897783342,0.03560031023127488,0.05154833599456856,0.04459962281461848,0.05811006293196177,0.07400599209806988,0.054457203740973126,0.06749722574961961,0.08228383351237686,0.1212175630780282,0.13466870367226844,0.20042415344100306,0.17559159045913078,0.17292693542884705,0.1660164356271271,0.13387849621883707,0.1666686795734248,0.12493092761213752,0.13630284950108013,0.10847898897582274,0.09453796334184646,0.08162346252357229,0.08478864379196696,0.05599249960935466,0.04603864538056357,0.03839735353624858,0.05278847348155509,0.028736549698266226,0.015325409528999082,0.020763401045091185,0.014726094639701552,0.016524828554903743,0.01423960508828555,0.013546056592414209,0.01817575959528642,0.015055252777694138,0.008981094795455566,0.013214694740551494,0.008491607461292423,0.0,0.0,0.0,0.0,0.0,0.0,0.00793976365970173,0.0,0.0,0.0,0.0,0.0,0.0,0.006345338714180563,0.0,0.006220685021834604,0.0,0.0,0.0,0.006119576525304448,0.005914150195758371,0.0,0.0,0.0,0.0,0.0,0.00882391870229569,0.0,0.0,0.00752683316021617,0.0,0.0,0.0,0.0,F
