state,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012200825589198203,0.009957779016968055,0.0,0.0,0.0,0.0,0.014327234025134063,0.0,0.0,0.0,0.010036734448079973,0.0,0.0,0.024173079247411466,0.013952561291608531,0.019941770031508,0.015398533289704157,0.0244954871775546,0.013528138528138528,0.035601585888825955,0.017036355582813724,0.012261771300448431,0.035327005191533804,0.022030071046979127,0.029945242984257357,0.03289567779398724,0.039253314724354504,0.04917985361761217,0.05869972940856443,0.0937288208914332,0.0888468538182652,0.09113660364257092,0.11772214736543507,0.13000557166735716,0.14974675181678043,0.13576329963845643,0.1445543659935854,0.1295909499778933,0.12529365700861395,0.10912585305470951,0.15456453476075038,0.15329856216521004,0.16723979179585471,0.17539414963069788,0.23927261126176422,0.20925871088737535,0.1675743611227482,0.14917463246118515,0.17459154200974264,0.1765304967749236,0.11505361498458282,0.11029323614740931,0.1291234225015836,0.1196364891291844,0.09810724797205139,0.09809736734042067,0.09855968460900925,0.09879833651172942,0.0865335141961738,0.05439538348745358,0.08092540581710858,0.061537005041300795,0.08913944299893997,0.06948604288966095,0.052167314806032435,0.050101341349547954,0.052683418466683465,0.047170923842543455,0.04850248575239481,0.05389911066467403,0.04289896033107903,0.03604717029713168,0.06222291358792875,0.03122641754924666,0.05198315745698394,0.06306992878353875,0.034255599472990776,0.055299029502032235,0.02296672695432492,0.028787747934479087,0.040946447895645055,0.0,0.047697876041637444,0.02534354584365848,0.020183962400161473,0.02140345512918514,0.026125008164065048,0.03026939763898698,0.02447295738209279,0.017557412739658683,0.01735930285039753,0.0,0.017921789311444853,0.03359337090814079,0.019805117642398794,0.0,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18119589289309443,0.14806588932074774,0.08865248226950355,0.0,0.11454753722794961,0.19692087361260296,0.1666358081836697,0.0,0.0,0.207648382073023,0.11939280231963159,0.125,0.1537574476263694,0.16270083384177345,0.1266357112705783,0.12518255789693303,0.11467889908256881,0.13922728854855554,0.10704727921498662,0.0,0.1141552511415525,0.0,0.10214504596527069,0.0,0.0,0.0,0.08188666885031118,0.0779787897691828,0.0731957253696384,0.0,0.0,0.08007320979180965,0.0,0.0,0.0,0.0,0.06496881496881497,0.0,0.0,0.06888950124001103,0.0739863865048831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06734006734006734,0.0,0.0,0.05591590248266608,0.09038526720144617,0.0642535874919683,0.0,0.0709849157054126,0.062111801242236024,0.0468055230517201,0.048887802493277926,0.04197271773347324,0.08353720389044691,0.0756209644581467,0.06207324643078833,0.12631116480861113,0.09803415716423301,0.06557991380925614,0.05800981704596163,0.1407909893766799,0.10774075915796454,0.1405152224824356,0.14344036191106696,0.08707325037187534,0.12627591286962012,0.10668444740790133,0.10660980810234541,0.1094200736098677,0.13585110718652357,0.16392299107142858,0.12719790497568276,0.17767599794685512,0.16162093976663514,0.11791525823441552,0.11516885239811273,0.1386352877527558,0.13725687121288205,0.1447826536592092,0.08487235198261815,0.10116502953366184,0.10348165704175986,0.065733254453428,0.08210699172614161,0.06756756756756757,0.047810557696093596,0.04189468722997565,0.04031851627860095,0.03734966758795847,0.029525379524149298,0.04751496721467262,0.04219784124727935,0.045835515976951284,0.05652082897215825,0.020427339951791478,0.03630130079661188,0.02187183106993021,0.014193025141930252,0.020031248748046952,0.01629361086783845,0.0,0.01578999309187802,0.013475532283525198,0.011590619325425955,0.0,0.0,0.016087516087516088,0.01452696568004358,0.0,0.015638575152041704,0.0,0.015127575890005714,0.01429501739227116,0.0,0.013635356479350956,0.0,0.0,0.0,0.012418246543588045,0.01048679712242287,0.0,0.0,0.011082297138550879,0.01182396481188072,0.0,0.0,M
Arkansas,0.0,0.0,0.0,0.0325079915479222,0.0,0.028739171490741882,0.026371308016877634,0.0,0.029943108094620224,0.0,0.0,0.03197135366711427,0.022182786157941437,0.0393569676970119,0.027238060650081716,0.018543701322784028,0.034438495976957514,0.03687068445397868,0.023599217854493967,0.06774630621330407,0.055138190088910334,0.05447321199692387,0.11778177654179617,0.11648407001637073,0.1239195761950494,0.08676789587852494,0.07731958762886598,0.1298661142203395,0.13383131030189854,0.1290284742382921,0.11640121511512364,0.11863995470110822,0.11143539400371451,0.11443244299310613,0.150504633181845,0.10844892812105927,0.1058444546709618,0.13711481561665584,0.13078543922110003,0.13134742633391985,0.166586738685984,0.1540751573394615,0.13548695605972053,0.15939641889378886,0.14390480143904802,0.15650311633398314,0.1704842302087057,0.2052744119743407,0.23652254175199747,0.2560148954120967,0.23580099560420367,0.2198056455344748,0.22872558794205616,0.2555189113705916,0.2636560302866414,0.22545454545454544,0.2536629689925416,0.27429012941858216,0.17283486755588953,0.20485056882613306,0.1819306480369683,0.19730733519034352,0.13415933393836563,0.10061530126543092,0.11942199753194539,0.11651733697617421,0.13913581201205844,0.08010253123998719,0.08721371151220991,0.11384502387073081,0.054417537995102426,0.09983488845371118,0.0889129426318231,0.10095519142657451,0.058279586603465695,0.09947873144721658,0.0715648854961832,0.032104017015129015,0.0665023667018738,0.06674256998154764,0.04484304932735426,0.05077215993230379,0.05134568482307132,0.026465528648934762,0.022036139268400177,0.04753467870878527,0.06975628896542704,0.0306251914074463,0.03995737879595098,0.030337176042298693,0.031255581353813185,0.0,0.02245979696343545,0.02239942657467969,0.02705749718151071,0.03987240829346093,0.035974458134724344,0.032897828743302944,0.0,0.0,0.02651113467656416,0.02749972500274997,0.0,0.0,0.028449502133712664,0.02970708811122334,0.0,0.0,0.03449703325514006,M
California,0.0,0.029976019184652276,0.024449877750611245,0.02842062525375558,0.03699707106520734,0.02961471258921432,0.0,0.027337342810278838,0.019840777758488134,0.03097637535106559,0.024706843795731417,0.01827886232360898,0.038107861817579324,0.04238314361830952,0.02444091409018697,0.03392444101773323,0.03177629488401652,0.03633335856483234,0.04195804195804196,0.04745239931194021,0.04940406348422158,0.05844812334133704,0.07686395080707148,0.06257234927885368,0.06251906068923453,0.07426283218056061,0.08210180623973727,0.1048005811668592,0.08483045529551211,0.08455676401264124,0.09359666455522675,0.08623057904215378,0.07880595392569142,0.07505085683061548,0.07766230158229047,0.07261355806434515,0.07680347676226515,0.08734246315239835,0.08643926015428943,0.09391616601063461,0.08953287197231834,0.09350910914591018,0.0872358744258552,0.09663575302400094,0.1112383091777005,0.12505522139531722,0.11799756181833591,0.12814161630172727,0.10811195737669896,0.0989568817308686,0.10558190802917901,0.09243587261337448,0.09326670534583544,0.09831903093708537,0.10740379111814416,0.08444267832306775,0.09002186245230984,0.08114242819610015,0.07218869918727268,0.07653570932685828,0.06320827125378121,0.060717443836364446,0.04822917822601985,0.046004772995198256,0.04942770075407881,0.04249392100852239,0.04891996844851648,0.03884773906158662,0.03910710108138118,0.04067680962597018,0.033519098054326,0.03363914373088685,0.03316089667064597,0.032938754503345345,0.03260533490738399,0.028734520658462593,0.029816574820967442,0.024038096587602416,0.028246356100375104,0.021085404862204636,0.02062926045234754,0.018972302751678008,0.019707038056213124,0.018393135880534095,0.012570162026823185,0.013221881685313927,0.011533867003528814,0.009748217468805704,0.01102423635962755,0.011160247199475469,0.0071330746404930385,0.0074320326323402035,0.006491527145873081,0.006799078724832785,0.006267163481808133,0.009864434486062964,0.00568298060967016,0.00889584741842508,0.0050428802410496755,0.006569180034948038,0.008033634148300887,0.005728148797088753,0.006541708556554792,0.007497580326349224,0.004579061010704436,0.003608623165917276,0.007645961403186837,0.004882554226867882,0.002983535148175142,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436844732900649,0.0,0.04753134097795734,0.03633060853769301,0.041361380288347904,0.054948409548812506,0.038895371450797356,0.0,0.062011658191740045,0.03830683777054204,0.10074297947361792,0.06941376916766581,0.11181268087345436,0.13672409078479628,0.09827044025157233,0.08978963571062083,0.08977811978966269,0.1373544341594506,0.08632596685082873,0.12059262662225795,0.0882515168229454,0.11542901115813775,0.13118062563067606,0.08644702718278743,0.10597812996772484,0.11101457669659234,0.07831773505110232,0.06627829908954547,0.08975421154377243,0.10753807194643909,0.15111827523675198,0.15205752843158996,0.08487677710752069,0.12520868113522537,0.12692917928746575,0.13206327797915088,0.09729466771168346,0.1350511843988872,0.10310117481075508,0.13362909907261405,0.08119434258774227,0.09003678645846731,0.09234341195715266,0.12992989199577729,0.10242986399590281,0.09468800303001611,0.13118503817820984,0.10512828936561648,0.08034451729014011,0.1298620988188733,0.08807468733485996,0.08854691459802755,0.051234429536648626,0.06705409029950828,0.06659267480577136,0.0721206610015365,0.04626916314506925,0.04392257913384674,0.04300828626315337,0.03199658703071672,0.04045205167749602,0.026593172807272025,0.027529881392094332,0.03207551492656998,0.02779514974636926,0.04138597015611707,0.020692033567076676,0.014282993715482764,0.01935124936503713,0.019505059124710473,0.019515050983070693,0.0,0.017153499313860027,0.01759103359887417,0.017825311942959002,0.0,0.0,0.0,0.0,0.0,0.011502450021854654,0.0,0.0,0.0,0.013876361617983765,0.0,0.0,0.0,0.012262114969589956,0.0,0.0,0.022338880822070813,0.0,0.0,0.0,0.0,0.017625286410904176,0.0,0.0,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022914757103574702,0.0,0.0,0.01705999431333523,0.0,0.012252199269768924,0.0,0.015880938336585146,0.024086360550920758,0.03650732293948374,0.03617072582589824,0.03481252431757213,0.04063636548347116,0.022264952939985833,0.020359964166463067,0.025135627657568965,0.018576618229854687,0.03926431080801819,0.04334164048109221,0.03180517061202236,0.05482456140350877,0.03410059676044331,0.03858955187882881,0.047998464049150424,0.048659169550173006,0.08733896877631867,0.04686349333868916,0.023878560463926318,0.024382597791633286,0.049691204656775755,0.03132395934846165,0.03437016669530847,0.01972127267946358,0.02269117313365101,0.018947767321417293,0.03410323980778174,0.021253339810541658,0.0147305777332587,0.025610380740993685,0.01958863858961802,0.026701556700755653,0.018304003347017754,0.015464714676014228,0.020476592694975558,0.02663825253063399,0.0,0.014181580962645716,0.0,0.0,0.0,0.0,0.01603180710529691,0.0,0.0,0.016902170238658643,0.0,0.01715324710967786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056420672534416606,0.0,0.07012622720897616,0.0721947194719472,0.11328527291452112,0.08381351492928235,0.07189072609633358,0.06487187804086927,0.06387735547748323,0.10899182561307902,0.0,0.0,0.06402868485081316,0.09033423667570009,0.0,0.07348438456827924,0.0,0.07543753771876886,0.08325008325008325,0.08296001327360213,0.0,0.0,0.0,0.0,0.0,0.0,0.07453786523553965,0.07367025195226168,0.0,0.0,0.07197351374694112,0.128077415682368,0.1078167115902965,0.0,0.06056935190793458,0.0,0.0,0.0,0.0808080808080808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024324136493154493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02179788996425146,0.0,0.0,0.023692939504027802,0.026760455692331216,0.028387920939640182,0.029452189279403105,0.01476973975718548,0.02006974235468252,0.023253650823179237,0.027732199394513646,0.03632944394580502,0.032361843482895815,0.05020661954968524,0.06461175934019991,0.058024624199894834,0.03993477320376718,0.06867917460119252,0.0806939681258826,0.09106972950931086,0.12020473580808602,0.11066158971918134,0.12909454210727195,0.1578265649320257,0.16983838980547702,0.11679345129816437,0.1480086114101184,0.14555119605113276,0.16589782834391154,0.16951362628765157,0.16361294514905023,0.142042034812336,0.16869053968568984,0.19424354964816265,0.17636070405049484,0.1287886229440206,0.14930944382232175,0.13800750194625963,0.10447162866409941,0.09434187585086819,0.07964903852232069,0.10398613518197573,0.0855275215346081,0.07890678239661418,0.05700043588568618,0.0723389947936301,0.05330180450836354,0.05533983268923917,0.057109203505077366,0.06731768836170901,0.06102572030691869,0.06698350929794902,0.043024962161082383,0.06230529595015576,0.05084875629514569,0.04578598128925123,0.03618381377397178,0.04297128207369211,0.044067099503510676,0.03218177463776793,0.024327940639824838,0.02699617425644823,0.03238716542901427,0.028519454893013503,0.031066754689138287,0.02588484290184315,0.018386859524393232,0.020849259851275278,0.02418489351089076,0.01786471941225073,0.02035490226012111,0.021259407287724817,0.019260812806300424,0.012799951811946118,0.020127365971869995,0.01506957118697989,0.01785850957981478,0.019795333465302222,0.022150847269908073,0.01599447769612176,0.009996667777407531,0.01264872795959153,0.009582883228212009,0.011756938854874156,0.009391787820729554,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011432273307547204,0.012253400318588408,0.011508804235239959,0.013451191391237509,0.023337676734281103,0.01328626200508674,0.02602569107504694,0.020006183729516396,0.03550379890648299,0.02729630135116692,0.03301523417233952,0.025665413590591362,0.03349420702464869,0.030045701092714705,0.03561448687743137,0.03313940643640916,0.03432887058015791,0.05657744194525818,0.048422447627300066,0.06676475315587098,0.06803776692887069,0.10773055522670771,0.09724176591046894,0.13142556741560193,0.14927718416090507,0.14372206190233688,0.1479876016686476,0.17441312340906948,0.16704506687684545,0.1826180791898398,0.15438241005415446,0.24517204314061766,0.2762895514499195,0.25717518773788706,0.2142460032272499,0.2793808468908298,0.23079737679079063,0.20376625685488833,0.1705818011354758,0.18280050371694356,0.11371523931889002,0.1676810334119985,0.12133209872601297,0.12941456935599224,0.11246842232757726,0.09817396426467702,0.10575890275138396,0.10284159230428455,0.09632751354605659,0.08330556481172943,0.07377073861070128,0.10477943928031493,0.08369306669015945,0.06934812760055478,0.09722087193233428,0.08062240496634014,0.07258426373162298,0.06978721244496326,0.06278882861161342,0.06383117306063961,0.05293175773134486,0.05657327586206897,0.05009545214530389,0.05002027849128025,0.0515331100231899,0.05287927661149596,0.044393377552619205,0.03680296454224727,0.037177024598797945,0.031103425109173022,0.02875611067351812,0.028350261315452124,0.031926127851862766,0.019582644880974238,0.027205090900488504,0.02743746048409224,0.025006876891145068,0.014543531433859985,0.023882777707534313,0.03748071905317937,0.020589143638689942,0.016555793022485776,0.02081382037673015,0.01806439958451881,0.007865345288658171,0.022678675565346983,0.03105215036141253,0.016121520438505357,M
