state,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011965062018904798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011015035523489564,0.011407711613050422,0.008581481163648846,0.0,0.007232331414354731,0.008590204303692357,0.01586180045855023,0.017196165255148103,0.033272093393319546,0.026948443372810438,0.03428718373644585,0.058724216398737435,0.06197889766103446,0.07077140835102619,0.07775456998673598,0.06421299921691465,0.08469469192305813,0.1041276865756634,0.09515083168875106,0.13905331003250843,0.15395708689805704,0.1455575051842399,0.15003454742868425,0.1961381726777621,0.19628241113313835,0.19399060223304737,0.167477650786466,0.12195683188365779,0.1486561008943343,0.09014276665204891,0.09202806856091109,0.09810724797205139,0.04562668248391659,0.06047980646461932,0.0804172506490821,0.03975864165770148,0.04257030012061585,0.021421430951587567,0.04260254195166978,0.024091741351064854,0.031148915778123877,0.016598691074646683,0.025050670674773977,0.016034083881164535,0.025944008113398902,0.0,0.012249797878335009,0.0,0.0,0.0,0.0,0.012995789364245985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10066438494060802,0.09254118082546733,0.24822695035460995,0.17149717029669012,0.08181966944853543,0.1432151808091658,0.2777263469727828,0.1566579634464752,0.33170391061452514,0.3114725731095345,0.23878560463926318,0.375,0.5958101095521814,0.4677648972950987,0.4432249894470241,0.4798664719382432,0.5542813455657493,0.6439262095370692,0.7136485280999109,0.4900916258256978,0.4337899543378996,0.3301782962799912,0.4290091930541369,0.47068052559325363,0.348112861854159,0.29668411867364747,0.16377333770062236,0.280723643169058,0.11711316059142146,0.1285677552069941,0.1326579835986493,0.09151223976206818,0.12531328320802004,0.08482792050412022,0.1151778858459176,0.0,0.06496881496881497,0.0,0.0,0.0,0.08878366380585972,0.0,0.08358408559010365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03490198359606771,0.0,0.0,0.0,0.03278995690462807,0.05800981704596163,0.06826229787960238,0.07044588098789989,0.1405152224824356,0.15447423590422596,0.11972571926132859,0.17889087656529518,0.1866977829638273,0.1765724946695096,0.22547166683245468,0.18679527238146992,0.20926339285714285,0.2731013842124953,0.2526947526355273,0.33900977609586885,0.369467809134502,0.3417914329234313,0.3144654088050315,0.4285092564694854,0.4412423730566376,0.34967409016838674,0.3426557451946611,0.30043061721801245,0.30565963320844014,0.24632097517842483,0.214987714987715,0.18561745929071632,0.15186824120866174,0.11339582703356517,0.10955902492467817,0.10333882833452254,0.0760239475434762,0.04219784124727935,0.07420988301030208,0.06070755704416998,0.03268374392286637,0.016133911465160834,0.017895134511761078,0.016220600162206,0.028043748247265732,0.02036701358479806,0.02594292556375973,0.01578999309187802,0.0,0.013522389212996947,0.0,0.0,0.0,0.0,0.0,0.015638575152041704,0.011973180076628351,0.0,0.0,0.0,0.008522097799594348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012027615404969811,0.012109762890842597,0.0,0.0,0.0,0.018596248870942033,0.021252855852505182,0.0,0.027456687076137392,0.016498473891165065,0.042765502494654314,0.03749747613141423,0.04072964245192447,0.06404471485546272,0.06362795002313744,0.058647586651809275,0.08022105356983689,0.1250676041103299,0.18545454545454546,0.18172869420361185,0.15839289163608267,0.21040766485064816,0.22314079818560925,0.24014845540879817,0.15861962240792324,0.1815096870930829,0.23605897604581866,0.1393256637872696,0.1366065330065491,0.09662209167504057,0.07609740467798783,0.10617321401486426,0.10282776349614395,0.07773933999300346,0.06143685443305303,0.07344982217411473,0.07377494758095829,0.04273836350920818,0.035812343320997975,0.047709923664122134,0.0,0.039119039236396355,0.019630167641631658,0.028536485935589072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022198543775528327,0.0,0.0,0.0,0.0,0.02239942657467969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.027281069417921185,0.014455641830497275,0.01710473801242944,0.0,0.014911772015574516,0.01210946960523129,0.0213857998289136,0.018504240555127217,0.019671039690105467,0.024222239043221558,0.021756021756021756,0.025209087134468233,0.03550917062928426,0.03001390117528118,0.022895644921255336,0.020336013515627444,0.03202195791399817,0.04368401892974154,0.028670472020225712,0.027391060986792747,0.033699769911915776,0.028537907854266416,0.03214430903916879,0.034339611122981596,0.029212551886247683,0.03291704246956819,0.031570041293614015,0.041342025759262206,0.037933424498435835,0.03750029667956234,0.03624872200018589,0.04373546946573671,0.05406574394463668,0.04875261246068821,0.07775371416217529,0.08340804538573465,0.10367842408795386,0.12199680565467089,0.11604180112521431,0.1297929257901516,0.18644457320053473,0.18225602901065038,0.18670349132432532,0.19705079601026787,0.1952674165434548,0.29750256934037156,0.3238948183562843,0.3289006840566547,0.3465127245188117,0.34637450626440996,0.35438088691933867,0.39588603629689084,0.3679624362273692,0.30440221842794796,0.2983380139821936,0.2571338204910188,0.2410111028504669,0.22388000975786335,0.16268733693343848,0.14355164529424388,0.13477983051261727,0.11218926525872418,0.08520742682968853,0.06574923547400612,0.06179985288620386,0.04999632379972061,0.033448576327402536,0.03066857493355142,0.024492186460080397,0.024291129183261387,0.019628823730769136,0.014356020331713796,0.013828405358167034,0.01133710774185637,0.008651870366142346,0.00894801204998956,0.007439483648528008,0.005817627941538128,0.005492317620728006,0.008634135472370767,0.003109399998869309,0.00753316685964594,0.0037091988130563795,0.006002795587659395,0.006491527145873081,0.0036828343092844256,0.003988194942968812,0.0028184098531608467,0.002273192243868064,0.00444792370921254,0.004097340195852861,0.002956131015726617,0.004016817074150443,0.0026955994339241188,0.004131605404139868,0.004771187480404051,0.003170119161256917,0.004330347799100731,0.0034406826314340765,0.0069169518213961665,0.004262193068821632,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027578599007170437,0.0,0.0,0.028815675727595812,0.0,0.03378704508157158,0.0,0.03139498377925838,0.017260425296879316,0.031220730565095226,0.033581838941500436,0.028510786580923115,0.03031313468125739,0.06260434056761269,0.10962065483917495,0.07586613841355475,0.1378341125915516,0.10263890014315426,0.13837262935127656,0.24855012427506215,0.1676270298585647,0.24953052247060942,0.24536963748614848,0.22737731099261022,0.27599157798896035,0.37243947858473,0.37673651989639745,0.37780478990768424,0.4659982002828127,0.4885288479376662,0.5343197698314838,0.4702146499343532,0.37144961414070254,0.45979947633948526,0.3488187727921357,0.34806058135524126,0.2776149788704155,0.24889461509179817,0.1978381168105055,0.20797781569965873,0.12135615503248805,0.13538342520065758,0.12388446626442451,0.10768208582491352,0.05327403701387442,0.07587427861954797,0.06437521554201632,0.04284898114644829,0.03386468638881498,0.034133853468243325,0.0268331951017222,0.02700579397034273,0.024504999019800036,0.027643052798230847,0.012732365673542143,0.015343698854337152,0.0,0.012632323589601072,0.019507912897168914,0.0,0.0,0.011368028556487733,0.011190188442773377,0.01341291663872309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020580366330520683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025798462411640265,0.0,0.0,0.03790750568612585,0.04889709877213952,0.04775042444821732,0.0,0.04042037186742118,0.051874557887290736,0.04488513485942792,0.05435651478816946,0.07262383877507793,0.0516778061048715,0.03491010647582475,0.03948333239325399,0.08402077604644058,0.04707315722434513,0.03150327920497179,0.05686664771111743,0.0635105453968086,0.09066627459629004,0.11651408869337772,0.1656154997958165,0.17517353127942367,0.20615900012884938,0.2029579615786512,0.23549648803063503,0.3616636528028933,0.3258779475761563,0.384803322746152,0.39588613560671115,0.4128137384412154,0.6592271130398843,0.7758153646115505,0.7474215093825254,0.7246376811594203,0.7818779685787359,0.7307896387053205,0.7607756551790343,0.6487889273356401,0.6176112792039677,0.5188458191069157,0.532150776053215,0.4841687275767181,0.37268403492581814,0.32020047333983015,0.23715415019762848,0.18735209045490403,0.18477098123115823,0.1452662161308659,0.1333126647031468,0.10626669905270827,0.10016792858615914,0.06829434864264983,0.047572408003358053,0.04539264639128461,0.03399314907303297,0.012887262230011857,0.017917018608103612,0.015982951518380393,0.0,0.014181580962645716,0.0,0.017999640007199856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.06888001102080177,0.0,0.0986558145270687,0.1579778830963665,0.16097875080489374,0.20036064916850332,0.2165841584158416,0.3501544799176107,0.34573074908328966,0.297833008113382,0.4865390853065196,0.29809432556158844,0.5885558583106267,0.9005806375162934,0.9231536926147704,0.8067614291202458,0.9162472577106723,1.0941475826972011,1.224739742804654,0.9947643979057591,0.9505129752564876,0.8158508158508158,0.7134561141529783,0.5902192242833052,0.41457937467610984,0.5586592178770949,0.2881383063870658,0.43956043956043955,0.3118966285459676,0.3726893261776983,0.2799469574185944,0.18001800180018002,0.23477622890682318,0.10076291924571758,0.128077415682368,0.0,0.06442468754026544,0.08479709267110841,0.0,0.060960741282614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024839430822185163,0.0196347928529354,0.0,0.0,0.0,0.03466524924314206,0.025644313373509427,0.026650929927090672,0.027034333603676672,0.017103112766523508,0.023572503581207275,0.02163133548537389,0.04370492929166797,0.0648433672440128,0.07339948348511621,0.09823182711198428,0.10233222275107091,0.09766282750724052,0.10231515243869255,0.19304612008945526,0.15090127335869025,0.1707791670116751,0.18984938615365143,0.17124937119371514,0.2760029556222019,0.34231077176574337,0.35149384885764495,0.3634288832934347,0.4226935105551212,0.37940756726652514,0.5031487726880804,0.4446347407944141,0.46946141687702,0.4081682236178768,0.36781389572237216,0.4222663312135732,0.3427691122665126,0.25047345592278086,0.20683141446385234,0.20117800900830415,0.1915455073408797,0.14536855775008237,0.1254369540956088,0.09547944961005121,0.0826558958365288,0.06916248301450785,0.045453095595036845,0.052244596909885754,0.035184167124793844,0.043883173241016135,0.0280182870576015,0.021284596337630458,0.018936497185016863,0.01909574311818796,0.011226200455035324,0.014444714754895997,0.010027150438109343,0.011566844796076526,0.013874329407411975,0.008543357539513028,0.007613189088777397,0.008427310615346899,0.009266337711677902,0.006802001299938026,0.0037218165442189023,0.0050887255650302774,0.004251881457544964,0.005706907498163089,0.0,0.004830567833248798,0.0,0.007653646962777764,0.0,0.0,0.0,0.0,0.0,0.006969369620517823,0.004521899559566983,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011942131841135526,0.011005078057446507,0.0,0.012179711645326797,0.0,0.008218727740945701,0.014728625082848515,0.006357198255584798,0.016344594339741253,0.011468474438044753,0.007418305906207886,0.01074280530455853,0.01894163608381674,0.034320623262518446,0.039999085735183196,0.03591631498608243,0.04300345159282522,0.05593232189051248,0.06952955595361553,0.06117143294081664,0.07233573266610538,0.08442788049836572,0.12077440548798898,0.13093722220887488,0.15559098858142167,0.16000650873933853,0.17214375414485475,0.1913929466069971,0.22291207964662282,0.251315172665243,0.24644216056654614,0.22595365734792433,0.20804868960377595,0.2155241227369967,0.1583625651329905,0.11246842232757726,0.12271745533084626,0.12889366272824918,0.0933485222454275,0.09331727874774233,0.10451061767289692,0.0647375869440848,0.04640232310985376,0.039644084221654476,0.024059554473661864,0.030555131178733628,0.025530428239341044,0.023754849948531158,0.02030173452944386,0.025115531444645366,0.013026770012375432,0.01587952731940346,0.013469827586206896,0.01489324252968494,0.00675949709341625,0.006780672371472354,0.01321981915287399,0.0,0.010152541942688902,0.0061961707664663235,0.0,0.006251328407286548,0.008628340400354994,0.007367567965814484,0.0,0.0,0.0,0.0,0.007932835327559992,0.0,0.0,0.0,0.009030432557719514,0.0,0.00752683316021617,0.007865345288658171,0.011339337782673492,0.0,0.0,F
