state,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015555728396982188,0.013011007312186108,0.0,0.015767482195884686,0.023715415019762844,0.05253407802693063,0.02870840869290615,0.020151423554135357,0.052645433008686494,0.046618688266658895,0.050503633455851404,0.05350304122550124,0.05766846400046135,0.04280691025837028,0.06531252041016262,0.0504489960649783,0.027969094150963183,0.035114825479317366,0.045134187411033574,0.04221190375685943,0.03225922076060074,0.022395580605427196,0.0,0.040418738126995674,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.11410314924691922,0.1606748343040771,0.0,0.0,0.13827008757105547,0.0,0.0,0.08194034742707308,0.1076591817902184,0.0,0.14692918013517484,0.11349127535820683,0.10922992900054614,0.0646830530401035,0.07293946024799416,0.09607466373867692,0.0,0.0,0.07202535292422932,0.09427609427609428,0.0,0.0,0.0894654439722657,0.0,0.0642535874919683,0.0,0.0,0.0,0.062407364068960136,0.0,0.0,0.029834715675159617,0.029084986330056427,0.03950115681959258,0.038442528420012084,0.025798462411640265,0.028105677346824058,0.0,0.021331968087375742,0.02486325211337643,0.039032006245121,0.033101621979477,0.03628052098828139,0.024553649724648356,0.050008334722453744,0.01665778251599147,0.02321031864451739,0.03396277679663089,0.034877232142857144,0.03741114852225963,0.023690133059580683,0.04730368968779565,0.0,0.03715124270906862,0.030432136335970784,0.053563657058685675,0.05860250267158468,0.05092341118957089,0.06526776098945926,0.08679106719631471,0.059159929008085185,0.04421145708330702,0.05835380835380836,0.08718395815170009,0.04189468722997565,0.05795786715048887,0.04481960110555016,0.059050759048298596,0.05226646393613989,0.06440723137742638,0.0502008032128514,0.05652082897215825,0.07762389181680761,0.09478672985781991,0.11930089674507387,0.129764801297648,0.16024998998437562,0.1934866290555816,0.21752145280383156,0.17763742228362775,0.2483348092249644,0.22022176718309314,0.19277752328599784,0.2184173993521518,0.23237523237523236,0.2887234428908662,0.24692235269038776,0.2536924413553432,0.2805145046524357,0.2773388913167715,0.2668403246557283,0.21808313005831706,0.2318010601489663,0.2526150334013211,0.19471264829275148,0.17154785771862016,0.14694925076579188,0.1698861133832505,0.11681755600984604,0.12668556214034185,0.0997406742469579,0.1442523707049448,0.09869719699960522,0.10629196588287143,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038892009852642496,0.02179884030169595,0.03500021875136719,0.04439708755105665,0.05200658750108347,0.08037149490980533,0.058421714902031276,0.06288743149761927,0.035839082519487496,0.06764374295377677,0.06202374623427254,0.08993614533681087,0.032897828743302944,0.10333628579864186,0.11559478772593526,0.0848356309650053,0.03849961500384996,0.039259674705552444,0.05544774050457444,0.051209103840682786,0.02970708811122334,0.03774771940861906,0.04595588235294117,0.04139643990616807,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013303685120778454,0.00913943116180449,0.01988236268743269,0.015136837006539113,0.0106928999144568,0.02158828064764842,0.021184196589344347,0.04238891832563772,0.0202020202020202,0.03558929948395516,0.01852652380658309,0.02369518513837988,0.014718628877949858,0.01564308731971342,0.009149130832570906,0.017473607571896612,0.01172882946281961,0.009527325560623563,0.013944732377344459,0.0,0.014181312811397995,0.0,0.0054348933741856145,0.0032917042469568195,0.008208210736339643,0.010070493454179255,0.007493022123147818,0.009019058695084613,0.008829816897481179,0.013811200883916857,0.013408304498269897,0.011588735748852117,0.010999305905868699,0.006981290142418319,0.014039786595243752,0.011893838991402454,0.01466820519841192,0.02080649955414644,0.017479178737550134,0.020041900097391107,0.022292954187979143,0.027793218454697052,0.027761661457456035,0.03118208748166461,0.044442948048887244,0.04860776021117766,0.044653701613248935,0.06183982413182963,0.06908009491605042,0.07145590561047388,0.0831489758755098,0.10187490576571218,0.13828543137372065,0.1207625291123954,0.12908391271313144,0.157384892624157,0.15244827376979553,0.15354106391008043,0.14350909414685414,0.1531941136720006,0.12655808984997854,0.1330275229357798,0.12450409386342534,0.12999044187927358,0.1318267419962335,0.1295816364309515,0.13417458669435348,0.17358036062205534,0.22357708981144359,0.25997855569462947,0.3132927246719154,0.3042509526641046,0.34030690106826567,0.3984350921148129,0.3955753029665583,0.3680971861191397,0.3056474755935136,0.2896613190730838,0.2846514362601268,0.327553255304605,0.34837936544167997,0.2932794415685019,0.2867561556611762,0.2934935649552819,0.2837315830854955,0.2908598968461994,0.25857561773999227,0.24760108647949802,0.30414871453830855,0.23813277626686638,0.20887448785582305,0.18464856122380216,0.16182121166214486,0.1363196422972586,0.14230312679419937,0.13929285420440685,0.1261583631525828,0.11799506048264048,0.12104628315453432,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01734485031394179,0.023507287259050304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019026478515934676,0.0,0.0,0.017569031653538694,0.022937752673681797,0.0,0.025282532298435013,0.0,0.0,0.01603775746328499,0.0,0.013795323385372359,0.0,0.016663492668063228,0.02418906170629641,0.03169572107765452,0.034151339220373715,0.022095649612098596,0.034306998627720055,0.06282511999597919,0.08658008658008658,0.08439034369885433,0.11104100946372239,0.09347919456304793,0.058523738691506746,0.10941179268843804,0.16793577031907797,0.17279403405861354,0.12309207287050715,0.1788388885163079,0.18039270103378896,0.16445082688655208,0.18320964749536178,0.12404580152671756,0.14714537963507945,0.15178020168759004,0.14395132815470693,0.13682564503518374,0.10233377867477757,0.10954481247657757,0.06348839893801224,0.05492123139181962,0.07637624111391811,0.05937314458923158,0.055681111001932466,0.06351116459419709,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01238441215323646,0.016532341392849762,0.0,0.0,0.0,0.01948605529168189,0.02653031691669481,0.023999232024575212,0.0,0.04366948438815933,0.026779139050679523,0.0,0.020899369535685674,0.01774685880599134,0.034804399276068494,0.024059116686715933,0.029581909019195374,0.025932769295601153,0.015789806101181077,0.01860176716788095,0.021253339810541658,0.02356892437321392,0.022764782880883273,0.0,0.018691089690528958,0.013074288105012682,0.033506881798030824,0.015357444521231669,0.029302077783697388,0.03870289995300362,0.02836316192529143,0.023349483392679934,0.0,0.03351410639205411,0.03224454261116306,0.0,0.026182294223531338,0.01984783327820046,0.03042390642958556,0.041473698762701315,0.05832104017290473,0.03212908753391404,0.036920804873546244,0.030281236988530982,0.03460074583829918,0.049063701038515005,0.07332959496182546,0.0631370073058537,0.02771106595233697,0.04702120656416044,0.04277566539923955,0.02809909614574065,0.0,0.02448100274187231,0.03060599877576005,0.0,0.0,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11524056467876692,0.0,0.0,0.0,0.08874426859931962,0.0,0.15190642564180465,0.10716472749540723,0.0,0.11719403984597354,0.08701705534284719,0.0,0.0,0.0949667616334283,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005442295342483645,0.005274484155449597,0.012402844385645775,0.012420303055394552,0.029532126735012442,0.018195245689332232,0.027165645238405704,0.023207509950219894,0.022871175096901557,0.03224966199873482,0.04031469898358092,0.026686159165535406,0.048022876352007686,0.041718815185648725,0.041284295454009294,0.04008795053389861,0.04657383744536531,0.051835088562145214,0.06033763399447974,0.04520740423972142,0.047822292361584355,0.0547651246744828,0.056037249488023314,0.04361056732502471,0.05165051050995655,0.04193957132404119,0.05709221671182916,0.05370263387008844,0.04625051832477433,0.05070799111841853,0.05204324720542423,0.0536349895167975,0.06560379408609131,0.06385378901289138,0.06627774014755901,0.08152413408149475,0.0965453239133038,0.09199002554433768,0.09024435394298408,0.09793261927344792,0.08016279213171364,0.08621024426235874,0.1050620094251281,0.114151752880608,0.09189118230747252,0.09673957404356304,0.10569958985581682,0.11558676640568775,0.11550944626330484,0.09701742746877251,0.10767018288872325,0.13123042613659236,0.09544061751753931,0.0748356591916048,0.06971400046476,0.07156427579508763,0.0665033546312431,0.06081306231256248,0.04216242653197177,0.05662612816670732,0.056071554538630594,0.048837296667793684,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006030562892740408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006344292040451206,0.011301989150090416,0.018237478017325604,0.01720282126268708,0.018857758620689655,0.03926400303280576,0.04731647965391375,0.03797176528024519,0.037015493628047166,0.05614456572831253,0.05964618391329729,0.07435404919759589,0.1069957823755552,0.09001912906492629,0.1134010452618085,0.1031459515214028,0.10648063154029741,0.12537998415007748,0.08589118064585395,0.10002750756458027,0.11105969458583989,0.07164833312260294,0.06631204140177889,0.0647087371501684,0.07826374883356912,0.053521252397306096,0.05569856538559967,0.050338209847412295,0.05831659431089224,0.0379526282195042,0.032243040877010715,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07252289003716798,0.0,0.05253940455341507,0.04294057025077293,0.04331254331254331,0.061990789939780376,0.04313691657320335,0.12769217672597258,0.0,0.08376612497905847,0.08362602441879914,0.09175077154057887,0.0749126019643749,0.07414730598121602,0.0882825040128411,0.0872185220424992,0.046944683514591974,0.1452266299778338,0.06820248560169748,0.09216589861751152,0.10925287839314228,0.05319148936170213,0.06619385342789598,0.06667936749857116,0.0,0.08569796229289658,0.0,0.0,0.0521593991237221,0.05563591854901524,0.07757092198581561,M
