state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.14062117877231597,0.03265626020508131,0.0728000728000728,0.09053870529651425,0.10500287911120144,0.1395574036626698,0.08086604930220426,0.11553859795254857,0.09277117257879446,0.09576042482806651,0.08130081300813008,0.06590836611034336,0.08512405273538876,0.06568353250275448,0.06710454074059011,0.06572134151198916,0.05732584802720013,0.06174507004206383,0.060480212890349376,0.061856945504031015,0.05730893610053625,0.089666951323655,0.03827404214173482,0.052388020605954766,0.04014693779231989,0.052408788550695425,0.06415297380075327,0.040288465412352446,0.04385090691648395,0.031906832050412795,0.051970049852751526,0.04333816962182736,0.040584415584415584,0.03883809369690104,0.039183617840471564,0.03503363228699551,0.05683039965594568,0.030291347689596296,0.03707506274241387,0.022883949769730256,0.03198418236799255,0.03905458963751555,0.017180408607384713,0.027397655337495854,0.02579424788272215,0.027485642368394403,0.021275086873271398,0.0228581224909639,0.022021581149526535,0.020659632553678153,0.018069295749198175,0.022868991172569405,0.025058731401722788,0.017916184829877682,0.021150936335681627,0.019382576825486327,0.015032790273784692,0.02143706273264085,0.009969692135906844,0.025663804165432832,0.015234032829340749,0.02159106522464522,0.01724360908738199,0.0,0.013806433798149937,0.011988395233414054,0.019490327924767334,0.011503508570113886,0.0,0.013688004745174977,0.0,0.0,0.018709949015388933,0.0,0.0,0.014200847317223259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012249797878335009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014393873967239543,0.0,0.014568340083330905,0.016834544485283803,0.01407974769092138,0.0,0.030576364470264485,0.05551564234863823,0.06390206168230586,0.07691500891514877,0.08076409860242995,0.10415581710238517,0.10201210074574363,0.1362055987669809,0.14183867716770557,0.20993424700942723,0.20613556444767797,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176239952950402,0.25783419278064257,0.18753907063971662,0.1607717041800643,0.12239902080783352,0.334518084883964,0.1984126984126984,0.34457297563376815,0.4421326397919376,0.49532195927352773,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025798462411640265,0.0,0.0,0.0,0.0,0.023419203747072598,0.0,0.03990857308710953,0.0,0.020003333888981498,0.0,0.0,0.0,0.0,0.0,0.0276384885695108,0.023651844843897825,0.0,0.0,0.016906742408872657,0.033477285661678555,0.0,0.027159152634437803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009978048293753742,0.0,0.0,0.0,0.0,0.0,0.0,0.012711094970038134,0.0,0.012163336229365768,0.0,0.0,0.0,0.012923444744196566,0.008522097799594348,0.039295671862427724,0.032117550233855915,0.07027261641485646,0.09520655683417502,0.10277061179974412,0.13141975051107682,0.1374216267285064,0.1817496730722344,0.1300636129306879,0.17025266482431897,0.17110414020169548,M
Arkansas,0.0,0.0,0.03819126183929117,0.047284517697919484,0.0487619873218833,0.06057459328487366,0.03284476741799072,0.05650994575045208,0.06267191253786428,0.07652127624180723,0.05122130806415469,0.05986137366099559,0.04156275976724855,0.047534541767017366,0.0423844267506282,0.05447612130016343,0.05872172085548275,0.03130772361541592,0.03687068445397868,0.05056975254534421,0.06129427705013227,0.044799779447239646,0.038451679056652144,0.03271716015049894,0.04407505351970784,0.04337185166826729,0.03670949441014517,0.025773195876288662,0.027828453047215606,0.028011204481792715,0.023459722588780388,0.0227124322175851,0.029659988675277055,0.029185460334306183,0.039074492729353316,0.03541285486631648,0.027742749054224462,0.018407731247123794,0.016838661566957736,0.014531715469011117,0.019826026616440732,0.012620207476210909,0.01828010341315645,0.029222676797194622,0.029222676797194622,0.0,0.0,0.013748728242637554,0.0,0.020190948686146126,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.019316206297083253,0.0,0.0,0.0,0.0,0.02367517657735864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022151337940811627,0.0,0.0,0.029524653085326247,0.031525851197982346,0.06362672322375398,0.10999890001099988,0.1346045989904655,0.1275298031605212,0.14793741109530584,0.1841839462895847,0.13840830449826988,0.3085609243697479,0.27597626604112047,M
California,0.0,0.0636064878617619,0.0,0.024449877750611245,0.048721071863581,0.027747803298905502,0.026653241330292888,0.025139664804469275,0.03727819474128933,0.029761166637732202,0.03717165042127871,0.019005264458254935,0.023762521020691672,0.021539226244718747,0.019677888108500848,0.01680312843700354,0.020046260601387818,0.015131568992388822,0.015138899402013472,0.0,0.014828874784981317,0.012351015871055394,0.02369518513837988,0.0,0.012514469855770736,0.018298261665141813,0.014561339643247179,0.014335236010112856,0.011909156950779456,0.010458549283008343,0.007398716851106109,0.014181312811397995,0.010683434571594274,0.008152340061278423,0.007241749343305003,0.008208210736339643,0.011130545396724438,0.007493022123147818,0.004746872997412954,0.006041453666697648,0.007365973804755656,0.009083044982698962,0.005194950508106121,0.00758572821094393,0.0029394905862813975,0.006479901505497116,0.005437183538926836,0.0048894017328039744,0.007596023646751874,0.005179015922237076,0.0031315468902173606,0.0040251167283851235,0.004684250301353436,0.0046789317063128145,0.003818214793673218,0.005723713006296084,0.003548011694246544,0.005001214580683881,0.0035745563081982447,0.007944210915345798,0.002709228648738346,0.004138636808283294,0.007334993215131275,0.0038412619826033514,0.00533983972265694,0.004493427341279891,0.004721546778724711,0.0022753473696984407,0.004069763139785264,0.0038408759990642234,0.0029523490857558997,0.002819363387747047,0.0036697247706422016,0.0036175523640704704,0.0017645761341077864,0.0016864828400371026,0.003039228146568159,0.003194633016532226,0.002530325956589728,0.004069390285647261,0.0020188153591472525,0.004307208226314322,0.0055528690980521,0.004325935183071173,0.003976894244439804,0.005387212297209937,0.005817627941538128,0.0052177017396916065,0.0036207664884135475,0.005936127270568681,0.0033480741598426404,0.005991782698014152,0.0062886429965955575,0.0050803255924224125,0.007932258512304917,0.011964584828906437,0.010428116456695133,0.01392330249369189,0.015122940611322635,0.023323321114854748,0.035145113186972,0.04016817074150443,0.05627063818316598,0.07127019322141273,0.07940619163815314,0.08735439466574615,0.0837200574492808,0.09825060403095084,0.1017198797264142,0.11891518662012351,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.06306306306306306,0.0,0.0,0.04100041000410004,0.04317167937832782,0.03120319520718922,0.05300665528005183,0.02970708811122334,0.04844081138359067,0.02954384306310565,0.054948409548812506,0.0,0.06990784874483635,0.0,0.03830683777054204,0.04407505351970784,0.031551713258029905,0.0,0.0,0.0,0.0,0.0,0.0,0.02877532228360958,0.0,0.0,0.0,0.0,0.028815675727595812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013362909907261406,0.0,0.0,0.015830299192654742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014513437023777848,0.0,0.0,0.0,0.0,0.0,0.0,0.012786415711947628,0.0,0.0176852530254415,0.0,0.0,0.013802940026225587,0.011368028556487733,0.0,0.020119374958084635,0.01850181549064502,0.011581044146940288,0.02319109461966605,0.033396946564885496,0.05150088287227781,0.06688619057419222,0.08148188386115487,0.13124092482966604,0.1677136928281077,0.1931448009455447,0.21066605102158606,0.18210724093077033,0.21737853240115151,0.21249335958251303,0.2325505224198356,0.25070196550340956,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013319126265316995,0.013822464268929864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023663038334122102,0.01728070781779222,0.020583896531613435,0.021419391689276025,0.022152482924127748,0.030281236988530982,0.0,0.0,0.03450804468791787,0.0631370073058537,0.0831331978570109,0.06582968918982461,0.057034220532319393,0.1123963845829626,0.1393962699480869,0.127301214257736,0.14282799428688023,0.1637006917674394,0.22058012573067165,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09087604507451835,0.0,0.0,0.0,0.0,0.0,0.0,0.23375409069658717,M
Florida,0.0,0.0,0.0,0.09700366458288424,0.05753267033779896,0.056741612880346126,0.06254343293954136,0.0,0.06727417283346585,0.08300231220726863,0.027777777777777776,0.041891396554432636,0.0,0.04544765944553856,0.0,0.04767201652629906,0.038223643060671345,0.03653501881553469,0.06208866261020738,0.046496489515041615,0.0,0.06640106241699867,0.03139999102857399,0.04425866732235063,0.02307869836141242,0.04795535792135321,0.03039777661976724,0.02090738030524775,0.0,0.05352091138466243,0.0461303715269153,0.016362327377446167,0.01476973975718548,0.02006974235468252,0.023253650823179237,0.018488132929675764,0.027781339487968546,0.024747292075155622,0.019310238288340477,0.015202766903576451,0.012692886543726994,0.013311591067922393,0.01716979365029813,0.007204818582668087,0.013592496941688188,0.01551028849136594,0.008329366968110423,0.011225612357154082,0.01306150882196075,0.012658761973079033,0.011369274020175294,0.010350252546162127,0.012656625743576764,0.007492159989725037,0.009779632285826054,0.0069622529850659675,0.007222476346389965,0.017365202614703364,0.013438232994526973,0.010442410108252986,0.008731432064001397,0.0,0.010615961688173818,0.0,0.0,0.0,0.0,0.0,0.009564458472316871,0.0,0.0,0.0,0.004611652724103264,0.0,0.005112735824939926,0.0,0.004784536378424931,0.0038415144786680703,0.0043980208905992305,0.0,0.0,0.0,0.0,0.0,0.0037420668183451083,0.0,0.0,0.0,0.003853980390947771,0.003883344336142286,0.005329232362144178,0.006128953174797744,0.006177558474451935,0.004534667533292017,0.0037218165442189023,0.0043617647700259525,0.0056691752767266184,0.006420270935433476,0.004517630051275101,0.014491703499746395,0.03097634077323644,0.0280633721968518,0.06282866708552444,0.06134080782436082,0.054717950013048126,0.06914361879373541,0.08263835600266467,0.0810189218385197,0.10129055013430041,0.07701266012998234,M
Georgia,0.07779452521028832,0.06915287725364287,0.06959426543252836,0.07427740997900856,0.09662088055570063,0.11305311235218304,0.06721277042638102,0.07128928773614578,0.0912651633266152,0.08136552578048996,0.09107311624710027,0.07531175563962449,0.06804382720357317,0.06790274817511364,0.08278457196613359,0.09434834890389418,0.0755377092195762,0.07195743149841884,0.05819141094774411,0.07260553012121089,0.07050528789659224,0.05238661320545627,0.06478288207610083,0.06126700159294204,0.05178961905857981,0.04035357417371253,0.05250977265213248,0.0664313100254337,0.0464744483482981,0.06365603913937035,0.06035645814102109,0.03753241435785451,0.04873677425440596,0.036233525069070155,0.03349420702464869,0.03795246453816595,0.03424469892060709,0.03068463558926774,0.029243111975690076,0.032689188679482506,0.035679698251694786,0.024727686354026283,0.039390286116714614,0.021309340594293832,0.016016290855841945,0.02171378939909945,0.0325491604561372,0.029423414247722515,0.018644107296837496,0.022390873951164326,0.01882197936640512,0.015415811879661801,0.016885576099673144,0.024154881097597797,0.01801888379021214,0.01671638720296266,0.01627184834637341,0.009877100647655599,0.01970221509189676,0.0177782640208963,0.014323662690765146,0.009478544637174851,0.017721855478268576,0.0,0.012771799865896102,0.015325409528999082,0.010381700522545593,0.014726094639701552,0.0,0.011075248401999874,0.009030704394942805,0.01211717306352428,0.007527626388847069,0.010477943928031494,0.01174639532493466,0.008491607461292423,0.00833321759420008,0.006718533747195013,0.006598569430147545,0.008882008856631688,0.0,0.0,0.0,0.008081896551724138,0.006769655695311336,0.0,0.008136806845766826,0.010575855322299191,0.0,0.0,0.009913873226346119,0.006220685021834604,0.008751859770201167,0.011093580514742137,0.0,0.007343491830365339,0.009462640313213394,0.013122263709783243,0.01625446997924429,0.02908706286771997,0.019668169876792964,0.04901324799261918,0.06765004338426694,0.06772824418289636,0.0713616698630748,0.08279516476237787,0.0959572125216297,0.11177347242921014,0.13110907930374177,0.1450936839465482,M
