state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.3790657862558082,0.37228136633792697,0.313950313950314,0.36627021688135314,0.23710327541239035,0.2420893737005497,0.35215860179992176,0.2982507993658812,0.28807890432362493,0.24157743536171325,0.2524604193410355,0.22111193791857128,0.2678293366552476,0.226714128315959,0.22978221526323278,0.16928224328845695,0.18779157112358663,0.18909427700382048,0.15724855351490838,0.12577578919152974,0.16169306971222727,0.12809564474807858,0.14705289875508643,0.11350737797956867,0.1063893851496477,0.11086474501108648,0.09933363685277928,0.08057693082470489,0.10165437512457644,0.09173214214493679,0.08469193309337286,0.10740328993235476,0.07947781385281386,0.08414920300995225,0.07155269344781764,0.05430213004484306,0.03993487543390778,0.053698298177011626,0.05703855806525211,0.06579135558797448,0.05669923237962317,0.05351925246622501,0.04438272223574384,0.0490273832355189,0.04012438559534557,0.04339838268693853,0.02978512162257996,0.032858551080760606,0.03670263524921089,0.02508669667232347,0.018069295749198175,0.022868991172569405,0.026624902114330464,0.024431161131651384,0.01789694613019215,0.008810262193402875,0.018790987842230867,0.017539414963069787,0.0,0.0,0.0,0.0,0.0,0.01357926898268643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1185682326621924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08574858514834506,0.13091147111765666,0.08950948800572861,0.11109053878911312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.21606049693914295,0.0,0.11410314924691922,0.12050612572805784,0.12237762237762238,0.0,0.09218005838070364,0.1465798045602606,0.10369858278603526,0.13110455588331696,0.23069824669332512,0.08806693086745927,0.08815750808110491,0.08511845651865513,0.06826870562534135,0.14230271668822767,0.07293946024799416,0.0,0.08397480755773268,0.15384615384615385,0.08643042350907519,0.10774410774410774,0.09095634095634096,0.07009345794392523,0.0782822634757325,0.0,0.07496251874062969,0.06172204505709289,0.07985803016858918,0.046583850931677016,0.0,0.0,0.06995452955578874,0.0,0.05235297539410157,0.03385813441679363,0.04393431819429952,0.03611784737629637,0.0,0.031236055332440872,0.0,0.029007127465605836,0.023419203747072598,0.04045753797491633,0.018140260494140695,0.017538321231891682,0.01666944490748458,0.01665778251599147,0.01657879903179814,0.016981388398315447,0.020926339285714284,0.0,0.0,0.023651844843897825,0.0,0.0,0.02366943937242172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018427518427518427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009658849437854963,0.0,0.00925497454881999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012962434863764812,F
Arkansas,0.3039183762075328,0.2339311574022502,0.18331805682859761,0.24993245068900297,0.20046594787885355,0.19903080650744204,0.18885741265344666,0.2335744424352019,0.17757041885728214,0.14971554047310112,0.19207990524058008,0.23944549464398235,0.1566596329688599,0.1774622892635315,0.1483454936271987,0.16040191271714788,0.09580912350105081,0.14088475626937164,0.11061205336193604,0.12473872294518239,0.10323246661074909,0.14129161210283273,0.08651627787746731,0.10796662849664648,0.1038911975821685,0.08984169274141082,0.11012848323043552,0.08698453608247424,0.08657740948022634,0.0778089013383131,0.07331163308993871,0.08517162081594412,0.07280179038477094,0.0716370390023879,0.08373105584861425,0.061972496016053834,0.05296343001261034,0.06902899217671422,0.06735464626783094,0.05328295671970743,0.049565066541101835,0.050480829904843635,0.0652860836184159,0.050475532649699804,0.037192497741884066,0.099626400996264,0.030202355783751134,0.024747710836747604,0.022808267997148964,0.04038189737229225,0.0232740814010997,0.026200110622689295,0.0,0.035188551991085566,0.023769201057729446,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023884399506389077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03449703325514006,F
California,0.102880658436214,0.0848086504823492,0.08393285371702637,0.04889975550122249,0.12586276898091758,0.09249267766301834,0.0829211952498001,0.10614525139664806,0.11680501018937323,0.10912427767168474,0.0784734842226995,0.07222000494136875,0.07677122175915771,0.06130395161958413,0.07114313393073383,0.07943297079310765,0.058596761757902856,0.055986805271838636,0.0575278177276512,0.046620046620046623,0.03558929948395516,0.044772432532575804,0.036332617212182484,0.026166451338577524,0.045364953227168915,0.030497102775236352,0.02766654532216964,0.04170250475669195,0.02381831390155891,0.029051525786134288,0.0274809483041084,0.02363552135232999,0.019077561734989774,0.008152340061278423,0.015800180385392732,0.009471012388084203,0.013780675253087401,0.013112788715508682,0.012816557093014977,0.011618180128264708,0.014731947609511312,0.007352941176470587,0.005594562085652746,0.008344301032038324,0.007716162788988668,0.008639868673996154,0.0074761273660244,0.009452843350087684,0.007926285544436739,0.0067974583979361625,0.006889403158478193,0.006502111638160584,0.007494800482165497,0.009981720973467337,0.006045506756649262,0.004376957004814653,0.005322017541369816,0.0021433776774359486,0.005004378831477543,0.004144805694963024,0.005757110878568986,0.006396075067346909,0.008557492084319822,0.00640210330433892,0.004929082820914098,0.006535894314588933,0.007082320168087065,0.006067592985862509,0.0055496770087980875,0.0024441938175863236,0.009841163619186332,0.005951989374132654,0.005198776758409786,0.002713164273052852,0.005293728402323359,0.006464850886808894,0.005802162825266485,0.0029284135984878733,0.0032894237435666467,0.0038300143864915394,0.004486256353660561,0.0056673792451504236,0.005090130006547758,0.0036049459858926445,0.0029826706833298534,0.0025653391891475893,0.003702126871887899,0.0052177017396916065,0.0025066844919786097,0.005370781816228807,0.006975154499672168,0.006562428669253596,0.004573558542978588,0.004515844971042144,0.005665898937360654,0.004842808145033558,0.004509455765057354,0.005967129640153668,0.006227093192897556,0.0050428802410496755,0.007554557040190243,0.0070294298797632755,0.009097648089493902,0.012739116662764595,0.010223973172294397,0.008453651096685113,0.01190845644752701,0.016056518946692355,0.017902698831848904,0.016622552968404362,F
Colorado,0.22837567799029404,0.1991465149359886,0.2097535395909806,0.1673258290234256,0.1106874923133686,0.18018018018018017,0.15538109257441937,0.09919877909194963,0.13666803334700012,0.13671031803137143,0.14353469795307042,0.14724070911125509,0.08912126433367001,0.12110202845897669,0.1181753722524226,0.06105378838756945,0.16206404771165567,0.07626310772163965,0.14882797966017614,0.11492051331162612,0.08185367082231457,0.07572411181927179,0.11181268087345436,0.10254306808859721,0.052410901467505246,0.07696254489481785,0.07053995126330641,0.05374738727978501,0.12085635359116022,0.05742506029631331,0.05515719801434087,0.038476337052712584,0.035317860746720484,0.0768418019402555,0.024085938629028372,0.043440486533449174,0.02741120726788581,0.017441657655143543,0.02416459541563104,0.0,0.016790919470750218,0.019007191053948744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018708073870165966,0.0,0.0,0.0,0.013534363749560132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011177430532269243,0.0,0.0,0.0,0.0,0.012262114969589956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.13651877133105803,0.1349730053989202,0.12603005332040718,0.0,0.06407642570047184,0.043699927166788055,0.021649707728945658,0.0511549207098729,0.06901575859821325,0.05806719203649938,0.03635041802980734,0.04754546535124213,0.07662509046017624,0.06825356198276597,0.06174109899156205,0.0301737143842407,0.06138735420503376,0.07467931822175365,0.0,0.0,0.04563292872136534,0.039337168707282294,0.0,0.0,0.02730300879156883,0.0,0.04346408779745735,0.0,0.0,0.0,0.0,0.0,0.01598721023181455,0.0,0.0,0.0,0.016921428168537422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023415913454783874,0.0,0.0,0.0,0.0,0.0,F
Florida,0.2513826043237808,0.2147074610842727,0.21894445724821385,0.16167277430480706,0.1561601052025972,0.14185403220086532,0.1598332175121612,0.12780842190232747,0.11008501009112592,0.09485978537973558,0.15,0.13614703880190604,0.1327885597548519,0.1110942786446498,0.17427830905353472,0.12315270935960591,0.10424629925637639,0.12056556209126448,0.0827848834802765,0.10229227693309155,0.10995052226498077,0.10434452665528363,0.08074283407347597,0.06884681583476765,0.12000923147934457,0.06975324788560468,0.03474031613687685,0.09199247334309012,0.0908229347654399,0.08792721156051686,0.06387282211419042,0.05890437855880621,0.044309219271556434,0.045156920298035676,0.037205841317086784,0.02542118277830418,0.03846647006026414,0.022843654223220575,0.019310238288340477,0.028505187944205843,0.032638851112440845,0.01996738660188359,0.0202915743139887,0.02017349203147065,0.019029495718363463,0.02843552890083756,0.023798191337458353,0.017960979771446534,0.01741534509594767,0.01687834929743871,0.00930213328923433,0.016560404073859402,0.012656625743576764,0.012843702839528636,0.009779632285826054,0.005801877487554973,0.0,0.0,0.009773260359655981,0.005801338949029436,0.007640003056001223,0.008782908460136574,0.0,0.0,0.00597100480068786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004260613187449937,0.00406838135379458,0.0,0.0,0.0,0.0034827915270647727,0.0,0.0,0.0,0.0,0.0,0.0038012407249726314,0.0,0.003855614932025509,0.003853980390947771,0.004660013203370743,0.0,0.0038305957342485903,0.0,0.004534667533292017,0.004466179853062683,0.005815686360034603,0.0035432345479541366,0.0035668171863519303,0.0,0.0,0.0,0.005102431308518509,0.0,0.006815645313817869,0.006734516924682846,0.004998333888703766,0.0059027397144760475,0.005227027215388368,0.009948179031047362,0.015026860513167286,F
Georgia,0.24797004910779405,0.16300321066930107,0.10439139814879254,0.14209591474245115,0.14623700840862797,0.1288805480814887,0.14492753623188406,0.15935252552785523,0.11408145415826901,0.11320420978155127,0.1185668871896211,0.1243519686142637,0.10293809756437994,0.10185412226267046,0.08654750705550329,0.1054481546572935,0.09144038484475013,0.0927872143005927,0.06982969313729294,0.07260553012121089,0.11163337250293771,0.07052044085349883,0.04572909323018882,0.07352040191153045,0.07672536156826638,0.06725595695618755,0.07195783659736672,0.07592149717192423,0.05762831595188965,0.06547478311478093,0.03905417879713129,0.06482871570902143,0.03773169619695945,0.03925298549149267,0.045673918669975486,0.04111516991634644,0.03698427483425566,0.023320323047843483,0.027971672324573114,0.023888253265775677,0.02548549875121056,0.021018533400922343,0.02745383577831624,0.01894163608381674,0.02860051938543204,0.020570958378094216,0.03030439076950705,0.02037005601765405,0.015148337178680462,0.014141604600735363,0.0235274742080064,0.01660164356271271,0.0132672383640289,0.007246464329279338,0.0060062945967373806,0.007715255632136611,0.0,0.0,0.0,0.0,0.013021511537059221,0.0,0.0,0.007763010806111042,0.0,0.0,0.0,0.008181163688723084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007435404919759588,0.0,0.0,0.0,0.0,0.0,0.005914150195758371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012042933056345873,0.0,0.0,0.00862559732261459,0.0,F
Hawaii,1.107011070110701,0.0,0.0,0.4243281471004243,0.33277870216306155,0.33308660251665434,0.3669112741827885,0.3910950661853189,0.3250591016548463,0.29664787896766537,0.17523364485981308,0.25994281258123214,0.41092579163645154,0.2079002079002079,0.2720234358652438,0.3325020781379884,0.35416666666666663,0.36943418238382264,0.14144271570014144,0.22054769343870612,0.27652955409609403,0.21287919105907396,0.20191822311963653,0.14257708073427197,0.0,0.10504201680672269,0.0,0.0,0.0,0.0,0.12031884493908858,0.0,0.09243364584708834,0.0,0.0,0.054543471146503764,0.0,0.045854732208363905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
