state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.3301540719002201,0.32656260205081317,0.22750022750022753,0.36627021688135314,0.2980726890898621,0.24493748397937967,0.2478153123777227,0.19883386624392077,0.2368106247406069,0.22199007573779056,0.22036799315361572,0.2296162432231317,0.28443890792068927,0.20552589202474783,0.16674461638570875,0.20513024774954197,0.17593105084209695,0.17172847605449001,0.19152067415277302,0.13196148374193284,0.12894510622620656,0.1345004269854825,0.12086539623705733,0.1113245437876539,0.08230122247425577,0.1128804676476517,0.09933363685277928,0.08460577736594013,0.09168825991628464,0.08574961113548439,0.040421149885473406,0.06594938855495468,0.07102272727272728,0.0631119022574642,0.06303451565641079,0.05255044843049327,0.05068657266611372,0.03579886545134108,0.027093315080994752,0.04433765267885237,0.03634566178180972,0.030375791940289873,0.02290721147651295,0.04614341951578249,0.031526302967771515,0.026039029612163124,0.01702006949861712,0.017143591868222924,0.01761726491962123,0.014756880395484393,0.012046197166132117,0.018295192938055524,0.023492560689115115,0.013029952603547406,0.016269951027447407,0.0,0.013153691489561605,0.013641767193498723,0.01595150741745095,0.009870693909781857,0.019042541036675936,0.0,0.010777255679613743,0.011316057485572028,0.0,0.0,0.0,0.0,0.0,0.015969338869370808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01735930285039753,0.017588293232024765,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,1.8115942028985508,0.0,0.0,2.0737327188940093,0.0,0.0,1.7817371937639197,0.0,1.5384615384615385,1.7114914425427872,2.2883295194508007,1.070663811563169,1.3089005235602094,0.9823182711198428,0.0,0.0,0.0,0.992063492063492,0.0,0.0,0.859106529209622,1.0869565217391304,0.0,0.75,0.77007700770077,0.7092198581560284,0.0,0.0,0.0,0.3933910306845004,0.3546099290780142,0.0,0.2145922746781116,0.0,0.0,0.14433485686793363,0.0,0.0,0.0,0.10289830217801406,0.11454753722794961,0.12531328320802004,0.09257544899092761,0.10443864229765012,0.0,0.0,0.13644891693672181,0.0,0.0,0.1016880211511084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,1.2275731822474032,0.0,0.5321722302854378,0.4321209938782859,0.436442989634479,0.3651300775901415,0.26109660574412535,0.26223776223776224,0.2608242044861763,0.35335689045936397,0.3745928338762215,0.24196335983408226,0.32776138970829233,0.23069824669332512,0.2495229707911346,0.16162209814869233,0.29791459781529295,0.12288367012561442,0.18111254851228978,0.17019207391198637,0.10979961570134504,0.12596221133659902,0.13846153846153844,0.0,0.13468013468013468,0.18191268191268192,0.08177570093457945,0.12301498546186534,0.10168342560162692,0.139216106232598,0.09258306758563935,0.044365572315882874,0.062111801242236024,0.05460644356034012,0.08962763790434287,0.04896817068905211,0.03580165881019154,0.03490198359606771,0.05643022402798939,0.027458948871437204,0.04643723234095248,0.056211354693648116,0.0,0.0,0.0,0.023419203747072598,0.02942366398175733,0.02539636469179697,0.0,0.01666944490748458,0.019989339019189766,0.01989455883815776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020028707814534166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.48844024747639203,0.38988526233708365,0.229147571035747,0.30397189948662523,0.3088259197052609,0.2682589131187262,0.3202364823254095,0.2561784207353828,0.2680965147453083,0.31939315300928234,0.23689854979671543,0.24574669187145556,0.27495364153718266,0.26619343389529726,0.1665102479488965,0.19066642455057198,0.18852763011497095,0.17219247988478759,0.18100154186498624,0.1584518913087452,0.17743080198722497,0.12061479081949135,0.13778518328633685,0.11451006052674627,0.17944843218738193,0.10223365036091576,0.11346570999499417,0.07731958762886598,0.08657740948022634,0.09959539371304077,0.090906425031524,0.09936689095193481,0.07819451559845769,0.09286282833642875,0.07535795026375283,0.061972496016053834,0.058007566204287514,0.0529222273354809,0.0577325539438551,0.04601709898520187,0.07186934648459765,0.03786062242863273,0.05745175358420599,0.026566069815631473,0.045162318686573506,0.035976200359762005,0.021965349660909916,0.024747710836747604,0.017106200997861726,0.017306527445268106,0.0232740814010997,0.0,0.017353077279037482,0.023459034660723712,0.0,0.020281233098972416,0.0,0.0,0.027042688815916555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,1.0631001371742113,0.996501643167603,0.8453237410071942,0.7286063569682152,0.7673568818514007,0.7029443502389394,0.6396777919270293,0.659217877094972,0.5865102639296188,0.6373849854914313,0.5059474640674045,0.48083319079384984,0.5447100972435476,0.4523237511390937,0.43442722208767254,0.3574483685689845,0.29606784888203547,0.30868400744473196,0.2694724093558398,0.27195027195027194,0.2535737588231805,0.20379176187241402,0.21167698723619358,0.2093316107086202,0.14391640334136344,0.1387618176273254,0.13250819075354933,0.09643704224985013,0.11909156950779454,0.11271992005020104,0.07715804716153513,0.06996114320289677,0.07783645187875828,0.059783827116041764,0.04674220030678683,0.04861786359216558,0.03975194784544443,0.03044040237528801,0.03892435857878622,0.03810763082070825,0.030845015307414313,0.02854671280276817,0.025575140962983977,0.022377898222284594,0.020943870427254957,0.020159693572657695,0.01733102253032929,0.015320125429452451,0.014861785395818883,0.015860736261851045,0.016284043829130276,0.01579084254981856,0.012179050783518932,0.011229436095150756,0.014636490042414001,0.0063970910070368,0.012772842099287559,0.011788577225897719,0.007864023878036138,0.01001661376282731,0.009820953851676504,0.0105347118756302,0.010187490576571217,0.01024336528694227,0.007393624231371148,0.005310414130603508,0.007082320168087065,0.009859838602026575,0.0055496770087980875,0.0031425349083252733,0.004920581809593166,0.005951989374132654,0.003975535168195718,0.00482340315209396,0.0055878244246746565,0.005340528993450825,0.003591815082307824,0.005324388360887043,0.004807619317520483,0.002633134890712933,0.0026917538121963365,0.004080513056508305,0.0030078040947782206,0.003845275718285488,0.0032312265736073415,0.0035914748648066246,0.004759877406713014,0.0021969270482912026,0.0030637254901960784,0.0025440545445294346,0.003069067979855754,0.0031385528418169367,0.0014292370446808084,0.0025401627962112062,0.0033995393624163925,0.0025638396061942363,0.0036639328091091004,0.0,0.0020756977309658517,0.0031518001506560473,0.003941508020968822,0.0,0.0037064492216456637,0.004820206304829847,0.011587169595266981,0.01197600572030391,0.012991043397302194,0.013762730525736306,0.018309578350754557,0.01917986880969734,F
Colorado,1.0276905509563232,0.8819345661450925,0.8040552350987589,0.7149376331000912,0.6887221743942935,0.6576576576576576,0.7360157016683023,0.5570392979778711,0.5056717233839005,0.6115987911929773,0.5429355966050924,0.5182872960716179,0.4099578159348821,0.4178019981834696,0.39588749704561566,0.39074424568044447,0.31116297160637885,0.3050524308865586,0.2728512960436562,0.27453233735555127,0.22667170381564036,0.25872404871584526,0.2499342278347803,0.2529395679518731,0.19654088050314467,0.17316572601334018,0.19238168526356292,0.17915795759928338,0.1496316758747698,0.17227518088893992,0.13789299503585217,0.1099323915791788,0.11099899091826437,0.0768418019402555,0.09152656679030782,0.10618785597065353,0.05873830128832674,0.06278996755851676,0.05178127589063795,0.031220730565095226,0.033581838941500436,0.028510786580923115,0.03334444814938312,0.041736227045075125,0.03173229482186644,0.028098569782798056,0.01891840761060512,0.018907165815844205,0.01899232167566541,0.02672581981452281,0.0,0.025724796130990664,0.0,0.0,0.0,0.031562667676672033,0.01681859463823203,0.0,0.0,0.0,0.0,0.021373393178834233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017625286410904176,0.02187431642761164,0.029478235236317183,0.02005615724027276,F
Connecticut,1.3196814562002275,1.0797840431913617,1.0082404265632574,0.8927846765684604,0.8912448301974719,0.9419762078174314,0.8573284260662482,0.8617636642663203,0.7821785974464168,0.8875985068436334,0.8441374853588594,0.7726138119576845,0.7875356519518113,0.7891818104257317,0.7655896274953694,0.7543428596060174,0.6664912742260809,0.7424002811456687,0.6750155431210587,0.6507291858962525,0.46545587295792645,0.36386881054236125,0.38181724369227593,0.35240350200980125,0.3986239283569049,0.35199826708545434,0.28794958165815493,0.2652801358234295,0.20204061016264271,0.16168148746968472,0.18391888705493986,0.14281633818908884,0.1374900079936051,0.10893575816261689,0.07579411562047819,0.08378425554197941,0.07614642675841841,0.05601385069762705,0.04430414797585424,0.04868688604404731,0.0398066533977822,0.05027918177247347,0.03430615795535299,0.04280109380573059,0.022687054766550207,0.02846569883290635,0.019327406262079627,0.022104332449160033,0.024573546577109744,0.022350001015909136,0.024289039570893636,0.024431956999755682,0.025135627657568965,0.014448480845442537,0.022731969415168425,0.021670820240546104,0.022717979008587397,0.02145308924485126,0.014614541468761417,0.0168829289469876,0.011999616012287606,0.0,0.0,0.02343174666934458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,1.0144927536231882,1.7587939698492463,0.8856088560885609,0.922874093605801,1.02890739833415,0.8884150675195452,1.2308715901530274,0.9102322661644695,1.0922992900054616,0.769865273577124,1.051779935275081,0.7449856733524355,0.813953488372093,0.7432641684732115,0.9259259259259258,0.705408128988915,0.9103169251517196,0.6375838926174496,1.0444743935309972,0.7678883071553229,0.7115135834411385,0.5197505197505198,0.7511095937179925,0.44659471529586897,0.21536252692031585,0.3505082369435682,0.29314767314034446,0.22786458333333334,0.2201950298836112,0.18808777429467086,0.26331187829139846,0.1797175866495507,0.16091954022988506,0.1848808545603944,0.17178441056474125,0.0,0.2146690518783542,0.15634771732332708,0.10133423408208073,0.1310615989515072,0.0,0.07377895824110964,0.12398401983744317,0.0,0.0,0.056420672534416606,0.0,0.0,0.05156765676567656,0.06179196704428424,0.05238344683080147,0.0,0.0,0.053231129564569366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.4357298474945534,0.6799069601001968,0.6337865867711454,0.43112739814615225,0.4273855510807923,0.3971912901624229,0.36831132731063243,0.39687878380196423,0.40364503700079507,0.35572419517400844,0.4,0.43462323925223856,0.33707865168539325,0.33328283593394936,0.38430601483599963,0.2542507548069283,0.3023142678434915,0.2593986335902963,0.2649116271368848,0.23248244757520806,0.16492578339747113,0.199203187250996,0.21979993720001792,0.22129333661175316,0.1938610662358643,0.10898944982125731,0.12159110647906896,0.19234789880827932,0.11451587426946769,0.12997935621989448,0.11710017387601575,0.13089861901956934,0.11225002215460964,0.07777025162439477,0.10929215886894242,0.06933049848628411,0.05128862674701885,0.06091641126192153,0.04634457189201715,0.04750864657367641,0.04714500716241455,0.03993477320376718,0.0405831486279774,0.043228911496008535,0.033981242354220474,0.03877572122841485,0.023798191337458353,0.02469634718573898,0.030476853917908414,0.027427317608337907,0.014469985116586736,0.017595429328475617,0.01687550099143568,0.025687405679057272,0.01738601295257965,0.012764130472620941,0.018056190865974917,0.014884459384031457,0.02076817826426896,0.011602677898058873,0.01637143512000262,0.015370089805239004,0.0058977564934299,0.017007009317411535,0.009553607681100576,0.006321352263676246,0.010270235573528467,0.00855275215346081,0.0,0.005588278028008449,0.011207449897604662,0.00775298974667106,0.007378644358565222,0.004461656523834169,0.005964858462429913,0.0073230864368302425,0.005581959108162419,0.004609817374401684,0.005131024372365769,0.0034827915270647727,0.003416864275317256,0.0035474327229384093,0.0,0.0,0.00449048018201413,0.0,0.004627915586819697,0.0,0.0,0.0,0.0,0.0,0.0,0.003778889611076681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042597783211361685,0.00589270230909749,0.0041652782405864714,0.0059027397144760475,0.00871171202564728,0.005426279471480379,0.007513430256583643,F
Georgia,0.31117810084115327,0.4247962459866634,0.22966107592734358,0.2938801873082513,0.27419439076617746,0.2826327808804576,0.2142407057340895,0.26838320088901935,0.2756968475491501,0.22640841956310254,0.25947246327004037,0.23469244780720191,0.20936562216484056,0.2187977441198106,0.19002822201317027,0.14984737767089076,0.1948077764083807,0.1685318790357704,0.1512976684641347,0.16134562249157977,0.18605562083822955,0.11484757510426952,0.13147114303679286,0.14499857043662948,0.11125177427398626,0.08455034588777863,0.0855714813590307,0.08351364688911665,0.10596174223411968,0.08002473491806558,0.06390683803166938,0.09041899822574041,0.07703554640212555,0.0800157011941966,0.056331166359636434,0.06799816563088065,0.06848939784121418,0.05891450033139406,0.06992918081143279,0.04023284760551693,0.0318568734390132,0.03090960794253286,0.03700299604903494,0.039067124422872024,0.03203258171168389,0.029713606546136088,0.0325491604561372,0.022633395575171165,0.02796616094525624,0.029461676251532006,0.01882197936640512,0.018973306928814524,0.019297801256769307,0.025362625152477686,0.0072075535160848565,0.011572883448204918,0.025763759881757903,0.01269912940412863,0.012665709701933632,0.010940470166705414,0.011719360383353299,0.012186700247796238,0.011814570318845717,0.007763010806111042,0.0,0.0,0.0,0.0,0.008262414277451871,0.0,0.0,0.007573233164702675,0.0,0.008981094795455566,0.007341497078084163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010535504650672768,0.007433507277403624,0.00752683316021617,0.012584552461853074,0.012959243180198277,0.00862559732261459,0.0,F
