state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.058781268369146364,0.0364000364000364,0.03703856125766492,0.05419503437997493,0.0740508672495799,0.0756488848310943,0.05373888276862723,0.058592319523449135,0.07617306520414381,0.06204535729567821,0.11480812161156585,0.10173362400083048,0.11017882871429782,0.10167354657665169,0.09360312275949972,0.09093065549142089,0.12734920696175664,0.1068483761062839,0.11959009464112662,0.09415039502230955,0.13023057216054654,0.12086539623705733,0.1593468960097791,0.1806612200654395,0.15722636565208628,0.18211166756342867,0.14100962894323354,0.1754036276659358,0.1635225142583656,0.1578349662194676,0.15827853253189125,0.16571969696969696,0.16506189821182946,0.18228900473610685,0.1594030269058296,0.15820354498817313,0.16660241229277964,0.17254163814738763,0.12014073629108384,0.1468364735985113,0.14898602713570747,0.13457986742451358,0.12545242180853364,0.1232391843285614,0.14610788837935973,0.13332387773916743,0.12571967370030143,0.10863980033766424,0.1195307312034236,0.07980605622562527,0.08842676586726837,0.06421299921691465,0.0635210189422936,0.06833379431527911,0.05286157316041725,0.06388935866358494,0.06236236431313702,0.06181209124262243,0.03158622051130194,0.04189359028068705,0.05692189922861013,0.04526447385437772,0.05431707593074572,0.032215012195683186,0.04795358093365622,0.026799200896555082,0.04831473599447832,0.014357158239812401,0.036501345987133275,0.02687991398427525,0.025273993061140084,0.018709949015388933,0.011825083366837736,0.021421430951587567,0.030768502520650397,0.0168642189457454,0.0,0.021341174238831452,0.018218669581653798,0.011452917057974667,0.021226915729144556,0.012125621438098703,0.014699757454002009,0.02018774603815484,0.01802358514856584,0.0,0.0,0.01819410510994438,0.0,0.0,0.0,0.014354204346453075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08652015919709292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08815750808110491,0.0,0.0,0.07761966364812418,0.0,0.0,0.0,0.07692307692307693,0.08643042350907519,0.0,0.16891891891891891,0.12850467289719628,0.14538134645493178,0.06778895040108462,0.08567144998929106,0.10287007509515482,0.12422360248447205,0.16304347826086957,0.0936110461034402,0.11407153915098184,0.08394543546694648,0.1014380332955427,0.10470595078820313,0.1297895152643756,0.11532758526003625,0.10835354212888912,0.07963275248266817,0.0892458723784025,0.07679508511455267,0.0787336316923587,0.0741608118657299,0.08827099194527199,0.09795740666835977,0.10873759163772843,0.07334555759293215,0.056636460554371,0.0729467157399118,0.08151066431191414,0.03138950892857143,0.052375607931163484,0.06317368815888183,0.02759381898454746,0.02751356025469696,0.06687223687632352,0.04057618178129438,0.04352047136018212,0.02757764831603985,0.04752851711026616,0.019580328296837778,0.016690589845445136,0.0,0.037895534642834586,0.015356265356265357,0.01687431448097421,0.0,0.03527870174377583,0.032369711909564,0.0,0.01900598688586905,0.011104695065073512,0.01964379256155055,0.018840276324052753,0.0,0.0,0.02187183106993021,0.0,0.014021874123632866,0.012220208150878837,0.0,0.0,0.013475532283525198,0.015454159100567941,0.009543441746831577,0.0,0.0,0.012711094970038134,0.0,0.0,0.008552271483305967,0.008404208827780951,0.0,0.0,0.0,0.0,0.0,0.014467891614823388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015554921836517771,M
Arkansas,0.10854227721697601,0.06683747354350006,0.045829514207149404,0.054039448797622264,0.09210597605244623,0.08653513326410522,0.11085109003571869,0.1469258589511754,0.08356255005048571,0.12642645639950761,0.13765726542241571,0.13862633900441082,0.10870260246818851,0.13309671694764863,0.1271532802518846,0.1876399733672296,0.16689331190505624,0.19723865877712032,0.2011128242944292,0.23599217854493965,0.1903348603135686,0.19298366531118616,0.2146885413996411,0.22574840503844268,0.26445032111824707,0.2540351311998513,0.3303854496913065,0.26417525773195877,0.2906527318264741,0.26455026455026454,0.28444913638896224,0.2753882406382194,0.2534580850432766,0.27858848500928624,0.3042228362499651,0.32461783627456764,0.22950819672131148,0.2554072710538426,0.24776887734237812,0.3003221196928964,0.2676513593219499,0.2524041495242182,0.2245841276473507,0.24440784230380955,0.19924552361723605,0.16604400166044,0.17572279728727933,0.15673550196606814,0.17391304347826086,0.161527589489169,0.16582782998283535,0.17175628074874094,0.1099028227672374,0.07917424197994252,0.10101910449535015,0.1318280151433207,0.08363636363636363,0.07950630371408018,0.10430751400424956,0.10896111215479992,0.040238504590847574,0.061856420332569224,0.03095017022593624,0.07102552973207592,0.0386981927943965,0.08359539827236177,0.044196231266824704,0.05410837133802272,0.06007689842999039,0.03033520400424693,0.040396621373485125,0.031095735997201383,0.01919901701032907,0.03479202102984382,0.04271181175739691,0.023311834641386277,0.0437706418367753,0.04373409669211196,0.0,0.0,0.03140826822661066,0.024459845087647775,0.0,0.021394035342946385,0.022054607207445637,0.0,0.0,0.02179884030169595,0.0,0.0,0.026003293750541737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019840777758488134,0.012390550140426235,0.0,0.00913943116180449,0.01325490845828846,0.019677888108500848,0.012220457045093485,0.02158828064764842,0.022697353488583233,0.02119445916281886,0.03108003108003108,0.04003796191944955,0.02470203174211079,0.04265133324908379,0.04252048342518848,0.032850483371398176,0.030497102775236352,0.04368401892974154,0.04691531785127844,0.040491133632650146,0.033699769911915776,0.04016446290600459,0.04065309672600758,0.03739202100057996,0.03328872191688689,0.0474005411561782,0.04104105368169821,0.033391636190173324,0.025288949665623887,0.037974983979303635,0.029277813923227067,0.030845015307414313,0.02465397923875433,0.021579025187517732,0.026550048738303758,0.019106688810829085,0.021239677156907215,0.036361164916573215,0.026728729472661725,0.023118332837940486,0.022658194659787207,0.022860292298586733,0.025079573461476535,0.018737001205413745,0.019339584386092967,0.017500151137668916,0.01750782801925861,0.01986886548778065,0.023577154451795437,0.018230237171811048,0.018997026101913866,0.019641907703353008,0.016554547233133175,0.019152482283953887,0.01621866170432526,0.019305574381913552,0.021241656522414033,0.024001196125183942,0.017065105272738305,0.019238880297166704,0.019204379995321114,0.01837017208914782,0.020048806312867887,0.018654434250764525,0.014771672153287752,0.01764576134107786,0.014335104140315372,0.014090966861361463,0.015174506828528073,0.015181955739538368,0.0157988093442776,0.008748199889638094,0.009974587471464746,0.012493955470617223,0.008651870366142346,0.008450900269434585,0.009491754999846079,0.007139816110069521,0.010160787598346812,0.007241532976827095,0.006218799997738618,0.007254160679659055,0.006562428669253596,0.009432964494893335,0.009596170563464556,0.004249424203020491,0.008546132020647456,0.0070460246329021176,0.00568298060967016,0.00948890391298675,0.007879500376640118,0.006240721033200635,0.003347347561792036,0.007749848372531842,0.005508807205519824,0.005452785691890344,0.005988002860151955,0.005412934748875914,0.0042052787717527604,0.003255036151245255,0.006819508910114611,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02970708811122334,0.0,0.0,0.0,0.0,0.038131553860819824,0.0,0.03830683777054204,0.037778617302606725,0.03786205590963589,0.04604051565377532,0.06836204539239814,0.03275681341719078,0.038481272447408926,0.07695267410542517,0.05374738727978501,0.03453038674033149,0.04594004823705065,0.04964147821290678,0.06595943494750728,0.055499495459132187,0.057631351455191625,0.05298906498386242,0.03378704508157158,0.05482241453577162,0.04185997837234451,0.020712510356255178,0.027751760502306867,0.04365639062395057,0.044350112459213734,0.02425050774500591,0.01788695444788934,0.028847540747151307,0.03652814071763747,0.024323666927920866,0.02160818950382195,0.0,0.029398401795975092,0.0,0.012862398065495332,0.026383831987757903,0.018948109249384188,0.017071643999317133,0.01893760060600322,0.0,0.022996813298728606,0.025710245532844837,0.015459773668913488,0.023486583289295992,0.015266709413453025,0.028819366614364857,0.015965259595121014,0.0,0.0,0.015423054381689751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012252499509900018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012884937508053087,0.012056908608632746,0.010238977740462393,0.01015909137086779,0.010120433154539015,0.010179982083231533,0.010473178190653736,0.01238441215323646,0.012399256044637322,0.0,0.0,0.0,0.01217878455730118,0.0,0.0,0.01351643598615917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014227989300552045,0.0,0.0,0.0,0.0,0.0,0.0,0.016586957122715837,0.014181580962645716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.11731188201776438,0.10735373054213634,0.09218713989398479,0.08622547962923044,0.08218952905399853,0.14185403220086532,0.12508686587908271,0.14798869904480022,0.11008501009112592,0.11857473172466947,0.1,0.16232916164842645,0.15321756894790603,0.18684037772054737,0.18321565823576727,0.16685205784204674,0.13552018903328933,0.19363559972233385,0.1821267436566083,0.22318314967219974,0.18783214220267547,0.19446025422121038,0.21979993720001792,0.25079911482665357,0.2538656819755366,0.2790129915424187,0.26055237102657636,0.2592515157850721,0.3119570368030327,0.279073323648597,0.24129732798694156,0.24216244518620328,0.24222373201784184,0.19818870575248992,0.20695749232629523,0.19874742899401449,0.20301748087361626,0.1827492337857646,0.19117135905457075,0.16913078180228802,0.19583310667464507,0.14309960398016575,0.1514063621889926,0.11959998847229027,0.13048797064020662,0.12020473580808602,0.09757258448357925,0.10327563368581756,0.10340361150718927,0.08650154014937339,0.11472631056722342,0.0569263890038917,0.0801586297093195,0.051374811358114544,0.06845742600078238,0.06730177885563768,0.07944723981028962,0.07442229692015728,0.07207779515246286,0.05685312170048847,0.03929144428800629,0.043914542300682875,0.060157116232984975,0.03644359139445329,0.04657383744536531,0.055627899920350964,0.035945824507349636,0.03421100861384324,0.040648948507346704,0.042470913012864216,0.02750919520321144,0.0387649487333553,0.02859224688944024,0.03033926436207235,0.01704245274979975,0.026037640664285305,0.028707218270549582,0.018439269497606735,0.024189114898295765,0.022986424078627502,0.016400948521522827,0.014189730891753637,0.021121477629441884,0.02056464643497165,0.011974613818704346,0.015204962899890526,0.01388374676045909,0.01850695167372244,0.013874329407411975,0.0108733641411984,0.012181102542043836,0.012257906349595489,0.008494142902371412,0.010580890911014709,0.008187996397281586,0.012358333515073532,0.011338350553453237,0.007133634372703861,0.012799951811946118,0.009661135666497596,0.007534785593489945,0.008504052180864181,0.0051640000344266666,0.006815645313817869,0.006734516924682846,0.007497500833055648,0.0,0.009582883228212009,0.005426279471480379,0.006574251474510688,M
Georgia,0.05834589390771624,0.054334403556433694,0.09395225833391328,0.08719522041014048,0.12012325690708726,0.09948673886992108,0.11552194917034238,0.10693393160421864,0.12358824200479142,0.14504289378261254,0.1116934444539909,0.10858904301527253,0.12736408681694467,0.1358054963502273,0.1279397930385701,0.1868467301822218,0.14511191507971216,0.15338294608873487,0.19785079722232998,0.18958110642760623,0.14688601645123384,0.17529366726441137,0.19625402511289372,0.1817587713923947,0.17455019756780604,0.1921598770176787,0.22559754176471733,0.2638272026724367,0.221218374137899,0.24916792463124965,0.22367393311084285,0.2644329193394295,0.21695725313251685,0.24004710358258977,0.24663916081786763,0.24036560874171764,0.2013588296531697,0.2012912094655964,0.21995905964323406,0.23888253265775677,0.226820938885774,0.22007640855083396,0.19575778554973322,0.1894163608381674,0.16359497088467126,0.1771388082558113,0.18294872946035737,0.12787868499971708,0.1608054254352234,0.13316677665692467,0.15175220864164127,0.1375564752339053,0.09648900628384653,0.10869696493919008,0.08408812435432333,0.09772657134039708,0.0772912796452737,0.07478376204653525,0.06755045174364604,0.0588050271460416,0.07422261576123756,0.041976411964631484,0.059072851594228586,0.05589367780399951,0.04949072448034739,0.045976228586997236,0.039796518669758106,0.047450749394593886,0.041312071387259355,0.049047528637428006,0.048163756773028296,0.04241010572233498,0.03613260666646593,0.03891807744697412,0.03670748539042081,0.029720626114523477,0.01805530478743351,0.025530428239341044,0.018475994404413124,0.016495159305173136,0.01632509543901949,0.02084283201980069,0.02646587886567243,0.013469827586206896,0.016247173668747207,0.0189265918615655,0.02847882396018389,0.01189783723758659,0.01175118817569332,0.012690677428361125,0.012392341532932647,0.011197233039302288,0.008751859770201167,0.008628340400354994,0.012279279943024142,0.009791322440487119,0.011828300391516743,0.009543464516205996,0.0075020630673435194,0.0,0.012643823492224046,0.0,0.010294571819344971,0.007525360464766262,0.0,0.0,0.0,0.0,0.00862559732261459,0.016121520438505357,M
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05096320456630313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
