state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.1773049645390071,0.1371562928613415,0.1547001547001547,0.1646158278118441,0.14564915489618263,0.13386118310500983,0.15390635189774357,0.19614692210548945,0.1855423451575889,0.16322799686602246,0.1690201112537441,0.27213776974593384,0.20346724800166097,0.18645647936265786,0.17894544197490697,0.179240022305425,0.23523365224954537,0.1813761432485625,0.1834566457673931,0.1752613455947545,0.17602030373736136,0.18360375747224594,0.1551105918375569,0.15061555924211997,0.15055101672119958,0.13505341664986897,0.12002814453044162,0.1551105918375569,0.12955949770779351,0.11366808917959559,0.09624083306065097,0.0979819487102184,0.07609577922077923,0.09871348814629016,0.09710722682203823,0.0875840807174888,0.08601357785764753,0.07985900754529933,0.06702030572667123,0.05148888698189308,0.0654221912072575,0.060751583880579746,0.047246123670307956,0.05623729253485991,0.03725835805282089,0.046291608199401105,0.03404013899723424,0.04000171435918682,0.023489686559494974,0.035416512949162544,0.021080845040731204,0.03811498528761568,0.031323414252153486,0.030946137433425086,0.019523941232936888,0.03171694389625035,0.02630738297912321,0.013641767193498723,0.01595150741745095,0.0138189714736946,0.013329778725673154,0.0,0.01724360908738199,0.011316057485572028,0.0,0.011988395233414054,0.017054036934171415,0.0,0.014357158239812401,0.0,0.0,0.0,0.0,0.021285150060307925,0.0,0.0,0.0,0.0,0.0,0.018218669581653798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.16366612111292964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10922992900054614,0.09055627425614489,0.06078288353999514,0.06862475981334065,0.06997900629811056,0.0,0.0,0.0,0.0,0.09345794392523366,0.0782822634757325,0.0,0.05354465624330692,0.05143503754757741,0.0,0.06987577639751553,0.039004602543100085,0.0,0.0,0.04773554508025539,0.03490198359606771,0.03950115681959258,0.038442528420012084,0.025798462411640265,0.028105677346824058,0.02677376171352075,0.029864755322326037,0.04143875352229405,0.0273224043715847,0.044135495972635996,0.03628052098828139,0.021045985478270017,0.0,0.03331556503198294,0.01989455883815776,0.023773943757641625,0.0244140625,0.029928918817807706,0.0,0.031535793125197095,0.023583051646883107,0.02600586989634803,0.03719483329951985,0.016738642830839277,0.02757764831603985,0.0,0.019580328296837778,0.020028707814534166,0.0394399526720568,0.02842165098212594,0.0,0.0,0.031421015422481734,0.012599536337062798,0.0,0.014762689762074649,0.014254490164401787,0.011104695065073512,0.013095861707700367,0.0,0.012256403971074888,0.01411717253201573,0.0,0.0,0.0,0.0,0.0,0.011842494818908516,0.0,0.0,0.0,0.0,0.0,0.0,0.01243493862469579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.2605014653207424,0.2227915784783335,0.2215093186678888,0.2364225884895974,0.3088259197052609,0.3028729664243683,0.4598267438518701,0.3428270042194093,0.42477629608996903,0.4724357054928969,0.3873611422351698,0.33081285444234404,0.3644734318051026,0.39612118139181135,0.46925615331052645,0.4237031656679378,0.40487081221411797,0.30681569143107607,0.38211436615941546,0.36073090149012205,0.3613136331376218,0.3135984561306775,0.34606511150986924,0.22574840503844268,0.29278428409520213,0.22925121596084141,0.23360587351910564,0.26095360824742264,0.16697071828329366,0.18362900715841893,0.1583531274742676,0.13627459330551062,0.14021085555585514,0.12470151233749005,0.14234279494264424,0.09148320840465089,0.09331651954602774,0.08743672342383801,0.07457121551081282,0.06781467218871855,0.07434759981165275,0.050480829904843635,0.047005980205259444,0.06907178152064183,0.039849104723447215,0.05534800055348,0.03569369319897861,0.030247202133802623,0.019957234497505347,0.031728633649658194,0.029092601751374625,0.02037786381764723,0.0,0.0,0.023769201057729446,0.016901027582477014,0.01818181818181818,0.0,0.023179447556499904,0.0,0.0,0.0,0.0,0.0,0.0232189156766379,0.0,0.0,0.0,0.020025632809996797,0.0,0.0,0.0,0.01919901701032907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0800182898948331,0.07420756917205555,0.041966426858513185,0.04889975550122249,0.052781161185546085,0.05241251734237706,0.04146059762490005,0.03910614525139665,0.034792981758536706,0.024800972198110168,0.02891128366099455,0.020905790904080433,0.03472983841485706,0.021539226244718747,0.019677888108500848,0.013748014175730171,0.018504240555127217,0.025723667287060995,0.015138899402013472,0.017094017094017096,0.029657749569962633,0.027789785709874636,0.01421711108302793,0.014718628877949858,0.01564308731971342,0.012198841110094541,0.023298143429195485,0.01172882946281961,0.025009229596636852,0.02324122062890743,0.020082231453002294,0.017962996227770794,0.021366869143188548,0.010190425076598028,0.015141839536001369,0.011996615691573325,0.01749085705199555,0.012176160950115205,0.009968433294567204,0.007900362487220002,0.008286720530350114,0.008650519031141867,0.010789512593758866,0.00986144667422711,0.009920780728699717,0.00899986320207933,0.006456655452475618,0.012386484389770067,0.006935499851382146,0.009710654854194516,0.009707795359673818,0.005573238546994786,0.004996533654776998,0.006238575608417086,0.007636429587346436,0.005387024005925727,0.006741222219068435,0.005358444193589872,0.006076745723937016,0.008289611389926049,0.007111725202938158,0.00714855448703478,0.004482495853691335,0.00640210330433892,0.01067967944531388,0.010620828261207017,0.011410404715251383,0.013272859656574237,0.00887948321407694,0.010125945815714769,0.010169202406492545,0.008144827564602579,0.009480122324159021,0.009043880910176175,0.00764649658113374,0.008432414200185513,0.010222858311183807,0.006921704869153156,0.005566717104497402,0.007420652873827357,0.007850948618905982,0.008841111622434662,0.009948890467343345,0.006969562239392446,0.008699456159712073,0.006926415810698491,0.005553190307831849,0.007140012906946409,0.008912655971479501,0.007914836360758242,0.0055801235997377345,0.007418397626112759,0.007146185223404043,0.006491527145873081,0.004816014096756556,0.005127679212388473,0.005918660691637778,0.0036939373962856037,0.008599319171144242,0.006618780316377699,0.007883016041937644,0.007698899392121683,0.007749848372531842,0.006197408106209804,0.005793584797633491,0.007396944709599473,0.00757810864842628,0.007645961403186837,0.004475674707962226,0.005967070296350284,F
Colorado,0.0,0.1991465149359886,0.1048767697954903,0.18253726802555523,0.08609027179928669,0.0,0.06542361792607132,0.08393742846241893,0.14350143501435014,0.08634335875665564,0.09360958562156764,0.06478591200895224,0.08912126433367001,0.060551014229488345,0.11226660363980147,0.07326454606508334,0.04537793335926358,0.04448681283762313,0.049609326553392036,0.05107578369405605,0.06926079838811233,0.0,0.0,0.07519824993163796,0.06551362683438156,0.0,0.038476337052712584,0.059719319199761124,0.04604051565377532,0.04594004823705065,0.03861003861003861,0.0274830978947947,0.0,0.0,0.0,0.024133603629693984,0.02741120726788581,0.04534830990337322,0.0,0.024282790439518507,0.023507287259050304,0.0,0.02425050774500591,0.01788695444788934,0.014423770373575654,0.0,0.0,0.01350511843988872,0.016279132864856063,0.0,0.013095861707700367,0.0,0.013191915993878952,0.0,0.0,0.0,0.0,0.0,0.0,0.015459773668913488,0.0,0.015266709413453025,0.0,0.015965259595121014,0.0,0.0,0.0,0.017569031653538694,0.0,0.0,0.0,0.0,0.01147078391337264,0.0,0.0,0.0,0.0,0.0,0.012094530853148206,0.0,0.0,0.0,0.0,0.0,0.017825311942959002,0.0,0.0,0.0,0.0,0.0,0.0,0.011368028556487733,0.0,0.011177430532269243,0.0,0.0,0.0,0.014312977099236643,0.0,0.0,0.0,0.0,0.0,0.0,0.02308669052291354,0.01445295562942622,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021329238119614367,0.0,0.0,0.0,0.0,0.0,0.0230755030459664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011999616012287606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.166333998669328,0.15693659761456372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.13407072230601644,0.12524601896582574,0.2650380271952063,0.2586764388876913,0.13972219939179747,0.15603943542095183,0.2293259207783183,0.1412619399973093,0.14066417956088315,0.1837908341732377,0.14444444444444443,0.12043776509399381,0.14811031664964247,0.1262434984598293,0.1608722852801859,0.1509613856666137,0.1841684620195983,0.1315260677359249,0.12831656939442856,0.1580880643511415,0.12827560930914422,0.1185733257446405,0.14354281613062397,0.19670518809933613,0.12000923147934457,0.13078733978550877,0.13027618551328818,0.12544428183148654,0.0829252882640973,0.06498967810994724,0.07451829246655547,0.10471889521565547,0.09157238649454996,0.07275281603572414,0.07208631755185564,0.060086432021446236,0.05342565286147796,0.039976394890636,0.06179276252268953,0.039907263121888185,0.029012312099947417,0.029951079902825382,0.021852464645833986,0.031701201763739584,0.029903493271714012,0.023265432737048907,0.023798191337458353,0.029186592128600614,0.02503455857542477,0.018988142959618547,0.013436414751116257,0.011385277800778339,0.012656625743576764,0.009632777129646476,0.02281914200026079,0.013924505970131935,0.01444495269277993,0.014884459384031457,0.012216575449569975,0.012762945687864758,0.006548574048001048,0.007685044902619502,0.0117955129868598,0.0,0.0,0.007585622716411495,0.011554015020219527,0.0061091086810434354,0.008368901163277261,0.011176556056016898,0.010188590816004239,0.017444226930009885,0.009223305448206529,0.009815644352435173,0.007669103737409888,0.010577791519865905,0.012758763675799817,0.005378120270135298,0.010262048744731538,0.0069655830541295455,0.007517101405697962,0.009223325079639865,0.005098287703658385,0.003672258291959223,0.008232547000359238,0.006842233304950735,0.005399234851289646,0.005397860904835712,0.008478756860085096,0.007766688672284572,0.004567913453266439,0.006128953174797744,0.003860974046532459,0.0,0.004466179853062683,0.0,0.004960528367135791,0.007846997809974247,0.0067764450769126515,0.005635662472123598,0.005860388794936624,0.0,0.0051640000344266666,0.005963689649590636,0.009259960771438914,0.009996667777407531,0.008432485306394354,0.00871171202564728,0.005426279471480379,0.008452609038656599,F
Georgia,0.15558905042057664,0.17782168436651025,0.16006681049481525,0.19053770385919586,0.18279626051078496,0.23288941144549707,0.15332913253518168,0.17612647558341896,0.23196562345514696,0.22640841956310254,0.20620328206890629,0.2609639904721872,0.23204689789936492,0.2565214931059849,0.24270931326434617,0.3052446582184812,0.246491472190196,0.2802552595201575,0.24440392598052527,0.26622027711110663,0.2056404230317274,0.18536801595776833,0.22102395061257935,0.1756320712331005,0.20140407411669928,0.22674865488086088,0.2392111865263813,0.19929393007630108,0.1840388154592605,0.1764181656148264,0.16331747496982177,0.13989354442473045,0.1320609366893581,0.12379787731932304,0.11266233271927287,0.10753198285813687,0.09725494493452413,0.1018729901563689,0.06865774116031582,0.08298024818637867,0.07645649625363168,0.07171029042667623,0.06326318679351135,0.0639280217828815,0.05033691411836039,0.04114191675618843,0.04489539373260304,0.04639846092910089,0.0349577011815703,0.025926275101348168,0.019998353076805437,0.03320328712542542,0.012061125785480816,0.02294713704271791,0.020421401628907095,0.018002263141652094,0.010847898897582274,0.01269912940412863,0.01970221509189676,0.006837793854190884,0.010417209229647378,0.013540778053106932,0.013291391608701433,0.015526021612222085,0.009578849899422077,0.015325409528999082,0.020763401045091185,0.014726094639701552,0.01156737998843262,0.007910891715714196,0.01053582179409994,0.013631819696464815,0.015055252777694138,0.007484245662879638,0.007341497078084163,0.007076339551077018,0.0,0.006718533747195013,0.011877424974265579,0.0,0.008790436005625879,0.0,0.00926305760298535,0.0,0.008123586834373604,0.0,0.0,0.0,0.0,0.0,0.0061961707664663235,0.0,0.008751859770201167,0.0,0.006139639971512071,0.006119576525304448,0.0,0.005964665322628748,0.0,0.007932835327559992,0.0,0.007207830587149879,0.0,0.007525360464766262,0.0,0.00752683316021617,0.011011483404121442,0.008099526987623923,0.00862559732261459,0.0,F
Idaho,0.0,0.0,0.2545608824777259,0.20249746878164024,0.13061650992685475,0.17777777777777778,0.2578150177247825,0.12126724268606943,0.08023535704733886,0.1006325474410581,0.06503642039542144,0.08860759493670886,0.0,0.08732353369233009,0.1151742009789807,0.0,0.0,0.07672241829062453,0.0,0.07892659826361484,0.0,0.0930376802605055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08053382420616659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040160642570281124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
