state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0305698214722426,0.03918751224609758,0.0,0.0,0.0406462757849812,0.022784882230639972,0.020868657884439805,0.026869441384313617,0.029296159761724568,0.019587359623922697,0.029952931108258453,0.019134686935260978,0.029066749714522992,0.01906941266209001,0.012200825589198203,0.01593244642714889,0.0,0.019295334388144948,0.014112049674414854,0.026804676385080106,0.0,0.0,0.012086539623705733,0.02182834191914782,0.014051428227311962,0.012094335819391252,0.014486155374363643,0.0,0.009966115208291808,0.0,0.011548899967278117,0.0,0.0,0.0,0.0,0.0,0.007679783737289958,0.0,0.007129819758156514,0.008581481163648846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009521270518337968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179199426561835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013139568496570574,0.0,0.0,0.0,0.0,0.0,0.0,0.014028787071069835,0.01971164676728993,0.0,0.015288182235132243,0.029390634184573182,0.026906131234655097,0.02447295738209279,0.02458037783552216,0.02083116342047703,0.04572956240326439,0.0,0.03359337090814079,0.035649211756317835,0.05658623337779394,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07714065312419646,0.0,0.0,0.0,0.0,0.0,0.0,0.07796257796257797,0.0,0.0,0.0,0.0,0.0,0.0,0.08557247989046722,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09604302727621974,0.1139168407062844,0.09417969485778867,0.0,0.0,0.1190003966679889,0.16670139612419255,0.14067524115755628,0.12239902080783352,0.2717959439682208,0.11022927689594356,0.14767413241447205,0.15604681404421328,0.1926252063841497,F
Arizona,0.0,0.0,0.0,0.3386550556361877,0.0,0.3000545553737043,0.2053856686444546,0.20084354288009643,0.26223776223776224,0.12171796209354896,0.19972345982485787,0.19543973941368079,0.12098167991704113,0.11471648639790233,0.13841894801599508,0.10274475267870248,0.14692918013517484,0.1276776847779827,0.10922992900054614,0.09055627425614489,0.10940919037199125,0.15097447158934943,0.0979706088173548,0.07692307692307693,0.0,0.09427609427609428,0.12993762993762994,0.12850467289719628,0.14538134645493178,0.06778895040108462,0.08567144998929106,0.05143503754757741,0.12422360248447205,0.06987577639751553,0.062407364068960136,0.06518373665770391,0.055963623644630985,0.029834715675159617,0.058169972660112854,0.06207324643078833,0.03295073864572464,0.0,0.060895634251452134,0.022311468094600623,0.04693032979222663,0.045582628874523454,0.046838407494145196,0.02942366398175733,0.03990857308710953,0.038584306710161706,0.046674445740956826,0.03331556503198294,0.0364733578699559,0.04754788751528325,0.048828125,0.044893378226711564,0.03553519958937103,0.031535793125197095,0.04323559468595236,0.0482966155217892,0.030432136335970784,0.046868199926349975,0.08273294494811954,0.04073872895165671,0.02937049244525667,0.023366825783623195,0.05258660356274239,0.03473757342259837,0.04606879606879607,0.03374862896194842,0.03927626927810217,0.02771897994153815,0.027389756231169543,0.024604482936791083,0.0380119737717381,0.01776751210411762,0.02182643617950061,0.01674691228804689,0.014299137966254033,0.016133911465160834,0.01391843795359195,0.020275750202757504,0.014021874123632866,0.01018350679239903,0.01197365795250449,0.01578999309187802,0.0327262926885612,0.009658849437854963,0.011452130096197893,0.022211938917167977,0.02681252681252681,0.01452696568004358,0.02486987724939158,0.03475238922675934,0.034209085933223866,0.020170101186674286,0.03970838164519767,0.0274623200814177,0.054541425917403824,0.0486517842106248,0.07025714113655981,0.08474050802967985,0.06830035598973425,0.08179701755489839,0.10221536150861531,0.07515245211715194,0.10417359310237825,0.12060444108118334,0.11103434662455586,0.08036709615534182,F
Arkansas,0.0651253663301856,0.0,0.0,0.047284517697919484,0.07585198027848514,0.02596053997923157,0.07800632261772796,0.0640446051838457,0.0278541833501619,0.05988621618924045,0.06402663508019336,0.05040957781978576,0.04156275976724855,0.06337938902268982,0.0423844267506282,0.03329096301676654,0.030906168871306712,0.05322313014620707,0.043574445263792984,0.030341851527206528,0.02580811665268727,0.02412295816389827,0.019225839528326072,0.029445444135449042,0.02203752675985392,0.018587936429257414,0.023360587351910562,0.0,0.024736402708636095,0.015561780267662622,0.02052725726518284,0.0,0.021570900854746947,0.02387901300079597,0.013955175974769042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014460897732531236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019324418335008114,0.0,0.0,0.022034520749173704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314776508678838,0.0,0.024603877571105204,0.031525851197982346,0.04772004241781548,0.03849961500384996,0.0448681996634885,0.03881341835320211,0.03413940256045519,0.035648505733468006,0.07549543881723812,0.03939075630252101,0.08279287981233614,F
California,0.33150434385002286,0.26502703275734124,0.3177458033573141,0.15647921760391198,0.22736500203004464,0.21889933713581006,0.17176533301744307,0.19553072625698326,0.1565684179134152,0.19096748592544827,0.19824880224681976,0.1729479065701199,0.1645097609124808,0.12426476679645432,0.12260837975296682,0.1176218990590248,0.09406322282189669,0.11499992434215503,0.08780561653167815,0.08857808857808858,0.06969571148941218,0.09108874204903354,0.08214330847971692,0.06378072513778271,0.05318649688702562,0.06556877096675816,0.05970149253731343,0.03779289493575208,0.034536555157260417,0.03718595300625189,0.03805054380568856,0.03214430903916879,0.03662891853118037,0.020380850153196056,0.02699197482504592,0.018310623950296128,0.01643080510945036,0.017795927542476067,0.01946217928939311,0.01440654335904824,0.023018668139861427,0.013408304498269897,0.014386016791678488,0.010999305905868699,0.012860271314981114,0.011159830370578367,0.010194719135487817,0.015646085544972717,0.015192047293503748,0.012623851310452874,0.012839342249891177,0.012694598912599235,0.012803617490366058,0.013412937558096735,0.012409198079437958,0.011784115012962526,0.01348244443813687,0.012503036451709703,0.01108112455541456,0.017270023729012606,0.019303254122260718,0.02483182084969976,0.02730247474521086,0.02560841321735568,0.019305574381913552,0.02491809707437031,0.029903129598589834,0.026545719313148475,0.034407997454548145,0.037361248354533805,0.03608426660368322,0.03414562325160312,0.031192660550458714,0.028638956215557888,0.03146827439158885,0.03091885206734688,0.025971585979764268,0.021829992279636876,0.025050226970238305,0.022261958621482072,0.02287990740366886,0.01926908943351144,0.0222114763922084,0.022110335380141555,0.022121474234696414,0.017957374324033125,0.02115501069650228,0.01839926402943882,0.0250668449197861,0.02685390908114403,0.030690679798557538,0.026535037662634105,0.03801770538850951,0.038949162875238495,0.03229562394295573,0.03646349662142914,0.033539077252614076,0.0429065036030097,0.04655493482309125,0.05673240271180885,0.050911145270847294,0.06192592989315267,0.06368353662645732,0.06817148916830783,0.0695230175716019,0.07995744995614669,0.0757810864842628,0.08525246964553324,0.07608647003535783,0.08353898414890398,F
Colorado,0.4567513559805881,0.42674253200568996,0.19227407795839888,0.3346516580468512,0.14758332308449146,0.23423423423423423,0.2698724239450442,0.1449828309805418,0.17766844335110019,0.20146783709886315,0.20594108836744884,0.2002473643913069,0.15447685817836138,0.15743263699666968,0.18908059560387616,0.15263447096892363,0.16206404771165567,0.07626310772163965,0.08061515564926205,0.0829981485028411,0.08185367082231457,0.08834479712248375,0.03946329913180742,0.10937927262783702,0.0720649895178197,0.057721908671113396,0.08977811978966269,0.06569125111973724,0.05179558011049724,0.06891007235557597,0.03861003861003861,0.07695267410542517,0.06559031281533803,0.028815675727595812,0.04335468953225107,0.024133603629693984,0.05090652778321651,0.024418320717200962,0.027616680475006903,0.024282790439518507,0.03022365504735039,0.019007191053948744,0.0,0.03577390889577868,0.025962786672436174,0.014049284891399028,0.016215777951947244,0.0,0.016279132864856063,0.01603549188871369,0.0,0.025724796130990664,0.01846868239143053,0.013534363749560132,0.025607465998975704,0.0,0.020182313565878435,0.0,0.0,0.018551728402696185,0.014679114555809992,0.0,0.016010759230202697,0.0,0.019026478515934676,0.0344924900442131,0.0246768870107036,0.017569031653538694,0.034406629010522695,0.02666382252559727,0.04550855813718302,0.050768784450246594,0.016059097478721696,0.041239947762732834,0.025478887267505152,0.039086749591888355,0.03218760777100816,0.021424490573224146,0.02418906170629641,0.02438132390588809,0.036590720593257554,0.014730433074732397,0.01960399921584003,0.025130047998391674,0.02037178507766743,0.017900981996726677,0.03028391167192429,0.035370506050883,0.029261869345753373,0.021406655091216135,0.027605880052451175,0.02728326853557056,0.05595094221386688,0.04023874991616927,0.020814542426975648,0.05095659424653727,0.05565862708719852,0.05725190839694657,0.04659603688444183,0.090039102696028,0.08963007224727036,0.12007148441863062,0.0994911737115893,0.12107584536884891,0.10100427103774674,0.1271860095389507,0.14393983902238414,0.14687041029967815,0.1408404572401821,0.14373579355528815,F
Connecticut,0.3640500568828214,0.20995800839832035,0.3005332040717402,0.2759516273029786,0.36698316537542963,0.24277737314882253,0.29443602511366096,0.30299453035847795,0.2952340784479123,0.33181252592285354,0.3029201502483945,0.2971591584452633,0.30650036184070495,0.25595085743537244,0.25108046923235233,0.2758739600844864,0.1841620626151013,0.21085925144965736,0.15987210231814547,0.14768321949418498,0.11864561467554988,0.12784579829866743,0.12383261957587327,0.08810087550245031,0.04368481406651013,0.0758150113722517,0.07606215364555037,0.09550084889643463,0.0303060915243964,0.060630557801131774,0.0,0.04080466805402538,0.05435651478816946,0.03328592610524405,0.04134224488389719,0.027928085180659798,0.016921428168537422,0.0,0.02215207398792712,0.022911475785434027,0.014216661927779357,0.0,0.014702639123722707,0.014267031268576865,0.0,0.0,0.0,0.0,0.010238977740462393,0.0,0.012144519785446818,0.010179982083231533,0.010473178190653736,0.0,0.0,0.010835410120273052,0.0,0.0,0.0,0.0,0.0,0.0,0.015596244424342619,0.0,0.0,0.0,0.0,0.0,0.020622100017185084,0.0,0.01620798080975072,0.0,0.01860176716788095,0.0,0.02062280882656218,0.0,0.0,0.018691089690528958,0.018304003347017754,0.0,0.040953185389951116,0.01864677677144379,0.0,0.0,0.01751211254450995,0.02699946001079978,0.027420632502589724,0.0,0.019238168526356292,0.016363933889707083,0.0,0.033804340477317285,0.04492984032625976,0.020583896531613435,0.046408681993431386,0.05168912682296474,0.0681327832241947,0.030756218522932605,0.040886417532095834,0.05607557261786654,0.07215657977811851,0.11546277480140403,0.08463817181548879,0.04752851711026616,0.11707956727391937,0.11055566237262064,0.10771641206423815,0.09181799632728015,0.11089401700374926,0.10477555972206905,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.17768301350390903,0.0,0.0,0.24576734025122884,0.0,0.0,0.0,0.0,0.0,0.15964240102171137,0.0,0.0,0.0,0.2358490566037736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07202535292422932,0.0,0.08870490833826139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12171796209354896,0.0,0.0,0.10917030567685589,0.0,0.0,0.1018537380321858,0.13183915622940012,0.1402524544179523,F
Florida,0.0,0.08946144211844695,0.09218713989398479,0.05389092476826903,0.07397057614859867,0.07801971771047592,0.118137595552467,0.05381407237992736,0.09173750840927161,0.041501156103634314,0.07777777777777778,0.05760067026234487,0.05107252298263534,0.040397919507145386,0.0536240950933953,0.059590020657873825,0.038223643060671345,0.032881516933981225,0.05381017426217973,0.0371971916120333,0.027487630566245192,0.023714665148928095,0.03139999102857399,0.04917629702483403,0.02307869836141242,0.030517045949952047,0.02605523710265763,0.03763328454944596,0.031590586005370395,0.026760455692331216,0.0,0.0,0.023631583611496764,0.017561024560347204,0.0,0.016177116313466293,0.012822156686754713,0.0,0.0,0.013302421040629396,0.0,0.011647642184432094,0.0,0.015850600881869792,0.0,0.006462620204735808,0.01070918610185626,0.0,0.0076192134794771035,0.005274484155449597,0.005167851827352406,0.005175126273081063,0.00843775049571784,0.007492159989725037,0.006519754857217368,0.005801877487554973,0.0,0.0,0.0,0.006961606738835323,0.009822861072001572,0.008782908460136574,0.00825685909080186,0.010933077418335987,0.013136210561513293,0.010114163621881993,0.0154053533602927,0.018327326043130306,0.008368901163277261,0.01564717847842366,0.013245168060805512,0.026166340395014826,0.025825255254978276,0.013384969571502507,0.011929716924859826,0.01790087795669615,0.019138145513699724,0.009219634748803367,0.015393073117097306,0.01044837458119432,0.018451067086713183,0.01489921743634132,0.011653229036933452,0.00807896824231029,0.018710334091725542,0.011403722174917894,0.011569788967049242,0.016964705700912238,0.01695751372017019,0.0163100462117976,0.019032972721943493,0.020685216964942386,0.020077065041968788,0.028719561044182773,0.022330899265313415,0.019627941465116785,0.024802641835678957,0.026394447179004285,0.03011753367516734,0.048305678332487986,0.03432513437034308,0.04337066612240733,0.04217266694781778,0.05367320684631572,0.06145246693773097,0.0716427857380873,0.06830313098179426,0.050527929748754224,0.06059345409819757,0.06574251474510688,F
Georgia,0.0,0.0395159298592245,0.0,0.0,0.0,0.018088497976349288,0.010501995379122032,0.020967437569454638,0.013309502985131384,0.0229946051118776,0.00859180341953776,0.02101723413198823,0.0,0.018861874493087124,0.016933207902163686,0.0,0.0,0.0,0.0,0.010084101405723736,0.013709361535448493,0.02014869738671395,0.0,0.010211166932157007,0.01534507231365328,0.0,0.0,0.0,0.009294889669659622,0.009093719877052908,0.012426329617269048,0.01364815067558346,0.0,0.0,0.0,0.0,0.006848939784121418,0.006136927117853548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060062945967373806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011175324882659089,0.0,0.0,0.0,0.01156737998843262,0.007910891715714196,0.009030704394942805,0.0,0.0,0.0,0.008809796493700995,0.007076339551077018,0.009722087193233427,0.009405947246073017,0.006598569430147545,0.006344292040451206,0.0,0.010421416009900345,0.01587952731940346,0.0,0.0,0.010815195349466,0.01220521026865024,0.01189783723758659,0.007834125450462213,0.011421609685525013,0.008674639073052853,0.01741791806113689,0.017503719540402335,0.01972192091509713,0.012279279943024142,0.015910898965791568,0.024839430822185163,0.022665728225989237,0.028757908424816823,0.025120645203939973,0.025287646984448093,0.04613011575775923,0.041178287277379884,0.034616658137924805,0.052034550941825373,0.05870929864968613,0.045619002674217396,0.04697725652821875,0.06037918125830214,0.057320961559130156,F
