state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.09170946441672781,0.09143752857422768,0.09555009555009554,0.11111568377299477,0.09822849981370456,0.08544330836489988,0.10434328942219903,0.09672998898352904,0.07568174605112181,0.09576042482806651,0.08557980316645272,0.09779951100244498,0.07266687428630748,0.07627765064836003,0.09353966285051955,0.09161156695610612,0.08104688859017949,0.06367460348087832,0.09273632643186903,0.06598074187096642,0.07982316099717549,0.08112724167378309,0.08057693082470489,0.052388020605954766,0.08230122247425577,0.07055029227978231,0.062083523032987045,0.06647596793038153,0.0518237990831174,0.06580784110397639,0.0500452331915385,0.035801096644118256,0.0524215367965368,0.061493648353426654,0.03407271116562745,0.040288677130044845,0.043006788928823765,0.037175744891777274,0.03564909879078257,0.02574444349094654,0.03198418236799255,0.01591112911158041,0.030065715062923246,0.02018774603815484,0.017196165255148103,0.02025257858723798,0.01702006949861712,0.027144020458019627,0.014681054099684359,0.014756880395484393,0.018069295749198175,0.009147596469027762,0.01096319498825372,0.008143720377217127,0.0,0.0,0.01127459270533852,0.0,0.009969692135906844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01814834979647922,0.0,0.02339242085564277,0.07620949728010933,0.13438735177865613,0.19078165178201123,0.21818390606608676,0.21878688430204105,0.2661519113216928,0.27388479356662104,0.25812968210768494,0.2562514079747691,0.2479743952019838,0.2018040055037456,0.1763438051074391,0.21861231628157266,0.14683774429255672,0.10885595898588385,0.14234628337325975,0.10904741803855354,0.10394637800638015,0.10824530625956477,0.1465578705537511,0.11317246675558788,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09674922600619196,0.13966480446927373,0.09689922480620156,0.11485451761102604,0.09604302727621974,0.1139168407062844,0.20719532868713506,0.23125843129697438,0.1176239952950402,0.09916699722332406,0.10418837257762034,0.0,0.10199918400652795,0.14635166213673428,0.0,0.12306177701206006,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03295073864572464,0.025798462411640265,0.028105677346824058,0.031236055332440872,0.0,0.037294878170064646,0.0429352068696331,0.0,0.03628052098828139,0.028061313971026694,0.030005000833472247,0.019989339019189766,0.01657879903179814,0.0,0.03138950892857143,0.0,0.0,0.0,0.0,0.0,0.0,0.016738642830839277,0.0,0.0,0.0,0.0,0.0,0.015789806101181077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010137875101378752,0.0,0.0,0.01197365795250449,0.0,0.0,0.0,0.019086883493663154,0.014807959278111986,0.025025025025025023,0.04902850917014709,0.06572753273053487,0.06429192006950478,0.0752599890530925,0.0890846135744781,0.06353341063231627,0.06784808490703197,0.08862981711578122,0.07859134372485545,0.07828652869502378,0.0909410330074613,0.07864889477605762,0.07969965813041381,0.05006466686136259,0.0858885167053165,0.08644191768069685,0.08986213257029348,0.07895775759968417,0.08814455707360071,F
Arkansas,0.1736676435471616,0.1893728417065835,0.18331805682859761,0.16887327749256958,0.15712195914829064,0.1341294565593631,0.11906228189021636,0.09418324291742014,0.1009714146443369,0.10646438433642745,0.11844927489835771,0.10396975425330812,0.11829400856832278,0.1140829002408417,0.1332081983591172,0.13013740088372375,0.12362467548522685,0.11270780501549732,0.1139639337668432,0.08091160407255074,0.09355442286599136,0.06892273761113792,0.08972058446552167,0.11778177654179617,0.09759476136506737,0.08364571393165836,0.06674453529117304,0.05798969072164949,0.06184100677159025,0.049797696856520385,0.05571684114835342,0.05394202651676462,0.056623614743710735,0.06102414433536747,0.0334924223394457,0.07082570973263295,0.05044136191677175,0.03911642890013806,0.05051598470087321,0.04843905156337039,0.044608559886991646,0.03786062242863273,0.03394876348157627,0.029222676797194622,0.026566069815631473,0.024906600249066,0.030202355783751134,0.02749745648527511,0.03136136849607983,0.01442210620439009,0.020364821225962237,0.014555617012605165,0.014460897732531236,0.020526655328133248,0.014855750661080906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07991475759190196,0.14735199791973652,0.20539382032505804,0.19773503505302895,0.2605336447758512,0.25983334826628435,0.31116121758737314,0.27024632287790185,0.31027970141199746,0.31957890779208575,0.29524653085326247,0.2837326607818411,0.21739130434782608,0.20349796502034978,0.19068984856982613,0.18297754366509567,0.18776671408250356,0.2257738696452974,0.1698647373387858,0.2297794117647059,0.15178694632261625,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007568418503269557,0.0,0.0,0.0,0.0,0.00777000777000777,0.01038021234948692,0.0,0.009478074055351952,0.008177016043305476,0.0,0.010673985971332723,0.017473607571896612,0.009122422915526363,0.017863735426169182,0.0081344272201176,0.00951263595142214,0.0075633668327455975,0.009157229632795092,0.008831701733051624,0.009875112740870459,0.007576809910467363,0.0068903376265437005,0.004214824944270648,0.0066456221963781354,0.006041453666697648,0.006445227079161199,0.007785467128027681,0.010389901016212242,0.0064478689793023404,0.0051441085259924454,0.01043984131441202,0.008835423250756109,0.008149002888006624,0.009907856930545923,0.011329097329893604,0.008142021914565138,0.00835985782049218,0.007494800482165497,0.007798219510521357,0.009227352418043611,0.007743847008518231,0.006741222219068435,0.008573510709743794,0.004289467569837894,0.0034540047458025205,0.0037251893920152257,0.004514876518127229,0.0020374981153142434,0.005121682643471135,0.002875298312199891,0.004084933946618083,0.004721546778724711,0.004929919301013288,0.0055496770087980875,0.0038408759990642234,0.006560775746124222,0.006265251972771215,0.004892966360856269,0.0021102388790411077,0.004999632379972061,0.003091885206734688,0.004420695485917322,0.005058168942842691,0.005060651913179456,0.004548142083958703,0.004934881989026617,0.004307208226314322,0.0030078040947782206,0.004325935183071173,0.004971117805549756,0.0035914748648066246,0.004495439773006735,0.0052177017396916065,0.00835561497326203,0.014416309085666797,0.016461364619226315,0.028817621547591876,0.03230075720978627,0.03838468225385822,0.04164435718960081,0.0564044713362732,0.04678560356247006,0.056261508035734584,0.058416064714324686,0.047907362289971916,0.051568063274342095,0.055900704281927,0.04414044073050745,0.04544765944553856,0.05657265155336233,0.04297272640814932,0.04907727505647495,0.046640364559439706,0.05045306034430145,0.05114631682585957,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014049284891399028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014630934672876687,0.01427110339414409,0.03910833007430582,0.05456653707114112,0.046998791459648186,0.06706458319361545,0.09482180438955573,0.08801593551674619,0.08812615955473099,0.12404580152671756,0.11035903472630959,0.07203128215682239,0.07604975827041122,0.0809784429800067,0.09664856874840104,0.0749517137997636,0.12409096156066027,0.12429541841306546,0.10281417073027437,0.08124746101684323,0.08515934623824964,0.08356732183446985,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04802909190709802,0.03569898614879337,0.040612885360900866,0.022710927741398237,0.06920149167659836,0.053152342791724594,0.0517620670318768,0.0,0.05542213190467394,0.04231908590774439,0.028517110266159697,0.05151500960052451,0.03845414343395501,0.03427340383862123,0.0,0.0,0.04411602514613434,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0760225026607876,0.0,0.08648025367541078,0.0,0.07457121551081282,0.07595321282090232,0.0,0.11093502377179082,0.0,0.0,0.0,0.09087604507451835,0.0,0.09097525473071325,0.1692047377326565,0.09567546880979717,0.0,0.0,0.0,F
Florida,0.11731188201776438,0.12524601896582574,0.1267573173542291,0.09700366458288424,0.10684638777019807,0.08511241932051919,0.0,0.12108166285483654,0.0611583389395144,0.029643682931167366,0.08888888888888889,0.06283709483164895,0.05617977528089888,0.08079583901429077,0.04468674591116275,0.08342602892102337,0.027799013135033707,0.058456030104855505,0.04139244174013825,0.07904403217557075,0.04581271761040865,0.04742933029785619,0.05382855604898399,0.06392918613228424,0.0276944380336949,0.03487662394280234,0.0694806322737537,0.029270332427346855,0.051334702258726904,0.03058337793409282,0.06742131223164544,0.04908698213233851,0.03249342746580806,0.027595895737688468,0.03488047623476886,0.027732199394513646,0.03205539171688678,0.01903637851935048,0.027034333603676672,0.013302421040629396,0.02538577308745399,0.01663948883490299,0.012487122654762275,0.012968673448802558,0.009514747859181731,0.012925240409471616,0.008329366968110423,0.015715857300015717,0.01414996789045748,0.013713658804168954,0.011369274020175294,0.005175126273081063,0.006328312871788382,0.007492159989725037,0.008693006476289825,0.005801877487554973,0.007222476346389965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007330930417252124,0.0,0.0,0.0,0.004845618591669413,0.0,0.0,0.005112735824939926,0.00406838135379458,0.0,0.0,0.0,0.0,0.003416864275317256,0.004256919267526092,0.004369960888850045,0.003672258291959223,0.0,0.0,0.007713192644699494,0.003855614932025509,0.004624776469137325,0.01398003961011223,0.032736713081742815,0.033709242461387595,0.058686805507293376,0.06575267923273424,0.07890251073744073,0.09087009937554068,0.0885808636988534,0.09059715653333904,0.0911055393673812,0.08211965316522957,0.08958022872260268,0.06122917570222211,0.06282866708552444,0.04941342852517955,0.055559764628633476,0.07914028657114294,0.0834816045333041,0.06272432658466041,0.062402213922024365,0.05353319057815846,F
Georgia,0.05348373608207323,0.0,0.04175655925951702,0.06458905215565962,0.041782002402465136,0.04974336943496054,0.05040957781978576,0.0461283626528002,0.032323078678176215,0.0459892102237552,0.044677377781596354,0.04728877679697352,0.04710726498708912,0.056585623479261375,0.05268109125117591,0.05364906114143003,0.05367153023496203,0.05112764869624496,0.04655312875819529,0.05042050702861868,0.04896200548374462,0.05238661320545627,0.051445229883962426,0.04288690111505943,0.044117082901753174,0.04611837048424289,0.058344191835702754,0.058839160308241274,0.06320524975368542,0.05274357528690687,0.04082936874245544,0.04094445202675037,0.047164620246199315,0.04076271570270393,0.045673918669975486,0.028464348403624464,0.02328639526601282,0.02945725016569703,0.026700232673456156,0.022630976778103273,0.029308323563892142,0.018545764765519713,0.02506654571063657,0.016573931573339647,0.012584228529590097,0.010285479189047108,0.02132531202298644,0.02602840491144684,0.008156796942366405,0.010606203450551523,0.016469231945604478,0.009486653464407262,0.01447335094257698,0.009661952439039119,0.00961007135477981,0.006429379693447176,0.006779936810988921,0.0,0.007036505389963128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006344292040451206,0.0,0.007816062007425259,0.0,0.0,0.0,0.0,0.009492941320061298,0.01321981915287399,0.020891001201232568,0.06726059037031397,0.07931098581076895,0.11570474140612365,0.11877523973844442,0.17010156789271275,0.17068199120803554,0.19215470289455971,0.16323054540293105,0.2027986209693774,0.18380054514991623,0.16791168110001983,0.12222362709149914,0.13550721503841776,0.1191229024809918,0.12793112790102645,0.11893611643845799,0.1279561637236749,0.10067641969482459,0.0939545130564375,0.10695740680042093,0.08777272238741805,F
