state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008261276642617173,0.0,0.0,0.0,0.0,0.007158503586410297,0.0,0.0,0.0,0.0,0.0,0.0,0.008854128237290636,0.012046197166132117,0.021344391761064778,0.01879404855129209,0.013029952603547406,0.008134975513723703,0.010572314632083451,0.013153691489561605,0.011692943308713191,0.009969692135906844,0.0,0.01142552462200556,0.009814120556656918,0.01508815795145924,0.011316057485572028,0.013806433798149937,0.02877214856019373,0.024362909905959167,0.01610491199815944,0.028714316479624802,0.0,0.0179199426561835,0.0,0.016371205388465315,0.011825083366837736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014623731391301804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08701705534284719,0.10704727921498662,0.10654165778819519,0.0,0.0,0.0,0.0,0.0,0.12216404886561956,0.13101867016049787,0.0,0.0,0.08999742864489586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021045985478270017,0.020003333888981498,0.026652452025586353,0.0,0.0,0.034877232142857144,0.0,0.03553519958937103,0.031535793125197095,0.02751356025469696,0.0,0.030432136335970784,0.026781828529342838,0.02757764831603985,0.03734383487235198,0.02284371634631074,0.03004306172180125,0.032866627226714,0.031579612202362155,0.0214987714987715,0.02812385746829035,0.0,0.017639350871887914,0.012449889195986157,0.012302241468395541,0.0,0.0,0.0,0.01256018421603517,0.0,0.0,0.0,0.0,0.012018749248828172,0.0,0.0,0.0,0.0,0.0,0.011452130096197893,0.00925497454881999,0.0,0.009079353550027237,0.0,0.0,0.0,0.0,0.0,0.009692583558147424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.06079437989732505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151372952680815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013266118333775535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017306527445268106,0.014546300875687312,0.0,0.0,0.017594275995542783,0.0,0.020281233098972416,0.0,0.0,0.0,0.0187863986473793,0.0,0.0,0.01934385639121015,0.043404490391824174,0.0386981927943965,0.027865132757453927,0.04017839206074973,0.03091906933601299,0.040051265619993594,0.022751403003185195,0.01836210062431142,0.02332180199790104,0.01919901701032907,0.02319468068656255,0.027180243845616212,0.019426528867821896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02245979696343545,0.0,0.02705749718151071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.03422982885085575,0.0,0.024664714043471557,0.01480735629460716,0.013966480446927373,0.0,0.0,0.0,0.0,0.0,0.0,0.007568418503269557,0.0,0.0,0.007565784496194411,0.007569449701006736,0.00777000777000777,0.014828874784981317,0.0077193849194096215,0.022115506129154555,0.022895644921255336,0.023464630979570127,0.03202195791399817,0.0407717510010921,0.028670472020225712,0.03215472376710453,0.03951007506914263,0.029594867404424435,0.02079925879005039,0.022893074081987732,0.026495105199154875,0.024358611427480463,0.02841303716425261,0.019080934965813322,0.01732761365977933,0.025158426886288655,0.022306905846268238,0.018414934511889143,0.026816608996539794,0.024376306230344105,0.01744717488517104,0.016902070871118034,0.018359720932241832,0.021748734155707345,0.014994165313932188,0.018824928168037252,0.02136344067922794,0.031628623591195344,0.04179928910246089,0.031852902049203366,0.03056902048124372,0.03436393314305897,0.027945187030739706,0.029803298231670973,0.033222354000257207,0.02537934978820754,0.028668239390160923,0.032849397365952444,0.045901244600960164,0.03585996682953068,0.03926623359994537,0.0365573642551129,0.03104549799429743,0.029903129598589834,0.026166494751532064,0.01775896642815388,0.01815686835921269,0.019682327238372665,0.015036604734650915,0.013149847094801225,0.011455582486223154,0.006470112491728549,0.009275655620204064,0.008841390971834643,0.007187924287197507,0.008350075656746102,0.008378156470450242,0.0033646922652454205,0.0056673792451504236,0.004164651823539075,0.0040856054506783306,0.0057167854763822195,0.0076960175674427676,0.004759877406713014,0.0041192382155460045,0.0036207664884135475,0.005088109089058869,0.0050221112397639605,0.0051358137411549876,0.0062886429965955575,0.003386883728281608,0.0036828343092844256,0.005127679212388473,0.0033820918237930163,0.00568298060967016,0.004151395461931703,0.0047277002259840705,0.003941508020968822,0.004686286586508851,0.0037064492216456637,0.006197408106209804,0.003407991057431465,0.0035223546236187965,0.003608623165917276,0.003058384561274735,0.003255036151245255,0.0,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.06306306306306306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038481272447408926,0.0,0.0,0.0,0.0,0.03861003861003861,0.0274830978947947,0.0,0.0,0.03372031408063972,0.0,0.0,0.0,0.041425020712510356,0.024282790439518507,0.02686547115320035,0.03484651693223936,0.018187880808754435,0.0,0.03173229482186644,0.019668998847958637,0.029728926245236615,0.02430921319179969,0.016279132864856063,0.03474356575887966,0.05500261917234154,0.04887711264888226,0.06859796316817054,0.05955120049806459,0.04552438399817903,0.06312533535334407,0.030273470348817656,0.039423108512106175,0.06106183314050649,0.04328736627295777,0.06165228113440197,0.0671735214191933,0.06404303692081079,0.04789577878536305,0.06342159505311559,0.05644225643598507,0.05243838489774515,0.05270709496061609,0.04014106717894314,0.021331058020477817,0.03792379844765252,0.0556039067788415,0.04358897887081603,0.02520219029944784,0.020846362309776944,0.02529142620651599,0.0,0.0,0.012094530853148206,0.012190661952944045,0.019515050983070693,0.012275360895610331,0.0,0.0,0.0,0.0,0.020189274447949525,0.015158788307521284,0.014630934672876687,0.019028137858858787,0.027605880052451175,0.018188845690380376,0.0,0.01341291663872309,0.0,0.016213461805716405,0.025510204081632654,0.016698473282442748,0.019619383951343928,0.015435274747890512,0.021728502362974633,0.0,0.025583444668694392,0.0,0.0,0.01445295562942622,0.017625286410904176,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027076789775804178,0.0,0.0,0.045459137286594606,0.03536782538399353,0.0,0.04488513485942792,0.0319744204636291,0.018155959693769482,0.024116309515606695,0.020946063885494852,0.019741666196626994,0.012730420613097057,0.0,0.022911475785434027,0.03127665624111459,0.018523909074069173,0.014702639123722707,0.016644869813339673,0.022687054766550207,0.015327683986949572,0.023622385431430658,0.01607587814484366,0.020477955480924785,0.022350001015909136,0.04048173261815606,0.044791921166218746,0.046081984038876436,0.05160171730515192,0.06612936557139905,0.05851121464947449,0.05452314962060976,0.052440884820747526,0.04627938131774449,0.05788432781824321,0.06239800326389556,0.05136245674740484,0.07174272435197604,0.0836848095333735,0.06481323554494287,0.055731652095161795,0.06033931994037055,0.05220659891410274,0.04468121670390102,0.032868787799105965,0.051865538591202305,0.02842165098212594,0.03410323980778174,0.015180957007529755,0.032407271013169134,0.0,0.0,0.0,0.0,0.02835197690602608,0.0,0.015982951518380393,0.0,0.025526845732762288,0.01751211254450995,0.017999640007199856,0.0,0.0,0.0,0.0,0.0,0.020282604286390372,0.0,0.0,0.0,0.0,0.0,0.0,0.024531850519257502,0.0,0.03156850365292685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056420672534416606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05924872615238773,0.0,0.0,0.0,0.10178117048346055,0.0612369871402327,0.0,0.0,0.08325008325008325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031590586005370395,0.0,0.0,0.0,0.0,0.012543588971676576,0.011626825411589619,0.011555083081047352,0.01923323503013207,0.015229102815480382,0.01737921445950643,0.013302421040629396,0.009066347531233566,0.014975539951412691,0.007804451659226423,0.007204818582668087,0.016310996330025827,0.00775514424568297,0.005949547834364588,0.010103051121438673,0.01197304975346402,0.013713658804168954,0.026872829502232513,0.010350252546162127,0.015820782179470954,0.028898331388939432,0.020645890381188334,0.017405632462664918,0.02888990538555986,0.019845945845375274,0.021989835809225956,0.025525891375729515,0.02837715420800454,0.02415299826537558,0.029488782467149498,0.03036965949537774,0.015524612481788436,0.03539957267658698,0.03466204506065858,0.019549147779338995,0.021520031562712958,0.01564717847842366,0.021396040713608903,0.012598608338340473,0.017524280351592404,0.010707975657202006,0.010225471649879851,0.00976411524910699,0.009569072756849862,0.006914726061602526,0.005864027854132307,0.007662141359542501,0.009567219970888316,0.010642298168815229,0.004369960888850045,0.005875613267134757,0.00449048018201413,0.005321737014961684,0.0061705541157595955,0.006940106877645916,0.007707960781895542,0.003883344336142286,0.004567913453266439,0.004596714881098308,0.003860974046532459,0.006802001299938026,0.008932359706125366,0.008723529540051905,0.009212409824680754,0.0,0.0037646917093959176,0.004830567833248798,0.004185991996383303,0.005102431308518509,0.0,0.0076676009780451025,0.006734516924682846,0.0,0.004216242653197177,0.006098198417953096,0.0,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076286379067017586,0.0,0.00637137468780264,0.0,0.00716187020303902,0.007103113531431278,0.005720103877086408,0.011428310210052342,0.00785669390320553,0.00679001867255135,0.0,0.0,0.01058736339360288,0.008300821781356355,0.00723667547128849,0.012077440548798899,0.010811330274127286,0.010287007509515483,0.00949191153538449,0.015521158160601657,0.018294914013904134,0.01230802893754359,0.014323662690765146,0.014894855858417624,0.013291391608701433,0.02949944106322196,0.019157699798844154,0.01702823280999898,0.03114510156763678,0.021271025590680018,0.016524828554903743,0.01740396177457123,0.02107164358819988,0.013631819696464815,0.021077353888771792,0.008981094795455566,0.007341497078084163,0.0,0.0,0.014780774243829028,0.009237997202206562,0.007613150448541447,0.010046212577858147,0.010421416009900345,0.0,0.0,0.006769655695311336,0.0,0.0,0.0,0.010445500600616284,0.0,0.0,0.006220685021834604,0.007501594088743858,0.008628340400354994,0.0,0.007343491830365339,0.009462640313213394,0.007157598387154496,0.010002750756458026,0.007932835327559992,0.0,0.0,0.00882391870229569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
