state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012963106997485157,0.0,0.0,0.015767482195884686,0.0,0.019354660325711284,0.025837567823615536,0.017272648760687452,0.014623731391301804,0.02913668016666181,0.0,0.036607343996395585,0.025950808800207604,0.04892218315242318,0.02285938214355692,0.03026939763898698,0.0,0.0,0.02083116342047703,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.6207674943566591,0.3386550556361877,0.28808066258552395,0.3818876159301691,0.4107713372889092,0.6226149829282989,0.2972027972027972,0.3477656059815684,0.4148102627131664,0.3583061889250814,0.38022813688212925,0.37692559816453625,0.584435558289757,0.4256568325260532,0.39670878636497203,0.46815151085260315,0.5734571272528673,0.28460543337645533,0.2552881108679796,0.30194894317869886,0.16794961511546536,0.1846153846153846,0.07202535292422932,0.20202020202020202,0.06496881496881497,0.10514018691588785,0.0782822634757325,0.0790871088012654,0.09638038123795245,0.19545314268079417,0.08873114463176575,0.13975155279503107,0.17942117169826038,0.10592357206876885,0.19587268275620845,0.2565785548063727,0.20941190157640627,0.20879182890356074,0.20868801142292273,0.21670708425777824,0.2482668165636125,0.1963409192324855,0.18772131916890653,0.14089176197579978,0.1522248243559719,0.16183015189966532,0.14149403185429743,0.10172226314497178,0.13668944824137358,0.1199360341151386,0.10610431380350807,0.09169949735090341,0.0732421875,0.11971567527123082,0.13424408733762389,0.11037527593818984,0.12577627545004325,0.11888397666901958,0.09129640900791236,0.08704094272036424,0.1309938295011893,0.10863661053775121,0.12400874587997258,0.11683412891811598,0.10845986984815618,0.10421272026779511,0.06756756756756757,0.1124954298731614,0.08902621036369825,0.09071666162685213,0.08714922437190309,0.08365524198508968,0.0688967024612753,0.082174743481544,0.06766195215645189,0.039773916684111364,0.06128201985537443,0.08873651305838459,0.06362714493070606,0.105433901054339,0.10616561836464884,0.1038717692824701,0.11574536020754342,0.1460574360998717,0.13860547491625919,0.14488274156782444,0.13933424950374101,0.14252660805182785,0.13406263406263408,0.12529507899037587,0.09770308919403833,0.11294526498696784,0.11973180076628352,0.09244629710559048,0.08259343382201115,0.07915609905820396,0.078403299756268,0.08046256619449486,0.0742718349157918,0.06820577475559597,0.03932444738802881,0.04404454791417605,0.025032333430681297,0.01932491625869621,0.017731675421681407,0.030742308510889868,0.01973943939992104,0.018147408809270734,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016838661566957736,0.012109762890842597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03937524609528809,0.03107796128573966,0.02166941145878478,0.031255581353813185,0.02696386841632213,0.04042763453418381,0.035839082519487496,0.03156708004509583,0.0354421407052986,0.07194891626944869,0.0,0.024603877571105204,0.031525851197982346,0.0,0.0,0.0448681996634885,0.02772387025228722,0.028449502133712664,0.0,0.0,0.0,0.0,F
California,0.057155921353452224,0.0,0.0,0.044009779951100246,0.08932196508323183,0.05241251734237706,0.047383540142742916,0.0446927374301676,0.04224862070679457,0.09672379157262964,0.10738476788369404,0.0893247429537982,0.10601740147693209,0.1176373125673101,0.07417050133204166,0.1176218990590248,0.14186584425597534,0.11953939503987168,0.12111119521610778,0.13053613053613053,0.12011388575834865,0.183721361081949,0.09162138253506888,0.0752285475984104,0.059443731814910986,0.05641964013418725,0.045140152894066254,0.04691531785127844,0.050018459193273704,0.04299625816347875,0.04333534155647863,0.034980571601448386,0.02365617655138732,0.035326806932206495,0.02962533822261137,0.057457475154377505,0.0556527269836222,0.04729970215237061,0.0631334108655923,0.058555627846454135,0.0741201114103538,0.05709342560553634,0.0695324144931127,0.07927085980436407,0.06650597451461662,0.05759912449330771,0.06558602643830497,0.05899878090916796,0.057795832094851216,0.053408601698069845,0.05260998775565166,0.04984952255923114,0.05527415355597055,0.055835251695332926,0.06077325213263206,0.07104137907814552,0.06634781868241037,0.0753754483231642,0.0714911261639649,0.09498513050956932,0.08229282020542726,0.09819856426926724,0.10350490425796358,0.12804206608677837,0.13390674996816634,0.15563598336614898,0.15856527931883818,0.1399338632364541,0.12949246353862204,0.13093895451355306,0.13187159249709685,0.1315702914281955,0.1201834862385321,0.11365143677121393,0.10616866406881846,0.11749163785591814,0.11742472384467886,0.11261081383276096,0.11690105919444542,0.13117799273733521,0.1352606290628659,0.13579040671380416,0.1522411611049284,0.20283829413955948,0.20704705660114733,0.18085641283490503,0.19541941130893983,0.20266652020486342,0.1893939393939394,0.18147589084309967,0.17354184395184355,0.17433234421364985,0.15693022750595279,0.16228817864682707,0.14334724311522454,0.14129604940803792,0.14402074349651925,0.14179036621127047,0.12632103334163614,0.133951506402882,0.11955907663605428,0.1024288353908363,0.10378057820607858,0.0754017986255526,0.07361260684051965,0.062345676838052706,0.055933659071717774,0.057727008594060616,0.04516362659852791,0.04091705346068766,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03597639948193985,0.03120319520718922,0.029448141822251014,0.0,0.07871631849833484,0.02954384306310565,0.030526894193784727,0.03241280954233113,0.1271051795360661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028960324355632783,0.0234953205153307,0.0,0.0,0.0,0.03022365504735039,0.02534292140526499,0.018187880808754435,0.0506797042690198,0.03461704889658157,0.0,0.016215777951947244,0.0,0.0,0.0,0.01571503404924044,0.0,0.0,0.01624123649947216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04150967494731464,0.025368638021246236,0.0,0.0431845522687313,0.0,0.028672190842102246,0.02666382252559727,0.027810785528278512,0.026593172807272025,0.03441235174011792,0.013746649254244278,0.016213837352048732,0.013795323385372359,0.020692033567076676,0.011902494762902303,0.0,0.014628794343532855,0.0,0.014730433074732397,0.02940599882376005,0.03518206719774834,0.04329004329004329,0.05114566284779051,0.05299684542586751,0.05558222379424471,0.09997805359799067,0.0689769997383631,0.05751225010927328,0.08184980560671168,0.06490309296808558,0.0693000693000693,0.08094544277157197,0.1042293973224626,0.05333951762523192,0.05725190839694657,0.05885815185403178,0.059168553200246964,0.04617306752132109,0.047470121746900476,0.03979646948463572,0.04324137334601747,0.02308669052291354,0.037577684636508166,0.020562834146054875,0.040623730508421614,0.022927516294913367,0.02005615724027276,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01459342712042496,0.0,0.0,0.0,0.0,0.0,0.0,0.020282604286390372,0.0,0.01715324710967786,0.0,0.022152482924127748,0.0,0.0,0.0,0.0,0.03156850365292685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08643042350907519,0.0760225026607876,0.0,0.11530700490054771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09400263207369806,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00543312904768114,0.0,0.0,0.0,0.0,0.0,0.0,0.007685044902619502,0.0,0.006073931899075548,0.015524612481788436,0.01517124543282299,0.01668913280698376,0.0,0.010760015781356479,0.01452952287282197,0.01528288622400636,0.005814742310003295,0.011067966537847834,0.01695429479056984,0.013633962199839802,0.006509410166071326,0.0207329909731747,0.021512481080541192,0.010995052226498075,0.011841491192020229,0.014350829956332476,0.017737163614692047,0.013838209481358476,0.029378066335673785,0.012723027182373368,0.024327940639824838,0.024682216463038382,0.016964705700912238,0.02929025097120306,0.02796007922022446,0.024362205084087672,0.018386859524393232,0.027799013135033707,0.038544674032982146,0.02530835250068854,0.025443627825151388,0.03401505166035971,0.028534537490815443,0.031623410358925706,0.020127365971869995,0.02679034877685314,0.0280633721968518,0.020656000137706666,0.022150847269908073,0.01936173615846318,0.014161946017994002,0.024454207388543626,0.011325225633341464,0.007235039295307173,0.01408768173109433,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012122844827586207,0.01083144911249814,0.01757469244288225,0.027122689485889417,0.037015493628047166,0.020891001201232568,0.04695550648493616,0.060722473511369966,0.062206850218346044,0.052511158621207005,0.07272458337442067,0.05894054372651587,0.06364359586316627,0.06860414227079711,0.04891025564555573,0.03375928380304584,0.07139551794803993,0.050575293968896186,0.0418054174054693,0.048531552862626295,0.03311158604497155,0.029734029109614497,0.03010733264086468,0.025169104923706147,0.021058770167822198,0.00862559732261459,0.023286640633396628,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03431002538941879,0.035293287216771364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05197505197505198,0.061990789939780376,0.05176429988784401,0.042564058908657526,0.05991611743559017,0.041883062489529235,0.0,0.0,0.0665889795238888,0.07414730598121602,0.04012841091492777,0.071360608943863,0.03912056959549331,0.06114805472750898,0.0,0.03840245775729647,0.04202033784351626,0.06205673758865249,0.04728132387706856,0.04762811964183654,0.0,0.0,0.04918839153959665,0.0,0.0,0.0,0.0,F
