state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.7764734653949621,0.6270001959375613,0.5596505596505597,0.5267706489979012,0.43356027503979944,0.43576087266098945,0.42259032215990605,0.3546766262729398,0.36131930372793636,0.3656307129798903,0.3209242618741977,0.2827681513766344,0.36748676424789783,0.3326553097720146,0.29281981414075686,0.3345813749701267,0.2727919664742627,0.26627561455640025,0.2540168941394674,0.20825171653023775,0.29063817593843383,0.24551665243381726,0.21151444341485034,0.2117349166157339,0.1886906076239035,0.2257609352953034,0.21522287984768845,0.24374521574473226,0.19932230416583618,0.21736529334343718,0.18478239947644987,0.14697292306532758,0.12344426406926408,0.14078808965126627,0.12436539575454018,0.10860426008968611,0.10290910207968544,0.08536652530704411,0.13974446725986767,0.08581481163648846,0.08432193533379856,0.06219805016345069,0.06872163442953885,0.0490273832355189,0.05732055085049367,0.06943741229910165,0.045386851996312316,0.0457162449819278,0.03376642442927402,0.038367889028259425,0.028609718269563777,0.015245994115046272,0.025058731401722788,0.030946137433425086,0.029285911849405336,0.021144629264166902,0.0,0.00974411942392766,0.0,0.023689665383476458,0.01142552462200556,0.009814120556656918,0.01508815795145924,0.022632114971144056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017272648760687452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028091860383453897,0.045134187411033574,0.052764879696074296,0.07885587297035736,0.10078011272442239,0.0871425176265547,0.06466998100319307,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13110455588331696,0.0,0.07338910905621607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014681515971392018,0.010430138929450541,0.0,0.0,0.0,0.024674299249901305,0.018147408809270734,F
Arkansas,0.4775860197546945,0.5124206305001671,0.35135960892147877,0.33774655498513917,0.31424391829658127,0.22066458982346834,0.23401896785318388,0.21097046413502107,0.20890637512621427,0.20960175666234157,0.22409322278067675,0.18273471959672338,0.19822239273610845,0.20281404487260743,0.13926311646634978,0.1664548150838327,0.17616516256644826,0.15340784571553803,0.12066769457665752,0.14833794079967635,0.12581456868185045,0.13784547522227583,0.11855934375801078,0.10142319646654671,0.09759476136506737,0.11152761857554448,0.10345402970131821,0.10309278350515465,0.09585356049596487,0.065359477124183,0.08210902906073136,0.08801067484314226,0.11594359209426484,0.04775802600159194,0.039074492729353316,0.050168211060615,0.0605296343001261,0.0529222273354809,0.040893892376897355,0.04117319382886483,0.04708681321404674,0.04290870541911709,0.03917165017104954,0.03453589076032092,0.042505711705010364,0.024906600249066,0.030202355783751134,0.016498473891165065,0.019957234497505347,0.020190948686146126,0.0232740814010997,0.02037786381764723,0.014460897732531236,0.0,0.017826900793297084,0.0,0.0,0.0,0.019316206297083253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022198543775528327,0.026003293750541737,0.0,0.02696386841632213,0.0,0.0,0.0,0.0,0.0,0.023498449102359244,0.05412853065643146,0.0,0.02651113467656416,0.04399956000439995,0.039259674705552444,0.060992514555031886,0.07965860597439545,0.10694551720040402,0.11324315822585718,0.11160714285714285,0.14488753967158824,F
California,0.06858710562414265,0.0,0.0,0.039119804400977995,0.0,0.027747803298905502,0.02961471258921432,0.019553072625698324,0.014911277896515732,0.0,0.020650916900710393,0.009502632229127467,0.00913943116180449,0.0,0.01059578590457738,0.0106928999144568,0.0,0.013618412093149937,0.0,0.0,0.007414437392490658,0.0,0.0,0.0,0.0,0.009149130832570906,0.0,0.006516016368233116,0.009527325560623563,0.0,0.0,0.0,0.0,0.0,0.003950045096348183,0.004419805781105962,0.0,0.0023415694134836934,0.0033228110981890677,0.0027883632307835297,0.004603733627972286,0.004757785467128028,0.003196892620372997,0.0026550048738303756,0.0,0.001799972640415866,0.0,0.0016298005776013249,0.0016513094884243206,0.0,0.0021920828231521525,0.0018577461823315953,0.0018737001205413743,0.0,0.0,0.0,0.0,0.0,0.0025021894157387717,0.0,0.0,0.0,0.0,0.0,0.0,0.00245096036797085,0.0,0.0,0.0,0.0,0.0016401939365310555,0.0018795755918313644,0.0,0.0018087761820352352,0.0,0.0,0.0,0.0,0.0,0.0016756312940900484,0.0011215640884151403,0.0011334758490300848,0.001388217274513025,0.0014419783943570579,0.0,0.0,0.0013221881685313926,0.0013730794051820016,0.0016711229946524064,0.0,0.0,0.001711937913718329,0.0,0.0,0.0016997696812081963,0.001994097471484406,0.0016910459118965081,0.00142074515241754,0.0017791694836850158,0.0,0.002627672013979215,0.0020084085370752217,0.006738998584810297,0.00723030945724477,0.004430388374660905,0.008805886559046992,0.008660695598201462,0.00611676912254947,0.008544469897018793,0.009803044058289752,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02954384306310565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011502450021854654,0.011368028556487733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013580313976859146,0.013961800513794257,0.02842604963188266,0.02017930756147482,0.02020085420754935,0.04914004914004914,0.023500381881205568,0.03437392581481829,0.03275359470701909,0.05348308597406071,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.166333998669328,0.18832391713747645,0.0,0.21996150673632117,0.0,0.14326647564469913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.40221216691804923,0.4294149221685454,0.35722516708919105,0.3772364733778832,0.2958823045943947,0.2978934676218172,0.2293259207783183,0.34306471142203687,0.25686502354596047,0.26086440979427283,0.23888888888888887,0.19374770906425093,0.17364657814096018,0.19693985759733373,0.2323710787380463,0.14698871762275545,0.1285704357495309,0.17536809031456652,0.1821267436566083,0.13948946854512484,0.12827560930914422,0.14228799089356858,0.09868568608980396,0.14261126137201868,0.13385645049619202,0.10027029383555672,0.08685079034219212,0.09199247334309012,0.0908229347654399,0.09175013380227846,0.1100031936411057,0.07199424046076314,0.08566449059167577,0.04264820250370036,0.06278485722258395,0.057775415405236764,0.06624780954823267,0.030458205630960765,0.042482524234349055,0.043707954847782296,0.041705198643674404,0.028287131019335086,0.031217806636905692,0.02881927433067235,0.021747995106701102,0.02455795677799607,0.022608281770585433,0.020206102242877347,0.01306150882196075,0.018988142959618547,0.01550355548205722,0.011385277800778339,0.010547188119647301,0.013914011409489356,0.009779632285826054,0.009283003980087957,0.01203746057731661,0.009922972922687637,0.006108287724784988,0.006961606738835323,0.0,0.00658718134510243,0.0,0.006073931899075548,0.0,0.0,0.00770267668014635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003856596322349747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036348039750216275,0.0,0.0,0.0037646917093959176,0.0,0.0,0.0,0.006885333379235556,0.0,0.009259960771438914,0.010829723425524825,0.014335225020870401,0.016552252848729833,0.011756938854874156,0.007513430256583643,F
Georgia,0.7925317255798123,0.6470733514448013,0.5602338367318533,0.49733570159857904,0.4543792761268084,0.41377439120898996,0.4410838059231254,0.34386597613905606,0.38597558656881015,0.3749889449013885,0.33851705472978777,0.3450329270001401,0.32451671435550283,0.37535130241243375,0.34619002822201317,0.3588937193599112,0.34190752594123963,0.3522126910185764,0.2638010629631067,0.33075852610773854,0.25656090873482174,0.2317100199472104,0.19244326734371128,0.22668790589388554,0.20524034219511259,0.21521906225980014,0.22365273537019392,0.18410963064191627,0.19333370512892012,0.17823690959023697,0.17751899453241496,0.17230790227924117,0.1509267847878378,0.12379787731932304,0.11418479667493872,0.1027879247908661,0.11643197633006411,0.09941821930922748,0.10171517208935676,0.08423752467405107,0.07900504612875274,0.06181921588506572,0.06684412189503086,0.044986385699064754,0.0308885609362666,0.04114191675618843,0.03030439076950705,0.03621343292027387,0.02796616094525624,0.030640143301593287,0.0235274742080064,0.03201745544237451,0.015679463521125064,0.014492928658558677,0.010811330274127286,0.011572883448204918,0.0,0.0,0.0,0.0,0.006510755768529611,0.006770389026553466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007464822026201526,0.008751859770201167,0.0,0.0,0.006119576525304448,0.0,0.0,0.0,0.007932835327559992,0.008429215661482699,0.010090962822009832,0.013235878053443536,0.013545648836579272,0.028247327654133774,0.03161269927290792,0.031461381154632685,0.042117540335644396,0.046578225542118795,0.04836456131551607,F
Hawaii,0.0,0.0,0.0,0.0,0.27731558513588467,0.0,0.0,0.0,0.0,0.0,0.17523364485981308,0.1559656875487393,0.19337684312303602,0.1155001155001155,0.1464741577735928,0.12468827930174563,0.1875,0.09721952167995333,0.0,0.0,0.08641548565502938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Idaho,0.0,0.0,0.0,0.0,0.18286311389759666,0.0,0.0,0.0,0.0,0.0,0.0,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038217534204693114,0.0,0.0,0.0,0.0,0.06619385342789598,0.05715374357020385,0.06771135616173342,0.12378594553418396,0.08853910477127398,0.08040201005025126,0.09388691842269978,0.05563591854901524,0.05540780141843972,F
