state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.042797750061139644,0.058781268369146364,0.03185003185003185,0.024692374171776617,0.05758222402872337,0.045569764461279944,0.0652145558888744,0.0779213800145095,0.0878884792851737,0.08705493166187865,0.07274283269148481,0.07653874774104391,0.08097165991902834,0.08687176879396559,0.10167354657665169,0.0896200111527125,0.09686091563216573,0.059815536603249335,0.08265629095014415,0.061856945504031015,0.08186990871505179,0.05764304013663535,0.07856250755408727,0.05893652318169912,0.08230122247425577,0.04837734327756501,0.04966681842638964,0.04633173522420531,0.07374925254135938,0.07378454911657958,0.0692933998036687,0.08290780275480018,0.08285984848484848,0.07282142568168946,0.06473815121469215,0.0648122197309417,0.0552944429084877,0.05645205705788402,0.04705681040383299,0.040046912097027945,0.05669923237962317,0.04194752220325745,0.031497415780205304,0.041817473936177886,0.028660275425246837,0.049184833711863676,0.031203460747464717,0.0228581224909639,0.016149159509652792,0.017708256474581272,0.010540422520365602,0.0,0.007830853563038372,0.0,0.008134975513723703,0.008810262193402875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.24189646831156267,0.21606049693914295,0.0,0.11410314924691922,0.0,0.08741258741258741,0.0,0.10754340144415425,0.21172638436482086,0.0,0.08194034742707308,0.09227929867733005,0.13210039630118892,0.0,0.11349127535820683,0.0819224467504096,0.09055627425614489,0.09725261366399222,0.06862475981334065,0.12596221133659902,0.0,0.10083549409392106,0.0,0.09095634095634096,0.0,0.0782822634757325,0.0,0.0,0.0,0.0,0.046583850931677016,0.07020828457758016,0.04073983541106494,0.0,0.0,0.0,0.045144179222391514,0.04393431819429952,0.04643723234095248,0.0468427955780401,0.05800981704596163,0.02559836170485089,0.045582628874523454,0.0,0.0,0.03265246888945325,0.021045985478270017,0.02667111185197533,0.01665778251599147,0.02321031864451739,0.020377666077978536,0.0,0.026187803965581742,0.0,0.0,0.019652543039069256,0.01857562135453431,0.02366943937242172,0.016738642830839277,0.0,0.0,0.0,0.0,0.016433313613357,0.0,0.0,0.01687431448097421,0.0,0.012599536337062798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010083694665725522,0.017895134511761078,0.0,0.0,0.0,0.009978048293753742,0.0,0.011550456243021598,0.0,0.013360818445564207,0.0,0.0,0.0,0.017764198035279698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.07638252367858234,0.06079437989732505,0.07043398168716476,0.03894080996884735,0.057478342981483764,0.0640446051838457,0.04526304794401309,0.04657816814718701,0.05762397157217402,0.06616257088846882,0.0479570305006714,0.022182786157941437,0.06963155823317489,0.06355547485019067,0.0432686364198294,0.06261544723083184,0.05363008647851445,0.03708448519991909,0.04839021872378863,0.05858432696946723,0.028838759292489108,0.06543432030099788,0.05666792595391009,0.04027386226339106,0.04004672117470382,0.028994845360824743,0.04019665440153365,0.028011204481792715,0.026392187912377938,0.03974675638077393,0.03235635128212042,0.03183868400106129,0.039074492729353316,0.02065749867201794,0.025220680958385876,0.020708697653014266,0.021649707728945658,0.0,0.01734777328938564,0.022716373457179636,0.01305721672368318,0.021252855852505182,0.015939641889378884,0.01383700013837,0.0,0.016498473891165065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.09144947416552354,0.09540973179264285,0.08992805755395684,0.08312958435207825,0.06902151847340642,0.08632649915215046,0.09772855154440727,0.06424581005586592,0.0795268154480839,0.062002430495275415,0.07640839253262845,0.06081684626641579,0.05483658697082694,0.04473531604672355,0.052978929522886894,0.05804717096419407,0.044718581341557435,0.03480260868249429,0.048444478086443116,0.045066045066045064,0.04893528679043834,0.03242141666152041,0.03159358018450651,0.03434346738188301,0.03597910083534086,0.025922537358950903,0.02184200946487077,0.014335236010112856,0.021436482511403017,0.0162688544402352,0.0137404741520542,0.017017575373677592,0.010683434571594274,0.012907871763690838,0.007241749343305003,0.014522218995062446,0.013250649281814809,0.014049416480902159,0.012341869793273681,0.01394181615391765,0.014731947609511312,0.018166089965397925,0.014785628369225114,0.014792170011340665,0.017269507194403212,0.012239813954827887,0.011554015020219527,0.013364364736330863,0.011889428316655107,0.010034343349334335,0.012839342249891177,0.013623472003765033,0.014989600964330994,0.014660652679780154,0.018772889402226656,0.016834450018517896,0.02057846782662996,0.015718102967863624,0.013583313971153331,0.016233822305271848,0.023705750676460528,0.0210694237512604,0.024449977383770923,0.03286413029560645,0.04312947468299836,0.03798988570354817,0.04249392100852239,0.026924943874764882,0.02848834197849685,0.02967949635640536,0.027227219346415518,0.030386472067940394,0.027828746177370033,0.022308239578434565,0.019704433497536946,0.01911347218708716,0.01906424928301845,0.011979873811995848,0.013663760165584531,0.017235064739211926,0.015477584420128934,0.014281795697779069,0.015501759565395446,0.016342421802713322,0.014416241636094292,0.012057094188993669,0.010313067714544863,0.00933693995523761,0.009191176470588236,0.008762854542268052,0.0055801235997377345,0.007703720611732481,0.008003727450212527,0.003386883728281608,0.0070823736717008185,0.0059822924144532184,0.00789154758885037,0.00568298060967016,0.0050409802037742115,0.0056732402711808854,0.0036130490192214206,0.003347347561792036,0.0053911988678482375,0.0017215022517249451,0.003407991057431465,0.0017611773118093982,0.003969485482509003,0.0,0.004068795189056568,0.0038359737619394685,F
Colorado,0.0,0.0,0.13983569306065372,0.0,0.08609027179928669,0.08108108108108107,0.08177952240758914,0.05341472720335749,0.08883422167555009,0.05756223917110376,0.06240639041437844,0.07656516873785264,0.06535559384469133,0.04844081138359067,0.041361380288347904,0.0,0.038895371450797356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032067727039507436,0.03206361421059382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01734485031394179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013191915993878952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.13651877133105803,0.11997600479904018,0.13572467280659234,0.06492979465952439,0.06990155530960564,0.06312211701869386,0.0692790647326261,0.10624483532050526,0.05367892335416587,0.06221484861053505,0.06462296538632417,0.08716668647727722,0.08088203993018603,0.08958280010238034,0.08232146532208273,0.051726367515841205,0.0570025431903885,0.043929010718678614,0.03996802557953637,0.03230570426435296,0.036506342977092265,0.024585730442051434,0.041277539858624424,0.0,0.032763610549882596,0.0,0.0,0.026528013582342955,0.0,0.0,0.0,0.0,0.0,0.0,0.027561496589264795,0.0,0.0,0.012730420613097057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013138014845956775,0.0,0.0,0.0,0.01015909137086779,0.0,0.0,0.0,0.0,0.010332713370531103,0.0,0.0,0.0,0.0,0.012059234962134001,0.0,0.0,0.015596244424342619,0.0,0.0,0.0,0.021296230567189607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.7246376811594203,0.0,0.36900369003690037,0.3955174686882004,0.5389514943655072,0.39090262970859985,0.2328675981370592,0.31387319522912743,0.4642271982523211,0.41242782513060217,0.4314994606256742,0.25787965616045844,0.3488372093023256,0.3406627438835553,0.19157088122605362,0.3359086328518643,0.23600809170600134,0.16778523489932887,0.0,0.0,0.0,0.4158004158004158,0.27313076135199726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944543828264759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.13407072230601644,0.0,0.16132749481447337,0.12933821944384566,0.1561601052025972,0.12766862898077877,0.15288394718554552,0.14798869904480022,0.152895847348786,0.1837908341732377,0.2,0.14661988794051423,0.11746680286006128,0.1312932383982225,0.13406023773348824,0.18274273001747973,0.16679407881020222,0.12787256585437143,0.14073430191647004,0.13483981959362068,0.12369433754810336,0.14228799089356858,0.10317139909388597,0.09343496434718465,0.1107777521347796,0.061034091899904094,0.06079555323953448,0.0669036169767928,0.0671299952614121,0.08410428931875526,0.0461303715269153,0.042542051181360035,0.05612501107730482,0.05268307368104162,0.044181936564040555,0.03697626585935153,0.0341924178313459,0.032361843482895815,0.03475842891901286,0.041807608984835244,0.04714500716241455,0.02329528436886419,0.01716979365029813,0.03746505662987406,0.024466494495038738,0.023265432737048907,0.023798191337458353,0.01908354100716194,0.02285764043843131,0.008439174648719355,0.0165371258475277,0.019665479837708038,0.018984938615365144,0.016054628549410796,0.01738601295257965,0.020886758955197902,0.01444495269277993,0.014884459384031457,0.006108287724784988,0.011602677898058873,0.007640003056001223,0.010978635575170719,0.00825685909080186,0.013362650177966203,0.01194200960137572,0.0,0.0154053533602927,0.0,0.007173343854237652,0.01005890045041521,0.012226308979205087,0.008722113465004943,0.007378644358565222,0.0,0.007669103737409888,0.0,0.008771650027112374,0.006146423165868912,0.005864027854132307,0.004875908137890682,0.005466982840507609,0.005675892356701456,0.004369960888850045,0.005141161608742913,0.009729373727697282,0.0060819851599562096,0.006941873380229545,0.0,0.004624776469137325,0.003883344336142286,0.0038065945443886986,0.0,0.0,0.004534667533292017,0.005954906470750244,0.0036348039750216275,0.0,0.0,0.0,0.004830567833248798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Georgia,0.06807020955900228,0.08397135095085206,0.05915512561764911,0.09365412562570645,0.054838878153235494,0.08365930314061547,0.06721277042638102,0.0691925439792003,0.08556109061870175,0.09020960466967365,0.12028524787352865,0.10333473448227548,0.08723567590201689,0.08676462266820077,0.10724365004703669,0.09989825178059383,0.12125790164195126,0.13823401314169934,0.13965938627458588,0.09075691265151363,0.09792401096748923,0.11484757510426952,0.09717432311415125,0.08985826900298166,0.0863160317642997,0.09607993850883935,0.07390264299189016,0.07592149717192423,0.09666685256446006,0.08548096684429733,0.08165873748491088,0.1057731677357718,0.09590139450060528,0.060389208448450256,0.08373551756162173,0.0759049290763319,0.061640458057092756,0.07855266710852542,0.05848622395138015,0.060349271408275396,0.06116519700290535,0.04574621975494863,0.05371402652279265,0.05682490825145022,0.041184747915022135,0.03428493063015703,0.03030439076950705,0.01923838623889549,0.023305134121046865,0.025926275101348168,0.02117472678720576,0.020159138611865433,0.020503913835317387,0.012077440548798899,0.014415107032169713,0.007715255632136611,0.008135924173186706,0.009877100647655599,0.0,0.0,0.007812906922235532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007484245662879638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Hawaii,0.0,0.0,0.5235602094240838,0.49504950495049505,0.49916805324459235,0.6291635825314582,0.5003335557038026,0.5716004813477737,0.3546099290780142,0.35597745476119846,0.29205607476635514,0.363919937613725,0.290065264684554,0.2541002541002541,0.4394224733207784,0.20781379883624274,0.3125,0.21388294769589733,0.19448373408769448,0.2573056423451571,0.22468026270307642,0.12417952811779316,0.0,0.08911067545891997,0.14186912573151267,0.0,0.09337068160597572,0.10343044302706429,0.0836540070269366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
