state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.5808266079726094,0.48331265103520343,0.5778505778505779,0.49384748343553236,0.44710903363479315,0.39873543903619946,0.435633233337681,0.40841550904156704,0.3979395034300921,0.38957081918690695,0.34017971758664955,0.3678112044222388,0.33634381812519465,0.36020001695058906,0.36399129674441305,0.35250537720066916,0.33604807464220765,0.3222320842820206,0.3084490857407818,0.25979917111693024,0.27426419419542347,0.25832621690862506,0.2638894484509085,0.22919759015105212,0.2208081578577594,0.19754081838339044,0.22143123215098712,0.21554328995608557,0.19732908112417782,0.18147010728672275,0.1674590495255327,0.1620470690207458,0.18601190476190474,0.1375515818431912,0.1499199291287608,0.13312780269058294,0.13670015052376125,0.09775844027096987,0.10124344056582249,0.12157098315169199,0.09886020004652245,0.06509098272919259,0.09449224734061591,0.07354107485327835,0.0716506885631171,0.04484499544316982,0.060988582370044675,0.057145306227409744,0.04844747852895838,0.054600457463292264,0.048184788664528466,0.03811498528761568,0.03915426781519186,0.022802417056207957,0.029285911849405336,0.037003101212292076,0.030065580547569384,0.015590591078284255,0.02592119955335779,0.019741387819563715,0.0,0.01766541700198245,0.0,0.01357926898268643,0.01840857839753325,0.0,0.0,0.018405613712182217,0.0167500179464478,0.015969338869370808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017588293232024765,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3824884792626728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547645125958379,0.3933910306845004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12955765315565426,0.0,0.08574858514834506,0.09818360333824251,0.0,0.0,0.0,0.0,0.1038241910365115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08032128514056225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.28216704288939054,0.43541364296081275,0.28808066258552395,0.4091653027823241,0.22820629849383844,0.0,0.24475524475524477,0.2608242044861763,0.13827008757105547,0.2931596091205212,0.29381265122709993,0.19665683382497542,0.12303906490310675,0.16145603992367533,0.19100793417572728,0.2553553695559654,0.0819224467504096,0.2716688227684347,0.12156576707999028,0.2607740872906945,0.13995801259622112,0.07692307692307693,0.18726591760299627,0.13468013468013468,0.19490644490644493,0.23364485981308408,0.10064862446879892,0.10168342560162692,0.139216106232598,0.14401810513321675,0.15084294587400177,0.11645962732919254,0.14041656915516032,0.09777560498655585,0.04197271773347324,0.077570260755415,0.06398696992612413,0.06207324643078833,0.07139326706573672,0.061916309787936635,0.08431703204047217,0.049085229808121376,0.03413114893980119,0.04143875352229405,0.0507416081186573,0.044135495972635996,0.05804883358125022,0.05612262794205339,0.050008334722453744,0.019989339019189766,0.04973639709539441,0.04075533215595707,0.04534040178571429,0.03741114852225963,0.023690133059580683,0.023651844843897825,0.0,0.01857562135453431,0.0,0.023434099963174988,0.0,0.02376425855513308,0.0,0.0,0.0,0.02526368976188972,0.015356265356265357,0.0,0.01309208975936739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.5101487029197872,0.6349559986632505,0.32080659945004586,0.4323155903809781,0.3738419028011053,0.3894080996884735,0.361292441597898,0.3051537070524412,0.32728665436440235,0.3659713211564694,0.34894516118705377,0.36546943919344677,0.3325020781379884,0.3232348840157181,0.28155369198631586,0.3147509230676109,0.22870564964766965,0.2786387401772017,0.28155795401220085,0.2461061290540085,0.21936899154784179,0.2412295816389827,0.2339143809279672,0.21593325699329297,0.1825966502959325,0.20446730072183153,0.17019856499249122,0.12886597938144329,0.1793389196376117,0.14628073451602863,0.13782587020908477,0.17318229565908638,0.18065629465850566,0.09020960466967365,0.12280554857796756,0.10918963583780913,0.10844892812105927,0.11504832029452369,0.10343749248274037,0.0871902928140667,0.10160838640925875,0.0681491203715389,0.049617423549996084,0.05313213963126295,0.07438499548376813,0.052580600525806,0.041185030614206086,0.035746693430857644,0.0541696364932288,0.049035161094926304,0.04363890262706194,0.03784460423277342,0.02892179546506247,0.020526655328133248,0.02674035118994563,0.04056246619794483,0.02909090909090909,0.02271608677545148,0.0,0.0,0.0,0.0,0.0,0.01972931381446553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.3200731595793324,0.4134421711014523,0.19184652278177458,0.21515892420537897,0.25172553796183517,0.20656698011407432,0.22507181567802884,0.19553072625698326,0.22366916844773596,0.18352719426601521,0.15075169337518585,0.150141589220214,0.12795203626526286,0.1209510396818822,0.15439573746669896,0.1084565562752047,0.08326908249807248,0.11197361054367727,0.08477783665127545,0.07614607614607614,0.07562726140340471,0.07410609522633237,0.07898395046126627,0.0703223379724271,0.07352251040265308,0.07014333638304361,0.04368401892974154,0.057340944040451425,0.04406388071788398,0.04764450228926023,0.05179101795774276,0.033089729893261983,0.025945483959586093,0.02853319021447448,0.02896699737322001,0.021467628079657526,0.025971272592357028,0.022479066369443454,0.020886241188616997,0.021842178641137654,0.02163754805146974,0.02508650519031142,0.019181355722237985,0.01517145642188786,0.018371816164258734,0.018719715460325,0.016651374587963435,0.01988356704673616,0.012549952112024835,0.018126555727829764,0.01691035320717375,0.0133138476400431,0.019361567912260867,0.014036795118938444,0.011454644381019655,0.013467560014814316,0.013837245607561523,0.014289184516239659,0.01108112455541456,0.012434417084889075,0.009820953851676504,0.013544629554381689,0.011817489068822611,0.011523785947810054,0.014376491560999453,0.006535894314588933,0.008262706862768242,0.011755961410108609,0.007399569345064117,0.009776775270345294,0.00623273695881801,0.005012201578216972,0.006727828746177371,0.0036175523640704704,0.004705536357620763,0.00477836804677179,0.0038681085501776568,0.0037270718526209302,0.0063258148914743205,0.004787517983114425,0.004261943535977533,0.003853817886702288,0.005090130006547758,0.002643627056321273,0.003976894244439804,0.0033349409458918655,0.0021155010696502284,0.0030207746914004035,0.001949643493761141,0.0016960363630196232,0.001953043259908207,0.004850490755535266,0.0014292370446808084,0.0019756821748309382,0.002549654521812294,0.0022789685388393214,0.002254727882528677,0.002273192243868064,0.0023722259782466876,0.0,0.004926885026211028,0.0036820823179712393,0.002358649504683604,0.00378730495379488,0.005111986586147198,0.004579061010704436,0.005412934748875914,0.0057344710523901275,0.008951349415924452,0.004262193068821632,F
Colorado,0.3711104767342278,0.2844950213371266,0.2272330012235623,0.2433830240340736,0.20907637436969623,0.22522522522522523,0.19627085377821393,0.2441816100724914,0.27333606669400023,0.20146783709886315,0.23090364453320023,0.19435773602685671,0.1841839462895847,0.2058734483802604,0.19498936421649726,0.21368825935649308,0.2074419810709192,0.22243406418811568,0.1612303112985241,0.1787652429291962,0.13222516055912353,0.19562062219978543,0.1644304130491976,0.12988788624555647,0.1310272536687631,0.12827090815802974,0.10901628831601898,0.11943863839952225,0.13236648250460406,0.05168255426668199,0.09928295642581356,0.04946957621063046,0.06559031281533803,0.06723657669772357,0.04335468953225107,0.06757409016314316,0.0469906410306614,0.0383716468413158,0.03452085059375863,0.031220730565095226,0.04701457451810061,0.06335730351316249,0.021219194276880172,0.03279274982113046,0.020193278523005915,0.019668998847958637,0.021621037269262993,0.02160818950382195,0.0,0.01603549188871369,0.028810895756940808,0.0,0.0,0.013534363749560132,0.0,0.015781333838336017,0.020182313565878435,0.0,0.016068903458028024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020562834146054875,0.0,0.0,0.01671346436689397,F
Connecticut,0.40955631399317405,0.46490701859628075,0.3005332040717402,0.25971917863809757,0.28543135084755633,0.20393299344501092,0.1775276033773544,0.22429465234328885,0.23005252866071085,0.16175860638739112,0.16559634880245566,0.15848488450414042,0.1915627261504406,0.14930466683730056,0.15229471084585305,0.1206948575369628,0.114005086380777,0.08785802143735723,0.06217248423483436,0.08768691157467233,0.09126585744273068,0.09834292176820573,0.05675661730560859,0.05506304718903145,0.07644842461639273,0.04873822159644753,0.038031076822775185,0.03713921901528013,0.0303060915243964,0.0,0.051874557887290736,0.02448280083241523,0.02557953637090328,0.015129966411474568,0.0,0.0,0.0,0.0,0.0,0.0,0.022746659084446973,0.0,0.0,0.0,0.0,0.013138014845956775,0.010737447923377571,0.01607587814484366,0.0,0.012190909645041348,0.0,0.0,0.010473178190653736,0.014448480845442537,0.010332713370531103,0.0,0.01363078740515244,0.01668573607932876,0.014614541468761417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,1.4492753623188406,1.6331658291457287,0.5166051660516605,0.0,0.7839294463498285,0.31982942430703626,0.5322687957418496,0.31387319522912743,0.24576734025122884,0.16497113005224084,0.2696871628910464,0.3151862464183381,0.1744186046511628,0.2787240631774543,0.5108556832694764,0.26872690628149143,0.23600809170600134,0.2348993288590604,0.0,0.2792321116928447,0.16170763260025875,0.0,0.0,0.0,0.21536252692031585,0.0,0.0,0.0,0.0,0.1567398119122257,0.0,0.0,0.0,0.16433853738701726,0.0,0.0,0.1073345259391771,0.0,0.0,0.0,0.0,0.0,0.0,0.06512960791976032,0.06165988407941793,0.0,0.0,0.060108194750550986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07853403141361257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.7038712921065863,0.6083378064054392,0.42636552200967964,0.42034921319249835,0.4273855510807923,0.40428399177246616,0.4100069492703266,0.3632449885645096,0.40364503700079507,0.23714946344933893,0.32222222222222224,0.3403675970047651,0.3983656792645556,0.33328283593394936,0.33515059433372063,0.26219609089464485,0.30926402112725,0.25209162982718936,0.2317976737447742,0.2557306923327289,0.3161077515118197,0.2418895845190666,0.22428565020409996,0.24588148512417013,0.2538656819755366,0.18746185369256257,0.17370158068438424,0.18398494668618023,0.157952930026852,0.1376252007034177,0.11710017387601575,0.12435368806859087,0.12111186600892092,0.09031384059607135,0.05580876197563017,0.07626354833491253,0.0790699662349874,0.05710913555805144,0.08689607229753216,0.043707954847782296,0.036265390124934266,0.04492661985423808,0.04370492929166797,0.0403469840629413,0.032621992660051655,0.03489814910557336,0.027367920038077104,0.031431714600031434,0.02176918136993458,0.027427317608337907,0.02480568877129155,0.026910656620021525,0.014766063367506221,0.027828022818978712,0.032598774286086846,0.010443379477598951,0.02888990538555986,0.01612483099936741,0.019546520719311962,0.01624374905728242,0.009822861072001572,0.010978635575170719,0.01297506428554578,0.019436582077041752,0.016718813441926005,0.01643551588555824,0.0,0.007330930417252124,0.008368901163277261,0.00894124484481352,0.006113154489602543,0.00775298974667106,0.007378644358565222,0.005353987828601003,0.005112735824939926,0.004882057624553495,0.004784536378424931,0.006914726061602526,0.0043980208905992305,0.0,0.006833728550634512,0.0,0.003641634074041704,0.0,0.0,0.0,0.0,0.0,0.006166368625516433,0.0,0.0038065945443886986,0.0,0.0,0.003778889611076681,0.004466179853062683,0.0,0.0,0.0,0.0,0.0040254731943739986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Georgia,0.5445616764720183,0.5384045443319339,0.5045584243858307,0.4488939124818343,0.3708152713218781,0.41603545345603365,0.4011762234824617,0.4235422389029837,0.3821728714302012,0.39444591845759264,0.39006787524701436,0.3450329270001401,0.3227720008374625,0.37346511496312507,0.3217309501411101,0.31079456109518083,0.3220291814097722,0.32002120850612586,0.3763044574620786,0.2521025351430934,0.27810419114766943,0.28409663315266664,0.2762799382657241,0.22873013928031696,0.20140407411669928,0.24788624135280551,0.1944806394523425,0.20309000493489732,0.1375643671109624,0.1655057017623629,0.15976709507917347,0.18766207178927255,0.14621032276321788,0.1253076075305343,0.1294094362315972,0.13441497857267107,0.1082132485891184,0.10678253185065174,0.10171517208935676,0.10058211901379233,0.08537642081655539,0.07171029042667623,0.060875896725831664,0.05682490825145022,0.03889670636418757,0.036570592672167494,0.04826254826254826,0.04526679115034233,0.03845347129972733,0.03653247855189969,0.02705659533920736,0.02608829702711997,0.02171002641386547,0.024154881097597797,0.01801888379021214,0.018002263141652094,0.01627184834637341,0.01693217253883817,0.02251681724788201,0.01230802893754359,0.010417209229647378,0.009478544637174851,0.01624503418841286,0.00931561296733325,0.012771799865896102,0.010216939685999387,0.012111983942969858,0.011453629164212317,0.009914897132942246,0.012657426745142713,0.01053582179409994,0.0,0.0,0.008981094795455566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006780672371472354,0.0,0.0,0.0,0.0,0.006220685021834604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007207830587149879,0.0,0.0,0.0,0.010537566424302638,0.007865345288658171,0.0,0.0,0.0,F
