state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.020576978476480514,0.023710327541239033,0.02848110278829996,0.026085822355549758,0.013434720692156808,0.029296159761724568,0.0,0.019255455712451863,0.031891144892101625,0.02076196408180214,0.014831765403847784,0.034569005836061574,0.011949334820361666,0.015814027041986242,0.019295334388144948,0.018144063867104814,0.020618981834677003,0.012280486307257766,0.014944491887275833,0.022158655976793847,0.02182834191914782,0.01806612200654395,0.018141503729086877,0.016555606142129878,0.024173079247411466,0.0,0.013959239022055597,0.017323349950917177,0.01695841419984549,0.010146103896103896,0.01456428513633789,0.011925448907969607,0.02102017937219731,0.012287653979663934,0.020653191606542932,0.00998174766141912,0.01430246860608141,0.014538264712723889,0.010125263980096623,0.017180408607384713,0.0,0.010031096398836392,0.0,0.0,0.01857222452390817,0.0,0.011805504316387515,0.0,0.007622997057523136,0.009397024275646045,0.0,0.008134975513723703,0.0,0.0,0.0,0.0,0.009870693909781857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011488178664154585,0.0140324617615417,0.0,0.0,0.0,0.0,0.0,0.030826140567200986,0.03871467286101432,0.03206816776232907,0.018868369537017385,0.03152661573905663,0.029399514908004017,0.025234682547693548,0.05149595756733096,0.12963106997485158,0.1301100731218611,0.1741435774808962,0.19446561374924448,0.2028985507246377,0.235020875383637,0.30143829127551464,0.22742320868238478,0.2895498815477757,0.3030214737332828,0.37877725091888553,0.35199369227303445,0.35177763040281423,0.3699740100902003,0.30696884592776436,0.2757878451552147,0.40555186518896624,0.4459582835873306,0.3194111724473145,0.3130716195300408,0.3906950069894978,0.3769922735246911,0.3881803057910164,0.3516430217048624,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06428387760349705,0.0602990834539315,0.0,0.0,0.0,0.06398771435884311,0.0,0.10395010395010396,0.07849293563579278,0.0,0.06888950124001103,0.0,0.07911392405063292,0.20060180541624875,0.3251754235837755,0.44373446929357474,0.3022222222222222,0.7547864506627393,0.5587632706276774,0.3799392097264438,0.5611455108359132,0.5586592178770949,0.4069767441860465,0.5359877488514548,0.7107184018440261,0.6455287640022783,0.6027500470898475,0.6359606860666795,0.5685159772593609,0.5751685838952797,0.5209418628881017,0.38183279742765275,0.346797225622195,0.6272214091574326,0.41887125220458554,0.5660841742554762,0.4681404421326397,0.3026967528893781,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02526368976188972,0.0,0.014061928734145175,0.01309208975936739,0.025199072674125595,0.03734966758795847,0.03198582781782841,0.03563622541100447,0.02443032914316173,0.02182643617950061,0.03558718861209965,0.0428974138987621,0.05243521226177271,0.059650448372536934,0.07704785077047852,0.07211249549296903,0.052954235320474954,0.08980243464378368,0.1460574360998717,0.18480729988834557,0.26658424448479695,0.2691250572606505,0.35354002776492366,0.3432003432003432,0.3849645905211549,0.4263407528467127,0.3892267593397046,0.3780103995621237,0.44038054257572196,0.45108721548944547,0.4846291779073712,0.48064631589712126,0.48277539716696916,0.4837706003974547,0.46297253167434843,0.5174269393161686,0.4404454791417605,0.44223789060870294,0.41655930602078506,0.4676729392468471,0.4989713150613664,0.4367350967232531,0.43813029839525053,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.02596053997923157,0.0,0.022603978300180832,0.0,0.026616096084106863,0.01920799052405801,0.0,0.0,0.015844847255672454,0.0151372952680815,0.015132255916712063,0.030906168871306712,0.01565386180770796,0.0,0.0,0.0,0.0,0.016021532940271723,0.01635858007524947,0.018889308651303362,0.0,0.0,0.025773195876288662,0.01855230203147707,0.0,0.01759479194158529,0.014195270135990687,0.0,0.0,0.0,0.01770642743315824,0.0,0.0,0.012027615404969811,0.0,0.0,0.017668290466695272,0.01305721672368318,0.0,0.018596248870942033,0.0,0.019219680953296174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02355620116995799,0.040766408479412965,0.0,0.02995164948012494,0.022054607207445637,0.0749228735125606,0.10371202627371331,0.14387234599119325,0.15312595703723147,0.19534718522464925,0.23836352604663258,0.2321843186283265,0.2606507280244472,0.22459796963435452,0.26879311889615626,0.2570462232243517,0.33670033670033667,0.3732350031477651,0.3336779772535013,0.3247711839385887,0.48339638503572935,0.40296924708377524,0.39049609503904964,0.3309029725182277,0.4380371499861381,0.46657183499288757,0.5050204978907967,0.4466813463353256,0.4726890756302521,0.4415620256657927,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002373436498706477,0.0032530904359141183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017872781540991224,0.0027632037966420163,0.0030478822298306394,0.00263367796890755,0.0032599969845027894,0.005121682643471135,0.006982867329628306,0.0098038414718834,0.014558102567734522,0.015927431587889087,0.017019009493647468,0.014315992360148466,0.017058016939922975,0.015349867333289477,0.020489296636085626,0.023514090366458056,0.022351297698698626,0.025859403547235576,0.02431382517254527,0.026621941804435216,0.033147270031325435,0.03447012947842385,0.04463825071892258,0.0414852160745011,0.05020719142822107,0.05070957353488987,0.06984420516797407,0.15263768175428155,0.21816104780767978,0.2509989152672699,0.2896613190730838,0.33468450896920565,0.3440146199238313,0.3829034467016663,0.3847506124280736,0.37594409383925853,0.4005790548713983,0.41562688727082125,0.43882641413714385,0.43531631470073423,0.4498333511250282,0.4617387220711109,0.4457188653712244,0.44118040864419034,0.43196980928634005,0.47238021787332496,0.4259988821789332,0.4417032698017971,0.40163975836659277,0.42740924243814415,0.42274782014297746,0.3908431044109436,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02159227613436565,0.023425375538051595,0.014336095421051123,0.021331058020477817,0.015169519379061006,0.01450536698578474,0.03441235174011792,0.018328865672325702,0.030111412225233364,0.04138597015611707,0.03678583745258075,0.06903446962483337,0.04595921724196318,0.07314397171766426,0.08293896667805044,0.09083767062751645,0.1176239952950402,0.1331892543914759,0.14514896867838042,0.2608428805237316,0.34574132492113563,0.36381091938051086,0.3901582579433783,0.45191827414789615,0.38648232073431643,0.4524475365482118,0.39837070856273216,0.41356492969396197,0.41166539466685165,0.45166072173067123,0.5171614100185529,0.48187022900763354,0.40219737100255054,0.3678740481580572,0.37753272855668424,0.3546297330503742,0.3780664601040393,0.3574620196604111,0.39247373888953013,0.3179650238473768,0.3201927031314259,0.3062404299865629,0.28495627395106615,0.2607300441235459,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017073587160662457,0.013991884706870015,0.013350778350377826,0.028763433831027897,0.033506881798030824,0.025595740868719446,0.03729355354288758,0.04146739280678959,0.03970842669540801,0.06129239390578483,0.13199736005279894,0.19803790140759248,0.199916164189211,0.1955880466846223,0.22909507445589922,0.2547138604035726,0.2028260428639037,0.32142116541093524,0.3121890973961371,0.31772097672426103,0.32490308288720693,0.3671599984859381,0.32294029449079237,0.29438220623109,0.3321399301212095,0.22097952557048797,0.3186772584518751,0.324446325292707,0.3041825095057034,0.23884231723879548,0.2643722361084407,0.254602428515472,0.3162619873495205,0.23234936896023659,0.22058012573067165,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08086253369272238,0.0,0.12113870381586916,0.1181753722524226,0.0731528895391368,0.1292156609381057,0.12121212121212122,0.06837139340899767,0.2303484019579614,0.13264554163596168,0.49012327342937767,0.29616466755516063,0.39543057996485065,0.37453183520599254,0.42572601490041057,0.4435245416913069,0.3459210147016431,0.3549770743972785,0.4921700223713647,0.7139602005164818,0.3980404164115126,0.42789223454833597,0.4352921479993303,0.34806822137138876,0.4694835680751174,0.39985459832788073,0.41785375118708457,0.309315866084425,0.2820078962210942,0.32529659395331034,0.2851904664901202,0.35157108327840036,0.4908835904628331,M
Florida,0.0,0.0,0.0,0.0,0.0,0.04964891127030286,0.03474635163307853,0.0,0.0,0.06521610244856821,0.0,0.0,0.03575076608784474,0.0,0.0,0.0357540123947243,0.017374383209396067,0.04018852069708816,0.02483546504408295,0.0,0.0,0.028457598178713718,0.0,0.0,0.0276944380336949,0.0,0.0,0.03763328454944596,0.023692939504027802,0.0,0.0,0.032724654754892335,0.01476973975718548,0.012543588971676576,0.0,0.023110166162094704,0.01709620891567295,0.00951818925967524,0.011586142973004287,0.017103112766523508,0.01087961703748028,0.01830343771839329,0.007804451659226423,0.012968673448802558,0.008155498165012914,0.0,0.005949547834364588,0.01234817359286949,0.01088459068496729,0.008439174648719355,0.0,0.01552537881924319,0.005273594059823651,0.007492159989725037,0.00543312904768114,0.0069622529850659675,0.008426222404121627,0.007442229692015728,0.006108287724784988,0.0,0.0,0.005489317787585359,0.0,0.006073931899075548,0.008359406720963003,0.0,0.011554015020219527,0.010996395625878183,0.015542245017514915,0.013411867267220278,0.008150872652803391,0.013567732056674353,0.014757288717130444,0.016061963485803007,0.013633962199839802,0.012205144061383738,0.011163918216324838,0.013829452123205053,0.019058090525929997,0.027165773911105227,0.0280182870576015,0.03902175995232251,0.03350303348118368,0.04480155116190253,0.050143695365824456,0.09122977739934315,0.16043440700974948,0.18584063972362952,0.198865388172905,0.2407673488408217,0.28016535846700824,0.3171733267957833,0.32741059914595255,0.35521562344120805,0.3766478342749529,0.3889240253273141,0.430857321031223,0.43586506017220594,0.43745717663180567,0.4371663889090162,0.45627312760578004,0.46602205951135717,0.48111266987408446,0.4489806350477521,0.4082800885588976,0.43652115961346216,0.4334297447486698,0.44691082691570544,0.424154178687383,0.40572523385551673,M
Georgia,0.03889726260514416,0.04445542109162756,0.0,0.016147263038914905,0.015668250900924427,0.011305311235218307,0.035706784289014915,0.025160925083345564,0.024717648400958282,0.03714513133457151,0.020620328206890626,0.0245201064873196,0.03489427036080676,0.030178999188939397,0.026340545625587956,0.018499676255665527,0.02186617898461416,0.022723399420553313,0.025216278077355783,0.0342859447794607,0.03133568350959655,0.028208176341399528,0.017148409961320808,0.03267573418290242,0.026853876548893235,0.013451191391237509,0.023337676734281103,0.020878411722279163,0.022307735207183092,0.0,0.026627849179862245,0.020472226013375186,0.014149386073859797,0.018116762534535077,0.009134783733995098,0.018976232269082974,0.01506766752506712,0.009819083388565677,0.015257275813403517,0.023888253265775677,0.016565574188286865,0.016072996130117086,0.011936450338398368,0.00947081804190837,0.011440207754172815,0.012571141231057577,0.00561192421657538,0.014711707123861257,0.00699154023631406,0.011784670500612804,0.008234615972802239,0.008300821781356355,0.0,0.0,0.0060062945967373806,0.0,0.006779936810988921,0.0,0.0,0.0,0.0,0.00812446683186416,0.0,0.0,0.0,0.0,0.0,0.0,0.013219862843922995,0.009493070058857033,0.01053582179409994,0.0,0.018066303333232964,0.011974793060607423,0.016151293571785158,0.015567947012369441,0.01666643518840016,0.02821784173821905,0.03299284715073772,0.04060346905888772,0.03892907373920032,0.04038298703836384,0.022495997035821568,0.0390625,0.04467972758905482,0.1054481546572935,0.16273613691533653,0.16128179366506265,0.1801848853606309,0.21954871951064747,0.22306214759278764,0.30979011408736334,0.2688071215133216,0.3229464549847155,0.3229450625015349,0.3463680313322318,0.3832369326851425,0.35907285242225057,0.40886243717022186,0.4244066900244595,0.39476826681277305,0.4569764592253024,0.3956056884862567,0.37175280695945334,0.4519572424661404,0.38236312453898147,0.4231555765298096,0.40173653858614655,0.422654268808115,0.4030380109626339,M
