state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.036683785766691124,0.0,0.050050050050050046,0.04115395695296103,0.023710327541239033,0.03702543362478995,0.03391156906221469,0.04836499449176452,0.017089426527672664,0.036998345956298424,0.012836970474967908,0.02763899223982141,0.03114294612270321,0.03178235443681668,0.034569005836061574,0.043814227674659444,0.019767533802482803,0.030872535021031915,0.03830413483055461,0.026804676385080106,0.03479471120389701,0.02134927412467976,0.028201925788646713,0.019645507727233037,0.01806612200654395,0.020157226365652085,0.018625056909896114,0.016115386164940976,0.01195933824995017,0.019941770031508,0.011548899967278117,0.02261121893312732,0.020292207792207792,0.017800792944412978,0.02044362669937647,0.015765134529147982,0.01996743771695389,0.019276312166106736,0.02138945927446954,0.01573271546668955,0.014538264712723889,0.013018196545838516,0.0,0.012977836738813827,0.010031096398836392,0.008679676537387706,0.00851003474930856,0.017143591868222924,0.01027673786977905,0.007378440197742197,0.0,0.0,0.0,0.009772464452660553,0.008134975513723703,0.008810262193402875,0.0,0.0,0.013957568990269582,0.0,0.009521270518337968,0.0,0.0,0.0,0.0,0.01918143237346249,0.012181454952979584,0.01610491199815944,0.0,0.018250672993566638,0.013439956992137625,0.018381085862647334,0.011693718134618085,0.011825083366837736,0.0,0.02603488674824265,0.02168256721595837,0.01916856355576854,0.0,0.03871467286101432,0.022905834115949333,0.056605108611052155,0.13095671153146599,0.10044834260234707,0.14888462703139196,0.159637468458726,0.1996318477612714,0.2940487652554061,0.30150231325050686,0.45988489737997007,0.4874835309617918,0.5834047612464401,0.6775184451525852,0.7484814462964562,0.7984557339650785,0.8099997086331983,0.9707920653180326,0.8729443568371255,0.8707938064069662,0.9417520256841462,0.8915159035987198,0.7802778058049977,0.7656539523826172,0.8357328464077534,0.8158872339686839,0.8266497819051638,0.8279866661887523,0.7353215632115263,0.7327893527687555,0.832626005416111,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06682705159048383,0.0,0.0,0.09493670886075949,0.08358408559010365,0.0,0.08874689385871495,0.08888888888888889,0.2761413843888071,0.18625442354255914,0.4559270516717325,0.29024767801857587,0.3790901835594573,0.32945736434108525,0.3445635528330781,0.3073376872839032,0.43668122270742354,0.489734413260501,0.5974176141838505,0.4900999803960008,0.5156683855612851,0.4584288393415295,0.6631832797427653,0.5711954304365565,0.752665690988919,0.7495590828924161,0.6399212404627123,0.7802340702210664,0.8530544854155201,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029834715675159617,0.0,0.0,0.0,0.0,0.0,0.02677376171352075,0.0,0.02486325211337643,0.0,0.0,0.0,0.03156897821740503,0.0,0.023320895522388058,0.0,0.0,0.0244140625,0.0,0.023690133059580683,0.0,0.019652543039069256,0.0,0.0,0.030129557095510694,0.0,0.02376425855513308,0.0,0.0,0.023006639058699794,0.015789806101181077,0.018427518427518427,0.0,0.015710507711240867,0.017639350871887914,0.0,0.0,0.01663023852513542,0.0,0.0,0.014653548252041031,0.012256403971074888,0.010083694665725522,0.04374366213986042,0.032441200324412,0.03204999799687512,0.054990936678954765,0.049890241468768706,0.049343728412118815,0.05390212913410079,0.07920256539041069,0.10497785921514736,0.12401665895418788,0.15193765193765194,0.2015616488106047,0.21317037642335634,0.24500434404865334,0.27025177887246854,0.2605304736612095,0.3049603710351181,0.376395328174725,0.3698590445023947,0.3929567186242772,0.383403255916655,0.40096728189653386,0.49259044622899245,0.4844900270559366,0.4172055571780216,0.4852701193850382,0.42999312897577413,0.47768817839998107,0.4268653770232925,0.4355378114224976,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.02596053997923157,0.0205279796362442,0.03013863773357444,0.024372410431391666,0.01663506005256679,0.01920799052405801,0.034656584751102705,0.02877421830040284,0.05070351121815186,0.0211922133753141,0.0,0.0,0.0,0.020111282429442916,0.03708448519991909,0.035486160397444996,0.02412295816389827,0.016021532940271723,0.01635858007524947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019873378190386964,0.0,0.013266118333775535,0.0,0.0,0.0,0.013805798435342843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03839803402065814,0.0,0.0,0.0,0.0,0.019879134860050888,0.02006501063445564,0.03520713531275672,0.07066860350987397,0.07337953526294333,0.1353924264861434,0.11552779085191049,0.08380750738829341,0.18069634200088144,0.18149604597899832,0.22670793913763787,0.28875180469877937,0.3107796128573966,0.42038658230042475,0.4911591355599214,0.5527593025346036,0.5884466804420089,0.5555057790520562,0.6133032694475761,0.7885876306928938,0.9173486824354707,0.7942475796597425,0.7873240822753665,0.719840269020597,0.6998939554612937,0.7369926300736992,0.7010656197420079,0.6321042417521486,0.6941678520625889,0.7189115322916048,0.6542938030827304,0.6959033613445379,0.6416448185456051,M
California,0.0,0.0,0.0,0.0,0.03654080389768575,0.024664714043471557,0.01480735629460716,0.01675977653631285,0.014911277896515732,0.017360680538677117,0.02684619197092351,0.0,0.020106748555969875,0.011598044901002403,0.015136837006539113,0.0213857998289136,0.020046260601387818,0.009078941395433294,0.02119445916281886,0.012432012432012432,0.01038021234948692,0.013894892854937318,0.0,0.008177016043305476,0.009385852391828051,0.0,0.0,0.0,0.0,0.011620610314453715,0.008455676401264123,0.006617945978652398,0.004578614816397546,0.0033968083588660093,0.007900090192696366,0.006314008258722803,0.0068903376265437005,0.004214824944270648,0.006170934896636841,0.003717817641044707,0.003682986902377828,0.008217993079584774,0.0075926199733858685,0.003792864105471965,0.0025720542629962227,0.003599945280831732,0.0023787677982804907,0.0026076809241621195,0.002972357079163777,0.0016184424756990861,0.0,0.002786619273497393,0.0,0.00218350146294598,0.002545476529115479,0.004376957004814653,0.0031932105248218897,0.0032150665161539234,0.0032171006773784204,0.004490206169543277,0.004741150135292105,0.0052673559378151,0.0036674966075656377,0.005548489530427063,0.00533983972265694,0.0028594537626326585,0.0066888579365266725,0.007963715793944543,0.011839310952102588,0.00803092254349792,0.011153318768411177,0.011590716149626748,0.013455657492354741,0.014771672153287752,0.014410705095213588,0.0115242994069202,0.012156912586272635,0.013044751484173257,0.020748672844035768,0.014841305747654713,0.02287990740366886,0.03604453199915669,0.040489670506629896,0.04422067076028311,0.05145106928743997,0.05823319959365027,0.06240728155468174,0.0810116849057381,0.0946969696969697,0.10402356359853687,0.12276271919423015,0.14808262953663545,0.1903743743514837,0.1865608453661786,0.18924102450784586,0.18915438872366366,0.21927228657591386,0.23158145984405903,0.23633301308282625,0.2634904925948455,0.2782047744800494,0.32435797873764827,0.34133027832064156,0.36013827106085855,0.34522949411780746,0.35822346522203163,0.3482321355110171,0.34024528244181423,0.35113702481558184,0.3622864108498387,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01957943376277558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02055076037813399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022937752673681797,0.01599829351535836,0.0,0.01450536698578474,0.018353254261396224,0.01603775746328499,0.0,0.018393764513829812,0.0,0.014282993715482764,0.02177015553566677,0.017066926734121662,0.05610577157632824,0.05646666011980752,0.0612624975495001,0.09046817279421003,0.14514896867838042,0.13553600654664483,0.17665615141955834,0.18695838912609586,0.2048330854202736,0.30682872297409797,0.38188134072557456,0.3683241252302026,0.48789221610491923,0.43144881854559275,0.4810472027567705,0.4864038541714921,0.5426716141001855,0.5558206106870229,0.5689621345889739,0.6508540852027166,0.5377804334836221,0.6925053054841953,0.6850677961283721,0.7754619620052466,0.6723998614798569,0.783350195114901,0.6110099289113449,0.5874816411987126,0.6648979725524876,0.7086508891563043,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01774685880599134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02319707201402134,0.017917018608103612,0.034629728289824184,0.024880435684073755,0.02836316192529143,0.04669896678535987,0.05399892002159956,0.07007494972884042,0.11285589913907071,0.1218417340002565,0.14400261822942237,0.1620906384386371,0.18254343857751335,0.24192990944909104,0.25386805722323236,0.28916178780522633,0.25106147314011446,0.33309360687384076,0.33062934912152553,0.3720663995420721,0.47017210887288097,0.5050960584468296,0.5957879179752448,0.644190529928998,0.6653992395437262,0.5479323748419426,0.5912324552970583,0.5287896592244419,0.601917975923281,0.6231187622115436,0.5790228300430131,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08638065073423554,0.0,0.08911332244170504,0.0,0.0,0.18726591760299627,0.19765850691804773,0.26611472501478417,0.38916114153934855,0.22186067149829905,0.41759880686055184,0.37976606410451164,0.4592774035517453,0.4437400950871633,0.46877615938389416,0.5743125652627915,0.39993044687880364,0.7633587786259541,0.9306742640075973,0.8187772925764192,0.9964278999811995,0.8036739380022963,0.7333469138317377,0.6811689738519007,0.9116409537166901,M
Florida,0.0,0.0,0.0,0.0,0.0,0.042556209660259595,0.0,0.0,0.042810837257660085,0.041501156103634314,0.0,0.04712782112373671,0.02553626149131767,0.03534817956875221,0.0,0.05164468457015731,0.027799013135033707,0.021921011289320814,0.0331139533921106,0.027897893709024967,0.0,0.0,0.022428565020409994,0.02950577821490042,0.0,0.030517045949952047,0.04342539517109606,0.02090738030524775,0.023692939504027802,0.03058337793409282,0.02129094070473014,0.022907258328424634,0.02658553156293386,0.015052306766011892,0.013952190493907543,0.0,0.0,0.0,0.015448190630672383,0.019003458629470563,0.014506156049973708,0.01663948883490299,0.014048012986607562,0.007204818582668087,0.009514747859181731,0.010340192327577293,0.013089005235602096,0.0,0.0,0.0,0.00930213328923433,0.0,0.006328312871788382,0.0,0.009779632285826054,0.010443379477598951,0.006018730288658305,0.0136440877686955,0.007329945269741987,0.0,0.008731432064001397,0.008782908460136574,0.0070773077921158795,0.010933077418335987,0.008359406720963003,0.010114163621881993,0.014121573913601642,0.007330930417252124,0.009564458472316871,0.01452952287282197,0.008150872652803391,0.012598608338340473,0.013834958172309793,0.008923313047668338,0.017894575387289738,0.01383249660290157,0.005581959108162419,0.01152454343600421,0.009529045262964999,0.016020841024497953,0.018451067086713183,0.03618381377397178,0.037144667555225386,0.0411292928699433,0.050143695365824456,0.062340347889551145,0.07481796865358509,0.09561925031423263,0.09557871369550472,0.1398003961011223,0.15607037631993667,0.1831024760970826,0.24864672859669038,0.2955091675861965,0.26648206456607343,0.2886034356167172,0.31038734640078236,0.3638153530078969,0.39905732119596726,0.4315307264368927,0.42948277882892694,0.4609196282028386,0.5129573367530489,0.47794712763147806,0.5084560278135548,0.5223258913695435,0.48824089924023306,0.43384325887723457,0.4775125934902734,0.5109132574476877,M
Georgia,0.024310789128215105,0.029636947394418377,0.03479713271626418,0.029065073470046825,0.02611375150154071,0.0406991204467859,0.01890359168241966,0.04403161889585474,0.026619005970262767,0.03537631555673477,0.0395222957298737,0.031525851197982346,0.027915416288645405,0.05281324858064394,0.026340545625587956,0.03144944963463139,0.0377688546097881,0.032191482512450534,0.03103541917213019,0.024201843373736966,0.01762632197414806,0.028208176341399528,0.02095916773050321,0.020422333864314014,0.024935742509686578,0.02498078401229823,0.019448063945234254,0.02277644915157727,0.014871823471455395,0.02546241565574814,0.017751899453241494,0.020472226013375186,0.0251544641313063,0.021136222956957593,0.018269567467990196,0.02055758495817322,0.01506766752506712,0.013501239659277808,0.01780015511563744,0.017601870827413657,0.01401702431316581,0.014836611812415771,0.019098320541437386,0.014206227062862556,0.008008145427920972,0.012571141231057577,0.0,0.005658348893792791,0.00699154023631406,0.012963137550674084,0.0,0.007114990098305446,0.00723667547128849,0.0,0.008408812435432332,0.010287007509515483,0.00949191153538449,0.0,0.01970221509189676,0.015043146479219944,0.010417209229647378,0.0,0.011814570318845717,0.00931561296733325,0.015964749832370128,0.015325409528999082,0.0,0.014726094639701552,0.016524828554903743,0.007910891715714196,0.025586995785671283,0.019690406228226952,0.015055252777694138,0.01945903872348706,0.014682994156168326,0.014152679102154037,0.013888695990333468,0.016124480993268027,0.025074563834560665,0.02410830975371458,0.043952180028129395,0.06513385006187716,0.05425505167462848,0.07947198275862069,0.10696055998591911,0.12843044477490873,0.17222907823539782,0.18243350430966104,0.23894082623909751,0.3413792228229143,0.41886114381312345,0.4279831295022208,0.5426153057524724,0.5780988068237847,0.5525675974360864,0.5911510923444098,0.5961463397324438,0.6692354491989455,0.6176698592112831,0.6438818007536193,0.7628440173641843,0.7150167942452681,0.6956189243643102,0.7134041720598416,0.6823959680656527,0.7045115837962336,0.619789208746264,0.6026048078792199,0.6175927682992047,0.6842689786121162,M
