state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,2.9713866471019807,3.0892822154006923,3.5672035672035673,4.177126630725544,4.166243267960573,4.397482270513514,4.353723751141255,4.57855281188704,4.584849002709895,4.859841560024376,4.937954642704321,5.0813224194748585,5.281843662410464,5.23985083481651,5.150781869573175,5.158129530789453,5.289792045544398,5.016786940917687,5.2658105356530855,5.0578362440462685,4.953129477260633,4.827070879590094,4.615043712984972,4.808783724788265,4.626934580564868,4.632130618826849,4.571416745995613,4.562668707948914,4.514650189356189,4.574642045227934,4.413604604161454,4.558044883269583,4.651988636363636,4.718828384173477,4.535077856145014,4.380955717488789,4.183946180075569,4.202236052211268,3.969883641341547,4.0747733058725935,3.8846243312398236,3.6653455607949774,3.4432402250633527,3.5458333934159105,3.258673315850565,3.205693867808526,3.018225657754769,3.010129005528808,2.7115906922117006,2.7846233306279053,2.83386788333258,2.7671479318808982,2.593578700078308,2.8486733879505515,2.778907635488017,2.9179588384550326,2.81864817633463,2.8413852240173054,2.8413622587334504,2.757871878393051,2.7764024831473515,2.630184309184054,2.4636806483597016,2.410320244426842,2.4759537944682224,2.4384395904764187,2.307167568094333,2.312205222592891,2.325859634849609,2.251676780581284,2.087673319445378,2.0793603382119796,2.158660367650498,1.8896483220206701,1.9088875136859145,1.824808880263189,2.030933795894767,1.7922606924643585,1.7452338044199944,1.7193869417685772,1.6698353070527063,1.5920186796858415,1.6563598884442827,1.614523360364554,1.5342686988997678,1.4264380246150676,1.3896450701304088,1.4077909911785371,1.2891823049332016,1.1904449057892939,1.1673254281949934,1.1806342798683884,1.171303074670571,1.1802976653136426,1.13480155596502,1.156726202616474,1.184029628798294,1.1995945032665014,1.063983160808512,1.0487693013300718,1.097250342890732,1.008979921299566,1.1257560395762682,1.01130697380434,1.1908481755372704,1.132686084142395,1.2509408939388509,1.1869657720876412,1.299215717341361,1.168101531870175,M
Alaska,6.086956521739131,9.523809523809524,3.731343283582089,7.2727272727272725,4.8979591836734695,2.8125,5.3125,3.6231884057971016,2.3391812865497075,4.6568627450980395,3.225806451612903,1.728395061728395,3.588516746411483,4.231625835189309,4.6082949308755765,2.564102564102564,3.9119804400977993,2.517162471395881,4.282655246252676,4.18848167539267,1.768172888015717,3.4653465346534658,3.1380753138075312,3.45489443378119,2.579365079365079,2.9082774049217,3.104575163398693,2.7491408934707904,1.8633540372670807,2.9654036243822075,3.25,2.7502750275027505,2.6004728132387704,3.7735849056603774,3.386454183266932,2.628696604600219,3.068450039339103,3.546099290780142,3.2473734479465137,2.7896995708154506,2.9710711493354185,2.9211295034079843,3.2715900890064953,2.6978055164082946,2.424578937627244,2.4645390070921986,2.7782541588063796,2.487317951235477,2.559971356963838,2.4439918533604885,2.158398607484769,1.8680167597765363,2.0591797888908117,2.0808459832850077,2.107142857142857,2.498558523928503,2.237136465324385,2.7015618404390036,2.211558522845817,2.0068807339449544,1.9839888618169161,1.8911685994647636,2.088216492648626,1.7808219178082192,1.848998459167951,1.7364657814096014,1.804275348107472,1.7222425796995238,1.6753926701570683,1.4575827055355388,1.6687461010605116,1.4053579270970575,1.3756749807148367,1.085383502170767,1.1324639670555936,1.218956482114377,1.2481822588463403,1.0877911441003327,1.4457831325301205,1.1564449064449065,1.2428048142333856,1.4167334937182572,1.143565720584183,1.1097957975732466,1.1550632911392407,1.0197258441992645,1.198014718466541,1.473198438054668,0.9422222222222223,0.6627393225331369,1.061650214192587,0.8738601823708206,0.890092879256966,1.097366320830008,1.1434108527131783,0.6699846860643185,1.3061851709565886,0.835390165179419,1.2808438500659258,0.9443052611293121,0.9998039600078416,1.0511701705672352,1.0835590748072514,0.7033762057877814,1.1219910240718074,0.9617394940413967,1.0361552028218695,1.1567807039133646,0.9362808842652794,1.1007154650522841,M
Arizona,2.109300095877277,1.794145420207743,1.9751693002257338,2.370585389453314,1.6564638098667626,1.718494271685761,1.711547238703788,1.5665796344647518,1.7482517482517483,1.686663189010607,1.1676140728222462,1.8566775244299676,1.7455928102315936,1.1799410029498525,1.753306674869271,1.4824600029355643,1.7631501616220981,1.4186409419775856,1.433642818132168,1.3971539456662354,1.6776075857038657,1.6881690914081802,1.847445766270119,1.7999999999999998,1.6565831172572745,1.6565656565656566,1.7411642411642412,1.7406542056074767,1.7445761574591812,2.0223703536323576,1.841936174769758,1.70764324657957,2.0319432120674357,2.0031055900621118,2.3324752320773854,1.8740324289089874,1.9097586568730327,1.8258845993197688,1.6985632016752954,2.1104903786468032,1.9221264210006042,1.8832877560497392,1.8830803822372117,1.811691209281571,1.8004181065745126,1.66998176694845,1.7056986729117878,1.7028945529442052,1.5745746108914125,1.4732189834789013,1.673612268711452,1.6158049040511726,1.5252495109254285,1.5317212335280532,1.6531808035714284,1.530115974560419,1.5793422039720457,1.6871649321980449,1.580064460341168,1.7944050228480144,1.5790897409887064,1.6236483545914098,1.6718949291599159,1.4496197718631179,1.3771497568775903,1.1549888173048035,1.1897719056070466,1.215815069790943,1.2346437346437347,1.2430745000984336,1.1625775706318242,1.0533212377784498,1.120490027638754,1.001402455527397,0.9811840729829897,0.9305734464531603,1.0651300855596297,0.9022398995185263,0.8620337459656003,0.8046788343248966,0.7535839977730499,0.7664233576642335,0.7271343295541044,0.6578545387889774,0.6166433845539813,0.631599723675121,0.5544218996650367,0.500328400880887,0.5248892960757368,0.5330865340120314,0.45760045760045764,0.417650263301253,0.4441049508819924,0.4326672458731538,0.5028735632183908,0.4622314855279524,0.4352038628313664,0.42808910715151127,0.42440047041979856,0.45096461518309916,0.4476383563843668,0.4443709567410041,0.4905207384717278,0.49287946475387484,0.540281196545538,0.5110366743966333,0.5496819380721236,0.591198240594036,0.6217923410975128,0.5859020558421694,M
Arkansas,2.507326603712146,2.7514759942074187,3.0476626947754353,3.5936233450418804,3.54878907731484,3.8075458636206303,3.8099930204869237,3.7296564195298374,4.059747223286098,4.085570748910404,4.212952588276723,4.2438563327032135,4.552720762197071,4.465077956648498,4.610820138657624,4.336904545729677,4.546297440969218,4.3642966719889795,4.32057384192532,4.39619715460859,4.035744241563972,4.255979047487767,4.293770827992822,4.3939146082120075,4.303614154388616,4.2907153257535855,4.311696979809778,4.223582474226804,4.276305618255465,4.385309679427326,4.342981144247969,4.164892257899668,4.376196510906786,4.303528787476784,4.13352312372659,4.255444726435696,4.010088272383355,3.7459733087896914,3.6636116523538043,3.632928867252779,3.553815270997001,3.4655089729675153,3.3348131512286843,3.195898198820467,3.0019658891663568,3.063511830635118,2.855495455918289,2.667253279071686,2.6828225231646474,2.6969338602209465,2.539784132895005,2.666589036709266,2.420754280425729,2.741774675972084,2.7483138722999674,2.758247701460249,2.7054545454545456,2.820580774618559,2.6385937801815724,2.5624647755025363,2.6081867066613014,2.4997271040279445,2.414113277623027,2.31227557905536,2.225146085677799,2.372517017634648,2.037044477480011,2.137280667851898,2.154758090355655,2.1348399817988772,1.8912963643040763,1.9395965328254363,1.7855085819606036,1.7280037111489097,1.879319717325464,1.7445022923304063,1.5041184194819148,1.6817748091603053,1.5690838316144307,1.4943472988303408,1.4683365395940482,1.402364451691806,1.459699598053734,1.3349878053998545,1.2306470821754665,1.128250330542089,1.1149042824424182,1.0245454941797096,1.010631316445728,0.9145800035517669,0.888445869810176,0.8215752813002322,0.8987956138774043,0.7905848531129278,0.9273362601917391,0.8613303269447576,0.899344320396952,0.8274125370986599,0.7660494407369114,0.7676409802184824,0.7934005884825558,0.694591728525981,0.8524914750852491,0.8244531688166014,0.8095370113667868,0.8307254623044097,0.8496227199809874,0.7738282478766908,0.7155987394957983,0.8969228646336416,M
California,1.8175582990397805,1.2615286759249442,1.540767386091127,1.5696821515892423,1.6849370686155096,1.6340373053799908,1.7561524565404094,1.6452513966480447,1.6974004672200407,1.624463678976216,1.734677019659673,1.6458559020848775,1.6907947649338304,1.756275370723221,1.8285299103899249,1.9201393132103142,1.7363145720894373,1.770393572109492,1.7076678525471198,1.6923076923076923,1.7334954623643157,1.8248625949484347,1.8908757740427145,2.0262645755310973,1.9819791634076902,1.9609637084476974,2.045868219876229,2.01475226105768,2.1234026843239766,2.173054128802845,2.2206720148819903,2.23686574078451,2.503739202100058,2.450457550085939,2.578062766216581,2.5085554811905695,2.352255260507765,2.2319839649326565,2.214416253293143,2.1693465935495864,2.1365927767419377,2.0605536332179932,2.062794963295677,1.997322237941537,1.9187524801951823,1.8582917539653396,1.8336901485030754,1.7908248746683355,1.759635390864956,1.6284768190484207,1.612433493772919,1.6063311989893863,1.607946986777923,1.5958276406330907,1.7248785330418763,1.7117268778828996,1.7495245664329708,1.6821942471743137,1.673607263498418,1.581243372628394,1.575077805660256,1.4432555269613376,1.376533726706303,1.2560926683112958,1.1965348547768972,1.1670656285487864,1.1304169912730078,1.1240216006310297,1.141013593008887,1.0478608066537938,0.9985500685601065,0.9501254616707546,0.989296636085627,0.931519733748146,0.9328725828983163,0.9135115383534306,0.8473920659567766,0.7834837473045284,0.7912329266256078,0.747810308962473,0.7034449962539759,0.6773651673803787,0.6314074903576742,0.5763106982780375,0.5711814358576669,0.516146244856495,0.49000293525773414,0.48854165236375624,0.4648507130124777,0.4262704725722653,0.41320815256057924,0.4003081488244693,0.42076738595403,0.42702959007417274,0.4297584343988056,0.41989995328114493,0.3996505171782081,0.4080380077743174,0.41899441340782123,0.40941883957022057,0.4263397842681277,0.41908791473636287,0.4323067592155806,0.4530993926540056,0.5428929754488324,0.5466694375856372,0.5950619600597588,0.5830045569929964,0.596485374715693,0.5783795994390953,M
Colorado,1.8840993434199256,1.5931721194879087,1.9227407795839888,1.4602981442044418,1.4635346205878736,1.9549549549549552,1.7419038272816485,1.7855780236550933,1.7288506218395516,2.029068930781407,1.8597104343484772,1.7609988809706107,1.8656051333848254,1.653042688465032,1.7903568896242024,1.7583491055620002,1.951251134448334,1.8684461391801714,1.8169415850179833,1.979186618144672,1.8889308651303363,1.9372751940430366,1.9337016574585635,2.0371889526934646,2.2078092243186584,2.276808619805028,2.090547646530717,2.2633621976709466,2.359576427255985,2.4577925806822094,2.322118036403751,2.572417962952784,2.5025227043390514,2.881567572759581,2.456765740160894,2.56781542619944,2.5492422759133806,2.4662503924372974,2.3577740955537148,2.4178721337634856,2.3608032775874808,2.2301770836633192,2.221952772136167,2.0540186024326257,1.9270157219097073,2.082104020905336,1.991838058430853,1.9123247710882425,1.8748134682692568,1.7852847636101237,1.642221058145626,1.5640676047642323,1.7228642288005909,1.7702947784424654,1.7157002219313722,1.735946722216962,1.574220458138518,1.8298892867702619,1.6326005913356472,1.6974831488467008,1.6381891844283953,1.4747641293395621,1.354510230875148,1.3091512867999233,1.3699064531472966,1.3985136872471857,1.2523520157932078,1.2210476999209394,1.3217879978209135,1.2052047781569966,1.1326574469698885,1.1821874093414564,1.1493725481199386,0.9645565560061402,0.9473513538554188,1.158807164371278,1.0575928267616967,0.9188725956960578,0.8877385646210785,0.8777276606119713,0.8732985314924135,0.8028086025729156,0.7400509703979612,0.7564144447515895,0.7053730583142348,0.6290916530278232,0.58801261829653,0.6493014325054951,0.6047452998122363,0.5541945151392622,0.5383146610227979,0.5661278221130892,0.5751756859585516,0.5879328459973622,0.4579199333934642,0.518830777782925,0.5032467532467533,0.558206106870229,0.6302727094369237,0.5711051656719489,0.570373187028084,0.5836032614766,0.5656783876744649,0.7091585228746865,0.689714879372042,0.6966324613383437,0.6697608836143587,0.7624761726196057,0.6976515672595067,0.7153362749030618,M
Connecticut,1.1149032992036405,1.274745050989802,1.5705283567619972,1.4528041555068583,1.4562824022834508,1.432386501578053,1.4548603593851483,1.267068036044544,1.2767915340669451,1.4060555785980922,1.4055494971525506,1.5254170133523515,1.5750713039036226,1.51437590649262,1.6917061123688002,1.629380576748998,1.7100762957116549,1.5067650676506765,1.5543121058708589,1.7814288351486063,1.7979373916217942,1.6816639622363179,2.007120375625613,1.7454985958922968,1.9166712171681322,1.9332827899924183,2.0699771813539063,2.021434634974533,2.171936559248409,2.106911883589329,1.957085593020514,2.060635736728282,2.298960831334932,2.372378733319212,2.384069454971405,2.3459591551754233,2.456427322466016,2.3373052245646195,2.4284211109265104,2.3570180714265256,2.1808359397213537,2.24139299796237,2.31811610184028,2.313636904054215,2.2823177095149507,2.154634434736911,2.113129751320706,2.0938831283658867,2.152233121045195,2.1232500965113683,2.056472017002328,2.1479762195618535,2.0715946461113086,2.0558124174372523,2.074808844802645,2.015386282370788,1.9855513653505383,2.0094393592677346,1.936426744610888,1.8402392552216489,1.7951425554382259,1.7544333910034602,1.6282479179013696,1.6100957354221062,1.4736483029165957,1.3898080741230974,1.430396819762902,1.3573715717666712,1.416050867846709,1.3344727846437023,1.2933968686181077,1.3073959451777932,1.3827313594791506,1.2418022832159339,1.2285301829537754,1.2036878948267031,1.102560514901357,1.062721956690075,1.1819156446931465,1.0593329553069746,1.1185338759630399,1.0974960042621205,1.0283913416083819,0.9842017188076128,0.9310606502831125,1.0319793604127916,0.8256657120224239,0.7835423854512623,0.9170193664229833,0.7985599738177057,0.8170691366192523,0.7741193969305659,0.7534388608557406,0.7718961199355038,0.6854205340568328,0.6534982462617686,0.7153942238540444,0.634347007035485,0.707335023305258,0.7721174998921623,0.7260755840173175,0.6696840938481434,0.7805520289650633,0.793726235741445,0.7820915093897812,0.7738896366083445,0.9792401096748923,0.8059579677616813,0.834345461266304,0.8326899746332855,M
Delaware,3.3333333333333335,2.386934673366834,3.025830258302583,4.0870138431114045,3.1847133757961785,2.6652452025586353,3.4597471723220226,2.9504080351537976,3.1676679410158384,2.7495188342040144,2.4271844660194173,3.151862464183381,2.587209302325581,2.6943326107153918,3.065134099616858,3.123950285522338,3.0681051921780176,3.389261744966443,3.1334231805929917,3.280977312390925,3.686934023285899,3.7422037422037424,3.4482758620689653,3.758838853740231,4.0559942569992815,3.85559060637925,4.104067423964822,3.9388020833333335,3.3972947467757155,3.4482758620689653,3.627852545348157,3.2349165596919125,3.471264367816092,3.5538208709942483,3.7363109297831225,3.1783783783783783,3.2737030411449015,3.2207629768605375,3.5973653099138656,3.4567496723460023,2.6473369051370943,2.9659141212926072,2.5210084033613445,2.9829360427250227,2.959674435812061,2.8548860302414805,2.6507834299205837,2.654778601482669,2.7021452145214524,2.4922760041194643,2.3886851754845466,2.2696929238985315,2.281327711103903,2.2782923453635684,2.5831062670299727,2.5121459888612394,2.657185628742515,2.9581252401075684,2.4648341721512455,2.1628498727735366,2.5474586650336803,2.2905759162303663,2.2933011466505735,2.3143523143523144,2.173552347768376,2.2596964586846546,2.0210744515460353,1.9388761091028592,1.9689450936449495,2.0879120879120876,2.049606416159216,2.0870602265951104,1.841756298806542,1.6801680168016802,1.3793103448275863,1.8137325464229166,1.480005692329586,1.6981132075471699,1.481767813426105,1.5505754088431254,1.3471992436776177,1.280175566934894,1.4859801007882156,1.4276094276094276,1.3947764255435526,1.22372588540167,1.0906411201179071,1.0842120897074112,1.1550422034651266,1.1130638547158758,0.8787093056755978,1.1099285388474989,0.9905381431105854,0.9656961660420871,0.7395355716609968,0.9545115585384042,0.881057268722467,0.8879363135333742,0.9350237717908083,1.0714883643060438,0.9919944309084581,0.7476960528603721,0.7633587786259541,0.7407407407407408,0.9279475982532752,0.7896221094190639,0.7654037504783774,0.8352006518639234,0.966820479015601,0.7947639083683964,M
Florida,3.418803418803419,4.079441760601181,3.6759622032726433,3.826255658547101,3.7478425248623326,4.106674232215051,3.724808895066018,3.73335127135746,3.9202495260228734,3.889251200569159,4.144444444444444,4.225794627428392,3.7640449438202244,3.898399232439529,4.057556528733578,3.9408866995073892,3.770241156438946,3.785027949289394,4.0192060929674245,3.9708002045845543,3.797874289902877,3.5998861696072852,3.866684609518683,3.6833046471600692,4.029540733902608,3.88002441363676,3.8474900121591107,3.8762283085929337,4.012004422682041,4.040828809542014,4.059472694368546,3.9302310360625694,4.052816589371695,3.8584079676877145,3.855455306483118,3.713803702248619,3.5325041672009236,3.373246273628905,3.3406712238829024,3.1222682528220136,3.3074035793940055,3.101600718825918,2.825211500639965,2.926597308279778,2.725295636808482,2.729810774480405,2.6523084245597333,2.490963382052491,2.471890544556072,2.417823536858095,2.435091781048454,2.3784880351080564,2.2992870100831118,2.3685928653230723,2.41122267136089,2.3787697698975387,2.4833281171004162,2.4236861363664555,2.3956704456606723,2.3982735215287687,2.4033266756163845,2.2681861098302702,2.160937979192715,2.151386678652559,1.935799756383004,1.9330695222321959,1.8306694909814494,1.9817948561304908,1.845940485157156,1.75918992321706,1.7748525201479384,1.7037194968309652,1.700777524649284,1.5187478807131511,1.4477563610954889,1.4467164094093523,1.3508341041753054,1.3260907980362178,1.2241158145501192,1.2343013171917554,1.1214148551591232,1.0429452205438923,1.0575305351017108,1.0061987719968273,0.9220452640402346,0.855279163118842,0.8546217450327039,0.7464470508401385,0.7630881174076587,0.742495437070405,0.7034586718030316,0.7048296151017406,0.6772148477617933,0.6378765663497438,0.6267539060464632,0.6048313814435988,0.6250265742591097,0.6006520141816651,0.5940683517426758,0.5595407740179859,0.5307837851414028,0.5366056926125299,0.5534086703560579,0.5699583393680193,0.5926374893720905,0.6281239586804399,0.6037659479378357,0.5932675889465798,0.5923688423032748,0.589804275141816,M
Georgia,3.301405163611611,3.4872808100765624,3.9912311225555013,4.049733570159858,4.081579359690813,4.149049223325118,4.473850031505986,4.394774914557692,4.361714263984485,4.443265233925887,4.749548930320474,4.611531455793751,4.508339730616233,4.581549314370862,4.462841015992474,4.506521135880122,4.500457201924224,4.552254350584181,4.455522364898941,4.491458766109352,4.682726204465335,4.4186093369063695,4.229941123792466,4.204958542662256,4.394445083822458,4.1929285165257495,4.276629261557012,4.374976274532134,4.21244399828974,4.119455104304967,4.308385997301711,4.2241026340930805,4.387881836904743,4.3751981520902214,4.162416454790433,4.08305264323102,4.007999561667853,3.7766649483270736,3.6846321089369494,3.5430051422608346,3.4800448544778018,3.3295829675696393,3.269393747687313,3.042500295963064,3.0133507224491196,2.9450755411304885,2.9249349016790878,2.795224353533639,2.5239460253093755,2.6350523239370225,2.5280271036502877,2.554281445291655,2.417049607410356,2.41548810975978,2.5767003820003365,2.5743236292562495,2.709262749671173,2.524304722665124,2.6105434996763206,2.7036636899470756,2.6355539351007864,2.479316461523879,2.488443873406879,2.3584026828965343,2.249433251380951,2.2255900282668666,2.282243831539606,2.190915635840042,2.2011071635131785,2.1470160116448325,2.198976520168573,1.905425464239193,1.946644184155852,1.8081937521517206,1.8662085572489944,1.7365337258343005,1.7110873460090832,1.6030421520807299,1.5427455327684958,1.551813833094365,1.538326300984529,1.434247378362535,1.4410671042358638,1.3806573275862069,1.3390378965325824,1.195079086115993,1.1310161515615889,1.136904447147163,1.0824149997388626,0.9860656361836594,0.9616457029555735,0.8447690259651394,0.928947401322781,0.9207671827235973,0.8877919398806454,0.833486322746466,0.7984102764273802,0.8159662161356126,0.7777138713146116,0.8580683545977392,0.8049900956715977,0.7697963067076071,0.7294439460564437,0.7856476325215979,0.826606009247283,0.8053711481431303,0.8384458077709612,0.8310114689302145,0.843583418151707,0.7756242610969799,M
