state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.26290046466128636,0.16981255306642282,0.2548002548002548,0.21400057615539736,0.18968262032991226,0.1594941756144798,0.16434068083996348,0.13166026278313675,0.15380483874905398,0.1871681030730391,0.13478818998716302,0.13606888487296692,0.1204193916744524,0.12077294685990338,0.11590784309738292,0.11949334820361666,0.11267494267415197,0.11384247289005517,0.096768340624559,0.08659972370564341,0.10438413361169101,0.11101622544833477,0.12287981950767496,0.1113245437876539,0.12244816026657566,0.09675468655513002,0.10761143992384423,0.07453366101285201,0.06178991429140921,0.0757787261197304,0.10778973302792909,0.07913926626594563,0.07271374458874459,0.08738571081802735,0.10903267573000783,0.10860426008968611,0.07065401038306761,0.06195957481962879,0.06702030572667123,0.05864012128493378,0.04797627355198883,0.04484045476899934,0.054404627256718255,0.0475854013756507,0.042990413137870255,0.039058544418244676,0.046805191121197076,0.04143034701487207,0.07487337590839022,0.07673577805651885,0.07679450693409225,0.08537756704425911,0.0736100234925607,0.047233578187859344,0.06182581390430015,0.05462362559909783,0.06201025987936186,0.05846471654356596,0.04187270697080874,0.04343105320304018,0.03427657386601668,0.023553889335976602,0.03017631590291848,0.022632114971144056,0.025311795296608222,0.0431582228402906,0.024362909905959167,0.02300701714022777,0.014357158239812401,0.013688004745174977,0.0,0.01608345012981642,0.0280649235230834,0.0,0.016661112962345886,0.016567655203427137,0.02168256721595837,0.0,0.011856207910461918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01814834979647922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884678747940692,0.0,0.0,0.0,0.776914539400666,0.0,0.0,0.0,0.29550827423167847,0.0,0.2145922746781116,0.0,0.0,0.12027904738994466,0.0,0.14806588932074774,0.08865248226950355,0.08574858514834506,0.16363933889707086,0.19692087361260296,0.1666358081836697,0.19147084421235858,0.41899441340782123,0.0,0.35817840695889475,0.17857142857142858,0.0,0.12202562538133008,0.0,0.18777383684539956,0.1337920489296636,0.10442046641141664,0.08920606601248886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.39503386004514673,0.0,0.0,0.24549918166939444,0.13692377909630307,0.0,0.1048951048951049,0.1564945226917058,0.09218005838070364,0.1465798045602606,0.12098167991704113,0.13110455588331696,0.1845585973546601,0.22016732716864817,0.2644725242433147,0.1276776847779827,0.12288367012561442,0.15523932729624837,0.12156576707999028,0.3568487510293714,0.2099370188943317,0.24615384615384617,0.23048112935753384,0.18855218855218855,0.27286902286902287,0.3037383177570093,0.3019458734063968,0.42933001920686925,0.24630541871921183,0.25717518773788706,0.2484472049689441,0.17857142857142858,0.30423589983618066,0.1874032428908987,0.28681357117873385,0.22077689599618117,0.1919609097783724,0.13543253766717453,0.12081937503432369,0.10319384964656106,0.09836987071388421,0.09370816599732262,0.10239344681940356,0.0870213823968175,0.1092896174863388,0.11401669792930964,0.21768312592968836,0.24553649724648355,0.24004000666777797,0.20655650319829424,0.2420504658642528,0.20377666077978535,0.16043526785714285,0.13842124953236065,0.10660559876811308,0.1143172500788395,0.05895762911720776,0.0780176096890441,0.07777101508081423,0.06025911419102139,0.03102485435554483,0.03734383487235198,0.04242404464314852,0.04005741562906833,0.0197199763360284,0.018947767321417293,0.018427518427518427,0.014061928734145175,0.0,0.012599536337062798,0.0,0.0,0.0,0.0,0.0,0.010466820180029307,0.012256403971074888,0.010083694665725522,0.01391843795359195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arkansas,0.1302507326603712,0.17823326278266682,0.16040329972502293,0.17562820859227238,0.14086796337432952,0.12114918656974732,0.11906228189021636,0.1469258589511754,0.14971623550712024,0.09315633629437402,0.11524794314434804,0.10081915563957151,0.08951979026791994,0.12358980859424515,0.13926311646634978,0.13013740088372375,0.12362467548522685,0.10957703265395574,0.12737145538647182,0.1045108219270447,0.09355442286599136,0.1516300227445034,0.14419379646244554,0.17340094879764437,0.2046341770557864,0.20756529012670777,0.14350075087602202,0.19329896907216496,0.1824309699761912,0.18362900715841893,0.2111375032990235,0.1816994577406808,0.20222719551325263,0.26797559034226587,0.20932763962153564,0.17411320309272266,0.27742749054224464,0.19558214450069028,0.190036323398523,0.12109762890842597,0.13134742633391985,0.12115399177162471,0.11751495051314863,0.10360767228096276,0.11954731417034165,0.07471980074719801,0.10158974218170837,0.123738554183738,0.13399857448325017,0.13556779832126684,0.1163704070054985,0.15720066373613578,0.1359324386857936,0.10263327664066624,0.11884600528864725,0.07098431584640345,0.11636363636363636,0.07193427478892969,0.07726482518833301,0.056359195942137896,0.06950287156600943,0.0327475166466543,0.0386877127824203,0.05129621591761039,0.030958554235517202,0.03582659925958362,0.028124874442524813,0.0502434876710211,0.03604613905799423,0.04550280600637039,0.022034520749173704,0.0,0.023038820412394884,0.02319468068656255,0.019414459889725868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
California,0.0,0.0,0.029976019184652276,0.03422982885085575,0.020300446609825416,0.03699707106520734,0.0740367814730358,0.06983240223463687,0.07207117649982603,0.06696262493489745,0.08466875929291261,0.07412053138719425,0.0840827666886013,0.10438240410902161,0.1210946960523129,0.12525968471220825,0.17887432536622974,0.17098672961399367,0.18015290288396033,0.19114219114219114,0.20167269707574587,0.20379176187241402,0.22589409831922153,0.26002911017711416,0.3144260551262397,0.2744739249771272,0.3116126683654896,0.37401933953658095,0.33464731031690265,0.3265391498361494,0.33822705605056497,0.3034800941639171,0.3701046976588016,0.35258870765029177,0.3923711462372529,0.36684387983179484,0.3370965177293687,0.3320345428319877,0.2800655068473643,0.17659633794962357,0.11325184724811824,0.09688581314878893,0.07952270393177831,0.08344301032038323,0.07936624582959774,0.08927864296462694,0.1172392700581099,0.18351554503790918,0.22490835232339243,0.28452218722789935,0.27651559040619295,0.26937319643808133,0.2401458987827195,0.21554278727081033,0.17245603484757369,0.145786337160365,0.1362436490590673,0.10645442464598544,0.09579810905971296,0.0756427039330752,0.06536014115081261,0.04514876518127229,0.03789746494484492,0.03457135784343016,0.024645414104570492,0.0196076829437668,0.0208534982727008,0.017065105272738305,0.016279052559141055,0.020251891631429538,0.013777629066860867,0.01660291772784372,0.016819571865443424,0.01838922451735822,0.01529299316226748,0.014616184613654888,0.015196140732840795,0.011979873811995848,0.016700151313492204,0.01436255394934327,0.013234456243298656,0.009974587471464746,0.014576281382386761,0.011055167690070778,0.014913353416649266,0.010517890675505116,0.011635255883076257,0.00741462878798281,0.00946969696969697,0.005088109089058869,0.0083701853996066,0.008274366582971924,0.005431100769787072,0.005362565903112546,0.006232488831096719,0.0031335817409040667,0.0036639328091091004,0.0053988315791866515,0.0038548672146508675,0.002206260105459233,0.0045984260244636265,0.004016817074150443,0.0037064492216456637,0.00378730495379488,0.004430388374660905,0.004579061010704436,0.0021651738995503655,0.003058384561274735,0.0036619156701509117,0.002557315841292979,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.09009009009009009,0.06542361792607132,0.09919877909194963,0.07516741834085007,0.0719527989638797,0.0998502246630055,0.10601331056010366,0.05347275860020201,0.07266121707538602,0.10044906641455921,0.14042371329140974,0.18151173343705432,0.1525262154432793,0.14882797966017614,0.1851497158909532,0.16370734164462913,0.17037925159336154,0.22362536174690872,0.23243095433415367,0.255503144654088,0.34633145202668036,0.2949852507374631,0.39414750671842336,0.31652854511970535,0.28712530148156656,0.2978488692774407,0.2968174572637828,0.2320887991927346,0.2257227931995005,0.3034828267257575,0.27512308137851144,0.30543916669929905,0.21976488645480868,0.2347417840375587,0.15263468276268777,0.10074551682450132,0.09503595526974372,0.09093940404377217,0.1013594085380396,0.06057983556901775,0.10396470819635281,0.1270235939569201,0.16476244496664236,0.24147380416203162,0.33140016570008285,0.2645364064955474,0.24695804285751036,0.2743918526726822,0.203015456243402,0.23331246799066752,0.17359467222169617,0.16145850852702748,0.09527251223758994,0.08677207867335134,0.10203450621482901,0.046973166578591984,0.024426735061524835,0.022415062922283773,0.03193051919024203,0.019026478515934676,0.01881408547866169,0.030846108763379503,0.0,0.0,0.01866467576791809,0.030339038758122012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030315278900565887,0.042442820089601506,0.0326437344432203,0.035171862509992005,0.02723393954065422,0.0,0.031419095828242274,0.025382142252806137,0.025460841226194113,0.0,0.0,0.0,0.0,0.012252199269768924,0.0,0.013612232859930126,0.0,0.02791736460078169,0.050237119202636446,0.059386070894681876,0.08127273096694232,0.05262625240360288,0.08754784591579118,0.05027125531513793,0.07430647291941875,0.03926431080801819,0.04334164048109221,0.04089236221545731,0.02383676582761251,0.01217878455730118,0.028942163909121604,0.01679946241720265,0.01351643598615917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05156765676567656,0.06179196704428424,0.08381351492928235,0.10270103728047654,0.06487187804086927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.13407072230601644,0.0,0.057616962433740496,0.15089458935115327,0.05753267033779896,0.07092701610043266,0.09034051424600417,0.06054083142741827,0.05504250504556296,0.05928736586233473,0.07777777777777778,0.06807351940095302,0.07660878447395301,0.07069635913750442,0.06703011886674412,0.09137136500873987,0.06254777955382583,0.051149026341748574,0.04139244174013825,0.046496489515041615,0.06413780465457211,0.06165812938721306,0.04934284304490198,0.10818785345463487,0.060004615739672286,0.11770860580695788,0.0738231717908633,0.05854066485469371,0.1342599905228242,0.08792721156051686,0.0461303715269153,0.062176844034295436,0.0679408028830532,0.10285742956774792,0.09999069853967073,0.078574564951122,0.07479591400606915,0.09708553044868744,0.06758583400919167,0.06841245106609403,0.059837893706141544,0.03660687543678658,0.029656916305060406,0.025937346897605115,0.032621992660051655,0.027143004859890393,0.03569728700618753,0.06847623537863991,0.08381134827424815,0.09388581796700284,0.10439060691251861,0.08901217189699429,0.10336244357254357,0.07813252560713255,0.05650454209588387,0.07194328084568166,0.06379854105977803,0.05581672269011796,0.03787138389366693,0.026686159165535406,0.03383429924800541,0.035131633840546295,0.021231923376347637,0.026725300355932406,0.020301416322338724,0.011378434074617241,0.01668913280698376,0.02077096951554768,0.017933359635594132,0.01005890045041521,0.014264027142405935,0.010660360901672708,0.011990297082668487,0.016061963485803007,0.015338207474819777,0.006509410166071326,0.006379381837899908,0.013061149227471439,0.010995052226498075,0.006269024748716592,0.007517101405697962,0.007094865445876819,0.007283268148083408,0.005141161608742913,0.00449048018201413,0.009883225884928841,0.007713192644699494,0.006940106877645916,0.0,0.004660013203370743,0.0038065945443886986,0.0038305957342485903,0.005405363665145443,0.006802001299938026,0.004466179853062683,0.0050887255650302774,0.006377822186317445,0.004280180623622317,0.0,0.007245851749873198,0.0,0.0,0.0,0.0042597783211361685,0.008418146155853559,0.0,0.0,0.0,0.0,0.0,M
Georgia,0.17989983954879177,0.18770066683131637,0.14614795740830958,0.16793153560471502,0.14623700840862797,0.15375223279896896,0.17643352236925014,0.14467531922923701,0.15591132068296765,0.14858052533828603,0.1185668871896211,0.10858904301527253,0.12212994626282364,0.09996793481336175,0.10912511759172154,0.10914808990842659,0.08348904703216316,0.0927872143005927,0.09698568491290685,0.08268963152693463,0.08813160987074031,0.0785799198081844,0.08193129203742164,0.07352040191153045,0.09015229984271302,0.09800153727901614,0.07390264299189016,0.07212542231332801,0.05948729388582158,0.07638724696724443,0.06390683803166938,0.061416678040125565,0.08017985441853884,0.058879478237239005,0.05937609427096814,0.0790676344545124,0.06027067010026848,0.076097896261384,0.048314706742444466,0.05154833599456856,0.0407767980019369,0.049455372708052565,0.03342206094751543,0.027228601870486563,0.03203258171168389,0.03542776165116226,0.04938493310586334,0.04979347026537656,0.07108065906919295,0.07070802300367682,0.06822967520321856,0.07114990098305447,0.059099516348856004,0.07608787545743306,0.06847175840280614,0.05014916160888797,0.05152751976351581,0.05785158950769708,0.04221903233977877,0.05606990960436525,0.05729465076306058,0.04603864538056357,0.042827817405815725,0.023289032418333126,0.04629777451387337,0.03575928890099785,0.027684534726788248,0.024543491066169255,0.021482277121374866,0.02056831846085691,0.013546056592414209,0.016661112962345886,0.015055252777694138,0.017962189590911132,0.013214694740551494,0.014152679102154037,0.011110956792266775,0.0,0.01055771108823607,0.006344292040451206,0.010046212577858147,0.006513385006187716,0.011909645489552593,0.008081896551724138,0.008123586834373604,0.00675949709341625,0.01491747921723918,0.010575855322299191,0.007834125450462213,0.008883474199852788,0.009913873226346119,0.0,0.012502656814573096,0.008628340400354994,0.009823423954419312,0.006119576525304448,0.015376790508971765,0.0,0.006251719222786267,0.0,0.0070243463845689165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
