state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.055025678650036686,0.03265626020508131,0.03185003185003185,0.03292316556236882,0.023710327541239033,0.04272165418244994,0.018260075648884832,0.029556385522744984,0.029296159761724568,0.02394010620701663,0.044929396662387676,0.02976506856596152,0.03114294612270321,0.044495296211543356,0.030502063972995506,0.07368756472556362,0.07313987506918637,0.09261760506309574,0.10281636191359393,0.13814717829233591,0.16373981743010357,0.20281810418445773,0.2820192578864671,0.3950929887365756,0.4556677439428307,0.522072162870389,0.608418525723273,0.7372789170460498,0.8172214470799282,0.7238862521437402,0.8757915808519239,0.8629948559476927,0.845508658008658,0.8204547293470345,0.9301850148216294,0.9231362107623318,0.910822351242589,0.9170017073305061,0.7928359571070043,0.8095197231042078,0.713828797394743,0.6349986981803454,0.6643091328188755,0.5666988709282037,0.5545763294785263,0.5092076901934122,0.5361321892064392,0.4914496335557238,0.5329222638185421,0.4855013650114366,0.5074460556233155,0.5061670046195362,0.5090054815974941,0.4251022036907341,0.40837577078892995,0.43346489991542153,0.413401732529079,0.45602478903981447,0.38881799330036687,0.4027243115190998,0.3351487222454964,0.31797750603568414,0.33840582833987154,0.33269209007581757,0.2899351097611487,0.29491452274198576,0.25337426302197535,0.22776946968825493,0.251250269196717,0.20303873705342884,0.17919942656183502,0.1608345012981642,0.2081481827962019,0.14190100040205283,0.1808920835911839,0.1514757047170481,0.1469596222414956,0.1533485084461483,0.10196338802997248,0.11386668488533626,0.0893327530522024,0.08019057053232387,0.10670546865526859,0.06369894896734205,0.07570404764308065,0.10814151089139502,0.08296388478390501,0.07286164094824221,0.06497894682122993,0.06044201508422463,0.05006587615283268,0.04423922360162579,0.06890018086297477,0.03166652272792699,0.06434441812172795,0.046618688266658895,0.05611514828427934,0.06195088984005406,0.04325134800034601,0.051979819599449625,0.04571876428711384,0.03363266404331887,0.03496136768870398,0.04564927312311258,0.045134187411033574,0.028141269171239623,0.05376536793433456,0.03359337090814079,0.031688188227838074,0.036376864314296105,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6600660066006601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21650228530190038,0.14093013891685122,0.20359059781602812,0.14184397163120568,0.12004801920768307,0.08181966944853543,0.1611170784103115,0.1666358081836697,0.1566579634464752,0.13966480446927373,0.2422564457518602,0.17056114617090226,0.08928571428571429,0.11531808571977706,0.0,0.14774166314900802,0.12518255789693303,0.0,0.12182387747998608,0.08920606601248886,0.19177498401875134,0.228310502283105,0.0,0.14300306435137897,0.09805844283192783,0.0,0.08726003490401396,0.08188666885031118,0.0,0.0,0.06428387760349705,0.0,0.0,0.0,0.0,0.08958280010238034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08358408559010365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09417969485778867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.11410314924691922,0.0,0.0,0.0,0.09218005838070364,0.09771986970684039,0.08641548565502938,0.0,0.09227929867733005,0.10274475267870248,0.14692918013517484,0.1276776847779827,0.1365374112506827,0.19404915912031048,0.27960126428397764,0.30194894317869886,0.11196641007697691,0.3692307692307692,0.31691155286660905,0.3771043771043771,0.2858627858627859,0.40887850467289716,0.4025944978751957,0.3389447520054231,0.4497751124437781,0.4217673078901347,0.3283052351375333,0.34937888198757766,0.3198377408534207,0.3911024199462234,0.3217908359566282,0.33414881556178766,0.2733988715025304,0.25393600812595224,0.3020484375858092,0.23734585418709048,0.21079258010118043,0.20972780008924585,0.230385255343658,0.19476214155478205,0.24590163934426232,0.25745705984037665,0.261219751115626,0.24553649724648355,0.20670111685280879,0.19323027718550106,0.19894558838157764,0.1630213286238283,0.1988002232142857,0.13468013468013468,0.1934694199865756,0.15373699148533587,0.14149830988129863,0.1263142252108333,0.14539798471630486,0.1640386997422249,0.12065221138267435,0.10184682237914178,0.10116502953366184,0.12351036485629403,0.08216656806678499,0.09789679782732268,0.07063882063882064,0.08718395815170009,0.07855253855620434,0.0806370325572019,0.0796792908543114,0.06643210392933592,0.08315119262567709,0.05330253631235286,0.045835515976951284,0.05024073686414068,0.044940147893941254,0.044368256529192296,0.04772035869802955,0.04055150040551501,0.044068747245703296,0.05906433939591438,0.05388146078627021,0.05329122668508832,0.051977053093597195,0.05988486651470077,0.04580852038479157,0.04997686256362795,0.03932503932503932,0.05266025059015798,0.03730481587408736,0.053866203301476984,0.041050903119868636,0.045382727670017144,0.027001699518734414,0.025846889488393133,0.034088391198377394,0.039295671862427724,0.02609550956500793,0.026868941570386294,0.016557662058117394,0.025168313093814888,0.014602194501230755,0.02576655501159495,0.022164594277101757,0.01891834369900915,0.017272009474930912,0.012962434863764812,M
Arkansas,0.0,0.0,0.0,0.03377465549851392,0.0,0.021633783316026306,0.0205279796362442,0.026371308016877634,0.03133595626893214,0.023289084073593504,0.01600665877004834,0.04095778197857593,0.03516848903382569,0.06654835847382432,0.06963155823317489,0.10895224260032686,0.11435282482383483,0.13149243918474687,0.17429778105517194,0.24273481221765222,0.3161494289954191,0.36873664621958785,0.47103306844398873,0.5431048584982824,0.7964991814632918,0.8674370333653459,0.9844818955448023,0.9664948453608248,0.9430753532667513,1.0799875505757859,1.0615524471423126,1.070323368253698,1.0488850540620702,1.114353940037145,1.046638198107678,1.1125538570501092,1.1349306431273645,1.111366774045099,0.9910755093695125,1.0462835137688002,0.8004758246387945,0.7723566975441076,0.7547071266288878,0.7066574570957973,0.7146272780404866,0.669710806697108,0.6342494714587738,0.6654384469436577,0.6728439059158945,0.6691857278837001,0.7302243039595031,0.6520916421647114,0.6825543729754744,0.689109143158759,0.6863356805419378,0.48674959437533805,0.5709090909090909,0.61333434293719,0.5678964651342476,0.5560773999624272,0.5267586055529137,0.4693810719353782,0.42556484060662336,0.4300990411553486,0.3792422893850857,0.4259384578639385,0.38169472457712245,0.28986627502512174,0.2643383530919577,0.2957682390414076,0.2791039294895336,0.27208768997551214,0.26110663134047535,0.2319468068656255,0.22909062669876526,0.1709534540368327,0.2069157614102105,0.19083969465648853,0.12440306593362493,0.10953330986190979,0.15311530760472697,0.16714227476559315,0.13962343981383543,0.13692182619485688,0.09262935027127167,0.11458792419568092,0.07778401970528499,0.0871953612067838,0.07000043750273438,0.09323388385721897,0.11268093958568086,0.0893016610108948,0.0853855833183534,0.09882310663911598,0.13887644476301406,0.10822998872604284,0.06202374623427254,0.08993614533681087,0.09869348622990884,0.07873240822753666,0.07881462799495587,0.06362672322375398,0.05499945000549994,0.03365114974761638,0.06653728860548933,0.04551920341394026,0.05347275860020201,0.04403900597672224,0.03282563025210084,0.10349109976542016,M
California,0.0,0.0,0.0,0.0,0.0243605359317905,0.027747803298905502,0.017768827553528592,0.027932960893854747,0.03727819474128933,0.03720145829716525,0.04336692549149183,0.024706843795731417,0.043869269576661554,0.05301963383315384,0.052978929522886894,0.09012587070756446,0.08326908249807248,0.08927625705509404,0.11051396563469834,0.14763014763014762,0.14384008541431875,0.16056320632372015,0.17850372804246178,0.15699870803146515,0.15799518192910553,0.17840805123513268,0.170367673825992,0.1563843928375948,0.17030094439614618,0.14177144583633533,0.13423386287006797,0.14937649494672553,0.14880498153292024,0.17731339633280568,0.16787691659479778,0.1660584172044097,0.14416706418614514,0.14611393140138246,0.12531744713170198,0.11014034761594943,0.10220288654098475,0.09775086505190311,0.09350910914591018,0.08989087929968557,0.0944311350842899,0.09071862107695963,0.10160736738369525,0.09518035373191736,0.09709699791935004,0.11102515383295733,0.10020950048695554,0.12384974548877302,0.1130465739393296,0.1119824321710867,0.10563727595829238,0.1151476381266624,0.10785955550509496,0.10323935812983154,0.10044503226037069,0.09325812813666806,0.08940454540836543,0.08013905819675832,0.09739240991202083,0.0840809567303178,0.08831273387471093,0.07393730443378731,0.09521786003761498,0.10011528426673139,0.09323457374780789,0.09253019452291082,0.08332185197577761,0.09742466817659239,0.09113149847094802,0.09556367495086159,0.10175722373354901,0.09809708519549147,0.08261174689307996,0.08598887202832575,0.08780231069366355,0.08952658628423972,0.08725768607869791,0.08659755486589847,0.09139097057210747,0.0906043091121018,0.0874916733776757,0.08132125229597857,0.08885104492530958,0.0815609166678109,0.06405971479500891,0.07038550906531436,0.07086756971666922,0.06876283953435289,0.07432032632340205,0.07592264357564604,0.07082373671700817,0.0677993140304698,0.059468447901693866,0.055124911913800555,0.0453688218339679,0.05168952247075917,0.053538817284826505,0.044854457328013284,0.03470584271177303,0.038561650438638774,0.036806303420259825,0.03451907531146421,0.03897313019190658,0.030966143682906688,0.02685404824777335,0.02855669356110493,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03744383424862706,0.0,0.0,0.0,0.06499645473883243,0.06105378838756945,0.08427330481006093,0.08897362567524626,0.14262681384100212,0.1787652429291962,0.1259287243420224,0.12620685303211962,0.1644304130491976,0.3144654088050315,0.1899895178197065,0.27578245253976397,0.14107990252661282,0.19707375335921168,0.25897790055248615,0.20098771103709662,0.24269167126309985,0.14291210905293245,0.14127144298688193,0.1873018922293728,0.2264078231128667,0.1882421083116131,0.1722990171124251,0.13604492971011964,0.16915216790941728,0.183855413327783,0.15111827523675198,0.11087528114803434,0.12125253872502956,0.11924636298592892,0.1038511466897447,0.10396470819635281,0.12161833463960434,0.1242470896469762,0.11395393005399244,0.13362909907261405,0.15976951283394447,0.13634141949425052,0.13191915993878953,0.12992989199577729,0.09389404199624424,0.15465707161569295,0.1110027246123314,0.10512828936561648,0.09962720143977374,0.1174942798837425,0.11743291644647993,0.09160025648071815,0.09926670722725671,0.07344019413755667,0.04122403678452513,0.05017089460976451,0.040099941392393354,0.07320429855641124,0.051609943515784046,0.047994880546075085,0.04803681136702652,0.038680978628759306,0.0412948220881415,0.04582216418081426,0.04169272461955389,0.04138597015611707,0.022991148407862972,0.03808798324128738,0.04354031107133354,0.03169572107765452,0.034151339220373715,0.02700579397034273,0.026955498921780043,0.025130047998391674,0.030557677616501144,0.025572831423895256,0.032807570977917984,0.03284404133296279,0.019507912897168914,0.026163689555930833,0.0,0.029556874246868106,0.04476075377109351,0.04694520823553081,0.016189088554314394,0.027794505952656694,0.016233766233766232,0.026240458015267178,0.019619383951343928,0.03344309528709611,0.024444565158346462,0.0,0.022740839705506125,0.017296549338406988,0.017315017892185154,0.0,0.014687738675753481,0.0,0.026202875765615273,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030315278900565887,0.0,0.02448280083241523,0.0,0.0,0.024116309515606695,0.0,0.0,0.012730420613097057,0.013845046242454449,0.0,0.0,0.0,0.0,0.014267031268576865,0.02495576024320523,0.0,0.019327406262079627,0.014066393376738203,0.01433456883664735,0.036572728935124046,0.05060216577269508,0.04275592474957244,0.04189271276261494,0.037153236459709374,0.04753048150444307,0.019503738216491495,0.03180517061202236,0.04052250190694127,0.01948605529168189,0.021706622931841203,0.03839877123932034,0.02703287197231834,0.021834742194079666,0.026779139050679523,0.023878560463926318,0.04876519558326657,0.028394974089586144,0.04872615898649589,0.024059116686715933,0.04272942413883776,0.0291743654575513,0.03473757342259837,0.024802356223841266,0.04554287102258926,0.05303007983973131,0.025610380740993685,0.030782146355114035,0.016020934020453393,0.028763433831027897,0.02835197690602608,0.030714889042463337,0.02397442727757059,0.0,0.031199478117820572,0.01459342712042496,0.014999700005999879,0.027420632502589724,0.01612227130558153,0.025650891368475055,0.026182294223531338,0.01984783327820046,0.033804340477317285,0.024192990944909103,0.01715324710967786,0.017849493074396684,0.0,0.022710927741398237,0.0,0.03270913402567667,0.04313505585989734,0.027058717416794442,0.023092554960280804,0.0,0.0,0.0,0.02403383964622188,0.0,0.0,0.0,0.027572515716333956,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12325390304026293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0986558145270687,0.0,0.053659583601631256,0.0,0.0,0.051493305870236865,0.07333682556312204,0.0,0.10811979673478213,0.0,0.0,0.0,0.08732534930139721,0.0768344218209758,0.09033423667570009,0.0,0.08573178199632578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07849293563579278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.05389092476826903,0.0,0.0,0.03474635163307853,0.0,0.0,0.05928736586233473,0.03333333333333333,0.04712782112373671,0.05617977528089888,0.03534817956875221,0.0714987934578604,0.09534403305259812,0.09034679268885955,0.09864455080194368,0.11175959269837327,0.16273771330264566,0.19241341396371633,0.2561183836084235,0.21531422419593596,0.26063437423162034,0.31387029771520886,0.40108117534222687,0.40819871460830287,0.30942922851766674,0.36724056231243085,0.3211254683079746,0.3335580710407722,0.3534262713528373,0.4105987652497563,0.34369433782393816,0.3720584131708678,0.3050541933396501,0.2991836560242766,0.3141002455692829,0.25875719306376244,0.3097563756603702,0.2629240784057735,0.21797730373722918,0.18730683982143415,0.2132626300469754,0.1794209596302841,0.15898045703650088,0.20347453593526893,0.17848723647874992,0.22204564997333276,0.2521203426304907,0.23565404332726972,0.24323093483480995,0.22570982576045226,0.2001477025826546,0.19776589733559352,0.22279209552211096,0.18417314683294414,0.1947383436077449,0.1624804534792807,0.14851427709515355,0.13970291302402235,0.14711371670728762,0.12267333506334191,0.12269342436132608,0.12061429697389477,0.13527693844267166,0.13094550356248796,0.11118577799499053,0.11238238704972324,0.10617728253216055,0.11105563989444621,0.10175799042505765,0.1033010210199131,0.09101779308621705,0.08009952792405883,0.07485821690982025,0.06618608656821154,0.07606198667762779,0.06816932380428807,0.07940764681707682,0.06765391265128166,0.07094865445876819,0.06117945244390063,0.0558183260377802,0.052388935456831515,0.05625836272959494,0.05862026409971616,0.050122994116331615,0.04470617253499414,0.04582346316647897,0.043395177806031165,0.0467332679578328,0.05328144184214794,0.050637120788427525,0.04689488845715817,0.03925588293023357,0.044644755304222114,0.04351516967349355,0.04442336217087183,0.04105982658261478,0.04269711836310969,0.030614587851111055,0.031844666878964444,0.025558669926817008,0.024412623851975318,0.017494168610463177,0.026140704449822492,0.029619820887200755,0.02351387770974831,0.023479469551823885,M
Georgia,0.04862157825643021,0.04939491232403062,0.04175655925951702,0.019376715646697885,0.031336501801848854,0.018088497976349288,0.035706784289014915,0.027257668840291027,0.0228162908316538,0.03891394711240825,0.025775410258613286,0.04378590444164215,0.04012841091492777,0.028292811739630688,0.062088428974600186,0.08139857552492832,0.09144038484475013,0.0795318979719366,0.1202622492920045,0.14319423996127706,0.15667841754798276,0.17327879752573996,0.2343616028047177,0.36964424294408366,0.44692523113515176,0.5188316679477325,0.5873315311460744,0.7136620734160878,0.6320524975368542,0.6129167197133659,0.7349286373641979,0.7216459669714754,0.7750719260458755,0.7865694400410647,0.749052266187598,0.7827695810996728,0.88899238397896,0.8481233276873603,0.7514208338101233,0.6789293033430982,0.6231204444670982,0.629319617709969,0.4870071738066533,0.49840179945542795,0.48277676722609286,0.44913259125505706,0.4422196282661399,0.45606292083969896,0.46144165559672795,0.4254266050721222,0.47054948416012804,0.4446868811440904,0.3980171509208669,0.37440065701276587,0.3639814525622853,0.425624935706203,0.3484887520848306,0.348520551424419,0.37574938782403106,0.33915457516786784,0.28777540496900883,0.2951889615577311,0.25992054701460576,0.3027574214383307,0.25383952233468504,0.267343255116984,0.21801571097345745,0.23888997971071407,0.1867305626704123,0.21834061135371177,0.1760987357013847,0.15297930992699404,0.1625967299990967,0.16315655545077612,0.15417143863976743,0.14011152311132496,0.14444243829946807,0.1128713669528762,0.11217568031250826,0.10531524787149003,0.11553144464536869,0.1029114830977659,0.08204422448358453,0.09428879310344827,0.0704044192312379,0.07435446802757875,0.06916285818901803,0.06609909576436994,0.07181281662923696,0.06218431939896951,0.06815787843112957,0.07713649427074909,0.06876461248015203,0.0628636229168721,0.06262432770942312,0.08567407135426228,0.06150716203588706,0.04413852338745273,0.06126684838330541,0.04891915118661995,0.07024346384568916,0.04324698352289928,0.0397076341603306,0.054182595346317086,0.028247327654133774,0.03612879916903762,0.045619002674217396,0.02429858096287177,0.02587679196784377,0.02507792068211944,M
