state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.01708866167297998,0.015651493413329855,0.016121664830588172,0.014648079880862284,0.010881866457734831,0.014976465554129226,0.0,0.018685767673621925,0.0,0.02236818024686337,0.01593244642714889,0.011860520281489682,0.040520202215104384,0.06451222708303933,0.06598074187096642,0.12894510622620656,0.17933390264731,0.18734136416743885,0.18772374050467128,0.20073468896159946,0.19552509574682522,0.22143123215098712,0.2095000201442327,0.18736296591588597,0.21935947034658798,0.22327873270071028,0.2166908481091368,0.23843344155844154,0.22817380046929364,0.22487989369314115,0.20494674887892375,0.24421712284582067,0.22718510767197223,0.19107916951859458,0.2059555479275723,0.18608978832286577,0.18948708305609396,0.16607728320471887,0.15861800458550232,0.15189945975380822,0.11138918222980891,0.11063045174101128,0.09286112261954084,0.08661821918813771,0.07673577805651885,0.061736760476427094,0.06555777469469896,0.050117462803445575,0.06677850709318045,0.05857182369881067,0.059909782915139556,0.03946107446868482,0.06431118819792256,0.03788483011644601,0.025663804165432832,0.03237231976234908,0.023553889335976602,0.023709962495150234,0.0,0.013806433798149937,0.0,0.017054036934171415,0.011503508570113886,0.011964298533176999,0.011406670620979147,0.0,0.011488178664154585,0.0140324617615417,0.011825083366837736,0.0,0.0,0.0,0.0,0.014227449492554303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9823182711198428,0.0,0.0,0.9596928982725527,1.3888888888888888,0.0,1.3071895424836601,0.859106529209622,0.0,0.0,0.0,0.0,0.9456264775413712,0.0,0.49800796812749004,0.0,0.47206923682140045,0.0,0.2387774594078319,0.0,0.2736512900703675,0.2596559558584875,0.16839066634592254,0.28186027783370243,0.24060707014621507,0.23049645390070922,0.12004801920768307,0.18000327278677794,0.0,0.14812071838548418,0.0,0.15712290502793297,0.0,0.23878560463926318,0.14285714285714285,0.0,0.12202562538133008,0.14774166314900802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12050612572805784,0.0,0.0869414014953921,0.09218005838070364,0.08143322475570033,0.0,0.0,0.0,0.11742257448994568,0.19100793417572728,0.19860973187686196,0.10922992900054614,0.19404915912031048,0.4133236080719669,0.38429865495470766,0.3079076277116865,0.49230769230769234,0.2881014116969173,0.26936026936026936,0.2598752598752599,0.3271028037383178,0.27957951241333034,0.2711558016043385,0.21417862497322768,0.25717518773788706,0.18633540372670807,0.13975155279503107,0.25743037678446057,0.17110730872647273,0.1259181532004197,0.15514052151083,0.1454249316502821,0.1410755600699735,0.14278653413147344,0.14447138950518548,0.11242270938729623,0.1294065149486836,0.1322582021417296,0.10774075915796454,0.1092896174863388,0.09562690794071133,0.09070130247070349,0.07366094917394507,0.13335555925987663,0.09661513859275053,0.06299943632083292,0.07811438663225105,0.08021763392857142,0.06359895248784138,0.06317368815888183,0.031535793125197095,0.03537457747032466,0.04086636697997548,0.033813484817745314,0.036825014227846405,0.017236030197524906,0.020369364475828353,0.016316940247364815,0.0,0.023006639058699794,0.02210572854165351,0.0,0.0,0.0,0.022679165406713032,0.0,0.012302241468395541,0.0,0.0,0.0,0.014653548252041031,0.010213669975895739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00925497454881999,0.010725010725010725,0.039949155620119844,0.014211358428223759,0.013900955690703735,0.011973180076628351,0.010085050593337143,0.01429501739227116,0.012923444744196566,0.010226517359513217,0.01684100222675474,0.0,0.012401049955562904,0.02069707757264674,0.0,0.0,0.010736064588164562,0.01551521599397123,0.02364792962376144,0.01973943939992104,0.023332382754776657,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.021633783316026306,0.0205279796362442,0.05274261603375527,0.038299502106472615,0.019962072063080146,0.04481864455613535,0.022054190296156267,0.025577082933691413,0.06337938902268982,0.0393569676970119,0.05750257248350585,0.07417480529113611,0.07513853667699821,0.07709324931286451,0.13822399029060753,0.1838828311503968,0.2446757185195396,0.2755703665726737,0.23883526909864225,0.31482181085505606,0.26332909941447996,0.22693141998998834,0.22551546391752575,0.15151046659039608,0.1929660753190165,0.19647517668103576,0.15614797149589757,0.19144174508587916,0.19368532767312285,0.23723799157107373,0.24198784158649592,0.2068095838587642,0.14726184997699035,0.13711481561665584,0.11625372375208894,0.15612995960447076,0.10600974280017164,0.12012639385788526,0.12751713511503107,0.1062642792625259,0.10239380102393801,0.07413305510557096,0.07424313251024281,0.0684248039914469,0.03461305489053621,0.061094463677886714,0.06404471485546272,0.0549514113836187,0.023459034660723712,0.03565380158659417,0.060843699296917256,0.04727272727272727,0.03407413016317722,0.038632412594166506,0.02254367837685516,0.0,0.01819306480369683,0.02708139894769421,0.01972931381446553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.06858710562414265,0.05300540655146825,0.07194244604316546,0.10268948655256724,0.052781161185546085,0.0678279636195468,0.0918056090265644,0.11731843575418993,0.14414235299965206,0.11656456933111779,0.11977531802412028,0.11023053385787863,0.13526358119470644,0.1358628116974567,0.171046258173892,0.21996822681168274,0.25443330763299926,0.32532873333635964,0.48141700098402845,0.7505827505827506,0.9045613618838603,1.0652751188785277,1.2305699481865284,1.1938443423225995,1.143509683071051,1.070448307410796,1.0717145977429925,0.8262308754919592,0.7752861174957425,0.8273874543891045,0.619378296392597,0.6220869219933254,0.587588901437685,0.5020482754403962,0.4608385945739547,0.37315788809051764,0.3243758944188265,0.297379315512429,0.2625020767569364,0.255135235616693,0.2370922818405727,0.2378892733564014,0.2605467485603993,0.23212328325488427,0.21568512176839755,0.1792772749854202,0.16311550616780507,0.15320125429452452,0.13309554476700025,0.11944105470659257,0.10741205833445548,0.11332251712222732,0.09024988913940953,0.079229910226897,0.07859158783644041,0.063970910070368,0.0684766256989583,0.040724175871283026,0.03574556308198245,0.03281304508512395,0.029462861555029515,0.022950622300480082,0.020374981153142433,0.014511434156501548,0.023002386497599128,0.01715672257579595,0.013771178104613738,0.009859838602026575,0.015909074091887854,0.014315992360148466,0.014105667854167076,0.013470291741458112,0.012844036697247707,0.010551194395205537,0.014116609072862291,0.012367540826938752,0.012985792989882134,0.01357719032026196,0.013916792761243505,0.012447546756097503,0.010542702431102318,0.010427977811076778,0.012262585924865054,0.012016486619642148,0.009942235611099512,0.011030958513334634,0.007404253743775798,0.010160787598346812,0.009748217468805704,0.009893545450947802,0.01618235843923943,0.019687286007760787,0.018008386762978185,0.011007372116915225,0.012748272609061471,0.015952779771875248,0.012401003353907725,0.018753836011911527,0.01186112989123344,0.010400940497164956,0.011824524062906468,0.01305465549098894,0.012804097311139564,0.013772018013799561,0.012950366018239567,0.016202831268646467,0.01804311582958638,0.0164388170168517,0.0207508554641885,0.020884746037225996,F
Colorado,0.0,0.0,0.0,0.0,0.06149305128520477,0.09009009009009009,0.04088976120379457,0.1220908050362457,0.06833401667350006,0.06475751906749172,0.04992511233150275,0.09423405383120324,0.1128869348226487,0.13321223130487436,0.13590167809028597,0.10989681909762501,0.21392454297938546,0.2859866539561487,0.33486295423539625,0.5107578369405605,0.5477899508877975,0.6184135798573863,0.7826887661141806,0.8203445447087777,0.8647798742138365,0.814520266803489,0.8015903552648455,0.6748283069573007,0.5179558011049723,0.6546456873779718,0.4908990623276338,0.4397295663167152,0.48940464177598386,0.42262991067140526,0.33238595308059155,0.381310937349165,0.3093550534518542,0.29301984860641156,0.25545429439381384,0.16997953307662955,0.2249983209080529,0.21858269712041056,0.27584952559944226,0.16992606725494872,0.242319342276071,0.17702098963162774,0.16486040917813033,0.1350511843988872,0.10852755243237378,0.11224844322099581,0.13881613410162388,0.10804414375016078,0.09234341195715266,0.10015429174674499,0.1081204119956752,0.1041568033330177,0.07736553533586733,0.05913466276815926,0.04820671037408407,0.046379321006740463,0.035229874933943986,0.02748007694421544,0.019212911076243237,0.03193051919024203,0.025368638021246236,0.021949766391771975,0.015423054381689751,0.0,0.0,0.0,0.0,0.012087805821487285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012632323589601072,0.0,0.0,0.0,0.0,0.020142339196992078,0.0,0.011563634681653138,0.016213461805716405,0.01391465677179963,0.014312977099236643,0.012262114969589956,0.012862728956575427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018749414080809972,0.019652156824211457,0.0,F
Connecticut,0.0,0.0,0.06786233640329617,0.05681357032708384,0.06990155530960564,0.07768875940762321,0.07793894782420438,0.11017982922126471,0.1111920555193436,0.08295313148071339,0.11309018942606729,0.09905305281508775,0.13196543357030352,0.08958280010238034,0.1564107841119572,0.3232897969740075,0.342015259142331,0.4261114039711826,0.6039612754241052,0.7661067011260845,1.291411882814639,1.8439297831538575,2.3579794644239205,2.4888497329442214,2.151477092775624,2.149897108198852,2.080843203303271,1.9100169779286926,1.5557126982523488,1.7027081649151172,1.518509785427965,1.281266576896397,1.314148681055156,0.9199019578176537,0.8888582650037897,0.8587886193052889,0.6881380788538553,0.5779610958346064,0.4679625629949604,0.5813786980553886,0.5231731589422803,0.529254544973405,0.5587002867014629,0.5611698965640233,0.47189073914424434,0.36786441568678974,0.371515698148864,0.31950807812876775,0.3133127188581492,0.30883637767438077,0.24491448233984414,0.1812036810815213,0.15919230849793678,0.1671895640686922,0.1818557553213474,0.12569075739516739,0.09995910763778454,0.09057971014492754,0.051150895140664954,0.05306063383338962,0.04319861764423539,0.040549307958477505,0.04055023550329081,0.02343174666934458,0.03070100631076241,0.03483228255947612,0.03194434585078441,0.0,0.0,0.026295030239284777,0.01620798080975072,0.0,0.01860176716788095,0.018217148409035707,0.01767669327991044,0.0,0.013991884706870015,0.0,0.023533718589022826,0.0,0.0,0.015982951518380393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026403337381845065,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23513604299630503,0.0,0.30201342281879195,0.2695417789757413,0.38394415357766143,0.5498059508408797,2.0097020097020097,1.7412086036189827,1.935243766282099,1.8664752333094041,1.5772870662460567,2.088677171124954,1.6276041666666667,1.0380622837370241,1.0658307210031348,1.1995318899941485,1.3093709884467266,1.218390804597701,0.8833196384552178,0.9662873094266696,0.7783783783783783,0.6976744186046512,0.641025641025641,0.4053369363283229,0.5897771952817824,0.3624330286794831,0.45742954109487977,0.5234880837580934,0.4689331770222743,0.4316191885559255,0.3610923042202663,0.2682979180081563,0.2905229412943298,0.2578382838283828,0.26776519052523173,0.23048716605552647,0.16432165964876247,0.18380365444912963,0.15969338869370808,0.22888283378746593,0.15404668799620808,0.124750499001996,0.0768344218209758,0.0,0.0,0.07348438456827924,0.0,0.0,0.0,0.0,0.08431703204047217,0.0,0.0,0.0,0.0,0.0,0.07453786523553965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.08379420144126026,0.0,0.0,0.0,0.0,0.0,0.0,0.05381407237992736,0.036695003363708636,0.029643682931167366,0.06666666666666667,0.026182122846520398,0.045965270684371805,0.05049739938393173,0.08043614264009295,0.0794533608771651,0.11467092918201405,0.10595155456505059,0.1448735460904839,0.28362858604175384,0.27945757742349275,0.42212103965092007,0.4171713093796259,0.4671748217359233,0.5169628432956381,0.47083442322783153,0.594927913844016,0.5143215555090946,0.3988311483178013,0.35553176848382906,0.35130052162804726,0.36978859873028336,0.37219744188107406,0.32111587767492034,0.34647939726537064,0.26345589424787963,0.2756763687652263,0.26650929927090666,0.2664812883790986,0.22424081182775266,0.22665868828083915,0.1846983260674232,0.21072019479911344,0.17291564598403414,0.18078020932445288,0.14605521662702925,0.12137077582103761,0.14705552187871848,0.12190741567163366,0.11920334191316088,0.09612204398875475,0.10039744969777263,0.08543222376914314,0.08883561130673973,0.07715043247707219,0.06149990136808272,0.051761080482461426,0.04341300653675841,0.03787138389366693,0.03944910485340016,0.030560012224004892,0.03403377028302922,0.02595012857109156,0.019436582077041752,0.021495617282476294,0.01517124543282299,0.017972912253674818,0.01710550430692162,0.014346687708475305,0.01452952287282197,0.024452617958410174,0.012598608338340473,0.012912627627489138,0.010707975657202006,0.018746698024779726,0.01383249660290157,0.009569072756849862,0.013061149227471439,0.010995052226498075,0.012538049497433184,0.012984084246205573,0.009223325079639865,0.01019657540731677,0.007344516583918446,0.008232547000359238,0.004561488869967157,0.0061705541157595955,0.010795721809671425,0.011561941172843314,0.007766688672284572,0.012181102542043836,0.009959548909046335,0.011582922139597378,0.010580890911014709,0.01265417625034427,0.013812255105082183,0.007795116005499101,0.008560361247244633,0.0037646917093959176,0.010466230305372397,0.010046380791319927,0.0093544573989506,0.009467333396448889,0.0076676009780451025,0.010943590002609626,0.010829723425524825,0.016021722082149272,0.00871171202564728,0.009043799119133967,0.011270145384875464,F
Georgia,0.0,0.0,0.0,0.0,0.015668250900924427,0.02034956022339295,0.016803192606595255,0.0,0.028520363539567252,0.0,0.01718360683907552,0.0,0.024425989252564728,0.02263424939170455,0.020696142991533398,0.049949125890296917,0.045720192422375065,0.04355318222272719,0.04655312875819529,0.11092511546296109,0.14884449667058364,0.2377546291632246,0.28961759045786256,0.28591267410039617,0.3145739824298922,0.3305149884704074,0.2761625080223264,0.26003112781384047,0.2509620210808098,0.3019114999181565,0.24497621245473267,0.2166643919748874,0.3018535695756756,0.2702417078068149,0.2907906155321773,0.2577604883217104,0.2780669552353296,0.2602057097969904,0.21360186138764925,0.19739240856456744,0.18222131607115552,0.22749471445704184,0.1814340451436552,0.19888717888007576,0.16473899166008854,0.17028182212977988,0.15152195384753522,0.10977196853958016,0.09089002307208278,0.10370510040539267,0.08116978601762208,0.077079059398309,0.06151174150595217,0.07850336356719284,0.06727049948345866,0.047577409731509104,0.050171532401318025,0.043741445725331944,0.04221903233977877,0.03418896927095442,0.04427313922600136,0.02843563391152456,0.011814570318845717,0.0,0.020754174782081164,0.018731056090998875,0.012111983942969858,0.016362327377446167,0.013219862843922995,0.011075248401999874,0.01053582179409994,0.02120505286116749,0.007527626388847069,0.011974793060607423,0.008809796493700995,0.009906875371507825,0.0,0.008062240496634013,0.0,0.01015086726472193,0.006278882861161341,0.006513385006187716,0.0,0.010775862068965518,0.006769655695311336,0.0,0.006780672371472354,0.006609909576436995,0.0,0.0,0.02354544891257203,0.006220685021834604,0.0,0.007395720343161424,0.008595495960116899,0.008567407135426228,0.009462640313213394,0.013122263709783243,0.012503438445572534,0.017187809876379984,0.0070243463845689165,0.0,0.0,0.01204057674362602,0.013380313099326524,0.012042933056345873,0.0,0.012959243180198277,0.0,0.008956400243614085,F
