state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,2.4394717534849595,2.6516883286526025,2.761852761852762,3.2264702251121444,3.2178301663110114,3.155706188943636,2.9607408373548973,3.0604293736733212,3.249432386904617,3.1339775398276313,3.0937098844672657,3.0530456043371954,3.132980379943943,2.809560132214594,2.8712609553246433,2.933561698398789,2.7733849924883374,2.658897078686374,2.679273431042477,2.6804676385080106,2.4970322158090794,2.354824935952178,2.548245437331292,2.5386361651968916,2.3285223919545537,2.3926627696029024,2.367451678324573,2.532130051166351,2.3739286426151085,2.3411638016990386,2.446441976401748,2.287501648734714,2.2338338744588744,2.372360223319039,2.2658352925142253,2.259669282511211,2.2962553374496975,2.3007655449688826,2.245893223819302,2.0681369604393716,2.060072109792975,2.0134810657563573,2.025856514954114,1.848620744351036,1.87868105412493,1.8241786856076496,1.866534288348344,1.641498921382345,1.613447845555311,1.6188297793846382,1.7135715468822934,1.8173224985135157,1.8261550509005482,1.936576705702233,2.084180726616013,1.9329715252325912,1.867824191517748,1.8572291622006118,1.9341202743659274,1.8635870101668148,2.0051795711619755,1.7822442930888964,1.6596973746605164,1.6453547584021726,1.6245570435823093,1.6184333565108975,1.5957705988403255,1.4931554124007822,1.5338230719532913,1.4668978418579184,1.5142351544475057,1.4061530684925212,1.4126011506618643,1.4805004375280846,1.3923930118531918,1.2141724456225889,1.3467283415245253,1.313046603570145,1.1713933415536375,1.1067841770854685,1.3331195455482512,1.2217269275218756,1.1519340366193767,1.2372295857118358,1.286968809932371,1.1586590452649468,1.2366804075600841,1.150173046397252,1.1124395695794562,1.2324915249783197,1.1198945981554678,1.1281002018414577,1.0851778485918526,1.1227221694446843,1.2342429294258723,1.127589522449812,1.0409360006733819,1.0616129758954718,1.0726334304085812,0.9325791163430668,0.9960159362549801,0.9282615275956009,0.9789182952837115,0.986726595968818,1.1561295698364753,1.125650766849585,1.1613319473816266,1.108581239968646,1.132852729145211,1.1478921628066772,M
Alaska,6.956521739130435,17.857142857142858,11.940298507462686,17.272727272727273,6.938775510204081,6.5625,7.8125,9.420289855072465,6.725146198830409,5.88235294117647,4.838709677419355,8.641975308641975,5.023923444976076,6.013363028953229,8.294930875576037,8.461538461538462,6.356968215158925,5.034324942791762,5.995717344753747,5.7591623036649215,4.911591355599214,7.673267326732673,4.811715481171548,5.758157389635317,4.9603174603174605,8.277404921700224,5.228758169934641,3.0927835051546393,3.7267080745341614,5.766062602965404,5.375,4.07040704070407,5.4373522458628845,3.9955604883462823,3.6852589641434266,3.723986856516977,4.642014162077104,4.432624113475177,4.680038204393505,4.163090128755364,3.3229085222830337,3.2456994482310937,3.1994226605725284,2.939400040265754,2.9613177864149547,2.517730496453901,2.4695592522723375,2.7655048273604974,2.2914428929466526,2.573597481947788,2.175805047867711,2.3568435754189947,2.716732998788718,2.0637898686679175,2.6964285714285716,2.8829521429944265,2.481187716087045,2.0261713803292527,3.1087001877738367,2.3700305810397553,2.3146536721197353,2.4264049955396967,2.42914979757085,1.2785388127853883,2.2672243011226065,1.6751787538304392,1.706216905275544,1.4657383657017222,1.7452006980802792,1.326564035375041,1.5907673112913288,1.2736056214317084,1.3885317562355362,1.3145200192957067,1.1553420269961108,1.2531328320802004,1.16335433834222,0.9342206296391092,1.0307898259705488,1.1434511434511436,0.837257980115123,1.1494252873563218,1.1022320198401765,1.0949985202722698,1.0759493670886076,1.0698762955533265,1.3349306862912886,1.0294639687610934,0.7822222222222222,0.9204712812960236,0.9126466753585397,0.7598784194528876,0.7352941176470588,0.7781324820430966,0.7364341085271318,0.8422664624808576,0.7875528236650019,0.7214733244731346,0.6969297419476361,0.46251686259394875,0.607723975691041,0.45616818722729074,0.39591581579495727,0.7033762057877814,0.69359445124439,0.5226845076311939,0.5511463844797178,0.5906965296578882,0.7802340702210664,0.7154650522839846,M
Arizona,3.7392138063279003,3.210576015108593,4.119638826185101,3.096274794388002,2.5207057976233345,3.055100927441353,2.487448653582839,2.631050411729263,2.63986013986014,2.3474178403755865,2.6424950069135043,2.4267100977198695,2.8517110266159698,2.6057030481809242,2.6299600123039064,2.5979744605900486,2.1157801939465175,2.808909065115619,2.4030584380120152,1.8758085381630014,1.8356430829078532,2.003842986549547,2.099370188943317,2.1384615384615384,2.016709881878421,2.0202020202020203,2.29989604989605,1.9859813084112148,1.867591142921047,1.8303016608292848,2.0239880059970012,2.047114494393581,2.049689440993789,2.119565217391304,2.3168733910601453,2.3140226513484885,2.1615949632738722,2.1660003580165883,2.146471991158164,2.4264996332035436,2.1033554835520896,2.2702646922243432,2.2062956717256887,2.074966532797858,1.8558812236016895,1.8771755345599204,1.7993754879000778,1.6992165949464857,1.7487211116351633,1.7643551159283035,1.8303050508418068,1.9223081023454158,1.9695613249776187,1.8509713354163837,1.9252232142857144,1.934156378600823,1.9228491333359656,1.8211920529801324,1.7569373476927912,1.8241260170152693,1.5621829985798334,1.6537779116869205,1.4271433003550622,1.4156708310700707,1.2531410109976178,1.1750175251193378,1.2062052192204036,1.1021284658624393,0.9828009828009828,1.034957954833085,0.9714330601450603,1.068440681382925,0.9835412464829062,0.9644957311222104,0.985935569704457,0.8861546661928663,0.748646760956871,0.7808247854301863,0.8027944601054051,0.7582938388625593,0.721770425307697,0.6670721816707218,0.6309843355634791,0.6191572129778611,0.6286170425064858,0.5506760090792461,0.510145150733454,0.511919020206313,0.5134371659795389,0.5108745950948634,0.40933790933790937,0.45033593608135103,0.4316700122572966,0.44830582102519545,0.4053776683087028,0.38323192254681143,0.3541987642751632,0.3860879117328724,0.41246953350036647,0.3405624894743736,0.34526366501395106,0.3389620321187194,0.3456411954632006,0.2957276788523249,0.3379365013141975,0.30490423430387353,0.3103043198794246,0.3050582921465226,0.2566127121989736,0.31369092370310836,M
Arkansas,2.040594811679149,2.0831012587724187,2.3373052245646195,2.6074034044852743,2.8173592674865904,2.418656974731741,2.5824198382395207,2.5843881856540083,2.7471188329097176,2.781382040789167,2.823574607036527,2.7221172022684312,2.6216510007033698,2.6492584611484347,2.567285277466622,2.3212880576236308,2.426134256397577,2.4920947997871075,2.36642756586445,2.380149686467534,2.335634557068198,2.2882348886897788,2.1885413996411174,2.0186487812857843,2.2541241657222013,2.029183060193934,1.9723010178541631,2.081185567010309,2.0840419282025913,2.0043572984749454,2.096712706372247,2.2229793032961416,2.1031628333378274,2.0695144600689837,1.9397694604928968,1.888685592870212,1.9646910466582599,2.024850437183617,1.7776815568545379,1.9230303470658043,1.8066466754231618,1.779449254145738,1.8959078682787975,1.7002284682004143,1.692258647255725,1.682579216825792,1.6089618626616513,1.7543377237605522,1.6022808267997148,1.5547030488332516,1.5942745759753296,1.5836511309714418,1.590698750578436,1.8034132895431352,1.9431321864693822,1.6867225527312062,1.9127272727272728,1.7832128118729413,1.9277573884489085,1.818523389066316,1.8326809818195118,1.7428956081941565,1.5939337666357165,1.5586157913427772,1.5750164467319374,1.4967557024003821,1.6312427176664388,1.3488443997835666,1.5820249919897469,1.588806309722433,1.4506059493206023,1.5236910638628678,1.4322466689705489,1.2834389979897944,1.3240661644793044,1.2355272359934726,1.2136405236560424,1.137086513994911,1.1597576146715356,1.0249188279935844,0.969730281496604,0.9865470852017937,0.9138988787814682,0.9370587480210517,1.080675753164836,0.8946672542970472,0.9852642496002765,0.9373501329729259,0.9056306601916262,0.7902681584088084,0.8451070468926064,0.8572959457045901,0.7594822937264066,0.9073757973227922,0.7123017650748141,0.6764374295377678,0.7442849548112705,0.7374763917618491,0.7284519221731366,0.6643046944198405,0.6200084068936528,0.662778366914104,0.5884941150588494,0.6730229949523275,0.698641530357638,0.7112375533428165,0.5941417622244667,0.7612456747404844,0.702468487394958,0.6899406651028012,M
California,2.709190672153635,2.268631400402841,3.0035971223021583,3.002444987775061,3.122208688591149,3.1848312008632647,3.2161577871886755,2.9776536312849164,2.85302450420001,2.8744326777609683,2.70320502230299,2.8393865100632873,2.7582803246325946,2.7851876397978628,2.6368370065391136,2.601429793474276,2.541249036237471,2.461906275061661,2.3026265990462496,2.3931623931623935,2.3251675662850704,2.4007287099363923,2.573297106028055,2.384417878227877,2.313612614585615,2.3467520585544372,2.549690571532581,2.4122292595198997,2.402076956972216,2.3659562600227764,2.5631269091331874,2.491183950535581,2.6143890601629987,2.6420375415259825,2.7841234520760776,2.751013398325525,2.700482323633858,2.7429144109547985,2.5770773502954927,2.495120364346129,2.465759731141956,2.412629757785467,2.3609052001454587,2.2613055796823858,2.1950645953056336,2.1740069550942827,2.1106466850171612,2.0610458104346354,2.011955480696192,2.0000712114689305,2.05272898653748,2.1265001300422326,2.1344567206500487,2.2022171897712313,2.3399292993894036,2.15413622436955,2.0535891686299,2.0297786605318437,2.003896266375936,1.8506557428009904,1.7667557325584937,1.6223456288470512,1.4506986581037413,1.362794390050278,1.2482902243964955,1.1682911087327719,1.1213673599471186,1.0788938777986772,1.0903265429951978,1.061129287377834,1.0005183012839438,1.0130912439971056,0.965749235474006,0.9182553750798875,0.9125799573560767,0.8567332827388481,0.7946200135936385,0.8047813007480765,0.7507477113201723,0.7162126902739178,0.6545448019990758,0.6181977280610083,0.6101214921484746,0.5936144390103222,0.5841063421520963,0.5382081618831641,0.516446698628362,0.506940916393195,0.4821189839572192,0.49778667254625936,0.462871252598245,0.45052499429354026,0.40990518441445584,0.40755500863655353,0.4045451841275507,0.3851456830638453,0.3771032383529213,0.3281921302084517,0.33922831488927635,0.32495059553263844,0.3156491006792532,0.30393915861071685,0.3059505357503875,0.3157235129663549,0.3155799719181537,0.2708690705562855,0.2655946650115115,0.30278007156619874,0.277491831893658,0.27107547917705577,M
Colorado,2.8261490151298885,3.1009957325746798,3.46093340325118,2.9053848494067536,3.6157914155700404,3.2522522522522523,3.2466470395812888,3.1819916062571534,2.924695913625803,2.8349402791768603,2.9268597104343486,2.7445668178337947,3.053888657833759,3.06388132001211,2.505317891751359,2.5032053238903473,2.7550888110981457,2.7391166190022243,2.536276820042168,2.5793270765498306,2.2793099105906056,2.271723354578153,2.1704814522494082,2.3995077932731745,2.1816037735849054,2.2255002565418165,2.417596511478774,2.3469692445506123,2.5437384898710866,2.3142299299414266,2.4269167126309985,2.5064585280052767,2.7245206861755804,2.511766400922102,2.842140758225348,2.6788300028960323,2.8546814426126796,2.5360170230578714,2.854874344103839,2.6780448884726122,2.5690106790247835,2.34738809516267,2.2613598472218013,2.2090388743143334,2.1866435886340687,2.0989631627750147,2.0945379854598523,1.9744483159117305,2.0294652304853895,1.92158644466419,1.9172341540073337,1.9782368224731819,2.08696111023165,1.9814308529356035,2.1737893359130482,2.0105419310040085,1.9274109455413906,2.004008016032064,1.9218408535801517,1.6572877373075259,1.823146027831601,1.5938444627644957,1.4505747862563643,1.5071205057794241,1.3286824163627715,1.345207111724311,1.1536444677503932,1.1273461977687331,1.2329042062103965,1.1865401023890785,1.1276009405102014,1.0951552074267479,1.0048406708114432,1.0355809104864022,0.9079748917147291,0.9725702986687512,0.8414760317277848,0.8593601218815463,0.8949952831329673,0.8435938071437279,0.8220715226618529,0.7905332416773053,0.7596549696138012,0.7966225215490161,0.6722689075630253,0.710924713584288,0.6889589905362776,0.6770925444026175,0.6852154405130582,0.6564707561306281,0.6464376912282317,0.5320237364436259,0.5460811960073407,0.5298102072295621,0.5180508337380606,0.5396766572474174,0.4684601113172542,0.446087786259542,0.5076515597410242,0.43218769294093434,0.41012548210114613,0.4411928962358986,0.40933511469911027,0.47853786502926,0.41267459309707955,0.4220263043792456,0.4905704717701662,0.47186025436705104,0.47492712325177694,0.3777242946918037,M
Connecticut,2.821387940841866,3.659268146370726,4.168686379059622,4.123041960879799,4.019339430302325,4.403981548919641,4.299631954968608,4.234053437217172,4.209961274491008,4.168394856905848,4.216648491457652,4.140417607670669,4.095185390149418,4.30424025253818,3.934966042395555,4.362256993835941,4.222573007103394,4.0063257775434895,4.209965361044498,4.10743954218202,4.047640777585106,3.692776712396125,3.9110469016046645,3.8709322173889102,3.8333424343362643,3.9207191595364455,3.906334890796479,3.851867572156197,3.8438226083442775,3.839935327405012,3.8717283659514266,3.5663279879218184,3.6418864908073543,3.7885435894332313,3.9619651347068143,3.599231977657532,3.843984432286085,3.7987575109481613,3.5858669767957028,3.542686943322737,3.4119988626670454,3.5195427240731427,3.344850400646916,3.2053263583402685,3.087708153727483,2.8969322735334693,2.7681140746467383,2.791174342898481,2.7194724878668115,2.9217546782615766,2.8033599838073067,2.8768629367212313,3.0016128694413604,3.073398282694848,3.1432114073155613,2.8562141077039764,2.7284292789313462,2.4957093821510297,2.4576787236633786,2.3491389706237036,2.2271287318805797,2.1112673010380623,2.0243925262796716,1.8711923411662315,1.732901245096367,1.6510501933191681,1.4161993327181088,1.5627175274954754,1.3988657844990549,1.3772022087825402,1.5365165807643684,1.4684519674098402,1.2773213455278252,1.4057566188972554,1.3522670359131486,1.2748278413294634,1.3488176857422696,1.289685188646498,1.2760505190492377,1.1933604824990978,1.2055593949166858,1.2226957911561003,1.114090620075747,1.1827438522846527,1.126612573696807,1.0919781604367913,1.2126013040034123,1.1511301712185213,1.067718353212774,1.341842578955981,1.0750909692358586,1.1561084443242513,1.005737194995507,1.0223335277368006,1.0102813080108524,0.9193280413513015,0.9008668004087967,0.788128099650148,0.7931965001226593,0.6858473881723677,0.608821141877875,0.7943838906336598,0.6959138571495745,0.6036121673003803,0.6369128459701213,0.6537204383772351,0.6022326674500588,0.5611099775556009,0.6336800971642815,0.556964817469946,M
Delaware,3.0434782608695654,3.1407035175879394,5.830258302583026,4.878048780487805,4.360607545320922,4.193319118692253,4.45775116433799,4.927809165097301,4.0141998907700716,3.87682155622766,4.314994606256742,4.326647564469914,3.77906976744186,3.809228863425209,4.022988505747127,3.7957675512260667,4.2481456507080235,3.48993288590604,3.975741239892183,4.7469458987783595,4.204398447606727,4.4005544005544,3.516558552406965,4.354298474134723,4.881550610193827,4.381352961794603,4.323928178820081,4.166666666666666,3.9635105379050017,4.639498432601881,3.7448800468110006,4.2105263157894735,4.32183908045977,4.19063270336894,3.6933648271419366,4.194594594594594,4.096601073345259,3.533458411507192,3.529809153859145,3.99737876802097,3.5297825401827922,3.5561457872214848,3.030720484915278,3.699361729842386,3.428289554815637,3.0241480478447302,3.26250268297918,2.8952113804848727,2.764026402640264,2.86302780638517,2.50392875851231,2.957789873677724,2.897610552492161,2.7041413818801234,2.9863760217983653,2.903187581466998,2.8567864271457086,2.996542451018056,2.8648857917150603,2.6208651399491094,2.7311696264543786,2.5523560209424083,2.670488835244418,1.9314019314019315,2.4390243902439024,1.93929173693086,2.1419934358265675,2.2510680249753534,2.1290219305266525,1.8367346938775513,2.1090152977870193,1.8187239117471676,1.841756298806542,1.7701770177017702,2.127659574468085,1.727364329926587,1.508467340259001,1.6037735849056605,1.623502126014689,1.2598425196850394,1.6308201370834319,1.158254084369666,1.266313477193436,1.5218855218855218,1.1896622453165595,1.3964871868701412,1.1790714812085483,1.1287687509282638,1.0661928031985786,1.200937316930287,1.2244309997118987,1.0643150372510264,1.1531638083973978,1.181896800230614,0.9318148202928561,0.9395973154362416,1.0177730518000911,0.964482547458665,0.9191759112519811,0.6864222333835593,0.8179603202227637,0.6259780907668232,0.8542348237004724,0.8736942070275403,0.673216885007278,0.6016168452716676,0.6888633754305395,0.5703809329802404,0.922874093605801,0.7947639083683964,M
Florida,3.0836266130383776,3.0953658972982643,2.903894906660521,2.985557232162104,2.950604093038547,2.886729555287609,2.800555941626129,2.9732274989909864,2.6726194116567794,2.7805774589434993,3.166666666666667,2.979525579934021,2.640449438202247,2.519820229258193,2.6409866833497184,2.6894962656920387,2.686079644172632,2.626867852836944,2.6201415621507516,2.4968614869577346,2.712112882536192,2.3098083855055966,2.6196563943838873,2.5719203343988197,2.570966997461343,2.4500828319818644,2.7010595796421746,2.4294375914697888,2.554888643184331,2.569003746463797,2.5584613746850717,2.6736042934747037,2.6112899890703924,2.8323423898045705,2.841596130592503,2.907258903191514,2.735393426507672,2.5318383430736136,2.7613640752326885,2.692790087795979,2.5059384576329577,2.467636194216114,2.567664595885493,2.3905588057292717,2.2495582438493953,2.153345052217971,2.210851975249881,2.084596214723513,2.006030063239472,2.0232921220304654,1.9720522573176782,2.132152024509398,2.2149095051259335,2.327921139664565,2.4003564132655275,2.2488077141763076,2.296747478152009,2.1681695836072485,2.219751759186865,2.105886038497685,2.0387893869443263,1.9465120874777684,1.762249640236854,1.6715460586255906,1.6730755451527382,1.5563169273170916,1.535400218242506,1.5211680615798155,1.4741221620458376,1.4395404200149766,1.439647882301399,1.3577423293857693,1.3410686121692292,1.2439098388449663,1.2509160318353019,1.1920357366618117,1.1355299671461836,1.0287575773873092,1.0393989371449515,1.0455340164248448,0.9546718785236413,0.9798009180755888,0.8856454068069425,0.898234378213226,0.8546880613100228,0.8567996594088311,0.8137418240157966,0.7988834139156855,0.7815872232842078,0.7323987417964352,0.7620802277866175,0.7132569257170875,0.659454367147744,0.6522363468718352,0.6140997297961189,0.6062853030336074,0.5314851821931205,0.5557101176336309,0.5398567911273746,0.5257267991852442,0.4922726587746764,0.4694236803837028,0.43980066959867115,0.4362013000843436,0.41754004933033645,0.43402199266911035,0.4393324844631458,0.40248109558490436,0.4160147594801624,0.4141778428941733,M
Georgia,2.7422570136626634,2.8105705112373425,3.0934650984758854,3.3844663329565634,3.2903326891941296,3.348633187871662,3.2619197647553033,3.2855974671335413,3.243716013233449,3.2846908994428228,3.165220379757711,3.184110970996217,3.0288226673180265,2.9141596091819606,2.854186265286924,2.8914993987605215,2.7153818629984494,2.7249143138480183,2.799006866586492,2.5774963193029867,2.571484528006267,2.423888295621688,2.410304289007869,2.411877629375485,2.2864157747343383,2.3405073020753266,2.283202707170501,2.4655506206582394,2.3683378878292713,2.3589109361075242,2.289995029468153,2.3594240480414905,2.2293143836370213,2.4744478161752492,2.4633466802673447,2.158546420608188,2.227275217796285,2.193337751920858,2.2212050705013286,2.118510881728001,2.0961822722870687,2.030143049665558,2.018453752223164,1.868118858766426,1.856745718502248,1.8502434230074742,1.7138816557421208,1.7325864312793526,1.6080542543522338,1.6746016781370794,1.6269248414836426,1.6684651780526274,1.6596109080821604,1.7971231536612762,1.914806717439877,1.8182285773068616,1.7465117225107463,1.879471151811037,1.8857834445101185,1.9282578668818293,1.9662482420959426,1.8076938700897753,1.7588941562181561,1.5619177741895416,1.615632683035857,1.532540952899908,1.4949648752465654,1.4611558348059428,1.478972155663885,1.585342699829125,1.592414208308248,1.5388809790675835,1.4347655897142513,1.4190129776819793,1.349367162951869,1.3303518356024795,1.2902598575019792,1.205304954246785,1.1323145142133184,1.1851137531562852,1.1151295961422545,1.1619878851038885,1.0149664544985377,1.0883620689655171,1.095330291501374,1.0788157361092334,1.0944005207556382,0.9729786896515256,0.9270381783046953,0.92388131678469,0.9975834934010781,0.9405675753013922,0.8401785379393121,0.8394142589488216,0.7821901323706378,0.7502600820023254,0.7167950037259146,0.7086022403282952,0.7126959913976344,0.6928009519402393,0.6968151613492364,0.6386137900214793,0.6456167183846345,0.7103940278739351,0.6467151331341153,0.6217164190338558,0.6040585181689476,0.6107043348668437,0.6589956354477547,0.6914340988070076,M
