state,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011452917057974667,0.0,0.0,0.0,0.0,0.02574797878366548,0.015555728396982188,0.01561320877462333,0.012995789364245985,0.02365122329382703,0.026350461133069828,0.027649514751016117,0.025837567823615536,0.040302847108270715,0.026322716504343247,0.04370502024999272,0.04208636121320951,0.04223924307276414,0.017300539200138406,0.04280691025837028,0.0718437724511789,0.06053879527797396,0.055938188301926366,0.04213779057518084,0.0590216296913516,0.03869424511045448,0.05376536793433456,0.05225635474599678,0.07525944704111542,0.05658623337779394,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11045655375552282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09635767970707265,0.0,0.0,0.1250260470931444,0.0,0.1631986944104447,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01657879903179814,0.0,0.0,0.022446689113355782,0.0,0.0,0.0,0.0,0.02366943937242172,0.0,0.0,0.01697447039652363,0.0,0.0,0.0,0.0,0.0,0.01687431448097421,0.0,0.012599536337062798,0.027389756231169543,0.014762689762074649,0.01663023852513542,0.022209390130147024,0.01964379256155055,0.01256018421603517,0.014299137966254033,0.010083694665725522,0.017895134511761078,0.0,0.022034373622851648,0.01629361086783845,0.027938535222510476,0.03157998618375604,0.034651368729064796,0.03863539775141985,0.04199114368605894,0.053678852383155944,0.050050050050050046,0.06537134556019611,0.07460963174817473,0.10599478714161598,0.07868089764641488,0.0874037718089219,0.08894677488524277,0.10177212736054794,0.09033423667570009,0.08046256619449486,0.08832326314310376,0.07440629973337742,0.09520655683417502,0.07340757985696009,0.09387125036505486,0.0708580262818861,0.0908748365361172,0.07803816775841275,0.09376233714962495,0.08814455707360071,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021875136719604497,0.022198543775528327,0.026003293750541737,0.0,0.03595182455509617,0.04941155331955799,0.026879311889615624,0.02705749718151071,0.04873294346978557,0.049464879935245974,0.032897828743302944,0.024603877571105204,0.07881462799495587,0.04241781548250265,0.05499945000549994,0.050476724621424565,0.044358192403659555,0.06827880512091038,0.04753134097795734,0.07549543881723812,0.052521008403361345,0.06209465985925211,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012111119521610779,0.0,0.007414437392490658,0.0,0.0,0.0,0.00782154365985671,0.0,0.0,0.0,0.0,0.0,0.0,0.006617945978652398,0.003815512346997955,0.0054348933741856145,0.005266726795130911,0.005051206606978242,0.003710181798908147,0.0023415694134836934,0.008069684095602022,0.006506180871828237,0.007365973804755656,0.005190311418685121,0.0075926199733858685,0.007965014621491127,0.004776672202707271,0.007199890561663464,0.009175247221939036,0.008149002888006624,0.010238118828230787,0.008415900873635248,0.005949939091412985,0.012384974548877301,0.01061763401640112,0.011229436095150756,0.011772828947159088,0.015151005016666105,0.014901649115835486,0.010716888387179744,0.012510947078693858,0.015888421830691595,0.012868836081507143,0.016178307523289238,0.01548498567638825,0.014084627269545623,0.011501193248799564,0.011846308445192442,0.012197329178372168,0.013652084218190643,0.015169117157381439,0.013966821814778992,0.01508978421608571,0.026627320884277664,0.051987767584097865,0.03496967285268121,0.03323285052569664,0.059026899401298585,0.03564185735520841,0.03487474376381013,0.02985784628775879,0.0440451654446527,0.04486256353660561,0.03989834988585898,0.03424269277132128,0.03989473557721194,0.03678627176106819,0.04078889310744667,0.04495439773006735,0.05464856032624366,0.05821078431372549,0.0684067999751248,0.07533166859645941,0.14094955489614241,0.11405311616552853,0.12729038012125043,0.11586763326902538,0.10654177919073828,0.11245455314111778,0.1139437612238867,0.10971545149390931,0.10716120512230559,0.11298989660110624,0.12385185978630533,0.12163892445582586,0.11568495131591632,0.11484929863544038,0.09545581030006939,0.10248489791205063,0.11813010367923663,0.11718130144482918,0.09675178266225104,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013095861707700367,0.0,0.015830299192654742,0.0,0.0,0.0,0.0,0.0,0.01928268414963363,0.018551728402696185,0.0,0.015266709413453025,0.019212911076243237,0.0,0.0,0.0,0.0,0.020497203595795144,0.0,0.0,0.0,0.0,0.01147078391337264,0.01603775746328499,0.0,0.0,0.0,0.0,0.01693234319440749,0.02925758868706571,0.019515050983070693,0.022095649612098596,0.014702999411880024,0.022617043198552508,0.030557677616501144,0.015343698854337152,0.027760252365930597,0.027791111897122356,0.0341388475700456,0.03567775848536023,0.03450735006556396,0.08184980560671168,0.05595094221386688,0.073771041512977,0.06013090034459631,0.07411868254041784,0.07421150278293136,0.06202290076335878,0.056405728860113795,0.07203128215682239,0.06790156988429573,0.0642242823634536,0.06822251911651837,0.060537922684424456,0.0779175805148332,0.07515536927301633,0.058750954703013926,0.08124746101684323,0.0687825488847401,0.06685385746757588,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150324270927286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015789806101181077,0.015501472639900789,0.0,0.0,0.019919185020772865,0.016790261648244018,0.018691089690528958,0.02091886096802029,0.0180421671220166,0.020476592694975558,0.031965903036760786,0.033173914245431674,0.014181580962645716,0.032105539664934915,0.04499910001799964,0.08226189750776917,0.07093799374455872,0.09619084263178146,0.11127475045000818,0.10916308303010255,0.15888040024339126,0.15552637036012995,0.15437922398710077,0.16421533628444954,0.11814657559534797,0.16654680343692038,0.2229825842912614,0.20034344590726963,0.21567527929948668,0.2615676016956796,0.15702937372990947,0.20219118822588986,0.19011406844106463,0.1966936730201845,0.1826571813112863,0.1517822169996083,0.21424199143032036,0.13201668690922533,0.17646410058453735,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07322788517867604,0.10083549409392106,0.12163600425726016,0.13305736250739209,0.24502738541366387,0.14790711433219939,0.16405667412378822,0.0,0.22963870177587264,0.14263074484944532,0.1841620626151013,0.17403411068569438,0.19127108328986264,0.19992729916394036,0.26590693257359926,0.1455604075691412,0.18800526414739613,0.0,0.18333672845793442,0.17578554163920018,0.23375409069658717,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005949547834364588,0.008980489885723267,0.0,0.0,0.0,0.007245176782313488,0.006328312871788382,0.006421851419764318,0.006519754857217368,0.0,0.0,0.007442229692015728,0.0,0.005801338949029436,0.0054571450400008725,0.0,0.0070773077921158795,0.0,0.0,0.006321352263676246,0.00770267668014635,0.0,0.008368901163277261,0.01005890045041521,0.010188590816004239,0.00775298974667106,0.008300974903385876,0.010707975657202006,0.011077594287369838,0.013018820332142652,0.011961340946062327,0.021512481080541192,0.016126076598863844,0.022289865773214547,0.016400948521522827,0.026960488694331913,0.01747984355540018,0.022033549751755338,0.020207160819063586,0.029649677654786523,0.028538812785388126,0.0462673791843061,0.05318492939507923,0.06601685371441886,0.06547342616348563,0.11491787202745771,0.1034741044470699,0.10127424157685505,0.1138875862530984,0.10540931527562719,0.11692674008248649,0.10914460590236907,0.12423482641006527,0.12237438510896957,0.11971937109656247,0.14201767142043184,0.1428706676191378,0.13290508361944844,0.11953767541312052,0.12162612462512495,0.1332332678410308,0.13328919399240338,0.13656136669892288,0.11645816897704647,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007527626388847069,0.007484245662879638,0.0,0.0,0.0,0.0,0.006598569430147545,0.0,0.006278882861161341,0.010421416009900345,0.00793976365970173,0.012122844827586207,0.01489324252968494,0.0189265918615655,0.020342017114417067,0.027761620221035378,0.01697393847600146,0.0304576258280667,0.02602391721915856,0.04354479515284223,0.04751009589537777,0.05423528251651711,0.042977479800584494,0.04283703567713114,0.057958671918432035,0.059646653226287476,0.043762034559503865,0.05288556885039994,0.05900450963037889,0.07063673975406883,0.06765004338426694,0.08879925348424189,0.06838826695211335,0.06924686507398876,0.06134969325153375,0.06803602669604095,0.0759052564390084,0.0823988822412496,F
