state,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.009970885015754,0.0,0.0,0.0,0.00970952342422526,0.013629084466250978,0.02102017937219731,0.021503394464411883,0.016522553285234345,0.03279717088751996,0.0314654309333791,0.04797627355198883,0.04050105592038649,0.02147551075923089,0.03893351021644148,0.048722468222919625,0.07088402505533294,0.045386851996312316,0.04285897967055731,0.04551126770902151,0.06640596177967976,0.09034647874599087,0.09147596469027762,0.09866875489428348,0.10749710897926608,0.10900867188389762,0.13039188046236255,0.1428115076009546,0.1520082630132715,0.1455575051842399,0.12634488204520777,0.11044673801272042,0.16291440124050485,0.09915075225244645,0.08147561389611858,0.12886004878273274,0.1318723475675546,0.11450567655800808,0.09432877027493386,0.1005001076786868,0.09353469909202901,0.08959971328091751,0.055143257587942,0.05379110341924318,0.05203036681408604,0.05712381587090017,0.0520697734964853,0.04336513443191674,0.031148915778123877,0.03556862373138576,0.050101341349547954,0.050392835055088535,0.040095285266161934,0.036376864314296105,0.03919935321067202,0.027758150802462904,0.028322776662032034,0.025926213994970315,0.01561320877462333,0.02599157872849197,0.021023309594512915,0.0,0.01658970885060967,0.020095886085034306,0.023030198347583266,0.02339797022608289,0.014568340083330905,0.01964030189949777,0.0,0.0,0.015288182235132243,0.016328130102540656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10289830217801406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266357112705783,0.0,0.0,0.10442046641141664,0.14272970561998216,0.10654165778819519,0.136986301369863,0.0,0.0,0.0,0.09160864785635764,0.0,0.0,0.0,0.0,0.0,0.0602990834539315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04896817068905211,0.0,0.0,0.0,0.0,0.041277539858624424,0.03747423646243208,0.040160642570281124,0.10239344681940356,0.037294878170064646,0.0858704137392662,0.066203243958954,0.04716467728476581,0.04910729944929671,0.09001500250041673,0.09994669509594883,0.06631519612719255,0.06792555359326179,0.055803571428571425,0.0411522633744856,0.03948355509930114,0.07489750867234311,0.09040169797971857,0.08173273395995095,0.0743896665990397,0.06360684275718924,0.037919266434554795,0.06450298750678979,0.07505792513787814,0.06676235938178054,0.06244659173075659,0.041053495863070805,0.05528255528255529,0.02249908597463228,0.028802597470608256,0.03527870174377583,0.017429844874380616,0.012302241468395541,0.021381735246602678,0.0,0.015278505325650428,0.018840276324052753,0.0,0.0,0.015906786232676516,0.014193025141930252,0.0,0.0,0.0,0.009868745682423765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015132408575031526,0.0,0.024055230809939623,0.031485383516190756,0.044608559886991646,0.050480829904843635,0.04439453686052281,0.047818925668136655,0.05313213963126295,0.06365020063650201,0.054913374152274784,0.06324414991613275,0.03991446899501069,0.05768842481756036,0.09018706542926135,0.08151145527058892,0.08965756594169366,0.09090375931030438,0.10993255489199869,0.060843699296917256,0.09454545454545454,0.07950630371408018,0.08885454896658296,0.12399023107270338,0.09145114679738084,0.12007422770439909,0.10058805323429278,0.11443002012390009,0.08126620486823265,0.11942199753194539,0.11651733697617421,0.08502744067403571,0.06408202499198974,0.03033520400424693,0.05508630187293427,0.05053057099545225,0.030718427216526515,0.06958404205968764,0.06989205560301312,0.07770611547128758,0.08356213441566193,0.027830788804071246,0.0,0.023471423541837812,0.02748223469828432,0.028536485935589072,0.029617093293843873,0.02567284241153566,0.0,0.0,0.02160667214035694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
California,0.0,0.007624275693809088,0.010192937750273025,0.009122422915526363,0.011909156950779456,0.0069723661886722296,0.008455676401264123,0.0,0.01526204938799182,0.020380850153196056,0.02040856633113228,0.025256033034891212,0.02279111676472147,0.03371859955416518,0.03892435857878622,0.05530253741054002,0.06215040397762585,0.07050173010380623,0.06873319133801944,0.07244370441451453,0.07863137318302739,0.0683989603358029,0.07578074557379277,0.07399294622310014,0.06902473661613659,0.07541941936757743,0.09613848952967297,0.07833496402164894,0.08525335548463255,0.08453269949405151,0.07572792674118549,0.07238813507962695,0.07166983622378019,0.0628724118714545,0.08078497256528033,0.06735309254314915,0.07619705574576599,0.06960434632112812,0.08272242348175828,0.06316741926947733,0.0513446127178552,0.052695647911373274,0.04328084547164318,0.04019780353133912,0.03958769599609303,0.02758447308418851,0.02689918055910931,0.0263140582856391,0.030886850152905196,0.026227254639510908,0.022351297698698626,0.027826966860612194,0.02182718396171678,0.02049889518941512,0.019483509865740906,0.02154383092401491,0.017496399779276188,0.012694929509136949,0.01133710774185637,0.010814837957677934,0.011433570952764439,0.009491754999846079,0.007668691377482078,0.008238476431092009,0.006127450980392157,0.007914836360758242,0.004743105059777074,0.0057064597123944304,0.004573558542978588,0.004798085281732278,0.0070823736717008185,0.004557937077678643,0.0033820918237930163,0.003978086426769112,0.0038548672146508675,0.0,0.0016422950087370096,0.0,0.0,0.002065802702069934,0.002726392845945172,0.003170119161256917,0.0,0.0019114903507967092,0.0,0.0,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017441657655143543,0.05178127589063795,0.07978631144413224,0.08395459735375109,0.07602876421579498,0.06972020976689199,0.0775101359408538,0.0750036059425934,0.10115485121807301,0.08107888975973622,0.10804094751910975,0.10581436362156443,0.0988855333137344,0.11000523834468308,0.14148637872044864,0.13983430953511689,0.11639552824621714,0.09389404199624424,0.08206293595934729,0.06727437855292812,0.11498406649364303,0.09641342074816814,0.13604600828643867,0.09394633315718397,0.09465359836340875,0.08645809984309455,0.07982629797560509,0.07293483431108293,0.05017089460976451,0.040099941392393354,0.049778923018359636,0.034406629010522695,0.042662116040955635,0.04045205167749602,0.01450536698578474,0.029824038174768867,0.027493298508488556,0.023162624788641048,0.0,0.03218760777100816,0.014282993715482764,0.02418906170629641,0.012190661952944045,0.02195443235595453,0.0,0.014702999411880024,0.015078028799035007,0.0,0.012786415711947628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017225935368290497,0.0,0.0,0.0,0.0,0.014319672365896267,0.0,0.04498663632273942,0.0318557181013992,0.03804541671620497,0.05671763691637552,0.07006941251176947,0.05583472920156338,0.07636042118800739,0.055290479798496925,0.06908182132190097,0.05869851229632629,0.06515188533268182,0.07750151861083764,0.06811426684280053,0.07852862161603638,0.07151370679380215,0.06815393702576218,0.07627765064836003,0.10717330410425038,0.13265158458347404,0.1007967745032159,0.16219723183391002,0.13724695093421505,0.15398004954140723,0.12621524816646768,0.15674527151764256,0.16327110101512032,0.11485451761102604,0.10998453342498712,0.06245069681830134,0.0583487309151026,0.06315922440472431,0.0961091303673849,0.04554287102258926,0.04124561765312436,0.054066359342097775,0.058765915768854066,0.0694240474219647,0.05229715242005073,0.025774524460023714,0.040953185389951116,0.06126798082045818,0.03593840709921765,0.019854213347704004,0.0350242250890199,0.041999160016799666,0.027420632502589724,0.025795634088930448,0.0,0.029455081001472753,0.016539861065167055,0.0,0.024192990944909103,0.0,0.0,0.018460402436773122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09162303664921466,0.1056125528062764,0.0,0.1327360212377634,0.0,0.0,0.0,0.0,0.0,0.0,0.07453786523553965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013325464963545336,0.015448190630672383,0.030405533807152902,0.014506156049973708,0.024959233252354485,0.039022258296132116,0.03890602034640768,0.053010738072583934,0.02455795677799607,0.04283674440742504,0.048270133135762554,0.048980658082352815,0.05063504789231613,0.07648420704481562,0.060031464767740336,0.0696114415896722,0.07278098275732893,0.06519754857217369,0.05569802388052774,0.0553723186556564,0.05333597945944605,0.07207779515246286,0.07773794191699444,0.0731257435360117,0.06806754056605845,0.07431173181721673,0.09961248314483899,0.07165205760825433,0.07332768625864444,0.07445920790808139,0.06109108681043436,0.05021340697966357,0.05252981346327943,0.06215040397762585,0.04264144360669083,0.047038857785853296,0.03747791480020703,0.035789150774579476,0.03987013726718688,0.045453095595036845,0.032268721620811784,0.04031519149715961,0.025772657300279323,0.038952252738616716,0.026960488694331913,0.015294863110975157,0.014689033167836893,0.020207160819063586,0.019006203624863154,0.016969023818338886,0.019278074660127546,0.013874329407411975,0.011650033008426857,0.015987697086432537,0.009959548909046335,0.016988285804742823,0.009069335066584035,0.01786471941225073,0.01453921590008651,0.0035432345479541366,0.005706907498163089,0.0037646917093959176,0.004830567833248798,0.005023190395659963,0.0,0.004303333362022222,0.0076676009780451025,0.00589270230909749,0.0,0.0059027397144760475,0.005227027215388368,0.004521899559566983,0.0,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076123197783292485,0.007906763445451239,0.0,0.027002479318555615,0.026700232673456156,0.02514552975344808,0.0407767980019369,0.029673223624831543,0.03342206094751543,0.040250976678110575,0.06520918419878505,0.0468560718612146,0.04826254826254826,0.06563684716799638,0.04427975482998905,0.06717262185349297,0.09646264425282625,0.09605236632712352,0.08322176791981763,0.0833343397867124,0.08168560651562838,0.08872543976957104,0.08135924173186707,0.09594897772008296,0.11821329055138056,0.09983179027118691,0.07943122037606126,0.09072321295581644,0.12405298834788003,0.09470873183455472,0.09099907404450973,0.09365528045499438,0.09862615496418314,0.07035800772301852,0.07270924564157646,0.06328713372571357,0.060204695966285374,0.06967374511526461,0.0541989099996989,0.029936982651518552,0.05432707837782281,0.05378018058818534,0.0444438271690671,0.044342322731487076,0.05410826932720986,0.03933461065079748,0.043952180028129395,0.03647495603465121,0.03308234858209054,0.03502155172413793,0.02843255392030761,0.0189265918615655,0.020342017114417067,0.02643963830574798,0.0,0.012690677428361125,0.009913873226346119,0.022394466078604576,0.010002125451658479,0.0,0.0,0.008567407135426228,0.0070969802349100455,0.0,0.0,0.007932835327559992,0.0,0.010090962822009832,0.0,0.010535504650672768,0.00892020873288435,0.0,0.0,0.0,0.01725119464522918,0.0,M
