state,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.02397679046682811,0.0146177459435755,0.02300701714022777,0.014357158239812401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013743500469569599,0.0,0.012125621438098703,0.026949555332337016,0.01514080952861613,0.015448787270199289,0.0,0.0,0.01819410510994438,0.0,0.03162055335968379,0.04423922360162579,0.037320931300777994,0.08060569421654143,0.07896814951302975,0.09615104454998398,0.17395695968126595,0.16050912367650372,0.2652749344021222,0.3027060082556184,0.3330938540918294,0.30605724279420177,0.36709436073139184,0.39328604536835454,0.3471860570079506,0.4080484029829745,0.2939173447076956,0.4329812250382591,0.3762972352055771,0.36376864314296103,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09689922480620156,0.1339969372128637,0.21129466000768343,0.284792101765711,0.13185157280090412,0.23125843129697438,0.2352479905900804,0.2776675922253074,0.4792665138570536,0.1607717041800643,0.346797225622195,0.3136107045787163,0.2204585537918871,0.2953482648289441,0.0,0.27517886626307103,F
Arizona,0.0,0.0,0.0,0.02284371634631074,0.0,0.016433313613357,0.015789806101181077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012220208150878837,0.0,0.013816243955393269,0.0,0.0,0.0,0.014807959278111986,0.02323752323752324,0.04358089704013074,0.04441049508819924,0.045178105994787145,0.06499726327312534,0.09412713887114667,0.13500849759367206,0.12277272506986737,0.19430382983075112,0.2077056941299751,0.2268301985266074,0.25215468242977906,0.2959682092888484,0.3355775079175318,0.3254203345988569,0.2641071888688482,0.3213866170179755,0.2766807765980088,0.34790761942360837,0.34480076737614396,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02995164948012494,0.0,0.0,0.0,0.0,0.0,0.0,0.03467105833405565,0.0446508305054474,0.0404458026244832,0.0898391878537418,0.07615805035391093,0.0992108229988726,0.12847776005670744,0.20685313427466498,0.18798759281887395,0.22143489813994688,0.3205128205128205,0.3923647932131495,0.34099659003409966,0.2860347728547392,0.349320765178819,0.30725462304409673,0.3624264749569247,0.34602076124567477,0.4267331932773109,0.3863667724575687,F
California,0.0,0.006927493592068427,0.008536137739118559,0.008215138034856831,0.008986854682559782,0.008262706862768242,0.008722164917177356,0.0062896339433045,0.0055867287259115965,0.0036084266603683217,0.004698938979578411,0.005198776758409786,0.005124865849099832,0.004999632379972061,0.004497287573432273,0.003315521614437992,0.003460852434576578,0.006072782295815347,0.002633134890712933,0.004710569171343589,0.003173732377284237,0.0055528690980521,0.015621432605534794,0.007456676708324633,0.007952551486357526,0.008726441912307193,0.0065907811448736075,0.01253342245989305,0.015264327267176608,0.025668568558793573,0.03480940424560603,0.03230075720978627,0.0530611784097452,0.05382603990492622,0.07463621964698777,0.0955440940221527,0.11451205928485371,0.15211899085506886,0.1796526085873947,0.1895208440082509,0.1954850976086549,0.20924590605835972,0.2423875170428723,0.23310658832831221,0.24409917541678264,0.25946000562945215,0.2714316298131327,0.28847757890411074,0.30559924303451097,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.014640859711282246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015078028799035007,0.0,0.0,0.012618296529968456,0.0,0.0,0.019028137858858787,0.025305390048080245,0.029556874246868106,0.029094489951210778,0.05141618044843851,0.06244362728092694,0.0764348913698059,0.10667903525046384,0.13358778625954199,0.19864626250735729,0.19808602593126157,0.21728502362974633,0.26527420976209093,0.25867705165013216,0.2680965147453083,0.25106775943668475,0.2919497037144096,0.27906703483931616,0.31561513702696786,0.3177098686580852,0.3777242946918037,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023155805491233875,0.027043472381853832,0.0,0.04459844248516245,0.07139797229758674,0.06645744877238324,0.07948824709489383,0.10380223751489755,0.10221604383023959,0.13803217875167148,0.2705871741679444,0.24478108257897654,0.31504208397987493,0.26140684410646386,0.28567414414836323,0.2835993078254182,0.33783783783783783,0.30605998775760046,0.34324338596398585,0.28123966030660635,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10089362928797925,0.07395355716609969,0.0894854586129754,0.2582409235910679,0.1837109614206981,0.31695721077654515,0.30135610246107486,0.33066481030281936,0.3477656059815684,0.5089058524173028,0.41785375118708457,0.4730713245997089,0.41361158112427143,0.36356678147722926,0.5296394377673661,0.6372225884421007,0.6311360448807855,F
Florida,0.0,0.017693269480289698,0.010933077418335987,0.01910721536220115,0.013906974980087741,0.014121573913601642,0.012218217362086871,0.007173343854237652,0.00782358923921183,0.008150872652803391,0.004845618591669413,0.004611652724103264,0.0,0.008521226374899875,0.00406838135379458,0.004784536378424931,0.005378120270135298,0.007330034817665384,0.004179349832477727,0.005466982840507609,0.0,0.010924902222125112,0.01762683980140427,0.010477787091366304,0.004561488869967157,0.010027150438109343,0.003855614932025509,0.010020349016464205,0.0163100462117976,0.03425935089949829,0.03600759990193675,0.04942046779561548,0.07482201429931828,0.09230105029662879,0.10395539368561854,0.1608628484771178,0.17263395181943345,0.22437562587999665,0.2391131077458155,0.28799624935117124,0.31975236200049323,0.34857000232380003,0.3067040391218041,0.32746588546270344,0.3190603132289237,0.3271804298881009,0.35195316583615016,0.35632568529387826,0.3766106916112551,F
Georgia,0.0,0.0,0.010868215128555458,0.007982374916185064,0.011919762966999285,0.010381700522545593,0.0196347928529354,0.01156737998843262,0.011075248401999874,0.009030704394942805,0.0,0.0,0.0,0.0,0.0,0.006944347995166734,0.0,0.0,0.0,0.0,0.0,0.00926305760298535,0.009428879310344827,0.009477517973435871,0.021630390698932,0.008136806845766826,0.01321981915287399,0.020891001201232568,0.01903601614254169,0.02354544891257203,0.04354479515284223,0.052511158621207005,0.06532886303125925,0.11051351948721728,0.12483936111621077,0.17032752563784112,0.20399155403390315,0.26382255120158044,0.23137436372049977,0.3329540186285666,0.32723550865660456,0.3470741356236305,0.3536919418440143,0.3924891842469113,0.38687922443511114,0.34764826175869123,0.3660986198406013,0.36917556540790447,0.3851252104754057,F
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145602795573675,0.08975317875841436,0.17614091273018415,0.19685039370078738,0.12892828364222403,0.19056693663649357,0.2910460537579182,0.16722408026755853,0.15493200206576002,0.2235982112143103,0.22090059473237042,0.20982689281342895,0.34148094895758446,0.33619723571161747,0.2268041237113402,0.37627268702965916,0.28116213683223995,F
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05550269584522677,0.0625929113527893,0.06879156156844761,0.08335859351318581,0.19969278033794163,0.21010168921758132,0.22163120567375888,0.21749408983451538,0.29529434177938657,0.2321532211259431,0.27613787849933347,0.1967535661583866,0.18090452261306533,0.2190694763196328,0.3226883275842884,0.31028368794326244,F
Illinois,0.0,0.0,0.006128765360218184,0.006902528626320108,0.00925383262901385,0.0,0.005973671044869737,0.0045549785916006195,0.004345212661949697,0.004882846560034598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004276245456489202,0.0,0.00672243800418285,0.0053232748787053795,0.003900673256204021,0.008812619671369402,0.0057406693620476144,0.010720853709827723,0.01087420220997248,0.02001868410516482,0.02709889402638755,0.026215755669157164,0.045483569060676826,0.05927309630081994,0.0895701555935177,0.12089986701014628,0.12782517303741017,0.17848997481308132,0.21543018715497508,0.26306310239813124,0.3024775973989192,0.2658524692934593,0.30745943900477746,0.312795089707271,0.2941921170981082,0.33086338990300546,0.3641456582633053,0.4139319280438881,0.3957863054928517,F
Indiana,0.0,0.0,0.0,0.0,0.010362694300518135,0.0,0.008633590422470359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008317806760713335,0.0,0.008292561572269675,0.03297174321606383,0.04233198435409858,0.04907631366775335,0.057357388674522884,0.08607061303354997,0.11256030016080043,0.15930977696631224,0.18379007897514285,0.262437458699141,0.24020327946956763,0.32364486761880895,0.36929346095888954,0.3441291137586305,0.3539468411913984,0.361461912624392,0.3133301546216198,0.34266669796042903,0.3745779836861431,0.4173321654902365,0.41884816753926707,F
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019770660340055358,0.03181293991330974,0.04044652968775279,0.08547704330836861,0.1076168838933397,0.14449077323205217,0.17213185299939754,0.26934489842501713,0.27637472600781476,0.2953396405866747,0.32565002798554926,0.3071724773460298,0.24391483307078612,0.3526605123949798,0.2903694144216809,0.3359526249857647,0.2680166765932102,0.34778288411377467,F
Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027466059797535903,0.03185854804667278,0.0636841267314122,0.06720961492844153,0.06065752759917505,0.0980111896108139,0.09378567933452944,0.11798689938565443,0.2519314746388982,0.21361000915471468,0.2213088839709137,0.2816497995035326,0.2940757956647536,0.3080439211010086,0.2838504058562821,0.28360174212498734,0.26043023074118443,0.28448708651754334,0.3557681091799837,0.3788804693229039,F
Kentucky,0.0,0.0,0.010991426687183996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012476295039425092,0.0,0.015434083601286173,0.0,0.0,0.0,0.0,0.028189949001819536,0.055539393298246545,0.05152961596875678,0.07075407516259831,0.10206333443672072,0.10262384201475563,0.1347264228759967,0.2342243042160375,0.2509084616715695,0.2621350447437404,0.3356241010068723,0.30300036228304184,0.407401120353081,0.3938776215319766,0.403868636411946,0.3729068808490803,0.38014311270125223,0.410012105119294,0.40870247285637623,0.5470836564142328,F
Louisiana,0.0,0.0,0.0,0.014981914688697216,0.0,0.010422746602184608,0.009756287927569319,0.0,0.014690489744201845,0.010477604121190955,0.0,0.0,0.0,0.012160589267411358,0.00878348704435661,0.0,0.0,0.010030693923405621,0.0,0.0,0.010563454672216002,0.011082542778615125,0.013870266771464239,0.026442943339984135,0.0,0.01786580230213624,0.0,0.020504408447816282,0.020714655618850338,0.06333790773778106,0.08865002631797657,0.10814195053928682,0.1369472182596291,0.246105738606752,0.22457392481388053,0.33212650728583826,0.3406700832419942,0.41380168631965397,0.358809894262217,0.4445047673984595,0.42103101252823993,0.43903619455871673,0.44824636441402904,0.4039512542856173,0.43925360937074365,0.40139431710151047,0.38608577160377,0.4601412714429869,0.41689709448249457,F
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054608999563128,0.0,0.06709908297919928,0.10163749294184077,0.09151223976206818,0.07432181345224824,0.14095335725269093,0.3262199266005165,0.2661437176075081,0.3294185047264394,0.17654847726938355,0.1226241569589209,0.2513747054202671,0.36180588327827595,0.3291183093712108,0.4833512352309345,0.3387278885961611,F
Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017350066508588283,0.0,0.0,0.012689013429205878,0.012966524755256845,0.011215037121772874,0.013432134142246302,0.015843914805006677,0.03789398600151576,0.04338493857606065,0.05551443375277572,0.10227505170572058,0.09508569308193604,0.1346176163397934,0.13677395823835142,0.17003676470588236,0.27104103325555634,0.24838915941173575,0.2820874471086037,0.31568411056643486,0.33315114130293333,0.3965085954547874,0.2777559416188455,0.30623757588782036,0.3363568691240936,0.30612244897959184,0.34586600673842394,0.38417936767854893,F
