state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.1895328931279041,0.16981255306642282,0.15925015925015926,0.1481542450306597,0.11855163770619517,0.11962063171085985,0.11738620059997393,0.12897331864470538,0.10009521251922561,0.11099503786889528,0.08557980316645272,0.08716912937174444,0.06643828506176684,0.07839647427748114,0.07930536632978831,0.06970445311877639,0.08302364197042776,0.059815536603249335,0.06249621998669435,0.08866162188911111,0.06754267468991772,0.04910333048676345,0.05237500503605817,0.04147384964638086,0.04014693779231989,0.024188671638782504,0.041389015355324695,0.03424519560049958,0.04385090691648395,0.033901009053563594,0.03657151656304737,0.02826402366640915,0.027056277056277056,0.02265555465652561,0.0187399911410951,0.022771860986547085,0.023039351211869872,0.023406950487415323,0.017111567419575632,0.01287222174547327,0.01889974412654106,0.013018196545838516,0.010021905020974416,0.011535854878945623,0.008598082627574052,0.01012628929361899,0.01702006949861712,0.01571495921253768,0.01321294868971592,0.0,0.010540422520365602,0.007622997057523136,0.0,0.014658696678990831,0.014642955924702668,0.0,0.015032790273784692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011988395233414054,0.0,0.011503508570113886,0.011964298533176999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024251242876197406,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08181966944853543,0.08950948800572861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14236322961155176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07796257796257797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.28216704288939054,0.29027576197387517,0.21606049693914295,0.0,0.0,0.0,0.12237762237762238,0.0,0.15363343063450607,0.08143322475570033,0.0,0.14749262536873156,0.0,0.10274475267870248,0.0,0.08511845651865513,0.12288367012561442,0.07761966364812418,0.1337223437879893,0.08234971177600879,0.0,0.10769230769230768,0.07202535292422932,0.09427609427609428,0.07796257796257797,0.0,0.0782822634757325,0.0790871088012654,0.05354465624330692,0.06172204505709289,0.062111801242236024,0.05434782608695652,0.05460644356034012,0.07333170373991689,0.06995452955578874,0.0,0.04071898086207899,0.0,0.04393431819429952,0.030958154893968318,0.0,0.02677376171352075,0.021331968087375742,0.02486325211337643,0.023419203747072598,0.022067747986317998,0.02902441679062511,0.0,0.020003333888981498,0.023320895522388058,0.026526078450877018,0.03396277679663089,0.027901785714285712,0.0,0.0,0.02759381898454746,0.0,0.0,0.027050787854196255,0.0,0.017236030197524906,0.0,0.0,0.0,0.0,0.02210572854165351,0.015356265356265357,0.01687431448097421,0.01309208975936739,0.0,0.0,0.0,0.0,0.0,0.0,0.010466820180029307,0.0,0.0,0.011930089674507387,0.0,0.0,0.0,0.0,0.0,0.011550456243021598,0.009658849437854963,0.0,0.0,0.0,0.0,0.0,0.010425716768027801,0.0,0.0,0.0,0.0,0.013635356479350956,0.009356112348197079,0.014051428227311962,0.0,0.016557662058117394,0.018876234820361167,0.025032333430681297,0.030060980846860774,0.022164594277101757,0.01655355073663301,0.017272009474930912,0.018147408809270734,F
Arkansas,0.23879300987734725,0.30076863094575024,0.2062328139321723,0.18238313969197514,0.18421195210489247,0.181723779854621,0.19296300858069548,0.10548523206751054,0.17757041885728214,0.18963968459926142,0.14085859717642538,0.15122873345935728,0.0959140610013428,0.1045759918874382,0.1332081983591172,0.12711094970038134,0.1267152923723575,0.10957703265395574,0.07709324931286451,0.07416897039983818,0.09032840828440546,0.0861534220139224,0.05447321199692387,0.049075740225748406,0.07870545271376402,0.04956783047801976,0.06674453529117304,0.045103092783505154,0.07420920812590828,0.04668534080298786,0.05571684114835342,0.025551486244783237,0.056623614743710735,0.03714513133457151,0.05582070389907617,0.03836392610517618,0.03278688524590164,0.018407731247123794,0.043299415457891316,0.033907336094359274,0.012391266635275459,0.012620207476210909,0.015668660068419816,0.03453589076032092,0.026566069815631473,0.0,0.013728343538068696,0.013748728242637554,0.022808267997148964,0.01442210620439009,0.0,0.014555617012605165,0.0,0.023459034660723712,0.0,0.0,0.02909090909090909,0.0,0.019316206297083253,0.0,0.0,0.0,0.0,0.0,0.0,0.01990366625532423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02651113467656416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.17146776406035666,0.3392346019293968,0.14388489208633093,0.10757946210268948,0.12992285830288267,0.12024048096192384,0.12142032161577873,0.13128491620111732,0.13917192703414683,0.0892834999131966,0.08260366760284157,0.10833000741205315,0.0932221978504058,0.08615690497887499,0.08779365463792686,0.09165342783820114,0.08481110254433308,0.08473678635737739,0.07266671712966467,0.08857808857808858,0.06079838661842339,0.06484283332304082,0.04423101225830911,0.05887451551179943,0.059443731814910986,0.05489478499542544,0.05970149253731343,0.048218521124925064,0.05478212197358549,0.061589234666604695,0.0412214224561626,0.04159851758010078,0.04807545557217423,0.03940297696284571,0.032258701620176834,0.025256033034891212,0.026501298563629618,0.023884008017533674,0.02800655068473643,0.0199832698206153,0.015192320972308543,0.01513840830449827,0.014386016791678488,0.012895737958604681,0.01579976190126251,0.008279874145912983,0.011214191049036598,0.01466820519841192,0.015522309191188613,0.013594916795872325,0.015344579762065068,0.01702934000470629,0.011866767430095371,0.014660652679780154,0.015272859174692873,0.013130871014443957,0.01135363742158894,0.00964519954846177,0.010008757662955087,0.01001661376282731,0.011852875338230264,0.00714855448703478,0.009372491330445518,0.008536137739118559,0.0078043811331139894,0.006535894314588933,0.007475782399647459,0.006067592985862509,0.007399569345064117,0.007681751998128447,0.00623273695881801,0.005325464176855533,0.005504587155963303,0.0036175523640704704,0.002058672156459084,0.002810804733395171,0.0019340542750888284,0.0026621941804435213,0.0030363911479076734,0.0038300143864915394,0.0033646922652454205,0.0029470372074782204,0.002545065003273879,0.0021629675915355866,0.0029826706833298534,0.0,0.0015866258022376712,0.0032953905724368037,0.001392602495543672,0.0016960363630196232,0.0025110556198819803,0.004565167769915544,0.0025726266804254553,0.0039513643496618765,0.004532719149888524,0.004273066010323728,0.0033820918237930163,0.004830533518219635,0.007413206182020899,0.012607200602624189,0.012809901068148673,0.013724125003347347,0.011456297594177507,0.013083417113109584,0.013291165123982714,0.016907302193370225,0.021651738995503655,0.02867235526195064,0.027667807285584666,0.03154022870928007,F
Colorado,0.22837567799029404,0.0,0.19227407795839888,0.1216915120170368,0.33206247694010577,0.24324324324324323,0.13084723585214264,0.25181228538725675,0.23233565668990025,0.2806159159591308,0.199700449326011,0.25325401967135874,0.2376567048897867,0.2119285498032092,0.15953675254077052,0.1770559863239514,0.19447685725398678,0.17794725135049252,0.19843730621356814,0.14045840515865415,0.09444654325651682,0.18299993689657348,0.1710076295711655,0.08887065901011758,0.1441299790356394,0.1410979989738327,0.08977811978966269,0.12541057031949834,0.06906077348066297,0.14356265074078328,0.04964147821290678,0.1209256307370967,0.050454086781029264,0.05282873883392566,0.0770750036128908,0.06274736943720437,0.03524298077299605,0.03139498377925838,0.044877105771886215,0.024282790439518507,0.02014910336490026,0.041182247283555615,0.021219194276880172,0.03577390889577868,0.04038655704601183,0.019668998847958637,0.043242074538525986,0.018907165815844205,0.03798464335133082,0.029398401795975092,0.03143006809848088,0.028297275744089728,0.026383831987757903,0.029775600249032294,0.022762191999089514,0.01893760060600322,0.0,0.0,0.025710245532844837,0.021643683136478884,0.02055076037813399,0.0,0.03202151846040539,0.0,0.015855398763278898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011496102821143632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011190188442773377,0.0,0.0,0.0,0.0,0.016698473282442748,0.0,0.012862728956575427,0.013580313976859146,0.0,0.0,0.02017930756147482,0.02020085420754935,0.0,0.029375477351506963,0.03437392581481829,0.055681111001932466,0.043455007353924324,F
Connecticut,0.15927189988623436,0.0,0.09694619486185167,0.10551091632172713,0.11067746257354227,0.05826656955571741,0.0952587140073609,0.06295990241215126,0.08435259384226065,0.06221484861053505,0.07270083605961468,0.09112880858988073,0.07236814099016645,0.06825356198276597,0.06585717225766619,0.051726367515841205,0.08331140927826011,0.057107713934282205,0.057731592503774756,0.10153221340225217,0.050196221593501865,0.06392289914933372,0.04643723234095248,0.09360718022135346,0.049145415824823895,0.08123036932741254,0.05433010974682169,0.058361629881154495,0.07576522881099101,0.05557801131770413,0.051874557887290736,0.04896560166483046,0.0671462829736211,0.042363905952128786,0.020671122441948596,0.03840111712340723,0.025382142252806137,0.028006925348813525,0.02215207398792712,0.01718360683907552,0.014216661927779357,0.0,0.02695483839349163,0.014267031268576865,0.011343527383275103,0.019707022268935163,0.0150324270927286,0.0,0.0,0.01015909137086779,0.010120433154539015,0.0,0.010473178190653736,0.014448480845442537,0.014465798718743542,0.017336656192436885,0.0,0.011918382913806255,0.017050298380221655,0.014471081954560802,0.0,0.0,0.015596244424342619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02403383964622188,0.02937720329024677,0.0,0.04752600728732112,0.03308701885960075,F
Delaware,0.0,0.0,0.0,0.0,0.29397354238118567,0.21321961620469082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20134228187919465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1752541184717841,0.0,0.16276041666666669,0.15728216420257943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944543828264759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.20110608345902461,0.2504920379316515,0.18437427978796958,0.11856003449019184,0.11506534067559793,0.1844102418611249,0.18763029881862403,0.15471545809229115,0.17735918292459177,0.14821841465583685,0.1388888888888889,0.11520134052468974,0.07150153217568948,0.1110942786446498,0.08490481723120923,0.06356268870173208,0.09034679268885955,0.07672353951262285,0.0827848834802765,0.11624122378760403,0.0778816199376947,0.07588692847656991,0.06279998205714798,0.06392918613228424,0.06462035541195477,0.0523149359142035,0.05645301372242487,0.0418147606104955,0.047385879008055604,0.05352091138466243,0.017742450587275114,0.0,0.05021711517443063,0.04264820250370036,0.025579015905497167,0.041598299091770465,0.025644313373509427,0.011421827111610288,0.021241262117174527,0.02660484208125879,0.014506156049973708,0.01830343771839329,0.023413354977679268,0.012968673448802558,0.017670246024194647,0.011632716368524454,0.011899095668729176,0.0,0.006530754410980375,0.008439174648719355,0.010335703654704813,0.007245176782313488,0.011601906931612033,0.019265554259292952,0.014126135523970967,0.009283003980087957,0.01324120663504827,0.008682601307351682,0.010994917904612978,0.009282142318447097,0.008731432064001397,0.00658718134510243,0.01297506428554578,0.006073931899075548,0.008359406720963003,0.008849893169146745,0.00770267668014635,0.0,0.013151130399435695,0.005588278028008449,0.007132013571202967,0.004845618591669413,0.008300974903385876,0.006246319133367837,0.0,0.004882057624553495,0.007176804567637396,0.004609817374401684,0.0043980208905992305,0.0,0.0,0.0,0.005098287703658385,0.0,0.0,0.0,0.0,0.0,0.004624776469137325,0.0054366820705992,0.0038065945443886986,0.0,0.0,0.0,0.004466179853062683,0.0,0.009212409824680754,0.005706907498163089,0.006023506735033468,0.012881514221996796,0.01506957118697989,0.005952836526604927,0.013770666758471111,0.014483246291862971,0.00589270230909749,0.017494168610463177,0.015178473551509837,0.013938739241035647,0.022609497797834912,0.023479469551823885,F
Georgia,0.14586473476929063,0.14818473697209186,0.10439139814879254,0.09688357823348942,0.07834125450462213,0.09270355212879011,0.08401596303297626,0.09015998154865494,0.0817583754800928,0.0831343415583267,0.07732623077583985,0.07881462799495587,0.048851978505129456,0.062244185827187506,0.06396989651928504,0.061048931643696236,0.05764719914125552,0.04165956560434774,0.07370912053380921,0.032269124498315954,0.04896200548374462,0.03223791581874232,0.03810757769182402,0.05105583466078503,0.04219894886254651,0.05764796310530361,0.029172095917851377,0.024674486580875375,0.011153867603591546,0.020006183729516396,0.015976709507917346,0.00853009417223966,0.017293694090273082,0.015097302112112564,0.012179711645326797,0.009488116134541487,0.017807243438715686,0.012273854235707095,0.006357198255584798,0.008800935413706829,0.00637137468780264,0.014836611812415771,0.017904675507597553,0.014206227062862556,0.0,0.010285479189047108,0.00785669390320553,0.010185028008827025,0.010487310354471091,0.0,0.008234615972802239,0.0,0.008442788049836572,0.0,0.0,0.011572883448204918,0.006779936810988921,0.0,0.007036505389963128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013089861901956934,0.0,0.009493070058857033,0.007525586995785672,0.007573233164702675,0.0,0.0,0.0,0.0,0.006944347995166734,0.0,0.0,0.0,0.0,0.0,0.0,0.008081896551724138,0.0,0.0,0.006780672371472354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01625446997924429,0.0,0.008429215661482699,0.020181925644019664,0.0161771842875421,0.021071009301345537,0.0118936116438458,0.01505366632043234,0.011011483404121442,0.01781895937277263,0.02242655303879794,0.030451760828287894,F
