state,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011825083366837736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013175230566534914,0.0,0.02870840869290615,0.020151423554135357,0.014623731391301804,0.023309344133329447,0.047697876041637444,0.03097544492002703,0.025950808800207604,0.039749273811343834,0.03592188622558945,0.06726532808663774,0.038457504457574385,0.04564927312311258,0.04166232684095406,0.0668355142816941,0.0752715151080684,0.07465193535142399,0.06337637645567615,0.11721434056828745,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11022927689594356,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08741258741258741,0.0,0.0,0.0,0.10369858278603526,0.0,0.0,0.0,0.0,0.0,0.0,0.0646830530401035,0.0,0.0,0.06997900629811056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027458948871437204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366943937242172,0.0,0.0,0.0,0.019580328296837778,0.03004306172180125,0.0197199763360284,0.0,0.018427518427518427,0.01687431448097421,0.015710507711240867,0.015119443604475355,0.02240980055277508,0.014762689762074649,0.014254490164401787,0.013325634078088216,0.02182643617950061,0.010466820180029307,0.01838460595661233,0.02823434506403146,0.023860179349014774,0.03852392538523926,0.03204999799687512,0.054990936678954765,0.059868289762522446,0.041448731866179804,0.026951064567050396,0.05022601707684581,0.08016491067338526,0.07218880148079593,0.08401258401258402,0.08716179408026148,0.09770308919403833,0.10251954821894006,0.16249315818281335,0.14791407536894477,0.15883352658079067,0.1712356428606045,0.1465800821530228,0.12162946052656201,0.17463917939659152,0.18808259099270405,0.16143720506664458,0.23700161496675687,0.27118361216571407,0.2834321051275444,0.3346853735842365,0.312152671033651,0.30349388077378603,0.3499857413216499,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02246989034693511,0.031443715748809636,0.02239942657467969,0.04509582863585118,0.04873294346978557,0.07194891626944869,0.04699689820471849,0.04428697962798937,0.05779739386296763,0.06362672322375398,0.02749972500274997,0.07291082445316882,0.03881341835320211,0.11948790896159317,0.14259402293387202,0.15728216420257943,0.15099789915966388,0.14488753967158824,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010325458450355197,0.0,0.0,0.01325490845828846,0.01210946960523129,0.0,0.013878180416345413,0.015131568992388822,0.01059722958140943,0.01554001554001554,0.011863099827985052,0.0,0.0,0.013083225669288762,0.012514469855770736,0.018298261665141813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004076170030639211,0.0032917042469568195,0.0,0.0,0.0032781971788771705,0.0,0.004647272051305883,0.002301866813986143,0.0038927335640138406,0.005594562085652746,0.0022757184632831787,0.005511544849277621,0.002519961696582212,0.003058415740646345,0.0032596011552026498,0.006274976056012418,0.0064737699027963445,0.0031315468902173606,0.008050233456770247,0.007182517128741936,0.006550504388837941,0.006363691322788697,0.010100670011110736,0.00957963157446567,0.00964519954846177,0.00965130203213526,0.008980412339086554,0.009820953851676504,0.016178307523289238,0.01548498567638825,0.017925889252148972,0.029163740023741752,0.028594537626326584,0.022427347198942373,0.026924943874764882,0.026268471174977614,0.027933643629557983,0.04002073205135775,0.03477214844888024,0.03058103975535168,0.022609702275440437,0.028527314168075878,0.027264805913933158,0.029839694529941924,0.03141389132923355,0.03188210705303057,0.03734264026829251,0.05047038397868131,0.05395345041383203,0.05599143007202534,0.06633100614042467,0.06139330489853948,0.053615589053184615,0.05632521597943732,0.06151395735215368,0.11307932263814617,0.1178745272298638,0.11606657087454487,0.12268888381648026,0.1312039607016982,0.14732944218024996,0.16856049338647947,0.17832928816417687,0.17276852399875992,0.20032506649087312,0.18888849351789253,0.2080188099432991,0.2302497602249287,0.23833114639959296,0.22979985174203113,0.25994684001046675,0.2978584184195101,0.3325102764696144,0.37385335998902974,0.38000428173838574,0.4117620731325248,0.4534973425226216,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017569031653538694,0.014336095421051123,0.0,0.0,0.0,0.01147078391337264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014702999411880024,0.0,0.02291825821237586,0.0,0.02523659305993691,0.015158788307521284,0.03170035845789949,0.04519182741478962,0.03450735006556396,0.08412341131800923,0.058188979902421556,0.073771041512977,0.0925090774532251,0.1042293973224626,0.07653061224489796,0.09303435114503816,0.11526388071414558,0.09261164848734307,0.11135857461024498,0.1284485647269072,0.12223201341709543,0.13260687826112022,0.17315017892185156,0.18210724093077033,0.2761294871041654,0.22811787131652136,0.252202679244047,0.31421313009760665,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011358989504293699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018947767321417293,0.0,0.0,0.01767669327991044,0.0,0.0,0.0,0.015689145726015218,0.0,0.015357444521231669,0.0,0.0,0.0,0.0,0.014999700005999879,0.0,0.019346725566697837,0.038476337052712584,0.026182294223531338,0.04300363876943434,0.047326076668244205,0.01728070781779222,0.06518233901677588,0.06068827645294873,0.08860993169651099,0.07570309247132745,0.07689054630733151,0.040886417532095834,0.04744856144588708,0.13980337332010462,0.08775170884906706,0.08463817181548879,0.123574144486692,0.14049548072870321,0.15862334166506442,0.1419898159028594,0.20403999183840035,0.2693140412948197,0.23712363516047202,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10045203415369162,0.10442046641141664,0.0,0.0,0.13295346628679963,0.0,0.18800526414739613,0.15308075009567548,0.18333672845793442,0.1977587343441002,0.11687704534829359,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073830316837531105,0.009632777129646476,0.009779632285826054,0.0,0.006018730288658305,0.009922972922687637,0.006108287724784988,0.00812187452864121,0.010914290080001745,0.0,0.01651371818160372,0.017007009317411535,0.014330411521650864,0.020228327243763985,0.012837794466910584,0.019549147779338995,0.019128916944633742,0.022353112112033797,0.020377181632008478,0.01453685577500824,0.025825255254978276,0.021415951314404012,0.016190330112309765,0.0154598491444194,0.008771650027112374,0.013061149227471439,0.019791094007696537,0.02646921560569227,0.03006840562279185,0.017737163614692047,0.02621976533310027,0.02570580804371456,0.024697641001077717,0.03421116652475368,0.03393804763667777,0.03855614932025509,0.05626811370783746,0.05825016504213429,0.06242815052797466,0.06512012748222604,0.06254777955382583,0.07935668183261031,0.08262432728165962,0.07778480506546281,0.0885808636988534,0.10914460590236907,0.12574070309382365,0.10466230305372397,0.11218458550307253,0.13436402445765408,0.12823933418826222,0.14994419690399313,0.1641538500391444,0.1891036321226258,0.21587162384369543,0.2073387462104053,0.25774827489531804,0.24794319846726023,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006510755768529611,0.0,0.008860927739134288,0.0,0.007982374916185064,0.0,0.0,0.008181163688723084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007918283316177053,0.0,0.0,0.010421416009900345,0.013232939432836216,0.0,0.008123586834373604,0.0,0.013561344742944709,0.010575855322299191,0.02350237635138664,0.020305083885377804,0.039655492905384476,0.04354479515284223,0.032506907717890055,0.0505374223449364,0.06876396768093519,0.07343491830365338,0.06032433199673539,0.0823123814522767,0.07251994298432068,0.07007337872677993,0.07586294095334428,0.08505240092836858,0.08088592143771049,0.09632461394900815,0.1010956989726893,0.12193469719550196,0.1226993865030675,0.15065120196980497,0.16906170752324598,0.17017160462866762,M
