state,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013011007312186108,0.0,0.018395395895198802,0.013175230566534914,0.03870932065142257,0.04306261303935923,0.034545297521374904,0.032172209060863974,0.026223012149995627,0.06172666311270728,0.06195088984005406,0.07785242640062282,0.14370891301024308,0.2579844556201424,0.3834123700938351,0.4999475579484669,0.5793946204087366,0.63187862375447,0.5382017728999577,0.6989497831463494,0.7950431114926654,0.8555810821516279,0.8609191221050078,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07911392405063292,0.10030090270812438,0.1882594557590279,0.21299254526091588,0.16,0.1840942562592047,0.3166325200223505,0.24696048632218845,0.29024767801857587,0.3391859537110934,0.23255813953488372,0.4211332312404288,0.32654629273914715,0.39870894247199545,0.489734413260501,0.7323183657737522,0.7841599686336012,0.9520031733439112,0.9793707022296311,1.2861736334405145,1.346389228886169,1.108091156178131,1.0141093474426808,1.1321683485109524,1.092327698309493,1.4309301045679692,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010137875101378752,0.0,0.014256909509358644,0.019956096587507483,0.03157998618375604,0.0365764447695684,0.05988486651470077,0.07062146892655367,0.07589079130032393,0.051837551837551836,0.10532050118031595,0.11013802781873414,0.11294526498696784,0.14025725232621786,0.13782902477560763,0.1651868676440223,0.14700418396523593,0.1789640537914813,0.3255927097172583,0.45968243772206274,0.5952503978670194,0.7947677787896349,0.8137754567000147,0.9157661980057574,0.8910933608176587,0.9442117162045349,0.9672003216118429,1.1424200552704302,1.1458792419568091,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022198543775528327,0.03467105833405565,0.03572066440435792,0.02246989034693511,0.0449195939268709,0.04031896783442344,0.04509582863585118,0.06645401382243488,0.07194891626944869,0.13159131497321178,0.16238559196929436,0.2889869693148382,0.4878048780487805,0.5994940050599494,0.6898485698261357,0.7596340449126697,0.7339971550497866,0.8555641376032321,0.8493236866939289,0.8797268907563025,0.9935145577480338,M
California,0.0,0.0,0.0,0.0,0.0,0.0019421309708389034,0.0,0.0015481218186096627,0.0,0.003119287804208543,0.0,0.0016834450018517895,0.0021288070165479266,0.0017861480645299573,0.002144733784918947,0.0027632037966420163,0.0,0.003762397098439358,0.004074996230628487,0.0038412619826033514,0.0,0.004493427341279891,0.0027542356209227475,0.005688368424246102,0.0033298062052788523,0.0055867287259115965,0.0036084266603683217,0.0021928381904699253,0.005810397553516819,0.00602925394011745,0.004411440335269465,0.004497287573432273,0.0027629346786983266,0.0029284135984878733,0.00455458672186151,0.004787517983114425,0.01031838961341929,0.007254245433792542,0.007866564555573807,0.009613189295713719,0.020878694783308973,0.03694088432372528,0.05077202567160548,0.06069010970904447,0.0662878787878788,0.07943103633475235,0.07700570567638072,0.0955832001826067,0.10576354130637984,0.11233164365467332,0.10538572023490818,0.11850636401964472,0.13105605817197938,0.1460526016685231,0.16961415744463818,0.2634904925948455,0.3353566407840973,0.4133974238813164,0.543837185794191,0.5853107655864813,0.6369535286339408,0.7150379885946158,0.7386851620632664,0.8360858794384807,0.9809865200815386,1.0173854855277233,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014640859711282246,0.0,0.0,0.0,0.0,0.0,0.0,0.011581312394320524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015078028799035007,0.04074357015533486,0.06904664484451718,0.06561514195583597,0.12632323589601072,0.11704747738301349,0.13081844777965418,0.11502450021854656,0.21599254257326697,0.19918535428136608,0.2079002079002079,0.2197090589514096,0.2177236299624774,0.2527829313543599,0.2767175572519084,0.39729252501471457,0.540234616176168,0.681731761638329,0.809784429800067,1.0091247619318342,1.0089653780737409,0.8830659125014428,0.8845208845208846,0.9106397978967158,0.9874691415893253,1.0841439848023322,1.0997459553416233,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01620798080975072,0.015789806101181077,0.0,0.021253339810541658,0.02062280882656218,0.014227989300552045,0.0,0.021361245360604523,0.023533718589022826,0.030929429352028456,0.02815531495559139,0.0,0.022115942830287783,0.051053691465524575,0.05837370848169984,0.10499790004199916,0.15843032112607397,0.1547738045335827,0.24047710657945365,0.2552773686794305,0.2514058881905392,0.24001081738895275,0.25921061726688327,0.26416000548903906,0.2820219905754677,0.25106147314011446,0.32552329762670806,0.42674253200568996,0.3557118325292338,0.5305611870767373,0.608821141877875,0.6096434509514133,0.9545304932524569,0.8792775665399241,0.913220624736571,0.8892520669102096,0.935174304739522,1.0610079575596816,1.1564661773248137,1.268335722951362,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08204567209079722,0.14396775122372588,0.17686072218128224,0.16337442447645925,0.16289056715533837,0.14645577035735208,0.216076058772688,0.2280675079823628,0.17740981667652278,0.21620063418852695,0.2810235172311788,0.2833706189410887,0.2582409235910679,0.3368034292712799,0.36450079239302696,0.5357441821530219,0.5743125652627915,0.8172491740566858,0.9632860777898946,1.1016144349477683,1.2372634643377,1.1280315848843767,1.2055109070034442,1.1000203707476064,1.3843111404087014,1.3791491351098644,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005977786545198044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004875908137890682,0.003416864275317256,0.004966405812113774,0.0,0.008813419900702136,0.011974613818704346,0.028889429509791995,0.04010860175243737,0.04935187112992651,0.07553801566257631,0.08077356219175955,0.08907431233869556,0.07278131895072322,0.10424629925637639,0.10807624287679307,0.12654176250344268,0.11849460958570504,0.14952449792366454,0.16193350026037764,0.18145814039288322,0.3365295590496663,0.49143546037539976,0.6429063448733322,0.8468960056459733,0.9150003833800489,0.9983921340842319,1.0679773408863713,1.1029690780763814,1.1830504930829007,1.3004983133314643,1.4594838273413726,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006344292040451206,0.0,0.0,0.0,0.006734913793103448,0.008123586834373604,0.021630390698932,0.02847882396018389,0.03437152979747237,0.0404763148273881,0.0609152516561334,0.05328706859161038,0.06096271321397913,0.07501594088743857,0.07518982348880782,0.08349910361256416,0.10158497032005384,0.09107791301467892,0.11690744032352345,0.14253919827952688,0.26574998347325973,0.3273345415209115,0.41805417405469303,0.5470829595423328,0.7374853255470937,0.713616698630748,0.6744042511553688,0.7472078024225264,0.8277716581351648,0.9246640329842841,1.0622290688926306,M
