state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.016935948243742168,0.01424055139414998,0.0,0.018808608969019532,0.017089426527672664,0.010881866457734831,0.019255455712451863,0.0,0.01660957126544171,0.014831765403847784,0.0,0.011949334820361666,0.009883766901241401,0.0,0.0,0.012371389100806202,0.016373981743010357,0.019214346712211786,0.0,0.0,0.012044081337695968,0.0,0.0,0.010072116353088112,0.013952561291608531,0.011965062018904798,0.009624083306065097,0.01130560946656366,0.0,0.0,0.011925448907969607,0.0,0.010751697232205941,0.009638156083053368,0.014259639516313028,0.007151234303040705,0.0,0.01591112911158041,0.007158503586410297,0.011535854878945623,0.010031096398836392,0.01012628929361899,0.00992837387419332,0.010000428589796705,0.011744843279747487,0.010329816276839076,0.012046197166132117,0.009147596469027762,0.014095536413469067,0.0,0.0,0.0,0.020670086626453952,0.00974411942392766,0.0,0.0,0.0,0.0,0.0,0.011316057485572028,0.011505361498458282,0.01918143237346249,0.0730887297178775,0.04831473599447832,0.08853580914550979,0.13231737920335812,0.19487937638599556,0.24354938768007722,0.390570185696244,0.4564482179599367,0.44032941400485553,0.36448841447539704,0.3613761202659728,0.40493590511561045,0.3130038888361946,0.2846667122133406,0.3023570103305312,0.30189391259227816,0.27403904450103067,0.2743954724747042,0.2599172302412436,0.21628302178279005,0.1996318477612714,0.2394025345442244,0.20793262982793576,0.20760518224581503,0.16337285902503293,0.17972184588160478,0.14928372520311198,0.11802976653136425,0.11114035857389372,0.1398560647999767,0.09820150949748886,0.08729443568371255,0.05478504080043828,0.06726800183458187,0.052250016328130096,0.020179598425991326,0.03496136768870398,0.02458037783552216,0.02083116342047703,0.021105951878429716,0.03225922076060074,0.0,0.027727164699358316,0.024251242876197406,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15706806282722513,0.16377333770062236,0.12476606363069245,0.1610305958132045,0.20570840833119053,0.2532561505065123,0.3546099290780142,0.2961950330371383,0.25448376151236063,0.2303557716918352,0.12048192771084339,0.2598752598752599,0.23547880690737832,0.2806736166800321,0.2893359052080463,0.25155371411660254,0.2848101265822785,0.2340354396522902,0.10268697586856067,0.1774937877174299,0.16,0.16568483063328424,0.0,0.13297872340425532,0.21284829721362228,0.0,0.1744186046511628,0.09571209800918837,0.13446023818670766,0.09493070058857034,0.0,0.0,0.09801999607920014,0.0,0.10418837257762034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02937049244525667,0.020028707814534166,0.0394399526720568,0.06000126318448809,0.07985257985257986,0.14061928734145174,0.1073551360268126,0.18143332325370426,0.2539777395981176,0.2435843810742317,0.2684595647629003,0.23764047439257316,0.22699493626680634,0.2281766799246389,0.18997426155166072,0.1794897650499143,0.17099795200127255,0.18045417680454176,0.15023436561035214,0.11201857471638933,0.13769706645380164,0.1046087042336919,0.09625380202518,0.07340725572769771,0.07634753397465262,0.1092086996760759,0.0858000858000858,0.05447612130016343,0.08349173076581458,0.07471763683753258,0.06157635467980296,0.04874441120112953,0.06829841642974,0.038770334232589694,0.04601932811780948,0.029939559514230645,0.024088162675391937,0.026868941570386294,0.02069707757264674,0.012584156546907444,0.01877425007301097,0.02791376792922786,0.022164594277101757,0.021283136661385295,0.012337149624950652,0.0,F
Arkansas,0.054271138608488007,0.0,0.045829514207149404,0.0,0.0,0.0,0.0,0.018836648583484026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020111282429442916,0.0,0.0,0.0,0.0,0.0,0.0,0.015489947024381175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019371800193718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014855750661080906,0.0,0.0,0.0,0.023179447556499904,0.0,0.0,0.0,0.0,0.0,0.0,0.01990366625532423,0.044196231266824704,0.08116255700703409,0.08410765780198655,0.1327165175185803,0.14689680499449137,0.22544408597971002,0.43389778443343696,0.4677593938456781,0.4465325774636949,0.5245162794311913,0.4735187616887509,0.44529262086513993,0.38123520205465705,0.3794546805930446,0.3965293863609595,0.3913575214023644,0.3130949862492067,0.4193230927217492,0.277888050813815,0.31732040546496254,0.2765654033965689,0.252866547499673,0.218751367196045,0.1642692239389096,0.14735199791973652,0.1786033220217896,0.18425310084486787,0.14823465995867396,0.12991667413314217,0.11273957158962795,0.08417508417508417,0.11242018167101357,0.07989472694802144,0.03936620411376833,0.04203446826397646,0.02651113467656416,0.03849961500384996,0.028042624789680313,0.044358192403659555,0.051209103840682786,0.05347275860020201,0.0,0.03282563025210084,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023415694134836934,0.0037974983979303634,0.008829816897481179,0.005064106990769515,0.005622837370242215,0.007992231550932493,0.005310009747660751,0.006981290142418319,0.009719852258245674,0.007815951337207326,0.010430723696648478,0.0052841903629578255,0.0035605734465379893,0.0025052375121738884,0.006192487274438651,0.004684250301353436,0.004990860486733669,0.007000060455067567,0.004040268004444295,0.0039028128636711987,0.005001214580683881,0.002144733784918947,0.0058718080678642854,0.007111725202938158,0.004514876518127229,0.0,0.0046948757565152075,0.015198005364485135,0.014297268813163292,0.03895276092447886,0.05119531581821491,0.06770605950733667,0.07437332616369814,0.09414713195688258,0.12311220126495438,0.17706422018348625,0.1983624546298641,0.2052790236012058,0.1773617786772353,0.1726834174186454,0.1552059207198573,0.14271038395166066,0.1431467876951213,0.12830693171469204,0.11856157380854687,0.11545340333033323,0.11439695261899327,0.0959425736471103,0.0792689809446605,0.08382672988489029,0.07744167845226489,0.07102272727272728,0.07010283633814442,0.06640347083687903,0.06562428669253595,0.06231473514808325,0.06463303114804068,0.055525809586134414,0.05355576066272405,0.052140582283475664,0.045179695846877775,0.04032784163019369,0.024268861160051565,0.025619802136297345,0.026444045738157083,0.01954309589594986,0.015837820715869498,0.0197663481331025,0.017964008580455864,0.013712768030485649,0.01223353824509894,0.017088939794037587,0.008524386137643263,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015855398763278898,0.0344924900442131,0.07094605015577285,0.08784515826769349,0.17203314505261347,0.19464590443686006,0.19720375192779308,0.26593172807272025,0.3762417123586226,0.4238550186725319,0.42850855858985937,0.4115604809969421,0.34256811127715825,0.3261283565035232,0.27817420962240874,0.26088016579300255,0.28784700200029273,0.27251301188254934,0.19849049206038033,0.2487874751840776,0.1858925388337153,0.17645253682487724,0.1665615141955836,0.106111518152649,0.12680143383159795,0.12843993054729683,0.10352205019669189,0.08867062274060432,0.11190188442773376,0.10953881921623856,0.09713453132588634,0.08569972668735813,0.09972170686456401,0.0715648854961832,0.056405728860113795,0.05145091582630171,0.03530881633983378,0.03630068133586507,0.025583444668694392,0.02306206578454265,0.028858363153641927,0.01734354675531146,0.0,0.0249992187744133,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020899369535685674,0.03194434585078441,0.03828483920367535,0.07561436672967864,0.08874572705758611,0.1166974618302052,0.1863197119939367,0.22012091148659124,0.30058294874908914,0.2710426302919601,0.22764782880883272,0.23226528613404226,0.22429307628634748,0.18304003347017755,0.19073148100417547,0.18172976016790804,0.22908897176345233,0.14928261410444255,0.1900331848994526,0.17512112544509953,0.1499970000599988,0.11577600389982329,0.10318253635572179,0.15069898678979093,0.17673048600883653,0.13562686073436983,0.11155432357514705,0.13824566254233775,0.09262753439226046,0.12851635013565615,0.11076241462063872,0.12112494795412393,0.05766790973049863,0.03270913402567667,0.0517620670318768,0.0,0.03694808793644929,0.0,0.0,0.0,0.02403383964622188,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13416815742397137,0.2504788566376897,0.3000300030003,0.22010271460014674,0.37426227148409386,0.35577059911768893,0.3638814016172507,0.21904393763690247,0.19382192610539067,0.2363507445048452,0.37795659595220676,0.1292156609381057,0.3097643097643098,0.17776562286339395,0.18715807659084366,0.13264554163596168,0.1485222040695084,0.16289056715533837,0.1903925014645577,0.14405070584845864,0.0,0.07392075694855116,0.11530700490054771,0.08874426859931962,0.07457121551081282,0.12152514051344372,0.0,0.0,0.10045203415369162,0.08701705534284719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022428565020409994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009655119144170238,0.0,0.014506156049973708,0.0,0.014048012986607562,0.014409637165336175,0.008155498165012914,0.00775514424568297,0.008329366968110423,0.005612806178577041,0.0,0.005274484155449597,0.005167851827352406,0.008280202036929701,0.0073830316837531105,0.005351542849803598,0.0,0.0,0.0,0.0,0.0,0.005801338949029436,0.0054571450400008725,0.0,0.00825685909080186,0.0,0.007165205760825432,0.020228327243763985,0.026959368380512227,0.0476510477121388,0.05858230814294083,0.09611838208174533,0.10392362632324324,0.1337390731300758,0.24165060274301103,0.2587760783823818,0.27012287608432606,0.2815319896825849,0.27351599629995854,0.24816183532195735,0.2155030236393623,0.2410091736728823,0.21526244934498714,0.23980645207063647,0.22796629303501068,0.22621111078468814,0.17288348700754402,0.1687750881887848,0.17508947303467853,0.15808021221304586,0.12563976074489733,0.11805366781872549,0.12637893887370483,0.1271757783770532,0.10115752001915042,0.09447224027691703,0.09006796037009743,0.07415000109044119,0.06377822186317446,0.05635571154436051,0.048940992222146935,0.02978850163836759,0.038511126366726385,0.02466175132450613,0.020656000137706666,0.01874302461299914,0.021045365389633894,0.018327224258580473,0.013491976490230964,0.014809910443600378,0.010852558942960758,0.012209324166948421,F
Georgia,0.0,0.02469745616201531,0.01739856635813209,0.0,0.02611375150154071,0.018088497976349288,0.016803192606595255,0.03564464386807289,0.0114081454158269,0.015919342000530644,0.015465246155167969,0.0122600532436598,0.010468281108242028,0.009430937246543562,0.015051740357478832,0.0,0.015902675625173935,0.011361699710276656,0.01357799588780696,0.010084101405723736,0.019584802193497845,0.0,0.0,0.010211166932157007,0.021099474431273257,0.013451191391237509,0.019448063945234254,0.011388224575788634,0.014871823471455395,0.016368695778695232,0.0,0.0,0.009432924049239863,0.01358757190090131,0.010657247689660948,0.011069468823631735,0.009588515697769985,0.008591697964994966,0.019071594766754397,0.0075436589260344245,0.00637137468780264,0.012363843177013141,0.01432374040607804,0.014206227062862556,0.010296186978755534,0.009142648168041874,0.012346233276465834,0.00679001867255135,0.01398308047262812,0.009427736400490242,0.01529285823520416,0.02134497029491634,0.008442788049836572,0.0,0.008408812435432332,0.015430511264273222,0.00949191153538449,0.0,0.008443806467955756,0.00820535262502906,0.0,0.0,0.008860927739134288,0.007763010806111042,0.007982374916185064,0.02554234921499847,0.043257085510606634,0.06381307677204005,0.10080145418491283,0.10917030567685589,0.13696568332329923,0.195389415649329,0.32669898527596275,0.33828790396215963,0.36120165624174083,0.3580627812844972,0.3555506173525368,0.36280082234853067,0.30749333544487556,0.3070637347578384,0.3290134619248543,0.29440500227968475,0.2871547856925459,0.3138469827586207,0.2450615361702704,0.254157090712451,0.2752952982817776,0.19433134154724765,0.1645166344597065,0.17640041625421965,0.16357890823471094,0.15800539955459894,0.17003613267819412,0.1429839266344542,0.10928559149291485,0.12239153050608899,0.10645470352365069,0.09066291290395695,0.06376753607241992,0.04627487274409996,0.054789901799637546,0.044688549640329256,0.05000220597967557,0.040636946509737815,0.025273924743172325,0.03311806590495115,0.023596035865974516,0.02915829715544612,0.0189763141097521,0.02507792068211944,F
