state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.18341892883345562,0.33962510613284563,0.23660023660023657,0.22634676324128564,0.21339294787115132,0.2306969325852297,0.1956436676666232,0.16927748072117582,0.13183271892776055,0.1675807434491164,0.17543859649122806,0.17008610609120867,0.14740994498079518,0.15043647766759896,0.1626776745226427,0.13940890623755278,0.13837273661737962,0.15629220854397405,0.15120053222587343,0.1463947710262067,0.12280486307257768,0.11955593509820667,0.13093751259014544,0.11350737797956867,0.12044081337695967,0.1128804676476517,0.10554198915607797,0.09467789371902824,0.0777356986246761,0.07179037211342879,0.09816564972186399,0.06783365679938196,0.09300595238095237,0.07605793348976454,0.04770179563187843,0.07532230941704036,0.06758209688815163,0.03855262433221347,0.054186630161989505,0.04862839326067679,0.045068620609444054,0.052072786183354064,0.0386559193666156,0.023071709757891246,0.03009328919650918,0.02893225512462569,0.02553010424792568,0.02428675514664914,0.03083021360933715,0.026562384711871913,0.03162126756109681,0.028967388818587916,0.014095536413469067,0.016287440754434255,0.021150936335681627,0.014096419509444602,0.009395493921115433,0.01948823884785532,0.0,0.0,0.01142552462200556,0.009814120556656918,0.01724360908738199,0.0,0.0,0.0,0.012181454952979584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011452917057974667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014623731391301804,0.03205034818332799,0.03928060379899554,0.06758278891642261,0.04901819440039215,0.058095092493502525,0.06531252041016262,0.07399186089530152,0.09439569275950076,0.07022965095863473,0.062493490261431105,0.07738849022090896,0.0609340836589125,0.07465193535142399,0.0871425176265547,0.07679560244129179,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10418837257762034,0.1607717041800643,0.0,0.12544428183148654,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.4514672686230248,0.24189646831156267,0.0,0.0,0.1597444089456869,0.22092789716810607,0.13986013986013987,0.1738828029907842,0.1843601167614073,0.1791530944625407,0.20739716557207052,0.11471648639790233,0.0,0.13210039630118892,0.0,0.08511845651865513,0.06826870562534135,0.19404915912031048,0.10940919037199125,0.1372495196266813,0.06997900629811056,0.0,0.10083549409392106,0.0808080808080808,0.0,0.05841121495327102,0.05591590248266608,0.0790871088012654,0.0642535874919683,0.10287007509515482,0.0,0.0,0.039004602543100085,0.0,0.0,0.0,0.04071898086207899,0.0,0.027458948871437204,0.03611784737629637,0.042158516020236084,0.0,0.0,0.03315100281783524,0.0,0.0,0.02539636469179697,0.0,0.01666944490748458,0.01665778251599147,0.01989455883815776,0.020377666077978536,0.0,0.018705574261129815,0.0,0.0,0.0,0.02600586989634803,0.0,0.0,0.0,0.01697447039652363,0.0,0.0,0.023006639058699794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01243493862469579,0.015638575152041704,0.018814997263273125,0.023531784717786667,0.0476500579742372,0.046847487197712555,0.04772374767772835,0.0842050111337737,0.06423510046771183,0.05373788314077259,0.06623064823246957,0.05872606388556807,0.05840877800492302,0.05797474877608864,0.05762794512046457,0.04966065220989903,0.08882747729964469,0.10110699193736553,F
Arkansas,0.35818951481602085,0.40102484126100035,0.3971891231286282,0.31072683058632805,0.3088259197052609,0.281239183108342,0.20117420043519316,0.18083182640144665,0.21586992096375474,0.24287187676747513,0.18887857348657042,0.17013232514177695,0.2046166634695313,0.2281658004816834,0.22403196996760621,0.21790448520065372,0.21634318209914702,0.16906170752324598,0.16759402024535763,0.13485267345425123,0.16775275824246727,0.1481838858639465,0.12817226352217378,0.1603140847374448,0.1511144692104269,0.11772359738529695,0.15684965793425662,0.09664948453608248,0.13914226523607803,0.130718954248366,0.0791765637371338,0.0908497288703404,0.11863995470110822,0.08490315733616344,0.12280554857796756,0.06787463849377325,0.0605296343001261,0.06672802577082375,0.06494912318683697,0.05570490929787594,0.04708681321404674,0.04543274691435927,0.05222886689473272,0.029222676797194622,0.037192497741884066,0.030441400304414005,0.06040471156750227,0.030247202133802623,0.019957234497505347,0.03749747613141423,0.0465481628021994,0.0349334808302524,0.02892179546506247,0.032256172658495105,0.020798050925513265,0.030421849648458628,0.02909090909090909,0.02271608677545148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027865132757453927,0.03616055285467476,0.0,0.020025632809996797,0.0,0.022034520749173704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026879311889615624,0.0,0.04873294346978557,0.04496807266840543,0.05639627784566219,0.059049306170652495,0.05779739386296763,0.06362672322375398,0.04949950500494995,0.089736399326977,0.049902966454116994,0.08534850640113799,0.08912126433367001,0.10695187165775401,0.09191176470588235,0.08279287981233614,F
California,0.1257430269775949,0.0848086504823492,0.1079136690647482,0.13202933985330073,0.06902151847340642,0.07399414213041468,0.1006900228033287,0.09776536312849163,0.07207117649982603,0.09672379157262964,0.07434330084255741,0.07412053138719425,0.0840827666886013,0.08284317786430288,0.07265681763138775,0.07943297079310765,0.07864302235929067,0.0680920604657497,0.07266671712966467,0.06526806526806526,0.07266148644640845,0.06484283332304082,0.053709086313661066,0.0735931443897493,0.07195820167068172,0.05032021957913998,0.06406989443028759,0.06255375713503793,0.053591206278507546,0.030213586817579657,0.0412214224561626,0.029308046476889185,0.033576508653582006,0.022418935168515664,0.032258701620176834,0.02336183055727437,0.015370753166905178,0.013112788715508682,0.01756343009042793,0.018124361000092945,0.02025642796307806,0.014273356401384085,0.011988347326398741,0.010240733084774306,0.013595143961551464,0.01511977017949327,0.011214191049036598,0.011408604043209272,0.013870999702764291,0.009710654854194516,0.013152496938912916,0.010527228366545707,0.012491334136942495,0.008422077071363067,0.011454644381019655,0.007743847008518231,0.007096023388493088,0.006430133032307847,0.006434201354756841,0.007253409966185294,0.007789032365122746,0.010158472165786265,0.006519993969005579,0.005121682643471135,0.009447408740085355,0.007761374498574358,0.007475782399647459,0.006067592985862509,0.005919655476051294,0.005935899271281072,0.0036084266603683217,0.0031326259863856073,0.0027522935779816515,0.003316089667064597,0.0,0.002810804733395171,0.003039228146568159,0.003460852434576578,0.002277293360930755,0.0014362553949343272,0.0026917538121963365,0.0011334758490300848,0.0020823259117695374,0.0012016486619642148,0.0,0.0025653391891475893,0.0031732516044753424,0.004393854096582405,0.002785204991087344,0.005088109089058869,0.007254160679659055,0.012268888381648026,0.014864065264680407,0.026812829515562735,0.027479609846199172,0.039027336227623374,0.051295059327527405,0.05313586870041599,0.05100285853230379,0.057993122772071276,0.06240721033200636,0.06326486891786948,0.053911988678482375,0.06335128286347799,0.05452785691890344,0.05353979027900571,0.058820557604451595,0.047404960699758386,0.059811289279131555,0.061375580191031495,F
Colorado,0.17128175849272054,0.0,0.15731515469323545,0.0,0.14758332308449146,0.18018018018018017,0.13902518809290154,0.17550553223960322,0.11616782834495012,0.12951503813498344,0.10609086370444334,0.10012368219565344,0.12476977006713802,0.12110202845897669,0.12999290947766487,0.18316136516270834,0.09723842862699339,0.17794725135049252,0.09301748728761007,0.07661367554108409,0.11333585190782018,0.16406890894175555,0.08550381478558275,0.06152584085315833,0.08516771488469602,0.07054899948691636,0.07695267410542517,0.08957897879964169,0.05179558011049724,0.06891007235557597,0.05515719801434087,0.038476337052712584,0.07063572149344097,0.03361828834886178,0.05298906498386242,0.03378704508157158,0.031327094020440927,0.020929989186172254,0.044877105771886215,0.0,0.02686547115320035,0.022175056229606867,0.0,0.0,0.017308524448290785,0.019668998847958637,0.013513148293289371,0.01620614212786646,0.0,0.0,0.0,0.0,0.013191915993878952,0.0,0.017071643999317133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011190188442773377,0.03129680549035387,0.01850181549064502,0.023162088293880577,0.044063079777365496,0.05486641221374046,0.07847753580537571,0.08232146532208273,0.07604975827041122,0.05863956215793589,0.07106512407970664,0.08648274669203494,0.08657508946092578,0.0867177337765573,0.06756359790846601,0.06874785162963658,0.08515934623824964,0.05014039310068191,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019674969503797272,0.0,0.033181252592285354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015129966411474568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013231363624335125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020736849381350658,0.020583896531613435,0.03926888476367271,0.029536643898836992,0.05677731935349559,0.06535696436123178,0.028620492272467084,0.0388215502739076,0.0,0.0600406428967301,0.028212723938496262,0.061787072243346,0.04683182690956775,0.06248798308017689,0.02937720329024677,0.04590899816364007,0.06336800971642816,0.05514503143266791,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07923930269413629,0.0,0.0,0.0,0.10905125408942204,0.0949667616334283,0.0,0.0,0.0,0.0,0.0,0.11687704534829359,F
Florida,0.16758840288252053,0.1610305958132045,0.17285088730122147,0.11856003449019184,0.16437905810799705,0.08511241932051919,0.11118832522585129,0.10090138571236379,0.15901168124273746,0.09485978537973558,0.13333333333333333,0.07854636853956119,0.10214504596527069,0.09089531889107712,0.09831084100455804,0.0794533608771651,0.07644728612134269,0.10229805268349715,0.0993418601763318,0.06974473427256242,0.054975261132490384,0.07114399544678429,0.06728569506122999,0.04917629702483403,0.07846757442880221,0.07847240387130526,0.0781657113079729,0.03763328454944596,0.0434370557573843,0.05352091138466243,0.0461303715269153,0.052359447607827736,0.04135527132011934,0.04766563809237099,0.03488047623476886,0.030043216010723118,0.0341924178313459,0.024747292075155622,0.03282740509017881,0.03230587967009996,0.032638851112440845,0.01996738660188359,0.01716979365029813,0.021614455748004267,0.027184993883376377,0.018095336573260262,0.011899095668729176,0.022451224714308163,0.016326886027450936,0.021097936621798388,0.01550355548205722,0.02794568187463774,0.015820782179470954,0.016054628549410796,0.01738601295257965,0.012764130472620941,0.01324120663504827,0.006201858076679773,0.006108287724784988,0.00812187452864121,0.008731432064001397,0.005489317787585359,0.0,0.006073931899075548,0.0,0.010114163621881993,0.011554015020219527,0.007330930417252124,0.0,0.0,0.009169731734403814,0.0,0.009223305448206529,0.0,0.0,0.00406838135379458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038065945443886986,0.008427310615346899,0.016988285804742823,0.011336668833230043,0.023819625883000975,0.02980539259517734,0.05385716512890287,0.04922207717165664,0.06023506735033468,0.05957700327673518,0.06865026874068617,0.05357552873944435,0.05077933367186223,0.057932985167451885,0.0665033546312431,0.05831389536821059,0.061557142736678776,0.054012614559013135,0.0515496549790636,0.06762087230925279,F
Georgia,0.22852141780522195,0.1185477895776735,0.19138422993945298,0.15501372517358308,0.10184363085600878,0.11531417459922672,0.09871875656374711,0.1216111379028369,0.10837738145035557,0.1344299991155921,0.10310164103445314,0.09457755359394704,0.08549096238397655,0.09996793481336175,0.10159924741298212,0.06844880214596244,0.08945255039160338,0.07195743149841884,0.0892268301198743,0.05848778815319767,0.08813160987074031,0.0805947895468558,0.08574204980660405,0.06535146836580484,0.08823416580350635,0.04996156802459646,0.05056496625760905,0.05124701059104886,0.044615470414366185,0.05092483131149628,0.05325569835972449,0.049474546198990034,0.03773169619695945,0.051330827181182724,0.045673918669975486,0.049021933361797686,0.03424469892060709,0.028229864742126326,0.024157353371222233,0.016344594339741253,0.0318568734390132,0.029673223624831543,0.034615705981355264,0.021309340594293832,0.017160311631259223,0.017142465315078514,0.020202927179671367,0.014711707123861257,0.01631359388473281,0.020033939851041765,0.028232969049607683,0.015415811879661801,0.0132672383640289,0.018116160823198346,0.012012589193474761,0.018002263141652094,0.01898382307076898,0.014110143782365142,0.007036505389963128,0.01230802893754359,0.0,0.006770389026553466,0.008860927739134288,0.0,0.007982374916185064,0.010216939685999387,0.0,0.008181163688723084,0.01487234569941337,0.0,0.0,0.0,0.007527626388847069,0.0,0.0,0.0,0.00833321759420008,0.008062240496634013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007435404919759588,0.0,0.010002125451658479,0.013558820629129277,0.022102703897443454,0.019582644880974238,0.026022260861336837,0.031016259677669484,0.05251444147140464,0.04627487274409996,0.05900450963037889,0.06198734304948897,0.060296777799020554,0.05869781162517684,0.06838826695211335,0.07978443149829141,0.05820355513607048,0.05831659431089224,0.06382942018734797,0.06448608175402143,F
