state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.03918751224609758,0.0,0.024692374171776617,0.037259086136232765,0.02848110278829996,0.03130298682665971,0.032243329661176344,0.03417885305534533,0.03482197266475146,0.0235344458707745,0.038269373870521955,0.04152392816360428,0.02542588354945334,0.02643512210992944,0.03783956026447861,0.04151182098521388,0.05209740284799135,0.07056024837207427,0.039176065485886306,0.06754267468991772,0.05764304013663535,0.04431731195358769,0.039291015454466074,0.0722644880261758,0.05442451118726063,0.05794462149745457,0.03223077232988195,0.049830576041459046,0.045866071072468394,0.04427078320789945,0.05464377908839102,0.06764069264069264,0.048547617121126305,0.05792360898156666,0.03853699551569507,0.03993487543390778,0.0289144682491601,0.048482774355464296,0.04433765267885237,0.04361479413817167,0.03182225822316082,0.02577061291107707,0.037491528356573274,0.058753564621756016,0.04195176993070725,0.028366782497695198,0.04000171435918682,0.03670263524921089,0.03098944883051723,0.04065591543569589,0.016770593526550897,0.04072043852779953,0.021173672980764533,0.029285911849405336,0.01762052438680575,0.024428284194900125,0.027283534386997446,0.017945445844632316,0.0,0.0,0.019628241113313835,0.0,0.015842480479800837,0.011505361498458282,0.0,0.0,0.013804210284136661,0.0167500179464478,0.0,0.020159935488206437,0.020678721595478254,0.0140324617615417,0.01655511671357283,0.0,0.0,0.0,0.01677249311129747,0.018969932656739068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014568340083330905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017557412739658683,0.0,0.0,0.017921789311444853,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2224938875305624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41371158392434987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09818360333824251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.28216704288939054,0.0,0.28808066258552395,0.13638843426077468,0.18256503879507074,0.0,0.0,0.19127108328986264,0.12290674450760486,0.1465798045602606,0.20739716557207052,0.16388069485414616,0.1845585973546601,0.08806693086745927,0.1028504260946224,0.19860973187686196,0.15019115237575095,0.18111254851228978,0.12156576707999028,0.10979961570134504,0.12596221133659902,0.1846153846153846,0.0,0.12121212121212122,0.15592515592515593,0.08177570093457945,0.0894654439722657,0.09038526720144617,0.08567144998929106,0.05143503754757741,0.062111801242236024,0.046583850931677016,0.08581012559482018,0.10592357206876885,0.04896817068905211,0.03580165881019154,0.04071898086207899,0.06207324643078833,0.027458948871437204,0.030958154893968318,0.07494847292486416,0.040160642570281124,0.08959426596697811,0.037294878170064646,0.0312256049960968,0.036779579977196664,0.03990857308710953,0.042091970956540034,0.03333888981496916,0.01665778251599147,0.03315759806359628,0.02717022143730471,0.04534040178571429,0.03367003367003367,0.01974177754965057,0.035477767265846734,0.0,0.01857562135453431,0.030432136335970784,0.0,0.0,0.020369364475828353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012302241468395541,0.0,0.0,0.0,0.0,0.0,0.010083694665725522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024062933826931976,0.04111254111254112,0.019974577810059922,0.015987778231751727,0.024326672458731536,0.013683634373289547,0.033616835311123805,0.012706682126463253,0.014538875337221136,0.011930936919432087,0.018712224696394157,0.012044081337695968,0.012401049955562904,0.02276678532991142,0.01048679712242287,0.01877425007301097,0.012883277505797475,0.017731675421681407,0.0,0.014804579549940782,0.0,F
Arkansas,0.0,0.055697894619583375,0.05346776657500764,0.0,0.0,0.02596053997923157,0.057478342981483764,0.04897528631705847,0.05919013961909404,0.03327012010513358,0.06402663508019336,0.06931316950220541,0.025577082933691413,0.06654835847382432,0.060549181072326,0.042370316566793784,0.05872172085548275,0.0814000814000814,0.07709324931286451,0.0707976535634819,0.04193818956061682,0.041353642566682745,0.05447321199692387,0.07852118436119745,0.05981614406246065,0.04646984107314353,0.05339562823293843,0.04188144329896907,0.027828453047215606,0.07469654528478058,0.029324653235975485,0.05962013457116089,0.03774907649580716,0.0344919076678164,0.041865527924307123,0.03836392610517618,0.027742749054224462,0.02300966405890474,0.038488369295903394,0.04601709898520187,0.03717379990582637,0.032812539438148366,0.05222886689473272,0.03453589076032092,0.03187928377875777,0.024906600249066,0.021965349660909916,0.030247202133802623,0.02851033499643621,0.01442210620439009,0.026183341576237164,0.014555617012605165,0.017353077279037482,0.032256172658495105,0.020798050925513265,0.0,0.02181818181818182,0.02271608677545148,0.0,0.0,0.0,0.01819306480369683,0.0,0.0,0.0,0.027865132757453927,0.024107035236449838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.4229538180155464,0.4452454150323333,0.27577937649880097,0.30317848410757947,0.24766544863987008,0.3360567288423,0.33760772351704327,0.35195530726256985,0.3529002435508723,0.33233302745467624,0.3593259540723608,0.2983826519946025,0.30891277326899175,0.3131472123270649,0.31938726083797525,0.32078699743370404,0.26676946800308404,0.2602629866690877,0.2497918401332223,0.24397824397824397,0.2506079838661842,0.21305502377570557,0.21641602426386958,0.19951919145665364,0.19240997403247506,0.17383348581884722,0.14124499453949763,0.1277139208173691,0.12028248520287248,0.11620610314453715,0.10146811681516947,0.08981498113885396,0.09538780867494887,0.08356148562810382,0.0638590623909623,0.05366907019914382,0.06148301266762071,0.050577899331247775,0.04462060617568177,0.03624872200018589,0.04695808300531731,0.03892733564013841,0.040760380909755714,0.03906650028636124,0.08671497229530123,0.04427932695423029,0.03500186903184151,0.0446565358262763,0.030053832689322633,0.030103030048003007,0.0347601704814127,0.02910469018986166,0.027480935101273495,0.02682587511619347,0.02545476529115479,0.01784451701962897,0.014901649115835486,0.021433776774359488,0.012510947078693858,0.011743616135728571,0.01354614324369173,0.009782232455942329,0.013854987184136854,0.008536137739118559,0.01109043634705672,0.007761374498574358,0.007475782399647459,0.006826042109095321,0.008509504746823734,0.007681751998128447,0.007872930895349066,0.010337665755072504,0.011009174311926606,0.00602925394011745,0.009116976692890228,0.006183770413469376,0.010222858311183807,0.006655485451108804,0.006072782295815347,0.007660028772983079,0.008972512707321122,0.008841111622434662,0.008792042738582492,0.007450221704178133,0.006711009037492171,0.0064133479728689735,0.006346503208950685,0.004943085858655206,0.005013368983957219,0.004522763634718994,0.015345339899278769,0.010556950467929696,0.008289574859148689,0.006491527145873081,0.010198618087249176,0.009970487357422031,0.009300752515430794,0.0053988315791866515,0.0065236214401783905,0.0063036003013120945,0.0055838030297058324,0.008033634148300887,0.0074128984432913275,0.00378730495379488,0.006134383903376638,0.00951035748377075,0.008660695598201462,0.010322047894302229,0.00651007230249051,0.012786579206464893,F
Colorado,0.3425635169854411,0.2275960170697013,0.19227407795839888,0.1673258290234256,0.282868035911942,0.16216216216216214,0.13902518809290154,0.2899656619610836,0.16400164001640016,0.1870772773060872,0.2558662006989516,0.21202662112020731,0.20794961677856336,0.18770814411141387,0.19498936421649726,0.2564259112277917,0.200959419162453,0.21607880521131237,0.20463847203274216,0.14684287812041116,0.207782395164337,0.16406890894175555,0.17758484609313338,0.1914137270987148,0.13757861635220126,0.11544381734222679,0.10260356547390022,0.08957897879964169,0.12085635359116022,0.0918800964741013,0.07722007722007722,0.08794591326334304,0.07568113017154389,0.057631351455191625,0.06744062816127944,0.057920648711265565,0.07440184829854721,0.034883315310287086,0.041425020712510356,0.0,0.033581838941500436,0.02534292140526499,0.0,0.03577390889577868,0.08654262224145391,0.028098569782798056,0.024323666927920866,0.02701023687977744,0.01899232167566541,0.024053237833070527,0.01833420639078051,0.030869755357188795,0.026383831987757903,0.013534363749560132,0.0,0.0,0.01681859463823203,0.016426295213377573,0.016068903458028024,0.0,0.0,0.0,0.0,0.015965259595121014,0.0,0.0,0.015423054381689751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011581312394320524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018403920034967446,0.0,0.0,0.0,0.0,0.0,0.011595547309833025,0.0,0.0,0.0,0.016296376772230975,0.0,0.0,0.0,0.0,0.020234137881196705,0.0,0.0,0.029478235236317183,0.0,F
Connecticut,0.29579067121729236,0.2699460107978404,0.1454192922927775,0.15420826231637041,0.12232772179180988,0.13109978150036417,0.15154795410261962,0.1259198048243025,0.17253939649553315,0.17420157610949813,0.17771315481239144,0.14263639605372638,0.11919458516027415,0.17489975258083781,0.19345544350689442,0.2370791844476055,0.16223800754187495,0.10103672465296082,0.18651745270450307,0.13383791766660513,0.10039244318700373,0.13276294438707775,0.09803415716423301,0.0991134849402566,0.06552722109976519,0.10830715910321671,0.05976312072150386,0.06897283531409168,0.10607132033538741,0.06568310428455942,0.03301108229191229,0.06936793569184314,0.04476418864908073,0.042363905952128786,0.031006683662922897,0.06283819165648455,0.033842856337074845,0.028006925348813525,0.04153513872736335,0.045822951570868055,0.03127665624111459,0.0,0.014702639123722707,0.0451789323504934,0.19510867099233178,0.04160371367886312,0.012884937508053087,0.01808536291294912,0.02662134212520222,0.018286364467562023,0.03238538609452484,0.0,0.012567813828784483,0.016512549537648614,0.0,0.010835410120273052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016736961906674702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,1.0050251256281406,0.0,0.3295978905735003,0.34296913277804997,0.28429282160625446,0.29940119760479045,0.40803515379786565,0.38230475150191157,0.384932636788562,0.40453074433656955,0.28653295128939826,0.4069767441860465,0.24775472282440383,0.5108556832694764,0.3023177695666779,0.37086985839514497,0.4697986577181208,0.43800539083557954,0.38394415357766143,0.42043984476067264,0.2079002079002079,0.27313076135199726,0.2605135839225903,0.2871500358937545,0.31545741324921134,0.21986075485525836,0.0,0.15728216420257943,0.0,0.17554125219426564,0.25673940949935814,0.0,0.0,0.1503113592441486,0.15135135135135136,0.16100178890876565,0.18761726078799248,0.0844451950684006,0.1310615989515072,0.07878978884336589,0.07377895824110964,0.0,0.0,0.11098779134295228,0.056420672534416606,0.0,0.05009016229212583,0.06188118811881188,0.0,0.05238344683080147,0.0,0.054059898367391064,0.06387735547748323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.09218713989398479,0.05389092476826903,0.06575162324319882,0.12766862898077877,0.10423905489923557,0.08744786761738195,0.09173750840927161,0.07707357562103516,0.06666666666666667,0.11520134052468974,0.12768130745658834,0.15654193809018835,0.1564036106890696,0.21452407436834578,0.16679407881020222,0.17902159219612,0.1986837203526636,0.13948946854512484,0.13743815283122596,0.20868905331056725,0.13905710312654196,0.14752889107450207,0.12462497115162705,0.13950649577120935,0.14330380406461699,0.11289985364833785,0.09872058126678251,0.10321890052756327,0.14903658493311095,0.0785391714117416,0.09748028239742415,0.0827876872130654,0.07208631755185564,0.08088558156733147,0.06624780954823267,0.07614551407740192,0.06951685783802572,0.06651210520314697,0.06890424123737511,0.06655795533961197,0.056192051946430246,0.041787947779474914,0.06660323501427212,0.05428600971978079,0.04164683484055212,0.0538829393143396,0.04680373994535936,0.029537111270517745,0.03204068132958492,0.02794568187463774,0.032696283170906636,0.036390491378664465,0.0347720259051593,0.023207509950219894,0.030093651443291524,0.026047803922055048,0.018324863174354965,0.012762945687864758,0.007640003056001223,0.008782908460136574,0.014154615584231759,0.015792222937596422,0.008359406720963003,0.013906974980087741,0.012837794466910584,0.0,0.0,0.00894124484481352,0.009169731734403814,0.005814742310003295,0.012912627627489138,0.004461656523834169,0.008521226374899875,0.005695733895312411,0.0,0.006146423165868912,0.0043980208905992305,0.005572466443303637,0.004100237130380707,0.008513838535052184,0.005098287703658385,0.007344516583918446,0.007484133636690217,0.0,0.003856596322349747,0.010795721809671425,0.003853980390947771,0.0054366820705992,0.012942421450921575,0.009193429762196616,0.006949753283758427,0.00604622337772269,0.005954906470750244,0.007269607950043255,0.006377822186317445,0.004993544060892703,0.01054113678630857,0.008050946388747997,0.010046380791319927,0.005102431308518509,0.0,0.005963689649590636,0.008418146155853559,0.010829723425524825,0.007589236775754919,0.006098198417953096,0.012661318766787551,0.0,F
Georgia,0.03403510477950114,0.08397135095085206,0.05915512561764911,0.04844178911674471,0.04961612785292735,0.06557080516426617,0.0924175593362739,0.11112741911810957,0.11788416929687798,0.061908552224285845,0.10138328035054558,0.10333473448227548,0.1064275246004606,0.12637455910368373,0.12417685794920037,0.12394783091295902,0.07752554367272294,0.07385104811679827,0.14741824106761842,0.16537926305386927,0.15863689776733253,0.12089218432028369,0.10860659642169844,0.11640730302658987,0.13043311466605287,0.10760953112990007,0.11085396448783523,0.08541168431841477,0.08737196289480044,0.12003710237709836,0.11538734644606972,0.08188890405350074,0.1006178565252252,0.12228814710811178,0.09743769316261437,0.1027879247908661,0.08492685332310558,0.0650514274492476,0.062300542904731034,0.07417931277267184,0.05479382231510271,0.059346447249663085,0.06326318679351135,0.05564105599621167,0.05491299722002952,0.04457040981920413,0.05050731794917841,0.04979347026537656,0.026800904239203897,0.049495616102573775,0.03646758502240992,0.03557495049152724,0.048244503141923266,0.04468653003055592,0.030031472983686903,0.027003394712478142,0.027119747243955685,0.01693217253883817,0.03236792479383039,0.020513381562572652,0.026043023074118443,0.014894855858417624,0.013291391608701433,0.015526021612222085,0.019157699798844154,0.01702823280999898,0.027684534726788248,0.013089861901956934,0.0,0.0,0.01806140878988561,0.00908787979764321,0.010538676944385896,0.007484245662879638,0.014682994156168326,0.014152679102154037,0.006944347995166734,0.012093360744951022,0.009237997202206562,0.0,0.010046212577858147,0.01693480101608806,0.0,0.006734913793103448,0.0,0.00675949709341625,0.013561344742944709,0.014541801068161388,0.009139813025539248,0.0,0.0,0.0,0.007501594088743858,0.006163100285967854,0.012279279943024142,0.008567407135426228,0.00827981027406172,0.005964665322628748,0.008752406911900773,0.0,0.0,0.010090962822009832,0.007353265585246408,0.0,0.007433507277403624,0.016559032952475575,0.012584552461853074,0.0,0.0,0.01253896034105972,F
