state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014112049674414854,0.0,0.012280486307257766,0.017079419299743808,0.0,0.013097005151488691,0.0,0.014110058455956462,0.0,0.014100962894323357,0.017939007374925254,0.0,0.0,0.0,0.015219155844155844,0.00970952342422526,0.010221813349688235,0.02102017937219731,0.007679783737289958,0.006884397202180976,0.007129819758156514,0.0,0.010176785298906723,0.017357595394451357,0.02290721147651295,0.01441981859868203,0.008598082627574052,0.007233063781156422,0.0,0.025715387802334386,0.016149159509652792,0.016232568435032832,0.015057746457665144,0.012196795292037016,0.012529365700861394,0.016287440754434255,0.011388965719213186,0.015858471948125175,0.020670086626453952,0.013641767193498723,0.009969692135906844,0.0,0.0,0.0,0.012932706815536491,0.0,0.0,0.0,0.0,0.0,0.0,0.015969338869370808,0.013439956992137625,0.01608345012981642,0.0,0.0,0.0,0.0,0.0,0.014376422666826405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12027904738994466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09609840476648088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04071898086207899,0.0,0.04393431819429952,0.05159692482328053,0.0468427955780401,0.02677376171352075,0.021331968087375742,0.0,0.0273224043715847,0.066203243958954,0.021768312592968835,0.038584306710161706,0.023337222870478413,0.026652452025586353,0.03315759806359628,0.02717022143730471,0.04185267857142857,0.029928918817807706,0.0,0.0,0.0,0.03715124270906862,0.0,0.02008637139700713,0.02757764831603985,0.01697447039652363,0.016316940247364815,0.0,0.0,0.0,0.015356265356265357,0.0,0.0,0.0,0.012449889195986157,0.0,0.0,0.013325634078088216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011452130096197893,0.0,0.0,0.0,0.0,0.008688097306689836,0.0,0.008404208827780951,0.007941676329039533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01182396481188072,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016130072907929543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012027615404969811,0.0,0.0,0.0,0.0,0.013283034907815737,0.018596248870942033,0.0,0.016474012245682436,0.013748728242637554,0.019957234497505347,0.01442210620439009,0.0,0.0,0.017353077279037482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01819306480369683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.03597122302158273,0.024449877750611245,0.020300446609825416,0.015415446277169726,0.020730298812450025,0.013966480446927373,0.019881703862020976,0.0,0.02684619197092351,0.020905790904080433,0.025590407253052568,0.028166680473862976,0.016650520707193025,0.02444091409018697,0.009252120277563608,0.019671039690105467,0.02119445916281886,0.07303807303807304,0.07562726140340471,0.06793058729080467,0.04581069126753444,0.06378072513778271,0.05162218815505428,0.048795364440378165,0.04805242082271569,0.05603774076680481,0.04763662780311782,0.048806563320705605,0.04756317975711069,0.05294356782921918,0.04731235310277464,0.05299021039830975,0.0474005411561782,0.04482945863693189,0.04187205173053479,0.03933836614652605,0.043671231576199177,0.04926108374384236,0.04097322928895334,0.05103806228373703,0.04115999248730234,0.05499652952934349,0.0595246843721983,0.055439157324808655,0.04859482787915859,0.08344578957318782,0.05911687968559068,0.04984802825153186,0.05010475024347777,0.04396665964851442,0.04996533654776998,0.04647738828270729,0.03627304053989557,0.031985455035184,0.03157730407879424,0.030364517097009276,0.027166627942306662,0.02659583654267941,0.026753632906291167,0.02671301939891944,0.023634978137645223,0.017072275478237118,0.02382390030108481,0.017565215970457758,0.022427347198942373,0.01516898246465627,0.019608858764419913,0.016411015632365317,0.01837017208914782,0.014723342136012356,0.01651376146788991,0.013565821365264262,0.010587456804646718,0.012648621300278268,0.011051738714793306,0.011979873811995848,0.010627369017676858,0.008378156470450242,0.006505071712807813,0.010201282641270761,0.007866564555573807,0.00648890277460676,0.006213897256937196,0.0061568140539542135,0.004495439773006735,0.005766933501764407,0.005291889483065954,0.005936127270568681,0.005301117419750847,0.007418397626112759,0.0062886429965955575,0.005362565903112546,0.005382603990492622,0.004557937077678643,0.004791296750373439,0.005967129640153668,0.004151395461931703,0.0025214401205248377,0.0055838030297058324,0.006025225611225664,0.0053911988678482375,0.004820206304829847,0.005793584797633491,0.005283531935428195,0.0057737970654676415,0.003058384561274735,0.004475674707962226,0.0038359737619394685,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041361380288347904,0.0,0.0,0.0,0.0,0.0,0.0629643621710112,0.0,0.04604051565377532,0.0,0.0,0.038481272447408926,0.038476337052712584,0.04180352343983279,0.04028545119705341,0.028712530148156654,0.04964147821290678,0.0274830978947947,0.035317860746720484,0.024013063106329842,0.048171877258056744,0.03378704508157158,0.0469906410306614,0.02790665224822967,0.055233360950013806,0.048565580879037014,0.04365639062395057,0.02534292140526499,0.021219194276880172,0.02981159074648223,0.014423770373575654,0.050577425609036504,0.03243155590389449,0.0621235448234881,0.04612420978375885,0.04276131170323649,0.03666841278156102,0.025724796130990664,0.021107065590206323,0.029775600249032294,0.014226369999430945,0.0,0.0,0.0,0.03213780691605605,0.0,0.014679114555809992,0.024426735061524835,0.025617214768324313,0.0,0.0,0.0,0.027761497887041547,0.0,0.014336095421051123,0.0,0.0,0.0,0.013764940696047166,0.013746649254244278,0.0,0.011496102821143632,0.0,0.0,0.0,0.0,0.0,0.012275360895610331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011595547309833025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02664535038635758,0.02769060365515968,0.05475951446563841,0.039337168707282294,0.030958154893968318,0.06056935190793458,0.07644842461639273,0.0758150113722517,0.05976312072150386,0.07427843803056026,0.07071421355692495,0.04042037186742118,0.06602216458382458,0.09793120332966092,0.11510791366906474,0.09683178503343723,0.0723489285468201,0.09425728748472684,0.09870833098313497,0.07892860780120174,0.11906739768510827,0.08878196866855687,0.05686664771111743,0.06615681812167562,0.11762111298978166,0.09511354179051243,0.12251009573937112,0.09634544220368303,0.09234205214104711,0.14066393376738204,0.1433456883664735,0.08940000406363655,0.10525250480720576,0.0936558351657301,0.08797469680149138,0.08669088507265521,0.033064682785699524,0.07151370679380215,0.03862056431459857,0.052440884820747526,0.03653635367190354,0.036177704886402005,0.0335989248344053,0.032439446366782004,0.046788733273027856,0.03682131619468434,0.027289783387344363,0.020899369535685674,0.01774685880599134,0.0,0.02749613335624678,0.01972127267946358,0.019449576971700865,0.0,0.015501472639900789,0.018217148409035707,0.0,0.019919185020772865,0.01958863858961802,0.0,0.015689145726015218,0.02061961956801897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17554125219426564,0.0,0.0,0.0,0.1073652566029633,0.0,0.14311270125223613,0.10944340212632896,0.0,0.0,0.11030570438071226,0.0,0.06888001102080177,0.07815552950371239,0.0986558145270687,0.07898894154818326,0.0,0.17030655179322782,0.05156765676567656,0.051493305870236865,0.07333682556312204,0.07189072609633358,0.0,0.053231129564569366,0.0,0.0,0.07485029940119761,0.0,0.0645244547683572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02615746795710175,0.0,0.0250888563662973,0.023692939504027802,0.038229222417616025,0.03193641105709521,0.0,0.01476973975718548,0.02508717794335315,0.03953120639940471,0.027732199394513646,0.027781339487968546,0.015229102815480382,0.02510330977484262,0.013302421040629396,0.012692886543726994,0.03161502878631568,0.029656916305060406,0.012968673448802558,0.020388745412532282,0.03102057698273188,0.02974773917182294,0.03592195954289307,0.037007608328888796,0.028482214439427823,0.026872829502232513,0.022770555601556677,0.030586845546977177,0.018195245689332232,0.024992393619333246,0.026688636442752878,0.016852444808243255,0.022326689076047183,0.013438232994526973,0.017404016847088307,0.01855429313600297,0.015370089805239004,0.0117955129868598,0.015792222937596422,0.021495617282476294,0.013906974980087741,0.017972912253674818,0.014661860834504247,0.013151130399435695,0.01676483408402535,0.01833946346880763,0.01162948462000659,0.01936894144123371,0.018738957400103513,0.009373349012389863,0.01790087795669615,0.011163918216324838,0.006914726061602526,0.009529045262964999,0.004875908137890682,0.005466982840507609,0.004256919267526092,0.013109882666550134,0.005875613267134757,0.007484133636690217,0.0060819851599562096,0.006941873380229545,0.00925347583686122,0.004624776469137325,0.004660013203370743,0.011419783633166097,0.004596714881098308,0.007721948093064918,0.003778889611076681,0.008187996397281586,0.008723529540051905,0.007795116005499101,0.005706907498163089,0.004517630051275101,0.0,0.006697587194213285,0.008504052180864181,0.0051640000344266666,0.005963689649590636,0.006734516924682846,0.007497500833055648,0.006745988245115482,0.0,0.007235039295307173,0.006574251474510688,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00875718088832843,0.0,0.0,0.0,0.0,0.015902675625173935,0.011361699710276656,0.009698568491290686,0.018151382530302723,0.023501762632197415,0.02417843686405674,0.013337652192138406,0.01633786709145121,0.01534507231365328,0.017294388931591083,0.0,0.018980374292981057,0.016730801405387317,0.018187439754105816,0.015976709507917346,0.018766207178927255,0.00786077004103322,0.015097302112112564,0.016747103512324345,0.0,0.01506766752506712,0.012273854235707095,0.020343034417871355,0.011315488389051637,0.008919924562923696,0.016072996130117086,0.01432374040607804,0.010654670297146916,0.012584228529590097,0.018285296336083747,0.017958157493041214,0.03395009336275675,0.023305134121046865,0.008249269350428962,0.016469231945604478,0.01067248514745817,0.016885576099673144,0.012077440548798899,0.00961007135477981,0.011572883448204918,0.01220388625978006,0.01269912940412863,0.0,0.013675587708381768,0.014323662690765146,0.012186700247796238,0.007384106449278573,0.013973419450999877,0.009578849899422077,0.011919762966999285,0.017302834204242654,0.0098173964264677,0.0,0.007910891715714196,0.012040939193257074,0.010602526430583745,0.01204420222215531,0.01347164219318335,0.010278095909317829,0.01132214328172323,0.0,0.014780774243829028,0.01055771108823607,0.0,0.0,0.009118739008662802,0.0,0.0,0.0,0.0,0.0,0.007931891491724394,0.0,0.0,0.008674639073052853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006251719222786267,0.0,0.0,0.0,0.0,0.009030432557719514,0.0,0.0,0.009438414346389807,0.0,0.0,0.0,F
