state,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013804210284136661,0.0,0.0,0.022399928320229377,0.011488178664154585,0.016371205388465315,0.021285150060307925,0.016661112962345886,0.0,0.028910089621277828,0.03594105666706601,0.026083657403016217,0.05921067614037484,0.04352108482030373,0.06132220099530649,0.06790348005335273,0.06859886811867605,0.11355607146462098,0.13646428755342707,0.10111223458038424,0.09107705118530277,0.10396631491396788,0.09460489317530812,0.07905138339920949,0.08018359277794675,0.060287658255102926,0.08348446900998935,0.12283934368693517,0.09615104454998398,0.09820150949748886,0.07884658706915972,0.06631873360053055,0.06726800183458187,0.058781268369146364,0.04708572966064642,0.045449777995315174,0.028091860383453897,0.04166232684095406,0.04221190375685943,0.0,0.03359337090814079,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08726003490401396,0.08188666885031118,0.0,0.0,0.0,0.0602990834539315,0.13726835964310227,0.0,0.08482792050412022,0.06398771435884311,0.107095046854083,0.11694386694386695,0.11773940345368916,0.08019246190858059,0.15155690272802425,0.2219591595146493,0.2689873417721519,0.26746907388833163,0.13691596782474755,0.1952431664891729,0.0,0.14727540500736377,0.24213075060532688,0.11398176291793312,0.0,0.09976057462090981,0.15503875968992248,0.11485451761102604,0.1536688436419516,0.0,0.09417969485778867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027050787854196255,0.0,0.020683236237029886,0.01697447039652363,0.035897268544202596,0.0,0.016433313613357,0.06631718562496053,0.07063882063882064,0.08155918665804202,0.07069728470058391,0.08819675435943958,0.0796792908543114,0.08119479369141058,0.11166017295448066,0.11104695065073512,0.09821896280775276,0.13816202637638686,0.13073497569146547,0.19965715438136533,0.13123098641958125,0.23317112733171128,0.27242498297343853,0.2606977738854152,0.31530632608261827,0.2802723773808349,0.31378739460208677,0.26658424448479695,0.25385555046572,0.2739472466450717,0.20735020735020734,0.17069184674051208,0.17764198035279696,0.18766290182450043,0.17788724685276408,0.13110565771338287,0.20013024349179626,0.11792643329079366,0.11078727139472652,0.0729776763159372,0.09434530381195175,0.07647314139263792,0.06830035598973425,0.05872606388556807,0.0521506946472527,0.04509147127029116,0.037679810271072985,0.021283136661385295,0.024674299249901305,0.023332382754776657,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03091906933601299,0.0,0.0,0.01836210062431142,0.027208768997551213,0.030718427216526515,0.0,0.0,0.0,0.0,0.06361323155216285,0.048156025522693525,0.10170950201463051,0.0863727376231793,0.0978393803505911,0.08462026655383964,0.10697017671473194,0.12350580036169555,0.10577346848832084,0.06914135084914222,0.10027466538780137,0.09625060156625978,0.06659563132658498,0.0693421166681113,0.09823182711198428,0.09437353945712745,0.11229898481717726,0.14783621539288594,0.0992108229988726,0.06202374623427254,0.11242018167101357,0.05639627784566219,0.07381163271331562,0.04203446826397646,0.0,0.0,0.039259674705552444,0.02772387025228722,0.028449502133712664,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.003911521386243179,0.002972357079163777,0.002589507961118538,0.003757856268260833,0.004953989819550921,0.005621100361624123,0.0046789317063128145,0.006681875888928131,0.005387024005925727,0.008870029235616361,0.014646414129145649,0.012868402709513681,0.013470618508629831,0.012191528919322557,0.015049588393757432,0.017522483791702494,0.023901185669531963,0.029163740023741752,0.02900303102098839,0.04328084547164318,0.05991748073539227,0.08139526279570529,0.08624512470626028,0.0797134253154093,0.07925543745555587,0.08990825688073395,0.10912949631612584,0.09999264759944122,0.0986592461421705,0.11991136505550735,0.12432446822671246,0.13005875416871202,0.1694781366022506,0.16217816718482927,0.18611673441073992,0.2015228743501408,0.22518895925209387,0.25302989630248257,0.259612325941736,0.24724918751537045,0.2315011877136855,0.19747103386809267,0.1916521090212174,0.1676827141721189,0.15321844327779047,0.14806895782893176,0.1428135972092078,0.16402777423659096,0.154400118506364,0.12541923846565767,0.11024982382760111,0.09251681315162083,0.07911018378146678,0.08080091442986087,0.06929009452909514,0.05155333917379877,0.0471691616972635,0.04123669179492073,0.03663248808563549,0.029951572277113387,0.030201547542588008,0.019530216907471528,0.020884746037225996,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027761497887041547,0.04392257913384674,0.025804971757892023,0.061326791808873723,0.050565064596870025,0.07010927376462625,0.0734130170455849,0.04811327238985497,0.046325249577282096,0.062078955234175615,0.0827681342683067,0.08807846124547705,0.07982390363077817,0.14872607582591735,0.14880226374591404,0.18413041343415495,0.1960399921584003,0.23119644158520344,0.23427552839317545,0.26595744680851063,0.23974763406940064,0.25264647179202143,0.19995610719598134,0.19979544751801726,0.19094067036278728,0.14323715981174545,0.12980618593617116,0.16766145798403864,0.1457017969888295,0.13434011210450733,0.10204081632653061,0.07395038167938932,0.1079066117323916,0.090039102696028,0.043457004725949266,0.053054841952418184,0.03979646948463572,0.04900688979215314,0.014429181576820964,0.02312472900708195,0.03525057282180835,0.015624511734008313,0.022927516294913367,0.01671346436689397,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02145308924485126,0.01217878455730118,0.014471081954560802,0.014399539214745129,0.0,0.0,0.0,0.020467337540508272,0.01741614127973806,0.042592461134379214,0.12181539746623973,0.07217735006014779,0.07559821193794374,0.09724788485850433,0.12631844880944862,0.15191443187102774,0.10930289045421424,0.09427569749285568,0.0939047293836435,0.16510423954106618,0.15753918453445837,0.14904688439714456,0.17784421877416362,0.1663723156466764,0.1944592434736281,0.19904348547259004,0.2552684573276229,0.26268168816764925,0.24599508009839804,0.23155200779964658,0.2547318866281882,0.18596896242144415,0.2094583537882507,0.20178630499503805,0.18254343857751335,0.12442109628810397,0.13379532745548733,0.13565614736541484,0.1366069780321211,0.09841402021272569,0.07304601899196494,0.09403876032382043,0.06901608937583574,0.0631370073058537,0.04618510992056161,0.028212723938496262,0.04277566539923955,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10307950006442469,0.06056935190793458,0.1181753722524226,0.121921482565228,0.06460783046905284,0.22895622895622897,0.1504170654997949,0.17276130146847107,0.1915991156963891,0.16337442447645925,0.26654820079964464,0.1903925014645577,0.10083549409392106,0.16724950585373272,0.11827321111768185,0.21620063418852695,0.17748853719863925,0.14914243102162564,0.22785963846270696,0.09185548071034905,0.11093502377179082,0.13393604553825547,0.10442046641141664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009283003980087957,0.0,0.0,0.0,0.0,0.0,0.0,0.0070773077921158795,0.013362650177966203,0.014330411521650864,0.008849893169146745,0.02182425059374799,0.03176736514142587,0.03467116196214865,0.04582387982966929,0.038716645100816106,0.03973407245168918,0.043349535606570684,0.057109203505077366,0.04431037714947935,0.05614366268236519,0.062198972919524094,0.06684235192882441,0.09602345611141652,0.12398737836350593,0.13394107959243642,0.13125501074872115,0.14348038251724313,0.1762683980140427,0.17213507364387498,0.19690426955358228,0.16969023818338885,0.15885133519945097,0.13566010976136153,0.14446040930449303,0.14236663596013735,0.11185339544005884,0.10115752001915042,0.10278579742128574,0.13100794235650537,0.12721813912575697,0.10062786116189747,0.07347643403884978,0.07228208082040162,0.06440757110998398,0.06027828474791956,0.047622692212839414,0.047336666982244445,0.03493018223331658,0.027779882314316738,0.026657780739753414,0.02361095885790419,0.013938739241035647,0.011756938854874156,0.019722754423532066,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196347928529354,0.01487234569941337,0.02056831846085691,0.015051173991571343,0.016661112962345886,0.030110505555388276,0.020955887856062987,0.02789768889671982,0.04104276939624671,0.03749947917390036,0.032248961986536054,0.0448702721250033,0.05836748677215109,0.06655615832831022,0.0846740050804403,0.07807434265373368,0.1144935344827586,0.12320773365466632,0.11896714884412599,0.09221714425202404,0.1004706255618423,0.10706638115631692,0.08629660651285566,0.09666026395687465,0.09082200131878522,0.0775164722503532,0.08998126417513065,0.10560180751000761,0.1089284621504192,0.07570112250570715,0.07754064919417371,0.06376753607241992,0.07007337872677993,0.05198016324580997,0.04613011575775923,0.04411959351147845,0.027091297673158543,0.028247327654133774,0.02559123274473498,0.015730690577316343,0.011339337782673492,0.0189763141097521,0.010747680292336904,F
