state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,5.398630471998043,5.290314153223173,4.786604786604787,4.6545125313798925,4.840294008061511,4.434507704138304,4.510238685274554,4.922481661606255,4.702033641756793,4.866370679899016,5.062045357295678,4.951631763580313,4.964185611958891,5.146622595135181,5.297191776643553,5.387158448179718,5.03479085949237,5.072743410643307,5.070257847307622,4.857832120249902,4.942895738671251,4.908198121263877,4.752024495386971,4.640705492010827,4.626934580564868,4.495061479540415,4.207193410868756,4.369284073969623,4.397050029898346,4.157859051569417,4.020942005273998,3.9852273369636904,4.006020021645021,3.7446395339428755,3.5588946812497873,3.654007847533632,3.243940650631278,2.9231150520460427,2.957449235683322,2.831888784004119,2.6866713189113747,2.477796742557931,2.4682520365942704,2.1716246809615134,2.089334078500494,1.9702865739870097,1.7672505496064108,1.748646370558738,1.5385744696469206,1.558326569763152,1.477164927496951,1.4285496485798357,1.2858261550509005,1.2818215873739758,1.311358052812261,1.2686777558500142,1.2120187158238909,1.1498060920234638,0.9889934598819589,0.9179745336097127,0.866435617168755,0.8714939054311344,0.7759624089321895,0.7242276790766098,0.7800635095954714,0.609010477857434,0.7065243872728159,0.6165880593581042,0.6963221746309014,0.577177533421545,0.7167977062473401,0.6823978126507824,0.7367042424809392,0.6669347018896483,0.6331222925691435,0.6485053608198623,0.5782017924255565,0.5894333293398826,0.6520914350754056,0.5852747603106283,0.6734315230089103,0.627373287105828,0.6281071904935128,0.5953401768870814,0.7166649843544968,0.7260930016993665,0.7155635062611807,0.6869811860834266,0.6315953631023549,0.7069087851154968,0.6877470355731224,0.6469986451737771,0.760772830362013,0.5872700578633734,0.5966482407651136,0.643920631683226,0.42086361213209506,0.5378463617931967,0.5276664456042213,0.44029964837180857,0.4800470250146953,0.46413076379780044,0.43002482257105895,0.4459582835873306,0.38884838384890463,0.42211903756859437,0.45162909064841034,0.4777723862491135,0.5030499881169295,0.6143648195303343,F
Alaska,12.173913043478262,14.285714285714285,6.7164179104477615,19.090909090909093,8.979591836734693,7.187499999999999,5.625,7.608695652173914,7.894736842105263,5.392156862745098,8.755760368663594,8.88888888888889,6.937799043062201,5.79064587973274,9.44700460829493,6.153846153846154,9.535452322738386,6.864988558352403,5.781584582441114,6.544502617801047,6.8762278978389,10.14851485148515,5.439330543933055,4.798464491362764,6.15079365079365,6.487695749440715,5.555555555555555,7.0446735395189,5.590062111801243,4.612850082372323,5.375,4.51045104510451,5.200945626477541,5.105438401775805,4.183266932270916,5.147864184008762,3.6978756884343036,3.723404255319149,3.3906399235912126,3.3905579399141628,2.7756059421422985,2.4991885751379423,1.80418571084917,1.6307630360378498,1.7027577271885987,1.6134751773049645,1.629223117818556,1.6200294550810017,1.5037593984962405,1.1294204776893169,1.3751087902523935,1.3791899441340782,1.4881467381899982,1.3303769401330376,1.5,1.3069383048241399,1.3626194834248526,1.2452511608273533,0.7510953473815982,0.974770642201835,0.8179603202227637,0.8206958073148973,0.6605582782868101,0.6621004566210046,0.7704160246533128,0.5924412665985699,0.451068837026868,0.47636496885305973,0.5061082024432809,0.40943334425155586,0.5926388022457891,0.46845264236568585,0.37284649010028287,0.43415340086830684,0.3546099290780142,0.4784688995215311,0.3271934076587494,0.4095213718965958,0.3748326639892905,0.3768191268191268,0.35321821036106754,0.4143277198609997,0.2893359052080463,0.38472920982539216,0.3322784810126582,0.5182213306586426,0.23960294369330823,0.44373446929357474,0.3377777777777778,0.349779086892489,0.33525796237660643,0.303951367781155,0.30959752321981426,0.17956903431763765,0.2131782945736434,0.3445635528330781,0.17287744909719555,0.2278336814125688,0.2260312676586928,0.11562921564848719,0.2940599882376005,0.29750099166997224,0.312565117732861,0.28135048231511256,0.14279885760913913,0.167259042441982,0.24250440917107582,0.12306177701206006,0.18205461638491546,0.0,F
Arizona,7.094918504314478,6.326723323890462,5.643340857787811,4.98306724721819,4.789341015484336,4.30987452264048,4.358740301232314,4.378389234786102,4.755244755244755,5.025213006433664,4.317099400829621,4.3322475570032575,4.355340477013481,4.457554900032776,4.321747154721624,4.3006017906942615,4.422568322068763,4.397786920130515,3.86400873839432,3.9197930142302715,3.4767809384877215,4.090035684875103,4.0307907627711685,4.076923076923077,4.119850187265917,4.255892255892256,3.8721413721413724,4.147196261682243,3.72399910534556,3.9204609648627273,3.4161490683229814,3.590165620820903,3.1322094055013308,3.3385093167701863,2.9877525548014665,2.9821559520899537,2.700244840853445,2.5359508323885676,2.5711127915769882,2.324925229953163,2.2790927563292875,2.2651049997420154,2.1969271126100804,2.213297634984382,1.9753402448909936,2.0346427979446378,1.756440281030445,1.7470300489168415,1.661647861263288,1.4802343119716581,1.3668944824137357,1.255996801705757,1.1936735302894657,1.1139790789294934,1.2834821428571428,1.040029928918818,0.971295455442808,0.8672343109429203,0.766449178523701,0.672437493034142,0.5714478934198959,0.47202972782966757,0.42055913681960766,0.5126290059750136,0.38181640178833665,0.3538405047234369,0.3516729113258398,0.35053369544621993,0.3531941031941032,0.26717664594875834,0.3168285721766908,0.2822296139502066,0.26891760663330094,0.25342617424894814,0.19481136558015777,0.19988451117132325,0.19643792561550552,0.19886958342055683,0.23082894145524369,0.17343954825047897,0.17696299683852623,0.19870235198702352,0.19830936260566484,0.21589034399885942,0.15166633406505686,0.19934866278496005,0.17325684364532398,0.16226867055596336,0.15842113299740418,0.14437760296159186,0.11261261261261261,0.10168875976030507,0.11369086742579007,0.0955690703735882,0.09236453201970443,0.06891451238780381,0.10483012754332185,0.07269437668610568,0.09203865623561897,0.06736400890701896,0.08631591625348776,0.05580472480003307,0.06830035598973425,0.06921286100799094,0.06466686136259335,0.06012196169372155,0.08200899882527651,0.061484617021779736,0.05921831819976313,0.0544422264278122,F
Arkansas,4.428524910452621,4.299877464631837,3.7503819126183933,3.5598486895433665,3.494609091401636,3.6214953271028034,3.7319866978691953,3.6053345388788425,3.6663068834650607,3.663040223575207,3.8608060953356595,3.768115942028986,4.101924675490761,3.9992394473317274,4.129454149132633,4.25216391259609,4.1012486092224005,4.223411915719608,3.948515116980626,4.210774728608994,4.261565262274986,4.080226066579364,4.002178928479877,3.7821037133976767,3.853418964865886,3.822918925617275,3.647588853662606,3.721005154639175,3.5991465941065517,3.479614067849362,3.518958388317058,3.4977145615081056,3.2706878421010055,3.2687715574422924,3.1259594183482653,2.8654901729327746,2.708701134930643,2.747353888633226,2.720646604604171,2.4631257719973845,2.416296993878714,2.266589262727479,2.1962238529235107,2.0269911269326815,1.910100419743903,1.8818320188183202,1.759973641580407,1.8423295845134326,1.570919458303635,1.447979462920765,1.390626363715707,1.2838054205117755,1.2667746413697363,1.1406955603776905,1.1260659001099325,1.1458896700919416,1.0727272727272728,0.965433687956688,0.8112806644774966,0.7326695472477927,0.8340344587921134,0.6440344940508679,0.7079851439182916,0.5484749240421418,0.6385201811075423,0.593129254408662,0.4821407047289968,0.5604081317152353,0.5286767061839154,0.45502806006370394,0.5141388174807198,0.516966610953473,0.47229581845409513,0.5025514148755219,0.469829929331366,0.5089750563369337,0.4735187616887509,0.3856552162849873,0.5136642722420642,0.43813323944763916,0.37297318519100153,0.48512026090501426,0.3765601861645864,0.3936502503102135,0.41903753694146706,0.42309387395328335,0.2981720755369258,0.4228975018529014,0.37625235157719733,0.38625466169419287,0.36837999479934125,0.3929273084479371,0.4493978069387021,0.3548647920222801,0.38527013708449065,0.30665163472378804,0.25252525252525254,0.2428275924093893,0.1832879029984021,0.21651412262572584,0.23644388398486757,0.17497348886532343,0.1869981300186998,0.2579921480650589,0.1885223177155531,0.18776671408250356,0.2020081991563187,0.1887385970430953,0.24947478991596636,0.20698219953084032,F
California,3.372199359853681,4.134421711014523,3.201438848920863,2.855745721271394,3.138449045879009,3.0923385232002465,3.2309651434832825,3.2234636871508378,3.1313683582683036,3.0033977331911412,3.21947794482075,3.2251933785658626,3.178694158075601,3.0420014911772015,2.9774158391862438,2.8993034339484294,2.673862760215883,2.7645376549094376,2.723488002422224,2.6899766899766897,2.762619372442019,2.531958253566356,2.3821559459117907,2.4203967488184213,2.4966367362262614,2.2796584324489175,2.2628321805606118,2.2441160372194857,2.2389215067465376,1.9824761196458036,1.9342359767891684,1.8596428200013237,1.871127254967797,1.995964591669667,1.9638307537344386,1.9144073040447536,1.6727619653363015,1.6259858007230767,1.628177438112643,1.501533599776931,1.4414289989181226,1.3784602076124566,1.3666715952094564,1.2891945094499209,1.3683328679139906,1.2236214009547055,1.1621979814456112,1.1323854413174004,1.04494864427491,1.034184741971716,0.9739110828575991,0.8431071424148223,0.8647126056298443,0.8172534047026383,0.8648256507669838,0.7562034948318239,0.660284976299282,0.584070417101296,0.5204553984736644,0.46767224258166135,0.43483119812250454,0.39956657185425976,0.37815965020232356,0.3397382820169186,0.3047816210931884,0.2977916847084583,0.2832928067234826,0.2688702141860324,0.26157477634801657,0.283875653385383,0.2729282710387676,0.26470689584958385,0.25749235474006116,0.22881018702745723,0.22439526505404014,0.20012929701773616,0.18539291694065768,0.17543859649122806,0.18066527330050658,0.1649299945182919,0.15410290574824026,0.1659408642980044,0.1633468993010326,0.15357069899902667,0.1409311897873356,0.1410936554031174,0.13221881685313927,0.12247868294223456,0.11920677361853832,0.1238106545004325,0.11606657087454487,0.1087080575211139,0.09690227162935881,0.08551881413911061,0.08328871437920161,0.08033364099408608,0.07637890702065894,0.06819576731604192,0.06523621440178391,0.06366636304325216,0.05813724330929013,0.06728168599201992,0.05627063818316598,0.06644998691658288,0.05963984350505064,0.06305014776277645,0.052685898222392225,0.0584916047343793,0.060218168798037215,0.04986765890521308,F
Colorado,5.509563231515843,4.807965860597439,4.0901940220241215,3.9245512625494374,4.156930266879843,3.4864864864864864,3.7373241740268237,3.5253719954215947,3.683203498701654,3.3961721110951215,3.594608087868198,3.6927969845102777,3.6361475848137363,3.7904934907659706,3.255731505554243,3.2541669210574518,3.513548554388694,3.2538925961232925,3.3920377030881808,3.3326948860371575,3.242664651807077,3.224585094970657,3.2622993948960803,3.206179928903473,3.341194968553459,3.0207798871216007,3.122996024111838,3.153180053747387,2.6358195211786373,2.733432870104514,2.6806398234969664,2.6328807783213324,2.5227043390514634,2.5645951397560274,2.5386579314995905,2.2975190655468674,2.165485374162979,2.1557888861757424,2.012565589616128,1.9391542650986922,1.8402847739942239,1.8215224760034212,1.7035981690866655,1.7111853088480802,1.609692773691043,1.3993087751833433,1.5323910164590147,1.2802852281014505,1.253493230593917,1.1973167276906218,1.1471974855945521,1.0752964782754095,0.904965437180096,0.9392848442194732,1.0043817219598248,0.9247861629264905,0.8106562615627838,0.7194717303459378,0.5174186913485024,0.5287242594768413,0.5078973636310258,0.4793746755824249,0.37785391783278366,0.33527045149754137,0.3519898525447915,0.3511962622683516,0.3763225269132299,0.2811045064566191,0.31539409926312467,0.30130119453924914,0.2679948423634111,0.3021951455371821,0.29135791139966505,0.26118633583064127,0.2756352349848285,0.2713080265789897,0.22531325439705713,0.2642353837364312,0.2346338985510752,0.2486895038400585,0.18295360296628774,0.22341156830010803,0.1862379925504803,0.18847535998793757,0.19353195823784058,0.2020253682487725,0.23217665615141958,0.22485535989489905,0.19264063985954302,0.2069309992150893,0.20704410039338378,0.15915239979082826,0.1275681482476165,0.16766145798403864,0.18964360877911146,0.11349423264001483,0.1414656771799629,0.09303435114503816,0.12262114969589955,0.11319201481786376,0.08419794665652669,0.09494024349380095,0.0909633588220245,0.11531032892271324,0.10966177998383933,0.09538950715421303,0.13218964808178132,0.09687197275085153,0.10481150306246109,0.07688193608771225,F
Connecticut,6.9169510807736065,5.7288542291541695,4.5661657779932145,4.918431945458972,4.957185297372867,4.802136440883709,4.667676986360684,4.478023059064259,4.290479659522258,4.019079220240564,3.9177672765459026,4.001743333729546,3.558809756928185,3.68142649944544,3.128215682239144,3.142376826587353,3.292993071998597,2.9344579160077315,2.855493383071321,2.9028982831825734,2.8520580450853332,2.714264640802478,2.5488880862700585,2.7091019217003467,2.5064162070660188,2.317773204808838,2.2927306313158753,2.3238539898132426,1.9698959490857662,2.1170169765561844,2.1221410044800755,2.076957603949892,1.8577138289368504,1.782310043271704,1.7914972783022116,1.8572176645138767,1.813413052061594,1.6931459415419083,1.7140167248158609,1.6782656012830428,1.745806084731305,1.6486279075921564,1.5413266681369306,1.5836404708120317,1.7083352239212306,1.7035625916923953,1.614912167675987,1.5292179085282533,1.4457436569532898,1.5645000711136396,1.3804270822791216,1.3457936314032086,1.216983305753964,1.2198645970937914,1.2233932630708826,1.1247155704843428,0.8655550002271797,0.8009153318077803,0.6747046644744854,0.6174328300612609,0.566381875779975,0.5325475778546713,0.42421784834211923,0.4150766552855326,0.303598840184206,0.31000731477933746,0.36558529140342155,0.2888765139913685,0.32651658360543045,0.2629503023928477,0.3889915394340173,0.33158592812480264,0.3038288637420555,0.30058294874908914,0.215066434905577,0.26179500313015763,0.22666853225129427,0.20293183092574296,0.2457966163742384,0.2397030774782205,0.2457191123397067,0.2903569525839105,0.23221739971802172,0.2694500382902686,0.2889498569844142,0.23999520009599806,0.22241179696545002,0.2095895269725599,0.21803257663203796,0.22254950090001635,0.2183261660602051,0.1656412683388547,0.20391235224994814,0.17153247109677863,0.17849493074396686,0.16245154144360346,0.11355463870699117,0.1460920379839299,0.11039332733665877,0.11646465082172282,0.1307838008478398,0.10160724182523555,0.09404241312832087,0.11406844106463879,0.10303001920104903,0.06248798308017689,0.10771641206423815,0.11222199551112018,0.09505201457464224,0.07720304400573509,F
Delaware,8.550724637681158,6.155778894472362,5.682656826568266,5.273566249176005,4.948554630083293,5.0106609808102345,3.792415169660679,5.0533584431889516,4.860731840524304,4.976629089909266,4.449838187702265,4.040114613180515,4.709302325581395,4.614431712604521,4.21455938697318,3.392677191803829,3.8772757923128793,4.026845637583892,3.908355795148248,4.013961605584642,3.3958602846054333,3.4996534996535,3.277569136223967,2.6423520655005586,3.338119167264896,3.224675779880827,3.737632832539392,3.1901041666666665,3.019817552689525,3.072100313479624,3.364540667056758,2.8498074454428752,2.8275862068965516,2.732128184059162,2.8988619282800085,3.0054054054054054,2.23613595706619,2.1575984990619137,2.4489106569836174,2.211664482306684,2.347935707532304,1.9477644975652944,1.873536299765808,2.097173375016282,2.0347761746207915,2.143985556307831,1.7707662588538313,1.6629933880985774,1.6295379537953796,1.709577754891864,1.3724463069669985,1.4583547293827668,1.5028651746134718,1.3840093686788033,1.3950953678474114,1.1612750325867993,1.1601796407185627,0.8451786400307337,0.8001032391276295,0.6997455470737913,0.6858542559706062,0.5890052356020943,0.8147254073627036,0.4995004995004995,0.7300481168076987,0.7082630691399663,0.6736914838486785,0.37791652974038775,0.544261245397791,0.3767660910518053,0.47527105302242684,0.4472271914132379,0.4272874613231177,0.40504050405040504,0.3521643433602348,0.25910464948898804,0.4411555429059343,0.5256064690026955,0.30923850019327404,0.38764385221078135,0.40179626565823684,0.4023408924652524,0.27135288797002194,0.3771043771043771,0.4785997538629837,0.3023322775698244,0.23581429624170966,0.3118966285459676,0.37020583444395083,0.1611013473930873,0.34572169403630076,0.3649080127717805,0.26611472501478417,0.2017872585759585,0.1922792486318592,0.11931394481730052,0.07595321282090232,0.07654623392529088,0.15847860538827258,0.08371002846140968,0.10442046641141664,0.12171796209354896,0.0,0.0,0.09097525473071325,0.0,0.0,0.16296598085149724,0.0,0.0,F
Florida,4.005362828892241,3.989980318482734,3.341783821156949,3.524466479844794,3.5094928906057365,3.418682176040854,3.731758165392634,3.908247006592224,3.5777628279615925,3.6758166834647534,3.5111111111111115,3.754516416191025,3.6057201225740547,4.004443771145786,3.8073107516310665,3.9011600190688065,3.7146431301688794,3.8288699718680355,3.828800860962788,3.8545589807969494,3.669598680593733,3.7326882944412825,3.7904274884492892,3.343988197688714,3.6556658204477266,3.4004708344232277,3.426263678999479,3.412084465816433,3.1748538935397255,3.4215154063766344,3.1971895958269756,2.968126186268735,3.1695861518920037,3.0606357090890843,2.7323039717235607,2.8101962053107163,2.3998803265375903,2.3548000228436545,2.3655041903217087,2.1036828702823915,2.096139549221201,2.0449931778095776,1.9183342178378546,1.7637395890371481,1.693625118934348,1.618240099265846,1.6099476439790577,1.38860824857996,1.3671045900318919,1.2690408878011732,1.2475194311228708,1.1716485882255527,1.0568282495886598,1.0349883871520158,1.1496501064893294,0.9851587973868344,0.9401256710884272,0.873221617196512,0.7843041438623926,0.636987016603432,0.6308459666241009,0.5983356388468041,0.5366958409021209,0.5405799390177237,0.49798180037736756,0.47915850158665946,0.49425508697605747,0.4251939642006231,0.433987303181378,0.38223821711577793,0.41467564621137254,0.4089702091368984,0.3855341677350329,0.3257009262398944,0.273531366634286,0.28966875239017403,0.26075723262415873,0.27197922508969935,0.24922118380062305,0.2514575482540766,0.24396410925765208,0.26321950804203,0.23889119525713579,0.23649343400217399,0.2447311699197701,0.2212322101934071,0.1951437739108972,0.1704181799955275,0.17882469013997657,0.18174051493145899,0.16977411667973596,0.16778009316008824,0.1505779878147659,0.13226113638768383,0.1488726617687561,0.12067549197071802,0.10346244880026077,0.10914460590236907,0.08583497097422692,0.07567889605423117,0.08455703832694272,0.06378039135648136,0.06885333379235556,0.07156427579508763,0.06987061309358453,0.06164611796067977,0.05902739714476048,0.06795135380004878,0.07415915277689852,0.07513430256583643,F
Georgia,4.08907473136578,4.43566312669795,4.071264527802909,3.9689972549652834,3.841332845876639,3.8302394464919622,4.10838059231254,4.2584865703562365,4.202000228162908,4.234544972141151,4.37322794054472,4.347064592966232,4.579872984855887,4.545711752833997,4.7375352775164625,4.743316991952641,4.748936508567566,4.4859777689409,4.311983551227839,4.374483189802956,4.27732079905993,4.313836110495457,4.239468018215422,4.356083813258179,4.285111443587678,4.0353574173712525,3.7690347925863983,4.008655050677599,4.087892476716301,4.0121492097557425,3.8876659802598876,3.731063190937628,3.6599745311050667,3.6142941256397485,3.5488634806570953,3.3303287632240623,3.0970905703797054,2.8954022142033042,2.9115968010578377,2.8389303091642883,2.6364748458127325,2.457932023590213,2.3586425868675174,2.173552740617971,2.02834883481484,1.8628145642385316,1.6992906527790248,1.6612912352175637,1.550956675755669,1.5190440275289903,1.3740044937475737,1.3150873365034568,1.2302348301190433,1.083346417227261,1.1796362587992215,1.0917086719473306,1.0712300161362496,0.9735999209831947,0.834529539249627,0.8027569984820097,0.7917079014532006,0.7894273604961342,0.6645695804350715,0.6194882623276612,0.6816948178422044,0.5806627388209652,0.6280928816140083,0.6266771385561882,0.565149136577708,0.5806594519334219,0.6065623118603252,0.5785950137832844,0.560055403330222,0.5119224033409673,0.5344609872845271,0.522233858869484,0.5069374036471717,0.5307641660284059,0.45662100456621,0.4631333189529381,0.45082378943138435,0.4924119064677913,0.47373923169553656,0.4943426724137931,0.47658376094991806,0.465053400027038,0.46244185573441465,0.46004970652001476,0.45829633885203946,0.4784385390492144,0.45108123179874837,0.39190315637558004,0.4350924571471438,0.3648555369292969,0.36469461430781697,0.2986353344348571,0.28861052955300853,0.23262194758252114,0.2513191127560079,0.2564950089244397,0.24585212345991206,0.21335178537963645,0.19706751768460373,0.21673038138526834,0.22003181541114727,0.237847927862831,0.23438728960201352,0.21544741787079633,0.21391481360084186,0.18091928492100454,F
