state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01195933824995017,0.0,0.0,0.0,0.010146103896103896,0.008091269520187717,0.015332720024532353,0.040288677130044845,0.044542745676281754,0.046813900974830645,0.06416837782340862,0.10297777396378616,0.12502907652942544,0.1316284317412561,0.14317007172820595,0.12112647622892904,0.15619850106759525,0.18227320728514185,0.2240975817317921,0.21429489835278653,0.24810981428466566,0.23020733416955655,0.25748746442607395,0.2363129087832172,0.20203602192638997,0.21988045018486246,0.20337438784309259,0.1832534536227798,0.15972339665896237,0.17344532574591234,0.15752113574732812,0.18359490672194254,0.1751913775374186,0.1413233360158596,0.16596973746605165,0.17426728527780921,0.17027935017718257,0.17023521231447958,0.10719680358622033,0.13344069941332107,0.10528582709195759,0.1300360450791623,0.12991958425733038,0.12866760103853137,0.12395341222695168,0.13717096705531776,0.10234683676869614,0.1041395469929706,0.12286788089043077,0.10542709955672697,0.11144835435834204,0.06832001093120174,0.103076253521772,0.10849312483784995,0.11155571723050807,0.022049636181003012,0.04542242858584839,0.05149595756733096,0.07000077778641985,0.06765723802336777,0.09097052554972189,0.06832575618216698,0.08695652173913043,0.07741864130284513,0.060287658255102926,0.05469672107551026,0.04387119417390541,0.03205034818332799,0.03086333155635364,0.081662536607344,0.04613477120036908,0.03669163736431738,0.0620468943896545,0.03363266404331887,0.02097682061322239,0.05267223821897605,0.03819046627087456,0.03517658646404953,0.03942793648517868,0.022395580605427196,0.023766141170878555,0.024251242876197406,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2387774594078319,0.0,0.0,0.2921129503407984,0.2646139042578783,0.2617274008455808,0.12955765315565426,0.1773049645390071,0.2743954724747042,0.11454753722794961,0.1432151808091658,0.20366598778004072,0.1392515230635335,0.08729050279329609,0.0,0.08528057308545113,0.17857142857142858,0.11531808571977706,0.22371364653243847,0.18995356690586745,0.1669100771959107,0.2102446483180428,0.20884093282283328,0.19625334522747548,0.0,0.0,0.15408320493066258,0.10214504596527069,0.0,0.0,0.0,0.1473960039305601,0.0779787897691828,0.0878348704435661,0.06428387760349705,0.0723589001447178,0.09151223976206818,0.11392116655274549,0.0,0.0,0.06693440428380187,0.09095634095634096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11525163273146369,0.0,0.0,0.0,0.0,0.0,0.1250260470931444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05323868677905945,0.0,0.0468055230517201,0.05703576957549092,0.07694998251136762,0.04176860194522346,0.0756209644581467,0.09593138084758196,0.0823768466143116,0.13931169702285745,0.11242270938729623,0.1606425702811245,0.1322582021417296,0.20719376761147026,0.1249024199843872,0.14711831990878665,0.13423792765664116,0.08418394191308007,0.09334889148191365,0.10994136460554371,0.10610431380350807,0.08490694199157724,0.11160714285714285,0.13468013468013468,0.07107039917874206,0.09066540523494165,0.08647118937190472,0.08173273395995095,0.09805910597146142,0.08034548558802852,0.07583853286910959,0.05771319934818034,0.09463825343471592,0.08011483125813666,0.065733254453428,0.07579106928566917,0.05835380835380836,0.08437157240487105,0.060223612893089994,0.06551758895272654,0.05726949030153631,0.059050759048298596,0.07127245082200893,0.07995380446852929,0.08730574471800244,0.06698764915218756,0.06128201985537443,0.06251890692749824,0.059650448372536934,0.06082725060827251,0.04807499699531269,0.044807429886555734,0.0658551187387747,0.049343728412118815,0.026951064567050396,0.03284008808870687,0.028630325240494733,0.03701989819527996,0.04826254826254826,0.02905393136008716,0.028422716856447518,0.03127715030408341,0.027367268746579094,0.016808417655561902,0.03335504058196604,0.0274623200814177,0.011930936919432087,0.018712224696394157,0.016058775116927958,0.016534733274083873,0.01034853878632337,0.01677887539587659,0.02294630564479119,0.0,0.0,0.01182396481188072,0.012337149624950652,0.0,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01759479194158529,0.0,0.01887453824790358,0.02122578933404086,0.0,0.014755356194298531,0.05044136191677175,0.0621260929590428,0.0577325539438551,0.10172200828307781,0.0916953731010384,0.15649057270501526,0.1540751573394615,0.17533606078316774,0.17533606078316774,0.17434620174346202,0.19219680953296175,0.1952319410454533,0.2052744119743407,0.18460295941619315,0.20946673260989732,0.20086751477395126,0.1966682091624248,0.18180751862060876,0.19906705885848414,0.14872904272579773,0.1890909090909091,0.15522659296558514,0.13907668533899942,0.17283486755588953,0.1536379266195998,0.15646035731179272,0.1547508511296812,0.185455549855976,0.154792771177586,0.17117152979578837,0.18482060347944876,0.1661899976810698,0.1481896827939763,0.17063552252388897,0.12853470437017994,0.12826991098845572,0.1382329224743693,0.11210762331838565,0.11648675933835521,0.12432978475406015,0.1193744777366599,0.10337150127226462,0.09229904891849593,0.10170950201463051,0.07852067056652663,0.07745617611088464,0.08038925322614766,0.07701852723460699,0.08380750738829341,0.05729396209784046,0.06482001642107083,0.04795744866373109,0.03937524609528809,0.06215592257147932,0.0693421166681113,0.05358099660653688,0.0404458026244832,0.04042763453418381,0.04479885314935938,0.06313416009019165,0.03101187311713627,0.040471265401564885,0.05639627784566219,0.03936620411376833,0.0,0.02651113467656416,0.03849961500384996,0.0,0.0,0.0,0.035648505733468006,0.0,0.0,0.0,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007568418503269557,0.0,0.0,0.0,0.007569449701006736,0.0,0.01038021234948692,0.0077193849194096215,0.017376469101478578,0.008177016043305476,0.0,0.015248551387618176,0.016017473607571896,0.016941642557406104,0.01548190403601329,0.02207915959746206,0.02325311010347634,0.03214430903916879,0.040444430878178325,0.04144106197816532,0.04476717775861275,0.07008549167182311,0.06148301266762071,0.06275406028136299,0.07120309496119431,0.08225671530811414,0.0999010197269986,0.10207612456747406,0.1246788121945469,0.12516451548057486,0.12713296785667044,0.14183784406477024,0.126074693308866,0.1310359664391465,0.11658244988275701,0.10843564587183878,0.0980174176638034,0.09133918729797011,0.09087445584625667,0.09295477656541458,0.07572792674118549,0.08013198208814518,0.07166983622378019,0.08394895903290799,0.08257225071937946,0.08565931769590251,0.06874667696173553,0.09368368775114,0.08272242348175828,0.08365414984336186,0.07065018709976874,0.09354498737755411,0.07121666391243105,0.07774103513136339,0.06844601644184309,0.06529489198409179,0.06265540837548632,0.061086206734519345,0.04525993883792049,0.05064573309698658,0.041173443129181676,0.040194507687550944,0.044206954859173225,0.04472486223145116,0.03770185675318694,0.04045452695731688,0.039927681547578996,0.030830543093618303,0.02267421548371274,0.024753962436462825,0.020878694783308973,0.023857654459072578,0.020626135429089726,0.022518502244984827,0.01949643493761141,0.021765799992085163,0.017298383159186977,0.014266149280986077,0.014292370446808086,0.01270081398105603,0.012464977662193438,0.013104069098326097,0.01268284433922381,0.012786706371757859,0.006227093192897556,0.010085760482099351,0.009525311050674655,0.006359960367404868,0.00977154794797493,0.008263210808279737,0.00681598211486293,0.004931296473066315,0.003608623165917276,0.006499067192708811,0.0077307108592074795,0.002983535148175142,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032886082609839516,0.0,0.03275681341719078,0.0,0.0,0.0,0.0,0.0,0.027578599007170437,0.0,0.04036326942482341,0.04322351359139372,0.06744062816127944,0.09170769379283714,0.06265418804088185,0.04534830990337322,0.07249378624689312,0.10406910188365075,0.15111827523675198,0.13938606772895745,0.1545969868744127,0.13117099928452183,0.1500072118851868,0.1517322768271095,0.16486040917813033,0.16206142127866463,0.1410858181620859,0.15233717294278,0.12572027239392353,0.11061662336325985,0.08970502875837687,0.11368865549630511,0.10242986399590281,0.07890666919168009,0.10427528675703858,0.09855777128026544,0.1253374469726186,0.10821841568239442,0.08220304151253596,0.116026991542243,0.09606455538121618,0.0989846094897503,0.10464563183764071,0.11915587469819072,0.08019988278478671,0.08491698632543704,0.07168047710525562,0.061326791808873723,0.07584759689530504,0.05802146794313896,0.06882470348023584,0.0526954888079364,0.05790656197160263,0.04828363184880326,0.05977698586044373,0.052370976956770135,0.06531046660700031,0.04876264781177618,0.05610577157632824,0.04664637140331926,0.06861399725544011,0.06533812479581835,0.03310415075120957,0.04347381342062193,0.045425867507886436,0.035370506050883,0.048769782242922284,0.03329924125300288,0.02300490004370931,0.02046245140167792,0.040284678393984155,0.015648402745176936,0.030065450172298155,0.01852967063510446,0.0,0.023854961832061067,0.012262114969589956,0.025725457913150854,0.0,0.022338880822070813,0.0,0.02017930756147482,0.0,0.020234137881196705,0.0,0.0,0.0,0.01671346436689397,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.033988832240835154,0.043299415457891316,0.0511549207098729,0.026839461677082933,0.020738282870178346,0.0,0.0,0.0,0.021329238119614367,0.0,0.0215526531316005,0.0,0.021964505359339307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020671122441948596,0.0,0.014101190140447854,0.0,0.01938306473943623,0.0,0.0,0.01587763634920215,0.019603518831630275,0.023778385447628107,0.018149643813240166,0.030655367973899145,0.023622385431430658,0.024113817217265493,0.02662134212520222,0.05079545685433895,0.046553992510879466,0.03664793549963352,0.04189271276261494,0.03096103038309115,0.022731969415168425,0.05851121464947449,0.02726157481030488,0.01906941266209001,0.03410059676044331,0.048236939848536005,0.0335989248344053,0.024329584775086503,0.046788733273027856,0.026779139050679523,0.027289783387344363,0.04876519558326657,0.03904308937318095,0.034804399276068494,0.02749613335624678,0.02300815145937418,0.03565755778145159,0.02210572854165351,0.031002945279801578,0.024289531212047608,0.02062280882656218,0.034147174321324913,0.02798376941374003,0.042722490721209046,0.03660800669403551,0.04897159647404505,0.03839361130307917,0.034629728289824184,0.03593840709921765,0.04821737527299543,0.026268168816764928,0.032999340013199735,0.04265431722625069,0.02257117982781414,0.028857252789534438,0.016363933889707083,0.03307972213033411,0.023663038334122102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0643915003219575,0.12021638950110197,0.08250825082508251,0.082389289392379,0.0,0.0,0.14055573575521677,0.10646225912913873,0.0653950953678474,0.09479796184382036,0.0,0.0,0.0,0.1272264631043257,0.0,0.0,0.0,0.08325008325008325,0.0,0.1011804384485666,0.0,0.0985869208018403,0.0,0.15698587127158556,0.0,0.10435301132975551,0.07367025195226168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07752939656286342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022937533450569616,0.017742450587275114,0.016362327377446167,0.017723687708622576,0.02508717794335315,0.018602920658543392,0.027732199394513646,0.04060349617472326,0.03807275703870096,0.03475842891901286,0.057010375888411687,0.08885020580608895,0.11314852407734034,0.12643211687946804,0.1296867344880256,0.12233247247519369,0.13054492813566332,0.14992860542598763,0.16277137917873422,0.18068420537045704,0.16667369931220727,0.15503555482057219,0.15628881344704812,0.1539889465468506,0.13164795410516852,0.12061546485852132,0.11951867624363244,0.10833714519584949,0.11163344538023592,0.11239249413604378,0.11022544003155928,0.09168003667201467,0.11966712776936082,0.1403666045436316,0.1299821426402167,0.13733311041582077,0.1264270452735249,0.0898645612683741,0.11240759973119921,0.12912018937627776,0.09947134889855039,0.11003678081284576,0.09885061927005602,0.09868936829580985,0.09904877482911854,0.0962898580363686,0.09438644740803423,0.062198972919524094,0.07759859246909502,0.06597031335898845,0.06547648070881773,0.056719946970266444,0.0588873832007776,0.05608116474024224,0.055083874379388345,0.05463417554783858,0.0494161294246442,0.04242255954584721,0.04009839529306529,0.043935376456804585,0.04582346316647897,0.02816879962847637,0.03141088502083844,0.022393649469888262,0.02418489351089076,0.02903016904490744,0.02907843180017302,0.024093994926088127,0.017834085931759655,0.02409402694013387,0.017712082055245593,0.01590676958625655,0.02296094088833329,0.01549200010328,0.023002802934135307,0.010943590002609626,0.00583138953682106,0.006745988245115482,0.006969369620517823,0.010852558942960758,0.007513430256583643,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011942131841135526,0.017293694090273082,0.01358757190090131,0.016747103512324345,0.05060328605088793,0.03150512300695853,0.038048948130692,0.06357198255584798,0.0628638243836202,0.08792497069167644,0.12734758472323537,0.12413908351934302,0.16455546347815794,0.15901888778300213,0.15199652579369613,0.18856065367693275,0.20483222995529904,0.22372928756204993,0.19916093146035638,0.20468902560965568,0.17194559404238163,0.18212299936076032,0.14009831036606724,0.12973596328952744,0.13758872543976958,0.138310710944174,0.12699129404128628,0.10695488192743956,0.12308028937543591,0.12240220844835668,0.10561806881423408,0.14325166511600432,0.13197118370388772,0.11973562374277594,0.13452303919899192,0.13842267363394123,0.08999280057595392,0.10575890275138396,0.10758812733371306,0.12040939193257075,0.08179091817878889,0.08280389027731776,0.08232670229167602,0.09250286318386045,0.06085652013926236,0.08472104554103416,0.09540317921016916,0.09501939979412463,0.08247579652586569,0.08664858348402653,0.07685794307301505,0.058224933504479354,0.05387931034482758,0.06905048809217564,0.08516966337704475,0.05966991686895672,0.07931891491724392,0.06528437875385178,0.05837711617046118,0.06815787843112957,0.04603306916157607,0.048760361576835075,0.04930480228774283,0.04543333578918932,0.05018052750749648,0.04494754148776362,0.029823326613143738,0.02625722073570232,0.03701989819527996,0.028097385538275666,0.03459758681831942,0.022059796755739224,0.02408115348725204,0.013380313099326524,0.013548299688389108,0.025169104923706147,0.021058770167822198,0.01725119464522918,0.01253896034105972,M
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08309788931361144,0.0,0.048227634434530986,0.0,0.0,0.04011875150445318,0.0,0.03848225967828831,0.04838709677419355,0.057865586509051825,0.0,0.0,0.049855419284076184,0.09287925696594426,0.0,0.0,0.0,0.051493305870236865,0.0,0.08379595684508222,0.0,0.0,0.0,0.0,0.05023610971566361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05471956224350205,0.0,0.059517904969745065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432575918454025,0.09658725048293626,0.1488435997252118,0.10504201680672269,0.12985958931904878,0.0819470621978202,0.21040705672897955,0.2248995983935743,0.22143139580862,0.1403180542563143,0.30020783619428837,0.1525669387443741,0.31072375899962107,0.29003684251783335,0.20187902787483497,0.11769321302471558,0.13896394657608277,0.14069094888228856,0.06399488040956723,0.15733686651209008,0.05453553899291039,0.12658227848101267,0.1683147485798443,0.14190590546883528,0.2323008849557522,0.19815059445178335,0.13774104683195593,0.10697267334435477,0.11943863839952225,0.11013215859030838,0.09797198001371607,0.09122422915526364,0.14732645809862208,0.13833509642769956,0.03751782096495836,0.08731717965509714,0.03481651695564376,0.04117203046730254,0.09176254676360557,0.09172369999294433,0.0966542750929368,0.061552665999846115,0.040277106492669565,0.06887052341597796,0.04513042693383879,0.06438557763061074,0.10878433505575197,0.07900280898876404,0.12259194395796848,0.06870491240123669,0.09528759528759528,0.07084661707403471,0.0,0.051076870690389034,0.07703500813147308,0.0,0.07526342197691922,0.0,0.0749126019643749,0.049431537320810674,0.048154093097913325,0.03964478274659055,0.0,0.05350454788657035,0.0,0.03840245775729647,0.0,0.044326241134751775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
