state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017111567419575632,0.007151234303040705,0.0,0.018804061677322303,0.024338912193795012,0.03172360091710046,0.027227261653984494,0.02893225512462569,0.031203460747464717,0.04714487763761304,0.05285179475886368,0.06493027374013133,0.0828176055171583,0.07470537116372673,0.1158966327329679,0.1482157108653517,0.1431755690415372,0.1621088243586129,0.16348159422740854,0.18708709293941106,0.19540596586377412,0.2783535682558484,0.2608828122024603,0.3356429230376666,0.33409492606802604,0.26479574516238547,0.3106447604583736,0.26134701608842636,0.23875651707839984,0.2875877142528471,0.23210739154363383,0.25779075603412877,0.25087919718656904,0.19300140155779702,0.1543570793769587,0.21521651727644678,0.17851192459656304,0.14674208894464036,0.13009540329575023,0.13417994489037977,0.1304182870150811,0.14574935665323038,0.09162333646379733,0.09670039387721409,0.09215472292955014,0.05634907024034103,0.06308670636923387,0.05922035120243061,0.08555650618340203,0.07806604387311666,0.09876799916826948,0.03941870548971172,0.052700922266139656,0.04423922360162579,0.06890018086297477,0.03166652272792699,0.02924746278260361,0.03787768421666035,0.03647484638478157,0.033791394458211305,0.040367924800322946,0.01834581868215869,0.02285938214355692,0.03026939763898698,0.02097682061322239,0.0,0.027774884560636044,0.02462361052483467,0.021506147173733826,0.0,0.0,0.024251242876197406,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14184397163120568,0.0,0.0,0.0,0.0,0.12184508268059183,0.13966480446927373,0.08652015919709292,0.18761726078799248,0.14285714285714285,0.13453776667307324,0.18303843807199513,0.2321654706627269,0.1669100771959107,0.11467889908256881,0.2610511660285416,0.19625334522747548,0.25569997869166844,0.182648401826484,0.17609509134932863,0.24514811031664963,0.2941753284957835,0.20153902528398682,0.24432809773123912,0.16377333770062236,0.18714909544603867,0.13175230566534915,0.21856518385188994,0.10853835021707671,0.12582932967284374,0.11392116655274549,0.1454192922927775,0.1151778858459176,0.13386880856760375,0.09095634095634096,0.15698587127158556,0.09355787222667736,0.13777900248002206,0.20716188221367265,0.09493670886075949,0.10030090270812438,0.10268697586856067,0.12424565140220092,0.10666666666666667,0.0,0.11175265412553548,0.0,0.11609907120743033,0.0,0.0,0.0,0.11525163273146369,0.0,0.0,0.0,0.0,0.0,0.10418837257762034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468055230517201,0.04073983541106494,0.0,0.0,0.029084986330056427,0.045144179222391514,0.0,0.05159692482328053,0.03278995690462807,0.06693440428380187,0.07252869149707751,0.04143875352229405,0.078064012490242,0.07355915995439333,0.06167688568007837,0.1052299273913501,0.13335555925987663,0.1265991471215352,0.18899830896249875,0.2003803831001223,0.20577566964285715,0.25813692480359146,0.3435069293639199,0.29959003468937245,0.3380237402719912,0.43095441542519597,0.3820923784405221,0.44859562786649254,0.4033231066220828,0.35985877240630093,0.4764546552230526,0.4673365156724639,0.525866035627424,0.45790437693425123,0.3624078624078624,0.4415445622521585,0.3665785132622869,0.3956254409837718,0.33116705261323176,0.2854120020667766,0.3135987836168393,0.29982676675698483,0.23790815435655666,0.20305631149256856,0.22061527147934795,0.2258747605122517,0.1789513451176108,0.16423357664233576,0.20832498697968832,0.15886270596142488,0.16164438235881062,0.1539524326458107,0.154006083240288,0.19704052853224124,0.1507863795999389,0.12956964368347987,0.10010010010010009,0.08716179408026148,0.08171531096228661,0.07471763683753258,0.07868089764641488,0.07395703768447238,0.08894677488524277,0.07754066846517939,0.06817678239675479,0.0729776763159372,0.06624244735732783,0.024802099911125808,0.04139415514529348,0.04194718848969148,0.01877425007301097,0.02576655501159495,0.037679810271072985,0.02364792962376144,0.04441373864982234,0.03888730459129443,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015489947024381175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030288497942906178,0.01828010341315645,0.0,0.015939641889378884,0.030441400304414005,0.03843936190659235,0.04399593037644018,0.04561653599429793,0.04038189737229225,0.037820382276787017,0.07568920846554685,0.060735770476631194,0.10263327664066624,0.1544998068752414,0.10478637101135749,0.09454545454545454,0.1135804338772574,0.13907668533899942,0.24422318241593086,0.23411493580129494,0.23287122948731942,0.20117610646858555,0.2998855699798761,0.24766843388413762,0.26272839457027986,0.2611595483948732,0.3053258096931283,0.22028196090996474,0.2768087365387532,0.2166727873668748,0.15547867998600692,0.12671351226817187,0.17009432503479202,0.18249592296342318,0.13987100784831766,0.13927022402610323,0.1630089058524173,0.12440306593362493,0.14082854125102687,0.13348513996309527,0.1426824296779454,0.08038925322614766,0.09841256257755338,0.0661638216223369,0.0749228735125606,0.09074802298949916,0.15695165017221085,0.11812573828586428,0.04883679630616231,0.0693421166681113,0.040185747454902665,0.058421714902031276,0.0449195939268709,0.04031896783442344,0.0,0.03101187311713627,0.049464879935245974,0.032897828743302944,0.03444542859954729,0.0,0.0,0.06599934000659993,0.028042624789680313,0.02772387025228722,0.03413940256045519,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.03597122302158273,0.0,0.0,0.0,0.0,0.0,0.0,0.012400486099055084,0.0,0.0,0.00913943116180449,0.0,0.0,0.0,0.009252120277563608,0.012105255193911056,0.016652789342214824,0.00777000777000777,0.0,0.0077193849194096215,0.0,0.011447822460627668,0.037543409567312204,0.024397682220189083,0.023298143429195485,0.010425626189172987,0.021436482511403017,0.0162688544402352,0.016911352802528246,0.017017575373677592,0.010683434571594274,0.014945956779010441,0.014483498686610006,0.02841303716425261,0.023851168707266657,0.019200869190566287,0.026582488785512542,0.035319267589924715,0.04143360265175057,0.06401384083044982,0.06034134820954032,0.07016798595123135,0.07018033774746836,0.07127891656046828,0.08869405647874401,0.10300339650440371,0.10964695003137488,0.11588048126005457,0.1387275272366291,0.13654434440137225,0.1636364771939467,0.17873519118114953,0.21063818278430585,0.2582404632840645,0.26787488291561407,0.2789963276795793,0.2827474039784812,0.30844262380016507,0.30614283730743314,0.35517028609267537,0.4132046177857286,0.43022134205157536,0.425133393303841,0.41993120971233894,0.4461861705894851,0.4562071476245374,0.4180756679961226,0.4354156700757351,0.38282126478634837,0.3906384605022853,0.3795107033639144,0.3264841008573599,0.30233071097713404,0.2917615313264188,0.2989495322351589,0.28086148603679156,0.25480382382858563,0.26259536137382616,0.2406876533738891,0.240976965503796,0.31605079949746534,0.26123841911102036,0.3002555154552053,0.2752608949955363,0.26285100790404087,0.2509989152672699,0.22615864527629234,0.1588620726695047,0.14592023213314176,0.12925131248573385,0.12405777547829418,0.10781579868363118,0.09802005161633931,0.09913513143951047,0.0918801612130436,0.07586779113909663,0.074132061820209,0.06209046296792413,0.061750292328511557,0.062260664649331866,0.04414044073050745,0.04131605404139869,0.035102307891544095,0.03698472354799737,0.035364507025989304,0.033642230174022084,0.041501710928377,0.03921217623315901,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020929989186172254,0.017260425296879316,0.0,0.033581838941500436,0.06335730351316249,0.03637576161750887,0.04471738611972335,0.066349343718448,0.04495771165247689,0.05945785249047323,0.09993787645517652,0.07054290908104295,0.08017745944356842,0.09429020429544265,0.13891389910734958,0.14774945913144424,0.15970549224480957,0.18778808399248847,0.19884480636303378,0.20182313565878435,0.19054502447517987,0.1992544028795475,0.25663224290396386,0.2466091245376079,0.22594729931910473,0.21134202183867556,0.24267194584583945,0.23783098144918347,0.2289047066570506,0.24985348098337393,0.21082837984246436,0.24944806032628952,0.19197952218430034,0.23007104391575858,0.2175805047867711,0.17435591548326412,0.18787087314133846,0.15518958608389502,0.15864621893178213,0.1563398091734682,0.17377642353837366,0.14997218257903774,0.15604047299768378,0.13172659413572718,0.10311303152312679,0.13967849441286023,0.10554620159324506,0.11713776419658772,0.17133797054009822,0.1615141955835962,0.15664081251105327,0.085347118925114,0.07135551697072046,0.09201960017483723,0.06820817133892641,0.08728346985363233,0.08047749983233854,0.041629084853951295,0.060221429564089504,0.06725417439703153,0.050095419847328244,0.024524229939179912,0.04630582424367154,0.03530881633983378,0.027923601027588514,0.01989823474231786,0.0,0.028858363153641927,0.02312472900708195,0.0,0.02812412112121496,0.029478235236317183,0.01671346436689397,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.024277737314882253,0.04762935700368045,0.019674969503797272,0.0,0.0,0.0,0.023772732675621064,0.025541696820058746,0.0,0.028812512862728956,0.0,0.021924055073226343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027076789775804178,0.0,0.0,0.0,0.030315278900565887,0.0,0.02448280083241523,0.0319744204636291,0.0,0.020671122441948596,0.017455053237912375,0.019741666196626994,0.033099093594052345,0.02215207398792712,0.03436721367815104,0.03411998862667046,0.0317552726984043,0.02695483839349163,0.04280109380573059,0.03629928762648033,0.03941404453787033,0.038654812524159254,0.06028454304316373,0.05324268425040444,0.0629863664993803,0.0688189454508653,0.05700789966609659,0.06702834042018391,0.09081902245706737,0.11985947509816078,0.11268826525083975,0.11358989504293697,0.10964912280701754,0.10473754719279016,0.15194636052288843,0.09359700489584333,0.1432742214532872,0.10293521320066128,0.13389569525339762,0.10915913354937745,0.10798007593437599,0.15972172925392206,0.17402199638034246,0.17185083347654237,0.18735209045490403,0.14911342344970663,0.10421272026779511,0.12401178111920631,0.10930289045421424,0.10900627522611438,0.13374309942518922,0.10633832377221213,0.16287949587460948,0.12812802342912427,0.1159853600701067,0.15101487112544473,0.07458710708577516,0.10228623559008099,0.08225316958334515,0.1109100461152297,0.11099778004439911,0.12796295167875205,0.1547738045335827,0.07695267410542517,0.06872852233676977,0.04961958319550116,0.033804340477317285,0.04492984032625976,0.04459844248516245,0.03212908753391404,0.036920804873546244,0.041636700859230096,0.023067163892199455,0.028620492272467084,0.03450804468791787,0.036078289889059256,0.0,0.0,0.0,0.0,0.0,0.02937720329024677,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09643201542912247,0.0,0.0,0.0,0.0,0.13023442195952714,0.08250825082508251,0.09268795056642637,0.06286013619696176,0.11297114100852418,0.09730781706130393,0.053231129564569366,0.10899182561307902,0.13034719753525298,0.19960079840319359,0.11525163273146369,0.16776358239772873,0.24173027989821882,0.08573178199632578,0.24869109947643978,0.15087507543753773,0.2664002664002664,0.2820640451302472,0.13490725126475547,0.17274140611504576,0.1643115346697338,0.0,0.18838304552590265,0.1485222040695084,0.13416815742397137,0.10313835273316635,0.10501050105010501,0.1467351430667645,0.07197351374694112,0.08538494378824535,0.18867924528301888,0.1932740626207963,0.12113870381586916,0.10635783502718034,0.0975371860521824,0.09045096265667399,0.06734006734006734,0.1093942294543963,0.08638065073423554,0.16212232866617537,0.17822664488341008,0.11846586702206427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1128031584884377,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02179788996425146,0.0,0.0,0.0,0.022937533450569616,0.0,0.0,0.0,0.0,0.0,0.011555083081047352,0.0,0.00951818925967524,0.0,0.013302421040629396,0.014506156049973708,0.01996738660188359,0.023413354977679268,0.041787947779474914,0.038058991436726926,0.02455795677799607,0.049976201808662545,0.042657326957185514,0.04136144460287571,0.051689944723406045,0.04857780717711262,0.07245176782313488,0.09597941188879044,0.08990591987670045,0.10540270352501413,0.14272618619385233,0.1324120663504827,0.12775827637960332,0.17469702892885067,0.17636070405049484,0.17899435731202865,0.20200689458314122,0.23591025973719598,0.25146078062172766,0.2663068141106785,0.20354754289037513,0.1951344758970409,0.24314252550552873,0.24867592028023863,0.23247236596515153,0.22822443427849495,0.21708371290678966,0.21490301694321212,0.1820355861724341,0.20536155563508698,0.18795921854530956,0.19457114605594716,0.1866976036632682,0.15173172072567345,0.14627724413672047,0.1653762309253552,0.14189730891753638,0.15731859199860163,0.13220129851053206,0.13995329900610703,0.15280987714389976,0.14269406392694062,0.15885133519945097,0.12409816858851822,0.07456021125393189,0.07004133961675206,0.07354743809757293,0.07181411726550374,0.055927566243934884,0.05731597478097109,0.042163726110250876,0.06165228113440197,0.04565525998530471,0.03689397875207999,0.02737321772174319,0.04185991996383303,0.0374178295958024,0.028402000189346667,0.02641062559104424,0.026096253083146028,0.026657780739753414,0.021081213265985884,0.016552252848729833,0.021705117885921516,0.03287125737255344,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011069468823631735,0.0,0.0,0.006357198255584798,0.0,0.007645649625363168,0.009891074541610515,0.020291965575277224,0.017757783828578195,0.02745649861001476,0.017142465315078514,0.010101463589835684,0.029423414247722515,0.0349577011815703,0.04124634675214481,0.0470549484160128,0.058105752469494475,0.09528289370529845,0.0833343397867124,0.1057107849025779,0.13758872543976958,0.12475083732219616,0.16649969663190867,0.17309803259309295,0.21470672702159377,0.1953226730558883,0.19092497054880772,0.25992054701460576,0.29344180847099743,0.2905584469491363,0.2298811429349862,0.23012769491642734,0.2748870999410956,0.2115178055027679,0.3021960635402823,0.2408187838651415,0.20599194207991275,0.19270723555448496,0.21704312422350952,0.15270313922415057,0.13728098729089416,0.13055374230913458,0.12496472769782724,0.11085596642647873,0.09897095583103882,0.08916013662849107,0.07946329707549013,0.08998398814328627,0.08890086206896552,0.06092690125780203,0.081113965120995,0.10984689241785214,0.1136904447147163,0.09270381783046952,0.05710804842762507,0.06320094181795649,0.047277206165943,0.05501168998412162,0.0505374223449364,0.047889191777794146,0.05018052750749648,0.04731320156606697,0.03698092500029823,0.03375928380304584,0.04759701196535995,0.030907124092103232,0.025948190113739566,0.03529567480918276,0.021071009301345537,0.013380313099326524,0.024085866112691746,0.022022966808242884,0.03077820255297091,0.02760191143236669,0.030451760828287894,F
