state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.02880776986707272,0.027097517189987465,0.01708866167297998,0.018260075648884832,0.016121664830588172,0.017089426527672664,0.028292852790110557,0.029952931108258453,0.04039545019666206,0.012457178449081284,0.0,0.020334709315330338,0.025890225444116944,0.017790780422234524,0.023154401265773936,0.016128056770759833,0.016495185467741605,0.010233738589381473,0.02134927412467976,0.014100962894323357,0.0,0.024088162675391937,0.018141503729086877,0.016555606142129878,0.012086539623705733,0.009966115208291808,0.009970885015754,0.009624083306065097,0.01130560946656366,0.010146103896103896,0.00970952342422526,0.010221813349688235,0.0,0.00921574048474795,0.015145673844798148,0.011407711613050422,0.0,0.0072691323563619445,0.007232331414354731,0.007158503586410297,0.008651891159209217,0.0,0.0,0.0,0.010000428589796705,0.01761726491962123,0.010329816276839076,0.01957507039496469,0.0,0.0,0.008143720377217127,0.0,0.012334367070764027,0.0,0.013641767193498723,0.0,0.009870693909781857,0.015234032829340749,0.0,0.012932706815536491,0.0,0.0,0.0,0.0,0.013804210284136661,0.014357158239812401,0.013688004745174977,0.040319870976412875,0.08501252211474393,0.08185602694232658,0.07804555022112905,0.10234683676869614,0.13727485739982484,0.1517779705117086,0.2420031148915778,0.2608365740301622,0.29605338070187426,0.36191217903199946,0.436331045543527,0.5044258518249061,0.5879902981600803,0.7090945795901887,0.7106442144291674,0.6637110782712401,0.60891514221031,0.5770130477725217,0.5229548261635089,0.5243741765480896,0.5336356346946112,0.4679470616943703,0.5498459855485505,0.4591851656868767,0.434136534483261,0.4685614881737325,0.3801531876548772,0.38349528560306795,0.29964837180859194,0.29390634184573183,0.26569804594221913,0.22375275320770546,0.2598497085469485,0.3194111724473145,0.21457717743070212,0.17921789311444855,0.19782762868127357,0.15447991761071062,0.15763307869528315,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982640026203734,0.1559575795383656,0.13175230566534915,0.30856261249678585,0.1567776169802219,0.21734156943491192,0.19366598313966735,0.24236548715462916,0.1791656002047607,0.24096385542168677,0.18191268191268192,0.24856096284667714,0.13365410318096765,0.35822540644805734,0.2663509914175792,0.4588607594936709,0.5349381477766633,0.2567174396714017,0.5502307419240327,0.4444444444444444,0.3865979381443299,0.2793816353138387,0.5699088145896657,0.2515479876160991,0.39904229848363926,0.1937984496124031,0.3062787136294028,0.23050326546292738,0.18986140117714068,0.18835938971557734,0.26980150317980345,0.1176239952950402,0.2380007933359778,0.18753907063971662,0.10048231511254019,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020719376761147025,0.0,0.0,0.0,0.0,0.0,0.01665778251599147,0.02321031864451739,0.020377666077978536,0.0,0.022446689113355782,0.01974177754965057,0.019709870703248186,0.0,0.0,0.04057618178129438,0.0,0.024130442276534866,0.0,0.016316940247364815,0.016690589845445136,0.016433313613357,0.02842165098212594,0.042997542997543,0.03937340045560649,0.09949988217119216,0.10835601249874005,0.10208909140708648,0.09595748345348523,0.09027843770787798,0.15102385288499978,0.12222804260520342,0.11513502198032238,0.15933325162397352,0.12100433598870627,0.12526594158232757,0.18045417680454176,0.2203437362285165,0.24644086437605653,0.2594292556375973,0.3000098687456824,0.298386786278058,0.29556079279836184,0.2767598106581158,0.24803331790837577,0.2574002574002574,0.24332667514073,0.22738173485158014,0.24326672458731538,0.26169950738916253,0.1932968030389619,0.19377690242856463,0.15185047574430965,0.19771266895058887,0.1590539099193503,0.09635265070156775,0.1302110245334105,0.1283218809504098,0.09438117410180583,0.11473152822395595,0.08803572962294941,0.10417359310237825,0.06857899590890817,0.0814251875246743,0.13221683561040104,F
Arkansas,0.0,0.0,0.0,0.0,0.02708999295660183,0.0,0.0,0.018836648583484026,0.0,0.0,0.01920799052405801,0.0,0.0,0.0,0.0,0.0,0.015453084435653356,0.01565386180770796,0.0,0.0,0.0,0.0,0.016021532940271723,0.0,0.018889308651303362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232740814010997,0.0174667404151262,0.014460897732531236,0.0,0.0,0.020281233098972416,0.02181818181818182,0.0,0.019316206297083253,0.0,0.0,0.01819306480369683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022751403003185195,0.05508630187293427,0.08162630699265364,0.04223783742272396,0.11597340343281275,0.11648675933835521,0.14764161939544643,0.15916597031554652,0.18686386768447838,0.22472811910590312,0.3012166021202519,0.40830748694593855,0.4117407256420709,0.5458007192722657,0.5776389542595525,0.7542675664946408,0.753635962979286,0.6395574953545655,0.6278066006888434,0.5512534453340333,0.5549635943882082,0.4247204645921817,0.3527415609930345,0.3460363113428006,0.3189291168807834,0.3807902517695547,0.3156708004509583,0.3145489987595251,0.2608148214767515,0.30547983833067016,0.26080110225371517,0.23644388398486757,0.20148462354188762,0.21449785502144977,0.12338754907459339,0.13307457721097865,0.18207681365576103,0.08317984671142534,0.12582573136206354,0.08534663865546219,0.06209465985925211,F
California,0.0,0.0,0.0,0.0,0.0,0.015415446277169726,0.0,0.0,0.0,0.0,0.010325458450355197,0.009502632229127467,0.010967317394165389,0.0,0.01059578590457738,0.009165342783820115,0.0,0.012105255193911056,0.007569449701006736,0.009324009324009324,0.0,0.0,0.011057753064577278,0.0,0.009385852391828051,0.0,0.0,0.0,0.0,0.005810305157226857,0.006341757300948092,0.006617945978652398,0.005341717285797137,0.004755531702412413,0.007241749343305003,0.0,0.004240207770180739,0.006088080475057603,0.0033228110981890677,0.0032530904359141183,0.006445227079161199,0.006487889273356402,0.007193008395839244,0.0034135776949247684,0.00624641749584797,0.006479901505497116,0.009515071193121963,0.006845162425925564,0.0026420951814789127,0.011329097329893604,0.00876833129260861,0.008050233456770247,0.008119367189012622,0.012477151216834173,0.013363751777856262,0.012120804013332884,0.016320853793534106,0.026792220967949358,0.02073242658754982,0.03384924650886471,0.03149478304158327,0.025208060559543697,0.026079975876022315,0.026035220104311602,0.03244979523768448,0.03227097817828286,0.039739685387599644,0.04133547721618834,0.04550735147214432,0.0569147988952244,0.09053870529651425,0.09867771857114663,0.08837920489296636,0.08531394325266192,0.1014631277111977,0.0986592461421705,0.09918935496526993,0.11261081383276096,0.10931008132467625,0.12471484346013074,0.13952257259884346,0.1405510052797305,0.16519785566704998,0.16222256936516902,0.20133027112476512,0.19470924445630203,0.1774376522169129,0.18646418322371583,0.17296122994652408,0.17610510902687088,0.16405563383228938,0.16520200867381876,0.1500698896914849,0.1428135972092078,0.14787996226511307,0.13104069098326096,0.12006425974465207,0.1136596121934032,0.11475643169768351,0.09770580467033747,0.09164006148752513,0.08870471038748895,0.0886178313902554,0.08676371348693723,0.07804299521518056,0.06903815062292842,0.07397677490130417,0.0657552680674068,0.056149373608980646,0.06563777325985314,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018007357291693466,0.0,0.0,0.0,0.0,0.0,0.0,0.01928268414963363,0.015459773668913488,0.014679114555809992,0.01832005129614363,0.03202151846040539,0.01915831151414522,0.034881877279213575,0.021949766391771975,0.0,0.03220989136482094,0.054477162599994265,0.06665955631399317,0.07837585012514854,0.11362537472198048,0.13764940696047168,0.11913762687011707,0.1436082736895745,0.1379532338537236,0.15174157949189562,0.15473243191772995,0.22012046152729736,0.19992685602828233,0.28784700200029273,0.2651477953451832,0.39698098412076066,0.2889955519815043,0.4532722179781003,0.4654255319148936,0.4694006309148265,0.5128723377378035,0.46331293130776174,0.44716123968318144,0.41868918079550943,0.42061705659004617,0.39165659549706816,0.34873583260680036,0.36772358287656975,0.319636818455552,0.287569573283859,0.25286259541984735,0.22071806945261918,0.2083762090965219,0.1955565212667717,0.24572768904277897,0.17339890275448422,0.14125515293032373,0.14429181576820962,0.16765428530134413,0.13512719581693203,0.07187275397643823,0.09826078412105729,0.113651557694879,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023609963404556723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01433456883664735,0.0,0.0,0.0,0.0,0.0,0.010332713370531103,0.013002492144327662,0.0,0.0,0.0,0.012059234962134001,0.0,0.0,0.015596244424342619,0.0,0.0,0.0,0.0,0.017402199638034247,0.03780718336483932,0.016434393899552983,0.10048948102045446,0.12947641002968485,0.09300883583940474,0.10930289045421424,0.07365288866629349,0.0939047293836435,0.10633832377221213,0.11481669381324931,0.13597259629213188,0.1443373369761328,0.15613401929918863,0.2717101758124667,0.2736847925248113,0.24108687636497714,0.45531492615725877,0.38699226015479693,0.38084211809152396,0.3708122400283752,0.4264460690008978,0.37309769268532156,0.3241812768772742,0.3549455750118315,0.3836317135549872,0.33277299392775056,0.33557046979865773,0.2879822780136607,0.2914569060146107,0.28833954865249317,0.16763431188159295,0.17685372902557908,0.20294038062595834,0.17088490670607795,0.14576574034889736,0.24239543726235743,0.1264459326558329,0.18746394924053067,0.20074422248335294,0.10201999591920018,0.11617468448011829,0.16543509429800377,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944543828264759,0.11787240312361867,0.09000900090009001,0.13206162876008803,0.07197351374694112,0.11384659171766046,0.14824797843665768,0.14173431258858393,0.26650514839491213,0.31907350508154103,0.5120702267739575,0.4651763793771805,0.6868686868686869,0.7384110488171749,0.7054419809962569,0.5747973470891673,0.7574632407544928,0.6663705019991115,0.45401288810779145,0.6770383174877557,0.5321575186255132,0.48787699586043765,0.5044681464398962,0.4289306315633782,0.5667412378821775,0.2582409235910679,0.26025719534598896,0.28526148969889065,0.26787209107651094,0.3132613992342499,0.29560076508433314,0.3271537622682661,0.2279202279202279,0.2729257641921397,0.18800526414739613,0.28702640642939153,0.1018537380321858,0.17578554163920018,0.16362786348761105,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05381407237992736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020849259851275278,0.0,0.0,0.0,0.0,0.0,0.022428565020409994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02129094070473014,0.0,0.01476973975718548,0.02006974235468252,0.013952190493907543,0.0,0.012822156686754713,0.0,0.0,0.0,0.0,0.009983693300941794,0.0,0.008645782299201706,0.0,0.006462620204735808,0.007139457401237505,0.0134707348285849,0.009796131616470563,0.007384277817629436,0.011369274020175294,0.006210151527697276,0.00843775049571784,0.0,0.008693006476289825,0.010443379477598951,0.0,0.008682601307351682,0.017103205629397968,0.012762945687864758,0.008731432064001397,0.017565816920273147,0.017693269480289698,0.015792222937596422,0.013136210561513293,0.01517124543282299,0.014121573913601642,0.019549147779338995,0.02869337541695061,0.03800029059045745,0.0641881221408267,0.08043726862171224,0.07286411304083157,0.09012546178145021,0.11844504661110827,0.1025232101156234,0.11642371854167333,0.11447713146430849,0.14953271028037382,0.16787055160452205,0.21457907648992366,0.22845466735723358,0.26875259466427776,0.31140750315814214,0.34277332056041193,0.3907675465271865,0.38951622855732443,0.3932727230666019,0.3645865449836591,0.34095763271329266,0.3182313039108952,0.3386246629075754,0.3096501185319033,0.2773704974530284,0.274670060963355,0.2529823566615052,0.24235724308006293,0.20259521618478968,0.20329335230737955,0.17873100983020554,0.17162567185171543,0.12841118793104914,0.16094466773963112,0.12012574865603995,0.12122130464429125,0.10996334555148284,0.08938434424778015,0.08014775063595497,0.09405551083899324,0.06668169352717984,F
Georgia,0.0,0.0,0.024357992901384927,0.025835620862263847,0.02350237635138664,0.027132746964523932,0.023104389834068473,0.020967437569454638,0.024717648400958282,0.01061289466702043,0.010310164103445313,0.00875718088832843,0.01570242166236304,0.01697568704377841,0.0,0.014799741004532421,0.00993917226573371,0.017042549565414986,0.01357799588780696,0.02016820281144747,0.011750881316098707,0.010074348693356975,0.009526894422956005,0.01429563370501981,0.01534507231365328,0.015372790161414298,0.0,0.011388224575788634,0.014871823471455395,0.009093719877052908,0.015976709507917346,0.01364815067558346,0.00786077004103322,0.007548651056056282,0.0,0.0,0.006848939784121418,0.009819083388565677,0.0,0.0,0.008919924562923696,0.007418305906207886,0.00716187020303902,0.011838522552385463,0.011440207754172815,0.010285479189047108,0.0,0.005658348893792791,0.00699154023631406,0.009427736400490242,0.0117637371040032,0.008300821781356355,0.006030562892740408,0.0,0.0072075535160848565,0.006429379693447176,0.00949191153538449,0.0,0.0,0.0,0.013021511537059221,0.02843563391152456,0.007384106449278573,0.0,0.011175324882659089,0.010216939685999387,0.01903311762466692,0.014726094639701552,0.008262414277451871,0.025314853490285425,0.040638169777242626,0.08027627154584835,0.09033151666616483,0.0703519092310686,0.11159075558687928,0.12312830818874013,0.13610922070526799,0.17333817067763133,0.22171193285295746,0.2347388054966946,0.32399035563592526,0.40382987038363843,0.4591829983194167,0.5414870689655172,0.6566566024451996,0.6637826145734758,0.6089043789582176,0.5962138437946168,0.552305844257586,0.5050889616487728,0.5031290662370654,0.45037759558082535,0.48135228736106417,0.3858100779015876,0.3450477663989784,0.3463680313322318,0.3702258022544741,0.33879299032531285,0.32383905574032856,0.2789713756858597,0.2837835939365842,0.25515720278510573,0.2235392737914908,0.18512386743325004,0.2661195605310498,0.23935329449487425,0.18876828692779613,0.18628912071535023,0.1500853934134939,0.1253896034105972,F
