state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.052250016328130096,0.03185003185003185,0.0,0.016935948243742168,0.03987354390361995,0.026085822355549758,0.034930273799607704,0.014648079880862284,0.030469226081657527,0.03209242618741977,0.025512915913681305,0.022838160489982353,0.044495296211543356,0.01626776745226427,0.029873337050904166,0.031628054083972484,0.017365800949330452,0.028224099348829707,0.022680880018144705,0.036841458921773304,0.025619128949615714,0.03424519560049958,0.04147384964638086,0.024088162675391937,0.024188671638782504,0.035180663052025996,0.03223077232988195,0.013952561291608531,0.017947593028357196,0.02502261659576925,0.02261121893312732,0.023674242424242424,0.024273808560563152,0.023850897815939215,0.024523542600896862,0.015359567474579916,0.015145673844798148,0.028519279032626056,0.022883949769730256,0.020353570597813446,0.021696994243064194,0.02577061291107707,0.021629727898023043,0.017196165255148103,0.024592416855931838,0.022693425998156158,0.021429489835278655,0.01761726491962123,0.020659632553678153,0.028609718269563777,0.016770593526550897,0.01879404855129209,0.021173672980764533,0.034166897157639556,0.03171694389625035,0.01691188905800778,0.03897647769571064,0.021933322698995054,0.023689665383476458,0.015234032829340749,0.013739768779319685,0.01939906022330474,0.020368903474029646,0.016107506097841593,0.01918143237346249,0.017054036934171415,0.018405613712182217,0.019142877653083198,0.015969338869370808,0.0,0.0,0.011693718134618085,0.014190100040205284,0.016661112962345886,0.014200847317223259,0.0,0.01677249311129747,0.018969932656739068,0.015941335883947073,0.013743500469569599,0.0,0.012125621438098703,0.012249797878335009,0.012617341273846774,0.0,0.015555728396982188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06863417982155114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06826870562534135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03950115681959258,0.0,0.0,0.0,0.0,0.021331968087375742,0.0,0.023419203747072598,0.022067747986317998,0.021768312592968835,0.028061313971026694,0.02667111185197533,0.0,0.026526078450877018,0.020377666077978536,0.020926339285714284,0.048634493078937524,0.03553519958937103,0.02759381898454746,0.0,0.0,0.027050787854196255,0.0,0.024130442276534866,0.01697447039652363,0.02937049244525667,0.0,0.023006639058699794,0.018947767321417293,0.015356265356265357,0.014061928734145175,0.031421015422481734,0.017639350871887914,0.02240980055277508,0.012302241468395541,0.01663023852513542,0.0,0.01964379256155055,0.01674691228804689,0.014299137966254033,0.016133911465160834,0.011930089674507387,0.0,0.010015624374023476,0.0,0.01197365795250449,0.0,0.013475532283525198,0.0,0.009543441746831577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010736064588164562,0.0,0.01182396481188072,0.0,0.0,M
Arkansas,0.0,0.0,0.0,0.054039448797622264,0.04334398873056293,0.02596053997923157,0.03695036334523956,0.026371308016877634,0.0,0.03327012010513358,0.01920799052405801,0.028355387523629486,0.0,0.0348586639624794,0.0242196724289304,0.027238060650081716,0.018543701322784028,0.025046178892332738,0.02346316283435007,0.020227901018137685,0.02580811665268727,0.02412295816389827,0.016021532940271723,0.029445444135449042,0.02203752675985392,0.02478391523900988,0.026697814116469216,0.0,0.021644352370056585,0.024898848428260192,0.0,0.014195270135990687,0.021570900854746947,0.015919342000530644,0.02232828155963047,0.026559641149737356,0.0,0.018407731247123794,0.016838661566957736,0.0,0.01486951996233055,0.012620207476210909,0.01828010341315645,0.021252855852505182,0.023909462834068328,0.0,0.013728343538068696,0.02749745648527511,0.014255167498218105,0.025959791167902157,0.017455561050824776,0.02037786381764723,0.02892179546506247,0.020526655328133248,0.03268265145437799,0.030421849648458628,0.025454545454545455,0.0,0.0,0.04508735675371032,0.01829022935947617,0.029108903685914927,0.0,0.0,0.0232189156766379,0.0,0.024107035236449838,0.0,0.03204101249599487,0.022751403003185195,0.01836210062431142,0.0,0.0,0.019328900572135457,0.023297351867671044,0.023311834641386277,0.0,0.0,0.0,0.0,0.0,0.0,0.029617093293843873,0.021394035342946385,0.0,0.0,0.0,0.0,0.0,0.0,0.02166941145878478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02970708811122334,0.0,0.0,0.0,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.023691770071371458,0.01675977653631285,0.019881703862020976,0.02232087497829915,0.020650916900710393,0.019005264458254935,0.03107406595013526,0.03148040758843509,0.03330104141438605,0.030551142612733714,0.02313030069390902,0.012105255193911056,0.01816667928241617,0.021756021756021756,0.01779464974197758,0.027789785709874636,0.022115506129154555,0.017989435295272048,0.03597910083534086,0.021347971942665446,0.02766654532216964,0.03518648838845883,0.028581976681870694,0.0325377088804704,0.02325311010347634,0.02647178391460959,0.028234791367784867,0.019022126809649653,0.014483498686610006,0.019573425602040687,0.028091376477447392,0.026225577431017364,0.021835615788099588,0.0199832698206153,0.033607255484197684,0.033737024221453284,0.03636465355674285,0.02958434002268133,0.039315686591513695,0.030599534887069717,0.028885037550548814,0.03324793178306702,0.02642095181478913,0.029779341552863187,0.032254932969238814,0.026318070916364265,0.026231801687579243,0.02464237365324749,0.029272980084828003,0.020201340022221473,0.021642871334903918,0.019647628709829532,0.016085503386892103,0.019342426576494116,0.019303254122260718,0.011287191295318072,0.01548498567638825,0.02048673057388454,0.016430276069713663,0.020424669733090418,0.017705800420217663,0.021995024573751593,0.017388987960900677,0.01955355054069059,0.01541782300339192,0.018482493319675084,0.014067278287461772,0.016278985638317114,0.016763473274023968,0.014616184613654888,0.01381467339349163,0.008785240795463622,0.012145564591630693,0.014123178050187552,0.011215640884151402,0.010654672980882796,0.00832930364707815,0.009372859563320877,0.006711009037492171,0.010004822837675597,0.006875378476363243,0.0063161652638372085,0.006405971479500891,0.006218799997738618,0.005859129779724621,0.004565167769915544,0.005145253360850911,0.00564480621380268,0.002549654521812294,0.003418452808258982,0.005073137735689524,0.00284149030483508,0.0023722259782466876,0.006618780316377699,0.002627672013979215,0.0020084085370752217,0.0026955994339241188,0.003098704053104902,0.005793584797633491,0.008453651096685113,0.007217246331834552,0.009175153683824204,0.004882554226867882,0.0038359737619394685,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029448141822251014,0.0,0.03633060853769301,0.02954384306310565,0.030526894193784727,0.0,0.0,0.0,0.0,0.0,0.031551713258029905,0.0,0.04101722723543889,0.052410901467505246,0.06413545407901487,0.0,0.0,0.0,0.028712530148156654,0.0441257584114727,0.0,0.035317860746720484,0.028815675727595812,0.0,0.0,0.0234953205153307,0.024418320717200962,0.017260425296879316,0.0,0.033581838941500436,0.028510786580923115,0.03637576161750887,0.0,0.020193278523005915,0.04776756863075669,0.029728926245236615,0.02430921319179969,0.04069783216214016,0.045433893684688774,0.020953378732320588,0.03601471458338693,0.021107065590206323,0.0406030912486804,0.02845273999886189,0.02840640090900483,0.02354603249352484,0.02628207234140412,0.035351587607661654,0.030919547337826977,0.029358229111619984,0.03053341882690605,0.03522367030644593,0.02873746727121783,0.02853971777390201,0.03135680913110282,0.03393071963971745,0.023425375538051595,0.022937752673681797,0.01866467576791809,0.030339038758122012,0.026593172807272025,0.018353254261396224,0.02291108209040713,0.025478887267505152,0.0344883084634309,0.011495574203931486,0.01904399162064369,0.01935124936503713,0.0,0.017075669610186858,0.014730433074732397,0.024504999019800036,0.0,0.012732365673542143,0.0,0.012618296529968456,0.012632323589601072,0.0,0.0,0.011502450021854654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026528013582342955,0.0,0.02526273241713824,0.0,0.028563267637817767,0.02557953637090328,0.018155959693769482,0.017225935368290497,0.031419095828242274,0.03948333239325399,0.012730420613097057,0.01938306473943623,0.01718360683907552,0.0199033266988911,0.023816454523803224,0.022053958685584064,0.030911901081916538,0.02722446571986025,0.02846569883290635,0.0300648541854572,0.048227634434530986,0.03481252431757213,0.030477274112603366,0.03238538609452484,0.034611939082987216,0.018851720743176724,0.02476882430647292,0.026865054763380865,0.021670820240546104,0.03407696851288109,0.01906941266209001,0.01217878455730118,0.028942163909121604,0.023999232024575212,0.018923010380622836,0.018715493309211143,0.02008435428800964,0.044345898004434586,0.03483228255947612,0.03904308937318095,0.05220659891410274,0.024059116686715933,0.03944254535892716,0.02269117313365101,0.0,0.0,0.0,0.02062280882656218,0.0,0.03637890023786204,0.018691089690528958,0.018304003347017754,0.02835197690602608,0.0,0.0,0.0,0.0,0.01751211254450995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06770480704129993,0.0,0.0,0.05156765676567656,0.0,0.0,0.05135051864023827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08431703204047217,0.0,0.0,0.0,0.0,0.0,0.07453786523553965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04708731333243643,0.0305791694697572,0.0,0.0,0.0,0.02553626149131767,0.0,0.0,0.02383600826314953,0.027799013135033707,0.0,0.03725319756612443,0.023248244757520808,0.0,0.0,0.0,0.0,0.0,0.03487662394280234,0.0,0.0,0.031590586005370395,0.019114611208808013,0.028387920939640182,0.022907258328424634,0.02067763566005967,0.0,0.023253650823179237,0.023110166162094704,0.014959182801213831,0.011421827111610288,0.0,0.019003458629470563,0.016319425556220422,0.01830343771839329,0.035900477632441544,0.024496383181071498,0.029903493271714012,0.03231310102367904,0.023798191337458353,0.0269414696571698,0.03374223112339861,0.03164690493269758,0.026872829502232513,0.02380558085617289,0.026367970299118252,0.022476479969175112,0.028252271047941934,0.03016976293528586,0.015648698750511593,0.029768918768062914,0.018324863174354965,0.02088482021650597,0.022920009168003668,0.01866368047779022,0.021231923376347637,0.017007009317411535,0.01910721536220115,0.01517124543282299,0.01668913280698376,0.013440039098295558,0.017933359635594132,0.01676483408402535,0.022414899795209324,0.012598608338340473,0.017524280351592404,0.013384969571502507,0.008521226374899875,0.017087201685937234,0.014353609135274791,0.014597755018938665,0.008796041781198461,0.011841491192020229,0.010250592825951768,0.012770757802578275,0.01019657540731677,0.01395458150944505,0.00898096036402826,0.007602481449945263,0.009255831173639394,0.008482352850456119,0.004624776469137325,0.0,0.005329232362144178,0.005362834027948027,0.006177558474451935,0.004534667533292017,0.004466179853062683,0.0,0.0035432345479541366,0.0,0.004517630051275101,0.0,0.007534785593489945,0.0042520260904320905,0.0,0.0,0.0,0.004998333888703766,0.005059491183836612,0.0,0.004521899559566983,0.008452609038656599,M
Georgia,0.024310789128215105,0.02469745616201531,0.02087827962975851,0.016147263038914905,0.03917062725231107,0.022610622470436614,0.016803192606595255,0.025160925083345564,0.020914933262349316,0.02653223666755107,0.03780393504596615,0.01751436177665686,0.02617070277060507,0.015089499594469698,0.024459078080903102,0.027749514383498288,0.023854013437760904,0.017042549565414986,0.036854560266904604,0.0,0.015667841754798274,0.028208176341399528,0.011432273307547204,0.03063350079647102,0.028772010588099896,0.026902382782475018,0.029172095917851377,0.02847056143947159,0.02602569107504694,0.016368695778695232,0.019527089398565647,0.010236113006687593,0.017293694090273082,0.018116762534535077,0.022836959334987743,0.018976232269082974,0.01917703139553997,0.014728625082848515,0.016528715464520477,0.020116423802758465,0.021662673938528977,0.0259640706717276,0.034615705981355264,0.017757783828578195,0.02745649861001476,0.020570958378094216,0.01683577264972614,0.022633395575171165,0.02447039082709921,0.016498538700857924,0.028232969049607683,0.03201745544237451,0.020503913835317387,0.04589427408543582,0.03243399082238186,0.027003394712478142,0.025763759881757903,0.02257623005178423,0.03236792479383039,0.01641070525005812,0.024740871920412518,0.029789711716835247,0.017721855478268576,0.021736430257110917,0.017561224815607138,0.03405646561999796,0.020763401045091185,0.0196347928529354,0.03139717425431711,0.022150496803999747,0.016556291390728478,0.02120505286116749,0.013549727499924724,0.011974793060607423,0.01761959298740199,0.015567947012369441,0.019444174386466853,0.016124480993268027,0.01319713886029509,0.012688584080902413,0.013813542294554951,0.015632124014850517,0.00926305760298535,0.016163793103448277,0.0,0.00675949709341625,0.016273613691533653,0.007931891491724394,0.007834125450462213,0.007614406457016675,0.011153107379639383,0.007464822026201526,0.007501594088743858,0.009860960457548565,0.0,0.009791322440487119,0.014193960469820091,0.007157598387154496,0.0,0.006610696106299992,0.0070243463845689165,0.0,0.00882391870229569,0.007525360464766262,0.0118936116438458,0.0,0.009438414346389807,0.011339337782673492,0.00862559732261459,0.0,M
