state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.036683785766691124,0.03265626020508131,0.040950040950040956,0.049384748343553234,0.044033465433729636,0.02848110278829996,0.044345898004434586,0.04299110621490179,0.041502892995776475,0.039174719247845394,0.036371416345742404,0.04039545019666206,0.03737153534724385,0.03813882532418002,0.02846859304146247,0.029873337050904166,0.04151182098521388,0.04244973565391888,0.03830413483055461,0.03711416730241861,0.024560972614515533,0.023484201537147736,0.026187502518029086,0.03055967868680695,0.020073468896159945,0.022172949002217293,0.014486155374363643,0.0,0.017939007374925254,0.009970885015754,0.017323349950917177,0.02637975542198187,0.023674242424242424,0.017800792944412978,0.010221813349688235,0.024523542600896862,0.007679783737289958,0.013768794404361953,0.01996349532283824,0.017162962327297693,0.008722958827634334,0.01591112911158041,0.0,0.007209909299341015,0.007165068856311709,0.0,0.014183391248847599,0.01142906124548195,0.007340527049842179,0.0,0.009034647874599087,0.0,0.0,0.009772464452660553,0.0,0.008810262193402875,0.0,0.0,0.0,0.011844832691738229,0.0,0.0,0.0,0.011316057485572028,0.011505361498458282,0.014386074280096865,0.024362909905959167,0.02530771885425055,0.011964298533176999,0.022813341241958295,0.0,0.03905980745812559,0.0561298470461668,0.02838020008041057,0.05712381587090017,0.030768502520650397,0.026500915486171343,0.01677249311129747,0.037939865313478136,0.031882671767894145,0.025196417527544267,0.028302554305526077,0.04607736146477507,0.05144915108900703,0.06561017462400323,0.1287398939183274,0.246299032952218,0.3460927945041505,0.5354265218069345,0.5466060494573358,0.6060606060606061,0.5391655376448143,0.5569431286423793,0.46636151653856117,0.47380889707817847,0.5943882753999009,0.765971774080413,0.6899076368551476,0.6949049912055593,0.8041583855679559,0.8784533995166873,0.867722732317627,0.7691500891514876,0.8322213638598216,0.8749088636600354,0.8829323202476431,1.0287107064769345,0.9480795789630847,0.9625287174205814,1.1155571723050806,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08188666885031118,0.09357454772301933,0.0878348704435661,0.1928516328104911,0.1567776169802219,0.06863417982155114,0.07974481658692185,0.13330101793504603,0.06398771435884311,0.09370816599732262,0.06496881496881497,0.0,0.06682705159048383,0.13777900248002206,0.0,0.14240506329113925,0.18388498829822802,0.20537395173712134,0.3017394391196308,0.7111111111111111,0.6443298969072164,0.5960141553361892,0.6268996960486323,0.6385448916408669,0.6185155626496409,0.4844961240310077,0.5551301684532925,0.6915097963887822,0.8923485855325612,0.8476172537200979,0.7901329735979958,0.646931974122721,0.6346687822292741,0.8543446551364868,0.9244372990353698,0.9587923296613627,1.0035542546518923,0.8818342151675485,0.9106571498892444,0.7542262678803641,1.0456796917996698,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016906742408872657,0.036825014227846405,0.024130442276534866,0.0,0.019580328296837778,0.023366825783623195,0.029579964504042593,0.02526368976188972,0.052211302211302206,0.050622943442922626,0.04189468722997565,0.08819675435943958,0.08216926869350863,0.07627389710405236,0.06176945737907441,0.037755963221249945,0.03492229788720098,0.02512036843207034,0.030641009927687216,0.024200867197741255,0.0278368759071839,0.030413625304136254,0.040062497496093905,0.03869732581111632,0.05587707044502095,0.11447744991611565,0.1944326800908636,0.26851601437236794,0.4046419300656589,0.4534937528921795,0.46653796653796653,0.4194661340112584,0.412129394418489,0.368375325803649,0.407088122605364,0.4891249537768514,0.5416223256404962,0.5993247500121157,0.5522319374137138,0.6268595273292041,0.6824979424694382,0.7151272141041275,0.7450947926152828,0.8158728161244991,0.9971212816554716,0.9598041741819118,0.9575104727707959,0.9269988412514484,0.9598302408211606,1.091437015528997,M
Arkansas,0.0,0.06683747354350006,0.0,0.0,0.0,0.047594323295257875,0.028739171490741882,0.026371308016877634,0.03481772918770238,0.036597132115646934,0.025610654032077344,0.022054190296156267,0.025577082933691413,0.0348586639624794,0.0211922133753141,0.03329096301676654,0.018543701322784028,0.0407000407000407,0.0,0.023599217854493967,0.01935608748951545,0.020676821283341373,0.028838759292489108,0.01635858007524947,0.018889308651303362,0.015489947024381175,0.0,0.022551546391752577,0.021644352370056585,0.021786492374727667,0.0,0.0,0.0,0.015919342000530644,0.0,0.0,0.015132408575031526,0.016106764841233318,0.012027615404969811,0.014531715469011117,0.0,0.0,0.01305721672368318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02705418566901136,0.0,0.0,0.01836210062431142,0.03886966999650173,0.04607764082478977,0.03865780114427091,0.05824337966917761,0.019426528867821896,0.05570808961044128,0.023854961832061067,0.0441430233958024,0.031295231389117086,0.04711240233991598,0.04484304932735426,0.029617093293843873,0.021394035342946385,0.0661638216223369,0.12780960775672104,0.2506373968281405,0.3836595893098487,0.5468784179901124,0.5771621381637364,0.4420559937592095,0.5313448830148241,0.5257954341182816,0.5839547210493217,0.4479885314935938,0.7350620067643743,0.7177033492822966,0.6160625955571544,0.7237522323526647,0.8020864088180297,0.6988230348886086,0.8430540827147401,0.7149928500714993,0.9029725182277061,0.8982533961741059,0.9672830725462305,0.9209197314479235,0.8933626926706512,1.050420168067227,1.1108044708155098,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004578614816397546,0.0,0.0,0.0,0.0,0.0,0.0,0.0023236360256529416,0.0,0.002162629757785467,0.003196892620372997,0.0,0.0,0.003599945280831732,0.0020389438270975633,0.003911521386243179,0.0016513094884243206,0.004531638931957441,0.0031315468902173606,0.002786619273497393,0.004996533654776998,0.002807359023787689,0.0031818456613943486,0.003703579004073937,0.007450824557917743,0.008216281096837804,0.006434201354756841,0.014852220406950839,0.025737672163014286,0.03310909446626635,0.03585996682953068,0.03371774406951831,0.03491433664814153,0.035130431940915516,0.043674307703203574,0.04816151932528366,0.034407997454548145,0.046788853079509626,0.0501899344578503,0.06265251972771214,0.06972477064220184,0.05667498703710403,0.04323211528564076,0.046659358574359835,0.039509965905386066,0.0306152330751005,0.03896701973148181,0.033033874083489526,0.034992799558552376,0.040351740225471014,0.04234062687264726,0.04902726540813997,0.06860142571658663,0.12647122202497615,0.22106986177844887,0.27159510634499995,0.38407976827094475,0.3937631089477225,0.39032964580165447,0.36293083770828577,0.32958206250339445,0.368605845761315,0.3430701806571876,0.45579370776786426,0.5216876638200727,0.5555113545952581,0.5773404974557876,0.6492708310351457,0.7009315097289556,0.7498058538414161,0.8501246714738189,0.8814091528831719,0.9521927014463514,0.9816802336025587,0.9768542910138065,0.974095482766003,1.049342279257689,1.1448250582854902,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03664010259228726,0.016010759230202697,0.0,0.034881877279213575,0.06271361826220564,0.04626916314506925,0.04392257913384674,0.025804971757892023,0.047994880546075085,0.055621571056557025,0.10153756890049319,0.10553121200302829,0.07560657089834354,0.07875292428137957,0.05748051410571816,0.048281411656512244,0.03808798324128738,0.04595921724196318,0.04876264781177618,0.0463482460847929,0.0662869488362958,0.06861399725544011,0.0854421631945317,0.10440539852304559,0.20969721767594107,0.3810725552050473,0.3789697076880321,0.49013631154136894,0.5898722736246224,0.5406151510271688,0.4888252279289726,0.4543216507765991,0.48062951288757744,0.5319271953560443,0.6554870987168203,0.7096474953617811,0.7251908396946565,0.7210123602118893,0.7974891953076765,0.7686457710902276,0.790237909080755,0.7561329202080787,0.89077229092796,0.8340066951402516,0.7110854169677698,0.8254509135773457,0.8562232430236556,0.7926369919098621,0.9359540045460623,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168829289469876,0.0,0.021626297577854673,0.021834742194079666,0.03682131619468434,0.017056114617090227,0.04179873907137135,0.03194434585078441,0.034804399276068494,0.030933150025777626,0.029581909019195374,0.019449576971700865,0.041053495863070805,0.05270500697566268,0.042506679621083315,0.044191733199776095,0.03699277218143532,0.03637890023786204,0.048062802061360176,0.026148576210025365,0.04897159647404505,0.05119148173743889,0.03995737879595098,0.03870289995300362,0.04821737527299543,0.09047924814663476,0.16799664006719867,0.2589726403022363,0.2837519749782349,0.4392715146851353,0.5138275241368024,0.5193516374462455,0.4259346900141978,0.39745627980922094,0.4082472812103331,0.36769955733257176,0.5907328779767399,0.5602028842878232,0.6112798431432855,0.5683212036961321,0.5823232541086141,0.8388202399206278,0.7943838906336598,0.8322753561856397,0.9125475285171103,0.9787851824099658,1.0382618727167852,1.091852722287505,1.137522954499082,1.2515181918994562,1.213190691518694,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07367025195226168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08272276057669581,0.0,0.0,0.0,0.06837139340899767,0.10077742585660812,0.14738393515106854,0.19307886529036092,0.48867170146601513,0.5711775043936731,0.648228176318064,0.6537935228827733,0.3991720875221762,0.403574517151917,0.6212098801952374,0.4921700223713647,0.622816345131399,0.7348438456827924,0.7765451664025357,0.6696802276912774,0.8179603202227637,0.9737436967483917,0.7997091966557615,0.892687559354226,0.8005822416302766,1.1280315848843767,0.9567546880979716,1.181503361173355,1.2964183695891012,1.6129032258064515,M
Florida,0.10055304172951231,0.0,0.057616962433740496,0.0,0.0,0.0,0.07644197359277276,0.0,0.036695003363708636,0.04742989268986779,0.027777777777777776,0.03141854741582448,0.0,0.0555471393223249,0.02681204754669765,0.0,0.031273889776912915,0.025574513170874287,0.028974709218096775,0.023248244757520808,0.03665017408832692,0.023714665148928095,0.0,0.024588148512417016,0.0,0.0,0.0,0.02090738030524775,0.0,0.0,0.017742450587275114,0.0,0.0,0.015052306766011892,0.016277555576225466,0.011555083081047352,0.012822156686754713,0.00951818925967524,0.009655119144170238,0.019003458629470563,0.014506156049973708,0.011647642184432094,0.0,0.011527709732268942,0.009514747859181731,0.009047668286630131,0.00951927653498334,0.00673536741429245,0.0,0.009494071479809274,0.0,0.0,0.0,0.0,0.01086625809536228,0.0,0.0,0.0,0.008551602814698984,0.009282142318447097,0.013097148096002096,0.020859407592824362,0.0117955129868598,0.031584445875192844,0.02507822016288901,0.03919238403479272,0.020540471147056934,0.026880078196591117,0.029888932725990223,0.034647323773652386,0.024452617958410174,0.03682670129668753,0.06179614650298374,0.04461656523834169,0.04345825451198936,0.02766499320580314,0.017543300054224747,0.026122298454942877,0.029320139270661537,0.0383107067977125,0.032801897043045654,0.035474327229384095,0.029861399407141973,0.0411292928699433,0.053885762184169565,0.10415399586425009,0.1966864124398371,0.3076780715756356,0.4755811802429549,0.4986214127606695,0.4598366209621548,0.4558408923755823,0.42161836588134455,0.39753918708526687,0.4108885464817668,0.4921524582179283,0.6179401051632014,0.5935183798089613,0.5857860299820048,0.7785265157919313,0.690688679403245,0.8384995450332083,0.8537813390252089,0.9005171370881859,1.0329065333232315,1.0379873375541486,1.0911635986474293,1.1220685089033697,1.1775026453112423,1.2660129982343438,M
Georgia,0.02917294695385812,0.0,0.04175655925951702,0.03229452607782981,0.02611375150154071,0.015827435729305627,0.03990758244066373,0.031451156354181956,0.024717648400958282,0.024763420889714335,0.022338688890798177,0.03327728737564803,0.033149556842766416,0.018861874493087124,0.03574788334901223,0.029599482009064843,0.023854013437760904,0.026510632657312197,0.021336850680839507,0.03025230421717121,0.02937720329024677,0.018133827648042555,0.02095916773050321,0.02859126741003962,0.013426938274446618,0.013451191391237509,0.023337676734281103,0.0,0.020448757273251166,0.01091246385246349,0.021302279343889795,0.020472226013375186,0.023582310123099658,0.012077841689690052,0.016747103512324345,0.011069468823631735,0.0,0.009819083388565677,0.010171517208935677,0.0,0.010194199500484225,0.006181921588506571,0.005968225169199184,0.008286965786669823,0.0,0.0,0.0,0.00679001867255135,0.0,0.0,0.0,0.008300821781356355,0.0,0.0,0.0072075535160848565,0.0,0.006779936810988921,0.0,0.008443806467955756,0.009572911395867238,0.010417209229647378,0.009478544637174851,0.0,0.015526021612222085,0.007982374916185064,0.011919762966999285,0.013842267363394124,0.0196347928529354,0.018177311410394116,0.025314853490285425,0.01806140878988561,0.04241010572233498,0.04667128361085182,0.04640232310985376,0.032302587143570316,0.0367969656656005,0.029166261579700283,0.033592668735975065,0.03563227492279674,0.04060346905888772,0.035161744022503515,0.028658894027225948,0.029112466752239677,0.05118534482758621,0.07175835037030016,0.12031904826280924,0.259021684590244,0.3384273703135741,0.5209693424557371,0.630726668189548,0.5179998760765847,0.4727720616594299,0.423840066014028,0.40306675870229763,0.4592450698691029,0.5372988189217306,0.6032433199673539,0.6143605282307609,0.6326739853459702,0.7681628875520592,0.7403661089335638,0.7049258314232582,0.7765048458020207,0.8639113813551669,0.8994543805658386,0.9363380451308917,1.006764196948246,1.0108209680554656,1.095450859972053,1.0765593092824133,M
