state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008598082627574052,0.0,0.0,0.012857693901167193,0.01027673786977905,0.014756880395484393,0.025598168978030748,0.010672195880532389,0.01096319498825372,0.016287440754434255,0.016269951027447407,0.014096419509444602,0.0,0.0,0.0,0.0,0.013329778725673154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011386668488533626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14774166314900802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06078288353999514,0.0,0.0,0.0,0.07202535292422932,0.06734006734006734,0.0,0.0,0.06709908297919928,0.0,0.09638038123795245,0.06172204505709289,0.0,0.03881987577639751,0.039004602543100085,0.07333170373991689,0.09094088842252536,0.06563637448535116,0.08725495899016927,0.06771626883358726,0.06590147729144928,0.061916309787936635,0.0936855911560802,0.08478357875948236,0.04693032979222663,0.05801425493121167,0.0546448087431694,0.07355915995439333,0.05442078148242209,0.08418394191308007,0.09001500250041673,0.1199360341151386,0.13926191186710435,0.13924738486618668,0.12555803571428573,0.14964459408903852,0.11450230978797332,0.20892462945443077,0.17294237874380944,0.15232009510718134,0.21978765131534456,0.2008637139700713,0.17925471405425902,0.14598044541010322,0.13053552197891852,0.0834529492272257,0.10188654440281338,0.09789679782732268,0.10135135135135136,0.10405827263267431,0.05236835903746956,0.11591573430097774,0.05975946814073355,0.091036586866127,0.09502993442934524,0.09994225558566162,0.07420988301030208,0.04605400879212895,0.08170935980716591,0.07663607945951396,0.06760384148887519,0.08110300081103002,0.0821281198669925,0.08146805433919224,0.07583316703252843,0.08487121286884437,0.0789281176606476,0.06374840628984275,0.04008245533669263,0.07774178621008793,0.07686257686257686,0.0726348284002179,0.06928037233759082,0.06255430060816682,0.06841817186644773,0.052106094732241905,0.05718006956908464,0.0549246401628354,0.049428167237647216,0.054265451619543055,0.04014693779231989,0.0392699915259492,0.04139415514529348,0.02097359424484574,0.03337644457424173,0.0515331100231899,0.04654564798191369,0.04493106628514674,0.027141729174891435,0.031109843673035542,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014531715469011117,0.0,0.0,0.01305721672368318,0.0,0.0,0.0,0.0,0.013748728242637554,0.0,0.0,0.020364821225962237,0.0174667404151262,0.014460897732531236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
California,0.0,0.0,0.0,0.0,0.0,0.015415446277169726,0.01480735629460716,0.013966480446927373,0.014911277896515732,0.019840777758488134,0.02271600859078143,0.024706843795731417,0.023762521020691672,0.02650981691657692,0.0,0.0106928999144568,0.015420200462606013,0.013618412093149937,0.016652789342214824,0.023310023310023312,0.007414437392490658,0.016982646822701168,0.02053582711992923,0.011447822460627668,0.00782154365985671,0.0,0.0,0.00781921964187974,0.01548190403601329,0.018592976503125944,0.010569595501580155,0.019853837935957193,0.021366869143188548,0.01834276513787645,0.018433543782958188,0.033464243771230855,0.026501298563629618,0.029035460727197798,0.027531863384995137,0.031601449948880006,0.04005248256335888,0.03806228373702422,0.03996115775466247,0.04475579644456919,0.050338776290068936,0.056519140909058185,0.06898426615013423,0.049871897674600534,0.061758974867069584,0.07153515742589961,0.08016760038956443,0.08545632438725338,0.08993760578598597,0.09108320388288946,0.08145524893169533,0.08989596309888556,0.08515228066191706,0.09109355129102782,0.10294722167610945,0.09912993620453234,0.09922549926004193,0.08578265384441736,0.09779990953508369,0.09816558399986341,0.10063544092699618,0.11151869674267369,0.10348056690038324,0.1008737333899642,0.10988360477420214,0.10195779924788664,0.09545928710610743,0.08959310321062838,0.08348623853211008,0.1151587502562433,0.10675685611352106,0.08601062484189224,0.09670271375444142,0.09504033224183372,0.0827416587804841,0.07755779132645367,0.0847902450841846,0.0854640790168684,0.07820290646423374,0.07113760078828152,0.08053210844990605,0.06413347972868973,0.06214284392097545,0.06261242087629927,0.06378119429590018,0.059361272705686814,0.05998632869718064,0.05078749144031043,0.04802236470127516,0.04656965126387211,0.04249424203020491,0.047573468248270835,0.04114878385614836,0.036371075901889025,0.04092089812475536,0.034984981672282124,0.03186052316949799,0.040502905497683636,0.029988543702405824,0.029954139180014046,0.029990321305396896,0.022895305053522177,0.022012601312095384,0.027143162981313272,0.025226530172150725,0.02258962326475465,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01957943376277558,0.0,0.0,0.0,0.0,0.0,0.015156567340628695,0.0,0.0,0.03652814071763747,0.01891840761060512,0.01350511843988872,0.01899232167566541,0.02672581981452281,0.04714510214772132,0.025724796130990664,0.052767663975515806,0.04601683674850445,0.02845273999886189,0.04418773474734085,0.026909751421171246,0.0689904398961858,0.0674893945237177,0.06493104940943666,0.05284481240091598,0.05190681200574029,0.05763873322872971,0.04789577878536305,0.05390835579514825,0.05017089460976451,0.0,0.017569031653538694,0.02007053358947157,0.01599829351535836,0.025282532298435013,0.04351610095735422,0.013764940696047166,0.020619973881366417,0.0,0.0,0.011495574203931486,0.0,0.0,0.014628794343532855,0.012196906864419184,0.012275360895610331,0.0,0.0,0.015278838808250572,0.02301554828150573,0.017665615141955835,0.02273818246128193,0.019507912897168914,0.019028137858858787,0.0299063700568221,0.022736057112975466,0.017904301508437404,0.020119374958084635,0.023127269363306276,0.013897252976328347,0.0,0.011927480916030533,0.0,0.015435274747890512,0.0,0.019546520719311962,0.01989823474231786,0.014413791115339155,0.014429181576820964,0.02601532013296719,0.0,0.0,0.0,0.0,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019674969503797272,0.026839461677082933,0.0,0.020194676683226304,0.0,0.0,0.0,0.020580366330520683,0.0215526531316005,0.026308866087871613,0.043929010718678614,0.03996802557953637,0.06922650913789921,0.05475951446563841,0.0,0.05159692482328053,0.033037828313418866,0.038224212308196365,0.054153579551608357,0.027165054873410845,0.026528013582342955,0.0303060915243964,0.04547291835084882,0.02357934449422306,0.0326437344432203,0.01598721023181455,0.021181952976064393,0.020671122441948596,0.0,0.0,0.030553009471432937,0.016614055490945343,0.025775410258613286,0.014216661927779357,0.018523909074069173,0.022053958685584064,0.014267031268576865,0.020418349289895187,0.024086360550920758,0.03650732293948374,0.022104332449160033,0.03481252431757213,0.04876363858016539,0.038457645987248254,0.034611939082987216,0.02932489893383046,0.0350891677675033,0.04339739615623063,0.030339148336764547,0.011358989504293699,0.0,0.017050298380221655,0.012059234962134001,0.011999616012287606,0.0,0.018715493309211143,0.03682131619468434,0.044345898004434586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014227989300552045,0.013991884706870015,0.0,0.02091886096802029,0.012887262230011857,0.0,0.0,0.0,0.0,0.01459342712042496,0.014999700005999879,0.0,0.0,0.0,0.0,0.016539861065167055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
Florida,0.0,0.0,0.0,0.0,0.0,0.03546350805021633,0.0,0.0,0.0,0.0,0.0,0.026182122846520398,0.0,0.040397919507145386,0.022343372955581375,0.0,0.0,0.0,0.020696220870069126,0.0,0.022906358805204325,0.0,0.0,0.0,0.0,0.0,0.02605523710265763,0.0,0.0,0.0,0.0,0.016362327377446167,0.02067763566005967,0.0,0.011626825411589619,0.0,0.01923323503013207,0.0,0.009655119144170238,0.0,0.014506156049973708,0.0,0.012487122654762275,0.007204818582668087,0.010873997553350551,0.01551028849136594,0.023798191337458353,0.029186592128600614,0.020680722301437856,0.03586649225705726,0.04444352571523069,0.04761116171234578,0.04113403366662448,0.038531108518585905,0.039118529143304215,0.03016976293528586,0.04814984230926644,0.049614864613438184,0.03664972634870993,0.03828883706359428,0.049114305360007854,0.035131633840546295,0.04954115454481116,0.038873164154083505,0.032243425923714444,0.048042277203939464,0.03851338340073175,0.03909829555867799,0.03228004734406944,0.043588568618465905,0.03973550418241653,0.03585757757835365,0.03781555233764677,0.03390858958113968,0.03919764132453943,0.04068381353794579,0.02950464100028707,0.021512481080541192,0.027854132307128462,0.032041682048995906,0.023234677072157338,0.02979843487268264,0.03204637985156699,0.024236904726930873,0.028439707819422826,0.028889429509791995,0.03162408984326792,0.026989304524178564,0.019269901954738853,0.03184342355636675,0.02893011853735411,0.020685216964942386,0.019304870232662297,0.022673337666460087,0.01786471941225073,0.018174019875108135,0.021968054197315644,0.020687539680841197,0.01731758186322122,0.015296798138621196,0.01506957118697989,0.010204862617037017,0.008606666724044445,0.00937151230649957,0.013469033849365692,0.010829723425524825,0.014335225020870401,0.01306756803847092,0.010852558942960758,0.01033096660280251,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006181921588506571,0.0,0.0,0.00686412465250369,0.0,0.00561192421657538,0.010185028008827025,0.0,0.009427736400490242,0.00941098968320256,0.013044148513559985,0.010855013206932735,0.012077440548798899,0.00961007135477981,0.014144635325583787,0.01491586098417563,0.007055071891182571,0.011258408623941006,0.0,0.007812906922235532,0.00812446683186416,0.010337749028990002,0.007763010806111042,0.0,0.0,0.0,0.008181163688723084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009428879310344827,0.01083144911249814,0.0,0.0,0.009253873407011792,0.006528437875385177,0.010152541942688902,0.013631575686225911,0.012441370043669207,0.016253453858945027,0.008628340400354994,0.017190991920233798,0.009791322440487119,0.01064547035236507,0.014315196774308992,0.012503438445572534,0.01057711377007999,0.0070243463845689165,0.007207830587149879,0.0,0.0,0.0,0.00752683316021617,0.007865345288658171,0.0,0.0,0.0,M
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045854732208363905,0.0,0.05582953382339258,0.05686664771111743,0.074703520403399,0.0599982857632639,0.06705221691392171,0.041788549937317176,0.06647831145088914,0.09532888465204957,0.07234145165179648,0.07425742574257425,0.1220802474159681,0.088261253309797,0.1023058156921382,0.06926806742091896,0.12903225806451613,0.057865586509051825,0.0618319936401378,0.0876424189307625,0.0,0.07223942208462332,0.0,0.06413780465457211,0.0,0.051493305870236865,0.05241639584862145,0.0,0.0,0.0,0.0708430320817731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M
