state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010072116353088112,0.0,0.0,0.0,0.0,0.0,0.009966115208291808,0.0,0.013473716628491136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013329778725673154,0.011776944667988301,0.0,0.015842480479800837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011693718134618085,0.011825083366837736,0.023801589946208405,0.0,0.012045870675532427,0.021564634000239606,0.021341174238831452,0.02960533807018742,0.016034083881164535,0.025944008113398902,0.019400994300957923,0.0,0.025234682547693548,0.01287398939183274,0.023333592595473282,0.020817611699497775,0.020793262982793572,0.018395395895198802,0.015810276679841896,0.019354660325711284,0.0,0.020151423554135357,0.03802170161738469,0.046618688266658895,0.0757554501837771,0.047871142149132684,0.04325134800034601,0.051979819599449625,0.06857814643067076,0.08744492651262906,0.08041114568401916,0.09129854624622516,0.11109953824254418,0.20050654284508232,0.17563353525215958,0.13810608040013436,0.22973936465182604,0.22634493351117577,M
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12886597938144329,0.0,0.0,0.0,0.09976057462090981,0.11627906976744186,0.11485451761102604,0.0,0.15188912094171253,0.1130156338293464,0.09635767970707265,0.1960399921584003,0.15866719555731854,0.16670139612419255,0.1607717041800643,0.1631986944104447,0.12544428183148654,0.30864197530864196,0.34457297563376815,0.20806241872561768,0.4402861860209136,M
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11400651465798045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02486325211337643,0.0,0.0,0.0,0.0,0.0,0.0,0.01657879903179814,0.016981388398315447,0.0244140625,0.0,0.0,0.0,0.0,0.0,0.04395753026306891,0.053563657058685675,0.08618015098762453,0.03734383487235198,0.06200437293998629,0.04673365156724639,0.0394399526720568,0.05368534074401566,0.027641277641277644,0.05343532918975167,0.05498677698934304,0.03779860901118839,0.01991982271357785,0.024604482936791083,0.05464221229687352,0.037755963221249945,0.056748734066701584,0.031400460540087924,0.0428974138987621,0.05243521226177271,0.05169705525619868,0.04257907542579076,0.06610312086855495,0.07739465162223264,0.04589902215126721,0.04539623013914931,0.0808531937011512,0.09079318471583665,0.059169338830355786,0.0851457658491439,0.09473759473759474,0.09442527692028327,0.10125592880109427,0.10425716768027803,0.09578544061302681,0.13110565771338287,0.12547848599882463,0.11792643329079366,0.16362427775221147,0.13285679534439848,0.15657305739004757,0.23355310749643468,0.1924828214256147,0.2181253801463957,0.2544953898785932,0.23189899510435455,0.24159407762040916,0.20810178068910068,0.33557046979865773,0.35776320223990876,M
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028536485935589072,0.025386079966151893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026003293750541737,0.0,0.0,0.035935675141496724,0.02239942657467969,0.03156708004509583,0.0354421407052986,0.0314776508678838,0.042297208384246644,0.03936620411376833,0.09457755359394704,0.0689289501590668,0.07149928500714993,0.11217049915872125,0.08317161075686166,0.18776671408250356,0.2020081991563187,0.15728216420257943,0.3216911764705882,0.26907685939009246,M
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012795203626526284,0.008284317786430287,0.016650520707193025,0.012220457045093485,0.007710100231303006,0.015131568992388822,0.015138899402013472,0.023310023310023312,0.011863099827985052,0.013894892854937318,0.012637432073802603,0.0,0.01564308731971342,0.0,0.0,0.0,0.0,0.0,0.0,0.004727104270465998,0.004578614816397546,0.0074729783895052205,0.0,0.0031570041293614015,0.004770233741453331,0.005151452709664125,0.002373436498706477,0.004647272051305883,0.003682986902377828,0.004757785467128028,0.00679339681829262,0.0034135776949247684,0.006981290142418319,0.003599945280831732,0.006456655452475618,0.0055413219638445034,0.004623666567588097,0.007768523883355614,0.0028183922011956247,0.007121360365604449,0.010929917369824684,0.006862433169258795,0.009227352418043611,0.011110737012221811,0.01206323976043825,0.008930740322649787,0.013225858340333506,0.02210563037313613,0.03081747587939869,0.03386157388595422,0.03341496909115359,0.03201051652169459,0.03203903833594164,0.033496458362268285,0.029116205135469045,0.029958740367696135,0.023678621904205176,0.02164857381290744,0.01837017208914782,0.022554907101976374,0.0253822629969419,0.027131642730528524,0.0255863539445629,0.021924276920482336,0.025695292511894435,0.023427308787902987,0.02960481369209982,0.029443235596153708,0.03790886618843174,0.0321907141124544,0.03748186641185167,0.04758528701378291,0.040266054224953024,0.04489343581008281,0.04574771063118619,0.046135468014115256,0.056818181818181816,0.05088109089058869,0.05329018037749536,0.06277105683633874,0.07089015741616811,0.06491527145873083,0.08017246996365326,0.10226871318041456,0.10653589244948002,0.10769248255324954,0.1088258667520668,0.10400940497164955,0.13433973171468738,0.15297378357389604,0.16611631511557384,0.1855779427359491,0.19664108401379554,0.24198576264261135,0.2655946650115115,0.257286601217237,0.2978358078389408,0.30815655887580395,M
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012862398065495332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014679114555809992,0.03053341882690605,0.0,0.02554441535219363,0.015855398763278898,0.021949766391771975,0.015423054381689751,0.014640859711282246,0.017203314505261347,0.01866467576791809,0.015169519379061006,0.0,0.0,0.013746649254244278,0.023162624788641048,0.027590646770744718,0.022991148407862972,0.028565987430965528,0.014513437023777848,0.04388638303059856,0.034151339220373715,0.024550721791220663,0.034306998627720055,0.027643052798230847,0.03819709702062643,0.02301554828150573,0.04037854889589905,0.04547636492256386,0.05364676046721451,0.05708441357657636,0.05061078009616049,0.06366095991633132,0.06937916834519493,0.05365166655489236,0.09713453132588634,0.11812665029879094,0.10435992578849722,0.12881679389312978,0.09564449676280164,0.12862728956575425,0.11950676299636047,0.17033396626828995,0.15634327297535464,0.19891031739168036,0.20200854207549349,0.21679433444139326,0.21737853240115151,0.22186806662291805,0.26202875765615274,0.19721887952934883,M
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012252199269768924,0.011889192723814054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010179982083231533,0.018851720743176724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016434393899552983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015464714676014228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01984783327820046,0.016902170238658643,0.0,0.02401454595354901,0.021419391689276025,0.029536643898836992,0.03406639161209735,0.04997885509976549,0.028620492272467084,0.04744856144588708,0.036078289889059256,0.07851468686495473,0.06112756853340857,0.06653992395437262,0.06088137498243807,0.1393962699480869,0.11750881316098707,0.11732299530708018,0.2165073665311295,0.2591816477335392,M
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342281879194631,0.07595321282090232,0.07654623392529088,0.0,0.0,0.0,0.0869414014953921,0.21810250817884408,0.24691358024691357,0.1819505094614265,0.0,0.28702640642939153,0.24444897127724588,0.24170511975390024,0.46750818139317435,M
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007492159989725037,0.0,0.0,0.0,0.0,0.0,0.00812187452864121,0.007640003056001223,0.00658718134510243,0.010615961688173818,0.0,0.009553607681100576,0.012642704527352493,0.012837794466910584,0.00855275215346081,0.007173343854237652,0.0,0.007132013571202967,0.017444226930009885,0.008300974903385876,0.004461656523834169,0.008521226374899875,0.00813676270758916,0.009569072756849862,0.014597755018938665,0.011728055708264615,0.01671739932991091,0.01708432137658628,0.01489921743634132,0.022578131259058564,0.018361291459796116,0.0172135073643875,0.015204962899890526,0.021596939405158583,0.022362566605747952,0.025436270580255285,0.02796007922022446,0.022078248357454453,0.026048050992890415,0.02548242870711423,0.028719561044182773,0.039451255368720364,0.06760735393540226,0.06661280950153776,0.05778243841890127,0.06475269740160979,0.05796681399898558,0.06865026874068617,0.10204862617037018,0.09897666732651111,0.11331010334222208,0.14900118695860798,0.17077640786404533,0.20322289588410392,0.21256577342579366,0.22519059806643577,0.28457117096810547,M
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009506787846522416,0.0,0.0,0.0,0.0,0.011317124695852275,0.0,0.014799741004532421,0.0,0.0,0.0,0.0,0.0,0.0,0.009526894422956005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012186700247796238,0.0,0.0,0.0,0.010216939685999387,0.017302834204242654,0.0,0.008262414277451871,0.0,0.0,0.0,0.01204420222215531,0.017962189590911132,0.01761959298740199,0.008491607461292423,0.0,0.008062240496634013,0.007918283316177053,0.013957442488992652,0.00753465943339361,0.014329447013612974,0.01587952731940346,0.016163793103448277,0.008123586834373604,0.016222793024199,0.01491747921723918,0.018507746814023583,0.02350237635138664,0.01649788065686946,0.024784683065865294,0.02861515110043918,0.03125664203643274,0.01972192091509713,0.03929369581767725,0.039165289761948475,0.029570750978791856,0.04891025564555573,0.057515816849633646,0.050241290407879946,0.061814248184206465,0.07063673975406883,0.0647087371501684,0.0978296860419614,0.10704250479461219,0.13849373014797753,0.1557338367154318,0.1571308235599041,0.18458778270395224,0.22928384623652062,M
