state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.048911714355588165,0.052250016328130096,0.050050050050050046,0.06584633112473764,0.033871896487484336,0.04841787474010994,0.028694404591104734,0.034930273799607704,0.03662019970215571,0.030469226081657527,0.03423192126658108,0.03614329754438184,0.035295338939063635,0.027544707178574455,0.018301238383797304,0.023898669640723333,0.017790780422234524,0.0,0.014112049674414854,0.018557083651209304,0.010233738589381473,0.01067463706233988,0.016115386164940976,0.0,0.0,0.014110058455956462,0.0,0.012086539623705733,0.017939007374925254,0.0,0.0,0.0,0.011837121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026125008164065048,0.0,0.038457504457574385,0.028091860383453897,0.04166232684095406,0.07387083157450401,0.06810279938349045,0.04105856444328319,0.04357125881327735,0.04446061193969524,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08574858514834506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10048231511254019,0.10199918400652795,0.0,0.11022927689594356,0.12306177701206006,0.0,0.1651073197578426,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07681671531725304,0.0,0.12098167991704113,0.1802687643395608,0.0,0.10274475267870248,0.07346459006758742,0.11349127535820683,0.0819224467504096,0.0,0.07293946024799416,0.08234971177600879,0.12596221133659902,0.0,0.08643042350907519,0.06734006734006734,0.0,0.11682242990654204,0.19011406844106463,0.20336685120325385,0.10708931248661384,0.08229606007612386,0.13309671694764863,0.10869565217391304,0.0468055230517201,0.07333170373991689,0.08394543546694648,0.07160331762038308,0.08725495899016927,0.07900231363918515,0.08786863638859904,0.03611784737629637,0.06557991380925614,0.07585899152164212,0.05119672340970178,0.037294878170064646,0.0702576112412178,0.05516936996579499,0.07618909407539093,0.024553649724648356,0.050008334722453744,0.053304904051172705,0.0,0.04075533215595707,0.034877232142857144,0.022446689113355782,0.05132862162909148,0.0,0.02751356025469696,0.0,0.0,0.0,0.0,0.02376425855513308,0.0,0.0,0.0,0.015789806101181077,0.0214987714987715,0.0,0.0,0.0,0.0,0.014762689762074649,0.014254490164401787,0.0,0.0,0.0,0.014299137966254033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01243493862469579,0.0,0.0,0.0,0.0,0.0,0.0,0.013098557287475908,0.02609550956500793,0.02066841659260484,0.035185031873499466,0.050336626187629775,0.0521506946472527,0.053680322940822804,0.06649378283130528,0.06621420294653203,0.08636004737465457,0.08814455707360071,F
Arkansas,0.054271138608488007,0.0,0.0,0.054039448797622264,0.04334398873056293,0.034614053305642094,0.03695036334523956,0.03013863773357444,0.024372410431391666,0.026616096084106863,0.05442263981816436,0.022054190296156267,0.015985676833557134,0.0348586639624794,0.0,0.030264511833424126,0.033996785758437384,0.050092357784665476,0.016759402024535765,0.030341851527206528,0.032260145815859086,0.02412295816389827,0.016021532940271723,0.019630296090299364,0.018889308651303362,0.0,0.0,0.035438144329896906,0.03401255372437463,0.031123560535325244,0.014662326617987742,0.014195270135990687,0.021570900854746947,0.0,0.0,0.02065749867201794,0.0,0.01150483202945237,0.012027615404969811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03711558854718982,0.03849961500384996,0.056085249579360626,0.03881341835320211,0.06827880512091038,0.05347275860020201,0.11324315822585718,0.10504201680672269,0.05519525320822409,F
California,0.102880658436214,0.1272129757235238,0.0539568345323741,0.08312958435207825,0.10962241169305724,0.10790812394018806,0.08588266650872153,0.0782122905027933,0.06958596351707341,0.08184320825376355,0.0784734842226995,0.06841895204971776,0.12064049133581926,0.06461767873415625,0.09082102203923469,0.07790541366247097,0.07401696222050887,0.0756578449619441,0.08175005677087276,0.07925407925407925,0.08749036123138976,0.07410609522633237,0.07740427145204094,0.07849935401573258,0.07977974533053844,0.05489478499542544,0.058245358572988716,0.09643704224985013,0.2739106098679275,0.1789573988425872,0.1236642673684878,0.09643292711750637,0.0923353987973505,0.08899637900228945,0.06649242578852775,0.05808887598024978,0.060422960725075525,0.051982840979337995,0.05411435217050768,0.06134399107723766,0.05294293672168128,0.03676470588235294,0.04115999248730234,0.03906650028636124,0.03600875968194712,0.03095952941515289,0.03194345329119516,0.02770660981922252,0.02609068991710426,0.027837210582024284,0.029123386079021457,0.027246944007530065,0.027793218454697052,0.026513946335772618,0.02290928876203931,0.0191912730211104,0.014192046776986177,0.0167897918065816,0.012153491447874032,0.017615424203592855,0.014900757568060903,0.01693078694297711,0.016707484545576794,0.014511434156501548,0.013554977757513771,0.016339735786472333,0.012984253641492954,0.014789757903039862,0.010359397083089764,0.016760186177734792,0.011481357555717388,0.017542705523759403,0.013455657492354741,0.010551194395205537,0.012352032938754504,0.012367540826938752,0.009117684439704477,0.00851902137741927,0.01088040161333583,0.01005378776454029,0.006729384530490841,0.010427977811076778,0.007403825464069466,0.006008243309821074,0.007208120818047146,0.005387212297209937,0.006875378476363243,0.007140012906946409,0.0036207664884135475,0.006218799997738618,0.006417142139698393,0.009130335539831088,0.006574490405531719,0.008184969010013886,0.006515783777964752,0.006836905616517964,0.0062005016769538625,0.006819576731604191,0.008006262676582571,0.01481346070808342,0.023320589124065535,0.025774576225798675,0.032684143136329946,0.03925025133932875,0.04805267390978366,0.04402943279523496,0.05124244895602532,0.051992537541670485,0.07079703628958428,0.062228018804795816,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.09009009009009009,0.04906771344455348,0.05341472720335749,0.0,0.0,0.06240639041437844,0.04122739855115142,0.07723842908918069,0.07871631849833484,0.06499645473883243,0.07936992490384027,0.09075586671852716,0.09532888465204957,0.055810492372566044,0.0829981485028411,0.10703941569071905,0.1072758250773017,0.07892659826361484,0.10254306808859721,0.10482180293501049,0.057721908671113396,0.06412722842118763,0.10749477455957002,0.3740791896869245,0.22970024118525323,0.13789299503585217,0.1209256307370967,0.14631685166498487,0.0912496398040534,0.09152656679030782,0.07722753161502076,0.0704859615459921,0.08720828827571774,0.06904170118751726,0.0832552815069206,0.06380549398885083,0.07602876421579498,0.07275152323501774,0.09241593131409492,0.025962786672436174,0.05338728258731631,0.043242074538525986,0.0432163790076439,0.04341102097294951,0.04276131170323649,0.044525929806181246,0.03601471458338693,0.03693736478286106,0.04872370949841648,0.03983383599840665,0.025250134141337626,0.0,0.019711554256053088,0.016068903458028024,0.0,0.0,0.0,0.0,0.015965259595121014,0.015855398763278898,0.01567840456555141,0.0,0.0,0.014336095421051123,0.01866467576791809,0.02022602583874801,0.019340489314379653,0.013764940696047166,0.011455541045203564,0.020846362309776944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012632323589601072,0.0,0.0,0.011502450021854654,0.0,0.0,0.0,0.0,0.0,0.020871985157699443,0.0,0.0,0.02315291212183577,0.013580313976859146,0.0,0.059694704226953575,0.04324137334601747,0.057716726307283854,0.06359300476947535,0.09106397978967158,0.07499765632323989,0.11136222200386493,0.09359540045460624,F
Connecticut,0.0,0.08998200359928014,0.0,0.05681357032708384,0.05825129609133803,0.06797766448167031,0.06061918164104785,0.039349939007594543,0.06901575859821325,0.09124844462878473,0.06462296538632417,0.05943183168905265,0.03831254523008812,0.04692432386315161,0.07408931878987446,0.0689684900211216,0.10962027536613173,0.06150061500615006,0.06217248423483436,0.09691711279305888,0.068449393082048,0.05408860697251316,0.08771477219957691,0.0495567424701283,0.049145415824823895,0.0758150113722517,0.09236118656959688,0.09550084889643463,0.3081119304980301,0.1061034761519806,0.14619193586418297,0.10201167013506345,0.08633093525179857,0.0665718522104881,0.08268448976779438,0.07331122359923198,0.07332618873032884,0.045829514207149404,0.06645622196378137,0.045822951570868055,0.03411998862667046,0.03440154542327132,0.03920703766326055,0.026156223992390915,0.018149643813240166,0.019707022268935163,0.017179916677404115,0.0,0.01433456883664735,0.012190909645041348,0.01619269304726242,0.012215978499877841,0.012567813828784483,0.014448480845442537,0.012399256044637322,0.010835410120273052,0.0,0.0,0.0,0.012059234962134001,0.0,0.01351643598615917,0.015596244424342619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025595740868719446,0.0,0.0,0.014181580962645716,0.01459342712042496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01728070781779222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032914844594912306,0.03802281368821293,0.0561981922914813,0.052874447221688145,0.07344300822561692,0.05611099775556009,0.058087342240059146,0.08271754714900188,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16857720836142953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17946877243359655,0.0,0.0,0.0,0.3774771940861906,0.18808777429467086,0.20479812755997662,0.0,0.0,0.1437962202136401,0.0,0.0,0.14311270125223613,0.0,0.13511231210944097,0.0,0.0,0.0,0.08265601322496212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10986596352450011,0.11687704534829359,F
Florida,0.11731188201776438,0.08946144211844695,0.1267573173542291,0.05389092476826903,0.16437905810799705,0.106390524150649,0.08339124391938846,0.08072110856989102,0.08562167451532017,0.06521610244856821,0.1,0.07330994397025711,0.05107252298263534,0.07069635913750442,0.07596746804897668,0.05164468457015731,0.06949753283758427,0.06576303386796245,0.05794941843619355,0.0371971916120333,0.032068902327286056,0.033200531208499334,0.022428565020409994,0.024588148512417016,0.02307869836141242,0.0,0.0,0.03763328454944596,0.0750276417627547,0.038229222417616025,0.028387920939640182,0.016362327377446167,0.038401323368682246,0.022578460149017838,0.016277555576225466,0.018488132929675764,0.01709620891567295,0.0,0.013517166801838336,0.015202766903576451,0.014506156049973708,0.013311591067922393,0.0,0.0,0.0,0.0,0.005949547834364588,0.0,0.006530754410980375,0.0,0.0,0.006210151527697276,0.006328312871788382,0.0,0.00543312904768114,0.0,0.008426222404121627,0.0,0.0,0.0,0.0054571450400008725,0.0,0.0,0.0,0.007165205760825432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009223305448206529,0.0,0.005964858462429913,0.0,0.003987113648687442,0.0,0.007330034817665384,0.004875908137890682,0.004100237130380707,0.005675892356701456,0.0,0.0,0.005238893545683152,0.0,0.003856596322349747,0.006168983891240814,0.0053955725473268795,0.006990019805056115,0.0,0.0,0.007721948093064918,0.0,0.005954906470750244,0.0036348039750216275,0.004960528367135791,0.004993544060892703,0.005270568393154285,0.008050946388747997,0.023441555179746495,0.025512156542592545,0.03270533355136889,0.029818448247953176,0.024412623851975318,0.0433188937020993,0.04806516624644781,0.04268738892567167,0.0515496549790636,0.054472369360231414,F
Georgia,0.04862157825643021,0.08891084218325512,0.045236272531143436,0.051671241724527694,0.03917062725231107,0.04974336943496054,0.04200798151648813,0.029354412597236493,0.0456325816633076,0.03537631555673477,0.027493770942520836,0.03502872355331372,0.03489427036080676,0.03772374898617425,0.020696142991533398,0.029599482009064843,0.01987834453146742,0.026510632657312197,0.0,0.02016820281144747,0.011750881316098707,0.0,0.0,0.012253400318588408,0.013426938274446618,0.015372790161414298,0.0,0.0,0.020448757273251166,0.0,0.012426329617269048,0.0,0.017293694090273082,0.007548651056056282,0.0,0.0,0.0,0.0,0.006357198255584798,0.0,0.0,0.0,0.005968225169199184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007395720343161424,0.0,0.0,0.0,0.0,0.006251719222786267,0.006610696106299992,0.023882777707534313,0.011532528939439807,0.01764783740459138,0.030101441859065048,0.03716753638701813,0.03462343253699438,0.0408997955010225,0.05669668891336746,0.043127986613072954,0.06985992190018989,F
