state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015767482195884686,0.0,0.0,0.0,0.025908973141031175,0.03802170161738469,0.040791352233326535,0.04489211862742347,0.05350304122550124,0.05478504080043828,0.09478672985781991,0.07510939847168702,0.09080819291696096,0.12586092367933432,0.19313154013624553,0.20831163420477034,0.17588293232024765,0.16846481952758163,0.22022320928670075,0.21389527053790697,0.2223030596984762,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13297872340425532,0.0,0.0,0.0,0.17228177641653905,0.09604302727621974,0.1139168407062844,0.1130156338293464,0.09635767970707265,0.15683199372672024,0.15866719555731854,0.10418837257762034,0.3215434083601286,0.22439820481436148,0.334518084883964,0.3527336860670194,0.22151119862170812,0.0,0.27517886626307103,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09218005838070364,0.0,0.0,0.08194034742707308,0.0,0.13210039630118892,0.08815750808110491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366943937242172,0.0,0.0,0.020369364475828353,0.0,0.0,0.0,0.018947767321417293,0.0,0.0,0.0,0.012599536337062798,0.0,0.017223138055753758,0.011878741803668155,0.011104695065073512,0.013095861707700367,0.01674691228804689,0.016341871961433184,0.0,0.0,0.012165450121654502,0.020031248748046952,0.018330312226318254,0.019956096587507483,0.023684989637817032,0.028876140607554,0.04636247730170382,0.059169338830355786,0.06663581675150393,0.09652509652509653,0.09624114763028872,0.1581013625139893,0.158123370981755,0.16078270388615218,0.22523279658452955,0.22077860194729904,0.27623863140720156,0.2471408361882361,0.2919107052637488,0.2890579521047032,0.3864993902817105,0.4346386290255816,0.5264372155456281,0.5924318911927907,0.6420166623722409,0.6161757209034289,0.5557263461583939,0.4564745361231741,0.5133124206050865,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02166941145878478,0.02679049830326844,0.03145784648570915,0.02695175635612254,0.04927873846429532,0.06313416009019165,0.11075668970405812,0.08094253080312977,0.09869348622990884,0.11317783682708396,0.07881462799495587,0.18027571580063625,0.2584974150258497,0.20190689848569826,0.3271416689769892,0.2901849217638692,0.3446022220901907,0.28310789556464294,0.2888655462184874,0.26907685939009246,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00913943116180449,0.0,0.01059578590457738,0.0,0.01079414032382421,0.010592098294672173,0.01059722958140943,0.018648018648018648,0.01779464974197758,0.015438769838819243,0.0,0.013083225669288762,0.0,0.0,0.0,0.0,0.005954578475389728,0.0,0.005284797750790078,0.0,0.0,0.0,0.0,0.0,0.002650129856362962,0.0,0.0,0.0023236360256529416,0.0027622401767833714,0.003027681660899654,0.002397669465279748,0.004930723337113555,0.0025720542629962227,0.002519961696582212,0.0040778876541951265,0.004237481501763444,0.0056144522606426895,0.0035605734465379893,0.007828867225543401,0.007121360365604449,0.006870233775318374,0.007798219510521357,0.007954614153485872,0.006060402006666442,0.010998836252164287,0.012145806838803709,0.008936390770495612,0.012089016610308822,0.010836914594953385,0.016554547233133175,0.01548498567638825,0.015365047930413406,0.020537845087142077,0.023692616890384884,0.02518158281986512,0.02313269825860081,0.024788557305964794,0.022346914903646386,0.021978598749516142,0.026940583482916225,0.029357798165137613,0.028337493518552016,0.024998161899860306,0.023891840233858954,0.02320865130106594,0.025290844714213456,0.022266868417989607,0.02393758991557212,0.03095516884025787,0.033777580301096524,0.03632501868309082,0.04181737343635468,0.037034827651345685,0.04668917324248612,0.06029178048503151,0.0884263136937209,0.0955325311942959,0.12607203631779199,0.1383870652734958,0.17033782241497375,0.21438555670212125,0.2209941632703749,0.28414483170863686,0.3264622431887328,0.29846960344973367,0.37592916732968107,0.39497562537807346,0.3886169585758906,0.4601710614481101,0.5272072409822457,0.5687714805579891,0.6820591921334233,0.7190861131180392,0.7132768112828063,0.6881644377404245,0.6437899501483316,0.6127605554719192,0.5971332489419107,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01450536698578474,0.0,0.0,0.0,0.0,0.0,0.011902494762902303,0.0,0.0,0.0,0.0,0.012252499509900018,0.01759103359887417,0.017825311942959002,0.030687397708674305,0.0,0.04547636492256386,0.06096222780365286,0.04281331018243227,0.06211323011801514,0.07048177705022396,0.08504543216507766,0.1296581941743232,0.17114179328846643,0.17139945337471627,0.1808905380333952,0.22185114503816794,0.18147930154993133,0.2135213006791521,0.33679178662610676,0.31553669161175024,0.30131612609795616,0.3920551183372251,0.5021355188733695,0.43936985113455695,0.4318195170671523,0.43123652385862943,0.47165176378107493,0.4111512234255916,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021253339810541658,0.0,0.017073587160662457,0.0,0.021361245360604523,0.0,0.0,0.0,0.01864677677144379,0.0,0.0,0.01459342712042496,0.029999400011999758,0.024373895557857534,0.04514235965562828,0.05450814415800949,0.08181966944853543,0.09593119417796891,0.1284564938138057,0.16935093661436373,0.15437922398710077,0.2534628016564329,0.32859516337456157,0.3217381430031417,0.3344738764368921,0.39659825006132965,0.27606435750334296,0.42842969243257867,0.4433770552373915,0.4796163069544364,0.4657794676806083,0.5151500960052452,0.5431647760046145,0.5385820603211908,0.4080799836768007,0.5597507524951153,0.49630528289401127,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09122700319294512,0.0,0.07206687806284232,0.236651382931519,0.14914243102162564,0.12152514051344372,0.13778322106552357,0.15847860538827258,0.16742005692281936,0.17403411068569438,0.3477656059815684,0.2908033442384587,0.2849002849002849,0.3457059679767103,0.5264147396127091,0.19135093761959435,0.24444897127724588,0.3295978905735003,0.3272557269752221,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070773077921158795,0.0,0.00597100480068786,0.006321352263676246,0.0,0.007330930417252124,0.005977786545198044,0.011176556056016898,0.009169731734403814,0.012598608338340473,0.011067966537847834,0.009815644352435173,0.008521226374899875,0.012205144061383738,0.013556186405537305,0.01152454343600421,0.011728055708264615,0.015324282719085001,0.012984084246205573,0.022703569426805823,0.02039315081463354,0.03745703457798408,0.029188121183091845,0.03421116652475368,0.03779464395902752,0.09099251239580201,0.08787075291360917,0.12426701875655315,0.15835433304656987,0.16701397401323856,0.21312576736859176,0.26981271823087505,0.29848968684635596,0.34676029921706325,0.33448134132687046,0.37522916800422307,0.4035749512472424,0.38886071057652827,0.3943204460593071,0.4634708438570979,0.5069326700462178,0.6031846102728814,0.5842193432162369,0.5848050649783405,0.573409000834816,0.5366414607798724,0.5299666283812504,0.49682557571659347,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006513385006187716,0.0,0.008081896551724138,0.0,0.0081113965120995,0.017629748165828123,0.01982972872931098,0.03525356452707996,0.02538135485672225,0.03593779044550468,0.04105652114410839,0.06751434679869472,0.08628340400354995,0.11174144748151969,0.12361544581114987,0.09817489324958897,0.13838023548498693,0.14003851059041236,0.16658954187875982,0.1756086596142229,0.2032608225576266,0.29265997029280705,0.31757021161313626,0.2869333809077799,0.3387074922097277,0.34450212364322796,0.3434199442752543,0.3674504459433816,0.34929960950094935,F
