state,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013097005151488691,0.0,0.0,0.0,0.0,0.013952561291608531,0.013959239022055597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009638156083053368,0.007129819758156514,0.0,0.0072691323563619445,0.0,0.008590204303692357,0.01586180045855023,0.010031096398836392,0.014466127562312844,0.02978512162257996,0.035715816392131096,0.029362108199368717,0.06345458570058289,0.10690999984942255,0.13264014880090255,0.13625685199686766,0.17753310422333338,0.16920749068545302,0.211446292641669,0.2987767066914708,0.2884259349482587,0.3010847025043867,0.3513967031882341,0.2799253532391362,0.3022749131450331,0.25218778290296157,0.27384859115084303,0.2508168806663905,0.16304217517443115,0.16566778736052234,0.13804210284136662,0.11485726591849921,0.10494136971300816,0.10079967744103219,0.09650070077889851,0.0701623088077085,0.059125416834188683,0.05950397486552102,0.0520697734964853,0.0505926568372362,0.03594105666706601,0.023712415820923836,0.02277333697706725,0.03206816776232907,0.023585461921271728,0.014550745725718444,0.012249797878335009,0.01514080952861613,0.0,0.0,0.0,0.0,0.0,0.01844532279314888,0.013824757375508059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12202562538133008,0.0,0.18777383684539956,0.2102446483180428,0.0,0.10704727921498662,0.12784998934583422,0.0,0.11005943209333038,0.0,0.0,0.0,0.0,0.13101867016049787,0.0,0.0,0.08999742864489586,0.0602990834539315,0.08007320979180965,0.09113693324219639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017538321231891682,0.02667111185197533,0.02998400852878465,0.04642063728903478,0.03735905447629398,0.04534040178571429,0.05985783763561541,0.06317368815888183,0.08672343109429202,0.07861017215627703,0.0482966155217892,0.05410157570839251,0.0970841284188678,0.09652176910613947,0.05431830526887561,0.07505792513787814,0.06676235938178054,0.05258660356274239,0.08526495294637781,0.09213759213759214,0.09280872964535816,0.06807886674871043,0.0806370325572019,0.06224944597993078,0.06889255222301503,0.0688967024612753,0.09550037755963221,0.06329666492055176,0.04814737282813481,0.03268374392286637,0.03025108399717657,0.02187183106993021,0.024330900243309004,0.014021874123632866,0.028513819018717287,0.015964877270005985,0.01973749136484753,0.019250760405036,0.021249468763280918,0.015269506794930523,0.014807959278111986,0.01966251966251966,0.01452696568004358,0.014211358428223759,0.010425716768027801,0.017104542966611933,0.0,0.012706682126463253,0.0,0.0,0.0,0.010036734448079973,0.0,0.01034853878632337,0.012584156546907444,0.0,0.012883277505797475,0.011082297138550879,0.0,0.0,0.0,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018674136321195144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012027615404969811,0.0,0.0,0.0,0.0,0.0,0.018596248870942033,0.01383700013837,0.021965349660909916,0.02199796518822009,0.022808267997148964,0.023075369927024143,0.061094463677886714,0.08151145527058892,0.09254974548819991,0.11729517330361855,0.08616335383426925,0.07774472687939427,0.16,0.1855147086661871,0.2511106818620823,0.21792222430959984,0.22679884405750447,0.20012371284066516,0.15861962240792324,0.1894014126188691,0.15866259045702566,0.15922933004259385,0.12455301538832415,0.09275720800803895,0.10813841717398269,0.09479751251327166,0.0697759823723834,0.054417537995102426,0.057597051030987216,0.05025514148755219,0.04659470373534209,0.04273836350920818,0.031833194063109305,0.027830788804071246,0.0,0.03520713531275672,0.02355620116995799,0.0,0.0,0.0,0.0,0.0,0.0,0.02179884030169595,0.0,0.0,0.02166941145878478,0.0,0.0,0.0,0.0,0.0,0.022151337940811627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009324009324009324,0.01038021234948692,0.0077193849194096215,0.02053582711992923,0.019624838503933144,0.010950161123799393,0.01982311680390363,0.014561339643247179,0.027367268746579094,0.019054651121247126,0.010458549283008343,0.012683514601896184,0.008508787686838796,0.011446537040993866,0.004755531702412413,0.005925067644522275,0.006945409084595083,0.005830285683998516,0.0028098832961804317,0.004272185697671659,0.004182544846175295,0.005984853716363972,0.003027681660899654,0.009590677861118993,0.006068582568755144,0.008818471758844192,0.01043984131441202,0.010534543106670746,0.0065192023104052995,0.012549952112024835,0.02362926014520666,0.025991839188804093,0.03220093382708099,0.041533686005333796,0.04741317462396985,0.04422765469338145,0.06262415406888656,0.08124946779824586,0.07644713716188217,0.0686314811174063,0.061826684949865124,0.05621649446132069,0.0620795521242494,0.062347442328615846,0.05975296417382991,0.0513446127178552,0.05473811488468231,0.04446123216632435,0.034888659668709424,0.029228298913003263,0.033520372355469584,0.0354281890290708,0.02600079568700054,0.0253822629969419,0.026830180033522652,0.027645026101021982,0.020799955027124267,0.021550890493846946,0.01943401751723771,0.01720621650481015,0.019389447831613418,0.014356020331713796,0.01405510052797305,0.014576281382386761,0.01994736778860597,0.010936459172209463,0.015392035134885535,0.012428568784195092,0.014554641694929218,0.011140819964349376,0.0121549272683073,0.009207203939567261,0.00941565852545081,0.013148980811063438,0.011571852738295495,0.009348733246645079,0.00826126095329254,0.00845522955948254,0.00966106703643927,0.007709734429301735,0.006618780316377699,0.005912262031453234,0.006694695123584072,0.008086798301772356,0.008951811708969715,0.009542374960808103,0.004931296473066315,0.003969485482509003,0.006881365262868153,0.005696313264679196,0.005967070296350284,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035831591519856675,0.02877532228360958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014905795373241115,0.0,0.0,0.0,0.0,0.027131888108093444,0.0,0.02357255107386066,0.023152316517891597,0.03957574798163686,0.03248247299894432,0.025607465998975704,0.031562667676672033,0.07400181640822093,0.04599362659745721,0.03856536829926726,0.05565518520808855,0.05284481240091598,0.0671735214191933,0.06404303692081079,0.07024714221853248,0.06342159505311559,0.06271361826220564,0.055522995774083095,0.03806623524933384,0.06594603893683516,0.05066126279863481,0.04803681136702652,0.02901073397156948,0.025235724609419807,0.027493298508488556,0.030111412225233364,0.018393764513829812,0.02529026324864927,0.01904399162064369,0.01935124936503713,0.02194319151529928,0.04146948333902522,0.0,0.03920799843168006,0.015078028799035007,0.017825311942959002,0.0,0.012618296529968456,0.025264647179202144,0.019507912897168914,0.019028137858858787,0.016103430030596517,0.011368028556487733,0.017904301508437404,0.015648402745176936,0.0,0.011581044146940288,0.016233766233766232,0.014312977099236643,0.017166960957425936,0.015435274747890512,0.019012439567602804,0.013961800513794257,0.0,0.02882758223067831,0.0,0.01445295562942622,0.0,0.0,0.0,0.02339885011365156,F
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018155959693769482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010120433154539015,0.01832396774981676,0.025135627657568965,0.037153236459709374,0.016532341392849762,0.03900747643298299,0.05452314962060976,0.04528985507246377,0.029229082937522834,0.05064878684096281,0.026399155227032733,0.05406574394463668,0.03431173773355376,0.04016870857601928,0.040934675081016544,0.03134905430352851,0.03194434585078441,0.020882639565641098,0.02749613335624678,0.016434393899552983,0.02269117313365101,0.0,0.0,0.0,0.0,0.017073587160662457,0.02518539247236603,0.0,0.023533718589022826,0.025774524460023714,0.015357444521231669,0.013319126265316995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05135051864023827,0.0,0.053231129564569366,0.05449591280653951,0.05924872615238773,0.09980039920159679,0.11525163273146369,0.10323912762937153,0.06361323155216285,0.0612369871402327,0.10471204188481677,0.09052504526252263,0.1332001332001332,0.0,0.08431703204047217,0.0,0.0,0.09604610212902193,0.0,0.0742611020347542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03763328454944596,0.0197441162533565,0.0,0.024839430822185163,0.0,0.01476973975718548,0.0,0.0,0.011555083081047352,0.0,0.011421827111610288,0.015448190630672383,0.015202766903576451,0.014506156049973708,0.01830343771839329,0.028096025973215123,0.014409637165336175,0.021747995106701102,0.018095336573260262,0.01546882436934793,0.017960979771446534,0.02938839484941169,0.03586649225705726,0.06821564412105176,0.07969694460544838,0.09070581782896679,0.08776530273677902,0.09562307123918808,0.13692430870629735,0.17454317837109085,0.14388310737897075,0.1563721657544957,0.12066785013981228,0.11569147484801852,0.13833080824715105,0.1332892967515157,0.1141899197026203,0.10031288065155604,0.09482028395514368,0.07959432569484562,0.06842201722768648,0.05260452159774278,0.04135325740726253,0.038716645100816106,0.03973407245168918,0.04519419669621199,0.03033926436207235,0.03323278286210951,0.02115558303973181,0.017543300054224747,0.017670966601873124,0.024189114898295765,0.02089674916238864,0.015717575666459375,0.011351784713402912,0.007283268148083408,0.00954787155909398,0.009729373727697282,0.009883225884928841,0.01311242749598914,0.007711229864051018,0.008478756860085096,0.009320026406741486,0.007613189088777397,0.005362834027948027,0.008494142902371412,0.011336668833230043,0.008187996397281586,0.0043617647700259525,0.007086469095908273,0.004993544060892703,0.0067764450769126515,0.008050946388747997,0.009209182392043266,0.01360648348938269,0.004303333362022222,0.005111733985363401,0.006734516924682846,0.0066644451849383534,0.005059491183836612,0.00435585601282364,0.004521899559566983,0.0,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009093719877052908,0.0,0.00853009417223966,0.01257723206565315,0.01358757190090131,0.0,0.0,0.013697879568242836,0.018410781353560644,0.0,0.010058211901379233,0.011468474438044753,0.013600227494714456,0.02148561060911706,0.01894163608381674,0.012584228529590097,0.02171378939909945,0.020202927179671367,0.0350817631415153,0.03262718776946562,0.047138682002451214,0.09293352312162527,0.11621150493898895,0.14352739684722174,0.13164410198190798,0.12613218653148497,0.1864520111099681,0.25356963673098565,0.2455165018131535,0.2462776886487095,0.2174418445632701,0.23699150997447782,0.2004035151859826,0.22004637218850145,0.20339088312010928,0.18838404802196748,0.19071620747198856,0.1609163580994567,0.1161725243798678,0.13219862843922994,0.10917030567685589,0.08880192655027092,0.06664445184938354,0.051187859444160065,0.06286766356818896,0.04698558129973864,0.04387330521667752,0.02638852238163359,0.02149930799102404,0.03167313326470821,0.01903287612135362,0.017580872011251757,0.010421416009900345,0.00926305760298535,0.010775862068965518,0.01083144911249814,0.0135189941868325,0.0,0.006609909576436995,0.006528437875385177,0.01395974517119724,0.0,0.006220685021834604,0.008751859770201167,0.007395720343161424,0.009823423954419312,0.013463068355669787,0.0,0.005964665322628748,0.006251719222786267,0.006610696106299992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013800955716183345,0.0,F
