state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.020576978476480514,0.0,0.01708866167297998,0.03130298682665971,0.026869441384313617,0.019530773174483044,0.015234613040828763,0.014976465554129226,0.012756457956840652,0.012457178449081284,0.010594118145605558,0.014234296520731235,0.0,0.0,0.009647667194072474,0.010080035481724895,0.0,0.0,0.012809564474807857,0.010072116353088112,0.0,0.0,0.0,0.0,0.0,0.0,0.011965062018904798,0.0,0.0,0.0,0.008091269520187717,0.010221813349688235,0.014013452914798207,0.0,0.0,0.008555783709787816,0.008581481163648846,0.010176785298906723,0.0,0.010021905020974416,0.008651891159209217,0.0,0.01012628929361899,0.007091695624423799,0.0,0.011744843279747487,0.008854128237290636,0.009034647874599087,0.013721394703541645,0.03288958496476116,0.03257488150886851,0.027658916746660593,0.019382576825486327,0.041340173252907904,0.04092530158049617,0.03389695326208327,0.0138189714736946,0.04189359028068705,0.029442361669970756,0.03017631590291848,0.024895326468258462,0.016107506097841593,0.014386074280096865,0.0,0.013804210284136661,0.021535737359718598,0.013688004745174977,0.02687991398427525,0.05054798612228017,0.03508115440385425,0.04730033346735094,0.054743656876279335,0.037868926179262026,0.0168642189457454,0.02875284533365281,0.018969932656739068,0.015941335883947073,0.016034083881164535,0.021226915729144556,0.014550745725718444,0.0,0.01514080952861613,0.0,0.023333592595473282,0.04423742486143278,0.03378905234703956,0.06569784248285286,0.1080368906455863,0.11336301047916608,0.10335027129446214,0.14969628925929124,0.20180749319996494,0.20687042918329884,0.21884907830868944,0.3604415408875873,0.29410916640235285,0.29964837180859194,0.47678139899418714,0.5011266942454512,0.5803587036324861,0.6320668586277126,0.5138353643717669,0.5100605037287181,0.501810100720456,0.5039005636221119,0.4119464469618949,0.4607736146477507,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878348704435661,0.0,0.0602990834539315,0.06863417982155114,0.0,0.0,0.07678525723061172,0.08032128514056225,0.10395010395010396,0.07849293563579278,0.0,0.0,0.0739863865048831,0.0,0.0,0.0,0.1952431664891729,0.14222222222222222,0.33136966126656847,0.3166325200223505,0.34194528875379937,0.4063467492260062,0.41899441340782123,0.5426356589147286,0.5168453292496171,0.5762581636573185,0.7404594645908487,0.7157656809191938,0.8864906533050684,1.215447951382082,0.8726695755652519,1.1669097728693478,1.004823151125402,0.9179926560587516,0.5854066485469371,0.7275132275132274,0.8614324390844204,1.0403120936280885,0.4678040726472207,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022067747986317998,0.0,0.0,0.0,0.0,0.029841838257236648,0.016981388398315447,0.020926339285714284,0.018705574261129815,0.03553519958937103,0.02759381898454746,0.03144406886251081,0.022290745625441172,0.02366943937242172,0.026781828529342838,0.024130442276534866,0.01697447039652363,0.02937049244525667,0.020028707814534166,0.04601327811739959,0.05052737952377944,0.036855036855036855,0.04218578620243552,0.04451310518184912,0.09827638342908981,0.07469933517591694,0.0861156902787688,0.0688967024612753,0.06662817039044108,0.08075781386415226,0.0648942851161817,0.06128201985537443,0.06655238479378844,0.041755313860775856,0.05677210056772101,0.07411562036777374,0.04073402716959612,0.04390341249251647,0.08487121286884437,0.1232048665922304,0.10431557392883359,0.1469690029012063,0.15918556223970384,0.21271271271271272,0.2542218994007627,0.2735686497433073,0.3475238922675934,0.3232758620689655,0.4655931690590647,0.48285392080560363,0.6154790559423614,0.7226738934056007,0.7821709923092757,1.0357909950418531,1.15329764586735,1.2231972845434225,1.285681327209044,1.0284116984438234,1.0220733487932665,0.9575104727707959,0.8962565327405586,0.890742202921437,0.8970004925725248,F
Arkansas,0.054271138608488007,0.0,0.0,0.03377465549851392,0.0,0.0,0.02463357556349304,0.026371308016877634,0.020890637512621428,0.01663506005256679,0.01920799052405801,0.01890359168241966,0.015985676833557134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017353077279037482,0.0,0.0,0.016901027582477014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020089196030374866,0.0,0.0,0.0,0.0,0.019434834998250865,0.0,0.0,0.0,0.019426528867821896,0.02387489554733198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05667698478440947,0.07875049219057619,0.06215592257147932,0.10834705729392391,0.120557242364708,0.15728923242854576,0.1796783757074836,0.14335633007794998,0.2570462232243517,0.1949317738791423,0.2832988578109542,0.3759751856377479,0.48223600039366205,0.5149222362337116,0.689289501590668,0.9074909250907491,0.7122826696578799,0.6542833379539784,0.6258890469416786,0.6357316855801795,0.6228373702422145,0.6499474789915967,0.6761418518007452,F
California,0.057155921353452224,0.0,0.0,0.0,0.020300446609825416,0.01849853553260367,0.0,0.0,0.0,0.0,0.0,0.011403158674952963,0.0,0.0,0.01210946960523129,0.007637785653183429,0.007710100231303006,0.007565784496194411,0.0,0.010878010878010878,0.0,0.0,0.011057753064577278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004727104270465998,0.0,0.0,0.004608385945739547,0.004419805781105962,0.0,0.004683138826967387,0.004746872997412954,0.0,0.0032226135395805994,0.003027681660899654,0.003196892620372997,0.0034135776949247684,0.004776672202707271,0.00467992886508125,0.005777007510109763,0.007171122541445829,0.010898642623600515,0.007444835388215797,0.006889403158478193,0.014242720731208898,0.02310896815334362,0.028073590237876887,0.021954735063621004,0.03131207703444328,0.03264170758706821,0.03643742051641113,0.036103018712802276,0.03523084840718571,0.038606508244521436,0.04439628576158442,0.03382246871421644,0.04268068869559279,0.030806767630713116,0.030228511204973815,0.0314769785248314,0.04323160002427037,0.040327652930599436,0.046788853079509626,0.047237585372094396,0.08332785123785716,0.06513761467889909,0.0789832266155386,0.07793544592309389,0.06830255502150265,0.06382379107793133,0.07134680403588638,0.07919920244125848,0.0598439747889303,0.05989152232136848,0.07254245433792543,0.0705677114544121,0.08147177928117377,0.09544546186655531,0.09902209270109695,0.13539206845761462,0.19937112963242665,0.22504456327985742,0.26995245444729005,0.31388195248524753,0.3318306322757361,0.3798912064761589,0.43606128001625705,0.48670071871928017,0.5401155437049191,0.5588906738817959,0.7399240753790548,0.7617810672644676,0.8390092001046398,1.103950704873018,1.1946683448035778,1.2278455421524361,1.1940339617964222,1.0844227544746923,1.0412080267417163,0.994897406843393,0.9328072911887941,0.8764184837227849,0.8899459127699566,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.03815337657382679,0.04783381167145005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014049284891399028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027068727499120263,0.014226369999430945,0.022093867373670424,0.02354603249352484,0.0,0.022496464841239235,0.021643683136478884,0.017614937466971993,0.021373393178834233,0.0,0.0,0.0,0.0,0.027761497887041547,0.023425375538051595,0.02007053358947157,0.01599829351535836,0.017697772608904507,0.05318634561454405,0.03211819495744339,0.041239947762732834,0.046325249577282096,0.04138597015611707,0.04368318197493965,0.04522948009902875,0.03144578021818534,0.039010118249420946,0.05854515294921208,0.04664637140331926,0.04165849833366007,0.05026009599678335,0.10695187165775401,0.07671849427168576,0.11356466876971609,0.1591672772289735,0.19995610719598134,0.24736579216516424,0.27835929052888264,0.27055907964440806,0.34913387941452934,0.3934455547358773,0.5296144684197136,0.521146986612313,0.5589053803339518,0.7347328244274809,0.6646066313517756,0.6740069973245524,0.8609919061328698,0.8405003909304144,0.940902242815316,0.8619447086972815,0.7993766593558813,0.7197571903454256,0.6991363609658657,0.703103028030374,0.7009269267302086,0.7320497392699559,F
Connecticut,0.0,0.07498500299940013,0.07755695588948133,0.05681357032708384,0.06990155530960564,0.05826656955571741,0.030309590820523924,0.0511549207098729,0.05751313216517771,0.06636250518457071,0.02827254735651682,0.03169697690082808,0.025541696820058746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01015909137086779,0.0,0.0,0.0,0.0,0.016532341392849762,0.015169574168382273,0.01817438320686992,0.0,0.014614541468761417,0.012059234962134001,0.0,0.0,0.024953991078948187,0.016736961906674702,0.0,0.0,0.0,0.0,0.0,0.016434393899552983,0.0,0.037895534642834586,0.0372035343357619,0.02732572261355356,0.0294611554665174,0.03983837004154573,0.022387015530992024,0.04539264639128461,0.03922286431503805,0.04123923913603794,0.033274463129335276,0.031965903036760786,0.0718768141984353,0.06523527242817029,0.05837370848169984,0.047999040019199614,0.08226189750776917,0.15154935027246638,0.21482621521097858,0.2029127802323679,0.370492887859742,0.3076194983435873,0.4492984032625977,0.5145974132903358,0.6318720548336427,0.727339856008861,0.6396911313827169,0.8765522279035792,0.7400441573309346,0.97053875684769,1.0417606205465861,1.1823388139663773,1.0673813890064419,0.9980988593155894,0.9506860862642251,1.0430686406460297,0.8421464943204073,0.8110589675576412,0.866029466124518,0.8547479872063527,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18832391713747645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08638065073423554,0.07369196757553427,0.13366998366255756,0.32578113431067673,0.29291154071470415,0.34572169403630076,0.3192945111753079,0.3400354819633353,0.590948400115307,0.4437213429965981,0.43251304996271445,0.6076257025672186,1.0257195345988976,0.7448494453248812,0.9877783358446341,1.270449008005569,1.2171796209354895,1.2177390039985458,0.892687559354226,1.291848617176128,1.071630005640158,0.8610792192881744,0.774088409044612,0.8789277081960009,1.0518934081346423,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022343372955581375,0.0,0.017374383209396067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016362327377446167,0.0,0.012543588971676576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775514424568297,0.0,0.0,0.0076192134794771035,0.02004303979070847,0.013436414751116257,0.017595429328475617,0.036915158418765553,0.03532018280870375,0.026079019428869473,0.03713201592035183,0.03490863567421817,0.052095607844110096,0.034206411258795935,0.03828883706359428,0.03165144123200506,0.03622949739806337,0.02595012857109156,0.03279923225500796,0.022689818242613867,0.021492597696499235,0.020540471147056934,0.02565825646038243,0.022715588871752568,0.019000145295228726,0.03158463152961314,0.07462252631170896,0.06087381595816308,0.06335552263844521,0.04857099033692929,0.0512616050578117,0.037478868297661956,0.040720053473881544,0.04031519149715961,0.03622103188147364,0.043735862724060874,0.03973124649691019,0.04297128207369211,0.06095948764652311,0.0621183091845288,0.0691825811945019,0.09641490805874367,0.15885133519945097,0.17034593327989148,0.22756397809793796,0.263416342471698,0.3087460161804364,0.39999691122076275,0.42474719228501895,0.5158437730287398,0.6077392246236161,0.6370735717221537,0.8496158537890298,0.7777853071611965,0.9258588347060196,1.0448236022972723,1.2033233835922819,1.1842773412285157,1.1799585949547184,1.0463755671725972,0.9821726091302898,0.9756385499498267,0.9251838171237412,0.9269894097112316,0.947631391111612,F
Georgia,0.0,0.0,0.01739856635813209,0.022606168254480866,0.013056875750770355,0.013566373482261966,0.010501995379122032,0.0,0.0,0.0,0.01718360683907552,0.0,0.0,0.009430937246543562,0.0,0.009249838127832763,0.011927006718880452,0.011361699710276656,0.0,0.014117741968013232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076123197783292485,0.0,0.006848939784121418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00799981714703664,0.0,0.007921688451309907,0.008156796942366405,0.015320071650796643,0.01294011081440352,0.013044148513559985,0.0265344767280578,0.02294713704271791,0.024025178386949522,0.01671638720296266,0.027119747243955685,0.029631301942966797,0.028146021559852512,0.030086292958439887,0.037762383457471745,0.04062233415932079,0.023629140637691434,0.0186312259346665,0.007982374916185064,0.015325409528999082,0.01557255078381839,0.011453629164212317,0.0,0.01423960508828555,0.02107164358819988,0.04543939898821605,0.051187859444160065,0.0434086248447019,0.04551728188412181,0.031135894024738882,0.03749947917390036,0.033592668735975065,0.030353419378678703,0.02664602656989506,0.012557765722322683,0.023448186022275778,0.029112466752239677,0.028286637931034486,0.02437076050312081,0.048668379072597,0.04746470660030649,0.07667495108666914,0.09662088055570063,0.11802330008375847,0.1549042691616581,0.14680816651529666,0.22754835402523035,0.23296519080958483,0.2713720867408335,0.33902453950186645,0.35011769158889555,0.47120856048767107,0.4513741278851684,0.47729225887485954,0.6251668282266335,0.6184318643774597,0.6603232495551274,0.6983534511303091,0.5991406865587322,0.6232217856658989,0.5914739657070945,0.534568781183179,0.5641140648989943,0.5176799340808942,F
