state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.042797750061139644,0.0,0.0,0.020576978476480514,0.0,0.019936771951809974,0.0,0.0,0.017089426527672664,0.013058239749281797,0.0,0.0,0.0,0.0,0.0,0.0,0.009883766901241401,0.0,0.0,0.0,0.0,0.0,0.010072116353088112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01514080952861613,0.0,0.0,0.018215410237060553,0.02599157872849197,0.03941870548971172,0.057971014492753624,0.04976912655182902,0.08325438520942784,0.057575495868958174,0.07604340323476938,0.08158270446665307,0.09820150949748886,0.14361342644739805,0.17300539200138404,0.2079192783977985,0.2677813336816668,0.3195103084115293,0.21326434290109428,0.1720626448486551,0.14581814394333922,0.15477698044181792,0.09677766228180222,0.11197790302713599,0.1267527529113523,0.1252980881936866,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8115942028985508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2224938875305624,1.1441647597254003,1.284796573875803,0.0,0.9823182711198428,0.0,0.0,0.0,0.0,0.0,0.0,1.202749140893471,0.0,0.0,0.0,0.0,0.7092198581560284,0.0,0.49800796812749004,0.0,0.0,0.0,0.38204393505253104,0.30042918454935624,0.23455824863174357,0.19474196689386564,0.0,0.0,0.14806588932074774,0.0,0.1371977362373521,0.0,0.0,0.0,0.0,0.0,0.08652015919709292,0.0,0.0,0.09609840476648088,0.0,0.1266357112705783,0.0,0.0,0.0,0.0,0.10654165778819519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07270964614638875,0.1151778858459176,0.0,0.0,0.0,0.06682705159048383,0.0,0.08878366380585972,0.0,0.0,0.10268697586856067,0.0,0.0,0.0,0.0,0.11398176291793312,0.11609907120743033,0.0,0.0,0.1339969372128637,0.0,0.13290298082399848,0.09417969485778867,0.0,0.2352479905900804,0.25783419278064257,0.18753907063971662,0.3215434083601286,0.2039983680130559,0.0,0.15432098765432098,0.19689884321929607,0.18205461638491546,0.24766097963676387,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.2053856686444546,0.1606748343040771,0.1048951048951049,0.13910624239262737,0.0,0.11400651465798045,0.0,0.0,0.13841894801599508,0.0,0.0,0.07093204709887928,0.0,0.0,0.0,0.06862475981334065,0.0,0.0,0.08643042350907519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029084986330056427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016981388398315447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01602499899843756,0.012220208150878837,0.01197365795250449,0.013816243955393269,0.0,0.02318123865085191,0.022904260192395786,0.05182785747339195,0.044687544687544684,0.05266025059015798,0.056845433712895035,0.05039096437880104,0.05473453749315819,0.0874037718089219,0.0698867516955479,0.1211572944768428,0.12101378875423975,0.1459553526318744,0.1927053014031355,0.192216274311225,0.18213428263929135,0.15100987856288933,0.13559180608285704,0.09233015545821524,0.12633818737948002,0.13242840589306407,0.10363205684958546,0.134809322583154,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019630167641631658,0.0,0.0,0.0,0.0,0.0,0.0,0.026158608362035138,0.021875136719604497,0.03551767004084532,0.04767270520932652,0.03572066440435792,0.06740967104080532,0.0898391878537418,0.06271839440910312,0.11724915445321309,0.11961722488038277,0.15289144707257846,0.21618573174170508,0.22143489813994688,0.23644388398486757,0.24920466595970306,0.2364976350236498,0.179472798653954,0.17743276961463822,0.14793741109530584,0.13071118768938267,0.13211701793016672,0.17069327731092437,0.19318338622878434,F
California,0.0,0.0,0.07793764988009592,0.07334963325183375,0.05684125050751116,0.0616617851086789,0.0651523676962715,0.055865921787709494,0.05964511158606293,0.027281069417921185,0.0474971088716339,0.04561263469981185,0.04021349711193975,0.043078452489437494,0.052978929522886894,0.029023585482097033,0.03238242097147263,0.024210510387822112,0.03330557868442965,0.027972027972027972,0.026691974612966372,0.016982646822701168,0.012637432073802603,0.014718628877949858,0.014078778587742077,0.007624275693809088,0.011649071714597743,0.006516016368233116,0.008336409865545619,0.0,0.012683514601896184,0.004727104270465998,0.006104819755196727,0.0061142550459588165,0.005925067644522275,0.0,0.003180155827635554,0.0,0.0037974983979303634,0.0032530904359141183,0.0,0.004325259515570934,0.002797281042826373,0.0,0.0025720542629962227,0.002879956224665385,0.003058415740646345,0.002281720808641855,0.0023118332837940487,0.002589507961118538,0.0021920828231521525,0.0015481218186096627,0.0037474002410827485,0.002807359023787689,0.004454583925952087,0.0023568230025925053,0.004967216371945162,0.005715673806495863,0.002859645046558596,0.004835606644123529,0.0033865358109229325,0.003009917678751486,0.0032599969845027894,0.0038412619826033514,0.004107569017428416,0.004493427341279891,0.0027542356209227475,0.006067592985862509,0.004069763139785264,0.004190046544433698,0.005248620596899377,0.0031326259863856073,0.003975535168195718,0.008742418213170303,0.010587456804646718,0.012367540826938752,0.011328032182663136,0.011447434975907143,0.011133434208994803,0.016277561142589044,0.01592621005549499,0.016775442565645254,0.018509563660173665,0.018745719126641754,0.02336425368608385,0.026679527567134924,0.03199695367845971,0.04393854096582405,0.04762700534759358,0.05964394543285674,0.07254160679659055,0.06533896370691623,0.07517786855021052,0.06152838773044922,0.06884067208893195,0.08916464408208843,0.09103463825709535,0.14491600554658907,0.1616078947680556,0.17145792819568897,0.1714555989121438,0.1931419543154005,0.1971157086057012,0.17731473192766936,0.16222037433373776,0.14089418494475187,0.1439840643200993,0.1552130164846928,0.1725169160159985,0.1700615034459831,F
Colorado,0.0,0.0,0.0,0.09126863401277761,0.06149305128520477,0.05405405405405406,0.04088976120379457,0.06104540251812285,0.03416700833675003,0.05036695927471579,0.03744383424862706,0.05300665528005183,0.035648505733468006,0.03633060853769301,0.0,0.04273765187129861,0.0,0.057197330791229746,0.037206994915044034,0.031922364808785034,0.05037148973680896,0.0,0.0,0.0,0.03275681341719078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015156567340628695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01893760060600322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013795323385372359,0.0,0.011902494762902303,0.0,0.012190661952944045,0.01463628823730302,0.022095649612098596,0.031856498725740055,0.025130047998391674,0.015278838808250572,0.03324468085106383,0.02523659305993691,0.040423435486723426,0.06340071691579897,0.06659848250600577,0.08741862016609538,0.12732191983266264,0.08952150754218702,0.09612590257751548,0.1433890700524989,0.1250752767869551,0.11363636363636363,0.19561068702290077,0.14959780262899747,0.1929409343486314,0.19012439567602804,0.2513124092482966,0.2131953722391199,0.19891031739168036,0.17026434260648737,0.16765428530134413,0.19975324599024735,0.11249648448485984,0.18669548983000886,0.22396042251637918,F
Connecticut,0.6825938566552902,0.3599280143971206,0.39747939893359185,0.34899764629494356,0.49513601677637326,0.43214372420490416,0.4892833946741719,0.5076142131979695,0.5866339480848127,0.43965159684778105,0.4402439516943334,0.36055311224691944,0.29798646290068537,0.3412678099138299,0.26342868903066474,0.258631837579206,0.1841620626151013,0.19768054823405376,0.1376676436628475,0.14768321949418498,0.12320890754768642,0.05900575306092345,0.0670760022702647,0.027531523594515724,0.038224212308196365,0.054153579551608357,0.0,0.0,0.02525507627033034,0.0,0.0,0.02040233402701269,0.035171862509992005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018523909074069173,0.0,0.016644869813339673,0.0,0.0,0.0,0.0,0.0,0.01015909137086779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014227989300552045,0.0,0.016020934020453393,0.013074288105012682,0.0,0.0,0.031965903036760786,0.022115942830287783,0.045381059080466295,0.04961765220944487,0.04499910001799964,0.06702821278410823,0.07738690226679135,0.06733358984224702,0.12436589756177384,0.17201455507773736,0.19944560881617202,0.2142807769406235,0.17153247109677863,0.15707553905469085,0.2104485877792136,0.2043983496725841,0.2575833301295606,0.2534957886989942,0.27606435750334296,0.2705871741679444,0.19397746166635876,0.2915314806977947,0.23288973384030415,0.1639113941834871,0.19227071716977504,0.22522522522522523,0.16833299326668028,0.2006653641020225,0.22609462887393847,F
Delaware,0.0,0.0,0.0,0.0,0.2449779519843214,0.31982942430703626,0.166333998669328,0.25109855618330196,0.1638448935008192,0.21996150673632117,0.18878101402373249,0.0,0.37790697674418605,0.0,0.28735632183908044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08638065073423554,0.07369196757553427,0.0,0.0,0.10251903925014645,0.08643042350907519,0.09122700319294512,0.10348905972797162,0.11530700490054771,0.0,0.0,0.10633449794926325,0.13778322106552357,0.0,0.16742005692281936,0.13922728854855554,0.2608242044861763,0.09087604507451835,0.1899335232668566,0.12736535662299855,0.09400263207369806,0.15308075009567548,0.1018537380321858,0.0,0.0,F
Florida,0.0,0.0,0.0,0.0,0.049313717432399116,0.0,0.0,0.04708731333243643,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.025574513170874287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006018730288658305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006456313813744569,0.004461656523834169,0.0,0.004882057624553495,0.006379381837899908,0.007683028957336141,0.006597031335898845,0.0069655830541295455,0.0061503556955710605,0.004966405812113774,0.012381555851741794,0.011016774875877669,0.00898096036402826,0.015204962899890526,0.019282981611748736,0.024675935564963256,0.03160263920577172,0.05203681410430663,0.06242815052797466,0.05209610198578083,0.06718094840966478,0.055927566243934884,0.06699269779594025,0.06688039314039794,0.077951160054991,0.11699160371234332,0.1332700865126155,0.15538326530283636,0.1741372670495454,0.18283712188857992,0.20225666801504447,0.16783526585276504,0.1388994115715837,0.127457514161946,0.12901702518783362,0.13851622120779175,0.14470078590614346,0.14651189000338102,F
Georgia,0.03889726260514416,0.0,0.04175655925951702,0.016147263038914905,0.013056875750770355,0.011305311235218307,0.01890359168241966,0.012580462541672782,0.0114081454158269,0.0,0.022338688890798177,0.01751436177665686,0.00872356759020169,0.015089499594469698,0.016933207902163686,0.011099805753399316,0.0,0.009468083091897214,0.011638282189548823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007906763445451239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007525586995785672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01015086726472193,0.0,0.009118739008662802,0.013232939432836216,0.010775862068965518,0.008123586834373604,0.016222793024199,0.021698151588711537,0.029083602136322776,0.030030814226771816,0.04822457422777228,0.06939711258442283,0.06718339823581372,0.08501806633909706,0.07272458337442067,0.08963874358407622,0.06609142647328804,0.07924961262316219,0.1228721056461522,0.13003575983395432,0.16791168110001983,0.1418917969682921,0.21335178537963645,0.2058914363868994,0.1520122813882785,0.13528983244874596,0.12193469719550196,0.11168790309894605,0.10367394544158622,0.12765884037469594,0.15046752409271666,F
