state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.5196869650281243,0.6139376918555287,0.47775047775047774,0.3827317996625375,0.3658164820648308,0.3787986670843895,0.32085561497326204,0.34124190558078293,0.3002856375576768,0.31992687385740404,0.25673940949935814,0.2572552354629531,0.2699055330634278,0.29663530807695565,0.2460499827154971,0.2887755914920736,0.22732663872855222,0.22768494578011034,0.19555268834546297,0.17938514196168992,0.21286176265913462,0.19000853970964987,0.181298094355586,0.14188422247446084,0.1445289760523516,0.19754081838339044,0.1841811183311949,0.181298094355586,0.1554713972493522,0.14756909823315917,0.14051161626855044,0.12059316764334571,0.11837121212121213,0.09062221862610244,0.12266176019625882,0.11911434977578475,0.09983718858476945,0.07710524866442695,0.10979922427561031,0.09010555221831287,0.0915910676901605,0.07955564555790205,0.07444843729866708,0.06200521997433272,0.07451671610564178,0.0839035398614145,0.06949861711935325,0.07428889809563267,0.058724216398737435,0.059027521581937574,0.07077140835102619,0.06708237410620359,0.0610806577916993,0.045604834112415914,0.048809853082342224,0.028192839018889203,0.05449386474246951,0.046771773234852765,0.029909076407720527,0.035534498075214686,0.01713828693300834,0.009814120556656918,0.021554511359227486,0.015842480479800837,0.02070965069722491,0.01918143237346249,0.017054036934171415,0.018405613712182217,0.014357158239812401,0.0,0.011199964160114689,0.02297635732830917,0.0,0.011825083366837736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014151277152763039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17149717029669012,0.08181966944853543,0.1432151808091658,0.0,0.0,0.0,0.1038241910365115,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arizona,0.5752636625119847,0.4721435316336166,0.28216704288939054,0.24189646831156267,0.28808066258552395,0.0,0.11410314924691922,0.12050612572805784,0.0,0.1564945226917058,0.09218005838070364,0.09771986970684039,0.0,0.19665683382497542,0.13841894801599508,0.20548950535740496,0.23508668821627976,0.09930486593843098,0.23211359912616056,0.16817593790426907,0.09725261366399222,0.16469942355201758,0.0979706088173548,0.12307692307692308,0.07202535292422932,0.0808080808080808,0.12993762993762994,0.08177570093457945,0.0782822634757325,0.12427974240198847,0.07496251874062969,0.07200905256660838,0.07985803016858918,0.062111801242236024,0.15601841017240034,0.14666340747983378,0.17488632388947184,0.11337191956560654,0.10470595078820313,0.1410755600699735,0.10983579548574882,0.11351323461121718,0.08900131159827618,0.142793395805444,0.09386065958445326,0.0828775070445881,0.117096018735363,0.15079627790650632,0.13423792765664116,0.11224525588410678,0.09668278046341057,0.08995202558635394,0.053052156901754036,0.10868088574921884,0.09068080357142858,0.0710811821922933,0.06712204366881194,0.035477767265846734,0.03144406886251081,0.03715124270906862,0.02366943937242172,0.026781828529342838,0.02757764831603985,0.030554046713742528,0.016316940247364815,0.036719297659979305,0.0197199763360284,0.015789806101181077,0.018427518427518427,0.02249908597463228,0.0,0.0,0.0,0.0,0.011878741803668155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Arkansas,0.2605014653207424,0.30076863094575024,0.2673388328750382,0.15536341529316403,0.21671994365281463,0.18605053651782624,0.18885741265344666,0.13562386980108498,0.13230737091326905,0.14306151645207438,0.12165060665236739,0.10396975425330812,0.10550546710147708,0.09823805298516922,0.0938512306621053,0.10895224260032686,0.09580912350105081,0.10331548793087256,0.0569819668834216,0.08428292090890702,0.058068262468546364,0.05858432696946723,0.05447321199692387,0.07852118436119745,0.06611258027956177,0.04337185166826729,0.07675621558484899,0.025773195876288662,0.04328870474011317,0.04668534080298786,0.061581771795548516,0.08517162081594412,0.04853452692318063,0.0716370390023879,0.05302966870412236,0.059021424777194124,0.09079445145018916,0.07823285780027613,0.048110461619879245,0.04601709898520187,0.02726078659760601,0.07067316186678109,0.0652860836184159,0.08766803039158387,0.06375856755751554,0.044278400442784006,0.03294802449136487,0.05224516732202271,0.06557377049180328,0.05480400357668234,0.061094463677886714,0.04366685103781549,0.04627487274409996,0.058647586651809275,0.050509552247675074,0.020281233098972416,0.04,0.030288115700601973,0.05022213637241646,0.02630095810633102,0.03658045871895234,0.0,0.01934385639121015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019559519618198178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
California,0.0,0.0,0.0,0.03422982885085575,0.04060089321965083,0.0339139818097734,0.026653241330292888,0.05027932960893855,0.014911277896515732,0.042161652736787285,0.04336692549149183,0.03230894957903339,0.03290195218249616,0.02982354403114903,0.02270525550980867,0.027496028351460342,0.018504240555127217,0.012105255193911056,0.019680569222617517,0.026418026418026416,0.01779464974197758,0.030877539677638486,0.03317325919373183,0.02126024171259424,0.012514469855770736,0.02744739249771272,0.01892974153622133,0.016941642557406104,0.021436482511403017,0.025565342691798172,0.015854393252370234,0.019853837935957193,0.021366869143188548,0.023777658512062066,0.02040856633113228,0.020204826427912968,0.03180155827635554,0.03325028567146845,0.029430612583960316,0.0199832698206153,0.024860161591050343,0.018166089965397925,0.022378248342610985,0.02048146616954861,0.020943870427254957,0.027359584134321158,0.03296292520474394,0.03227005143650623,0.04755771326662043,0.03625311145565953,0.05104421431054298,0.04768215201317761,0.041533686005333796,0.05178017754986181,0.03340937944464066,0.02659843102925827,0.028384093553972353,0.02250546561307746,0.023592071634108418,0.020724028474815123,0.014900757568060903,0.016554547233133175,0.025264976629896616,0.01877950302606083,0.015608762266227979,0.012663295234516057,0.016525413725536484,0.014789757903039862,0.012949246353862204,0.013617651269409517,0.014105667854167076,0.011903978748265308,0.011009174311926606,0.011154119789217282,0.010881552826998014,0.008994575146864546,0.008288804036094978,0.010648776721774085,0.01163949940031275,0.009335660067073127,0.012337204972566544,0.009067806792240679,0.00832930364707815,0.00648890277460676,0.005965341366659707,0.0035914748648066246,0.006610940842656963,0.005766933501764407,0.005848930481283422,0.003957418180379121,0.005301117419750847,0.004850490755535266,0.004287711134042425,0.0036691240389717422,0.002549654521812294,0.0031335817409040667,0.0036639328091091004,0.003978086426769112,0.005634036698335883,0.0018910800903936284,0.002956131015726617,0.006025225611225664,0.0033694992924051485,0.004820206304829847,0.004430388374660905,0.004579061010704436,0.0068563840152428245,0.008028259473346178,0.005696313264679196,0.002131096534410816,F
Colorado,0.0,0.17069701280227598,0.1048767697954903,0.0,0.0,0.05405405405405406,0.08177952240758914,0.06104540251812285,0.08200082000820008,0.0,0.06864702945581629,0.05889628364450203,0.02970708811122334,0.11504692703602785,0.0590876861262113,0.09768606142011112,0.09723842862699339,0.08261836669844295,0.0,0.07022920257932708,0.05037148973680896,0.031551713258029905,0.09865824782951856,0.04101722723543889,0.0,0.0513083632632119,0.04488905989483134,0.08957897879964169,0.04604051565377532,0.06316756632594464,0.03861003861003861,0.0274830978947947,0.050454086781029264,0.05282873883392566,0.048171877258056744,0.028960324355632783,0.06265418804088185,0.06976663062057417,0.020712510356255178,0.027751760502306867,0.03694002283565048,0.022175056229606867,0.021219194276880172,0.03577390889577868,0.020193278523005915,0.028098569782798056,0.04053944487986811,0.05942252113551035,0.08139566432428032,0.05345163962904562,0.04976427448926139,0.056594551488179455,0.03429898158408527,0.03518934574885635,0.0540602059978376,0.03471893444433923,0.037000908204110464,0.019711554256053088,0.0,0.018551728402696185,0.0,0.0,0.019212911076243237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011581312394320524,0.0,0.011495574203931486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Connecticut,0.11376564277588168,0.0,0.0,0.0,0.04077590726393662,0.043699927166788055,0.07793894782420438,0.0511549207098729,0.03834208811011848,0.04147656574035669,0.03635041802980734,0.04754546535124213,0.06385424205014686,0.03839262861530586,0.04939287919324964,0.0301737143842407,0.021924055073226343,0.043929010718678614,0.022204458655297986,0.0230755030459664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020671122441948596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010120433154539015,0.0,0.0,0.0,0.0,0.0,0.0,0.01668573607932876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1365374112506827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Florida,0.40221216691804923,0.4294149221685454,0.33417838211569484,0.33412373356326797,0.2958823045943947,0.1489467338109086,0.2710215427380125,0.29597739808960044,0.2446333557580576,0.2490069366218059,0.17777777777777778,0.19374770906425093,0.14300306435137897,0.146442458213402,0.14746626150683706,0.10328936914031463,0.13552018903328933,0.14614007526213876,0.12003808104640093,0.08369368112707491,0.11911306578706249,0.07588692847656991,0.08971426008163998,0.07868207523973444,0.0830833141010847,0.09591071584270643,0.0781657113079729,0.07108509303784236,0.059232348760069505,0.08028136707699365,0.04258188140946028,0.04581451665684927,0.044309219271556434,0.055191791475376936,0.0581341270579481,0.06470846525386517,0.03632944394580502,0.05139822200224629,0.05213764337851929,0.045608300710729355,0.04533173765616784,0.03161502878631568,0.03433958730059626,0.03314216548027321,0.033981242354220474,0.03748319718746769,0.03331746787244169,0.05163781684290878,0.053334494356339725,0.043250770074686695,0.03100711096411444,0.04243603543926472,0.052735940598236504,0.031038948528860872,0.026079019428869473,0.01972638345768691,0.02407492115463322,0.011163344538023591,0.019546520719311962,0.024365623585923632,0.02073715115200332,0.015370089805239004,0.00825685909080186,0.02065136845685686,0.013136210561513293,0.010114163621881993,0.0154053533602927,0.009774573889669498,0.005977786545198044,0.011176556056016898,0.010188590816004239,0.004845618591669413,0.004611652724103264,0.006246319133367837,0.004260613187449937,0.006509410166071326,0.0,0.005378120270135298,0.005131024372365769,0.0034827915270647727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050887255650302774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
Georgia,0.6174940438566635,0.6421338602123982,0.40016702623703804,0.45535281769740027,0.4204313991748055,0.37533633300924774,0.3864734299516908,0.3878975950349108,0.40118644712324597,0.3272309188997966,0.34367213678151043,0.2767269160711784,0.2913671575127364,0.3225380538317898,0.3029162746942615,0.3440939783553788,0.3041386713314515,0.23102122744229203,0.3045350506265275,0.2400016134562249,0.19584802193497847,0.1994721041284681,0.15624106853647848,0.1613364375280807,0.1668776614109794,0.18255188316679477,0.2022598650304362,0.18790570550051247,0.14871823471455395,0.13640579815579362,0.11538734644606972,0.10065511123242801,0.11005078057446509,0.1328562585865906,0.1446340757882557,0.1059506301690466,0.11506218837323981,0.09696344846208606,0.07628637906701759,0.12195581930422318,0.08665069575411591,0.08901967087449462,0.08355515236878858,0.05682490825145022,0.06864124652503689,0.06742703023930881,0.05387447247912364,0.05545181915916935,0.07224591577524529,0.06952955595361553,0.06352418036161728,0.053362425737290844,0.041007827670634774,0.03744006570127659,0.03723902649977176,0.03343277440592532,0.02847573460615347,0.029631301942966797,0.02673872048185989,0.0177782640208963,0.007812906922235532,0.01624893366372832,0.020675498057980003,0.023289032418333126,0.015964749832370128,0.010216939685999387,0.013842267363394124,0.008181163688723084,0.0,0.009493070058857033,0.0,0.00908787979764321,0.0,0.011974793060607423,0.0,0.0,0.0,0.006718533747195013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006780672371472354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F
