state,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,gender
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010630381630700542,0.0,0.010594118145605558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009966115208291808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007158503586410297,0.0,0.0,0.0,0.0,0.0,0.0,0.008854128237290636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013439956992137625,0.0,0.0,0.0,0.0,0.02130127097583489,0.0168642189457454,0.031148915778123877,0.026083657403016217,0.04782400765184123,0.0618457521130632,0.10849312483784995,0.12125621438098702,0.1322978170860181,0.23468254769355001,0.3347237241876513,0.2800031111456794,0.3460927945041505,0.3482871549617924,0.40732662339368775,0.447957839262187,0.4092128183150386,0.3645967903999081,0.3425742004203011,0.36266853850428477,0.31176247778328137,0.23287786537975924,0.27314710520387475,0.23644070240189152,0.2323803699740101,0.1959375612304879,0.1748898530252581,0.16781456490577912,0.1615281972048599,0.10415581710238517,0.10904741803855354,0.11828380945553604,0.09331491918927998,0.09110354115503447,0.07275372862859221,F
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07270964614638875,0.0,0.0,0.12993762993762994,0.09157509157509157,0.09355787222667736,0.16533480297602646,0.1479727730097662,0.22151898734177217,0.3009027081243731,0.3251754235837755,0.42598509052183176,0.37333333333333335,0.40500736377025043,0.4470106165021419,0.39893617021276595,0.4837461300309598,0.25937749401436555,0.4844961240310077,0.19142419601837674,0.13446023818670766,0.2278336814125688,0.18835938971557734,0.23125843129697438,0.27445598902176044,0.25783419278064257,0.18753907063971662,0.14067524115755628,0.10199918400652795,0.0,0.11022927689594356,0.14767413241447205,0.0,0.0,F
Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666944490748458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012449889195986157,0.0,0.0,0.011104695065073512,0.01746114894360049,0.027213732468076197,0.024512807942149776,0.05646869012806292,0.06362714493070606,0.09732360097323602,0.07611874524257842,0.0977616652070307,0.16763121133506287,0.24474489292410934,0.2367843529819428,0.258857164934513,0.2614903038631852,0.2961591855622397,0.3592878592878593,0.30325040857090974,0.28422716856447516,0.2380538662033015,0.2240695128626163,0.20170101186674289,0.1620101971124065,0.19223624056992392,0.17385079511172472,0.13659924028367731,0.15255836361081557,0.16741417440009923,0.12418246543588045,0.09857589295077498,0.11473152822395595,0.10950785879927853,0.07535962054214597,0.05439023813465131,0.06662060797473351,0.051849739455059246,F
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030718427216526515,0.0,0.023297351867671044,0.03885305773564379,0.02785404480522064,0.05566157760814249,0.06822103615714917,0.09388569416735125,0.10600290526481097,0.17937219730941703,0.15231647979691135,0.2053827392922853,0.26906620793083674,0.39224327897752315,0.39756276738256774,0.5798491520251123,0.42875267970424813,0.5150062155922571,0.4637254052179943,0.500089301661011,0.43591587273054105,0.399784385949151,0.38527013708449065,0.3156708004509583,0.22594364699627859,0.2608148214767515,0.21148604192123321,0.2657218777679362,0.22068095838587645,0.15906680805938495,0.15949840501594983,0.14582164890633764,0.07208206265594677,0.07965860597439545,0.09506268195591468,0.11953444479396037,0.07878151260504201,0.07589347316130812,F
California,0.0,0.0,0.03597122302158273,0.0,0.032480714575720666,0.0,0.035537655107057184,0.04189944134078212,0.014911277896515732,0.029761166637732202,0.012390550140426235,0.011403158674952963,0.012795203626526284,0.011598044901002403,0.0,0.013748014175730171,0.01079414032382421,0.010592098294672173,0.007569449701006736,0.010878010878010878,0.007414437392490658,0.0,0.026854543156830533,0.019624838503933144,0.029721865907455493,0.02744739249771272,0.023298143429195485,0.016941642557406104,0.019054651121247126,0.012782671345899086,0.015854393252370234,0.03025346733098239,0.025182381490186503,0.02853319021447448,0.015800180385392732,0.022730429731402088,0.019080934965813322,0.014517730363598899,0.011867182493532386,0.015800724974440003,0.017954561149091913,0.01773356401384083,0.014386016791678488,0.01517145642188786,0.006981290142418319,0.00575991244933077,0.010534543106670746,0.006845162425925564,0.0056144522606426895,0.010034343349334335,0.006263093780434721,0.00835985782049218,0.006557950421894811,0.012477151216834173,0.009227352418043611,0.011110737012221811,0.007450824557917743,0.0060729034194018545,0.0067916569855766655,0.006562609017024789,0.005757110878568986,0.0048911162279711646,0.004889995476754184,0.006828910191294847,0.002053784508714208,0.004084933946618083,0.00629539570496628,0.0026545719313148474,0.004069763139785264,0.004539217089803173,0.00623273695881801,0.009711140557795383,0.007339449541284403,0.009345343607182047,0.015881185206970076,0.013210782246957304,0.020722010090237445,0.024492186460080397,0.0344124330096203,0.03518825717589102,0.057424081326855184,0.0643814282249088,0.07103045054591645,0.08099111981638808,0.1220409421262465,0.18855243040234781,0.1774376522169129,0.19030880555822544,0.18354500891265596,0.20776445446990385,0.23631823444889305,0.2177014380278475,0.22581945305956774,0.2382108222224731,0.21502086467283682,0.2028281999566996,0.17727797976381723,0.16565888477188515,0.1458918976621713,0.16420878784918005,0.1363104857251718,0.13556757625257745,0.12568232360671205,0.11086474501108648,0.10155813351145768,0.09369463298825999,0.08263747049950562,0.0867816619261706,0.08056214474332006,0.07373594009061422,F
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024282790439518507,0.02014910336490026,0.015839325878290622,0.018187880808754435,0.0,0.0,0.014049284891399028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014226369999430945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01450536698578474,0.013764940696047166,0.011455541045203564,0.0,0.03218908789920217,0.04368318197493965,0.04284898114644829,0.05805374809511139,0.07558210410825307,0.08781772942381812,0.10802317588137092,0.1225249950990002,0.18093634558842006,0.2291825821237586,0.3145458265139116,0.34321766561514194,0.2981228367145853,0.4023507035041089,0.42575458459196536,0.41868918079550943,0.42516426801264123,0.42075108544827894,0.35320680481970806,0.3862253983672148,0.34974753323759666,0.2852504638218924,0.28864503816793896,0.269766529330979,0.270117308088084,0.25259383996958007,0.26527420976209093,0.1904545325336138,0.2104413502839517,0.1616068336603948,0.13585778291660644,0.1556900299629869,0.09062216805724821,0.12118830041597066,0.08356732183446985,F
Connecticut,0.0,0.0,0.0,0.0,0.05242616648220423,0.029133284777858703,0.025979649274734794,0.0,0.0,0.02488593944421402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019919185020772865,0.0,0.0,0.02091886096802029,0.015464714676014228,0.040953185389951116,0.05061267980820459,0.0801702927597932,0.07374422100575771,0.12842215865973966,0.26999460010799786,0.2681128511364329,0.26118079515042075,0.21161985378991918,0.31746031746031744,0.4101885544161429,0.4056520857278074,0.3317895901016105,0.3670794881471063,0.34985006425817505,0.3175189219124977,0.25739051440251337,0.28065049402176007,0.19625480415406002,0.21567527929948668,0.15784251826463425,0.19397746166635876,0.14106361969248132,0.1711026615969582,0.16859457687444387,0.14900980580657566,0.1419898159028594,0.15813099367476025,0.1637006917674394,0.11580456600860263,F
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11596443757247778,0.0,0.0,0.0731528895391368,0.09045096265667399,0.06734006734006734,0.17776562286339395,0.24474517708033403,0.3389830508474576,0.2970444081390168,0.29616466755516063,0.3807850029291154,0.5041774704696053,0.39531701383609547,0.384387936132466,0.49005477082732773,0.41413992013015827,0.34302759134973904,0.19747835333434605,0.21432945499081446,0.25356576862123614,0.26787209107651094,0.13922728854855554,0.19127108328986264,0.16357688113413305,0.24691358024691357,0.20014556040756915,0.18800526414739613,0.32529659395331034,0.12222448563862294,0.13183915622940012,0.1402524544179523,F
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.03474635163307853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022906358805204325,0.0,0.0,0.0,0.0,0.0,0.0,0.02090738030524775,0.0,0.0,0.0,0.0,0.01476973975718548,0.0,0.0,0.013866099697256823,0.0,0.0,0.011586142973004287,0.0,0.0,0.0,0.009365341991071707,0.0,0.006796248470844094,0.006462620204735808,0.005949547834364588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015212761333507194,0.0,0.006018730288658305,0.0,0.0,0.005801338949029436,0.0,0.0,0.0,0.0,0.0,0.0,0.00770267668014635,0.0,0.005977786545198044,0.005588278028008449,0.0,0.009691237183338825,0.004611652724103264,0.005353987828601003,0.010225471649879851,0.012205144061383738,0.016745877324487256,0.014597755018938665,0.024922118380062305,0.03622103188147364,0.0574033198253299,0.06385378901289138,0.08230093007334251,0.10208878051646642,0.16090887318883965,0.24860114341321007,0.2684191040355424,0.27837539809224177,0.2535919097243633,0.31610422896198204,0.3227992173641617,0.2888269183623437,0.2918896379178539,0.26301071693093697,0.2783918775075739,0.26170588620155716,0.2317275394362005,0.19974176243570813,0.16564643521342037,0.16826477952483315,0.1590676958625655,0.1496713183832096,0.12307533415383555,0.1294972609625395,0.09933412463907199,0.11246251249583472,0.10877906045248717,0.07579189462313134,0.06963725321733154,0.0779518389120553,F
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.010501995379122032,0.012580462541672782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010211166932157007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007906763445451239,0.006848939784121418,0.0,0.0,0.0075436589260344245,0.00637137468780264,0.0,0.0,0.0,0.005720103877086408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060062945967373806,0.0,0.017627835708571196,0.007055071891182571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009493070058857033,0.013546056592414209,0.0,0.009033151666616482,0.007484245662879638,0.014682994156168326,0.01839848283280025,0.01666643518840016,0.025530428239341044,0.04223084435294428,0.05329205313979012,0.09795057263411694,0.1029114830977659,0.1283595124985113,0.16029094827586207,0.26672443439526666,0.36366094362579426,0.394635132019691,0.4415419597059912,0.47265890217788686,0.45813345516383663,0.4436458268789888,0.4354479515284223,0.40008501806633906,0.4153929592742333,0.3757459662565387,0.3133223180955878,0.3252782607667104,0.29346153387333435,0.2688239265798094,0.25517286970317976,0.23039856141386042,0.22920901267136617,0.19412621145050518,0.1640528581319045,0.1798908761131677,0.16408496289271252,0.1368570080226522,0.12959243180198277,0.09833180947780634,0.10926808297209187,F
